date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,IVZ,USD,914208,2025-04-28,2025-04-28 13:53:01,2025,Q1,1529200000.0,10100000.0,1519100000.0,0.9933952393,0,137300000.0,17000000.0,154300000.0,1087500000.0,1241800000.0,1251900000.0,0.0,0.0,41500000.0,349800000.0,0.2287470573,277300000.0,0.1813366466,67600000.0,344900000.0,0.2255427675,77600000.0,230300000.0,0.1506016218,0.38,0.38,452900000,454000000,https://www.sec.gov/Archives/edgar/data/914208/000091420825000144/0000914208-25-000144-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420825000144/ivz-20250331.htm,3.376462795319055,0.508500772797527,-0.1867962022521528,-0.2384632369176418,5.754691984985648,34.858467652903514,3.682490616030029,32.45462574519762,0.0,6870493000.0,4997093000.0,7.458199088145896,4.492867512424797,-81.2115011820331,-63.61567592592593,0.467421812813378,0.467421812813378,3.2677825006539365,14.285571755288736,-59.06729314420804,-46.26937962962963,0.0335201564138119,-0.0157193959734767,0.0,0.0,-5.355631789594054,0.0,0.0,-0.3164983164983165,0.022079929344226,0.6587060356057316,0.0897855087627517,0.0,0.5016984323256442,-0.2765957446808511,0.0153021187549045,0.563855421686747,0.0099398378236986,19.269718501484885,0.0080323788843709,0.0164218482601255,-20.211856922057848,1616300000.0,1667800000.0,-10739900000.0,16194300000.0,953850000.0,15300000.0,0.0,46.765629087104365,0.0,0.0,1.9244903095897308,0.0,0.0,0.0156680522767319,0.051667034665489,2025-04-22,0.39,bmo,1118981940.0,2025-05-11,2025-03-31,0.1282051282051281,17.065,4662870.483333333
2024-12-31,IVZ,USD,914208,2025-02-25,2025-02-25 13:27:00,2024,Q4,1593000000.0,990400000.0,602600000.0,0.3782799749,0,135000000.0,23700000.0,158700000.0,132200000.0,290900000.0,1281300000.0,24600000.0,12400000.0,44100000.0,373900000.0,0.2347143754,311700000.0,0.1956685499,5700000.0,317400000.0,0.1992467043,78700000.0,268500000.0,0.1685499058,0.46,0.46,455950000,456650000,https://www.sec.gov/Archives/edgar/data/914208/000091420825000114/0000914208-25-000114-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420825000114/ivz-20241231.htm,3.493804145191359,0.5888803596885623,0.6950323500383814,0.6950323500383814,3.2810615199034983,34.36517161969514,3.512227217896699,31.933106700296086,16.578133567277114,7970006000.0,14020406000.0,7.420862197392924,5.003142498430634,25.14990848848217,25.14990848848217,0.5473942815541315,0.5473942815541315,8.80125925925926,37.49774271195507,44.24236667718523,44.24236667718523,0.0336888077625035,0.0397615760891522,0.5183002630512572,0.2794041963945218,16.1818668093073,3.1419797687861277,25.137096774193548,1.234514998052201,0.0190715038357562,0.5661080074487895,0.0847457627118644,0.0,0.5208431294869469,0.0220889870621647,0.0043942247332077,0.0,0.0,20.569577914774552,0.0089544216449428,0.0207472085925124,-19.75934861278649,1778700000.0,1601400000.0,-8731000000.0,16325100000.0,1068350000.0,743100000.0,0.0,62.88700564971752,2.780694668820679,0.0,1.431138262510107,32.36601307189542,0.0,0.0184410607215708,0.0153525605877837,2025-01-28,0.49,bmo,1125541380.0,2025-04-27,2024-12-31,0.0612244897959184,17.81046875,3478445.90625
2024-09-30,IVZ,USD,914208,2024-10-29,2024-10-29 15:18:45,2024,Q3,1515400000.0,1125000000.0,390400000.0,0.25762175,0,140800000.0,18900000.0,159700000.0,130200000.0,289900000.0,1414900000.0,10900000.0,13400000.0,44000000.0,202500000.0,0.133628085,100500000.0,0.0663191237,44600000.0,145100000.0,0.095750297,41500000.0,114200000.0,0.075359641,0.12,0.12,454900000,455600000,https://www.sec.gov/Archives/edgar/data/914208/000091420824000427/0000914208-24-000427-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420824000427/ivz-20240930.htm,3.331281600351726,0.2510441855352824,0.9637282919322928,0.9012969883490876,3.6038689821938887,34.96724554847219,2.988568916245329,32.43416135414377,16.413057814904374,7988043999.999999,13801544000.0,17.486961471103328,5.271244555892833,18.22090328467153,19.48303414634146,0.5414044719166615,0.5414044719166615,9.107525405833444,68.15577283950617,31.48162408759124,33.66230243902439,0.0142963659188657,0.0513267077647544,0.5051340965006812,0.2709889246834844,28.70864197530864,1.8294861225611432,7.5,4.231660231660232,0.0193414057308647,1.3528896672504378,0.0929127623069816,0.0,0.5289354461032775,0.0647810218978102,0.0187409264880559,0.6454545454545455,0.0336544806651709,13.535293549276888,0.0027548673676014,0.0088147890857164,-20.199824137173007,1207400000.0,1359500000.0,-8933000000.0,16334800000.0,850350000.0,1409250000.0,0.0,60.79187013329815,116.448,0.0,1.4804611176240718,0.7728771640560593,0.0,0.0077401164406308,0.0624313035832051,2024-10-22,0.4319,bmo,1110874436.0,2025-04-25,2024-09-30,0.0187543412827043,16.420625,3795417.765625
2024-06-30,IVZ,USD,914208,2024-07-31,2024-07-31 13:55:24,2024,Q2,1483300000.0,1064100000.0,419200000.0,0.2826130931,0,180400000.0,20600000.0,201000000.0,127800000.0,328800000.0,1276500000.0,11000000.0,16300000.0,46400000.0,303200000.0,0.2044090878,206800000.0,0.1394188633,53100000.0,259900000.0,0.1752174199,64000000.0,191400000.0,0.1290366076,0.29,0.29,455500000,456100000,https://www.sec.gov/Archives/edgar/data/914208/000091420824000335/0000914208-24-000335-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420824000335/ivz-20240630.htm,3.2564215148188804,0.4201975850713502,1.0737650933040614,1.0151481888035123,3.3837541163556533,34.61119648737651,2.943358946212953,32.019758507135016,16.63556531284303,6764175000.0,12784075000.0,8.835129310344827,4.560220454392233,13.829840523410343,14.628406141868512,0.4637761398697291,0.4637761398697291,8.618671206094518,42.163835751978894,26.137957472909424,27.647221020761247,0.0282961336748383,0.0683601473941759,0.518423037367158,0.2783168185632886,19.854551451187337,1.878787878787879,12.687116564417176,2.5553814002089865,0.0225304638037898,0.7962382445141066,0.1216207105777657,0.0,0.5309523108408546,0.0545900633817215,0.0180004045034719,0.5754310344827587,0.0124047731409694,17.399111097509664,0.0060405971853211,0.0150201288560688,-20.53364434687157,1197700000.0,1340700000.0,-8841600000.0,16196800000.0,692700000.0,1342050000.0,0.0,41.08339513247488,115.2720610048605,0.0,2.190666075911978,0.7807616105363563,0.0,0.0131230716489544,0.0586169045005488,2024-07-23,0.3984,bmo,1088185342.0,2025-04-25,2024-06-30,0.0793172690763052,15.375555555555556,4303642.079365079
2024-03-31,IVZ,USD,914208,2024-05-01,2024-05-01 13:08:52,2024,Q1,1475300000.0,1094300000.0,381000000.0,0.2582525588,0,138500000.0,18100000.0,156600000.0,0.0,127500000.0,1262200000.0,12400000.0,15900000.0,45100000.0,343900000.0,0.2331051312,213100000.0,0.1444451976,69800000.0,282900000.0,0.1917576086,68700000.0,200700000.0,0.1360401274,0.31,0.31,453200000,453500000,https://www.sec.gov/Archives/edgar/data/914208/000091420824000276/0000914208-24-000276-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420824000276/ivz-20240331.htm,3.255295675198588,0.4428508384819064,-0.1200353045013239,-0.1663724624889673,3.1454104148278907,34.97969991173875,3.087819947043248,32.11562224183584,19.07281553398058,7473267999.999999,14675668000.0,9.309003487792724,5.065592082966176,-137.37624999999997,-99.11496021220158,0.5134572786984362,0.5134572786984362,9.947582186673896,42.67423088107008,-269.7733088235294,-194.63750663129977,0.0268557209509949,-0.010089294268585,0.592787259185973,0.3072920376675737,20.943297470194825,1.7795186194368755,13.40251572327044,-0.2710513203786746,0.0199912541608303,0.7443946188340808,0.0938792110079305,0.0,0.5147735529183822,-0.3860294117647059,0.0142343930048125,0.4656319290465632,0.014302175828645,17.88867463952308,0.0060304369545479,0.0147315726889707,-22.655946601941743,1029900000.0,1399400000.0,-9873300000.0,16066900000.0,704900000.0,676350000.0,0.0,43.20951670846608,108.66124463127116,0.0,2.08287448821121,0.8282621858916137,0.0,0.0137892653969824,0.0463371579876434,2024-04-23,0.4,bmo,1082009591.0,2025-04-25,2024-03-31,-0.175,16.139508196721312,4734780.8852459015
2023-12-31,IVZ,USD,914208,2024-02-21,2024-02-21 14:26:50,2023,Q4,1413400000.0,928200000.0,485200000.0,0.3432856941,0,155900000.0,25700000.0,161600000.0,1399400000.0,1561000000.0,2415600000.0,21300000.0,16800000.0,46400000.0,-1209600000.0,-0.8558086883,166900000.0,0.1180840526,-1100400000.0,-933500000.0,-0.6604641291,-266400000.0,-683100000.0,-0.4833026744,-1.64,-1.64,451700000,453100000,https://www.sec.gov/Archives/edgar/data/914208/000091420824000219/0000914208-24-000219-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420824000219/ivz-20231231.htm,3.129067965463804,-1.5122869160947532,1.5813593092760685,1.4921408014168696,4.27628957272526,35.235775957493914,3.0471551914987822,32.31702457383219,20.06154527341156,8058328000.0,15171728000.0,-2.9491758161323376,5.701378236875619,11.281433571328574,11.955976261127596,0.5520310187976105,0.5520310187976105,10.734206877034104,-12.54276455026455,21.239994400112,22.50998219584569,-0.0847694459694368,0.0836401794516182,0.6196224036827972,0.312610165273832,-5.880787037037037,2.2981029810298104,9.93452380952381,-1.0456741326306545,0.0185398261277029,-0.2187088274044795,0.1103014008773171,0.0,0.5025126322847328,0.0564188716225675,0.0285128059997169,0.8685344827586207,0.0147870383472477,,0.0043090290434907,-0.0474566144697169,-23.37851450077485,1628600000.0,1376400000.0,-10134600000.0,16767700000.0,673450000.0,661550000.0,0.0,44.66888354322909,3.0542986425339365,0.0,2.014825374198147,29.466666666666665,0.0,-0.0467953636214172,0.0892185078591985,2024-01-23,0.39,bmo,1115170000.0,2025-04-25,2023-12-31,0.205128205128205,14.427619047619048,5595304.015873016
2023-09-30,IVZ,USD,914208,2023-10-31,2023-10-31 15:26:43,2023,Q3,1442000000.0,926700000.0,515300000.0,0.3573509015,0,117200000.0,23700000.0,276300000.0,11300000.0,287600000.0,1228800000.0,10800000.0,17300000.0,42200000.0,289500000.0,0.2007628294,227700000.0,0.1579056865,2300000.0,230000000.0,0.1595006935,61300000.0,190600000.0,0.1321775312,0.29,0.29,451700000,453100000,https://www.sec.gov/Archives/edgar/data/914208/000091420823000479/0000914208-23-000479-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420823000479/ivz-20230930.htm,3.192384325880009,0.4219614788576489,0.7839273854328094,0.6971441222050033,3.442771751162276,36.73168031879566,2.042948859862741,33.7699800752712,18.79101173345141,6558684000.0,13474184000.0,8.602681007345225,4.54832454923717,18.522123693871787,20.82783105747857,0.4299676803964887,0.4299676803964887,9.344094313453535,46.542949913644215,38.05191753741881,42.7887710384249,0.0290607079103063,0.048012680592631,0.5553071673473668,0.2878072813142381,23.88773747841105,1.1099411764705882,13.16184971098266,2.098992294013041,0.022763712964369,0.7833158447009444,0.0812760055478502,0.0,0.5323853694171211,0.1107031911889296,0.0271844660194174,0.9289099526066352,0.0,17.90577257492629,0.00595129582052,0.0138491273451237,-23.91111357095417,186900000.0,922800000.0,-10952900000.0,16442000000.0,674300000.0,1326150000.0,0.5,40.28155339805825,125.43865328585304,0.0,2.234273318872017,0.717482192629297,0.0,0.0124951651708743,0.086783263227806,2023-10-24,0.36,bmo,1097950000.0,2025-04-25,2023-09-30,-0.0277777777777778,16.096190476190475,3940425.555555556
2023-06-30,IVZ,USD,914208,2023-08-02,2023-08-02 13:39:19,2023,Q2,1442800000.0,1050900000.0,391900000.0,0.2716246188,0,151900000.0,23100000.0,175000000.0,13100000.0,763300000.0,1255600000.0,7100000.0,18400000.0,47400000.0,295700000.0,0.2049487108,203800000.0,0.1412531189,26100000.0,229900000.0,0.1593429443,65500000.0,191400000.0,0.1326587192,0.29,0.29,457900000,458800000,https://www.sec.gov/Archives/edgar/data/914208/000091420823000416/0000914208-23-000416-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420823000416/ivz-20230630.htm,3.150906311421708,0.4179951954575234,0.7235204193055252,0.6215330858265997,2.843852369512994,36.48962655601659,1.999563223411225,33.47652325835335,18.32605372352042,7697298999.999999,14783299000.0,10.053943312434692,5.334972969226503,23.233622094778145,27.04602600140548,0.502142945677772,0.502142945677772,10.246256584419186,49.994247548190735,44.62209175973438,51.944128601546026,0.0248658652859918,0.036974008674991,0.5462296707526306,0.2842405067588211,23.963476496449104,1.2123344600210562,11.076086956521738,2.015206812652068,0.0196302625115641,0.7894461859979102,0.1052813972830607,0.0,0.5361228604987474,0.1409598551162088,0.0323676185195453,0.9852320675105484,0.0221790962018297,17.74381814488666,0.0077713878470079,0.014006791171477,-23.847128192836863,383200000.0,915600000.0,-10561300000.0,16761500000.0,754450000.0,1413250000.0,0.5,43.86470751316884,116.5315443905224,8.564087924636026e-08,2.051763367463026,0.7723230690085985,1050900000.0,0.0124862188415346,0.1019873334789255,2023-07-25,0.39,bmo,1107030000.0,2025-04-25,2023-06-30,-0.2051282051282051,16.09483870967742,4546095.903225807
2023-03-31,IVZ,USD,914208,2023-05-03,2023-05-03 16:25:06,2023,Q1,1418200000.0,917900000.0,500300000.0,0.3527711183,0,105000000.0,19600000.0,124600000.0,166200000.0,290800000.0,1218400000.0,8600000.0,18000000.0,46800000.0,277900000.0,0.195952616,209500000.0,0.1477224651,26200000.0,235700000.0,0.1661965872,69900000.0,204200000.0,0.1439853335,0.32,0.32,458100000,458900000,https://www.sec.gov/Archives/edgar/data/914208/000091420823000338/0000914208-23-000338-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420823000338/ivz-20230331.htm,3.095830604671469,0.4457542021392709,-0.2158917266972276,-0.2990613403187077,2.652041039074438,36.6946081641563,2.348613839772975,33.49268718620389,18.07552936040166,7512839999.999999,14560340000.0,9.197894221351614,5.297447468622196,-75.96400404448939,-54.83824817518247,0.4896591279410805,0.4896591279410805,10.266774784938654,52.39417056495142,-147.22285136501517,-106.27985401459854,0.0271801342767848,-0.018235447580409,0.5385126767907189,0.2778837196005825,25.359841669665347,0.8015418814737738,11.63888888888889,-0.5965018094089264,0.0192869806890603,0.7095984329089128,0.0740375123395853,0.0,0.5291676335960018,-0.3852376137512639,0.0268650401917924,0.8141025641025641,0.0266535044422507,18.32795368335473,0.0054481987266164,0.0145863394145463,-24.239958524339663,-419600000.0,1075900000.0,-11228800000.0,15886900000.0,803750000.0,762700000.0,0.0,51.13030602171767,143.7215382939318,0.0,1.7602085143353603,0.626210942829854,0.0,0.0133090008472919,0.08316961362148,2023-04-25,0.37,bmo,1098350000.0,2025-04-25,2023-03-31,0.027027027027027,17.844032258064516,5300655.193548387
2022-12-31,IVZ,USD,914208,2023-02-23,2023-02-22 17:46:55,2022,Q4,1443400000.0,911500000.0,531900000.0,0.3685049189,0,179600000.0,31800000.0,141400000.0,145400000.0,205300000.0,1185900000.0,17800000.0,17600000.0,48600000.0,456600000.0,0.3163364279,245100000.0,0.1698073992,145300000.0,390400000.0,0.2704724955,89600000.0,247000000.0,0.1711237356,0.41,0.41,457000000,459100000,https://www.sec.gov/Archives/edgar/data/914208/000091420823000297/0000914208-23-000297-index.htm,https://www.sec.gov/Archives/edgar/data/914208/000091420823000297/ivz-20221231.htm,3.1584245076586432,0.5404814004376368,1.0142231947483589,0.8542669584245076,3.138074398249453,36.85382932166302,2.501750547045952,33.29015317286652,18.76542669584245,8221429999.999999,15345530000.0,8.321285425101212,5.6958777885548,17.737713052858684,21.05899077868852,0.5404000368091707,0.5404000368091707,10.631515865318,33.60825667980727,33.10793959007551,39.30719774590164,0.0300434352661276,0.0474856563882438,0.5625361518641215,0.2876048499838692,15.602496714848884,1.3546863566819662,13.926136363636363,1.5408909574468086,0.0176246711338538,0.5866396761133603,0.1244284328668421,0.0,0.5275735294117647,0.1577130528586839,0.0506443120410142,1.5041152263374489,0.016003879728419,20.12053537240554,0.0067807837942581,0.0175701918494227,-23.80557986870897,533200000.0,1143300000.0,-10878100000.0,16793200000.0,751500000.0,696000000.0,0.0,49.99445753082998,5.884805266044981,0.0,1.8001995510102269,15.293624161073826,0.0,0.0162354735236893,0.1599562363238512,2023-01-24,0.36,bmo,1084298169.0,2025-04-25,2022-12-31,0.0833333333333334,17.103492063492062,4860097.904761905
