date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-27,J,USD,52988,2025-02-04,2025-02-04 06:49:43,2025,Q1,2932956000.0,2211689000.0,721267000.0,0.2459181113,0,0.0,0.0,512849000.0,0.0,512849000.0,2724538000.0,9656000.0,34820000.0,59583000.0,147550000.0,0.0503076078,208418000.0,0.0710607319,-155271000.0,53147000.0,0.0181206264,57149000.0,-18130000.0,-0.006181477,-0.11,-0.11,124055000,124055000,https://www.sec.gov/Archives/edgar/data/52988/000005298825000016/0000052988-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298825000016/jec-20241227.htm,23.642384426262545,-0.1461448551045907,0.8661964451251462,0.7829027447503124,15.296408850912902,40.47848937971061,-3.684510902422313,33.89914957075491,24.73817258474064,16756108850.0,18490525850.0,-231.05500344732485,5.7130447405279865,155.93460439621796,172.52462187123544,3.984465737645704,3.984465737645704,6.304399332959649,125.31701694340902,172.07532245756403,190.38256489194112,-0.0010819934486162,0.0057962741152758,0.7214779998568494,0.2613137075505848,11.754774652660116,1.2545890981576655,5.985582998276852,-21.47831301219269,0.0021771761168763,-2.012189740761169,0.0,0.0,0.4718553311648442,0.0961602888624181,0.0035230668308696,0.0,0.004452504572179,,-0.0018247577115082,-0.0029565207181491,-20.211271210350247,1003869000.0,-457082000.0,-1642326000.0,7063319000.0,2878982500.0,1007051500.0,0.0,89.37269089614709,40.08098335706331,0.0,1.00701902446444,2.2454538901461274,0.0,-0.0043111658243683,0.0832937003748337,2025-02-04,1.29,bmo,2998453920.0,2025-05-04,2024-12-27,0.0310077519379845,130.03883333333334,879967.1166666667
2024-09-27,J,USD,52988,2024-11-25,2024-11-25 06:37:16,2024,Q4,-1158957000.0,-1319780000.0,160823000.0,-0.1387652864,0,0.0,0.0,213903000.0,0.0,213903000.0,-1105877000.0,6494000.0,35673000.0,78276000.0,257749000.0,-0.2223973797,-53080000.0,0.045799801,196880000.0,143800000.0,-0.1240770797,12750000.0,325436000.0,-0.2808007545,2.52,2.51,124315000,124884000,https://www.sec.gov/Archives/edgar/data/52988/000005298824000065/0000052988-24-000065-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298824000065/jec-20240927.htm,-9.322744640630656,2.6178337288340106,1.580919438523107,1.2724932630816876,15.237606081325664,43.33736878091944,-2.216868439045972,36.59628363431605,22.42562039979085,16143545900.000002,17750918900.0,12.401475174842366,-13.929374342620134,82.14207304662854,102.05162083570391,3.548447741240897,3.548447741240897,-15.316287748380656,68.86901171294554,90.32075641625792,112.21264871357228,0.0201588921056061,0.0097989624447996,0.6049429526579707,0.2340476936611558,6.236194902793027,1.1999732335949758,-1.487960081854624,0.5801562772134597,0.0022510543981542,0.1116655809437185,0.0,0.0,0.4815947437729638,0.1950929110780941,-0.0330831946310346,0.0,-0.0172767410697722,46.42808608027575,-0.0055762080520859,0.0533857836294051,-18.848634517154004,815839000.0,-275590000.0,-1475940000.0,7098400000.0,3309839500.0,1145961500.0,0.0,-220.96650695409755,-70.18033308581734,0.0,-0.4073015464678371,-1.2824105563868862,0.0,0.0715327751580569,0.308426175441419,2024-11-19,1.54,bmo,4497646918.0,2025-04-25,2024-09-27,-0.1103896103896103,139.00640625,803103.8125
2024-06-28,J,USD,52988,2024-08-06,2024-08-06 06:42:17,2024,Q3,4231580000.0,3314800000.0,916780000.0,0.2166519362,0,0.0,0.0,656316000.0,0.0,656316000.0,3971116000.0,10321000.0,45801000.0,76977000.0,348928000.0,0.0824580889,260464000.0,0.0615524225,-34314000.0,226150000.0,0.0534433947,67739000.0,146934000.0,0.0347232003,1.17,1.17,125163000,125616000,https://www.sec.gov/Archives/edgar/data/52988/000005298824000053/0000052988-24-000053-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298824000053/jec-20240628.htm,33.80855364604556,1.1739411807003668,3.855796041961282,3.5548764411207787,9.734194610228265,59.20995022490672,-9.192405103744717,52.865407508608776,28.70132547158505,14600263950.0,16938145950.0,24.8415342092368,3.450310274176549,30.253156217429236,32.81408001995779,2.2065468800369,2.2065468800369,4.002794688981421,48.5433841652146,35.09747338910036,38.06846770006675,0.0100637906618119,0.0304747230271819,0.5359912271700202,0.2356774756467346,6.700184565297139,1.1406123765195355,5.686862732254754,3.0372064922559896,0.002486393405237,0.2470633073352661,0.0,0.0,0.5689313536621105,0.0780434435757755,0.0089006943033098,0.489289008405108,0.0211140992253484,37.36803146339662,0.0156411836186387,0.0226510695644693,-28.66952493947892,633354000.0,-1150549000.0,-2499786000.0,9944940000.0,3773355500.0,1212430500.0,0.5,80.2727184644979,34.28576988053578,0.0,1.1211779259700063,2.6249957435283813,0.0,0.0222062258861657,0.300919600840504,2024-08-06,1.96,bmo,4387892911.0,2025-04-25,2024-06-28,0.0,121.6465625,806013.625
2024-03-29,J,USD,52988,2024-05-07,2024-05-07 08:14:48,2024,Q2,4269093000.0,3364478000.0,904615000.0,0.2118986398,0,0.0,0.0,623627000.0,0.0,623627000.0,3988105000.0,9405000.0,44232000.0,77198000.0,363015000.0,0.0850332846,280988000.0,0.065819133,-39403000.0,241585000.0,0.0565893036,67283000.0,162112000.0,0.0379734056,1.29,1.28,125712000,126211000,https://www.sec.gov/Archives/edgar/data/52988/000005298824000032/0000052988-24-000032-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298824000032/jec-20240329.htm,33.95931176021382,1.2895507191039837,-0.3406436935217004,-0.5617999872724959,8.22927803232786,58.89884816087565,-9.620163548428152,52.69277395952653,29.414296169021256,16136392320.000002,18755371320.0,24.884635807343077,3.7798174741098407,-376.8160175606568,-228.4798912566372,2.4360076411728424,2.4360076411728424,4.393291811633056,51.66555464650221,-437.9742502860613,-265.5627797522124,0.0100463596066062,-0.0043767527833631,0.5515451575863579,0.2452410885340616,7.214520061154498,1.1689867580803042,6.352595406040876,-0.2629113457760314,0.0022787621465068,0.2268246644295302,0.0,0.0,0.5781921449373949,-0.6492305536744273,0.0065123903367764,0.3601388637011321,0.0037164802921838,39.10083250264053,0.0174590719484524,0.02579793011204,-28.870776055587378,722135000.0,-1209370000.0,-2497827000.0,10070184000.0,3724496000.0,1138434000.0,0.5,79.53060755528165,31.08566024209402,2.6750063457094985e-08,1.1316397895922157,2.895225621688045,3364478000.0,0.0244730087676631,0.2211562937507954,2024-05-07,1.85,bmo,4319285963.0,2025-04-25,2024-03-29,0.0324324324324323,118.38555555555556,776712.0476190476
2023-12-29,J,USD,52988,2024-02-06,2024-02-06 08:13:39,2024,Q1,2810227000.0,2145497000.0,664730000.0,0.2365396105,0,0.0,0.0,522730000.0,0.0,522730000.0,2668227000.0,7519000.0,43350000.0,76288000.0,222843000.0,0.0792971529,142000000.0,0.0505297259,-38795000.0,103205000.0,0.0367247913,-31610000.0,171610000.0,0.0610662413,1.37,1.37,126105000,126813000,https://www.sec.gov/Archives/edgar/data/52988/000005298824000017/0000052988-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298824000017/jec-20231229.htm,22.28481820704968,1.3608500852464216,3.31756076285635,3.1803259188771262,9.057745529519051,58.59344197295904,-10.315221442448752,52.958042900757306,28.62068117838309,13667259900.0,16090893900.0,19.91034890157916,4.86340067901988,32.66858024529055,34.07826831731309,2.0465257789662417,2.0465257789662417,5.725834211969353,72.20731142553278,38.46174452207544,40.1214145192056,0.0125562842336816,0.0293442140512744,0.5339494905420173,0.2384839719950316,10.875970975081112,1.365126959571919,3.275663206459054,2.3056036240589903,0.0024413086634871,0.1944292290659052,0.0,0.0,0.5811669637466156,0.0413661885309577,0.0061582213821161,0.2268508808724832,0.0068713310348238,40.2682137288151,0.0161073959699968,0.0274028950525486,-29.052535585424845,1330722000.0,-1300801000.0,-2588010000.0,10779502000.0,3617657000.0,1053725500.0,0.0,117.7434136103596,46.76357039883999,0.0,0.7643739657305247,1.92457503206882,0.0,0.0256967593722569,0.1372348439792236,2024-02-06,1.5,bmo,4019222825.0,2025-04-25,2023-12-29,0.3466666666666667,118.35475409836066,830191.8196721311
2023-09-29,J,USD,52988,2023-11-21,2023-11-21 15:50:32,2023,Q4,4288712000.0,3377146000.0,911566000.0,0.2125500617,0,0.0,0.0,633737000.0,0.0,633737000.0,4010883000.0,7546000.0,43631000.0,78150000.0,361982000.0,0.0844034293,277829000.0,0.0647814542,-37628000.0,240201000.0,0.0560077245,72852000.0,149380000.0,0.0348309702,1.25,1.24,126074000,126865000,https://www.sec.gov/Archives/edgar/data/52988/000005298823000084/0000052988-23-000084-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298823000084/jec-20230929.htm,34.017418341608895,1.184859685581484,1.7399543125465995,1.4286609451591925,7.349509018512937,57.37155162840871,-10.965052270888526,51.92363215254533,28.66442724114409,14368653780.0,17012279780.0,24.04715119159191,3.3503424291488915,65.50171988895119,79.77400123253219,2.194954306454717,2.194954306454717,3.966757334136682,46.99758490753684,77.55309591863714,94.45127211756802,0.0103962418669955,0.0125354123467508,0.5453846647378182,0.2442485719987447,7.30319739655563,1.3704220319228788,6.367697279457267,1.3135823612541615,0.0022791278502083,0.2192261279957156,0.0,0.0,0.5894099168310232,0.1789089317706267,0.0091509991811061,0.5021880998080614,0.0042970943257556,37.20550920894046,0.0169673602119733,0.0248898634373271,-30.04871345400321,1267792000.0,-1382408000.0,-2693695000.0,10654677000.0,3558765000.0,1041920000.0,0.0,74.68268794920247,26.45413908667259,0.0,1.205098563956563,3.402114115493608,0.0,0.0228192758569067,0.3112933673874073,2023-11-21,2.02,bmo,4211949574.0,2025-04-25,2023-09-29,-0.0594059405940594,109.89444444444445,954263.8888888888
2023-06-30,J,USD,52988,2023-08-08,2023-08-08 08:14:47,2023,Q3,4186702000.0,3329959000.0,856743000.0,0.2046343399,0,0.0,0.0,587002000.0,0.0,587002000.0,3916961000.0,7830000.0,43787000.0,73169000.0,343641000.0,0.082079164,269741000.0,0.0644280391,-43056000.0,226685000.0,0.0541440494,54166000.0,164239000.0,0.0392287294,1.3,1.29,126646000,127138000,https://www.sec.gov/Archives/edgar/data/52988/000005298823000053/0000052988-23-000053-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298823000053/jec-20230630.htm,33.05830424964073,1.2968352731235095,2.5351057277766373,2.2915054561533723,8.6234622491038,56.9837420842348,-12.258357942611688,51.49563349809706,31.333993967436797,12572148420.0,15404559420.0,19.13697176066586,3.002876349928894,39.15813013726363,43.32086564901278,1.9277362614379403,1.9277362614379403,3.67940193020664,44.82747815307254,47.98016395638212,53.08073264188002,0.0130637178716984,0.0230835645829895,0.6017646275918792,0.262744666676352,8.242354666643386,1.461747716505464,6.160298718797817,1.8578521291800965,0.0026156229549189,0.2002204104993332,0.0,0.0,0.5870932392759605,0.0960907740273655,0.0073688072377733,0.4216403121540543,0.0049258342246474,38.763132787145686,0.0171095950324097,0.0266299081761968,-31.258515863114507,1523761000.0,-1552472000.0,-2896189000.0,11108825000.0,3538726000.0,1029505500.0,0.0,76.50058685810454,29.49168743519064,0.0,1.1764615631895028,3.051707373400698,0.0,0.025183402650468,0.2436002716232648,2023-08-08,1.84,bmo,3994310000.0,2025-04-25,2023-06-30,-0.0108695652173913,108.76253968253968,692891.4285714285
2023-03-31,J,USD,52988,2023-05-09,2023-05-09 07:16:23,2023,Q2,4078332000.0,3188038000.0,890294000.0,0.2182985593,0,0.0,0.0,600431000.0,0.0,600431000.0,3788469000.0,7630000.0,40613000.0,78181000.0,371107000.0,0.0909947989,289863000.0,0.0710739096,-37550000.0,252313000.0,0.0618667141,19060000.0,216512000.0,0.0530883704,1.71,1.7,126886000,127359000,https://www.sec.gov/Archives/edgar/data/52988/000005298823000024/0000052988-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298823000024/jec-20230331.htm,32.14170200022067,1.706350582412559,1.0406270195293412,0.7631968853931876,9.641181848273254,55.90869757104803,-13.01735416042747,50.278494081301325,33.36864587109689,12450054320.0,15420124320.0,14.37570933712681,3.0527319306030014,94.28930650328309,128.56446596928924,1.9515302077532,1.9515302077532,3.780987992149732,41.55169350079627,116.78285017532431,159.23465050238025,0.0173904462129286,0.0077781989950386,0.6573102827010376,0.2795110404301752,8.003271293723913,1.5282559834789904,7.137197449092655,0.5662669720127971,0.0026487433831533,0.1523102599394029,0.0,0.0,0.5829478176194562,0.2665990109132769,0.0086314699244691,0.4502570924253664,0.0036912149378716,43.93559601638785,0.0220589898291863,0.0346038281060208,-31.88864807780212,1696455000.0,-1651720000.0,-3000719000.0,11256012000.0,3479334000.0,948788500.0,0.0,77.65074545181707,27.322409582319903,0.0,1.1590358788744115,3.2939993717917986,0.0,0.0339379811108375,0.2774301341361537,2023-05-09,1.75,bmo,3992815422.0,2025-04-25,2023-03-31,0.0342857142857143,96.2466129032258,773819.4354838709
2022-12-30,J,USD,52988,2023-02-07,2023-02-07 07:14:56,2023,Q1,3798668000.0,2983955000.0,814713000.0,0.2144733364,0,0.0,0.0,576908000.0,0.0,576908000.0,3560863000.0,3007000.0,40077000.0,77752000.0,315310000.0,0.0830054114,237805000.0,0.0626022069,-40324000.0,197481000.0,0.051986907,50103000.0,135647000.0,0.0357090959,1.07,1.06,126824000,127496000,https://www.sec.gov/Archives/edgar/data/52988/000005298823000012/0000052988-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298823000012/jec-20221230.htm,29.95228032549044,1.0695688513215165,2.3835945877751845,2.129801930234025,9.549470131836246,54.10259099224122,-14.914637608023718,48.76130700813726,33.79543304106478,12714106000.0,15748999000.0,23.43233908601001,3.3469905766968844,42.05832674488996,47.07010477212987,2.0559334060358623,2.0559334060358623,4.145926677456414,49.94766737496432,52.09776808899857,58.30587168190737,0.0106690159732819,0.0212449070347533,0.6865982525520269,0.2846189677516141,9.62510862325965,1.4832944698700692,5.93370262245178,2.0610690666121223,0.0023447185354597,0.2197689591365824,0.0,0.0,0.5867367941101098,0.1064747582675316,0.0084732332491283,0.413970058648009,0.0053258142064534,34.2557358748379,0.0147483867201665,0.0220022864068441,-33.63408345423579,1566484000.0,-1891534000.0,-3248920000.0,11142640000.0,3422660500.0,883222500.0,0.5,81.50083134403954,28.042329726822288,0.0,1.1042832142421088,3.2094337694744257,0.0,0.0219347863490006,0.2537926575411594,2023-02-07,1.61,bmo,3621632851.0,2025-04-25,2022-12-30,0.0372670807453415,100.73193548387096,802604.4354838709
2022-09-30,J,USD,52988,2022-11-21,2022-11-21 07:09:51,2022,Q4,3881048000.0,3045367000.0,835681000.0,0.2153235415,0,0.0,0.0,527141000.0,0.0,527141000.0,3572508000.0,1565000.0,32695000.0,76246000.0,388803000.0,0.1001798999,308540000.0,0.0794991456,-28678000.0,279862000.0,0.0721099043,39358000.0,225207000.0,0.0580273679,1.76,1.75,127759000,128577000,https://www.sec.gov/Archives/edgar/data/52988/000005298822000111/0000052988-22-000111-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298822000111/jec-20220930.htm,30.377883358510942,1.7627486126222027,2.172371418060567,1.8000923613991968,8.926799677517826,52.73142400926745,-14.41617420299157,47.4334958789596,32.85861661409373,11572410220.0,14597220220.0,12.846414876091773,2.981774567075697,41.6963688837645,50.31964022645644,1.9096210035022776,1.9096210035022776,3.761154260395646,37.54400099793469,52.59501412409022,63.47224612789049,0.0194606824091654,0.0198729560763876,0.687335067530729,0.2841180050856663,7.779801081781776,1.452543569441176,9.436916959779785,1.1513889349839035,0.0025370687213678,0.1303689494553899,0.0,0.0,0.585161310873857,0.1713698926280896,0.0122549373262067,0.6237966581853475,0.0030089810793373,43.3739542084911,0.022546041406225,0.0370302163421498,-33.101309884235164,1471149000.0,-1841796000.0,-3201511000.0,10873448000.0,3354330000.0,891061000.0,1.0,78.96946649461692,24.727069019924365,2.9553088346987412e-08,1.139680993110609,3.639735867096928,3045367000.0,0.0371625278710295,0.3722790566613702,2022-11-21,1.77,bmo,3852680503.0,2025-04-25,2022-09-30,0.0169491525423728,99.12650793650792,634709.7777777778
