date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,JKHY,USD,779152,2025-05-06,2025-05-06 16:22:39,2025,Q3,585087000.0,340586000.0,244501000.0,0.4178882799,39411000,0.0,0.0,66350000.0,0.0,105761000.0,446347000.0,5899000.0,-2731000.0,0.0,138740000.0,0.2371271281,138740000.0,0.2371271281,3168000.0,141908000.0,0.2425417075,30800000.0,111108000.0,0.1898999636,1.52,1.52,73013000,73013000,https://www.sec.gov/Archives/edgar/data/779152/000077915225000016/0000779152-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915225000016/jkhy-20250331xex99pressrel.htm,8.013463355840742,1.5217563995452863,0.0,0.0,4.3059729089340255,4.3059729089340255,4.3059729089340255,0.0,-0.0374042978647638,13332173800.0,13017781800.0,29.99823100046801,22.78665189963202,0.0,0.0,0.0,0.0,22.24930958985587,93.8286132333862,0.0,0.0,0.0083338247510694,0.0,0.0,0.0,-2.26605160732305,-32.331550802139034,-50.80190406444526,0.0,0.0031763417305585,0.3811385318788926,0.0,0.0673592132452096,0.0,0.0,0.0,0.0,0.0,0.0,0.3351503447600895,0.3534059390824194,4.3059729089340255,324116000.0,314392000.0,314392000.0,324116000.0,141611500.0,11776000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-06,1.29,amc,602204430.0,2025-05-11,2025-03-31,0.1782945736434108,,
2024-12-31,JKHY,USD,779152,2025-02-07,2025-02-07 13:01:51,2025,Q2,573848000.0,332850000.0,240998000.0,0.419968354,41095000,0.0,0.0,76901000.0,0.0,117996000.0,450846000.0,7159000.0,2780000.0,51754000.0,181915000.0,0.3170090338,123002000.0,0.2143459592,4379000.0,127381000.0,0.2219768998,29536000.0,97845000.0,0.1705068241,1.34,1.34,73018656,73082000,https://www.sec.gov/Archives/edgar/data/779152/000077915225000009/0000779152-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915225000009/jkhy-20241231.htm,7.858923067551394,1.340000013147325,1.227727335874273,0.9994569059173042,0.3513211746871922,27.05561986788691,6.717694173938233,27.05561986788691,2.092341989970344,12800170396.8,12924517396.8,32.70522355971179,22.30585520346852,142.7841466730621,175.39525612573482,6.479245378815681,6.479245378815681,22.522544988916927,71.04701314789875,144.17122041786118,177.0991298428315,0.0076440388656436,0.005701408476425,0.0759276460151905,0.0515150578514099,0.6835445125470687,1.1657267282301211,44.2453237410072,0.9162144207675404,0.003131911432212,0.4097194542388471,0.0,0.0716130403870014,0.5100155575474711,0.1859292558590917,0.0290460191548981,0.3220620628357228,0.0153943204472264,28.56093393116275,0.0377261929674925,0.0685802840357126,-9.56104628932091,82428000.0,490517000.0,-356404000.0,1794457000.0,294941500.0,22022000.0,0.0,44.41955012477172,6.368273997296079,0.0,2.0261348831133064,14.132557744565217,0.0,0.0495276034957088,0.2282704299569688,2025-02-04,1.37,amc,586626360.0,2025-05-04,2024-12-31,-0.0218978102189781,173.67178571428573,717193.5
2024-09-30,JKHY,USD,779152,2024-11-08,2024-11-08 13:42:36,2025,Q1,600982000.0,343432000.0,257550000.0,0.4285486088,39686000,0.0,0.0,66588000.0,0.0,106274000.0,449706000.0,8347000.0,2825000.0,50494000.0,210117000.0,0.349622784,151276000.0,0.2517146936,5522000.0,156798000.0,0.2609029888,37607000.0,119191000.0,0.1983270714,1.63,1.63,73123312,73078000,https://www.sec.gov/Archives/edgar/data/779152/000077915224000111/0000779152-24-000111-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915224000111/jkhy-20240930.htm,8.218746984545776,1.6300000196927622,1.5986146798164722,1.4235542285064988,0.5909469746118721,26.325776928703668,6.070868343600192,26.325776928703668,1.95320748053644,12909189500.48,13005977500.48,27.0766867894388,21.48015997231198,110.43311576512455,124.01354052048607,6.705974926328344,6.705974926328344,21.641209720890146,61.89873975204291,111.26109961401588,124.94334502598588,0.0092330351177793,0.0080636355982015,0.0727262148914197,0.0478058644819841,0.4606385965914228,1.1118172738264207,53.549026548672565,0.9807451904925708,0.0031066241609133,0.3364683575102147,0.0,0.0660352556316162,0.5057539479960976,0.1095075964960306,0.021300138772875,0.253515269140888,0.0111567401353118,31.072461771234355,0.0469778698982273,0.0823480642943751,-9.986910877341003,63813000.0,443922000.0,-368980000.0,1757172000.0,336651500.0,22903000.0,0.0,45.92383798516427,5.370146055114258,0.0,1.9597665166634053,16.75932071052118,0.0,0.0619165019937372,0.1750604513099735,2024-11-05,1.61,amc,599561990.0,2025-04-24,2024-09-30,0.012422360248447,174.53316666666666,642403.6166666667
2024-06-30,JKHY,USD,779152,2024-08-26,2024-08-26 13:46:30,2024,Q4,559912000.0,327272000.0,232640000.0,0.4154938633,39892000,0.0,0.0,64305000.0,0.0,104197000.0,431469000.0,8647000.0,3889000.0,50690000.0,141112500.0,0.2520262113,128443000.0,0.2293985483,1941000.0,130384000.0,0.2328651645,29311000.0,101073000.0,0.1805158668,1.39,1.38,72886450,73069000,https://www.sec.gov/Archives/edgar/data/779152/000077915224000079/0000779152-24-000079-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915224000079/jkhy-20240630.htm,7.681976553941096,1.386718656211134,3.180275620502851,2.2450674988286576,0.5252553801152341,25.27718114958267,5.02011004788956,25.27718114958267,2.9291178264272717,11916205710.5,12087525710.5,29.474255514578573,21.282283127527183,51.40749403793805,72.82186396858863,6.467888924501347,6.467888924501347,21.5882597810013,85.65878792098503,52.14658264487768,73.86882824884651,0.0084819784464562,0.0137321395732378,0.113769048895875,0.0702718287760329,1.2140667906811942,0.8618206603199046,33.027256364103884,2.2933820110217367,0.0033639063451782,0.3965945405795811,0.0,0.0712469102287502,0.4949999329480078,0.2940651167606418,0.1217405592307362,1.3447228250147958,0.0115536012802011,28.08340471208006,0.040824334313012,0.0671004465263753,-11.348196406876724,-87580000.0,365898000.0,-594162000.0,1657936000.0,315029500.0,26108000.0,0.0,58.93402891883011,6.961365469701044,0.0,1.5271312966564206,12.928498064312238,0.0,0.0548604944516935,0.9352081216741932,2024-08-20,1.32,amc,563498019.0,2025-04-24,2024-06-30,0.0454545454545453,178.71609375,570770.796875
2024-03-31,JKHY,USD,779152,2024-05-09,2024-05-09 15:34:10,2024,Q3,538562000.0,328224000.0,210338000.0,0.3905548479,35993000,0.0,0.0,62246000.0,0.0,98239000.0,426463000.0,6499000.0,4433000.0,50082000.0,162181000.0,0.3011371021,112099000.0,0.2081450232,2066000.0,114165000.0,0.2119811647,27066000.0,87099000.0,0.1617251124,1.2,1.19,72872000,73031000,https://www.sec.gov/Archives/edgar/data/779152/000077915224000033/0000779152-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915224000033/jkhy-20240331.htm,7.390520364474695,1.1952327368536613,1.3389230431441432,0.6058293994950049,0.3739982434954441,24.42544461521572,4.2349599297398175,24.42544461521572,4.343204522999232,12421761120.0,12706572120.0,35.65414390521131,23.064681726523595,127.3112751870452,281.3663386789889,6.97878800919811,6.97878800919811,23.593517775112243,78.34809330316128,130.2303179255919,287.8176162000544,0.0070118076783624,0.0035540854129708,0.175324212005971,0.1126385942166354,1.7561304961740278,1.3933388971397946,25.287390029325515,1.1202195203159624,0.0032257905793635,0.4600512060988071,0.0,0.0668316739762552,0.5310673387961298,0.5475248539510096,0.0991937789892342,1.0666906273711114,0.0128564584950293,25.629417626372547,0.0357021121120565,0.0670416733054849,-10.508165001646724,147519000.0,308610000.0,-468005000.0,1834573000.0,266983500.0,22815500.0,38851500.0,44.01989000337937,7.376608657502193,0.0,2.044530324657576,12.200728570366516,0.0,0.048933919348559,0.7330936436491382,2024-05-07,1.17,amc,541804803.0,2025-04-24,2024-03-31,0.0170940170940171,169.21609375,427790.109375
2023-12-31,JKHY,USD,779152,2024-02-08,2024-02-08 16:50:04,2024,Q2,545701000.0,320979000.0,224722000.0,0.4118042664,35478000,0.0,0.0,70277000.0,0.0,105755000.0,426734000.0,5121000.0,3865000.0,49896000.0,173984000.0,0.3188266102,118967000.0,0.2180076635,1256000.0,120223000.0,0.2203092903,28258000.0,91965000.0,0.1685263542,1.26,1.26,72838000,72984000,https://www.sec.gov/Archives/edgar/data/779152/000077915224000018/0000779152-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915224000018/jkhy-20231231.htm,7.4919822070897055,1.26259644690958,1.1193745023202175,0.3030560970921772,0.3666904637689118,23.674277163019305,3.536519399214696,23.674277163019305,3.553982811169994,11902457580.0,12130748580.0,32.35594405480346,21.811317149867783,145.98331448615895,539.2071024734983,6.902428271611883,6.902428271611883,22.2296616278878,69.72335720526026,148.78329731519753,549.5491791247622,0.0077265555774406,0.0018545749776156,0.1478786374520336,0.0925933995067495,1.312137897737723,1.3718665227808249,30.78059508408797,0.8865655412385146,0.0031807716805994,0.411667482194313,0.0,0.06501362467725,0.5326095797494241,0.7292629978045699,0.108958935387694,1.1916586499919832,0.0152684345456577,25.933546038992965,0.0387259903403882,0.0714467728728338,-10.449425437271756,150243000.0,257593000.0,-475322000.0,1821883000.0,279642000.0,19507500.0,78664500.0,44.620753856049376,5.251465049115362,21.78731318871328,2.016998643508987,17.138074643600834,4.130844368943284,0.0533319956599069,0.8163184052280403,2024-02-06,1.14,amc,540680000.0,2025-04-24,2023-12-31,0.1052631578947369,166.0257142857143,436590.6984126984
2023-09-30,JKHY,USD,779152,2023-11-09,2023-11-09 14:48:31,2024,Q1,571368000.0,323002000.0,248366000.0,0.4346865768,36892000,0.0,0.0,78774000.0,0.0,115666000.0,438668000.0,4745000.0,4197000.0,49235000.0,186680000.0,0.3267246328,132700000.0,0.2322496185,548000.0,133248000.0,0.2332087201,31569000.0,101679000.0,0.1779571135,1.4,1.39,72869000,73014000,https://www.sec.gov/Archives/edgar/data/779152/000077915223000099/0000779152-23-000099-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915223000099/jkhy-20230930.htm,7.84102979319052,1.3953670285032045,2.156458850814475,1.4513853627742936,0.4318297218295846,22.7798926841318,2.706706555599775,22.7798926841318,4.0724039028942345,11013420659.999998,11274508659.999998,27.07889696987578,19.275529361112277,70.08712452032914,104.13498983557264,6.6347985961006,6.6347985961006,19.73248179807059,60.39483961859866,71.74863439375329,106.60365030587832,0.0092322815171576,0.0096029202247869,0.1762434726870962,0.106997490694797,1.3985858152989072,1.19748812597622,31.617822253990944,1.5454420283441026,0.0034378964691247,0.3723777771221196,0.0,0.0645678441914843,0.5349647779277696,0.3269589344465727,0.0899210316293527,1.0435259469889306,0.012510326094566,26.743073892061748,0.0447332731721296,0.0799671257009382,-10.792590127489056,92931000.0,197235000.0,-510779000.0,1758491000.0,338348000.0,19721000.0,39813000.0,45.480268408451295,5.6524108209856285,22.186673766725903,1.978880141861166,15.922409543527555,4.05648908647929,0.0612543284488429,0.7050734880401817,2023-11-07,1.32,amc,565750000.0,2025-04-24,2023-09-30,0.0530303030303029,170.2014754098361,453213.91803278687
2023-06-30,JKHY,USD,779152,2023-08-24,2023-08-24 16:24:48,2023,Q4,534634000.0,308868000.0,225766000.0,0.4222814112,38498000,0.0,0.0,63069000.0,0.0,101567000.0,410435000.0,5176000.0,5425000.0,48377000.0,177752000.0,0.3324741786,124199000.0,0.2323065873,-248000.0,123950000.0,0.2318408481,26177000.0,97773000.0,0.1828783803,1.34,1.34,72882274,73027000,https://www.sec.gov/Archives/edgar/data/779152/000077915223000062/0000779152-23-000062-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915223000062/jkhy-20230630.htm,7.335583409485824,1.3415196128485234,2.394656346754493,1.6514578016597012,-4.55527773461075,32.57440897082876,12.59647853468458,22.0699754785368,3.8476433926855793,12195390908.42,12458147908.42,31.182920919937,22.810728289671065,69.87641472096168,101.32260105697812,7.581793652771821,7.581793652771821,23.30219909025614,70.08724463533463,71.38194391971489,103.50565717103404,0.0080172091845366,0.009869466333949,0.1709656763091308,0.0991410420120079,1.4782224672577524,1.5709693317222415,22.893824884792625,1.7850326777331165,0.003106993476842,0.3875405275485052,0.0,0.0720081401482135,0.5249200923201384,0.3103570773744041,0.1013141700677472,1.1196643032846187,0.0133773759244642,25.81016004579823,0.0412659692047142,0.0741947307194095,-6.047502716504153,228233000.0,918060000.0,228233000.0,1889934000.0,314104500.0,16472500.0,0.0,65.30948274894601,5.581801934807102,0.0,1.3780540927871987,16.123825433284612,0.0,0.0607848257082641,0.7431985450947922,2023-08-15,1.18,amc,512780000.0,2025-04-24,2023-06-30,0.1355932203389832,153.14222222222224,558120.0158730159
2023-03-31,JKHY,USD,779152,2023-05-08,2023-05-08 14:10:49,2023,Q3,508552000.0,307345000.0,201207000.0,0.3956468562,34625000,0.0,0.0,58192000.0,0.0,92817000.0,400162000.0,2391000.0,4666000.0,48637000.0,159418000.0,0.313474335,108390000.0,0.2131345467,-2275000.0,106115000.0,0.2086610612,24566000.0,81549000.0,0.1603552832,1.12,1.12,72866294,73074000,https://www.sec.gov/Archives/edgar/data/779152/000077915223000024/0000779152-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915223000024/jkhy-20230331.htm,6.979248869168507,1.1191594291868336,0.2239718682550261,-0.508451822731646,0.3643934464404076,21.111393424235352,1.199402291545114,21.111393424235352,5.2104612319106005,10982407831.68,11330856831.68,33.66812539601957,21.59544713555349,672.9416563529411,-296.4292648028287,7.139272949504944,7.139272949504944,22.28062583900958,71.07639558694753,694.2926980196079,-305.8343499603228,0.0074254208412077,-0.0033734860850029,0.2437748202734301,0.1438109493146372,2.185756940872424,1.52296010681441,23.229747106729533,0.2001250781738586,0.0034502452085867,0.4646531533188635,0.0,0.0680854661863487,0.55641765196079,3.27015931372549,0.1049430540043102,1.0972921849620658,0.0135974295647249,23.05662242860244,0.0364214253200315,0.0705024016931158,-11.8374553260524,167638000.0,87396000.0,-581094000.0,1818338000.0,243312000.0,13493500.0,0.0,42.51706806776888,4.037840212139453,0.0,2.1167969497931285,22.289143520197257,0.0,0.0530121061503248,0.7324236909866721,2023-05-02,1.1,amc,512430000.0,2025-04-24,2023-03-31,0.0181818181818181,161.3652380952381,485649.1587301588
2022-12-31,JKHY,USD,779152,2023-02-09,2023-02-09 15:04:50,2023,Q2,505314000.0,304589000.0,200725000.0,0.3972282581,36561000,0.0,0.0,56788000.0,0.0,93349000.0,397938000.0,1240000.0,3406000.0,48102000.0,156718000.0,0.3101398338,107376000.0,0.2124936178,-2166000.0,105210000.0,0.2082071742,24435000.0,80775000.0,0.1598511025,1.11,1.1,72984105,73144000,https://www.sec.gov/Archives/edgar/data/779152/000077915223000012/0000779152-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915223000012/jkhy-20221231.htm,6.923617135539307,1.1067478322848516,0.7382429365955779,0.017688783057626,0.3529946691817348,20.7030010164542,0.9244478643671796,20.7030010164542,3.814899148246046,12813089473.8,13062347473.8,39.656730033426186,25.35668806682577,237.80789669265036,9924.933751975212,8.479930028524345,8.479930028524345,25.849961556180908,83.34937578197781,242.4340659576837,10118.00733834237,0.0063041002066806,0.0001007563400411,0.1820137790455264,0.1066685232036744,1.5904873722227184,1.1513752125573875,31.525543159130944,0.6670380687093779,0.0027897253096601,0.4425255338904364,0.0,0.0723530319761574,0.5598777788422268,0.9760393466963624,0.1040719235960214,1.0932809446592655,0.0149313100369275,22.70556173444988,0.0379765192774406,0.0711826408649605,-11.738727220125533,61691000.0,67470000.0,-598059000.0,1708571000.0,246959500.0,16821500.0,0.0,43.88166565739323,3.89974687201442,0.0,2.05097046002484,23.07842097287468,0.0,0.0534583286454576,0.7205541535379518,2023-02-07,1.11,amc,515424627.0,2025-04-24,2022-12-31,-0.009009009009009,155.6582258064516,723214.2741935484
