date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-28,KO,USD,21344,2025-05-01,2025-05-01 15:38:52,2025,Q1,11129000000.0,4163000000.0,6966000000.0,0.6259322491,0,0.0,0.0,3234000000.0,0.0,3307000000.0,7397000000.0,180000000.0,387000000.0,267000000.0,4711000000.0,0.4233084734,3659000000.0,0.3287806631,398000000.0,4057000000.0,0.3645430856,722000000.0,3330000000.0,0.2992182586,0.77,0.77,4302000000,4313000000,https://www.sec.gov/Archives/edgar/data/21344/000002134425000029/0000021344-25-000029-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134425000029/ko-20250328.htm,2.586936308693631,0.7740585774058577,-1.209205020920502,-1.2810320781032078,2.788470478847048,6.451417945141794,-0.9307298930729891,6.090655509065551,11.505811250581123,302731740000.0,343425740000.0,22.72760810810811,27.20206128133705,-58.19525951557094,-54.932270005443655,11.553764598122282,11.553764598122282,30.858634198939708,72.89869242199109,-66.01801999231066,-62.31641081473417,0.010999837678071,-0.0182042358690238,1.8743225707961224,0.4828247276731291,8.638081086818085,1.099546370967742,9.454780361757106,-1.5598200899550223,0.0002939896556601,0.0267267267267267,0.0,0.0,0.3122222659168666,-0.0594002306805074,0.0277652978704286,1.1573033707865168,0.0056608859735825,10.299358869530163,0.0360266583274599,0.0475999885645673,-13.097803347280337,2370000000.0,-4004000000.0,-47784000000.0,44559000000.0,3830000000.0,2734000000.0,4915000000.0,33.08383502560877,0.0,110.30026423252464,2.7203617697384503,0.0,0.8159545276362211,0.1270895351499885,0.0718270571827057,2025-04-29,0.714,bmo,11158330012.0,2025-05-11,2025-03-28,0.0224089635854341,66.785,17918034.8
2024-12-31,KO,USD,21344,2025-02-20,2025-02-20 15:17:12,2024,Q4,11544000000.0,4613000000.0,6931000000.0,0.6003984754,0,79000000.0,1901000000.0,1980000000.0,2242000000.0,4222000000.0,8835000000.0,204000000.0,431000000.0,276000000.0,3513000000.0,0.3043139293,2709000000.0,0.2346673597,97000000.0,2806000000.0,0.2430699931,611000000.0,2195000000.0,0.1901420651,0.51,0.51,4309000000,4320000000,https://www.sec.gov/Archives/edgar/data/21344/000002134425000011/0000021344-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134425000011/ko-20241231.htm,2.6790438616848458,0.5093989324669297,0.9169180784404736,0.7305639359480158,2.9816662798793225,6.120213506614063,-1.17614295660246,5.768391738222325,10.432350893478766,268278340000.0,301972340000.0,30.55561958997722,23.23963444213444,67.90137686661605,85.22183608640407,10.793303025426455,10.793303025426455,26.15838011088011,85.95853686307998,76.4293444697545,95.92513977128336,0.0081818010354469,0.0117340818494702,1.791197296427422,0.4427890879073884,9.591232564759466,1.0296249356410154,6.2853828306264505,1.7918367346938775,0.0152267231115266,1.8610478359908884,0.0068433818433818,0.0,0.3126833683079891,0.2032396861554037,0.0695599445599445,2.9094202898550723,0.0068433818433818,8.131069016665887,0.0273622157772789,0.0317614203649307,-13.06294964028777,748000000.0,-5068000000.0,-48180000000.0,42491000000.0,3901000000.0,14644000000.0,4721000000.0,27.824844074844076,106.68111857793194,92.24365922393235,3.234519473241805,0.8436356986100951,0.9756768189509306,0.0883086578693273,0.1863541424924576,2025-02-11,0.518,bmo,10682060784.0,2025-05-11,2024-12-31,0.0617760617760618,65.2753125,15917865.6875
2024-09-27,KO,USD,21344,2024-10-24,2024-10-24 11:55:23,2024,Q3,11854000000.0,4664000000.0,7190000000.0,0.6065463135,0,67000000.0,1979000000.0,2046000000.0,2634000000.0,4661000000.0,9272000000.0,263000000.0,425000000.0,268000000.0,4070000000.0,0.3433440189,2510000000.0,0.2117428716,870000000.0,3380000000.0,0.2851358191,530000000.0,2848000000.0,0.2402564535,0.66,0.66,4311000000,4323000000,https://www.sec.gov/Archives/edgar/data/21344/000002134424000060/0000021344-24-000060-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134424000060/ko-20240927.htm,2.749710044073301,0.6606355833913246,-0.2920436093713755,-0.4008350730688935,4.213407562050568,6.530735328230109,-1.0649501275806077,6.151241011366272,10.830201809324985,309486690000.0,341812690000.0,27.167019838483142,26.10820735616669,-245.81945194598893,-179.10109375,11.670815672373484,11.670815672373484,28.835219335245487,83.98346191646192,-271.49538522637016,-197.8082696759259,0.009202334355639,-0.0055834388225225,1.7446262915755335,0.4353603222103024,7.942506142506143,1.060170114459729,5.905882352941177,-0.4417543859649123,0.0067531175573334,0.7338483146067416,0.005652100556774,0.0,0.3081418327593021,-0.3725178713264496,0.0395647038974185,1.75,0.005652100556774,9.562107279141111,0.0261392927778378,0.0387372315392881,-12.622651356993735,1719000000.0,-4591000000.0,-47824000000.0,44328000000.0,4389000000.0,22864500000.0,4738500000.0,32.13851864349587,459.6483704974271,90.96483704974273,2.8003779825183086,0.1958018471872376,0.989393296563428,0.1073987480202126,0.1087914636975179,2024-10-23,0.74,bmo,11610231846.0,2025-04-25,2024-09-27,0.0405405405405405,68.4775,13673518.859375
2024-06-28,KO,USD,21344,2024-07-29,2024-07-29 15:54:36,2024,Q2,12363000000.0,4812000000.0,7551000000.0,0.610774084,0,2149000000.0,1400000000.0,3549000000.0,-1370000000.0,4919000000.0,9731000000.0,275000000.0,418000000.0,269000000.0,3715000000.0,0.3004934077,2632000000.0,0.2128933107,396000000.0,3028000000.0,0.2449243711,617000000.0,2411000000.0,0.1950173906,0.56,0.56,4309000000,4319000000,https://www.sec.gov/Archives/edgar/data/21344/000002134424000044/0000021344-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134424000044/ko-20240628.htm,2.869111162682757,0.5595265722905547,0.8319795776282201,0.7340450220468786,4.407751218380135,6.361336737061963,-1.135762357855651,5.9997679275934095,10.26572290554653,274267850000.0,304376850000.0,28.43922127747822,22.184570897031463,76.50428172942817,86.71130256085995,10.608743666112249,10.608743666112249,24.619983013831597,81.93185733512786,84.9028870292887,96.230429971546,0.0087906767052718,0.0115325219488904,1.6948516613159017,0.4329657516649868,8.10471063257066,1.079827768854868,6.29665071770335,1.493127863390254,0.0076020576235967,0.8647863956864371,0.1738251233519372,0.0,0.3192130590304539,0.1177126917712691,0.034134109843889,1.5687732342007434,0.0058238291676777,8.69098185586449,0.0269816390296591,0.0349942668040698,-11.37334648410304,2336000000.0,-4894000000.0,-42192000000.0,44149000000.0,4394500000.0,20667000000.0,4862000000.0,33.08662945886921,409.7693266832918,89.08354114713218,2.72013201320132,0.2196357661235108,1.010287633844216,0.0932580358178934,0.0979345555813413,2024-07-23,0.806,bmo,11775715636.0,2025-04-25,2024-06-28,0.042183622828784,61.90095238095238,12090980.412698412
2024-03-29,KO,USD,21344,2024-05-30,2024-05-30 15:00:07,2024,Q1,11300000000.0,4235000000.0,7065000000.0,0.6252212389,0,68000000.0,1782000000.0,3351000000.0,-1573000000.0,4924000000.0,9159000000.0,246000000.0,382000000.0,262000000.0,4517000000.0,0.3997345133,2141000000.0,0.1894690265,1731000000.0,3872000000.0,0.3426548673,687000000.0,3177000000.0,0.2811504425,0.74,0.74,4310000000,4322000000,https://www.sec.gov/Archives/edgar/data/21344/000002134424000019/0000021344-24-000019-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134424000019/ko-20240329.htm,2.6218097447795823,0.737122969837587,0.1225058004640371,0.0366589327146171,3.925522041763341,6.483990719257541,-0.9948955916473318,6.132018561484919,9.961020881670532,263685800000.0,295792800000.0,20.749590808939253,23.33502654867257,499.4049242424242,1668.8974683544304,9.977138749101366,9.977138749101366,26.176353982300885,65.4843480185964,560.2136363636364,1872.106329113924,0.012048430366747,0.0005991979848744,1.6099738923152598,0.4281028654217643,7.108036307283595,1.0390040908449711,5.604712041884817,0.16536172878171,0.0003754468386238,0.0311614730878186,0.0060176991150442,0.0,0.3243118158403091,0.7007575757575758,0.0327433628318584,1.4122137404580153,0.0060176991150442,10.084699499522625,0.0224398884378604,0.0473063521844009,-11.337238979118329,1106000000.0,-4288000000.0,-41984000000.0,42646000000.0,3827000000.0,12507500000.0,4692500000.0,33.80176991150442,412.8099173553719,105.42857142857144,2.66258246936852,0.218018018018018,0.8536585365853658,0.1202088614779219,0.0858468677494199,2024-04-30,0.7,bmo,11007420414.0,2025-04-25,2024-03-29,0.0285714285714286,60.07,14194662.93442623
2023-12-31,KO,USD,21344,2024-02-20,2024-02-20 13:21:24,2023,Q4,10849000000.0,4634000000.0,6215000000.0,0.5728638584,0,144000000.0,1769000000.0,3799000000.0,-143000000.0,3799000000.0,8433000000.0,267000000.0,413000000.0,271000000.0,3156000000.0,0.2909023873,2273000000.0,0.2095123975,209000000.0,2482000000.0,0.2287768458,509000000.0,1973000000.0,0.1818600793,0.46,0.46,4317000000,4330000000,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/0000021344-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/ko-20231231.htm,2.51308779244846,0.4570303451470929,0.6184850590687978,0.4213574241371323,3.1649293490850128,6.365531619179986,-1.3303219828584665,6.0090340514246,9.839471855455177,254400810000.0,287098810000.0,32.235277496198684,23.449240482993822,95.281202247191,139.8575096206707,9.806900659188155,9.806900659188155,26.46315881648078,90.96920468948036,107.52764419475656,157.8333205057724,0.0077554784515033,0.007150134466946,1.6215257700165762,0.4305292570340726,10.360583016476552,1.1341054685842773,5.50363196125908,1.353269133299544,0.0152279389362007,1.9635073492143944,0.0132731127292838,0.0,0.3400407356990061,0.3187265917602996,0.0784404092543091,3.140221402214022,0.0070974283344087,7.860788471697507,0.022404009959134,0.030598635235732,-11.996872828353023,3161000000.0,-5743000000.0,-43491000000.0,45620000000.0,3452500000.0,11213500000.0,4338000000.0,28.28832150428611,108.56711264566248,85.9214501510574,3.181524926686217,0.8289803220035779,1.0474683544303798,0.0760572067383678,0.1971276349316655,2024-02-13,0.49,bmo,10674600000.0,2025-04-25,2023-12-31,0.0,56.80079365079365,15499590.682539685
2023-09-29,KO,USD,21344,2023-10-24,2023-10-24 14:46:01,2023,Q3,11953000000.0,4657000000.0,7296000000.0,0.6103906969,0,57000000.0,2220000000.0,3667000000.0,-489000000.0,3667000000.0,8324000000.0,248000000.0,368000000.0,290000000.0,4128000000.0,0.3453526311,3270000000.0,0.2735714883,267000000.0,3537000000.0,0.2959089768,454000000.0,3087000000.0,0.2582615243,0.71,0.71,4324000000,4339000000,https://www.sec.gov/Archives/edgar/data/21344/000002134423000060/0000021344-23-000060-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134423000060/ko-20230929.htm,2.7643385753931544,0.7139222941720629,0.9944495837187788,0.9051803885291396,3.5696114708603144,6.436864014801111,-1.1683626271970398,6.088112858464385,9.375346901017576,242057520000.0,270345520000.0,19.602973760932944,20.25077553752196,56.29244651162791,61.844026571282576,9.194967521367522,9.194967521367522,22.61737806408433,65.49067829457364,62.8710511627907,69.07141543178334,0.0127531670984648,0.0161697104060225,1.5259639126305793,0.4116809116809117,6.852713178294573,1.141669056495555,8.88586956521739,1.3947453778786896,0.0082170551858913,0.6443148688046647,0.0047686773195013,0.0,0.3370124413289881,0.0897674418604651,0.0322931481636409,1.331034482758621,0.0047686773195013,9.88912982671377,0.0360046412062884,0.0477176819748659,-11.462245605920444,3458000000.0,-5052000000.0,-41878000000.0,45203000000.0,3732500000.0,16660000000.0,4449000000.0,26.315569313143147,325.38758857633667,82.17307279364397,3.4200286123032906,0.2765932173189998,1.0952492944496708,0.1172649572649572,0.0892691951896392,2023-10-24,0.69,bmo,10790300000.0,2025-04-25,2023-09-29,0.0724637681159421,59.97746031746031,12243044.698412698
2023-06-30,KO,USD,21344,2023-07-27,2023-07-27 11:49:13,2023,Q2,11972000000.0,4912000000.0,7060000000.0,0.5897093218,0,62000000.0,1901000000.0,3321000000.0,1338000000.0,4659000000.0,9571000000.0,224000000.0,374000000.0,281000000.0,3564000000.0,0.2976946208,2401000000.0,0.2005512863,479000000.0,2880000000.0,0.2405613097,333000000.0,2547000000.0,0.2127464083,0.59,0.59,4325000000,4341000000,https://www.sec.gov/Archives/edgar/data/21344/000002134423000048/0000021344-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134423000048/ko-20230630.htm,2.768092485549133,0.5889017341040462,1.0332947976878613,0.9549132947976878,3.6286705202312137,6.370404624277457,-1.372023121387283,6.014566473988439,9.710751445086704,260451500000.0,289512500000.0,25.56453670985473,21.755053458068826,58.27959275005594,63.063317191283296,10.012359205012878,10.012359205012878,24.18246742398931,81.2324635241302,64.78238979637503,70.0998789346247,0.0097791719379615,0.0158570789571186,1.6001614577326722,0.4227776874949216,8.154040404040405,1.1441426498030272,6.419786096256685,1.7727092423641413,0.0076328990234266,0.7805261091480172,0.0051787504176411,0.0,0.3401113187616803,0.0758558961736406,0.0283160708319411,1.206405693950178,0.0051787504176411,8.927191276899842,0.0264299772840428,0.0392027089425888,-11.539768786127167,3476000000.0,-5934000000.0,-43313000000.0,46668000000.0,4284500000.0,16038000000.0,4686500000.0,29.844637487470767,302.00936482084694,85.12622149837134,3.015617128463476,0.2980040041254626,1.0572535514421006,0.0979125821704532,0.0783815028901734,2023-07-26,0.72,bmo,10619200000.0,2025-04-25,2023-06-30,0.0833333333333334,62.21177419354839,13379911.774193548
2023-03-31,KO,USD,21344,2023-04-26,2023-04-26 15:21:27,2023,Q1,10980000000.0,4317000000.0,6663000000.0,0.6068306011,0,58000000.0,1719000000.0,3185000000.0,615000000.0,3800000000.0,8117000000.0,168000000.0,372000000.0,286000000.0,4697000000.0,0.4277777778,3367000000.0,0.3066484517,686000000.0,4053000000.0,0.3691256831,940000000.0,3107000000.0,0.2829690346,0.72,0.72,4326000000,4345000000,https://www.sec.gov/Archives/edgar/data/21344/000002134423000024/0000021344-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134423000024/ko-20230331.htm,2.5381414701803053,0.7182154415164124,0.0369856680536292,-0.0268146093388811,3.304438280166436,6.210818307905687,-1.55039297272307,5.8291724456773,9.887193712436432,268341780000.0,298737780000.0,21.59171065336337,24.439142076502733,1677.136125,-2313.291206896552,10.641304675417375,10.641304675417375,27.207448087431693,63.60182669789227,1867.111125,-2575.3256896551725,0.0115785175159827,-0.0004322845290807,1.6814054011182933,0.4353003983409305,6.471364700872898,1.1508327268056686,9.051075268817204,0.0513973658849983,0.0003763856675617,0.0325072417122626,0.0052823315118397,0.0,0.34469836967681,1.725,0.0251366120218579,0.965034965034965,0.0052823315118397,9.705593098276742,0.0322002901127748,0.048676933682182,-11.657015718908925,3523000000.0,-6707000000.0,-43656000000.0,46946000000.0,4043000000.0,10450000000.0,4480000000.0,37.69672131147541,325.0799166087561,98.54760250173732,2.3874755381604698,0.2768549990380299,0.9132642267823144,0.1232105325772296,0.0638002773925104,2023-04-24,0.65,bmo,10803500000.0,2025-04-25,2023-03-31,0.0461538461538461,60.54693548387097,13904858.14516129
2022-12-31,KO,USD,21344,2023-02-21,2023-02-21 16:03:20,2022,Q4,10125000000.0,4513000000.0,5612000000.0,0.5542716049,0,83000000.0,1584000000.0,3431000000.0,106000000.0,3537000000.0,8050000000.0,143000000.0,304000000.0,307000000.0,3089000000.0,0.3050864198,2075000000.0,0.2049382716,425000000.0,2500000000.0,0.2469135802,444000000.0,2031000000.0,0.2005925926,0.47,0.47,4326000000,4347000000,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/0000021344-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/ko-20221231.htm,2.340499306518724,0.4694868238557559,0.6819232547387887,0.5182616736014795,2.688626907073509,5.969949144706426,-1.8042071197411005,5.572122052704577,9.11997226074896,275176860000.0,304806860000.0,33.87209010339734,27.17796148148148,93.28029152542372,122.737225691347,11.415758556316115,11.415758556316115,30.104381234567903,98.67493039818712,103.3243593220339,135.95310437109725,0.0073807078109692,0.0081474874013752,1.6241028832192492,0.4220324914028222,9.592101003561025,1.145355911579801,6.8256578947368425,1.4348249027237354,0.0134677021897844,1.824716888232398,0.0081975308641975,0.0,0.3625475674568524,0.24,0.0699259259259259,2.306188925081434,0.0081975308641975,7.672082664105618,0.0225096621862262,0.0343468849353987,-11.69076514100786,2867000000.0,-7805000000.0,-44346000000.0,46339000000.0,3740500000.0,10705000000.0,3970500000.0,30.995555555555555,105.83425659206736,84.41613117660093,2.9036420992256957,0.8503862822687017,1.0661469407039923,0.0842563783447417,0.1636615811373093,2023-02-14,0.45,bmo,10002643934.0,2025-04-25,2022-12-31,0.0,60.37063492063492,13364216.047619049
