date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-28,LHX,USD,202058,2025-04-24,2025-04-24 09:15:25,2025,Q1,5132000000.0,3782000000.0,1350000000.0,0.263055339,0,397000000.0,105000000.0,502000000.0,0.0,825000000.0,4607000000.0,0.0,150000000.0,301000000.0,910000000.0,0.1773187841,525000000.0,0.1022992985,-66000000.0,459000000.0,0.0894388153,73000000.0,386000000.0,0.0752143414,2.05,2.04,188500000,189100000,https://www.sec.gov/Archives/edgar/data/202058/000020205825000101/0000202058-25-000101-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205825000101/hrs-20250328.htm,27.22546419098143,2.047745358090186,-0.2228116710875331,-0.5358090185676393,2.7427055702917773,101.48541114058357,-45.91511936339523,101.49071618037136,65.79310344827586,39160875000.0,50895875000.0,25.36326101036269,7.630723889321902,-932.4017857142856,-387.73143564356434,2.0469852595264237,2.0469852595264237,9.917356780982074,55.92953296703297,-1211.8065476190477,-503.9195544554456,0.0098567766935749,-0.0025791047825157,0.6404265328524384,0.2970325833979829,12.895604395604396,1.0197341925090615,3.5,-0.1088082901554404,0.0058221375288473,0.5906735751295337,0.0773577552611067,0.0,0.6736084173778123,-1.4047619047619049,0.0114964925954793,0.1960132890365448,0.0037022603273577,68.38209353566977,0.0125877649533516,0.0286711728440912,-89.99071618037135,147000000.0,-8655000000.0,-14522000000.0,30687000000.0,3210500000.0,2026000000.0,1291000000.0,93.80553390491036,48.7123215230037,29.793759915388684,0.9594316694709292,1.847581827063996,3.0207667731629395,0.0201766765981914,0.3129973474801061,2025-04-24,2.31,bmo,5204470216.0,2025-05-11,2025-03-28,0.0432900432900433,209.624,1307839.95
2025-01-03,LHX,USD,202058,2025-02-14,2025-02-14 16:25:17,2024,Q4,5523000000.0,4126000000.0,1397000000.0,0.2529422415,0,-1070000000.0,466000000.0,-625000000.0,1453000000.0,828000000.0,4954000000.0,0.0,161000000.0,326000000.0,974000000.0,0.1763534311,569000000.0,0.103023719,-82000000.0,487000000.0,0.0881767156,31000000.0,453000000.0,0.082020641,-5.53,-5.51,189600000,190500000,https://www.sec.gov/Archives/edgar/data/202058/000020205825000023/0000202058-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205825000023/hrs-20250103.htm,29.12974683544304,2.3892405063291138,5.95464135021097,5.332278481012659,3.2436708860759493,103.26476793248943,-44.2246835443038,102.92194092827005,6.940928270042194,39768600000.0,40308600000.0,21.947350993377484,7.200543183052689,35.224623560673166,39.33590504451038,2.0379522394178538,2.0379522394178538,7.298316132536665,41.384599589322384,35.70292294065545,39.8700296735905,0.0113908963352997,0.0254220666556026,0.0591882750845546,0.0274993452536844,0.5544147843942505,1.0766409013494038,3.5341614906832297,2.4758771929824563,0.0055571481017687,0.4878587196467991,-0.193735288792323,0.0,0.6657936715792481,0.1045172719220549,0.0213652000724244,0.3619631901840491,0.015571247510411,74.38325470666291,0.0149981782922144,0.0322718529600341,-107.26793248945148,585000000.0,-8385000000.0,-14204000000.0,31355000000.0,2922000000.0,2027000000.0,1364500000.0,17.468766974470398,43.73485215705284,29.01114881240911,5.15205223880597,2.05785536159601,3.1022556390977445,0.0232141026955006,0.6223628691983122,2025-01-30,3.42,bmo,5502281459.0,2025-04-30,2025-01-03,0.0146198830409357,239.65921875,861456.953125
2024-09-27,LHX,USD,202058,2024-10-25,2024-10-25 09:20:11,2024,Q3,5292000000.0,3873000000.0,1419000000.0,0.2681405896,0,924000000.0,0.0,924000000.0,0.0,924000000.0,4797000000.0,0.0,166000000.0,324000000.0,920000000.0,0.1738473167,495000000.0,0.093537415,-65000000.0,430000000.0,0.0812547241,26000000.0,400000000.0,0.0755857899,2.11,2.1,189600000,190500000,https://www.sec.gov/Archives/edgar/data/202058/000020205824000168/0000202058-24-000168-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205824000168/hrs-20240927.htm,27.91139240506329,2.109704641350211,4.113924050632911,3.702531645569621,2.842827004219409,100.5379746835443,-48.76054852320675,100.20042194092828,68.96624472573839,44554104000.0,56925104000.0,27.846315,8.419142857142857,57.12064615384616,63.46738461538462,2.34519970523213,2.34519970523213,10.756822373393804,61.87511304347826,72.98090256410256,81.08989173789173,0.0089778485950474,0.0157561242843083,0.6795452152858196,0.3081954689775358,13.446739130434782,1.04126426690079,2.9819277108433737,1.9306930693069304,0.0049378167272761,0.55,0.1746031746031746,0.0,0.675762133256941,0.1,0.0147392290249433,0.2407407407407407,0.0151171579743008,68.96628990141186,0.0130151335583874,0.0294507436312766,-94.98681434599156,329000000.0,-9245000000.0,-14525000000.0,31431000000.0,4605500000.0,1972500000.0,1415500000.0,81.15646258503402,47.61425251742835,32.509682416731216,1.1089689857502096,1.890190336749634,2.768406004288777,0.021054847878724,0.4113924050632911,2024-10-24,3.25,amc,5282509628.0,2025-04-25,2024-09-27,0.0276923076923076,230.87484375,781670.921875
2024-06-28,LHX,USD,202058,2024-07-26,2024-07-26 09:18:31,2024,Q2,5299000000.0,4133000000.0,1166000000.0,0.2200415173,0,803000000.0,-229000000.0,655000000.0,5000000.0,655000000.0,4788000000.0,0.0,172000000.0,319000000.0,935000000.0,0.1764483865,511000000.0,0.0964332893,-86000000.0,390000000.0,0.0735987922,23000000.0,366000000.0,0.0690696358,1.93,1.92,189700000,190600000,https://www.sec.gov/Archives/edgar/data/202058/000020205824000140/0000202058-24-000140-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205824000140/hrs-20240628.htm,27.93357933579336,1.9293621507643648,3.974696889826041,3.463363205060622,2.8835002635740645,99.65208223510808,-50.30574591460201,99.3147074327886,70.76436478650501,42602826000.0,55307826000.0,29.10029098360656,8.039785997357992,56.50242175066313,64.84448401826484,2.261296496815287,2.261296496815287,10.43740819022457,59.1527550802139,73.35255437665782,84.18238356164383,0.008590979387142,0.0154215121785582,0.7033970276008492,0.318121804258588,13.588235294117649,0.8960026723082062,2.9709302325581395,2.060109289617486,0.0051874493020721,0.6038251366120219,0.1515380260426495,0.0,0.6828864296516792,0.1286472148541114,0.0183053406303076,0.3040752351097178,0.0186827703340252,65.66061105821983,0.013585650588052,0.0277062831188493,-95.73405376910912,-934000000.0,-9543000000.0,-14706000000.0,30313000000.0,4575000000.0,2004000000.0,1454000000.0,75.39347046612569,41.28720058069199,31.1831599322526,1.1937373282270782,2.179852320675105,2.886173184357542,0.0194267515923566,0.5113336847654191,2024-07-25,3.18,amc,5301353466.0,2025-04-25,2024-06-28,0.0188679245283019,216.0709523809524,910533.3650793652
2024-03-29,LHX,USD,202058,2024-04-26,2024-04-26 12:16:30,2024,Q1,5211000000.0,4060000000.0,1151000000.0,0.22087891,0,970000000.0,-237000000.0,733000000.0,88000000.0,733000000.0,4793000000.0,0.0,176000000.0,320000000.0,945000000.0,0.1813471503,418000000.0,0.08021493,-88000000.0,290000000.0,0.0556515064,5000000.0,283000000.0,0.0543081942,1.49,1.48,189800000,190800000,https://www.sec.gov/Archives/edgar/data/202058/000020205824000103/0000202058-24-000103-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205824000103/hrs-20240329.htm,27.455216016859858,1.4910432033719705,-0.547945205479452,-1.1538461538461535,2.5131717597471024,98.68282402528978,-51.00105374077977,98.34562697576396,73.15068493150685,40446380000.0,53677380000.0,35.73001766784452,7.761730953751679,-388.9075,-184.68666666666667,2.1668477445623058,2.1668477445623058,10.300782959124929,56.80146031746032,-516.1286538461538,-245.10219178082195,0.0069969178947534,-0.0054145760386961,0.7343833708346726,0.3278171035010522,14.001058201058202,0.9619533009363518,2.375,-0.3674911660777385,0.0055381964962006,0.7915194346289752,0.1861446939167146,0.0,0.6794050124354314,-1.1057692307692308,0.0220687008251775,0.359375,0.0184225676453655,57.43992966900533,0.011427743718482,0.0211099507683126,-96.61617492096944,-321000000.0,-9680000000.0,-14970000000.0,30925000000.0,4568500000.0,2109000000.0,1474000000.0,81.36442141623489,46.81773399014778,32.7192118226601,1.1061345786457228,1.9223484848484849,2.750677506775068,0.0151612557591342,0.6059009483667018,2024-04-25,2.91,amc,5111022467.0,2025-04-25,2024-03-29,0.0515463917525772,210.04311475409835,1129087.1803278688
2023-12-29,LHX,USD,202058,2024-02-20,2024-02-16 21:46:41,2023,Q4,5340000000.0,3935000000.0,1405000000.0,0.2631086142,480000000,878000000.0,0.0,-463000000.0,93000000.0,704000000.0,4639000000.0,0.0,171000000.0,350000000.0,1106000000.0,0.2071161049,557000000.0,0.1043071161,-481000000.0,76000000.0,0.0142322097,-50000000.0,158000000.0,0.029588015,0.83,0.83,189600000,190600000,https://www.sec.gov/Archives/edgar/data/202058/000020205824000029/0000202058-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205824000029/hrs-20231229.htm,28.16455696202532,0.8333333333333334,4.161392405063292,3.438818565400844,2.9535864978902957,99.3090717299578,-51.107594936708864,98.97151898734175,74.47784810126582,39933552000.0,53323552000.0,63.186,7.478193258426966,50.612866920152086,61.247779141104296,2.128086970423661,2.128086970423661,9.985683895131086,48.21297649186257,67.58371609632447,81.78458895705522,0.0039565726585003,0.0163271226160898,0.7434052757793765,0.3346366972917216,12.106690777576851,0.9885057471264368,3.257309941520468,4.993670886075949,0.0054089854065573,1.3670886075949369,0.1644194756554307,0.0898876404494382,0.6841221483915849,0.173637515842839,0.0256554307116104,0.3914285714285714,0.0151685393258426,43.07802201834084,0.0257256342885294,0.0119987849331713,-96.21571729957806,-92000000.0,-9690000000.0,-14946000000.0,32032000000.0,4663500000.0,2109000000.0,1555000000.0,74.59550561797752,48.16772554002541,33.667090216010166,1.2065070040668775,1.868471035137702,2.673233695652174,0.0084199307220889,0.7225738396624473,2024-01-25,3.31,amc,5169540000.0,2025-04-25,2023-12-29,0.0120845921450151,187.6363492063492,1367361.1904761903
2023-09-29,LHX,USD,202058,2023-10-27,2023-10-27 13:56:33,2023,Q3,4915000000.0,3608000000.0,1307000000.0,0.2659206511,0,0.0,0.0,828000000.0,80000000.0,828000000.0,4436000000.0,0.0,159000000.0,310000000.0,869000000.0,0.1768056968,559000000.0,0.113733469,-79000000.0,400000000.0,0.0813835198,18000000.0,383000000.0,0.0779247202,2.02,2.01,189300000,190100000,https://www.sec.gov/Archives/edgar/data/202058/000020205823000057/0000202058-23-000057-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205823000057/hrs-20230929.htm,25.964078182778657,2.02324352879028,2.868462757527734,2.086634970945589,2.636027469624934,98.86951928156364,-58.47860538827258,98.34125726360274,76.23349181193872,32960916000.0,46733916000.0,21.514958224543083,6.706188402848423,60.70150276243093,83.44535696202531,1.7705691877954448,1.7705691877954448,9.508426449643949,53.778959723820485,86.06614364640885,118.31371139240508,0.0116198227015292,0.0119838902535354,0.7666523420713365,0.337455370865155,15.849252013808975,0.8843433152558359,3.5157232704402515,1.4214659685863875,0.0065532159361105,0.5639686684073107,0.0,0.0,0.7042773035726952,0.2725598526703499,0.0301119023397761,0.4774193548387097,0.014852492370295,66.90879634519588,0.0147442483497666,0.0306228512033261,-98.16825145272055,-981000000.0,-11070000000.0,-16076000000.0,32381000000.0,4748000000.0,2070500000.0,1596500000.0,89.74364191251271,52.6829268292683,40.85920177383592,1.0028565598857375,1.7083333333333333,2.202686202686203,0.0205737000429737,0.7818277865821447,2023-10-26,3.06,amc,4760150000.0,2025-04-25,2023-09-29,0.0424836601307189,183.9390476190476,1100165.174603175
2023-06-30,LHX,USD,202058,2023-07-26,2023-07-26 17:02:49,2023,Q2,4693000000.0,3476000000.0,1217000000.0,0.2593223951,0,706000000.0,0.0,706000000.0,6000000.0,706000000.0,4182000000.0,0.0,111000000.0,256000000.0,775000000.0,0.1651395696,517000000.0,0.1101640742,-28000000.0,372000000.0,0.0792669934,21000000.0,349000000.0,0.0743660771,1.84,1.84,189200000,190100000,https://www.sec.gov/Archives/edgar/data/202058/000020205823000047/0000202058-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205823000047/hrs-20230630.htm,24.80443974630021,1.8446088794926003,2.1881606765327697,1.69661733615222,1.93446088794926,97.94397463002116,-33.22938689217759,97.39957716701905,50.924947145877375,37039684000.0,46197684000.0,26.532724928366765,7.892538674621777,89.46783574879227,115.38842367601248,2.009967657911873,2.009967657911873,9.84395567867036,59.60991483870968,111.58860869565216,143.9180186915888,0.0094223266051621,0.008666380631109,0.5168222270457998,0.2693286578813415,11.816774193548389,1.0857505151371056,4.657657657657658,1.1794871794871795,0.0058315832284098,0.6189111747851003,0.1504368207969316,0.0,0.7018268197500142,0.2246376811594203,0.0198167483486043,0.36328125,0.0183251651395695,63.58020769292069,0.0162626522245976,0.0330993930197268,-64.70005285412262,541000000.0,-6287000000.0,-9981000000.0,28270000000.0,4570500000.0,2041500000.0,1548000000.0,88.12060515661624,52.53452243958573,40.261795166858455,1.0213275299238302,1.713159191720059,2.235369774919614,0.0189385717386585,0.4915433403805497,2023-07-26,2.94,amc,4372700000.0,2025-04-25,2023-06-30,0.0102040816326531,191.3090322580645,1015724.8870967742
2023-03-31,LHX,USD,202058,2023-04-28,2023-04-28 13:22:59,2023,Q1,4471000000.0,3305000000.0,1166000000.0,0.2607917692,0,773000000.0,0.0,773000000.0,82000000.0,773000000.0,4078000000.0,0.0,102000000.0,250000000.0,725000000.0,0.1621561172,475000000.0,0.1062402147,-20000000.0,373000000.0,0.0834265265,34000000.0,337000000.0,0.0753746365,1.77,1.76,190200000,191200000,https://www.sec.gov/Archives/edgar/data/202058/000020205823000028/0000202058-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205823000028/hrs-20230331.htm,23.5068349106204,1.7718191377497372,1.840168243953733,1.4668769716088328,2.8654048370136698,96.78233438485805,-34.547844374342795,96.24605678233438,51.89274447949527,37324848000.0,46547848000.0,27.68905637982196,8.348210243793336,106.64242285714286,133.7808172043011,2.038940675188463,2.038940675188463,10.411059718183852,64.20392827586207,132.99385142857142,166.83816487455198,0.0090288378401433,0.0074749132267062,0.5335955424451,0.2751006843720956,12.721379310344828,1.1380263371809465,4.65686274509804,1.0324483775811208,0.0058941968095891,0.6528189910979229,0.1728919704764034,0.0,0.7034950854761033,0.2028571428571428,0.0158801163050771,0.284,0.0178930887944531,61.94302721168444,0.0143094704122984,0.0320098784194528,-65.0578338590957,849000000.0,-6571000000.0,-10099000000.0,28717000000.0,4392000000.0,1999500000.0,1416000000.0,91.50972936703198,55.93343419062027,41.963691376701966,0.9835019797624284,1.6090555014605648,2.144711226476314,0.018409264721949,0.3732912723449001,2023-04-27,2.87,amc,3863410000.0,2025-04-25,2023-03-31,-0.0034843205574913,204.45919354838708,1311770.7096774194
2022-12-30,LHX,USD,202058,2023-02-24,2023-02-24 15:40:58,2022,Q4,4578000000.0,3316000000.0,1262000000.0,0.2756662298,603000000,2844000000.0,-2077000000.0,767000000.0,130000000.0,767000000.0,4083000000.0,0.0,74000000.0,243000000.0,850000000.0,0.1856705985,625000000.0,0.1365224989,-92000000.0,533000000.0,0.1164263871,116000000.0,416000000.0,0.0908693753,2.18,2.17,190700000,192100000,https://www.sec.gov/Archives/edgar/data/202058/000020205823000014/0000202058-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/202058/000020205823000014/hrs-20221230.htm,24.006292606187728,2.1814368117461984,4.100681699003671,3.72836916622968,4.614577871001573,97.66124803356055,-24.43628736234924,97.13162034609334,41.21657052962769,39705647000.0,46611647000.0,23.86156670673077,8.673142638706858,50.77448465473146,55.84479184247539,2.1435861901419857,2.1435861901419857,10.181661642638709,54.83723176470589,59.60568670076727,65.55787201125176,0.010477099139072,0.0179067728074044,0.4203422771689251,0.2322515212981744,8.124705882352941,1.1693213296398892,8.445945945945946,1.8752997601918464,0.0053896615763495,0.5144230769230769,0.6212319790301442,0.1317169069462647,0.6945471900727836,0.0907928388746803,0.0155089558759283,0.2946058091286307,0.0157273918741808,69.0466948859197,0.0170440756362614,0.040625,-53.46617724174095,978000000.0,-4660000000.0,-8146000000.0,27122000000.0,4277500000.0,2011500000.0,1315000000.0,83.31585845347314,52.789505428226775,35.03920386007238,1.0802265219443137,1.704884318766067,2.5685515104570102,0.0224585650272634,0.3723125327739905,2023-01-26,3.21,amc,4341576400.0,2025-04-25,2022-12-30,0.0186915887850467,225.514126984127,1244000.7301587302
