date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,LLY,USD,59478,2025-05-01,2025-05-01 11:30:18,2025,Q1,12728500000.0,2224200000.0,10504300000.0,0.8252582787,2733700000,0.0,0.0,2362200000.0,0.0,5095900000.0,7320100000.0,0.0,0.0,0.0,4162600000.0,0.3270298935,5408400000.0,0.4249047413,-1952300000.0,3456100000.0,0.2715245316,696800000.0,2759300000.0,0.216781239,3.07,3.06,898700000,900604000,https://www.sec.gov/Archives/edgar/data/59478/000005947825000132/0000059478-25-000132-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000132/lly-20250331.htm,14.163235785022811,3.0703238010459555,1.853343718704796,0.1736953377100256,3.583732057416268,17.633025481250694,4.5221987315010574,17.54178257483031,42.85734950484032,742245317000.0,777667917000.0,67.24942168303555,58.31365180500452,445.63239493275694,4754.934766175528,47.08244424287019,47.08244424287019,61.096587736182585,186.82263897564025,466.8995659221902,4981.857251761691,0.003717504087668,0.0002103078273783,2.443158175175073,0.4308806024915873,8.509729495988084,1.3722583069764966,0.0,0.6036313557786395,0.0018138208071712,0.4879136012756858,0.0,0.2147700043210119,0.131814052767237,0.9062800192122958,0.1185921357583375,3.261668107173725,0.0120752641709549,34.811297482659,0.0681747023492355,0.0355551947591748,-61.38132858573495,11193100000.0,4064100000.0,-32280800000.0,41449900000.0,7001600000.0,3335300000.0,4655500000.0,99.01308088148642,139.2770434313461,376.7601834367414,0.9089708066727604,0.6461940732132481,0.2388787455697562,0.175029178930275,1.6796483809947702,2025-05-01,3.26,bmo,12667381362.0,2025-05-11,2025-03-31,0.0245398773006135,832.1544416666667,3629405.316666667
2024-12-31,LLY,USD,59478,2025-02-19,2025-02-19 10:10:59,2024,Q4,13532800000.0,2403800000.0,11129000000.0,0.8223723102,3022500000,1962800000.0,461700000.0,2424500000.0,0.0,5677500000.0,8081300000.0,44300000.0,224700000.0,484800000.0,6148800000.0,0.4543627335,6143700000.0,0.4539858714,-1105000000.0,5038700000.0,0.3723324072,628900000.0,4409800000.0,0.3258601324,4.88,4.88,900605000,903158000,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/0000059478-25-000067-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/lly-20241231.htm,15.026343402490548,4.896486250909111,2.746820193092421,1.61358198100166,3.801000438594056,15.84668084232266,2.5927015728315967,15.758406848729464,37.60683096363,695267060000.0,725642860000.0,39.41602000090708,51.37643798770395,281.0522515967337,478.4386595100468,48.98972386045758,48.98972386045758,53.6210436864507,118.0137360135311,293.33125555825046,499.3413570052298,0.0063425987706076,0.002090132099743,2.370628730068137,0.4274184430139656,4.940118397085611,1.1537569687700429,27.341789052069423,0.2804889110617261,0.0016839378238341,0.2654965077781305,0.1450401986285173,0.223346240245921,0.1516434626735217,0.7062818336162988,0.1291085362969969,0.0,0.0,41.66675540041851,0.09695864778156,0.066036422011342,-67.75456498686994,4363100000.0,2335000000.0,-31703600000.0,33402100000.0,6025850000.0,3057550000.0,3729900000.0,0.0,120.88110491721442,0.0,0.0,0.7445332342191662,0.0,0.3107221623297468,1.9400292025915915,2025-02-06,5.03,bmo,,2025-04-30,2024-12-31,0.0576540755467196,828.005625,3680689.796875
2024-09-30,LLY,USD,59478,2024-10-30,2024-10-30 11:54:10,2024,Q3,11439100000.0,2170800000.0,9268300000.0,0.8102298258,2734100000,2099800000.0,0.0,2099800000.0,0.0,4833900000.0,7004700000.0,47800000.0,192700000.0,466800000.0,2247900000.0,0.196510215,4434400000.0,0.3876528748,-2846000000.0,1588400000.0,0.1388570779,618100000.0,970300000.0,0.0848231067,1.08,1.07,901000000,905000000,https://www.sec.gov/Archives/edgar/data/59478/000005947824000245/0000059478-24-000245-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000245/lly-20240930.htm,12.696004439511654,1.0769145394006658,4.119755826859046,-0.5093229744728079,3.904994450610433,15.894228634850167,2.2364039955604884,15.804661487236404,34.752941176470586,798231940000.0,825982640000.0,205.66627331753068,69.78100899546293,215.0467253966971,-1739.4463717585531,56.05561376404495,56.05561376404495,72.20696033778881,367.4463454780017,222.52286968937744,-1799.918587927653,0.0012155614820424,-0.0005748955623098,2.185372191011236,0.4115986768403413,12.34516659993772,1.2732014541563823,23.011935651271408,3.825517881067711,0.0014663657783475,1.2063279398124291,0.1835633922249128,0.2390135587589932,0.1627589545398634,1.1236294081198308,0.3646091038630661,8.934875749785775,0.0116442727137624,19.569263381205467,0.0511030679739015,0.0153283034128894,-49.94353496115427,6741000000.0,2015000000.0,-29871100000.0,35218500000.0,12565350000.0,2905650000.0,6970650000.0,94.81978477327762,119.67247097844113,309.2786069651741,0.949168996905001,0.7520526589294994,0.2909997587066677,0.0681390449438202,4.629078801331853,2024-10-30,1.47,bmo,12097779593.0,2025-04-25,2024-09-30,-0.1972789115646258,899.0490625,3275258.96875
2024-06-30,LLY,USD,59478,2024-08-08,2024-08-08 11:28:54,2024,Q2,11302800000.0,2170200000.0,9132600000.0,0.8079944792,2711200000,2002900000.0,0.0,2002900000.0,0.0,4828500000.0,6998700000.0,37300000.0,183600000.0,414400000.0,4115200000.0,0.364086775,4304100000.0,0.3807994479,-786900000.0,3517200000.0,0.3111795307,550200000.0,2967000000.0,0.2625013271,3.29,3.28,900900000,904200000,https://www.sec.gov/Archives/edgar/data/59478/000005947824000187/0000059478-24-000187-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000187/lly-20240630.htm,12.546120546120546,3.293373293373293,1.6274836274836275,0.0703740703740703,3.734043734043734,15.135420135420135,1.3666333666333663,15.053835053835051,32.27394827394827,823755933000.0,849424333000.0,69.4098359453994,72.8806961991719,561.8305367616969,12992.995788643531,60.74000390797818,60.74000390797818,75.1516733021906,206.4114339521773,579.3372889101078,13397.860141955836,0.0036017949991505,7.696454430271156e-05,2.1303642530600206,0.4019767707179706,6.237461119751166,1.113678598292111,23.44281045751634,0.4941691944725311,0.0014232370936987,0.3951466127401415,0.1772038786849276,0.2398697667834519,0.1725820454456916,0.9567589687627882,0.1241108397919099,3.385135135135135,0.0186767880525179,33.39914239027417,0.0727394510629433,0.049890281736323,-46.42612942612943,3083100000.0,1231200000.0,-28035000000.0,30316800000.0,11546250000.0,2699250000.0,6291650000.0,104.1432211487419,121.29388996405862,268.79319878352226,0.8641945102836608,0.7419994529540481,0.3348299004859986,0.218773042324141,1.557109557109557,2024-08-08,2.6,bmo,9981495293.0,2025-04-25,2024-06-30,0.5076923076923077,799.9187301587301,2647590.984126984
2024-03-31,LLY,USD,59478,2024-04-30,2024-04-30 12:04:51,2024,Q1,8768000000.0,1673500000.0,7094500000.0,0.8091354927,2522800000,1836100000.0,116100000.0,1836100000.0,0.0,4358900000.0,6142900000.0,45800000.0,179600000.0,400600000.0,3116300000.0,0.355417427,2735600000.0,0.3119981752,-199500000.0,2536100000.0,0.2892449818,293200000.0,2242900000.0,0.2558052007,2.49,2.48,900800000,903802000,https://www.sec.gov/Archives/edgar/data/59478/000005947824000118/0000059478-24-000118-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000118/lly-20240331.htm,9.733570159857903,2.489897868561279,1.294404973357016,0.1994893428063943,2.8711145648312613,14.317717584369449,1.3272646536412078,14.223134991119004,29.29729129662522,685103440000.0,708854640000.0,76.36357394444691,78.13679744525547,587.5672727272727,3812.4843628269336,53.472740044644944,53.472740044644944,80.84564781021898,227.46675223823124,607.9370840480275,3944.655759599332,0.0032738121998044,0.0002622961577889,2.045815706904357,0.4099150030886642,7.621602541475467,1.3543749092649249,15.231625835189307,0.519862677783227,0.0017066036042674,0.5212894021133354,0.2094092153284671,0.287728102189781,0.1830021816134556,0.8458833619210978,0.1124885948905109,2.4620569146280578,0.0181797445255474,28.22797289426833,0.0514786228167349,0.0429331357899915,-42.07235235346359,6590700000.0,1195600000.0,-25857300000.0,31916500000.0,10674850000.0,2536250000.0,5937300000.0,102.78455748175182,133.03435912757695,328.1517777113833,0.8756179158136516,0.6765169584023932,0.2742633321315021,0.1750597087151308,1.0949156305506216,2024-04-30,2.46,bmo,8935782453.0,2025-04-25,2024-03-31,0.048780487804878,711.6686885245902,3236386.2622950817
2023-12-31,LLY,USD,59478,2024-02-21,2024-02-21 11:44:37,2023,Q4,9353400000.0,1788000000.0,7565400000.0,0.8088395664,2562700000,1809600000.0,461900000.0,1924600000.0,0.0,4487300000.0,6782900000.0,44500000.0,138200000.0,387700000.0,3034700000.0,0.3244488635,3078100000.0,0.3290888875,-569300000.0,2508800000.0,0.2682233199,319100000.0,2189700000.0,0.2341073834,2.43,2.31,905274629,949379000,https://www.sec.gov/Archives/edgar/data/59478/000005947824000065/0000059478-24-000065-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000065/lly-20231231.htm,10.332113261952468,2.4188240008657087,-0.344536331858252,-2.168402755491339,3.234046228859905,12.00044677271078,-1.0854164786275038,11.899041080935891,28.017464742182675,527702686736.68,550109386736.6799,60.248285922350085,56.4182742892082,-1691.897039873934,-268.8245984394702,48.98882153906739,48.98882153906739,58.81384167646844,181.27307039795693,-1763.7364114673933,-280.23911703345897,0.0041494956441119,-0.0037198976797696,2.341768861575024,0.3941065176396698,7.383497545062115,0.9426157431155012,22.272793053545588,-0.1424461088783339,0.0019293060762982,0.4649495364661826,0.1934697543139393,0.2739859302499626,0.185080218665975,-5.29368387303623,0.1765240447323967,4.258705184420944,0.0128509419034789,25.447749182623845,0.061594159999522,0.041980444785276,-42.8890292030928,-1566200000.0,-982600000.0,-27415600000.0,23193700000.0,10850000000.0,2516950000.0,5337100000.0,109.078837641927,130.81208053691273,290.5771812080537,0.8250913004357722,0.6880098507003233,0.3097283813747228,0.2032789015865353,1.8238664236330877,2024-02-06,2.22,bmo,8932340000.0,2025-04-25,2023-12-31,0.1216216216216216,583.7014285714287,3244149.587301587
2023-09-30,LLY,USD,59478,2023-11-02,2023-11-02 11:21:53,2023,Q3,9498600000.0,1860100000.0,7638500000.0,0.804171141,2409100000,1803900000.0,0.0,1803900000.0,0.0,4213000000.0,8932700000.0,48900000.0,124600000.0,411000000.0,962800000.0,0.101362306,450400000.0,0.0474175142,-23200000.0,427200000.0,0.044975049,484600000.0,-57400000.0,-0.0060429958,-0.0638,-0.0638,899800000,899800000,https://www.sec.gov/Archives/edgar/data/59478/000005947823000284/0000059478-23-000284-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947823000284/lly-20230930.htm,10.556345854634364,-0.0637919537675038,2.4333185152256056,-2.013447432762836,2.7716159146476995,12.566570348966437,0.4895532340520115,12.469882196043566,22.552678372971773,483309574000.0,501097074000.0,-2105.0068554006966,50.88219042806308,220.7397003882165,-266.7713054037644,43.07418398631065,43.07418398631065,52.75483481776262,520.4581159119235,228.86370130166705,-276.58943202516974,-0.0001187644588228,-0.0037485290949357,1.7974671134718905,0.3482366551268658,18.474761113419195,1.045858297497068,3.6147672552166936,-38.14459930313589,0.0021025861159539,-17.70383275261324,0.1899121975870128,0.2536268502726718,0.1876337077293643,1.8274491893126288,0.4212410249931569,9.735279805352798,0.0226980818225843,,-0.0015857981359577,-0.0012200150482692,-37.664647699488775,1008800000.0,440500000.0,-23601100000.0,23738900000.0,9767600000.0,2454650000.0,4850050000.0,98.19783968163728,117.82108488790928,237.1517660340842,0.9165171076246164,0.7638700669377028,0.379503815236463,-0.0051156821503689,4.446765947988442,2023-11-02,-0.08,bmo,8954140000.0,2025-04-25,2023-09-30,-2.25,515.2939682539683,2793781.031746032
2023-06-30,LLY,USD,59478,2023-08-08,2023-08-08 13:23:19,2023,Q2,8312100000.0,1807400000.0,6504700000.0,0.7825579577,2356500000,1925400000.0,0.0,1925400000.0,0.0,4281900000.0,6089300000.0,46000000.0,120300000.0,366300000.0,2575500000.0,0.3098494965,2222800000.0,0.2674173795,-133900000.0,2088900000.0,0.2513083336,325700000.0,1763200000.0,0.2121244932,1.96,1.95,899700000,902700000,https://www.sec.gov/Archives/edgar/data/59478/000005947823000221/0000059478-23-000221-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947823000221/lly-20230630.htm,9.238746248749584,1.9597643658997443,0.7023452261865066,-0.227186840057797,3.144492608647327,12.392241858397243,0.1855062798710681,12.297210181171502,21.05179504279204,421941306000.0,438066806000.0,59.82606992967333,50.76229905799978,667.7343028960279,-2064.2921037181995,38.13710533451436,38.13710533451436,52.70230218596985,170.09000427101537,693.2533723690458,-2143.183982387476,0.0041787802590723,-0.0004844275663307,1.7010430412697264,0.3433429415842668,6.261114346728791,1.1277610362146444,18.47714048212801,0.3583824863883847,0.0024121838405647,0.5772459165154264,0.2316382141697044,0.2835023640235319,0.2003575728828401,1.3234689033074851,0.1006123602940291,2.283101283101283,0.019429506382262,23.286085373960727,0.0513181510850951,0.0402266857700836,-35.0758030454596,2416600000.0,166900000.0,-22333100000.0,24676400000.0,9096750000.0,2245050000.0,4671750000.0,99.30414696647055,123.20349673564236,238.9526391501604,0.9063065617026844,0.7304987470697599,0.3766436743284639,0.1593665829100309,0.9295320662443036,2023-08-08,1.98,bmo,7582400000.0,2025-04-25,2023-06-30,0.0656565656565656,419.37,3041076.4032258065
2023-03-31,LLY,USD,59478,2023-04-27,2023-04-27 11:56:56,2023,Q1,6960000000.0,1626700000.0,5333300000.0,0.7662787356,1985100000,1749200000.0,0.0,1749200000.0,0.0,3734300000.0,5361000000.0,34200000.0,102800000.0,362300000.0,1994800000.0,0.2866091954,1599000000.0,0.2297413793,-69300000.0,1529700000.0,0.2197844828,184800000.0,1344900000.0,0.1932327586,1.49,1.49,901000000,903300000,https://www.sec.gov/Archives/edgar/data/59478/000005947823000162/0000059478-23-000162-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947823000162/lly-20230331.htm,7.724750277469479,1.4926748057713652,1.920754716981132,0.9179800221975584,4.072475027746948,12.535960044395116,0.1495005549389567,12.419977802441732,21.07258601553829,309421420000.0,324759120000.0,57.51755149081716,44.45710057471264,178.79430255402752,374.1040019344698,27.650613025450387,27.650613025450387,46.66079310344828,162.80284740324845,187.65695134635388,392.6479506710192,0.0043464993470717,0.0026730534686318,1.6874821275378895,0.3552019261516468,7.688840986565069,1.2999000624609618,15.554474708171206,1.286787121719087,0.0032874259319215,0.7563387612461893,0.2513218390804598,0.2852155172413793,0.2099241953990557,0.3862822142609499,0.0960488505747126,1.8451559481093016,0.0188505747126436,20.42369283366132,0.037835725641046,0.0320192939518317,-32.363845726970034,4801400000.0,134700000.0,-21056700000.0,26507800000.0,8790500000.0,1973250000.0,4427250000.0,116.66508620689656,111.53316530398968,251.44894571832543,0.771439021957194,0.8069348678009822,0.357925541277944,0.1201833714612525,0.741953385127636,2023-04-27,1.73,bmo,7550980000.0,2025-04-25,2023-03-31,-0.0635838150289016,337.25903225806456,3185708.5
2022-12-31,LLY,USD,59478,2023-02-22,2023-02-22 10:26:53,2022,Q4,7301800000.0,1548100000.0,5753700000.0,0.7879837848,1995900000,1550300000.0,0.0,1550300000.0,0.0,3639100000.0,5334400000.0,25500000.0,84000000.0,375000000.0,2555400000.0,0.3499685009,1967400000.0,0.269440412,129000000.0,2096400000.0,0.2871072886,158700000.0,1937700000.0,0.2653729217,2.04,2.04,950182000,950182000,https://www.sec.gov/Archives/edgar/data/59478/000005947823000082/0000059478-23-000082-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm,7.684633049247408,2.039293524819456,1.6625236007417523,1.077793517452446,2.327764575628669,11.340353742756651,-0.5306351835753571,11.208168540342797,17.178393192041103,347614582880.0,361786182880.0,44.84886500490271,47.606697373250434,220.05101150851428,339.43421822087686,32.64047990384796,32.64047990384796,49.54753387931743,141.57712408233544,229.02208196493004,353.27231996875304,0.0055742770741839,0.0029460789346502,1.5247798080715131,0.3281201378869989,5.545746262815998,1.0522983743917098,23.42142857142857,0.8152448779480828,0.0025441970606431,0.4564174020746245,0.2123175107507738,0.2733435591224081,0.2279176719243157,0.3517123504462873,0.0760908269193897,1.4816,0.0127228902462406,22.67767127400076,0.0537169990891665,0.0507115900989788,-29.39286894510736,896300000.0,-504200000.0,-20679900000.0,22319900000.0,8441850000.0,1806900000.0,4070400000.0,105.4946725464954,112.23693559847554,250.5477682320264,0.853123649067053,0.8018750647467109,0.359212938255563,0.1819470788183815,0.5847300832893066,2023-02-02,1.78,bmo,7332491349.0,2025-04-25,2022-12-31,0.1741573033707864,354.5571428571428,2834860.936507937
