date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-30,LRCX,USD,707549,2025-04-25,2025-04-25 16:06:27,2025,Q3,4720175000.0,2406489000.0,2313686000.0,0.4901695382,525904000,0.0,0.0,226023000.0,0.0,751927000.0,3158416000.0,50638000.0,45184000.0,97343000.0,1679251000.0,0.3557603267,1561759000.0,0.3308688767,-25035000.0,1536724000.0,0.3255650479,206057000.0,1330667000.0,0.2819105224,1.036523420308324,1.0330463473332816,1283779000,1288100000,https://www.sec.gov/Archives/edgar/data/707549/000070754925000054/0000707549-25-000054-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754925000054/lrcx-20250330.htm,3.676781595586156,1.036523420308324,1.0193833985444536,0.7950005413704384,4.245838263439424,7.408677817599447,6.010268901423064,7.408677817599447,3.493077858416441,93330733300.0,92364355300.0,17.534577264634954,19.77272734591408,71.3176221074486,91.44647860827646,9.812817049123105,9.812817049123105,19.56799383497433,55.00330522357885,70.57917531098533,90.499610819073,0.0142575436080924,0.0109353582031697,0.4714846487342953,0.2245728356581002,-0.5754815688661195,2.451858294724168,0.0,0.9834639319980132,0.0031684739800496,0.2222314072566615,0.0,0.1114162080855053,0.0899048542415457,0.0,0.0,0.0,0.0184558835212677,13.144714968680882,0.0887786663808156,0.073221947957917,-0.2755248372188671,7970477000.0,7715857000.0,3003117000.0,12137928000.0,3266564000.0,837793000.0,4410713500.0,61.55203567664334,31.912765859307896,166.92149849843486,1.462177473265138,2.82018802120688,0.5391756053570529,0.1399066669961061,0.0,2025-04-23,1.0,amc,4642765190.0,2025-05-11,2025-03-30,0.04,,
2024-12-29,LRCX,USD,707549,2025-01-31,2025-01-31 16:05:38,2025,Q2,4376047000.0,2303066000.0,2072981000.0,0.4737108628,494947000,0.0,0.0,244150000.0,0.0,739097000.0,3042163000.0,57611000.0,45299000.0,96200000.0,1489645000.0,0.340408821,1333884000.0,0.3048148249,14262000.0,1348146000.0,0.3080739307,157128000.0,1191018000.0,0.2721675521,0.93,0.92,1287109000,1291469000,https://www.sec.gov/Archives/edgar/data/707549/000070754925000014/0000707549-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754925000014/lrcx-20241229.htm,3.3999039708369687,0.9253435412230044,0.5764406899493361,0.6623603750731291,4.401631097288575,6.84326346875051,5.475064660413376,6.84326346875051,3.9061050773477617,92864914350.0,92181819350.0,19.492760468355645,21.22118760378945,125.16465485172697,108.92861758530492,10.543215284559787,10.543215284559787,21.065088960424784,61.8817364875524,124.243969676875,108.12736132452817,0.0128252743066251,0.0091803239788375,0.5656527353575024,0.2511242487115369,-0.4585622749044235,2.544316613510729,29.44621294068302,0.6229477640136422,0.0032050209929472,0.2498988260462898,0.0,0.1131036755318213,0.0887615149177042,0.1490520822382342,0.0252712093814348,1.1495634095634095,0.0187290035961679,11.936428157667242,0.0785939328913929,0.0658789157191299,-0.5506336293196613,8262551000.0,7047005000.0,2580957000.0,12337162000.0,3121081500.0,763262500.0,4284015000.0,67.97119409366489,32.13326061867093,170.30935283660995,1.324090317965861,2.8008362135433518,0.5284501320743288,0.1352196280982821,0.0859196851237929,2025-01-29,0.878,amc,4317462700.0,2025-04-29,2024-12-29,0.0364464692482916,68.97464285714285,14175514.535714284
2024-09-29,LRCX,USD,707549,2024-10-28,2024-10-28 16:10:19,2025,Q1,4167976000.0,2165293000.0,2002683000.0,0.4804929299,495358000,0.0,0.0,243128000.0,0.0,738486000.0,2903779000.0,68449000.0,44946000.0,94295000.0,1433519000.0,0.3439364814,1264197000.0,0.3033119672,30081000.0,1294278000.0,0.3105291393,177834000.0,1116444000.0,0.2678623869,0.86,0.86,1299236000,1304066000,https://www.sec.gov/Archives/edgar/data/707549/000070754924000128/0000707549-24-000128-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754924000128/lrcx-20240929.htm,3.2080207137117505,0.8593080856749659,1.2072256310631786,1.122107915728936,4.670029925279164,6.520671379179764,5.167303707717458,6.520671379179764,3.870516980748686,106030649960.0,104946947960.0,23.74293962796164,25.439361925308592,67.60128173233679,72.72919017506892,12.515582407752886,12.515582407752886,25.179355149837715,73.2093177418646,66.91035279581197,71.98585068897847,0.0105294459707752,0.0137496374920835,0.5882711427708407,0.2551527867236992,-0.7559732378852321,2.525398920539326,28.127019089574155,1.4048810329940418,0.0024614109231477,0.2337645237916097,0.0,0.1188485730244128,0.090021502123974,0.0705068821801614,0.0265327823384779,1.172787528500981,0.0191966076580095,11.228244604726347,0.0742111614195718,0.0628128104052262,-0.5274447829339705,8149700000.0,6713547000.0,2431770000.0,12122313000.0,2728233500.0,659106500.0,4213901000.0,63.42395685579763,29.271895304700102,174.98279447631336,1.4190221560068597,3.074621546133672,0.514336282429087,0.1317821487552188,0.0851177153342425,2024-10-23,0.81,amc,4057319237.0,2025-04-24,2024-09-29,0.0617283950617283,78.743,12375609.7
2024-06-30,LRCX,USD,707549,2024-08-29,2024-08-29 14:10:55,2024,Q4,3871507000.0,2021627000.0,1849880000.0,0.4778191025,497829000,0.0,0.0,215707000.0,-241000.0,713536000.0,2735163000.0,66027000.0,46439000.0,88357000.0,1224701000.0,0.3163370233,1136344000.0,0.2935146443,18012000.0,1154356000.0,0.2981670962,134074000.0,1020282000.0,0.2635361372,0.7800000000000001,0.7800000000000001,1306330000,1311120000,https://www.sec.gov/Archives/edgar/data/707549/000070754924000106/0000707549-24-000106-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754924000106/lrcx-20240630.htm,2.963651604112284,0.7810292958134621,0.6601930599465679,0.5830701277625102,4.476553397686649,6.536980701660377,5.185811395282968,6.536980701660377,3.8503081151010847,138549359800.0,137684837800.0,33.94879057946724,35.78693253040741,160.6499771575664,181.8992175212228,16.224615742411636,16.224615742411636,35.56362878847953,112.42322640383244,159.64755145345129,180.76420054563457,0.0073640325835702,0.0054975497620451,0.5835658813783645,0.2658525639849242,-0.7059045432313683,2.969552636225296,24.46960528865824,0.8452859111500546,0.001887139719573,0.2562644445359224,0.0,0.1285879116323436,0.094163702988915,0.1168187563048595,0.0260229414540642,1.1402378985253008,0.0204292540346691,10.717994321172684,0.0673566507465687,0.060088500031361,-0.2748298668789662,8544782000.0,6774381000.0,2677946000.0,12464373000.0,2361478500.0,572807000.0,4270445500.0,58.56440399048742,27.3329056250238,187.77606353694324,1.536769673513943,3.292734451093383,0.4792943163508873,0.1194785989830263,0.0771229321840576,2024-07-31,0.758,amc,3822298273.0,2025-04-24,2024-06-30,0.0686015831134565,75.84765625,11955864.296875
2024-03-31,LRCX,USD,707549,2024-04-29,2024-04-29 16:11:09,2024,Q3,3793558000.0,1978590000.0,1814968000.0,0.4784342298,512274000,0.0,0.0,215134000.0,-10677000.0,727408000.0,2705998000.0,71752000.0,47153000.0,89922000.0,1177482000.0,0.3103898767,1087560000.0,0.2866860082,5625000.0,1093185000.0,0.2881687851,127359000.0,965826000.0,0.2545963446,0.738,0.734,1308380000,1315180000,https://www.sec.gov/Archives/edgar/data/707549/000070754924000067/0000707549-24-000067-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754924000067/lrcx-20240331.htm,2.8994313578623947,0.7381846252617741,1.0584356226784268,0.9792124612115746,4.335309313807915,6.13132346871704,4.779271312615601,6.13132346871704,3.844910500007643,128456748400.00002,127767967400.00002,33.250489322093216,33.86181215629233,92.7595386024049,100.264246921983,16.012856033600176,16.012856033600176,33.68024619631491,108.50948668429751,92.2621649061694,99.7266332183874,0.0075186863440799,0.0099736449502095,0.6212151903846636,0.2726228893879259,-0.5849609590634931,2.819003410540962,23.06449218501474,1.4338359083313144,0.0020451008084212,0.2720024103720546,0.0,0.1350378720979091,0.0967741723720093,0.0748492962343555,0.027323689264801,1.1527101265541246,0.0202590813162735,10.091387225503547,0.0669370459898683,0.0584971447523695,-0.5893190433971782,8058347000.0,6253103000.0,2230887000.0,12009086000.0,2455582500.0,515676000.0,4376436500.0,52.28169175217566,24.18303943717496,196.63853046866708,1.7214439124620469,3.7216165583243046,0.4576925986249721,0.1203956419895486,0.0792231614668521,2024-04-24,7.3,amc,3721699223.0,2025-04-24,2024-03-31,-0.8931506849315068,86.944375,12646938.59375
2023-12-24,LRCX,USD,707549,2024-01-29,2024-01-29 16:07:46,2024,Q2,3758259000.0,2000804000.0,1757455000.0,0.4676247699,469712000,0.0,0.0,228843000.0,19125000.0,698555000.0,2699359000.0,57595000.0,46313000.0,90941000.0,1164798000.0,0.3099302097,1057212000.0,0.2813036568,29839000.0,1087051000.0,0.2892432374,132785000.0,954266000.0,0.2539117182,0.7250000000000001,0.722,1316289990,1322200000,https://www.sec.gov/Archives/edgar/data/707549/000070754924000016/0000707549-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754924000016/lrcx-20231224.htm,2.855190747139238,0.7249663882956369,1.1044982572571262,1.0169218106718263,4.28325752139162,6.246707080101703,4.896250103672064,6.246707080101703,3.82142008084404,102670619220.0,102031114220.0,26.89779873221932,27.318665163843157,70.6203015600066,76.70206222489175,12.4865787685902,12.4865787685902,27.148505257354536,87.59554379385953,70.18042853408903,76.22430770586988,0.009294440875585,0.0130374591111772,0.6061170367375869,0.2653227889572384,-0.5490265264878545,3.055580925211995,22.82754302247749,1.52351650378406,0.0025753618903711,0.2770862631593287,0.0,0.124981274574211,0.0946341038036287,0.0792907059924063,0.0306727130833718,1.2675910755324882,0.018599303560505,10.094289726798394,0.0639377212895527,0.0561126347658235,-0.5149461783873324,8782229000.0,6444885000.0,2493238000.0,12707304000.0,2759205500.0,513933500.0,4588843500.0,64.8361967602552,22.47764398711718,199.26566520258856,1.3881134998216038,4.003978355186271,0.4516583421860419,0.1160557681029976,0.0875764465852999,2024-01-24,0.71,amc,3709790000.0,2025-04-24,2023-12-24,0.0563380281690141,95.9073015873016,9759880.952380951
2023-09-24,LRCX,USD,707549,2023-10-23,2023-10-23 16:07:00,2024,Q1,3482062000.0,1827360000.0,1654702000.0,0.4752075064,422629000,0.0,0.0,207023000.0,-9901000.0,629652000.0,2457012000.0,56564000.0,45331000.0,90479000.0,1123469000.0,0.3226447433,1023029000.0,0.2937997658,2601000.0,1025630000.0,0.294546737,138232000.0,887398000.0,0.2548484203,0.669,0.666,1325840000,1331660000,https://www.sec.gov/Archives/edgar/data/707549/000070754923000115/0000707549-23-000115-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754923000115/lrcx-20230924.htm,2.6263063416400168,0.6693100223254691,0.7174040608218186,0.6593337054244857,3.88938861401074,6.069608700899052,4.724046642128764,6.069608700899052,3.793558800458577,82281630400.0,82139801400.0,23.18058819154427,23.630145126651968,86.506340553617,94.1253260517679,10.22471184852616,10.22471184852616,23.589413801362525,73.11265499982643,86.3572294128346,93.96308205145218,0.0107848859543259,0.01062413318441,0.6193757432589443,0.2688638542031842,-0.1262420235894359,3.05934082803707,22.56797776356136,1.0718561457204097,0.0027993125425477,0.2595588450728985,0.0,0.1213731978350758,0.0962323887041947,0.0809451166624437,0.0221110365065297,0.8509377866687298,0.0193020687167546,9.560602676603402,0.0619194701657496,0.0529648916703179,-0.6428488731671996,8746385000.0,6263330000.0,2502435000.0,12640896000.0,2817164500.0,499432500.0,4781985500.0,72.65401075569591,26.012756107171,233.83476162332545,1.2387478552647446,3.459840996056142,0.3848871715018026,0.1102723512021999,0.058070355397333,2023-10-18,0.61,amc,3514960000.0,2025-04-24,2023-09-24,0.1311475409836064,87.97196721311475,10742153.114754098
2023-06-25,LRCX,USD,707549,2023-08-15,2023-08-15 16:04:08,2023,Q4,3207257000.0,1749128000.0,1458129000.0,0.4546342872,401951000,0.0,0.0,199831000.0,9010000.0,601782000.0,2350910000.0,55829000.0,46532000.0,89604000.0,957397000.0,0.2985095987,854605000.0,0.2664597817,9010000.0,863615000.0,0.2692690358,61078000.0,802537000.0,0.2502253483,0.5990000000000001,0.597,1340519990,1343920000,https://www.sec.gov/Archives/edgar/data/707549/000070754923000102/0000707549-23-000102-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754923000102/lrcx-20230625.htm,2.392546939937837,0.5986758914352333,0.8375294724250998,0.7788432905055,4.009412049125802,6.124617358373,4.7886111716991255,6.124617358373,3.773217137925709,83152454979.7,82826939979.7,25.902997300965563,25.926346089415347,74.0630652917678,79.64374959144872,10.12797965495729,10.12797965495729,25.824852819621253,86.51263789180454,73.77313231619497,79.3319700396052,0.009651392736341,0.0125559131147106,0.6104063349708142,0.2668318740804518,-0.3400000208899756,3.160972807591451,18.365963208114845,1.3989697671260015,0.0027940846732272,0.2895006709971004,0.0,0.1253254728261564,0.0953560346131592,0.0700705871874234,0.0245287483977741,0.8779741975804651,0.0213562555167858,9.082943742327284,0.054375878592021,0.0472338985444978,-0.5006616872606279,9043494000.0,6419229000.0,2656941000.0,12691109000.0,3042758000.0,536316000.0,4849062500.0,79.22777625865342,24.2195997091122,247.81325323246784,1.135965241611461,3.715998657324592,0.3631767019158297,0.0977491092756643,0.0586861819195997,2023-07-26,0.5,amc,3130390000.0,2025-04-24,2023-06-25,0.1999999999999999,68.15111111111112,9824346.507936507
2023-03-26,LRCX,USD,707549,2023-04-24,2023-04-24 16:30:15,2023,Q3,3869569000.0,2263957000.0,1605612000.0,0.4149330326,429451000,0.0,0.0,193500000.0,40408000.0,663359000.0,2927316000.0,41974000.0,47217000.0,91663000.0,1077802000.0,0.2785328288,942253000.0,0.2435033462,-3331000.0,938922000.0,0.2426425269,124914000.0,814008000.0,0.2103614123,0.6,0.6,1349240000,1353950000,https://www.sec.gov/Archives/edgar/data/707549/000070754923000081/0000707549-23-000081-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754923000081/lrcx-20230326.htm,2.867961963772198,0.6033085292460941,1.279563309715099,1.1910268002727462,3.97964557825146,6.231202751178441,4.895770211378258,6.231202751178441,3.744770389256174,66895319200.0,66595048200.0,20.545043537655648,17.287537500946488,38.747594295306286,41.62794656564079,7.956730342408368,7.956730342408368,17.209939453205255,61.78783134564605,38.57366913842258,41.44109245846715,0.0121683850190821,0.0240223235230485,0.5953545857524358,0.2601092917188427,-0.2785956975399934,3.091423085297216,19.95579981786221,2.1209103596033456,0.0034976587719159,0.2874382069955086,0.0,0.1109816106134817,0.0936332795502823,0.0691927540983226,0.0308708799352072,1.303219401503333,0.0191005768342675,9.197015807481948,0.0551565748037624,0.0466706441437345,-0.4290589517061456,9288698000.0,6605569000.0,2894054000.0,12945634000.0,3666114000.0,760669000.0,4850950500.0,75.87217077664205,23.92876719831693,194.0735402660033,1.186205680933375,3.761163258186168,0.4637417335544205,0.0968205582994385,0.0885365094423527,2023-04-19,0.65,amc,3130390000.0,2025-04-24,2023-03-26,0.0769230769230768,65.69746031746031,11264377.61904762
2022-12-25,LRCX,USD,707549,2023-01-30,2023-01-30 16:08:01,2023,Q2,5277569000.0,2901220000.0,2376349000.0,0.4502734119,462385000,0.0,0.0,233802000.0,0.0,696187000.0,3597407000.0,26125000.0,46661000.0,85414000.0,1784003000.0,0.338034993,1680162000.0,0.3183590778,-28234000.0,1651928000.0,0.3130092662,183421000.0,1468507000.0,0.2782544387,1.08,1.08,1360180000,1363390000,https://www.sec.gov/Archives/edgar/data/707549/000070754923000008/0000707549-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754923000008/lrcx-20221225.htm,3.88005190489494,1.0796416650737402,0.8382618476966284,0.7181468629152024,3.3729697540031465,6.105541178373451,4.77835065947154,6.105541178373451,3.71270273052096,56053017800.0,56571584800.0,9.542517979144806,10.620991937765286,49.16124968974387,57.383805636516456,6.749606430625789,6.749606430625789,10.71925062467208,31.71047627162062,49.61605841848749,57.914684242262304,0.0261985359154025,0.0174265193621742,0.602468741853194,0.2605010803440793,0.290676080701658,3.014960010310272,36.007843809605454,0.7764259891168377,0.0042099428230963,0.1606938203222729,0.0,0.0876132552696137,0.0939905336669099,0.1432905304129936,0.0309570561749168,1.9127777647692417,0.013848042536251,12.178482027325757,0.1018366489713747,0.084391313385203,-0.6259105412518932,9161866000.0,6499417000.0,2807042000.0,12830239000.0,4319911500.0,1032847000.0,4590145500.0,69.40845681032309,28.52135308594316,149.52224926065588,1.2966719638494302,3.1555305152880986,0.6019171089588599,0.1768298064875819,0.1201149847814259,2023-01-25,1.0,amc,5100330378.0,2025-04-24,2022-12-25,0.07,56.3658064516129,13430897.41935484
