date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,LUV,USD,92380,2025-04-25,2025-04-24 18:02:51,2025,Q1,6428000000.0,5561000000.0,867000000.0,0.1348786559,0,0.0,0.0,0.0,1090000000.0,1090000000.0,6651000000.0,84000000.0,35000000.0,396000000.0,239000000.0,0.0371810828,-223000000.0,-0.0346919726,31000000.0,-192000000.0,-0.0298693217,-43000000.0,-149000000.0,-0.0231798382,-0.26,-0.26,584000000,584000000,https://www.sec.gov/Archives/edgar/data/92380/000009238025000083/0000092380-25-000083-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238025000083/luv-20250331.htm,11.006849315068491,-0.2551369863013699,1.4726027397260273,0.6147260273972602,14.13013698630137,16.035958904109588,13.863013698630136,16.035958904109588,13.75,19610720000.0,19471720000.0,-32.90389261744966,3.0508276291225886,22.80316279069768,54.62596100278552,2.094043780032034,2.094043780032034,3.0292034847542,81.47163179916318,22.64153488372093,54.238774373259055,-0.0075978852382778,0.0183063140975956,0.8537106246663108,0.2407262435264362,-0.5815899581589958,0.7721746636932595,-6.371428571428571,-5.771812080536913,0.0054561994664142,-0.7181208053691275,0.0,0.0,0.0382090810550403,0.5825581395348837,0.077940261356565,1.2651515151515151,0.0,,-0.0077778558052434,-0.004664558745265,-24.64640410958904,-3167000000.0,8096000000.0,-13113000000.0,18562000000.0,1094000000.0,367500000.0,793000000.0,15.093341630367144,6.408919259126057,12.720733680992629,5.962894248608534,14.042929292929292,7.075063613231552,-0.0159103043246129,0.8578767123287672,2025-04-23,-0.18,bmo,7492799580.0,2025-05-12,2025-03-31,-0.2777777777777777,31.66708333333333,10547481.466666669
2024-12-31,LUV,USD,92380,2025-02-07,2025-02-07 16:00:58,2024,Q4,6930000000.0,5379000000.0,1551000000.0,0.2238095238,0,0.0,0.0,0.0,950000000.0,950000000.0,6652000000.0,105000000.0,47000000.0,407000000.0,818000000.0,0.118037518,278000000.0,0.0401154401,51000000.0,329000000.0,0.0474747475,68000000.0,261000000.0,0.0376623377,0.45,0.41,628952035,641000000,https://www.sec.gov/Archives/edgar/data/92380/000009238025000024/0000092380-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238025000024/luv-20241231.htm,11.01832828953324,0.4149760005148882,0.7568144683719801,0.0254391417940161,13.872282009549425,16.45594484800419,14.436712968104157,16.45594484800419,12.8865152650313,21145367416.7,21694367416.7,20.25418334932949,3.0512795695093797,44.42304079138655,1321.5854635437497,2.043030668280193,2.043030668280193,3.130500348730158,26.521231560757943,45.57640213592436,1355.8979635437497,0.0123431291051424,0.0007566669183229,0.7785507246376812,0.2387555555555555,0.6711491442542787,0.918377321603128,5.914893617021277,1.8237547892720307,4.7291682395181694e-05,0.003831417624521,0.0,0.0,0.0376296296296296,0.9684873949579832,0.0665223665223665,1.1326781326781328,0.0,12.395503176501672,0.0094208045038295,0.0080357142857142,-21.37285397287887,-1002000000.0,9080000000.0,-12126000000.0,20693000000.0,1143500000.0,407000000.0,785000000.0,14.415584415584416,5.672058003346347,13.385387618516454,6.243243243243243,15.867256637168142,6.72375,0.0252173913043478,0.73296527294009,2025-01-30,0.4616,bmo,6959234366.0,2025-04-30,2024-12-31,0.2131715771230503,31.90359375,6973463.75
2024-09-30,LUV,USD,92380,2024-10-28,2024-10-25 19:59:52,2024,Q3,6870000000.0,5753000000.0,1117000000.0,0.1625909753,0,0.0,0.0,1077000000.0,2000000.0,1077000000.0,6781000000.0,121000000.0,54000000.0,438000000.0,581000000.0,0.0845705968,38000000.0,0.0055312955,51000000.0,89000000.0,0.0129548763,22000000.0,67000000.0,0.0097525473,0.11,0.11,599000000,601000000,https://www.sec.gov/Archives/edgar/data/92380/000009238024000147/0000092380-24-000147-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238024000147/luv-20240930.htm,11.469115191986644,0.1118530884808013,0.1886477462437395,-0.6911519198664441,15.662771285475792,17.380634390651085,15.26043405676127,17.380634390651085,15.273789649415694,17748370000.0,18340370000.0,66.22526119402986,2.5834599708879185,157.06522123893805,-42.87045893719807,1.7047709153779655,1.7047709153779655,2.66963173216885,31.56690189328744,162.3041592920354,-44.30041062801932,0.0037749945487951,-0.0233260857194209,0.8735952358082797,0.260998077309381,1.0189328743545611,0.8844243457632145,0.7037037037037037,1.6865671641791045,0.0121701316796979,3.223880597014926,0.0,0.0,0.0364450311361092,4.663716814159292,0.0767103347889374,1.2031963470319635,0.0,6.613754366309197,0.0011585429115921,0.0019954135271167,-23.01544240400668,-1559000000.0,9141000000.0,-12506000000.0,20585000000.0,1261500000.0,402500000.0,777000000.0,15.419213973799128,7.43090561446202,12.045889101338432,5.836873406966865,12.111578947368422,7.4714285714285715,0.0064355009124963,0.8797996661101837,2024-10-24,0.004,bmo,6772551644.0,2025-04-25,2024-09-30,36.5,27.68546875,10442384.078125
2024-06-30,LUV,USD,92380,2024-07-29,2024-07-26 18:19:57,2024,Q2,7354000000.0,5806000000.0,1548000000.0,0.2104976883,0,0.0,0.0,1091000000.0,-2000000.0,1091000000.0,6897000000.0,130000000.0,55000000.0,404000000.0,937000000.0,0.1274136524,457000000.0,0.0621430514,80000000.0,478000000.0,0.0649986402,111000000.0,367000000.0,0.0499048137,0.61,0.57,599000000,643000000,https://www.sec.gov/Archives/edgar/data/92380/000009238024000111/0000092380-24-000111-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238024000111/luv-20240630.htm,12.2771285475793,0.6126878130217028,-0.0400667779632721,-0.8747913188647746,16.697829716193656,17.470784641068448,15.35058430717863,17.470784641068448,15.298831385642735,16837890000.0,18105890000.0,11.469952316076292,2.2896233342398693,-701.57875,-32.13337786259542,1.6089718107978976,1.6089718107978976,2.4620465053032365,19.32325506937033,-754.4120833333334,-34.5532251908397,0.021796080150185,-0.0311202888247874,0.8704252269469661,0.2561369963163962,1.353255069370331,0.903493233189258,8.309090909090909,-0.0653950953678474,0.0064034151547491,0.2937874659400545,0.0,0.0,0.0357112729522256,-20.83333333333333,0.0679902094098449,1.2376237623762376,0.0,15.519119780256904,0.0141613822915468,0.0107018925145073,-22.862270450751257,-1362000000.0,9195000000.0,-12347000000.0,20705000000.0,1350000000.0,305500000.0,798000000.0,16.472667935817245,5.115397864278333,12.152945229073373,5.463595839524517,17.593939393939394,7.405612244897959,0.0350692785475394,0.8347245409015025,2024-07-25,0.51,bmo,7322156344.0,2025-04-25,2024-06-30,0.1372549019607842,27.89888888888889,9865855.063492063
2024-03-31,LUV,USD,92380,2024-04-26,2024-04-26 16:36:48,2024,Q1,6329000000.0,5682000000.0,647000000.0,0.1022278401,0,0.0,0.0,1016000000.0,-1000000.0,1016000000.0,6698000000.0,141000000.0,58000000.0,408000000.0,168000000.0,0.0265444778,-369000000.0,-0.0583030495,95000000.0,-298000000.0,-0.0470848475,-67000000.0,-231000000.0,-0.036498657,-0.39,-0.39,597000000,597000000,https://www.sec.gov/Archives/edgar/data/92380/000009238024000055/0000092380-24-000055-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238024000055/luv-20240331.htm,10.601340033500838,-0.3869346733668342,-0.1742043551088777,-1.1658291457286432,17.608040201005025,17.078726968174205,14.959798994974877,17.078726968174205,15.44221105527638,17420460000.0,18214460000.0,-18.85331168831169,2.7524822246800444,-167.50442307692308,-25.029396551724137,1.708558258140447,1.708558258140447,2.877936482856692,108.41940476190476,-175.13903846153846,-26.17020114942529,-0.0132602698206591,-0.0399530207583496,0.8984896037661828,0.2543450496973735,4.726190476190476,1.0863803680981594,-6.362068965517241,0.4502164502164502,0.0123418095733407,-0.9307359307359307,0.0,0.0,0.0351213282247765,-5.6923076923076925,0.0935376836783062,1.4509803921568627,0.0,,-0.0118036113049014,-0.0066469081805887,-23.263819095477388,1056000000.0,8931000000.0,-12541000000.0,23064000000.0,1254000000.0,273000000.0,809500000.0,19.25422657607837,4.450897571277719,12.861668426610349,4.674298375184638,20.22064056939502,6.997536945812808,-0.0226559435072577,0.9916247906197656,2024-04-25,-0.33625,bmo,6420452565.0,2025-04-25,2024-03-31,0.070631970260223,30.955737704918032,8413565.147540983
2023-12-31,LUV,USD,92380,2024-02-06,2024-02-06 17:09:57,2023,Q4,6823000000.0,6096000000.0,727000000.0,0.1065513704,0,863000000.0,266000000.0,1129000000.0,5000000.0,1131000000.0,7227000000.0,158000000.0,58000000.0,415000000.0,210000000.0,0.03077825,-404000000.0,-0.0592114905,118000000.0,-286000000.0,-0.0419170453,-34000000.0,-252000000.0,-0.0369339,-0.42,-0.42,596000000,596000000,https://www.sec.gov/Archives/edgar/data/92380/000009238024000027/0000092380-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238024000027/luv-20231231.htm,11.447986577181208,-0.4228187919463087,0.7130872483221476,-0.4916107382550335,19.25167785234899,17.642617449664428,15.518456375838928,17.642617449664428,15.533557046979864,17212480000.0,17124480000.0,-17.075873015873015,2.5227143485270407,40.49995294117647,-58.74566552901024,1.6369453162149312,1.6369453162149312,2.5098167961307345,81.54514285714286,40.29289411764706,-58.44532423208191,-0.0146405398873375,-0.0170225324880551,0.874940561103186,0.2521445994463782,-0.419047619047619,1.1386259791122717,-6.965517241379311,-1.6865079365079363,0.0062326869806094,-0.4257142857142857,0.1264839513410523,0.0,0.0346972894455559,1.6894117647058824,0.1052323025062289,1.730120481927711,0.0126044262054814,,-0.0144089062121849,-0.0071548224070866,-22.196308724832218,1699000000.0,9249000000.0,-12017000000.0,23563000000.0,1310500000.0,434000000.0,803000000.0,15.222043089550052,3.91240157480315,11.91437007874016,5.912478336221837,23.00377358490566,7.553903345724907,-0.023965763195435,1.2046979865771812,2024-01-25,0.11,bmo,6744680000.0,2025-04-25,2023-12-31,2.363636363636364,26.00857142857143,8235246.603174604
2023-09-30,LUV,USD,92380,2023-10-30,2023-10-27 18:21:05,2023,Q3,6525000000.0,5450000000.0,1075000000.0,0.1647509579,0,0.0,0.0,956000000.0,23000000.0,958000000.0,6408000000.0,156000000.0,59000000.0,375000000.0,671000000.0,0.102835249,117000000.0,0.0179310345,120000000.0,237000000.0,0.0363218391,44000000.0,193000000.0,0.0295785441,0.32,0.3,596000000,640000000,https://www.sec.gov/Archives/edgar/data/92380/000009238023000049/0000092380-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238023000049/luv-20230930.htm,10.947986577181208,0.3238255033557047,1.0335570469798658,-0.3926174496644295,19.686241610738257,18.546979865771817,16.91946308724832,18.546979865771817,15.657718120805368,16133720000.0,15909720000.0,20.89860103626943,2.472600766283525,26.191103896103893,-68.94752136752136,1.4595368192509497,1.4595368192509497,2.438271264367816,23.71046199701937,25.827467532467537,-67.9902564102564,0.0119625232122535,-0.014503784620038,0.8388818527229962,0.250757166035695,-0.3338301043219076,1.2079755614266845,1.9830508474576272,3.1917098445595853,0.0132641449089236,1.1088082901554404,0.0,0.0,0.0262303948080043,1.37987012987013,0.1302681992337164,2.2666666666666666,0.0,11.624743633394148,0.003760299984713,0.0053596223271313,-21.29739932885906,2519000000.0,10084000000.0,-11295000000.0,23852000000.0,1350000000.0,550500000.0,756500000.0,20.23448275862069,9.957798165137616,13.194495412844038,4.447852760736196,9.038142620232172,6.821026282853567,0.0174597430794282,1.4261744966442953,2023-10-26,0.38,bmo,6622160000.0,2025-04-25,2023-09-30,0.0,32.626349206349204,7438751.841269841
2023-06-30,LUV,USD,92380,2023-07-28,2023-07-28 16:49:23,2023,Q2,7037000000.0,5286000000.0,1751000000.0,0.2488276254,0,0.0,0.0,954000000.0,7000000.0,956000000.0,6242000000.0,144000000.0,60000000.0,367000000.0,1313000000.0,0.1865851926,795000000.0,0.1129742788,91000000.0,886000000.0,0.1259059258,203000000.0,683000000.0,0.0970584056,1.15,1.07,595000000,639000000,https://www.sec.gov/Archives/edgar/data/92380/000009238023000038/0000092380-23-000038-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238023000038/luv-20230630.htm,11.826890756302522,1.1478991596638657,2.379831932773109,0.8117647058823529,20.46890756302521,18.132773109243697,16.502521008403363,18.132773109243697,15.778151260504202,21544950000.0,21714950000.0,7.886145680819913,3.0616669035100186,15.215360169491523,44.60652173913043,1.9969366947817224,1.9969366947817224,3.0858249253943444,16.53842345773039,15.335416666666667,44.95848861283644,0.0317011643099659,0.0224182465032409,0.8645842988228751,0.2554286809605958,0.1294744859101294,1.2500852660300137,13.25,2.0732064421669105,0.0049710024855012,0.1568081991215227,0.0,0.0,0.026561515923218,0.6588983050847458,0.1325849083416228,2.542234332425068,0.0,21.640896188136907,0.0242482348315732,0.0192129173816422,-20.62058823529412,2933000000.0,9819000000.0,-11069000000.0,23834000000.0,1241500000.0,487000000.0,725000000.0,15.769504050021316,8.47900113507378,12.156640181611804,5.707218167072182,10.614457831325302,7.403361344537816,0.0633052182778756,1.5680672268907565,2023-07-27,1.1,bmo,6976620000.0,2025-04-25,2023-06-30,-0.009090909090909,31.35516129032258,7156551.161290322
2023-03-31,LUV,USD,92380,2023-04-28,2023-04-28 15:58:50,2023,Q1,5706000000.0,5038000000.0,668000000.0,0.1170697511,0,0.0,0.0,950000000.0,952000000.0,952000000.0,5990000000.0,125000000.0,60000000.0,365000000.0,220000000.0,0.0385559061,-145000000.0,-0.0254118472,79000000.0,-205000000.0,-0.0359270943,-46000000.0,-159000000.0,-0.0278654048,-0.27,-0.27,594000000,594000000,https://www.sec.gov/Archives/edgar/data/92380/000009238023000024/0000092380-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238023000024/luv-20230331.htm,9.606060606060606,-0.2676767676767677,1.1885521885521886,-0.5824915824915825,19.653198653198658,17.343434343434343,15.710437710437713,17.343434343434343,15.885521885521886,19328760000.0,20345760000.0,-30.391132075471692,3.387444794952682,27.37784702549575,-55.863468208092485,1.8762143273150844,1.8762143273150844,3.565678233438486,92.48072727272728,28.818356940509915,-58.80277456647399,-0.0082260838253462,-0.0179007861859736,0.9101145408658512,0.2637708884262645,4.622727272727273,1.259952334716215,-2.4166666666666665,-4.440251572327044,0.0110715845196484,-1.3459119496855343,0.0,0.0,0.0272885838068981,1.4900849858356942,0.1843673326323168,2.882191780821918,0.0,,-0.0045504112738881,-0.0045985654789449,-20.6473063973064,2945000000.0,9332000000.0,-10970000000.0,23319000000.0,1145000000.0,503000000.0,763000000.0,19.71608832807571,8.50337435490274,13.14807463279079,4.5648,10.584033613445378,6.845108695652174,-0.0154338963308095,1.771043771043771,2023-04-27,-0.21,bmo,5726510000.0,2025-04-25,2023-03-31,0.2857142857142858,34.0133870967742,6838593.274193549
2022-12-31,LUV,USD,92380,2023-02-07,2023-02-06 17:38:32,2022,Q4,6172000000.0,5165000000.0,1007000000.0,0.1631561892,0,1169000000.0,224000000.0,1393000000.0,1393000000.0,1393000000.0,6558000000.0,116000000.0,60000000.0,367000000.0,142000000.0,0.023007129,-225000000.0,-0.0364549579,100000000.0,-286000000.0,-0.046338302,-66000000.0,-220000000.0,-0.0356448477,-0.37,-0.37,594000000,594000000,https://www.sec.gov/Archives/edgar/data/92380/000009238023000010/0000092380-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238023000010/luv-20221231.htm,10.390572390572393,-0.3703703703703703,0.9747474747474748,-1.3215488215488216,20.69360269360269,17.99158249158249,16.358585858585858,17.99158249158249,15.978114478114476,19999980000.0,19938980000.0,-22.72725,3.240437459494492,34.542279792746115,-25.47768152866242,1.871430710208665,1.871430710208665,3.230554115359689,140.41535211267606,34.43692573402418,-25.399974522292997,-0.0110000110000109,-0.0392500392500392,0.8824740338729298,0.2666459328790749,-0.4295774647887324,1.426864521102332,-3.75,-2.631818181818182,0.0,0.0,0.1894037589112119,0.0,0.0274251463145692,2.3557858376511227,0.22099805573558,3.7166212534059935,0.0136098509397278,,-0.0068409851018546,-0.0063955347539172,-18.88047138047138,4430000000.0,9717000000.0,-9874000000.0,24136000000.0,1178000000.0,1041500000.0,783000000.0,15.165262475696696,9.235237173281703,13.765730880929333,5.934615384615385,9.745283018867925,6.537974683544304,-0.0205857583980537,2.2962962962962963,2023-01-26,-0.11623,bmo,6223176809.0,2025-04-25,2022-12-31,2.269379678224211,36.05444444444444,6025853.26984127
