date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-23,LW,USD,1679273,2025-04-03,2025-04-03 13:05:29,2025,Q3,1520500000.0,1098000000.0,422500000.0,0.277869122,0,151600000.0,0.0,151600000.0,22200000.0,173800000.0,1262200000.0,0.0,47300000.0,101000000.0,350900000.0,0.2307793489,248700000.0,0.1635646169,-47300000.0,201400000.0,0.1324564288,57500000.0,146000000.0,0.0960210457,1.03,1.03,141900000,142400000,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000026/0001679273-25-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000026/lw-20250223.htm,10.715292459478508,1.028893587033122,0.3946441155743481,-0.1395348837209302,0.4756871035940803,11.512332628611698,3.574348132487668,11.512332628611698,30.416490486257928,7419951000.0,11621251000.0,12.705395547945203,4.879941466622822,132.499125,-374.745,4.542085577864838,4.542085577864838,7.643045708648471,33.11841265317754,207.52233928571428,-586.9318686868687,0.0196766798055674,-0.0026684812339057,2.613124387855044,0.5750929568356954,11.972926759760616,1.3541640962368908,5.2579281183932345,0.3835616438356164,0.0069272694657956,0.3520547945205479,0.0997040447221308,0.0,0.1517486662714878,1.3535714285714286,0.0498520223610654,0.7416829745596869,0.0059848733969089,16.325186593140113,0.0278084162039432,0.0231878533765326,-32.132487667371386,574100000.0,507200000.0,-3594100000.0,5399700000.0,705800000.0,755300000.0,1288250000.0,42.41631042420256,54.47540983606557,102.40163934426228,2.1218252860731237,1.652121576888354,0.8788921796205875,0.0893731635651322,0.5341789992952783,2025-04-03,0.87,bmo,1592188370.0,2025-05-11,2025-02-23,0.2643678160919541,,
2024-11-24,LW,USD,1679273,2024-12-20,2024-12-20 10:28:42,2025,Q2,1600900000.0,1323100000.0,277800000.0,0.1735273908,0,173800000.0,0.0,173800000.0,85500000.0,259300000.0,1582400000.0,0.0,43300000.0,120500000.0,139000000.0,0.0868261603,18500000.0,0.0115559998,-43300000.0,-24800000.0,-0.0154912862,13400000.0,-36100000.0,-0.0225498157,-0.25,-0.25,142800000,143200000,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000087/0001679273-24-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000087/lw-20241124.htm,11.21078431372549,-0.2528011204481792,0.6939775910364145,-0.3473389355742297,0.5532212885154062,11.434173669467787,1.987394957983193,11.434173669467787,29.08543417366947,10964184000.0,14995284000.0,-75.92925207756232,6.848762571053782,110.63757820383452,-221.0520967741936,6.7149583537481625,6.7149583537481625,9.36678368417765,107.87974100719424,151.3146720484359,-302.3242741935484,-0.0032925386877856,-0.0045238204685364,2.5172097011268986,0.5515358086982193,29.00071942446043,1.3465888137676705,0.4272517321016166,-2.7451523545706373,0.0047062325842032,-1.4293628808864265,0.1085639327878068,0.0,0.1810227989425799,1.5005045408678104,0.0928852520457242,1.2340248962655602,0.0077456430757698,,0.0045654908584233,-0.0059150267896642,-31.90091036414566,563900000.0,283800000.0,-3628400000.0,5714700000.0,707950000.0,767350000.0,1231450000.0,39.07177212817791,57.54667069760411,90.27889048446828,2.303453237410072,1.5639479905437352,0.9969107896323086,-0.022109260166585,1.0413165266106443,2024-12-19,1.05,bmo,1671776386.0,2025-04-25,2024-11-24,-0.3714285714285714,53.33821428571429,2400712.6428571427
2024-08-25,LW,USD,1679273,2024-10-02,2024-10-02 12:45:35,2025,Q1,1654100000.0,1298100000.0,356000000.0,0.2152227798,0,0.0,0.0,143900000.0,0.0,143900000.0,1442000000.0,0.0,45200000.0,90500000.0,302600000.0,0.1829393628,212100000.0,0.1282268303,-45200000.0,166900000.0,0.100900792,50800000.0,127400000.0,0.0770207364,0.89,0.88,143600000,144200000,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000073/0001679273-24-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000073/lw-20240825.htm,11.518802228412255,0.8871866295264624,2.299442896935933,0.0299442896935933,0.841225626740947,12.790389972144848,2.8342618384401117,12.790389972144848,28.6016713091922,8937664000.0,12878864000.0,17.538587127158557,5.403339580436491,27.06742580254392,2078.526511627907,4.866153427342517,4.866153427342517,7.786025028716523,42.56068737607403,39.0032222895215,2995.0846511627906,0.01425428389342,0.0004811100529176,2.211575107529809,0.5406988352745424,13.024454725710507,1.19262555626192,4.692477876106195,2.591836734693877,0.0057845092408933,0.4058084772370486,0.0,0.0,0.1903094841930116,0.986977589339794,0.1970255728190556,3.6011049723756905,0.005743304516051,15.978670683715077,0.0230286567261717,0.0209443019661997,-30.964310584958216,333300000.0,407000000.0,-3612200000.0,5656300000.0,732250000.0,761250000.0,1137150000.0,39.22435161114806,47.74901779523919,78.74046683614513,2.2944929948675266,1.8848555249019887,1.1429955093774764,0.069363532422279,2.26949860724234,2024-10-01,0.72,amc,1553744700.0,2025-04-25,2024-08-25,0.0138888888888889,56.63366666666666,2609951.45
2024-05-26,LW,USD,1679273,2024-07-24,2024-07-24 13:29:21,2024,Q4,1611900000.0,1224000000.0,387900000.0,0.2406476829,0,0.0,0.0,175400000.0,0.0,175400000.0,1399400000.0,0.0,40300000.0,86800000.0,299300000.0,0.1856814939,212500000.0,0.1318319995,-40300000.0,172200000.0,0.1068304485,50700000.0,129700000.0,0.0804640486,0.9,0.89,144300000,145000000,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000036/0001679273-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000036/lw-20240526.htm,11.170478170478171,0.8988218988218988,2.1947331947331947,1.0616770616770617,0.4948024948024948,12.38946638946639,4.317394317394317,12.38946638946639,26.97851697851698,12873003000.0,16654303000.0,24.81303585196607,7.986229294621254,40.64730975686769,84.02743472584856,7.20047152925383,7.20047152925383,10.332094422730938,55.64417975275643,52.58700031575624,108.70954960835508,0.0100753491628954,0.0119008750328109,2.1549949658798524,0.52296728654812,12.633812228533245,1.286866572255403,5.272952853598015,2.443672839506173,0.0040394614993875,0.4009252120277564,0.0,0.0,0.1581104927378851,0.5162614461635617,0.1014330913828401,1.989051094890511,0.0076927849122153,15.829032926092838,0.0243602120244922,0.0209119344748637,-30.35897435897436,465900000.0,623000000.0,-3489200000.0,5346500000.0,739900000.0,758950000.0,1174300000.0,41.51870463428252,61.30882352941177,83.72058823529412,2.1676976869284563,1.4679779323578797,1.0750043913578078,0.0725472647947197,1.133056133056133,2024-07-24,1.26,bmo,1702345950.0,2025-04-25,2024-05-26,-0.3809523809523809,74.6065625,2675600.109375
2024-02-25,LW,USD,1679273,2024-04-04,2024-04-04 14:02:56,2024,Q3,1458300000.0,1054600000.0,403700000.0,0.2768291847,0,0.0,0.0,179800000.0,0.0,179800000.0,1234400000.0,0.0,35700000.0,79300000.0,303200000.0,0.2079133237,223900000.0,0.1535349379,-35700000.0,188200000.0,0.1290543784,43100000.0,146100000.0,0.1001851471,1.01,1.01,144500000,145300000,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000021/0001679273-24-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000021/lw-20240225.htm,10.09204152249135,1.0110726643598615,0.1820069204152249,-1.629757785467128,0.4311418685121107,12.167474048442909,2.5114186851211078,12.167474048442909,27.103806228373703,14746225000.0,18564725000.0,25.23310232717317,10.111928272646232,560.6929657794676,-62.61666666666667,8.387114662723238,8.387114662723238,12.7303881231571,61.22930408970976,705.8830798479088,-78.83110403397028,0.0099076204248884,-0.0159701889805696,2.207257422363781,0.5356004250797024,12.593997361477571,1.188931718061674,6.271708683473389,0.1800136892539356,0.0027396842242675,0.2765229295003422,0.0,0.0,0.1925693859806506,9.954372623574145,0.1795241034080779,3.360718870346598,0.0083659055064115,16.63729272163877,0.0281357829445516,0.0249726514426364,-29.53667820069204,343100000.0,362900000.0,-3328400000.0,5338800000.0,751200000.0,759300000.0,1181800000.0,45.43509565932936,58.381376825336616,103.26190024653896,1.9808475957620213,1.5415874872094724,0.8715702479338843,0.0830963485382777,1.811764705882353,2024-04-04,1.45,bmo,1649349000.0,2025-04-25,2024-02-25,-0.1724137931034483,66.0296875,3198850.71875
2023-11-26,LW,USD,1679273,2024-01-04,2024-01-04 14:03:17,2024,Q2,1732100000.0,1256500000.0,475600000.0,0.2745799896,0,164600000.0,0.0,164600000.0,5400000.0,170000000.0,1426500000.0,0.0,29100000.0,70600000.0,376200000.0,0.2171930027,305600000.0,0.1764332313,-29100000.0,276500000.0,0.1596328157,66200000.0,215000000.0,0.1241267825,1.48,1.48,144900000,145500000,https://www.sec.gov/Archives/edgar/data/1679273/000155837024000050/0001558370-24-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837024000050/lw-20231126x10q.htm,11.95376121463078,1.4837819185645271,0.8322981366459627,-0.8260869565217391,0.5403726708074534,11.509316770186336,1.8357487922705311,11.509316770186336,25.251897860593512,14443632000.000002,17995232000.0,16.794920930232557,8.338797990878126,119.764776119403,-120.66526315789476,8.66080949811117,8.66080949811117,10.389256971306509,47.834215842636894,149.21419568822554,-150.33610693400166,0.0148854526340743,-0.0082873892106916,2.176590513881393,0.5152229145671583,9.440723019670388,1.2862529360860429,10.50171821305842,0.5609302325581396,0.0028247742673034,0.1897674418604651,0.095029155360545,0.0,0.1989553319234099,1.992537313432836,0.1387333294844408,3.403682719546742,0.0071012066277928,19.602030830229413,0.0400407998517932,0.0380962506201715,-28.6256038647343,463100000.0,266000000.0,-3296700000.0,5337800000.0,745950000.0,756500000.0,1013250000.0,39.81178915766988,59.77317946677278,82.62952646239553,2.260636909423128,1.505692031156381,1.0891990291262137,0.1289200695568747,1.6583850931677018,2024-01-04,1.41,bmo,1700390000.0,2025-04-25,2023-11-26,0.0283687943262411,85.30873015873016,2668887.253968254
2023-08-27,LW,USD,1679273,2023-10-05,2023-10-05 14:15:29,2024,Q1,1665300000.0,1165800000.0,499500000.0,0.2999459557,0,0.0,0.0,176200000.0,0.0,176200000.0,1342000000.0,0.0,30700000.0,70100000.0,393400000.0,0.2362337116,323300000.0,0.1941391941,-30700000.0,292600000.0,0.1757040773,69900000.0,234800000.0,0.1409956164,1.61,1.6,145700000,146600000,https://www.sec.gov/Archives/edgar/data/1679273/000155837023016256/0001558370-23-016256-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837023016256/lw-20230827x10q.htm,11.429649965682913,1.6115305422100206,2.2964996568291007,0.4619080301990391,1.12079615648593,10.315717227179135,1.0473575840768703,10.315717227179135,24.04941660947152,14046937000.0,17356937000.0,14.956278747870527,8.435078964751096,41.98128212791393,208.72120356612183,9.345932801064537,9.345932801064537,10.422708821233412,44.12032791052364,51.87369097429767,257.9039673105498,0.0167153878457631,0.0047910800767455,2.310911510312708,0.5311181111994617,8.413828164717845,1.436362221876459,10.530944625407166,1.4250425894378194,0.0029045478028412,0.1737649063032368,0.0,0.0,0.206495810141293,0.7988643156007172,0.1605116195280129,3.813124108416548,0.0059448747973338,19.340168069823697,0.0449107491388545,0.04524782240037,-26.71636925188744,560900000.0,152600000.0,-3190300000.0,5166700000.0,724950000.0,657550000.0,902450000.0,39.21996036750135,52.38033968090581,67.38805970149254,2.294749896651509,1.718201915991157,1.3355481727574752,0.1562208915502328,1.8345916266300617,2023-10-05,1.08,bmo,1620570000.0,2025-04-25,2023-08-27,0.5092592592592591,104.07016393442622,1582646.1311475409
2023-05-28,LW,USD,1679273,2023-07-25,2023-07-25 14:13:42,2023,Q4,1694900000.0,1315500000.0,379400000.0,0.2238480146,0,0.0,0.0,192400000.0,0.0,192400000.0,1507900000.0,0.0,32800000.0,69500000.0,256500000.0,0.151336362,187000000.0,0.110330993,-32800000.0,154200000.0,0.0909788188,72000000.0,498800000.0,0.2942946487,3.42,3.4,145900000,146800000,https://www.sec.gov/Archives/edgar/data/1679273/000155837023012203/0001558370-23-012203-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837023012203/lw-20230528x10k.htm,11.61686086360521,3.4187799862919808,2.923920493488691,1.3845099383139137,2.089102124742974,9.67306374228924,1.784784098697738,9.67306374228924,24.15010281014393,15968755000.0,19154655000.0,8.003586106655975,9.421650244852204,37.43261837787154,79.05324257425742,11.314925954793454,11.314925954793454,11.30134816213346,74.67701754385965,44.90073839662448,94.82502475247524,0.031235998047437,0.0126497024971577,2.4733933253029123,0.5353998588913771,12.420662768031187,1.5638876635788854,5.701219512195122,0.855252606255012,0.0025236782704725,0.0807939053728949,0.0,0.0,0.176523819749072,0.5264885138302859,0.1325151926367337,3.2316546762589926,0.0061950557555018,27.277769820606007,0.0184536598053876,0.0929054368678872,-26.00788211103496,767000000.0,260400000.0,-2981300000.0,4872000000.0,612350000.0,544850000.0,884700000.0,38.45536609829488,43.55302166476625,63.76282782212087,2.34037558685446,2.0664467483506126,1.411480686695279,0.3534330050308226,1.5394105551747772,2023-07-25,1.05,bmo,1656940000.0,2025-04-25,2023-05-28,0.1619047619047618,96.29619047619047,2087547.619047619
2023-02-26,LW,USD,1679273,2023-04-06,2023-04-06 13:43:11,2023,Q3,1253600000.0,855800000.0,397800000.0,0.3173261008,0,0.0,0.0,131500000.0,0.0,131500000.0,987300000.0,0.0,25800000.0,51300000.0,317600000.0,0.253350351,266300000.0,0.2124282068,-25800000.0,240500000.0,0.1918474793,42100000.0,175100000.0,0.1396777281,1.22,1.21,144000000,144800000,https://www.sec.gov/Archives/edgar/data/1679273/000155837023005546/0001558370-23-005546-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837023005546/lw-20230226x10q.htm,8.705555555555556,1.2159722222222222,0.3270833333333333,-1.0375,4.6875,4.963888888888889,2.33125,4.963888888888889,22.71875,14548320000.0,17119020000.0,20.771444888635067,11.605232929164009,308.8815286624204,-97.37831325301204,20.35299384443201,20.35299384443201,13.655887045309507,53.90119647355163,363.4611464968153,-114.585140562249,0.0120357539564705,-0.0102692269622884,4.540710688304421,0.6380005110766025,8.094143576826196,2.591337330233696,10.321705426356589,0.2689891490576813,0.0024195233538992,0.2010279840091376,0.0,0.0,0.074518900005897,4.171974522292993,0.1567485641352903,3.830409356725146,0.0082961072112316,11.653707460265355,0.0504811018529479,0.0371904337113971,-20.16267361111111,1300600000.0,335700000.0,-2254600000.0,3697500000.0,504700000.0,516850000.0,829750000.0,35.9325143586471,47.65015190465062,88.06496845057256,2.504695304695305,1.888766276760097,1.0219727728684025,0.2449636261891438,1.3645833333333333,2023-04-06,0.99,bmo,1654530000.0,2025-04-25,2023-02-26,0.4444444444444444,101.39,1551566.5714285714
2022-11-27,LW,USD,1679273,2023-01-05,2023-01-05 12:59:33,2023,Q2,1276500000.0,894900000.0,381600000.0,0.2989424207,0,0.0,0.0,109800000.0,0.0,109800000.0,1004700000.0,0.0,24600000.0,52200000.0,324000000.0,0.2538190364,271800000.0,0.2129259694,-24600000.0,247200000.0,0.1936545241,36800000.0,103100000.0,0.0807677242,0.72,0.71,144000000,144600000,https://www.sec.gov/Archives/edgar/data/1679273/000155837023000048/0001558370-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837023000048/lw-20221127x10q.htm,8.864583333333334,0.7159722222222222,0.6659722222222222,-0.2486111111111111,2.9125,3.9791666666666665,1.34375,3.9791666666666665,19.37638888888889,12307680000.0,14653880000.0,29.84403491755577,9.641739130434782,128.33868613138688,-343.7899441340782,21.47937172774869,21.47937172774869,11.479733646690168,45.22802469135802,152.80375391032325,-409.3262569832402,0.0083768833768833,-0.0029087529087529,4.82652705061082,0.6052170868347339,7.241358024691358,1.9609145345672288,11.048780487804878,0.930164888457808,0.0028681278681278,0.3423860329776915,0.0,0.0,0.0830488445378151,1.373305526590198,0.1031727379553466,2.522988505747126,0.0078339208773991,8.006365468852476,0.0622612401974566,0.0246056180043435,-19.336631944444445,882600000.0,193500000.0,-2195500000.0,3134200000.0,479200000.0,521650000.0,728800000.0,35.88014101057579,58.39088166275561,82.67851156553805,2.50835134604048,1.5413365483982089,1.0885537039289623,0.1799301919720768,0.9145833333333332,2023-01-05,0.74,bmo,1147756833.0,2025-04-25,2022-11-27,0.7297297297297298,111.5382258064516,1274297.6935483871
