date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,MA,USD,1141391,2025-05-01,2025-05-01 10:14:31,2025,Q1,7250000000.0,1688000000.0,5562000000.0,0.7671724138,0,834000000.0,152000000.0,986000000.0,427000000.0,1413000000.0,3101000000.0,0.0,0.0,275000000.0,4488000000.0,0.6190344828,4149000000.0,0.5722758621,-118000000.0,4031000000.0,0.556,751000000.0,3280000000.0,0.4524137931,3.6,3.59,912000000,914000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000090/0001141391-25-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000090/ma-20250331.htm,7.949561403508772,3.5964912280701755,2.6096491228070176,2.43530701754386,8.655701754385966,7.342105263157895,-8.979166666666666,7.31469298245614,20.61622807017544,499885440000.0,511112440000.0,38.1010243902439,68.94971586206897,210.03589915966387,225.0722377307519,74.93410882926098,74.93410882926098,70.4982675862069,113.88423351158646,214.75312605042012,230.12716794236832,0.0065615033716525,0.0044430179842805,2.8184679958027283,0.3879100474520321,2.501559714795009,1.1108368857976216,0.0,0.725609756097561,0.0013883180914411,0.2115853658536585,0.1150344827586206,0.0,0.3070971735093872,0.0668067226890756,0.0219310344827586,0.5781818181818181,0.0177931034482758,24.329255143081845,0.1101760941503038,0.0976626470150364,-33.88843201754386,1976000000.0,-8189000000.0,-21970000000.0,19032000000.0,3869000000.0,961000000.0,0.0,49.220689655172414,52.94431279620853,0.0,1.828499369482976,1.699899295065458,0.0,0.4916804077349723,0.1743421052631578,2025-05-01,3.58,bmo,7130327275.0,2025-05-11,2025-03-31,0.0418994413407821,544.3888333333333,2761658.6166666667
2024-12-31,MA,USD,1141391,2025-02-12,2025-02-12 14:30:36,2024,Q4,7489000000.0,1653000000.0,5836000000.0,0.7792762719,0,1076000000.0,295000000.0,1371000000.0,527000000.0,1898000000.0,3551000000.0,0.0,184000000.0,231000000.0,4306000000.0,0.5749766324,3938000000.0,0.5258378956,-47000000.0,3891000000.0,0.5195620243,549000000.0,3342000000.0,0.4462545066,3.64,3.64,917000000,919000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000011/0001141391-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000011/ma-20241231.htm,8.166848418756816,3.644492911668484,5.2715376226826605,5.1679389312977095,9.5659760087241,7.104689203925846,-8.866957470010906,7.0719738276990185,20.0763358778626,482864690000.00006,492648690000.00006,36.12093731298624,64.47652423554547,99.88926148117504,101.89168389955688,74.4587031611411,74.4587031611411,65.78297369475231,114.4098211797492,101.91325817128671,103.95625448406838,0.0069211935956634,0.0098143436414868,2.810485736314572,0.3790686549780578,2.272178355782629,1.026222684703434,21.40217391304348,1.4464392579293837,0.0012550099697702,0.1813285457809695,0.143677393510482,0.0,0.3046109689898296,0.0196524617294166,0.0126852717318734,0.4112554112554112,0.0144211510214981,24.08131154957029,0.114226758393538,0.0999551368326603,-32.67639040348964,504000000.0,-8131000000.0,-21842000000.0,17288000000.0,3893500000.0,920000000.0,0.0,45.34250233676059,50.58076225045371,0.0,1.984892658362046,1.7793326157158236,0.0,0.515343099460293,0.1035986913849509,2025-01-30,3.71,bmo,7385341101.0,2025-04-30,2024-12-31,0.0296495956873315,517.69921875,2482837.703125
2024-09-30,MA,USD,1141391,2024-10-31,2024-10-31 10:27:36,2024,Q3,7369000000.0,1899000000.0,5470000000.0,0.7422988194,0,829000000.0,220000000.0,1049000000.0,417000000.0,1466000000.0,3365000000.0,0.0,159000000.0,225000000.0,4250000000.0,0.576740399,4004000000.0,0.5433573076,-138000000.0,3866000000.0,0.5246302076,603000000.0,3263000000.0,0.4428009228,3.54,3.53,923000000,925000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000202/0001141391-24-000202-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000202/ma-20240930.htm,7.9837486457204765,3.535211267605634,5.485373781148429,5.8049837486457205,12.352112676056338,8.123510292524378,-4.829902491874323,8.060671722643553,20.06175514626219,455777400000.0,463072400000.0,34.92011952191235,61.85064459221061,90.0212127197314,85.06483762597985,61.260403225806456,61.260403225806456,62.840602524087394,108.95821176470588,91.46205806833892,86.42635311683463,0.0071591965727129,0.0117557386566336,2.4674731182795697,0.3886360268433643,1.7164705882352942,1.2894645541806409,25.18238993710692,1.5516395954642968,0.0013405666889143,0.1872509960159362,0.1124983037047089,0.0,0.2531066748523403,0.0582658502863914,0.0400325688695888,1.3111111111111111,0.0210340616094449,25.32121627633813,0.1101057383376575,0.0924860406451064,-27.44041170097508,5006000000.0,-4458000000.0,-17439000000.0,19138000000.0,4104500000.0,873000000.0,0.0,49.02429094856833,43.17535545023696,0.0,1.8358246138515195,2.084522502744237,0.0,0.4385752688172043,0.3196099674972914,2024-10-31,3.74,bmo,7265622455.0,2025-04-25,2024-09-30,0.0401069518716577,465.04015625,2466680.65625
2024-06-30,MA,USD,1141391,2024-07-31,2024-07-31 10:19:22,2024,Q2,6961000000.0,1607000000.0,5354000000.0,0.7691423646,0,806000000.0,184000000.0,990000000.0,328000000.0,1318000000.0,2925000000.0,0.0,153000000.0,225000000.0,4317000000.0,0.6201695159,4036000000.0,0.5798017526,-97000000.0,3939000000.0,0.5658669731,681000000.0,3258000000.0,0.4680362017,3.51,3.5,929000000,930000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000161/0001141391-24-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000161/ma-20240630.htm,7.493003229278794,3.506996770721205,3.473627556512379,3.155005382131324,7.920344456404736,8.053821313240043,-4.553283100107643,7.98815931108719,16.96232508073197,406539690000.0,415148690000.0,31.19549493554328,58.402483838528944,125.98069104431362,138.70340839303992,54.78233256973454,54.78233256973454,59.63923143226548,96.1660157516794,128.6484939572358,141.6406311838963,0.0080139776758328,0.0072096281669324,2.102816332030724,0.3686249498027543,1.994208941394487,1.1401821213287162,26.37908496732026,0.9904849600982196,0.001512767424996,0.1887661141804788,0.1157879614997845,0.0,0.2766635957763447,0.0917260613572978,0.0425226260594742,1.3155555555555556,0.0222669156730354,25.106276116337117,0.123118315542382,0.1063975702948956,-26.207481162540365,2186000000.0,-4230000000.0,-17071000000.0,16046000000.0,4213000000.0,812500000.0,0.0,54.2378968539003,46.76415681393902,0.0,1.6593563766388555,1.9245508982035928,0.0,0.4390243902439024,0.3186221743810549,2024-07-31,3.51,bmo,6851770003.0,2025-04-25,2024-06-30,0.0227920227920228,455.54285714285714,2477974.26984127
2024-03-31,MA,USD,1141391,2024-05-01,2024-05-01 10:22:38,2024,Q1,6348000000.0,1514000000.0,4834000000.0,0.7614996849,0,744000000.0,116000000.0,860000000.0,370000000.0,1230000000.0,2744000000.0,0.0,150000000.0,216000000.0,3924000000.0,0.618147448,3604000000.0,0.5677378702,-46000000.0,3558000000.0,0.5604914934,547000000.0,3011000000.0,0.4743226213,3.23,3.22,933000000,935000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000087/0001141391-24-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000087/ma-20240331.htm,6.803858520900322,3.227224008574491,1.77491961414791,1.369774919614148,8.206859592711682,7.832797427652733,-4.673097534833869,7.763129689174705,16.912111468381564,446347200000.0,454683200000.0,37.05971438060445,70.31304347826087,269.5333333333333,349.25446009389674,61.6246306778959,61.6246306778959,71.62621298046629,115.872375127421,274.5671497584541,355.77715179968703,0.0067458695831406,0.0028632418888255,2.157807538312854,0.3668607107647528,2.124362895005097,1.089855072463768,24.026666666666667,0.549983394221189,0.0013800915520473,0.2045831949518432,0.1172022684310018,0.0,0.2738838552180648,0.2282608695652173,0.0595463137996219,1.75,0.0170132325141776,23.742379126323797,0.1123320706222972,0.0973362643046486,-26.220525187566988,1519000000.0,-4360000000.0,-16870000000.0,15264000000.0,4145500000.0,812000000.0,0.0,59.98582230623819,46.96169088507265,0.0,1.5003545261167572,1.916455696202532,0.0,0.4157117216622946,0.405144694533762,2024-05-01,3.24,bmo,6338410406.0,2025-04-25,2024-03-31,0.0216049382716048,457.15,2443131.016393442
2023-12-31,MA,USD,1141391,2024-02-13,2024-02-13 12:47:32,2023,Q4,6548000000.0,1528000000.0,5020000000.0,0.7666463042,0,853000000.0,264000000.0,1117000000.0,531000000.0,1648000000.0,3176000000.0,0.0,148000000.0,205000000.0,3674000000.0,0.5610873549,3372000000.0,0.514966402,-51000000.0,3321000000.0,0.5071777642,530000000.0,2791000000.0,0.4262370189,2.98,2.97,936000000,939000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000022/0001141391-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000022/ma-20231231.htm,6.995726495726496,2.981837606837607,4.412393162393163,4.330128205128205,9.807692307692308,7.47542735042735,-5.073717948717949,7.402777777777778,16.911324786324787,399213360000.0,406306360000.0,35.75898960945897,60.96722052535125,96.66183050847457,98.49823834196891,57.61485928705441,57.61485928705441,62.05045204642639,110.58964616222102,98.37926392251816,100.24830002467309,0.0069912489902642,0.0101524658393196,2.2630971280127,0.3694166980776479,1.9305933587370712,1.1658263649778653,22.783783783783782,1.479756359727696,0.001337630584307,0.1913292726621282,0.1302687843616371,0.0,0.2767150395778364,0.0186440677966101,0.0117593158216249,0.375609756097561,0.0131337813072693,22.285922157023005,0.1024422833848649,0.090906129893818,-24.81410256410257,2697000000.0,-4749000000.0,-16490000000.0,16504000000.0,3992500000.0,711500000.0,0.0,55.803298717165546,49.12303664921466,0.0,1.612807881773399,1.8321342925659472,0.0,0.4027998268148361,0.0822649572649572,2024-01-31,3.08,bmo,5958210000.0,2025-04-25,2023-12-31,0.0324675324675324,401.731746031746,2564903.603174603
2023-09-30,MA,USD,1141391,2023-10-26,2023-10-26 10:11:53,2023,Q3,6533000000.0,1573000000.0,4960000000.0,0.7592224093,0,687000000.0,193000000.0,880000000.0,236000000.0,1116000000.0,2689000000.0,0.0,151000000.0,211000000.0,4123000000.0,0.6311036277,3844000000.0,0.5883973672,-83000000.0,3761000000.0,0.5756926374,563000000.0,3198000000.0,0.4895147712,3.4,3.39,941000000,943000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000157/0001141391-23-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000157/ma-20230930.htm,6.942614240170032,3.3985122210414453,3.435706695005313,3.325185972369819,7.961742826780021,6.781083953241232,-5.450584484590861,6.706695005313496,16.702444208289055,372551310000.0,381227310000.0,29.1237734521576,57.02606918720343,115.23393442622952,119.06401725790988,59.03205672635082,59.03205672635082,58.35409612735344,92.46357264128062,117.91751005258274,121.83678811121764,0.0085840524893067,0.0083988431016388,2.4664870860402472,0.3923476332106669,2.1042929905408685,1.1697086576210485,25.456953642384107,1.0109443402126328,0.0014440963850053,0.1682301438398999,0.105158426450329,0.0,0.2901144326259011,0.0321682647695638,0.015919179549977,0.4928909952606635,0.0200520434716056,22.645919303773024,0.1259857916623725,0.1135492117596932,-24.2903825717322,2464000000.0,-5129000000.0,-16310000000.0,15946000000.0,3844000000.0,616000000.0,0.0,54.07163630797489,33.69993642720916,0.0,1.664458598726115,2.6706281833616297,0.0,0.5067342734907305,0.1105207226354941,2023-10-26,3.21,bmo,6519430000.0,2025-04-25,2023-09-30,0.0560747663551402,401.4047619047619,2281010.9206349207
2023-06-30,MA,USD,1141391,2023-07-27,2023-07-27 10:19:39,2023,Q2,6269000000.0,1495000000.0,4774000000.0,0.7615249641,0,681000000.0,201000000.0,882000000.0,236000000.0,1118000000.0,2613000000.0,0.0,144000000.0,192000000.0,4040000000.0,0.6444408997,3656000000.0,0.5831871112,48000000.0,3704000000.0,0.5908438347,859000000.0,2845000000.0,0.453820386,3.01,3.0,946000000,949000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000131/0001141391-23-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000131/ma-20230630.htm,6.626849894291754,3.007399577167019,2.85200845665962,2.7674418604651163,6.885835095137421,5.897463002114165,-6.394291754756871,5.818181818181818,16.66384778012685,372061800000.0,381511800000.0,32.69435852372584,59.34946562450151,137.90281690140844,142.11680672268906,67.5984375,67.5984375,60.85688307545063,94.43361386138614,141.4054114158636,145.72643239113827,0.0076465791435723,0.0070364654474068,2.837936046511628,0.4004717464875397,2.339108910891089,1.1294069417873736,25.38888888888889,0.948330404217926,0.0014540595137689,0.1901581722319859,0.1086297655128409,0.0,0.2981232694082658,0.0296515937731653,0.0127612059339607,0.4166666666666667,0.0215345350135587,19.841772719374617,0.1117130822874664,0.1039231443600233,-25.46379492600423,1894000000.0,-6049000000.0,-16895000000.0,15508000000.0,3637000000.0,689000000.0,0.0,54.022970170681134,38.709030100334445,0.0,1.6659580122242892,2.325038880248833,0.0,0.5168968023255814,0.0845665961945031,2023-07-27,2.82,bmo,5583590000.0,2025-04-25,2023-06-30,0.024822695035461,375.2340322580645,2817869.483870968
2023-03-31,MA,USD,1141391,2023-04-27,2023-04-27 10:45:20,2023,Q1,5748000000.0,1426000000.0,4322000000.0,0.7519137091,0,601000000.0,167000000.0,768000000.0,418000000.0,1186000000.0,2612000000.0,0.0,132000000.0,191000000.0,3176000000.0,0.5525400139,3136000000.0,0.5455810717,-283000000.0,2853000000.0,0.4963465553,492000000.0,2361000000.0,0.4107515658,2.48,2.47,953000000,956000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000059/0001141391-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000059/ma-20230331.htm,6.031479538300105,2.477439664218258,2.013641133263379,1.8982161594963272,7.311647429171039,5.673662119622246,-6.500524658971669,5.5928646379853095,16.474291710388247,346329730000.0,355331730000.0,36.67193244387971,60.25221468336813,180.474064616988,191.44816473189607,64.97743527204503,64.97743527204503,61.81832463465553,111.8802676322418,185.1650495049505,196.42439469320067,0.006817202785334,0.0052233459714821,2.920825515947467,0.3998356276967331,2.834382871536524,1.202842282616658,23.75757575757576,0.8127911901736552,0.0015736448615023,0.230834392206692,0.1045581071677105,0.0,0.2979761660160263,0.0573215216258468,0.0191370911621433,0.5759162303664922,0.0187891440501043,17.65671700916796,0.1041118720712851,0.0863759420501939,-25.10781741867786,2769000000.0,-6195000000.0,-17109000000.0,16377000000.0,3468000000.0,830500000.0,0.0,54.97390396659708,46.38849929873773,0.0,1.6371404158359442,1.9401360544217687,0.0,0.4429643527204502,0.1154249737670514,2023-04-27,2.72,bmo,5642980000.0,2025-04-25,2023-03-31,0.0294117647058822,363.2264516129033,2888438.2580645164
2022-12-31,MA,USD,1141391,2023-02-14,2023-02-14 16:48:22,2022,Q4,5817000000.0,1381000000.0,4436000000.0,0.7625924016,0,844000000.0,216000000.0,1060000000.0,192000000.0,1252000000.0,2633000000.0,0.0,127000000.0,184000000.0,3400000000.0,0.5844937253,3184000000.0,0.5473611827,-95000000.0,3089000000.0,0.5310297404,564000000.0,2525000000.0,0.434072546,2.63,2.62,960000000,963000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000020/0001141391-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000020/ma-20221231.htm,6.059375,2.630208333333333,3.2291666666666665,2.8760416666666666,7.716666666666667,6.642708333333333,-5.2125,6.560416666666667,14.739583333333334,333820800000.0,340835800000.0,33.05156435643564,57.38710675605982,107.68412903225808,120.90575878304962,53.00425531914894,53.00425531914894,58.59305483926423,100.24582352941177,109.94703225806452,123.44650488953278,0.0075639384963429,0.0082709046290704,2.2265798666243253,0.3621268464001653,2.0632352941176477,1.1718297932397148,25.070866141732285,1.2277227722772277,0.0014169278846614,0.1873267326732673,0.1450919718067732,0.0,0.293900423509968,0.1093548387096774,0.0582774626095925,1.8423913043478264,0.0037820182224514,19.703893224515937,0.1042437850270547,0.092345390044984,-23.30234375,2435000000.0,-5004000000.0,-15741000000.0,15822000000.0,3296000000.0,770500000.0,0.0,52.99123259412068,60.34757422157857,0.0,1.6983941605839417,1.4913606911447084,0.0,0.4009209272785011,0.353125,2023-01-26,2.58,bmo,5792990479.0,2025-04-25,2022-12-31,0.0271317829457363,329.1549206349206,2789761.26984127
