date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,MAR,USD,1048286,2025-05-06,2025-05-06 12:10:55,2025,Q1,6263000000.0,5018000000.0,1312000000.0,0.2094842727,0,245000000.0,0.0,245000000.0,52000000.0,297000000.0,5315000000.0,9000000.0,192000000.0,136000000.0,1057000000.0,0.1687689606,948000000.0,0.1513651605,-184000000.0,764000000.0,0.1219862686,99000000.0,665000000.0,0.1061791474,2.4,2.39,278242677,277700000,https://www.sec.gov/Archives/edgar/data/1048286/000162828025022485/0001628280-25-022485-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828025022485/mar-20250331.htm,22.509127886230047,2.3900000070801504,2.325308277565199,1.840120306203063,1.8796541409066445,-11.385744394631454,-77.49709797393876,-11.385744394631454,57.658300922687,66277405661.4,81605405661.4,24.916317917819548,10.582373568800891,102.4380303885626,129.44805793242188,-20.920898251704543,-20.920898251704543,13.029762998786524,77.20473572507095,126.12891137774342,159.38555793242188,0.0100335852522256,0.0077251062393075,-5.003472222222222,0.5947619226295449,14.501419110690634,0.4521970062771608,4.9375,0.9729323308270676,0.0026253290735146,0.2616541353383458,0.0391186332428548,0.0,0.6902180030768076,0.2086553323029366,0.0215551652562669,0.9926470588235294,0.0083027303209324,,0.0426967333158867,0.080547480620155,-97.47516194289636,-4538000000.0,-21563000000.0,-26073000000.0,16556000000.0,2847000000.0,787500000.0,0.0,41.65894938527862,14.563571143882026,0.0,2.160400137978613,6.179802955665025,0.0,-0.2099116161616161,0.4851879713621358,2025-05-06,2.25,bmo,6187137230.0,2025-05-11,2025-03-31,0.031111111111111,271.82550000000003,1717439.0833333333
2024-12-31,MAR,USD,1048286,2025-02-11,2025-02-11 12:50:25,2024,Q4,6429000000.0,5290000000.0,1407000000.0,0.2188520765,0,289000000.0,0.0,289000000.0,98000000.0,387000000.0,5677000000.0,10000000.0,180000000.0,279000000.0,850000000.0,0.132213408,752000000.0,0.1169699798,-154000000.0,598000000.0,0.0930160212,143000000.0,455000000.0,0.0707730596,1.63,1.62,278900000,280100000,https://www.sec.gov/Archives/edgar/data/1048286/000162828025004818/0001628280-25-004818-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828025004818/mar-20241231.htm,23.051272857655075,1.631409107206884,1.140193617784152,-0.0860523485120114,1.4198637504481892,-10.727859447830763,-76.05234851201148,-10.727859447830763,55.292219433488704,77796366000.0,92641366000.0,42.74525604395605,12.100850209986,244.64266037735848,-3241.51525,-26.00145922459893,-26.00145922459893,14.4099184943226,108.98984235294118,291.3250503144654,-3860.056916666667,0.0058486022341969,-0.0003084977002653,-5.093917112299465,0.582117485295241,17.46470588235294,0.4029367556942999,4.177777777777778,0.6989010989010989,0.0022623164686124,0.3868131868131868,0.0449525587183076,0.0,0.6958597509739516,1.0754716981132075,0.053196453569762,1.2258064516129032,0.0099548918960958,,0.0303669415690201,0.0571392691196785,-95.66780207959842,-5164000000.0,-21211000000.0,-25689000000.0,15733000000.0,2857500000.0,785000000.0,0.0,39.12739150723285,12.98109640831758,0.0,2.300178890876565,6.933158584534731,0.0,-0.1520721925133689,1.2262459662961636,2025-02-11,2.37,bmo,6403923132.0,2025-05-11,2024-12-31,0.0337552742616034,274.55921875,1233175.625
2024-09-30,MAR,USD,1048286,2024-11-04,2024-11-04 11:49:57,2024,Q3,6255000000.0,5026000000.0,1229000000.0,0.1964828137,0,276000000.0,0.0,276000000.0,0.0,276000000.0,5302000000.0,11000000.0,179000000.0,45000000.0,998000000.0,0.1595523581,944000000.0,0.1509192646,-158000000.0,786000000.0,0.1256594724,202000000.0,584000000.0,0.0933653078,2.07,2.07,281500000,281500000,https://www.sec.gov/Archives/edgar/data/1048286/000162828024044884/0001628280-24-044884-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828024044884/mar-20240930.htm,22.2202486678508,2.0746003552397867,3.126110124333925,2.507992895204263,1.399644760213144,-8.600355239786856,-40.18117229129663,-8.600355239786856,52.01065719360568,69980900000.0,84048900000.0,29.957577054794523,11.187993605115908,79.52374999999999,99.12308781869687,-28.90578273440727,-28.90578273440727,13.43707434052758,84.21733466933868,95.51011363636364,119.04943342776204,0.0083451341723241,0.0100884669959946,-5.973564642709624,0.5517951848601625,14.09619238476954,0.9756963407973784,5.273743016759776,1.5068493150684932,0.0025149719423442,0.3013698630136986,0.0441247002398081,0.0,0.3391964592315616,0.1977272727272727,0.0278177458033573,2.4507042253521125,0.0100719424460431,,0.0298376824790753,0.0337201916969801,-92.52575488454708,-89000000.0,-11311000000.0,-25057000000.0,11304000000.0,2883500000.0,816500000.0,0.0,42.01438848920864,14.450855551134104,0.0,2.142123287671233,6.228004956629492,0.0,-0.2412226352746798,0.6181172291296625,2024-11-04,2.31,bmo,6275743678.0,2025-04-25,2024-09-30,-0.0216450216450217,232.89265625,1570080.453125
2024-06-30,MAR,USD,1048286,2024-07-31,2024-07-31 11:22:00,2024,Q2,6439000000.0,4988000000.0,1451000000.0,0.2253455506,0,248000000.0,0.0,248000000.0,4000000.0,295000000.0,5236000000.0,9000000.0,173000000.0,47000000.0,1250000000.0,0.1941295232,1203000000.0,0.1868302531,-163000000.0,1040000000.0,0.1615157633,268000000.0,772000000.0,0.1198943935,2.7,2.69,285800000,286700000,https://www.sec.gov/Archives/edgar/data/1048286/000162828024033679/0001628280-24-033679-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828024033679/mar-20240630.htm,22.529741077676697,2.701189643107068,2.701189643107068,2.263820853743877,1.2211336599020295,-7.31630510846746,-70.45836249125263,-7.31630510846746,49.47865640307908,68451958000.0,82070958000.0,22.167084844559582,10.630836775896878,88.66833937823834,105.79900772797528,-32.73646963175514,-32.73646963175514,12.745916757260444,65.6567664,106.3095310880829,126.84846676970632,0.0112779827276818,0.009451884488096,-6.680057388809182,0.5426573426573427,10.8952,0.4225522153809006,6.953757225433526,1.0,0.0026149726790868,0.2318652849740932,0.0385152974064295,0.0,0.7010878010878011,0.1619170984455958,0.019412952321789,2.6595744680851063,0.0088523062587358,,0.0484876013382284,0.1003379256563556,-88.6870188943317,-4783000000.0,-20137000000.0,-24331000000.0,15696000000.0,2797000000.0,809500000.0,0.0,39.79344618729616,14.903769045709703,0.0,2.261678960309097,6.038740920096853,0.0,-0.3692013390722142,0.437368789363191,2024-07-31,2.47,bmo,6471571369.0,2025-04-25,2024-06-30,0.0121457489878541,240.02761904761903,1491294.984126984
2024-03-31,MAR,USD,1048286,2024-05-01,2024-05-01 11:18:09,2024,Q1,5977000000.0,4832000000.0,1145000000.0,0.1915676761,0,261000000.0,0.0,261000000.0,-261000000.0,261000000.0,5093000000.0,10000000.0,163000000.0,45000000.0,929000000.0,0.1554291451,884000000.0,0.1479002844,-157000000.0,727000000.0,0.1216329262,163000000.0,564000000.0,0.0943617199,1.94,1.93,290400000,291600000,https://www.sec.gov/Archives/edgar/data/1048286/000162828024019494/0001628280-24-019494-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828024019494/mar-20240331.htm,20.581955922865017,1.9421487603305785,2.6825068870523414,2.3071625344352618,3.8050964187327834,-5.564738292011019,-67.77892561983471,-5.564738292011019,47.07988980716254,72986232000.0,86066232000.0,32.35205319148936,12.21118152919525,93.6922105263158,108.93467462686569,-45.16474752475248,-45.16474752475248,14.399570353019907,92.64395263724435,110.4829679075738,128.45706268656716,0.0077274848220689,0.0091798135297627,-8.359529702970297,0.5244991458300978,14.079655543595264,0.4222766217870257,5.423312883435583,1.3812056737588652,0.0020688833477524,0.2677304964539007,0.0436673916680609,0.0,0.7014676191955272,0.1399229781771502,0.0182365735318721,2.422222222222222,0.0088673247448552,,0.0370782425762602,0.0733515411626999,-83.35657713498622,-4720000000.0,-19683000000.0,-23922000000.0,15814000000.0,2729500000.0,765500000.0,0.0,41.363560314539065,14.770281456953642,0.0,2.17582817619221,6.093316519546028,0.0,-0.349009900990099,0.3753443526170799,2024-05-01,2.17,bmo,5945648551.0,2025-04-25,2024-03-31,-0.0184331797235023,242.1672131147541,1439649.213114754
2023-12-31,MAR,USD,1048286,2024-02-13,2024-02-13 12:30:40,2023,Q4,6095000000.0,4988000000.0,1107000000.0,0.1816242822,0,330000000.0,794000000.0,330000000.0,7000000.0,381000000.0,5369000000.0,9000000.0,153000000.0,51000000.0,777000000.0,0.1274815422,718000000.0,0.1178014766,-137000000.0,581000000.0,0.0953240361,-267000000.0,848000000.0,0.1391304348,2.88,2.87,294300000,295600000,https://www.sec.gov/Archives/edgar/data/1048286/000162828024004372/0001628280-24-004372-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828024004372/mar-20231231.htm,20.71015970098539,2.8814135236153584,2.5518178729187904,2.0965001698946653,1.148487937478763,-2.3173632347944277,-63.73768263676521,-2.3173632347944277,43.87699626231736,66367593000.0,78789593000.0,19.56591774764151,10.888858572600492,88.37229427430093,107.56498055105348,-97.3131862170088,-97.3131862170088,12.92692255947498,101.4023075933076,104.9129067909454,127.69788168557535,0.0127773204009372,0.0092967059992668,-18.70967741935484,0.4970008568980291,15.987129987129988,0.4265653182169543,4.69281045751634,0.8856132075471698,0.0022902744114887,0.1792452830188679,0.0541427399507793,0.0,0.7040585806652645,0.1784287616511318,0.0219852337981952,1.8356164383561644,0.0095159967186218,,0.0567537878099376,0.1116083179784153,-81.49507305470608,-4451000000.0,-18758000000.0,-23045000000.0,16135000000.0,2707500000.0,717000000.0,0.0,40.04593929450369,13.315958299919808,0.0,2.247418879056047,6.75880758807588,0.0,-1.2434017595307918,0.455317703024125,2024-02-13,2.12,bmo,6201900000.0,2025-04-25,2023-12-31,0.6839622641509432,202.7323809523809,1567322.349206349
2023-09-30,MAR,USD,1048286,2023-11-02,2023-11-02 10:16:21,2023,Q3,5928000000.0,4391000000.0,-1657000000.0,-0.2795209177,0,239000000.0,0.0,239000000.0,28000000.0,239000000.0,4630000000.0,7000000.0,146000000.0,46000000.0,1158000000.0,0.1953441296,1099000000.0,0.185391363,-110000000.0,989000000.0,0.1668353576,-237000000.0,752000000.0,0.1268556005,2.52,2.51,298600000,300100000,https://www.sec.gov/Archives/edgar/data/1048286/000162828023036256/0001628280-23-036256-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828023036256/mar-20230930.htm,19.85264567983925,2.518419290020094,2.9504353650368387,2.53516409912927,2.4012056262558605,-2.213663764233088,-61.78499665103818,-2.213663764233088,43.13462826523778,58692816000.0,70709816000.0,19.512239361702125,9.900947368421052,66.62067650397276,77.53344253632761,-88.79397276853253,-88.79397276853253,11.92810661268556,61.06201727115717,80.26085811577752,93.40794715984148,0.0128124709504481,0.0128976602519804,-19.264750378214828,0.503977520085487,10.377374784110536,0.479614432721115,7.527397260273973,1.1715425531914894,0.0026238304871928,0.2047872340425532,0.0403171390013495,0.0,0.704001266474057,0.1407491486946651,0.0209176788124156,1.7971014492753623,0.0091093117408906,,0.0736888770854125,0.1005482016312341,-77.64149363697254,-3995000000.0,-18449000000.0,-22246000000.0,16302000000.0,2634000000.0,683000000.0,0.0,41.03744939271255,14.265543156456388,0.0,2.193118756936737,6.308908045977011,0.0,-1.1376701966717095,0.4152712659075686,2023-11-02,2.11,bmo,5886840000.0,2025-04-25,2023-09-30,0.0,198.6546031746032,2038214.238095238
2023-06-30,MAR,USD,1048286,2023-08-01,2023-08-01 10:54:16,2023,Q2,6075000000.0,4653000000.0,1422000000.0,0.2340740741,0,240000000.0,0.0,240000000.0,2000000.0,288000000.0,4941000000.0,0.0,140000000.0,48000000.0,1182000000.0,0.1945679012,1096000000.0,0.1804115226,-132000000.0,964000000.0,0.1586831276,238000000.0,726000000.0,0.1195061728,2.39,2.38,303600000,305000000,https://www.sec.gov/Archives/edgar/data/1048286/000162828023026380/0001628280-23-026380-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828023026380/mar-20230630.htm,20.009881422924902,2.391304347826087,2.144268774703557,1.818181818181818,1.8544137022397893,-0.7378129117259552,-59.51581027667984,-0.7378129117259552,40.96179183135705,55768284000.0,67501284000.0,19.203954545454547,9.179964444444444,85.66556682027651,101.0295,-248.96555357142856,-248.96555357142856,11.111322469135802,57.10768527918782,103.68860829493087,122.2849347826087,0.0130181520378141,0.0098980990700735,-54.892857142857146,0.4901343325228205,9.926395939086294,0.4579787234042553,7.828571428571428,0.8966942148760331,0.0028152202065245,0.2162534435261708,0.0395061728395061,0.0,0.7113245904253199,0.152073732718894,0.0162962962962962,1.4142857142857144,0.0092181069958847,,0.0447110551097851,0.100248550124275,-75.17868906455863,-4076000000.0,-18069000000.0,-21867000000.0,16294000000.0,2513500000.0,696000000.0,0.0,38.0,12.959381044487428,0.0,2.3684210526315788,6.944776119402985,0.0,-3.2410714285714284,0.3260869565217391,2023-08-01,2.18,bmo,5980440000.0,2025-04-25,2023-06-30,0.0366972477064218,173.4824193548387,1696402.5322580645
2023-03-31,MAR,USD,1048286,2023-05-02,2023-05-02 12:31:05,2023,Q1,5615000000.0,4417000000.0,1198000000.0,0.2133570793,0,202000000.0,0.0,202000000.0,44000000.0,246000000.0,4663000000.0,15000000.0,126000000.0,44000000.0,996000000.0,0.1773820125,951000000.0,0.1693677649,-107000000.0,844000000.0,0.1503116652,87000000.0,757000000.0,0.1348174533,2.45,2.43,309600000,311000000,https://www.sec.gov/Archives/edgar/data/1048286/000162828023014793/0001628280-23-014793-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828023014793/mar-20230331.htm,18.136304909560724,2.445090439276486,2.8649870801033592,2.558139534883721,1.789405684754522,0.4521963824289405,-56.83462532299742,0.4521963824289405,38.13630490956072,51405984000.0,62532984000.0,16.976877146631438,9.155117364203027,57.95488613303269,64.90654545454545,367.1856,367.1856,11.136773642030276,62.78412048192771,70.4994182638106,78.95578787878787,0.0147259120650234,0.0154067666519135,83.43571428571428,0.4698145839198809,11.171686746987952,0.4683598794662075,7.547619047619048,1.1717305151915456,0.0024121705364107,0.1638044914134742,0.0359750667853962,0.0,0.713349153360415,0.1071025930101465,0.0169189670525378,1.4615384615384617,0.0065894924309884,4.987722291329917,0.0467329815443194,0.1062157990739441,-72.10109819121448,-3705000000.0,-17596000000.0,-21459000000.0,16610000000.0,2516500000.0,734000000.0,0.0,39.46215494211933,14.711342540185647,0.0,2.280666125101543,6.117728531855955,0.0,5.4071428571428575,0.3068475452196382,2023-05-02,1.84,bmo,5408920000.0,2025-04-25,2023-03-31,0.1358695652173911,166.5633870967742,1856990.2096774196
2022-12-31,MAR,USD,1048286,2023-02-14,2023-02-14 15:00:35,2022,Q4,5923000000.0,4644000000.0,1279000000.0,0.2159378693,0,236000000.0,635000000.0,236000000.0,46000000.0,282000000.0,4926000000.0,8000000.0,115000000.0,46000000.0,1053000000.0,0.1777815296,1007000000.0,0.170015195,-106000000.0,891000000.0,0.1504305251,218000000.0,673000000.0,0.1136248523,2.13,2.12,316500000,317900000,https://www.sec.gov/Archives/edgar/data/1048286/000162828023003485/0001628280-23-003485-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828023003485/mar-20221231.htm,18.714060031595576,2.126382306477093,1.3933649289099526,0.9510268562401264,1.6018957345971565,1.7946287519747235,-53.87361769352291,1.7946287519747235,35.42812006319115,47123684999.99999,57714684999.99999,17.505083580980685,7.956050143508356,106.85642857142857,156.5570930232558,82.96423415492957,82.96423415492957,9.744164274860712,54.80976733143399,130.87230158730156,191.74313953488368,0.0142815656288339,0.0063874461430594,19.5387323943662,0.4472294982873262,10.057929724596391,0.4514238997138575,8.756521739130434,0.6552748885586924,0.0026738146645365,0.1872213967310549,0.0398446733074455,0.0,0.7100141043723555,0.3174603174603174,0.0236366706061117,2.0,0.0081040013506668,9.26614825912675,0.0418842734738476,0.0935241801000555,-68.91548183254345,-4026000000.0,-17051000000.0,-20934000000.0,16165000000.0,2474500000.0,746000000.0,0.0,39.066351511058585,14.457364341085272,0.0,2.303772851030727,6.225201072386059,0.0,1.1848591549295775,0.4423380726698262,2023-02-14,1.83,bmo,5368714286.0,2025-04-25,2022-12-31,0.0710382513661201,153.96746031746034,1966966.4603174604
