date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,MCD,USD,63908,2025-05-01,2025-05-01 07:02:38,2025,Q1,5956000000.0,0.0,5956000000.0,1.0,0,0.0,0.0,3308000000.0,0.0,3308000000.0,3308000000.0,0.0,0.0,0.0,2648000000.0,0.444593687,2648000000.0,0.444593687,-780000000.0,1868000000.0,0.3136333109,0.0,1868000000.0,0.3136333109,2.6,2.6,716700000,719700000,https://www.sec.gov/Archives/edgar/data/63908/000006390825000021/0000063908-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390825000021/exhibit991-33125xq1.htm,8.310311148318682,2.606390400446491,,,,,,,,223875579000.0,,29.961935091006424,37.58824361987912,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0083439203522953,,0.0,0.0,,0.0,0.0,0.0,0.0056663572045971,0.6791001070663811,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2025-05-01,2.66,bmo,6101145208.0,2025-05-11,2025-03-31,0.0037593984962405,299.10549999999995,3402606.6666666665
2024-12-31,MCD,USD,63908,2025-02-25,2025-02-25 13:19:01,2024,Q4,6388000000.0,2709000000.0,3679000000.0,0.5759236068,0,0.0,0.0,664000000.0,147000000.0,811000000.0,3520000000.0,18000000.0,380000000.0,553000000.0,3471000000.0,0.5433625548,2868000000.0,0.4489668128,-330000000.0,2538000000.0,0.3973074515,521000000.0,2016000000.0,0.3155917345,2.81,2.8,716700000,719700000,https://www.sec.gov/Archives/edgar/data/63908/000006390825000012/0000063908-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390825000012/mcd-20241231.htm,8.91307381052044,2.812892423608204,3.670992046881541,2.5449979070740896,1.5138830752058043,-5.297893121250175,-9.686061113436583,-5.296497837309893,73.0124180270685,207764163000.0,258627163000.0,25.76440513392857,32.52413321853475,78.96775484606613,113.90579111842104,-54.73239278187565,-54.73239278187565,40.48640623043206,74.51085076346874,98.29994792854428,141.79120778508772,0.0097033096126399,0.0087791848876266,-13.684931506849315,0.9413939328041752,14.653702103140306,1.191142191142191,7.547368421052632,1.304412493802677,0.0061030737047755,0.628968253968254,0.0,0.0,0.0569932224276032,0.30672748004561,0.1263306199123356,1.4593128390596746,0.0,,0.0438673098120622,0.0387416645848146,-78.24577926608065,738000000.0,-6942000000.0,-54380000000.0,42517000000.0,2421500000.0,986500000.0,55000000.0,33.573888541014405,34.18604651162791,1.8604651162790693,2.6806546370121693,2.63265306122449,48.375,-0.5310853530031612,1.1259941398074509,2025-02-10,2.85,bmo,6449713858.0,2025-05-10,2024-12-31,-0.0070175438596491,298.19296875,3465437.78125
2024-09-30,MCD,USD,63908,2024-11-07,2024-11-07 12:44:41,2024,Q3,6874000000.0,2998000000.0,3876000000.0,0.5638638347,0,0.0,0.0,536000000.0,152000000.0,688000000.0,3686000000.0,18000000.0,381000000.0,532000000.0,3756000000.0,0.5464067501,3188000000.0,0.4637765493,-345000000.0,2843000000.0,0.4135874309,588000000.0,2255000000.0,0.328047716,3.15,3.13,716700000,720000000,https://www.sec.gov/Archives/edgar/data/63908/000006390824000156/0000063908-24-000156-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390824000156/mcd-20240930.htm,9.59118180549742,3.1463652853355657,3.817496860611135,2.709641412027348,1.7036416910841357,-7.223384958839124,-11.716199246546672,-7.223384958839124,75.05511371564113,218242317000.0,270432317000.0,24.195378824833703,31.748955048006984,79.76692872807017,112.38018383110196,-42.15613617925439,-42.15613617925439,39.34133212103578,72.00008439829605,98.842221125731,139.25454016477858,0.0103325515921827,0.008898365938811,-10.316978945335135,0.9508473972797836,13.895101171458998,0.7786937222574508,8.36745406824147,1.2133037694013304,0.0054847291600189,0.530820399113082,0.0,0.0,0.0573239336324147,0.2902046783625731,0.1155077102123945,1.4924812030075187,0.0058190282222868,,0.0494571623512289,0.0425857380268922,-81.2836612250593,-1396000000.0,-8397000000.0,-56437000000.0,41231000000.0,2432000000.0,946500000.0,50000000.0,32.20832121035787,28.338892595063378,1.62108072048032,2.794308943089431,3.1758474576271185,55.51851851851852,-0.4355804519992273,1.1078554485837868,2024-10-29,3.2,bmo,6817475682.0,2025-04-25,2024-09-30,0.0093749999999999,275.620625,3447935.140625
2024-06-30,MCD,USD,63908,2024-08-08,2024-08-08 11:27:26,2024,Q2,6490000000.0,2772000000.0,3718000000.0,0.5728813559,0,0.0,0.0,590000000.0,208000000.0,798000000.0,3570000000.0,20000000.0,373000000.0,502000000.0,3430000000.0,0.5285053929,2920000000.0,0.4499229584,-365000000.0,2555000000.0,0.3936825886,533000000.0,2022000000.0,0.3115562404,2.81,2.8,718800000,722000000,https://www.sec.gov/Archives/edgar/data/63908/000006390824000123/0000063908-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390824000123/mcd-20240630.htm,9.028937117417918,2.8130217028380637,2.3497495826377297,1.4774624373956595,1.1018363939899831,-6.71118530884808,-10.951585976627712,-6.71118530884808,72.86032276015581,179692812000.0,230899812000.0,22.217212166172107,27.68764437596302,106.39006039076376,169.20227118644067,-37.24975373134328,-37.24975373134328,35.57778305084746,67.31772944606413,136.708,217.41978531073443,0.0112525369128287,0.0059100861530287,-10.779228855721392,0.9665061987695396,14.929154518950437,1.0754475703324808,7.828418230563003,0.8353115727002968,0.0066724983968752,0.5929772502472799,0.0,0.0,0.0566532220590695,0.3712255772646536,0.0966101694915254,1.249003984063745,0.0058551617873651,,0.0457179033525331,0.039840009457569,-77.91736227045075,295000000.0,-7872000000.0,-54420000000.0,41388000000.0,2321000000.0,942500000.0,46000000.0,33.33744221879815,30.81168831168831,1.4935064935064934,2.6996672212978368,2.9209694415173866,60.26086956521739,-0.4191542288557214,0.8722871452420701,2024-07-29,3.07,bmo,6622983449.0,2025-04-25,2024-06-30,-0.03257328990228,265.298253968254,3663929.1746031744
2024-03-31,MCD,USD,63908,2024-05-08,2024-05-08 11:24:42,2024,Q1,6169000000.0,2730000000.0,3439000000.0,0.5574647431,0,0.0,0.0,622000000.0,81000000.0,703000000.0,3433000000.0,47000000.0,372000000.0,510000000.0,3291000000.0,0.5334738207,2736000000.0,0.4435078619,-327000000.0,2409000000.0,0.3905008916,479000000.0,1929000000.0,0.3126924947,2.67,2.66,721800000,725900000,https://www.sec.gov/Archives/edgar/data/63908/000006390824000092/0000063908-24-000092-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390824000092/mcd-20240331.htm,8.546688833471876,2.672485453034082,3.3111665281241343,2.5533388750346355,1.1609864228318094,-6.695760598503741,-10.890828484344691,-6.694375173178166,71.007204211693,202262796000.00003,252305796000.00003,26.21342612752722,32.78696644512888,84.62878493723849,109.74649810092242,-41.85902235099338,-41.85902235099338,40.8989781163884,76.66538924339108,105.56727866108788,136.89950949538795,0.0095370974699667,0.0091119080545094,-10.530008278145695,0.9508156896455068,15.206016408386509,0.8303315595579206,7.354838709677419,1.2389839294971488,0.0059625399423431,0.6251944012441679,0.0,0.0,0.0565843813652757,0.2288702928870293,0.0886691522126762,1.072549019607843,0.0081050413357108,,0.0439133759660189,0.0382093691195404,-77.31573843169853,-829000000.0,-7861000000.0,-54289000000.0,40158000000.0,2363000000.0,1019500000.0,49500000.0,32.650348516777434,30.857142857142858,1.5164835164835166,2.7564789991063448,2.9166666666666665,59.34782608695652,-0.3992135761589404,0.7578276530894985,2024-04-30,2.72,bmo,6158186851.0,2025-04-25,2024-03-31,-0.0073529411764705,290.82655737704914,3189762.7377049183
2023-12-31,MCD,USD,63908,2024-02-22,2024-02-22 12:31:15,2023,Q4,6406200000.0,2752000000.0,3654200000.0,0.5704161593,0,0.0,0.0,730900000.0,121400000.0,852300000.0,3604300000.0,63900000.0,360200000.0,497500000.0,3372700000.0,0.526474353,2801900000.0,0.4373731697,-286900000.0,2515000000.0,0.39258843,476000000.0,2039000000.0,0.318285411,2.82,2.8,723830753,727800000,https://www.sec.gov/Archives/edgar/data/63908/000006390824000072/0000063908-24-000072-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390824000072/mcd-20231231.htm,8.850411471809903,2.8169568528956934,3.438510991256543,2.392271940399305,6.326064457778019,-6.502901376449254,-10.702778194891092,-6.501519838022135,73.84488677562447,214623056572.03,263135056572.03,26.3147445527256,33.50239714214823,86.2320931222749,123.94493911528645,-45.60625936507225,-45.60625936507225,41.07506112391589,78.01911126753936,105.7234346787858,151.96064713099446,0.0095003772314447,0.0080680986826727,-11.281555461113472,0.9455714463818192,14.383728170308654,1.1643096661320893,7.778734036646307,1.2206473761647867,0.0056289385646436,0.5924963217263365,0.0,0.0,0.0541435873688709,0.3042709630760577,0.1182136055696044,8.367955801104973,0.0058380943461022,,0.0435456051788795,0.0383941853239685,-75.13151351280041,1127000000.0,-7747000000.0,-52868000000.0,42588000000.0,2367550000.0,982700000.0,50300000.0,34.95363866254566,36.07194767441861,1.7332848837209305,2.57483922829582,2.4950135992747056,51.9245283018868,-0.4332766680832979,1.046239050857238,2024-02-05,2.82,bmo,6450080000.0,2025-04-25,2023-12-31,0.0460992907801419,272.1722222222222,3159106.777777778
2023-09-30,MCD,USD,63908,2023-11-02,2023-11-02 15:24:50,2023,Q3,6692000000.0,2828000000.0,3864000000.0,0.5774058577,0,0.0,0.0,584000000.0,72000000.0,656000000.0,3484000000.0,47000000.0,341000000.0,498000000.0,3763000000.0,0.5623132098,3208000000.0,0.4793783622,-284000000.0,2924000000.0,0.4369396294,606000000.0,2317000000.0,0.3462343096,3.19,3.17,727200000,731600000,https://www.sec.gov/Archives/edgar/data/63908/000006390823000101/0000063908-23-000101-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390823000101/mcd-20230930.htm,9.202420242024202,3.186193619361936,4.165291529152915,3.3810506050605063,4.807893289328933,-6.676017601760176,-10.753575357535754,-6.676017601760176,68.88187568756875,191573568000.0,237827168000.0,20.67043245576176,28.627251643753738,63.24647342357214,77.91660959043396,-39.46065090219989,-39.46065090219989,35.5390268977884,63.201479670475685,78.51672763288214,96.7288274291292,0.0120945703741342,0.0128342340003815,-10.247569415835876,0.9550886650425328,12.291682168482591,1.7113448422314936,9.407624633431086,1.3072374951447931,0.0057664531257255,0.4767803193785067,0.0,0.0,0.0569253186354971,0.1882799603829646,0.0852211595935445,1.1451807228915662,0.0064106395696353,,0.0521619639311241,0.0471662585166954,-71.14779290429043,2847300000.0,-7820000000.0,-50094100000.0,41986100000.0,2220350000.0,834500000.0,50000000.0,30.221010161386733,27.445544554455445,1.5148514851485149,2.978060611454764,3.279220779220779,59.41176470588236,-0.4772596193458021,0.7842409240924092,2023-10-30,3.0,bmo,6192810000.0,2025-04-25,2023-09-30,0.0633333333333333,285.20682539682537,2372534.047619048
2023-06-30,MCD,USD,63908,2023-08-02,2023-08-02 12:00:41,2023,Q2,6497000000.0,2766000000.0,3731000000.0,0.5742650454,0,0.0,0.0,567000000.0,60000000.0,627000000.0,3393000000.0,37000000.0,330000000.0,492000000.0,3639000000.0,0.5601046637,3104000000.0,0.4777589657,-287000000.0,2817000000.0,0.4335847314,506000000.0,2310000000.0,0.3555487148,3.17,3.15,729600000,734300000,https://www.sec.gov/Archives/edgar/data/63908/000006390823000076/0000063908-23-000076-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390823000076/mcd-20230630.htm,8.904879385964913,3.1661184210526314,2.293448464912281,1.5718201754385963,2.2280701754385963,-6.851836622807017,-10.92064144736842,-6.851836622807017,66.88802083333333,217719936000.00003,264565836000.00003,23.56276363636364,33.510841311374485,130.11410745233968,189.84996163236835,-43.55182652877519,-43.55182652877519,40.72123072187164,72.70289530090685,158.11022291280705,230.69919427973497,0.010609960862748,0.0052673173668395,-9.696045288151868,0.9609353316680544,12.873289365210224,1.3461632686392466,9.406060606060606,0.7242468836565097,0.005092781214119,0.48,0.0,0.0,0.0588517505253558,0.314647702145461,0.0810374018777897,1.069687119057294,0.0069570571032784,,0.0536597021276816,0.0486588278909873,-71.46943530701755,1271700000.0,-7967700000.0,-50495700000.0,40860500000.0,2134550000.0,809200000.0,51950000.0,30.38694782207172,26.24511930585684,1.704989154013015,2.961797957695113,3.4292090255393006,52.786259541984734,-0.4620831749714948,0.7216282894736842,2023-07-27,2.79,bmo,6271200000.0,2025-04-25,2023-06-30,0.1362007168458781,290.53419354838707,2513789.193548387
2023-03-31,MCD,USD,63908,2023-05-04,2023-05-04 16:21:29,2023,Q1,5898000000.0,2584000000.0,3314000000.0,0.5618853849,0,553300000.0,-300000.0,553000000.0,229000000.0,782000000.0,3366000000.0,38000000.0,330000000.0,490000000.0,3087000000.0,0.523397762,2532000000.0,0.4292980671,-265000000.0,2267000000.0,0.3843675822,465000000.0,1802000000.0,0.3055272974,2.47,2.45,730900000,735500000,https://www.sec.gov/Archives/edgar/data/63908/000006390823000036/0000063908-23-000036-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390823000036/mcd-20230331.htm,8.069503352031742,2.4654535504172936,3.310986455055412,2.6227938158434805,5.073334245450814,-7.902722670679983,-11.912299904227664,-7.902722670679983,68.74976056916131,204366949000.0,250578049000.0,28.352795366259716,34.65021176670058,84.44915247933884,106.60769379238393,-35.38147694811378,-35.38147694811378,42.48525754493048,81.17202753482346,103.54464834710744,130.7136405842462,0.0088174727313661,0.0093801860299827,-8.642371150083967,0.9597188470884984,14.96958211856171,1.470084546024607,7.672727272727273,1.3429522752497225,0.0054362997805481,0.6165371809100999,0.093811461512377,0.0,0.0563420898828016,0.2078512396694214,0.0852831468294337,1.026530612244898,0.0084774499830451,,0.0414272604376423,0.0367127239537281,-71.82928581201259,2174000000.0,-8706700000.0,-50991800000.0,41507300000.0,2095250000.0,896000000.0,51750000.0,31.670905391658188,28.274767801857585,1.7937306501547987,2.841724885569742,3.183050012318305,50.1747572815534,-0.3119752081854539,0.6881926392119305,2023-04-25,2.33,bmo,5586980000.0,2025-04-25,2023-03-31,0.1287553648068668,267.9103225806452,2743460.806451613
2022-12-31,MCD,USD,63908,2023-02-24,2023-02-24 12:34:36,2022,Q4,5926500000.0,2517600000.0,3408900000.0,0.5751961529,0,0.0,0.0,720300000.0,105900000.0,826200000.0,3343800000.0,26000000.0,322900000.0,463100000.0,3124900000.0,0.5272757952,2582700000.0,0.435788408,-243800000.0,2338900000.0,0.3946511432,435500000.0,1903400000.0,0.3211676369,2.6,2.59,732489986,736000000,https://www.sec.gov/Archives/edgar/data/63908/000006390823000012/0000063908-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390823000012/mcd-20221231.htm,8.09089559348597,2.5985338180445785,3.005365318400408,2.283307665587663,3.52742023697782,-8.195879963879806,-12.155524539826269,-8.195879963879806,66.92501049427317,193033086010.58,239148286010.58,25.353720449009668,32.571177931423264,87.68651131578994,115.41589597045142,-32.15396042418963,-32.15396042418963,40.352364129010375,76.52990048020096,108.63463523693105,142.98851181499552,0.0098604857816741,0.0086643177838867,-8.111903254822268,0.965567971829422,14.757336234759512,1.426632650377423,7.998451532982347,1.1565619417883788,0.0057580802492018,0.5839550278449092,0.0,0.0,0.0575069990244985,0.2402562005996184,0.0892432295621361,1.142085942561002,0.0060406648105964,,0.0444406924146471,0.040041905787711,-71.32240849501525,1622100000.0,-8903800000.0,-51014800000.0,40861800000.0,2002450000.0,887500000.0,47700000.0,32.11845102505695,35.04051477597712,1.8589132507149668,2.802127659574468,2.5684554172617835,48.41538461538462,-0.3170536695872339,0.7220576528127444,2023-01-31,2.45,bmo,5720132572.0,2025-04-25,2022-12-31,0.057142857142857,263.8169841269841,3032209.746031746
