date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,MOH,USD,1179929,2025-04-24,2025-04-24 10:04:48,2025,Q1,11147000000.0,9867000000.0,1280000000.0,0.114829102,0,774000000.0,0.0,774000000.0,73000000.0,847000000.0,10714000000.0,0.0,43000000.0,48000000.0,481000000.0,0.0431506235,433000000.0,0.0388445322,-43000000.0,390000000.0,0.034986992,92000000.0,298000000.0,0.0267336503,5.47,5.45,54600000,54800000,https://www.sec.gov/Archives/edgar/data/1179929/000117992925000070/0001179929-25-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992925000070/moh-20250331.htm,204.1575091575092,5.457875457875458,3.47985347985348,3.076923076923077,170.21978021978023,78.93772893772893,39.1025641025641,78.93772893772893,69.76190476190476,17984694000.0,16894694000.0,15.087830536912753,1.6134111420113035,94.65628421052632,107.05175,4.17278283062645,4.17278283062645,1.51562698483897,35.12410395010395,88.91944210526316,100.56365476190476,0.0165696452772563,0.0093412765321445,0.8737819025522042,0.2298303429757109,-2.266112266112266,1.6256284488044144,10.069767441860463,0.6375838926174496,0.0,0.0,0.0694357226159504,0.0,0.1327352618088612,0.1157894736842105,0.0019736251906342,0.4583333333333333,0.0024221763703238,98.4567245192895,0.0401963807868315,0.0209696713813243,-2.999084249084249,5102000000.0,2135000000.0,1181000000.0,7564000000.0,3395000000.0,1225000000.0,0.0,28.186059029335247,10.206749771967164,0.0,3.193067888857061,8.817694369973191,0.0,0.0691415313225058,0.4029304029304029,2025-04-23,5.86,amc,10813784340.0,2025-05-11,2025-03-31,0.0375426621160409,302.11025,722145.0333333333
2024-12-31,MOH,USD,1179929,2025-02-11,2025-02-11 16:08:09,2024,Q4,10499000000.0,9386000000.0,1113000000.0,0.1060100962,0,665000000.0,0.0,665000000.0,68000000.0,733000000.0,10119000000.0,0.0,34000000.0,48000000.0,428000000.0,0.0407657872,380000000.0,0.0361939232,-34000000.0,346000000.0,0.0329555196,95000000.0,251000000.0,0.0239070388,4.37,4.35,57400000,57700000,https://www.sec.gov/Archives/edgar/data/1179929/000117992925000023/0001179929-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992925000023/moh-20241231.htm,182.90940766550523,4.372822299651568,-3.902439024390244,-4.094076655052265,156.56794425087108,78.32752613240419,44.56445993031359,78.32752613240419,54.91289198606272,16706270000.0,15162270000.0,16.63971115537849,1.5912248785598628,-74.5815625,-71.09051063829787,3.715807384341637,3.715807384341637,1.444163253643204,35.42586448598131,-67.68870535714285,-64.52029787234042,0.0150242992600981,-0.0140665750044743,0.6935053380782918,0.1994881637875879,-3.607476635514019,1.6176545086119554,11.176470588235292,-0.8924302788844621,0.0,0.0,0.0633393656538718,0.0,0.1239923224568138,-0.0491071428571428,0.0010477188303647,0.2291666666666666,0.0017144489951423,87.78683239152187,0.0356432298790267,0.0183318726263511,5.701219512195122,4877000000.0,2558000000.0,1639000000.0,7103000000.0,3279000000.0,1273000000.0,0.0,28.2798361748738,12.7626251864479,0.0,3.18247953925432,7.0518407212622085,0.0,0.0558274021352313,0.1916376306620209,2025-02-05,5.74,amc,10283596457.0,2025-05-05,2024-12-31,-0.1202090592334495,308.80875,722850.625
2024-09-30,MOH,USD,1179929,2024-10-24,2024-10-24 10:34:12,2024,Q3,10340000000.0,9151000000.0,1189000000.0,0.1149903288,0,676000000.0,0.0,676000000.0,46000000.0,722000000.0,9873000000.0,0.0,29000000.0,47000000.0,514000000.0,0.0497098646,467000000.0,0.0451644101,-29000000.0,438000000.0,0.0423597679,112000000.0,326000000.0,0.0315280464,5.66,5.65,57600000,57700000,https://www.sec.gov/Archives/edgar/data/1179929/000117992924000151/0001179929-24-000151-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992924000151/moh-20240930.htm,179.51388888888889,5.659722222222222,15.15625,14.54861111111111,159.96527777777777,82.8125,49.427083333333336,82.8125,44.40972222222222,19846656000.0,17643656000.0,15.219828220858895,1.9194058027079304,22.733855670103093,23.683360381861576,4.160724528301887,4.160724528301887,1.7063497098646034,34.326178988326845,20.21037342497136,21.054482100238666,0.0164259409746407,0.0422237378427882,0.530188679245283,0.1604899098870415,-4.285992217898833,1.5450401823197792,16.103448275862068,2.677914110429448,0.0,0.0,0.0653771760154738,0.0,0.122033252950882,0.0400916380297823,0.003384912959381,0.7446808510638298,0.0029013539651837,102.69203619013015,0.0468379564594858,0.0235634260932417,11.63628472222222,4544000000.0,2847000000.0,1893000000.0,6773000000.0,3245000000.0,1094000000.0,-3792500000.0,28.366537717601545,11.94951371434816,0.0,3.1727523780300704,7.531687242798354,0.0,0.0683438155136268,0.6076388888888888,2024-10-23,5.81,amc,9910621767.0,2025-04-25,2024-09-30,0.0344234079173838,329.961875,610937.078125
2024-06-30,MOH,USD,1179929,2024-07-25,2024-07-25 11:38:07,2024,Q2,9859000000.0,8666000000.0,1193000000.0,0.1210061872,0,691000000.0,0.0,691000000.0,-1078000000.0,1078000000.0,-9446000000.0,0.0,28000000.0,46000000.0,480000000.0,0.0486864794,434000000.0,0.0440206918,-28000000.0,406000000.0,0.0411806471,105000000.0,301000000.0,0.0305304798,5.2,5.17,57900000,58200000,https://www.sec.gov/Archives/edgar/data/1179929/000117992924000123/0001179929-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992924000123/moh-20240630.htm,170.27633851468048,5.198618307426598,-3.7823834196891193,-4.248704663212435,150.27633851468048,83.64421416234887,50.60449050086356,83.64421416234887,41.6580310880829,16916064000.000002,14946064000.000002,14.04988704318937,1.7157991682726446,-77.24230136986301,-68.76448780487806,3.492889531282263,3.492889531282263,1.5159817425702409,31.137633333333337,-68.24686757990868,-60.756357723577246,0.017793737361126,-0.0145423900027807,0.4922568655791864,0.1569970365492262,-4.104166666666667,1.5736345074017355,15.5,-0.7275747508305648,0.0,0.0,0.0700882442438381,0.0,0.1259795851168916,-0.1232876712328767,0.0027386144639415,0.5869565217391305,0.0032457652905974,98.9129552623452,0.0437826399087842,0.0226793248945147,-51.990500863557855,4495000000.0,2930000000.0,1989000000.0,6713000000.0,3290500000.0,1043500000.0,-7724000000.0,29.49487777665077,10.105008077544426,-78.77336718209092,3.051377282575054,8.906474820143885,-1.1425181278839815,0.0621515589510633,0.466321243523316,2024-07-24,5.5,amc,9746082786.0,2025-04-25,2024-06-30,0.0654545454545455,339.4838095238095,478854.50793650793
2024-03-31,MOH,USD,1179929,2024-04-25,2024-04-25 09:40:50,2024,Q1,9931000000.0,8711000000.0,1220000000.0,0.1228476488,0,711000000.0,0.0,711000000.0,-1091000000.0,1091000000.0,-9505000000.0,0.0,27000000.0,45000000.0,471000000.0,0.047427248,426000000.0,0.0428959823,-27000000.0,399000000.0,0.0401772228,98000000.0,301000000.0,0.030309133,5.2,5.16,57900000,58300000,https://www.sec.gov/Archives/edgar/data/1179929/000117992924000089/0001179929-24-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992924000089/moh-20240331.htm,171.51986183074266,5.198618307426598,3.696027633851468,3.229706390328152,154.3523316062176,77.59930915371329,44.31778929188256,77.59930915371329,41.60621761658031,23403180000.0,21272180000.0,19.43785714285714,2.3565783908971905,109.36065420560747,125.15069518716578,5.208809258847095,5.208809258847095,2.14199778471453,45.163864118895965,99.40271028037384,113.75497326203208,0.0128615000183735,0.0079903671210493,0.5301580235922546,0.1535486366273448,-4.524416135881104,1.487902278599953,15.77777777777778,0.7109634551495017,0.0,0.0,0.0715939985902728,0.0,0.124218397473087,0.1261682242990654,0.0027187594401369,0.6,0.0036250125868492,95.27175214736202,0.0459163339123634,0.0221551597232445,-60.483592400690846,4154000000.0,2566000000.0,1648000000.0,6376000000.0,3227000000.0,1183000000.0,-3931500000.0,30.35948041486255,11.509585581448745,-81.2386637584663,2.9644776119402985,7.819569120287253,-1.107846877782017,0.0669931003783663,0.466321243523316,2024-04-24,5.59,amc,9447066660.0,2025-04-25,2024-03-31,0.0250447227191414,387.4860655737705,385548.8032786885
2023-12-31,MOH,USD,1179929,2023-12-31,2023-12-30 19:00:00,2023,Q4,9048000000.0,8006000000.0,1042000000.0,0.1151635721,0,645000000.0,0.0,645000000.0,-1278000000.0,726000000.0,8732000000.0,0.0,27000000.0,43000000.0,359000000.0,0.0396772767,316000000.0,0.0349248453,-27000000.0,289000000.0,0.0319407604,73000000.0,216000000.0,0.023872679,3.72,3.71,58000000,58200000,,,156.0,3.724137931034482,-11.89655172413793,-11.810344827586206,157.01724137931035,72.67241379310344,47.689655172413794,72.67241379310344,41.58620689655172,20955980000.0,18492980000.0,24.25460648148148,2.3160897435897434,-30.370985507246377,-30.592671532846715,4.97176275207592,4.97176275207592,2.043874889478338,51.5124791086351,-26.801420289855077,-26.997051094890512,0.0103073203925562,-0.0326875669856527,0.5658362989323843,0.1601531023368251,-6.860724233983287,1.5355044074436828,11.703703703703704,-3.1944444444444446,0.0,0.0,0.0712864721485411,0.0,0.0973005640612409,-0.0072463768115942,0.000552608311229,0.1162790697674418,0.0029840848806366,78.0349094111182,0.0350207489317686,0.0160678419995536,13.06896551724138,4374000000.0,2766000000.0,1865000000.0,6093000000.0,2782000000.0,1171000000.0,0.0,30.875331564986737,14.074444166874844,0.0,2.9149484536082477,6.394568690095847,0.0,0.0512455516014234,0.0862068965517241,2024-02-07,4.35,amc,8368440000.0,2025-04-25,2023-12-31,0.0068965517241379,352.69126984126984,378172.68253968254
2023-09-30,MOH,USD,1179929,2023-10-26,2023-10-26 09:51:34,2023,Q3,8548000000.0,7482000000.0,1066000000.0,0.1247075339,0,608000000.0,0.0,608000000.0,7581000000.0,8189000000.0,8189000000.0,0.0,27000000.0,42000000.0,401000000.0,0.0469115583,359000000.0,0.0419981282,-27000000.0,332000000.0,0.0388394946,87000000.0,245000000.0,0.0286616752,4.24,4.22,57800000,58100000,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000132/0001179929-23-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000132/moh-20230930.htm,147.8892733564014,4.238754325259516,16.418685121107266,15.96885813148789,167.40484429065745,67.11072664359861,41.66089965397923,67.11072664359861,41.60899653979239,18952042000.0,15765042000.0,19.33881836734694,2.2171317267197006,19.97053951527924,20.533089924160347,4.88580613560196,4.88580613560196,1.844295975666823,39.31431920199501,16.61226765015806,17.080218851570965,0.0129273668768779,0.0487018760300341,0.6130445991234854,0.1599193006052454,-7.947630922693267,1.468205369759774,13.296296296296296,3.873469387755102,0.0,0.0,0.0711277491810949,0.0,0.0989240080699394,0.0273972602739726,0.0030416471689284,0.6190476190476191,0.0038605521759475,80.00301471642746,0.0415372685473786,0.0182849466378087,9.16955017301038,3976000000.0,2408000000.0,1477000000.0,5737000000.0,2422500000.0,973500000.0,0.0,25.900795507721107,13.111467522052928,0.0,3.4747967479674795,6.864220183486238,0.0,0.0631606084042279,0.4498269896193771,2023-10-25,4.88,amc,8243450000.0,2025-04-25,2023-09-30,0.0348360655737704,314.7577777777778,417719.1904761905
2023-06-30,MOH,USD,1179929,2023-07-27,2023-07-27 09:43:06,2023,Q2,8327000000.0,7207000000.0,1120000000.0,0.1345022217,0,618000000.0,0.0,618000000.0,7266000000.0,677000000.0,7884000000.0,0.0,27000000.0,42000000.0,485000000.0,0.0582442656,443000000.0,0.0532004323,-27000000.0,416000000.0,0.0499579681,107000000.0,309000000.0,0.0371082022,5.36,5.34,57700000,57900000,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000098/0001179929-23-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000098/moh-20230630.htm,144.315424610052,5.355285961871751,8.440207972270365,7.902946273830156,152.44367417677643,62.75563258232235,39.39341421143848,62.75563258232235,41.73310225303293,17381548000.0,14852548000.0,14.062741100323624,2.087372162843762,35.6910636550308,38.117429824561405,4.800206572769953,4.800206572769953,1.7836613426203916,30.62381030927835,30.49804517453799,32.57137719298245,0.0177774729845696,0.0262347174141221,0.6575531621099144,0.1742917795183368,-5.214432989690722,1.517977975321746,16.40740740740741,1.5760517799352751,0.0,0.0,0.0742164044673952,0.0,0.0986750603908937,0.0636550308008213,0.0037228293503062,0.7380952380952381,0.0036027380809415,86.95788095061354,0.0537320849871878,0.0250954275968488,9.44107452339688,3904000000.0,2273000000.0,1401000000.0,5537000000.0,2460500000.0,822000000.0,0.0,25.777590969136543,10.702095185236576,0.0,3.491404612159329,8.409568261376895,0.0,0.0853355426677713,0.537261698440208,2023-07-26,5.1,amc,8251880000.0,2025-04-25,2023-06-30,0.1078431372549021,287.4509677419355,501066.0806451613
2023-03-31,MOH,USD,1179929,2023-04-27,2023-04-27 10:51:51,2023,Q1,8149000000.0,7043000000.0,1106000000.0,0.1357221745,0,591000000.0,0.0,591000000.0,60000000.0,651000000.0,7694000000.0,0.0,28000000.0,44000000.0,499000000.0,0.0612345073,455000000.0,0.0558350718,-28000000.0,427000000.0,0.0523990674,106000000.0,321000000.0,0.0393913364,5.53,5.53,58000000,58000000,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000069/0001179929-23-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000069/moh-20230331.htm,140.5,5.5344827586206895,15.79310344827586,15.241379310344827,144.20689655172413,56.689655172413794,33.08620689655172,56.689655172413794,41.53448275862069,15514420000.0,13341420000.0,12.082881619937696,1.9038434163701068,16.937139737991266,17.55024886877828,4.718497566909976,4.718497566909976,1.6371849306663395,26.736312625250505,14.564868995633187,15.09210407239819,0.0206904286463818,0.0569792489825594,0.7241484184914841,0.17807194675043,-4.354709418837675,1.4655897031783556,16.25,2.853582554517134,0.0,0.0,0.0725242361025892,0.0,0.1023857602273577,0.0349344978165938,0.0039268621916799,0.7272727272727273,0.0030678610872499,84.01980826410649,0.0594144832947488,0.0267455424095984,3.155172413793104,3545000000.0,1919000000.0,1076000000.0,5188000000.0,2419000000.0,838000000.0,0.0,28.00834458215732,10.056793979838137,0.0,3.213328075709779,8.949174078780178,0.0,0.0976277372262773,0.5517241379310345,2023-04-26,5.12,amc,8329710000.0,2025-04-25,2023-03-31,0.1347656249999999,287.39129032258063,524733.6290322581
2022-12-31,MOH,USD,1179929,2023-02-13,2023-02-13 16:22:24,2022,Q4,8223000000.0,7219000000.0,1004000000.0,0.1220965584,0,629000000.0,0.0,629000000.0,62000000.0,691000000.0,7910000000.0,0.0,27000000.0,47000000.0,152000000.0,0.0184847379,313000000.0,0.0380639669,-27000000.0,78000000.0,0.0094855892,22000000.0,56000000.0,0.0068101666,0.97,0.96,58000000,58400000,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000025/0001179929-23-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992923000025/moh-20221231.htm,141.77586206896552,0.9655172413793104,-3.655172413793104,-3.827586206896552,129.39655172413794,51.10344827586207,27.13793103448276,51.10344827586207,41.689655172413794,19152760000.0,17537760000.0,85.50339285714286,2.329169402894321,-90.3432075471698,-86.27369369369369,6.461794871794872,6.461794871794872,2.1327690623859907,115.38,-82.72528301886793,-78.99891891891892,0.0029238605819735,-0.0115910187356809,0.8066801619433198,0.1941692382653889,-10.625,1.4710430342815464,11.592592592592592,-3.7857142857142856,0.0,0.0,0.0764927641979812,0.0,0.1128796491797953,-0.0471698113207547,0.0012161011796181,0.2127659574468085,0.0027970327131217,33.31933911553941,0.0411646727821851,0.005126327352618,-2.043103448275862,3229000000.0,1574000000.0,734000000.0,4878000000.0,2261000000.0,853500000.0,0.0,25.19518423932871,11.083252528050975,0.0,3.5721112076455257,8.120359955005624,0.0,0.0188933873144399,0.1724137931034483,2023-02-08,4.06,amc,7871363463.0,2025-04-25,2022-12-31,0.0098522167487684,339.68555555555554,518183.9682539682
