date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,MRK,USD,310158,2025-05-02,2025-05-02 16:10:22,2025,Q1,15529000000.0,3419000000.0,12110000000.0,0.7798312834,3621000000,0.0,0.0,2552000000.0,0.0,6173000000.0,9592000000.0,0.0,0.0,1412000000.0,7315000000.0,0.4710541567,5937000000.0,0.3823169554,-34000000.0,5903000000.0,0.3801275034,818000000.0,5079000000.0,0.3270654904,2.01,2.01,2531000000,2531000000,https://www.sec.gov/Archives/edgar/data/310158/000162828025021834/0001628280-25-021834-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025021834/mrk-20250331.htm,6.135519557487159,2.0067167127617545,0.9877518767285658,0.4630580798103516,3.645989727380482,19.122876333465037,4.32951402607665,19.09719478467009,13.766890557092058,227182560000.0,253397560000.0,11.182445363260484,14.629567905209608,90.873024,193.8417747440273,4.700166752870591,4.700166752870591,16.317699787494366,34.64081476418318,101.359024,216.2095221843003,0.0223564696163297,0.0051588467002044,0.720885486707355,0.3026702107329616,3.583732057416268,1.4103042821959164,0.0,0.4916420845624385,0.0090235799790265,0.4036227603859027,0.0,0.2331766372593212,0.3252375740518754,0.5312,0.085517419022474,1.2083712465878071,0.0125571511365831,29.36426141891605,0.0560113954678036,0.0653836251287332,-18.294547609640457,10329000000.0,10958000000.0,-31219000000.0,72564000000.0,10534000000.0,3931500000.0,6152500000.0,62.53461266018417,99.6080725358292,163.10032173150043,1.4392029657089898,0.9035412262156448,0.5518076178179471,0.1050791352022344,0.5246937969182142,2025-04-24,2.13,bmo,15338869255.0,2025-05-11,2025-03-31,0.0422535211267607,93.37108333333336,15830112.216666669
2024-12-31,MRK,USD,310158,2025-02-25,2025-02-25 16:19:11,2024,Q4,15624000000.0,924000000.0,14700000000.0,0.9408602151,4584000000,0.0,0.0,3296000000.0,0.0,7880000000.0,8804000000.0,-269000000.0,-943000000.0,872665623.0,6928665623.0,0.4434629815,6820000000.0,0.4365079365,-2650000000.0,4170000000.0,0.2668970814,426000000.0,3743000000.0,0.2395673323,1.4700000000000006,1.4900000000000002,2541000106,2541000000,https://www.sec.gov/Archives/edgar/data/310158/000162828025007732/0001628280-25-007732-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025007732/mrk-20241231.htm,6.148760074077699,1.47304204795653,1.3577331192759896,0.9889806749972644,5.387248889788122,18.24950730639599,3.2798109611727817,18.226288102327217,14.23376563999246,252778690544.88,276647690544.88,16.88342843607267,16.17887164265745,73.2691856651826,100.58841645239951,5.458050451166628,5.458050451166628,17.706585416338967,39.92798983205889,80.18773638982029,110.08662576397931,0.0148074190586703,0.0099415025633018,0.8013084878975666,0.3169009273649514,3.444963474751306,1.3646023926812103,-7.232237539766702,0.9214743589743588,0.0077182138881821,0.5212396473417045,0.0,0.293394777265745,0.324816832613188,0.2715942028985507,0.0599718381976446,0.7827903091060986,0.011968766001024,24.57807960236521,0.0670419945862984,0.0473389993423382,-18.21408818154532,10362000000.0,8334000000.0,-31952000000.0,72179000000.0,10829500000.0,3832500000.0,6176500000.0,59.20506912442397,397.3051948051949,595.0324675324675,1.520140105078809,0.2265261093405246,0.1512522507775413,0.0808196402737892,0.3687524442787253,2025-02-04,1.85,bmo,15482690551.0,2025-05-04,2024-12-31,-0.0702702702702703,103.09453125,10992804.28125
2024-09-30,MRK,USD,310158,2024-11-06,2024-11-06 16:05:36,2024,Q3,16657000000.0,4080000000.0,12577000000.0,0.7550579336,5862000000,0.0,0.0,2731000000.0,0.0,8593000000.0,12673000000.0,127000000.0,330000000.0,1186000000.0,5606000000.0,0.336555202,3984000000.0,0.2391787237,106000000.0,4090000000.0,0.2455424146,929000000.0,3157000000.0,0.1895299274,1.24,1.24,2545967741,2541000000,https://www.sec.gov/Archives/edgar/data/310158/000162828024045689/0001628280-24-045689-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024045689/mrk-20240930.htm,6.542502378077068,1.2400000004556224,3.649299969665248,3.341754831763204,5.731808681231834,17.502185625689748,2.29892936416432,17.47940450436367,15.10663288486655,289120096667.96,312658096667.96,22.89516128191004,17.35727301842829,31.11829691830373,33.982145823690644,6.496788833489731,6.496788833489731,18.770372616194997,55.77204721155192,33.651716356469706,36.74871846120828,0.0109193377990104,0.0294272176097499,0.8568378949260708,0.3244307933158629,4.1987156617909385,1.3641925234908403,12.072727272727272,2.939259727934198,0.0067549783723368,0.6186252771618626,0.0,0.3519241159872726,0.329331586291393,0.0842751049402647,0.0470072642132436,0.6602023608768971,0.0117067899381641,22.08337351608528,0.033800722022242,0.0400507453219156,-18.351076978551557,10775000000.0,5853000000.0,-32611000000.0,72928000000.0,11511500000.0,3552500000.0,6356500000.0,61.49306597826739,79.10294117647058,137.73529411764704,1.4635796502943503,1.1377579475738986,0.6534272901985907,0.0709406318817131,0.3075451379020438,2024-10-31,1.5,bmo,16473653851.0,2025-04-25,2024-09-30,0.0466666666666667,118.80484375,9230707.453125
2024-06-30,MRK,USD,310158,2024-08-05,2024-08-05 16:02:11,2024,Q2,16112000000.0,3745000000.0,12367000000.0,0.7675645482,3500000000,0.0,0.0,2739000000.0,0.0,6239000000.0,9984000000.0,69000000.0,310000000.0,1132000000.0,7448000000.0,0.4622641509,6128000000.0,0.3803376365,-122000000.0,6006000000.0,0.3727656405,545000000.0,5455000000.0,0.3385675273,2.15,2.14,2534000000,2544000000,https://www.sec.gov/Archives/edgar/data/310158/000162828024034715/0001628280-24-034715-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024034715/mrk-20240630.htm,6.358326756116812,2.1527229676400945,2.224546172059984,1.912391475927388,4.497237569060774,17.224940805051304,2.1716653512233624,17.19889502762431,15.03472770323599,324098600000.0,350540600000.0,14.853281393217234,20.11535501489573,57.494873159482,66.87961205117622,7.436524253132027,7.436524253132027,21.756492055610725,47.06506444683136,62.18566613446869,72.33607098638052,0.0168312976359663,0.0149522398430601,0.8670552062778211,0.3355056379295036,3.550214822771214,1.466039907904835,19.767741935483876,1.0322285295733382,0.0061277648221868,0.3640696608615948,0.0,0.2172293942403177,0.3386753085323626,0.1403228667731062,0.0490938430983118,0.6987632508833922,0.0125993048659384,28.862610203166867,0.0621582691394496,0.0732362220581325,-18.003157063930544,12145000000.0,5503000000.0,-30777000000.0,73511000000.0,12107000000.0,3516500000.0,6489500000.0,65.03103277060576,84.56875834445928,155.46328437917222,1.383954646967875,1.0642227905655015,0.5789148245478436,0.1251663530815474,0.3121546961325966,2024-07-30,2.15,bmo,15869597212.0,2025-04-25,2024-06-30,0.0604651162790697,128.81174603174605,8285010.301587301
2024-03-31,MRK,USD,310158,2024-05-03,2024-05-03 16:10:43,2024,Q1,15775000000.0,3540000000.0,12235000000.0,0.7755942948,3992000000,0.0,0.0,2483000000.0,0.0,6475000000.0,10015000000.0,73000000.0,303000000.0,984000000.0,6957000000.0,0.4410142631,5760000000.0,0.3651347068,-90000000.0,5670000000.0,0.359429477,903000000.0,4762000000.0,0.3018700475,1.88,1.87,2533000000,2544000000,https://www.sec.gov/Archives/edgar/data/310158/000162828024020283/0001628280-24-020283-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024020283/mrk-20240331.htm,6.227793130675089,1.87998420844848,1.2198973549151204,0.87998420844848,2.254638768258981,15.958941966048164,0.6596920647453612,15.935254638768258,13.628898539281485,331797670000.0,360345670000.0,17.419029294414113,21.033132805071315,107.3778867313916,148.8549439210408,8.220138489743336,8.220138489743336,22.84283169572108,51.796129078625846,116.6167216828479,161.6624809331539,0.0143521200736581,0.0067179495262881,0.8477603805371122,0.3232812780470293,4.103492884864165,1.2528387585162757,19.00990099009901,0.6482064191315292,0.0058770756286504,0.4094918101637967,0.0,0.2530586370839937,0.3661158820584039,0.2786407766990291,0.054580031695721,0.875,0.0111568938193343,25.962580943851066,0.0577697718714336,0.0709729343030881,-18.56691669956573,6346000000.0,1671000000.0,-33980000000.0,68144000000.0,12138000000.0,3718000000.0,6434000000.0,71.72614896988905,89.33898305084745,165.50847457627117,1.254772510340439,1.0073989755264656,0.543778801843318,0.1179764146268952,0.3399131464666403,2024-04-25,1.88,bmo,15205084628.0,2025-04-25,2024-03-31,0.101063829787234,123.25803278688524,8807473.672131147
2023-12-31,MRK,USD,310158,2024-04-11,2024-04-11 16:05:38,2023,Q4,14630000000.0,3912000000.0,10718000000.0,0.7326042379,9627000000,504000000.0,2300000000.0,2804000000.0,224000000.0,12431000000.0,16343000000.0,70000000.0,310000000.0,964000000.0,-772000000.0,-0.0527682843,-1419000000.0,-0.0969924812,-627000000.0,-2046000000.0,-0.1398496241,-821000000.0,-1226000000.0,-0.0838004101,-0.48,-0.48,2554166667,2554166667,https://www.sec.gov/Archives/edgar/data/310158/000119312524093194/0001193125-24-093194-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000119312524093194/d807955d10ka.htm,5.727895594684777,-0.4799999999373572,0.09631321369053,-0.2908972267157067,2.8036541595036013,14.734747143264633,-0.6158564436390399,14.713605218308176,14.320913538098411,278455250036.34,307814250036.34,-56.78125000741028,19.033168150125768,1131.9319107168292,-374.7715343692328,7.40946888151832,7.40946888151832,21.039935067419,-398.7231218087305,1251.2774391721136,-414.2856662669448,-0.0044028618596345,-0.0026682923015566,0.9650621324605518,0.339985938598547,-38.02979274611399,1.251965439402195,-4.577419354838709,-0.200652528548124,0.0066509789266257,-1.5106035889070146,0.0344497607655502,0.6580314422419685,0.3675462854464495,4.020325203252033,0.0676008202323991,1.025933609958506,0.011414900888585,,-0.010280945499571,-0.0181718469770406,-19.54531810511644,6474000000.0,-1573000000.0,-36872000000.0,70170000000.0,11689000000.0,3715500000.0,6244500000.0,72.0,90.23006134969326,146.27300613496934,1.25,0.9974502804691484,0.6152878263604907,-0.0326228679385859,0.3872104404062368,2024-02-01,-0.09,bmo,14498400000.0,2025-04-25,2023-12-31,-1.3333333333333333,103.8015873015873,8046166.412698412
2023-09-30,MRK,USD,310158,2023-11-03,2023-11-03 16:10:43,2023,Q3,15962000000.0,4264000000.0,11698000000.0,0.7328655557,3307000000,0.0,0.0,2519000000.0,236000000.0,5826000000.0,10090000000.0,73000000.0,317000000.0,1014000000.0,7195000000.0,0.4507580504,6181000000.0,0.3872321764,-252000000.0,5620000000.0,0.3520862047,870000000.0,4745000000.0,0.2972685127,1.87,1.86,2537000000,2546000000,https://www.sec.gov/Archives/edgar/data/310158/000162828023036717/0001628280-23-036717-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828023036717/mrk-20230930.htm,6.291683090264091,1.8703192747339377,3.04178163184864,2.6862435947970043,3.4733937721718564,16.27906976744186,0.3618446984627513,16.257784785179346,13.865195112337409,261184150000.0,287399150000.0,13.761019494204426,16.362871194085955,33.84529609952054,38.32489361702128,6.332351015856083,6.332351015856083,18.005209246961535,39.94428769979152,37.24234158351691,42.17155539251651,0.0181672586181052,0.0260927012607771,0.8451486204722882,0.3266183814779765,3.643502432244614,1.383649432753096,19.498422712933756,1.6263435194942044,0.0071022686483846,0.3909378292939937,0.0,0.2071795514346573,0.3783672360321193,0.1168847997926655,0.0565092093722591,0.8895463510848126,0.0102744017040471,26.156511342004965,0.06180968769842,0.071520084407265,-17.656286953094206,8860000000.0,918000000.0,-33473000000.0,71768000000.0,11980500000.0,3475500000.0,6030500000.0,65.82257862423255,74.06425891181989,129.406660412758,1.3673119753297929,1.2151610145340552,0.6954819768390148,0.1150414585656791,0.3555380370516358,2023-10-26,1.95,bmo,14444200000.0,2025-04-25,2023-09-30,0.0923076923076922,107.78238095238096,6807843.46031746
2023-06-30,MRK,USD,310158,2023-08-07,2023-08-07 16:09:00,2023,Q2,15035000000.0,4024000000.0,11011000000.0,0.7323578317,13321000000,0.0,0.0,2702000000.0,233000000.0,16023000000.0,20047000000.0,109000000.0,277000000.0,903000000.0,-4155000000.0,-0.2763551713,-4670000000.0,-0.31060858,-323000000.0,-5335000000.0,-0.3548387097,637000000.0,-5975000000.0,-0.3974060525,-2.35,-2.35,2539000000,2539000000,https://www.sec.gov/Archives/edgar/data/310158/000162828023027770/0001628280-23-027770-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828023027770/mrk-20230630.htm,5.921622686096889,-2.3532886963371404,1.4588420638046475,1.0787711697518707,2.529342260732572,15.258763292634896,-0.834186687672312,15.239464356045689,14.64671130366286,292975210000.0,324182210000.0,-12.2583769874477,19.486212836714333,79.09697894168467,106.96429718875504,7.57178843718502,7.57178843718502,21.56183638177585,-78.02219253910951,87.52219492440605,118.35787148594378,-0.0203942169714632,0.0093489138552029,0.9539451580389218,0.3533201236730513,-7.5107099879663055,1.2813969393861675,-16.859205776173287,-0.6199163179916318,0.0064339914629637,-0.3154811715481171,0.0,0.8859993348852677,0.3911208109582747,0.2605291576673866,0.0641835716661124,1.0686600221483942,0.0112404389757233,,-0.0622971003092624,-0.0939332484396862,-18.56035840882237,6583000000.0,-2118000000.0,-35750000000.0,69674000000.0,11932000000.0,3561000000.0,5896500000.0,73.55038244097106,76.9831013916501,132.6292246520875,1.2236510132660536,1.169087739686229,0.67858347386172,-0.1544206962499676,0.3800708940527766,2023-08-01,-2.17,bmo,14446100000.0,2025-04-25,2023-06-30,-0.0506912442396312,113.54112903225808,7042053.177419355
2023-03-31,MRK,USD,310158,2023-05-05,2023-05-05 07:39:41,2023,Q1,14487000000.0,3926000000.0,10561000000.0,0.7289984124,4276000000,0.0,0.0,2479000000.0,-348000000.0,6755000000.0,10681000000.0,112000000.0,242000000.0,991000000.0,4883000000.0,0.3370608131,3570000000.0,0.2464278318,-156000000.0,3650000000.0,0.2519500242,825000000.0,2821000000.0,0.1947263063,1.11,1.11,2538000000,2551000000,https://www.sec.gov/Archives/edgar/data/310158/000162828023015990/0001628280-23-015990-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828023015990/mrk-20230331.htm,5.708037825059102,1.11150512214342,0.5275807722616234,0.1308116627265563,4.104806934594168,18.48108747044917,2.300630417651694,18.45311268715524,12.209613869188336,270017820000.0,291025820000.0,23.92926444523219,18.63862911575896,201.65632561613145,813.3066867469879,5.765422983302729,5.765422983302729,20.088756816456133,59.59979930370674,217.34564600448093,876.5837951807229,0.0104474586158795,0.0012295484794299,0.6564888756031942,0.2852239415191658,4.3022731927094,1.4440361419739742,14.75206611570248,0.4746543778801843,0.0068625100373005,0.6568592697624955,0.0,0.2951611789880582,0.3809603324798694,0.7520537714712472,0.0695105957064954,1.0161453077699294,0.0100089735625043,21.482351095804493,0.0316370174356895,0.0422748389030421,-15.310776201733647,10271000000.0,5839000000.0,-27489000000.0,73095000000.0,10513500000.0,3972000000.0,5887000000.0,71.92172292400083,84.36067244014264,134.40397350993376,1.2513604560767038,1.0668478260869565,0.6696230598669624,0.0602340180210957,0.396769109535067,2023-04-27,1.32,bmo,14290600000.0,2025-04-25,2023-03-31,0.0606060606060604,107.96596774193549,8818596.822580645
2022-12-31,MRK,USD,310158,2023-02-24,2023-02-24 16:22:30,2022,Q4,13830000000.0,3881000000.0,9949000000.0,0.7193781634,3775000000,487000000.0,2200000000.0,2687000000.0,290000000.0,6462000000.0,10343000000.0,95000000.0,235000000.0,892000000.0,4640000000.0,0.3355025307,3872000000.0,0.2799710774,26000000.0,3513000000.0,0.2540130152,495000000.0,3017000000.0,0.2181489516,1.19,1.18,2536000000,2548000000,https://www.sec.gov/Archives/edgar/data/310158/000162828023005061/0001628280-23-005061-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm,5.453470031545741,1.1896687697160884,1.746845425867508,1.293769716088328,5.201892744479495,18.16167192429022,1.8079652996845423,18.1352523659306,12.194794952681388,281369200000.0,299366200000.0,23.31531322505801,20.344844540853217,63.5144920993228,85.7571472112161,6.117918723228457,6.117918723228457,21.6461460592914,64.5185775862069,67.57702031602709,91.24236513258153,0.0107225666490859,0.0116608356564968,0.6673262159987824,0.2811561011359472,3.878663793103448,1.473740665869054,16.47659574468085,1.4678595096090126,0.0062195862233677,0.580046403712297,0.0352133044107013,0.2729573391178597,0.379928545254672,0.2593679458239277,0.0830802603036876,1.2881165919282511,0.0104844540853217,22.03261731706012,0.0382931956886848,0.0445728130955722,-15.720425867507888,11483000000.0,4585000000.0,-27380000000.0,74378000000.0,9466000000.0,3817500000.0,5762500000.0,61.49674620390456,98.88173151249676,137.07549600618395,1.4634920634920634,0.9101782363977486,0.6565724919641347,0.065599791263508,0.4530757097791798,2023-02-02,1.56,bmo,13658134470.0,2025-04-25,2022-12-31,0.0384615384615384,102.2168253968254,9432057.57142857
