date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,MSFT,USD,789019,2025-04-30,2025-04-30 16:08:52,2025,Q3,70066000000.0,21919000000.0,48147000000.0,0.687166386,8198000000,1737000000.0,6212000000.0,7949000000.0,0.0,16147000000.0,38066000000.0,597000000.0,594000000.0,8740000000.0,40711000000.0,0.5810378786,32000000000.0,0.4567122427,-623000000.0,31377000000.0,0.4478206263,5553000000.0,25824000000.0,0.3685667799,3.47,3.46,7434000000,7461000000,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/msft-20250331.htm,9.425073984396018,3.4737691686844228,4.983050847457627,2.730562281409739,10.709174065106268,43.2998385794996,24.023944040893195,43.2998385794996,8.227199354317998,2790649260000.0,2822388260000.0,27.0160437964684,39.82886507007679,75.33336734693877,137.47717917138775,8.669547331239455,8.669547331239455,40.28185225358947,69.32741175603645,76.19015927005722,139.04075373171094,0.0092537605388647,0.0072739345251864,0.1881599671938637,0.1076509356159708,0.7796173024489695,1.3715916852004273,53.87205387205388,1.4344795539033457,0.0022105966838699,0.2388863073110285,0.0247909114263694,0.1170039676876088,0.2546940763280628,0.452030018356549,0.2389889532726286,1.915903890160183,0.0425313276054006,58.1747969140912,0.058342382928688,0.0615843959487464,-16.400591875168146,42438000000.0,178594000000.0,-84089000000.0,394149000000.0,49944000000.0,24429000000.0,878500000.0,66.40881454628493,107.78320178840276,3.4819106711072587,1.3552417794970986,0.8350095238095238,25.847877358490567,0.0802259149836435,2.252488566047888,2025-04-30,3.22,amc,68439856878.0,2025-05-11,2025-03-31,0.0745341614906831,,
2024-12-31,MSFT,USD,789019,2025-01-29,2025-01-29 16:11:54,2025,Q2,69632000000.0,21799000000.0,47833000000.0,0.6869399127,7917000000,1823000000.0,6440000000.0,8263000000.0,0.0,16180000000.0,37979000000.0,600000000.0,594000000.0,6827000000.0,36786000000.0,0.5282915901,31653000000.0,0.4545754825,-2288000000.0,29365000000.0,0.4217170267,5257000000.0,24108000000.0,0.3462201287,3.24,3.23,7435000000,7468000000,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/msft-20241231.htm,9.365433759246804,3.242501681237391,2.998117014122394,0.8724949562878278,9.623537323470076,40.71217215870881,21.26684599865501,40.71217215870881,8.448957632817754,3133852500000.0,3178594500000.0,32.4980556246889,45.00592400045956,140.58824189134629,483.09734854324034,10.353169031533392,10.353169031533392,45.64847340303309,86.40772304681128,142.59541967610247,489.9945275165716,0.0076927679270163,0.0020699761715013,0.2055666595087464,0.1165466062806004,1.2162779318218888,1.3508201539281055,53.28787878787879,0.9246308279409324,0.0019688227190016,0.2559316409490625,0.0261804917279411,0.1136977251838235,0.27079329759617,0.7089856892916424,0.2269646139705882,2.31492602900249,0.0443617876838235,54.4996233941794,0.0603963989223724,0.0619230354308259,-16.55097511768662,38198000000.0,158119000000.0,-84123000000.0,372492000000.0,46168000000.0,22688000000.0,1267500000.0,62.28343290441177,93.34006147070968,3.752924446075508,1.4450070556985142,0.9642162066525124,23.98129812981298,0.0796445266687589,2.1256220578345664,2025-01-29,3.15,amc,68865707131.0,2025-04-29,2024-12-31,0.0253968253968254,392.25964285714286,26709506.89285714
2024-09-30,MSFT,USD,789019,2024-10-30,2024-10-30 16:07:17,2025,Q1,65585000000.0,20099000000.0,45486000000.0,0.6935427308,7544000000,1673000000.0,5717000000.0,7390000000.0,0.0,14934000000.0,35033000000.0,681000000.0,582000000.0,7383000000.0,38234000000.0,0.5829686666,30552000000.0,0.4658382252,-283000000.0,30269000000.0,0.4615232141,5602000000.0,24667000000.0,0.3761073416,3.32,3.3,7433000000,7470000000,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/msft-20240930.htm,8.823489842593839,3.31857930848917,4.5984124848647925,2.5907439795506524,10.551459706713306,38.70886586842459,19.049912552132383,38.70886586842459,8.349253329745729,3198419900000.0,3239057900000.0,32.415979851623625,48.767552031714565,93.57577238150964,166.09128628550656,11.11631638763672,11.11631638763672,49.38717542120912,84.71668933410054,94.7647132826214,168.20158383964272,0.0077122456623034,0.0060207854509659,0.2136707875282824,0.1175458353807649,1.0628759742637444,1.3014409722222222,52.49484536082474,1.3856569505817489,0.0017427355301284,0.2259699193254145,0.0255088816040253,0.115026301745826,0.2793907608415087,0.4366003510825044,0.2275367843256842,2.0212650684003792,0.0431806053213387,53.76164924772883,0.0607167308940322,0.0654491520027169,-16.539351540427823,34726000000.0,141598000000.0,-85364000000.0,354242000000.0,50536000000.0,22382000000.0,1436000000.0,60.58275520317146,101.9513408627295,7.280959251704065,1.4855712603062423,0.8827740688685874,12.3610086100861,0.0857317628413439,2.00766850531414,2024-10-30,3.1,amc,64562402034.0,2025-04-24,2024-09-30,0.0645161290322579,407.6998333333333,22952417.7
2024-06-30,MSFT,USD,789019,2024-07-30,2024-07-30 16:06:22,2024,Q4,64727000000.0,19684000000.0,45043000000.0,0.6958919771,8056000000,2246000000.0,6816000000.0,9062000000.0,-527000000.0,17118000000.0,36802000000.0,638000000.0,701000000.0,6380000000.0,34331000000.0,0.5303968977,27925000000.0,0.4314273796,-675000000.0,27250000000.0,0.4209989649,5214000000.0,22036000000.0,0.3404452547,2.96,2.95,7433000000,7472000000,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,8.708058657338894,2.9646172474101977,5.004036055428495,3.137629490111664,10.161576752320732,36.11960177586439,16.367550114354902,36.11960177586439,9.12525225346428,3394874090000.0,3443686090000.0,38.51508996641859,52.44911845134179,91.2723239682753,145.56530700626018,12.644934538154107,12.644934538154107,53.203239606346656,100.30835367452156,92.58465089393736,147.65826644370122,0.0064909623791084,0.0068697687695392,0.2500288665323286,0.1310656958819751,1.4218053654131837,1.2749549031815206,39.83594864479315,1.6879197676529316,0.0016418871075127,0.2529497186422218,0.0346995844083612,0.1244611985724658,0.2866606920062558,0.372980239279473,0.2143309592596598,2.1744514106583077,0.0416518608926723,49.084802881055765,0.0570509396253328,0.0603154270198661,-16.795237454594375,34448000000.0,121660000000.0,-83952000000.0,335817000000.0,50476500000.0,20041500000.0,1275000000.0,79.15027731858422,100.57102214996952,5.69701280227596,1.1370775068512402,0.894889979996363,15.797752808988765,0.0820777943734472,1.8664065653168305,2024-07-30,2.93,amc,64382224966.0,2025-04-24,2024-06-30,0.0068259385665529,425.94765625,20671826.796875
2024-03-31,MSFT,USD,789019,2024-04-25,2024-04-25 16:06:24,2024,Q3,61858000000.0,18505000000.0,43353000000.0,0.7008471014,7653000000,1912000000.0,6207000000.0,8119000000.0,-486000000.0,15772000000.0,34277000000.0,619000000.0,800000000.0,6027000000.0,33554000000.0,0.5424359016,27581000000.0,0.4458760387,-854000000.0,26727000000.0,0.4320702254,4788000000.0,21939000000.0,0.3546671409,2.95,2.94,7431000000,7472000000,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/msft-20240331.htm,8.324317050195129,2.952361727896649,4.2951150585385545,2.821289193917373,10.767460637868387,34.06701655228098,14.151661956668011,34.06701655228098,10.861391468173869,3154979670000.0,3215256670000.0,35.95172603582661,51.00358353002037,98.84950559263088,150.4879403768185,12.4627878507774,12.4627878507774,51.97802499272528,95.82334952613698,100.73806028135476,153.36306558549964,0.006953769055507,0.0066450507429101,0.3156641069397042,0.1650116153012235,1.7964177147284974,1.2417633410672857,34.47625,1.4548065089566526,0.0017660969587166,0.2539769360499567,0.0309095024087426,0.1237188399236962,0.3055928965980073,0.3431400194253846,0.1770506644249733,1.8171561307449808,0.0436968540851627,47.571088979368135,0.0582703455524665,0.0652394999464738,-15.803559413268738,28655000000.0,105161000000.0,-83943000000.0,315392000000.0,43430000000.0,17891000000.0,1459500000.0,64.05978208154158,87.96703593623346,6.342069710888949,1.4049376547275658,1.023110521368939,14.1909509202454,0.0866633485020857,1.4738258646211817,2024-04-25,2.82,amc,60861823613.0,2025-04-24,2024-03-31,0.0425531914893617,427.465625,19833730.546875
2023-12-31,MSFT,USD,789019,2024-01-30,2024-01-30 16:05:46,2024,Q2,62020000000.0,19623000000.0,42397000000.0,0.6836020639,7142000000,1977000000.0,6246000000.0,8223000000.0,-169000000.0,15365000000.0,34988000000.0,734000000.0,909000000.0,5959000000.0,33394000000.0,0.5384392132,27032000000.0,0.4358594002,-506000000.0,26526000000.0,0.4277007417,4656000000.0,21870000000.0,0.3526281845,2.94,2.93,7432000000,7468000000,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/msft-20231231.htm,8.344994617868675,2.942680301399354,2.5367330462863293,1.2268568353067817,10.896393972012918,32.05974165769645,12.034580193756728,32.05974165769645,12.01332077502691,2794729280000.0,2865798280000.0,31.94706538637403,45.06174266365689,148.23790802524798,306.50683044527307,11.729352158074102,11.729352158074102,46.20764721057724,85.81776007666048,152.00754680952633,314.3011932441325,0.0078254449032,0.0032625700332591,0.3709016737455302,0.1878068165879657,2.128196682038689,1.2179629139948436,29.73817381738174,0.8620484682213078,0.0019944686735453,0.2548696844993141,0.03187681393099,0.1151564011609158,0.3162776958419578,0.5163634434837957,0.1569654950016124,1.6336633663366336,0.0455981941309255,46.07260933017851,0.0588311575154391,0.06797604209728,-15.928047631862215,26377000000.0,89441000000.0,-84897000000.0,303910000000.0,39892000000.0,18501000000.0,2307500000.0,62.153982586262494,81.1573153951995,7.407124292921571,1.4480166234736522,1.1089573325798248,12.15046439628483,0.0917873990632397,1.309876210979548,2024-01-30,2.78,amc,56239300000.0,2025-04-24,2023-12-31,0.0539568345323742,422.31952380952384,19004452.968253966
2023-09-30,MSFT,USD,789019,2023-10-24,2023-10-24 16:07:40,2024,Q1,56517000000.0,16302000000.0,40215000000.0,0.7115558151,6659000000,1474000000.0,5187000000.0,6661000000.0,-137000000.0,13320000000.0,29622000000.0,1166000000.0,525000000.0,3921000000.0,31730000000.0,0.5614239963,26895000000.0,0.4758745156,389000000.0,27284000000.0,0.4827574004,4993000000.0,22291000000.0,0.3944123007,3.0,2.99,7429000000,7462000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/msft-20230930.htm,7.607618791223583,3.000538430475165,4.116704805491991,2.7818010499394266,19.37609368690268,29.70978597388612,19.387400726881143,29.70978597388612,11.510835913312691,2345706750000.0,2350243750000.0,26.30777836346508,41.50444556505122,76.699694274597,113.50560098712862,10.627811330500103,10.627811330500103,41.58472229594635,74.07008351717617,76.84804466533696,113.72514032710733,0.0095028928914494,0.0088101379253821,0.3850639288853448,0.1906502013302376,0.1429877087929404,1.663455990768639,51.22857142857143,1.371988694989009,0.0021532955899112,0.2265936925216455,0.0260806483005113,0.1178229559247659,0.1720223874737822,0.3242651146061537,0.1754693278128704,2.5292017342514663,0.0443583346603676,44.78582898592299,0.0626822138965118,0.0603928474668111,-6.987649750975905,82794000000.0,144029000000.0,-17485000000.0,277416000000.0,42820500000.0,18701000000.0,2750000000.0,58.84548012102554,106.58998895841,16.562384983437614,1.5294292750250318,0.8443569689749831,5.434,0.1009949527442753,1.3349037555525642,2023-10-24,2.65,amc,54489000000.0,2025-04-24,2023-09-30,0.1283018867924529,404.8216393442623,22936728.83606557
2023-06-30,MSFT,USD,789019,2023-07-27,2023-07-27 16:01:56,2023,Q4,56189000000.0,16795000000.0,39394000000.0,0.7010980797,6739000000,2197000000.0,6204000000.0,8401000000.0,-61000000.0,15140000000.0,31935000000.0,905000000.0,482000000.0,3874000000.0,29083000000.0,0.5175924113,24254000000.0,0.431650323,473000000.0,24727000000.0,0.4400683408,4646000000.0,20081000000.0,0.3573831177,2.7,2.69,7434000000,7467000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,7.558380414312618,2.7012375571697604,3.870056497175141,2.667070217917676,14.965832660747916,27.74051654560129,17.34880279795534,27.74051654560129,8.131154156577885,2531574360000.0,2556835360000.0,31.517035506199893,45.05462563847016,87.99354744525547,127.68317748524738,12.275906955092305,12.275906955092305,45.504197618751,87.91511742254926,88.87158011817866,128.9572481969032,0.0079322181158447,0.0078318852937031,0.2907774593522546,0.145554595413325,0.8685830210088368,1.76916725076573,50.3195020746888,1.432697574821971,0.0019963861539504,0.2516806931925701,0.0391001797504849,0.1199345067539909,0.1875157776181136,0.310844629822732,0.1591592660485148,2.308466701084151,0.0429977397711295,41.06103768581617,0.0629144317672409,0.0599927104121604,-7.631288673661555,80108000000.0,128971000000.0,-21496000000.0,267347000000.0,43054000000.0,16700000000.0,2688500000.0,77.98537080211429,96.96635903542722,13.396844298898484,1.1540626026947092,0.9281569494335452,6.718,0.0973751715376073,1.2029862792574657,2023-07-25,2.55,amc,55470200000.0,2025-04-24,2023-06-30,0.0549019607843137,355.9301587301587,25828747.634920634
2023-03-31,MSFT,USD,789019,2023-04-25,2023-04-25 16:07:43,2023,Q3,52857000000.0,16128000000.0,36729000000.0,0.694874851,6984000000,1643000000.0,5750000000.0,7393000000.0,-93000000.0,14377000000.0,30505000000.0,748000000.0,496000000.0,3549000000.0,26718000000.0,0.5054770418,22352000000.0,0.4228768186,321000000.0,22673000000.0,0.428949808,4374000000.0,18299000000.0,0.346198233,2.46,2.45,7441000000,7464000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/msft-20230331.htm,7.103480714957667,2.4592124714420103,3.284639161403037,2.396720870850692,14.032925682031983,26.163553285848675,15.705415938717914,26.163553285848675,8.200241902970031,2145240300000.0,2179200300000.0,29.30816301437237,40.585736988478345,87.77219835522278,120.28935179993272,11.01914548265642,11.01914548265642,41.22822521141949,81.56300247024478,89.16166687124095,122.19357967926432,0.0085300467271661,0.0083132877934467,0.310874601274893,0.1592315463787333,1.2710532225465978,1.9125579115659752,45.064516129032256,1.335646756653369,0.0023582439692187,0.2764631947100934,0.0310838677942372,0.1321300868380725,0.2047394287638652,0.2703244548095413,0.1249976351287436,1.861651169343477,0.0466352611763815,38.04850945964144,0.0600046775097926,0.0605387916061521,-6.918760919231286,78198000000.0,116864000000.0,-21516000000.0,258028000000.0,36626500000.0,15329500000.0,2928500000.0,63.71530733866848,85.40736607142857,16.0546875,1.4125334045964724,1.0537732767069583,5.605839416058394,0.0939938258605014,0.8879182905523452,2023-04-25,2.23,amc,51017600000.0,2025-04-24,2023-03-31,0.0986547085201794,330.4428571428572,24815799.01587301
2022-12-31,MSFT,USD,789019,2023-01-24,2023-01-24 16:34:20,2023,Q2,52747000000.0,17488000000.0,35259000000.0,0.668455078,6844000000,2337000000.0,5679000000.0,8016000000.0,0.0,14860000000.0,32348000000.0,700000000.0,490000000.0,3648000000.0,24477000000.0,0.4640453486,20399000000.0,0.3867328948,-60000000.0,20339000000.0,0.3855953893,3914000000.0,16425000000.0,0.3113921171,2.2,2.2,7451000000,7473000000,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/msft-10q_20221231.htm,7.079184002147363,2.2044020936787008,1.4995302643940411,0.6574956381693733,13.353241175681116,24.578714266541404,14.075426117299692,24.578714266541404,8.1336733324386,1786898820000.0,1831366820000.0,27.197851141552512,33.87678578876524,159.93008323637338,364.74766687078994,9.757223156561244,9.757223156561244,34.719828995013934,74.81990521714262,163.91003490557594,373.8246213512962,0.0091919026506492,0.0027416213750703,0.3282478595142408,0.164898286115561,1.816725905952527,1.9313125627156809,41.63061224489796,0.6802435312024353,0.0028350793807116,0.3084322678843226,0.0443058372988037,0.1297514550590555,0.2146744497355658,0.5615322652823772,0.1189451532788594,1.7198464912280702,0.048116480558136,34.91533770071005,0.057432412386421,0.0573714948374387,-7.187793584753725,76105000000.0,104876000000.0,-23593000000.0,250744000000.0,33556000000.0,15981500000.0,3624000000.0,61.14034921417332,79.0176120768527,15.33623055809698,1.4720229955627495,1.1389865833007686,5.868456375838926,0.0896874453957714,0.8420346262246678,2023-01-24,2.29,amc,52986736747.0,2025-04-24,2022-12-31,0.0131004366812226,313.408064516129,27421389.032258064
