date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,MTCH,USD,891103,2025-02-27,2025-02-27 16:02:50,2024,Q4,860176000.0,236414000.0,623762000.0,0.7251562471,109138000,114371000.0,145515000.0,259886000.0,31350000.0,400374000.0,636788000.0,0.0,0.0,20584000.0,257688000.0,0.2995759007,223388000.0,0.2597003404,-25844000.0,197544000.0,0.2296553264,39266000.0,158296000.0,0.1840274548,0.63,0.59,251715000,272549000,https://www.sec.gov/Archives/edgar/data/891103/000089110325000027/0000891103-25-000027-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110325000027/mtch-20241231.htm,3.41726158552331,0.6288699521283991,1.0118983771328685,0.9818366009177044,3.856452734243093,-0.2528931529706215,-10.28875911248833,-0.2529010984645333,15.29103549649405,8233597650.0,11116587650.0,13.003483426618487,9.57199183655438,32.3253804326489,33.31511574270766,-129.33909816365323,-129.33909816365323,12.923619875467349,43.13971799230077,43.64409583447843,44.980386456424014,0.0192256176132191,0.0300164047972395,-60.46251119244726,0.8618854392668142,11.18790940982894,2.543878455431777,0.0,1.6092571298601197,0.0,0.0,0.1329623239895091,0.1268786852923122,0.5656756694420739,0.0297082957088453,0.0087970368854746,0.3676156237854644,0.0804556276854969,,0.04570245069628,0.0816129981908575,-13.169571737878156,848301000.0,-2589835000.0,-3131666000.0,3532668000.0,332525000.0,22806500.0,0.0,34.000797511207004,6.95212635461521,0.0,2.6469967350129093,12.945679553170518,0.0,-2.486624043733015,0.0300617762151639,2025-02-04,0.84,amc,851031710.0,2025-05-04,2024-12-31,-0.0238095238095238,34.270625,4472872.25
2024-09-30,MTCH,USD,891103,2024-11-12,2024-11-08 17:32:50,2024,Q3,895484000.0,253129000.0,642355000.0,0.7173271661,103724000,103923000.0,156656000.0,260579000.0,67392000.0,431695000.0,684824000.0,0.0,40120000.0,3983000.0,210660000.0,0.2352470843,210660000.0,0.2352470843,-33020000.0,177640000.0,0.1983731703,-185795000.0,136468000.0,0.1523957994,1.41,1.32,257070000,275738000,https://www.sec.gov/Archives/edgar/data/891103/000089110324000114/0000891103-24-000114-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110324000114/mtch-20240930.htm,3.48342474812308,0.5308592990236123,1.0306181156883338,0.9796358968374372,3.348718247948029,-0.3442797681565332,-10.306383475318007,-0.3443653479596997,15.121920099583772,9727528800.0,12719268800.0,17.82016443415306,10.862872815148007,36.71583045551965,38.62659598546667,-109.8832975622981,-109.8832975622981,14.203792362565942,60.37818665147631,48.00792949376627,50.506358528401535,0.0140290512426958,0.0258888979079661,-43.45923231592978,0.8692755743150956,14.20174689072439,2.494306867211779,5.250747756729811,1.9416567046045832,0.0,0.0,0.116052324776322,0.1158300985835592,0.5786381197500043,0.0494676175052846,0.0146356607153226,0.1944741186717397,0.072014687029584,,0.1106367457082899,0.0731779380860634,-13.219826311899483,792413000.0,-2649462000.0,-3191640000.0,3525483000.0,332178000.0,22287000.0,0.0,34.180208691612584,9.724646326576568,0.0,2.6331027060722696,9.25483528938613,0.0,-1.5415584122178796,0.0509822227408877,2024-11-06,0.4759,amc,900976429.0,2025-04-23,2024-09-30,0.071653708762345,34.98953125,5078960.484375
2024-06-30,MTCH,USD,891103,2024-08-01,2024-08-01 16:07:43,2024,Q2,864066000.0,277032000.0,587034000.0,0.6793856025,113576000,114304000.0,154628000.0,268932000.0,10525000.0,382508000.0,659540000.0,0.0,40038000.0,32044000.0,204526000.0,0.236701826,204526000.0,0.236701826,-29513000.0,175013000.0,0.2025458703,41693000.0,133314000.0,0.1542868253,0.5,0.48,264397000,281882000,https://www.sec.gov/Archives/edgar/data/891103/000089110324000095/0000891103-24-000095-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110324000095/mtch-20240630.htm,3.2680627995022635,0.5042190342553055,0.4877702848368173,0.4398461404630158,3.19067160368688,-0.4921084581141238,-10.064921311512611,-0.4925925785844771,14.696116067882768,7757407980.0,10765186980.0,14.54724931365048,8.977795654498614,60.151265692242085,66.70514368755052,-59.56240770884521,-59.56240770884521,12.458755442292604,52.63480916851647,83.47370976621563,92.568722204069,0.0171853794906375,0.0149913476640428,-29.52680436117936,0.8802090855676529,14.70609604646842,2.509924170708618,5.108297117738148,0.9673777697766176,0.0,0.0,0.1322861911011427,0.1314436628683457,0.579323445173863,0.0982514635753886,0.0146643890628725,0.3954250529092826,0.080858406649492,,0.0403989054912261,0.0725358097748198,-12.90572604832884,773587000.0,-2661135000.0,-3213119000.0,3485748000.0,274699000.0,19208000.0,0.0,33.775440764941564,5.595274192151087,0.0,2.664658046251723,16.085002612785228,0.0,-1.02360257985258,0.0479241443738015,2024-07-30,0.48,amc,856400000.0,2025-04-23,2024-06-30,0.0,31.592380952380957,4952650.793650794
2024-03-31,MTCH,USD,891103,2024-05-08,2024-05-08 16:06:05,2024,Q1,859647000.0,287630000.0,572017000.0,0.6654091738,115737000,106241000.0,165301000.0,271542000.0,9474000.0,387279000.0,674909000.0,0.0,40353000.0,30888000.0,215626000.0,0.2508308643,184738000.0,0.2148998368,-30879000.0,153859000.0,0.1789792787,30625000.0,123198000.0,0.1433123131,0.46,0.44,268142000,286211000,https://www.sec.gov/Archives/edgar/data/891103/000089110324000057/0000891103-24-000057-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110324000057/mtch-20240331.htm,3.2059393903230378,0.4594505896129662,1.0592559166411826,0.994984001014388,3.434251254932088,-0.4015484332928075,-10.000231220771084,-0.4020630859768331,14.48580975751654,9628979220.0,12557951220.0,19.539641917888275,11.20108511982244,33.90115593016255,36.09103258282514,-89.31434208329468,-89.31434208329468,14.608265043674905,58.2395036776641,44.21331199763406,47.06931194878503,0.0127945026347247,0.0277077137570144,-35.654401261478526,0.8729288129111404,13.583575264578483,2.40874751874193,4.578048720045597,2.3041372596738867,0.0,0.0,0.1235867745714229,0.1346331691961933,0.5844981199981015,0.0606764754551439,0.0200477637914167,0.557951307951308,0.0742397751635264,,0.038090941576105,0.0673344472118331,-12.75969915194188,730985000.0,-2681482000.0,-3261250000.0,3492544000.0,261888500.0,17190000.0,0.0,23.56968616187807,6.631331919479887,0.0,3.818464080593793,13.571934129193602,0.0,-1.142732585103423,0.0642719156267947,2024-05-07,0.4,amc,855770937.0,2025-04-23,2024-03-31,0.0999999999999999,36.1511475409836,6247172.967213115
2023-12-31,MTCH,USD,891103,2024-02-23,2024-02-23 08:34:03,2023,Q4,866228000.0,241302000.0,624926000.0,0.7214336179,97571000,108205000.0,158898000.0,267103000.0,-13857000.0,364674000.0,605976000.0,26800000.0,40414000.0,33190000.0,293442000.0,0.3387583869,260252000.0,0.3004428395,-35371000.0,224881000.0,0.2596094793,-4799000.0,229658000.0,0.2651241936,0.85,0.81,270576000,288205000,https://www.sec.gov/Archives/edgar/data/891103/000089110324000014/0000891103-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110324000014/mtch-20231231.htm,3.201422151262492,0.8487744663236947,1.020485926320147,0.956208237242032,3.2103364673880908,-0.0704903613032937,-9.858342942463484,-0.0722458754656732,14.774111525042873,9876024000.0,12970690000.0,10.750794659885567,11.401183060349007,35.7672742549408,38.17160172691679,-505.219152854512,-505.219152854512,14.973759795342566,44.20188657383742,46.97499990945933,50.13272677378086,0.0232540949677724,0.0261974859518364,-202.43022304072028,0.8778185606290843,10.546090879969466,2.390724902589099,6.439649626367101,1.2023051668132614,0.0,0.0,0.1249151493602146,0.112638935707458,0.5874944486173785,0.0629873351707053,0.0200778547911173,0.5240132727934098,0.0786790544752651,,0.0668505872679256,0.1235033836543467,-12.692674147004908,739543000.0,-2667431000.0,-3255648000.0,3678086000.0,293366000.0,12258000.0,0.0,31.02915167831102,4.918442449710321,0.0,2.900498245426053,18.298475771593235,0.0,-11.74841416001637,0.0642776890781148,2024-01-30,0.49,amc,867000000.0,2025-04-23,2023-12-31,0.6530612244897961,33.773492063492064,5830187.761904762
2023-09-30,MTCH,USD,891103,2023-11-02,2023-11-02 16:28:55,2023,Q3,881600000.0,255598000.0,626002000.0,0.7100748639,94141000,107095000.0,153408000.0,260503000.0,7905000.0,371954000.0,627552000.0,0.0,40380000.0,27799000.0,271358000.0,0.3078017241,243559000.0,0.2762692831,-32475000.0,211084000.0,0.2394328494,47328000.0,163727000.0,0.1857157441,0.59,0.57,287812947,293380000,https://www.sec.gov/Archives/edgar/data/891103/000089110323000114/0000891103-23-000114-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110323000114/mtch-20230930.htm,3.063100563019495,0.5688660003192977,1.0104027738543673,0.9667528959355676,2.476667597583788,-1.038910872901072,-9.998052658833307,-1.040391000895453,13.484344747006812,11273633133.99,14407341133.99,17.214071493996105,12.787696386104807,38.766718593397,40.51707542297408,-37.64930681473294,-37.64930681473294,16.34226535162205,53.09348216743195,49.54262151182744,51.77952133375742,0.0145230023058283,0.0246809521556182,-12.82599068922448,0.9039030147838438,11.548242543061196,1.9614214177343965,6.031674096087172,1.7758555411710106,0.0,0.0,0.1214779945553539,0.1067842558983666,0.6068770821590084,0.0432004731660517,0.014250226860254,0.7257654534950896,0.0700374319419237,,0.0513623200480931,0.098020280925178,-12.57423280544777,548140000.0,-2877569000.0,-3429632000.0,3317369000.0,280196000.0,9666500.0,0.0,29.40966424682395,3.989115720780288,0.0,3.060218547368129,22.561391120134168,0.0,-0.5467809696832066,0.0436498779187998,2023-10-31,0.54,amc,881150000.0,2025-04-23,2023-09-30,0.0555555555555553,44.33126984126984,4166274.888888889
2023-06-30,MTCH,USD,891103,2023-08-03,2023-08-03 16:39:03,2023,Q2,829552000.0,250294000.0,579258000.0,0.6982781067,94287000,107698000.0,136597000.0,244295000.0,3432000.0,353147000.0,603441000.0,0.0,39742000.0,25880000.0,240676000.0,0.2901276834,214796000.0,0.2589301213,-36310000.0,178486000.0,0.2151595078,41141000.0,137345000.0,0.165565269,0.49,0.48,288398140,295002000,https://www.sec.gov/Archives/edgar/data/891103/000089110323000099/0000891103-23-000099-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110323000099/mtch-20230630.htm,2.8764124484297997,0.4762340006769808,0.7263500381798579,0.6652747483045487,2.5690734343848405,-0.6155240807031557,-9.732826293539896,-0.6169491939164379,13.449063853185738,12069462159.0,15175838159.0,21.96924198005024,14.549373829488689,57.61684835161688,62.90634073614644,-67.83378665969752,-67.83378665969752,18.294016721073543,63.05505392727152,72.44597599270568,79.0968506806905,0.0113795460137868,0.0158966487050071,-21.575944066948804,0.8847474330074462,12.906878957602752,2.113475788062708,5.404760706557295,1.525195675124686,0.0,0.0,0.1298267016413678,0.1136601442706424,0.6059913893137794,0.0840852022646769,0.0212331475302331,7.1952614379084965,0.0730960807761297,,0.0434405362389523,0.0803368479668509,-12.383561142245924,594772000.0,-2806929000.0,-3387613000.0,3415310000.0,264592000.0,11198500.0,0.0,29.54331976777827,2.8780554068415545,0.0,3.0463739588994816,31.27111444277861,0.0,-0.7719176965834302,0.0610752898753091,2023-08-01,0.45,amc,863800000.0,2025-04-23,2023-06-30,0.0666666666666666,36.56,5321962.967741936
2023-03-31,MTCH,USD,891103,2023-05-05,2023-05-05 07:13:56,2023,Q1,787124000.0,240010000.0,547114000.0,0.6950798095,98186000,90611000.0,137359000.0,227970000.0,22669000.0,348825000.0,588835000.0,0.0,39351000.0,22669000.0,224350000.0,0.285024977,198289000.0,0.2519158354,-35959000.0,162330000.0,0.2062318008,41639000.0,120809000.0,0.1534815353,0.43,0.42,289114270,296650000,https://www.sec.gov/Archives/edgar/data/891103/000089110323000047/0000891103-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110323000047/mtch-20230331.htm,2.722535971676528,0.4178590008718698,0.4163993703942735,0.3477656083872996,2.0003405573858397,-1.1570442372145795,-10.347393091319914,-1.1570442372145795,13.408791617238402,11099096825.3,14366539825.3,22.96827393923466,14.10082379053364,92.19514420410844,110.39044423635424,-33.17937099139658,-33.17937099139658,18.25193975193235,64.03628181546691,119.33630562519208,142.88808705939687,0.0108845793402414,0.0090587551025605,-11.471197364566333,0.912798540596383,14.56404279028304,1.7215559972916508,5.038982490915098,0.9974811709240954,0.0,0.0,0.1151165508865185,0.1247401934129819,0.6320453178220556,0.1648267670097269,0.0252094968518302,0.875336362433279,0.0528036243336501,,0.0403736766466262,0.0781001106766792,-13.030982524660578,398563000.0,-2991579000.0,-3587498000.0,3242919000.0,224408000.0,14046000.0,0.0,29.371280763894887,5.397150118745052,0.0,3.064217754870054,16.67546724101994,0.0,-0.3611434960151621,0.0686337620069739,2023-05-02,0.41,amc,793790000.0,2025-04-23,2023-03-31,0.024390243902439,43.62145161290323,4216321.854838709
2022-12-31,MTCH,USD,891103,2023-02-24,2023-02-24 08:14:21,2022,Q4,786153000.0,235925000.0,550228000.0,0.6998993835,80555000,110356000.0,127335000.0,237691000.0,10930000.0,329176000.0,565101000.0,0.0,38214000.0,72649000.0,178880000.0,0.2275384054,220650000.0,0.2806705565,-38616000.0,68017000.0,0.086518782,-17605000.0,84575000.0,0.1075808399,0.3,0.3,279426000,289826000,https://www.sec.gov/Archives/edgar/data/891103/000089110323000013/0000891103-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110323000013/mtch-20221231.htm,2.8134568723025057,0.3026740532377087,0.8060703012604411,0.7675914195529406,2.0796847823752977,-1.284350776234137,-10.968893374274405,-1.2879080686836586,13.863921038128163,11593384740.0,14856715740.0,34.26953810227609,14.746982762897298,51.47193729271834,54.05219357997063,-32.215032275095524,-32.215032275095524,18.89799535204979,83.05409067531306,65.96036947748372,69.26692188264914,0.0072951085379057,0.0185006367691718,-10.65849531087183,0.917031417502876,18.243129472271917,1.586013581280983,5.774061862144764,2.630597276400925,0.0,0.0,0.140374710775129,0.1024673314227637,0.6469676510556178,0.0477363843418266,0.0136767270493148,0.9837145471180238,0.0681241437735402,,0.0762890979550041,0.0572748740223654,-13.658614445327206,326031000.0,-3064994000.0,-3659260000.0,3208280000.0,183193000.0,14236500.0,0.0,21.97358529446558,5.22585567447282,0.0,4.095826820881525,17.22206000437988,0.0,-0.2350121569989579,0.0384788817075003,2023-01-31,0.46,amc,787412130.0,2025-04-23,2022-12-31,-0.3478260869565218,45.21126984126984,4512765.301587301
2022-09-30,MTCH,USD,891103,2022-11-04,2022-11-04 17:00:39,2022,Q3,809546000.0,246962000.0,562584000.0,0.6949376564,87880000,114169000.0,129615000.0,243784000.0,20285000.0,351949000.0,598911000.0,0.0,36814000.0,20285000.0,230920000.0,0.2852462985,210635000.0,0.2601890442,-34488000.0,176147000.0,0.2175873885,47881000.0,128696000.0,0.158973054,0.46,0.44,281314000,281314000,https://www.sec.gov/Archives/edgar/data/891103/000089110322000095/0000891103-22-000095-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110322000095/mtch-20220930.htm,2.8777309341163257,0.4574816752810027,0.9970602245177986,0.9577162885601144,1.4159231321583712,-2.4828767853715066,-11.828860277128047,-2.4859836339464088,13.917586753592072,13432743500.0,16920500500.0,26.093941342388263,16.59293418780403,47.89078816487039,49.85818928880294,-19.207688798899536,-19.207688798899536,20.901221795920183,73.27429629308851,60.325435759946096,62.80366455224019,0.009580768068712,0.0200568856242955,-5.545781606138341,0.990764964239814,15.103745886021132,1.1725191778454338,5.721600478078992,2.186760326197122,0.0,0.0,0.1410284282795542,0.1085546713837138,0.6716370136125516,0.0394599393198258,0.0136718605242938,1.0364266317070887,0.0657924318074575,,0.0456882338995256,0.1001219082412927,-14.517100108775248,103811000.0,-3327624000.0,-3907470000.0,2905159000.0,178383000.0,14987000.0,0.0,19.393758971077617,5.384067184425135,0.0,4.640668172385724,16.71598754568837,0.0,-0.1840244115182557,0.0393439359576842,2022-11-01,0.4,amc,792860572.0,2025-04-23,2022-09-30,0.0999999999999999,62.81546875,3215034.34375
