date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-27,MU,USD,723125,2025-03-21,2025-03-20 19:20:23,2025,Q2,8053000000.0,5090000000.0,2963000000.0,0.3679374146,898000000,0.0,0.0,285000000.0,7000000.0,1190000000.0,6273000000.0,108000000.0,112000000.0,-97000000.0,1773000000.0,0.2201663976,1773000000.0,0.2201663976,-367000000.0,1406000000.0,0.1745933193,-177000000.0,1583000000.0,0.1965727058,1.42,1.41,1115000000,1123000000,https://www.sec.gov/Archives/edgar/data/723125/000072312525000009/0000723125-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312525000009/mu-20250227.htm,7.222421524663677,1.4197309417040358,3.53542600896861,6.410762331838565,7.367713004484305,43.6170403587444,42.20627802690583,43.6170403587444,13.512107623318386,102379300000.0,109781300000.0,16.16855653821857,12.713187631938409,25.971410451547435,14.322789591494123,2.105140542430037,2.105140542430037,13.63234819321992,61.91838691483362,27.84913749365804,15.358324006715163,0.0154621100163802,0.0698188012615831,0.3074866859951062,0.2047006967544112,4.174844895657079,3.1343150945791547,15.830357142857142,2.490208464939988,0.0012697879356471,0.082122552116235,0.0,0.1115112380479324,0.0215323121569271,0.8132927447995941,0.3981125046566497,1.5420875420875422,0.0309201539798832,37.32693920099022,0.0306278581107707,0.0221460548405148,-6.119730941704036,16812000000.0,47060000000.0,269000000.0,61550000000.0,6963500000.0,2451500000.0,8856000000.0,72.68843909102198,42.13555992141454,159.25933202357564,1.238161131611316,2.135963071758288,0.5651160208726546,0.0325499146669956,2.875336322869955,2025-03-20,1.43,amc,7897155150.0,2025-05-11,2025-02-27,0.090909090909091,75.73071428571428,25895278.14285714
2024-11-28,MU,USD,723125,2024-12-19,2024-12-18 18:52:13,2025,Q1,8709000000.0,5361000000.0,3348000000.0,0.3844299001,888000000,0.0,0.0,288000000.0,-2000000.0,1174000000.0,6535000000.0,107000000.0,118000000.0,2030000000.0,4300000000.0,0.4937421059,2174000000.0,0.2496268228,-587000000.0,1587000000.0,0.1822252842,-283000000.0,1870000000.0,0.2147204042,1.68,1.67,1111000000,1122000000,https://www.sec.gov/Archives/edgar/data/723125/000072312524000047/0000723125-24-000047-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312524000047/mu-20241128.htm,7.838883888388839,1.683168316831683,2.91989198919892,0.0342034203420342,6.82988298829883,42.12151215121512,40.70927092709271,42.12151215121512,12.563456345634563,109100200000.0,116247200000.0,14.585588235294118,12.527293604317371,33.63138101109741,2871.057894736842,2.331350300232921,2.331350300232921,13.347938913767369,27.034232558139536,35.83452527743526,3059.136842105263,0.0171402068923796,0.0003483036694708,0.2957454537684039,0.1936720728789129,1.662093023255814,2.716916250693289,18.42372881355932,1.73475935828877,0.0012007310710704,0.0700534759358288,0.0,0.1019634860489149,0.0219560319614894,0.9882860665844636,0.368124928235159,1.5793103448275865,0.0252612240211275,39.939903367111896,0.0409527452113842,0.0267555657299834,-6.441269126912691,15478000000.0,45228000000.0,-171000000.0,59145000000.0,7019000000.0,2623000000.0,8790000000.0,76.71029968997588,42.30554001119194,146.1387800783436,1.173245318604338,2.1273809523809524,0.6158529580700747,0.0399598264846037,2.8856885688568856,2024-12-18,1.75,amc,8714396051.0,2025-04-24,2024-11-28,0.0228571428571428,96.04166666666669,22707184.15
2024-08-29,MU,USD,723125,2024-10-04,2024-10-04 16:12:50,2024,Q4,7750000000.0,5013000000.0,2737000000.0,0.3531612903,903000000,0.0,0.0,295000000.0,17000000.0,1215000000.0,6228000000.0,131000000.0,136000000.0,1986000000.0,3632000000.0,0.4686451613,1522000000.0,0.1963870968,-12000000.0,1510000000.0,0.1948387097,623000000.0,887000000.0,0.1144516129,0.8,0.79,1108000000,1125000000,https://www.sec.gov/Archives/edgar/data/723125/000072312524000027/0000723125-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312524000027/mu-20240829.htm,6.994584837545126,0.8005415162454874,3.0731046931407944,0.2572202166064982,7.315884476534296,40.73194945848376,39.31859205776173,40.73194945848376,12.764440433212997,105891560000.0,112857560000.0,29.84542277339346,13.663427096774194,31.098842878120408,371.5493333333333,2.34631539296714,2.34631539296714,14.562265806451611,31.073116740088107,33.14465785609398,395.9914385964912,0.0083764938395467,0.0026914326316469,0.3103631650085307,0.2017834505013253,1.91795154185022,2.63538062283737,11.191176470588236,3.838782412626832,0.0012182274016928,0.14543404735062,0.0,0.116516129032258,0.0225596404287196,0.9162995594713657,0.4025806451612903,1.5709969788519638,0.0274838709677419,27.08636876789515,0.014753527395213,0.0130729550478997,-6.119359205776173,15124000000.0,43565000000.0,87000000.0,57084000000.0,5873000000.0,2338500000.0,8693500000.0,76.81935483870969,48.94075403949731,159.33572710951526,1.1715797430083144,1.838958180484226,0.5648450704225352,0.019653896434823,2.815884476534296,2024-09-25,1.12,amc,7649013878.0,2025-04-24,2024-08-29,0.0535714285714284,101.7196875,20955475.046875
2024-05-30,MU,USD,723125,2024-06-27,2024-06-27 13:19:29,2024,Q3,6811000000.0,4979000000.0,1832000000.0,0.2689766554,850000000,0.0,0.0,291000000.0,10000000.0,1141000000.0,6120000000.0,136000000.0,150000000.0,1955000000.0,2820000000.0,0.414036118,691000000.0,0.1014535311,24000000.0,715000000.0,0.1049772427,377000000.0,332000000.0,0.0487446777,0.3,0.3,1107000000,1123000000,https://www.sec.gov/Archives/edgar/data/723125/000072312524000019/0000723125-24-000019-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312524000019/mu-20240530.htm,6.152664859981933,0.2999096657633243,2.2420957542908764,0.3577235772357723,7.569105691056911,40.557362240289066,39.145438121047874,39.95031616982836,12.723577235772357,139803030000.0,146698030000.0,105.27336596385544,20.526065188665395,56.326764705882354,353.03795454545457,3.161176483889203,3.161176483889203,21.53839817941565,52.0205780141844,59.1047663174859,370.44957070707073,0.0023747697027739,0.0028325566334291,0.3150932730356133,0.2103237491510074,2.445035460992908,3.409210526315789,4.6066666666666665,7.475903614457831,0.0009155738613104,0.3855421686746988,0.0,0.1247981206871237,0.0235906724020828,0.8404512489927478,0.3062692702980473,1.0670076726342712,0.0321538687417413,16.418996142174098,0.0054612633617197,0.0051320101403573,-4.40356820234869,16479000000.0,43334000000.0,1961000000.0,56628000000.0,4713500000.0,1932000000.0,8477500000.0,67.80061664953752,35.26611769431613,153.86222132958426,1.3274215552523874,2.5520246027678115,0.5849389097744361,0.0075070661390616,1.884372177055104,2024-06-26,0.4801,amc,6668667523.0,2025-04-24,2024-05-30,0.2913976254946885,104.58109375,25268852.515625
2024-02-29,MU,USD,723125,2024-03-21,2024-03-21 13:17:48,2024,Q2,5824000000.0,4745000000.0,1079000000.0,0.1852678571,832000000,52000000.0,228000000.0,280000000.0,-7000000.0,1112000000.0,5857000000.0,130000000.0,144000000.0,1924000000.0,2238000000.0,0.384271978,-33000000.0,-0.0056662088,-21000000.0,170000000.0,0.0291895604,-622000000.0,793000000.0,0.1361607143,0.72,0.71,1104000000,1114000000,https://www.sec.gov/Archives/edgar/data/723125/000072312524000007/0000723125-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312524000007/mu-20240229.htm,5.27536231884058,0.7182971014492754,1.1041666666666667,-0.1494565217391304,8.157608695652174,40.33695652173913,38.92028985507246,39.73731884057971,13.155797101449275,100033440000.0,107617440000.0,31.53639344262295,17.17607142857143,82.06188679245282,-606.2632727272727,2.2802242990654205,2.2802242990654205,18.478269230769232,48.08643431635389,88.2833798195242,-652.2269090909091,0.0079273490944628,-0.0016494484244468,0.3277866423524048,0.2188137192245655,3.388739946380697,3.744208339990414,-0.2291666666666666,1.5372005044136192,0.0012695754539681,0.1601513240857503,0.0089285714285714,0.1428571428571428,0.0237986548586384,1.1353568498769484,0.2376373626373626,0.7193347193347194,0.0365728021978022,25.34209977897386,-0.0025707937138703,0.0123608816285812,-4.290307971014493,17176000000.0,42968000000.0,2249000000.0,56969000000.0,3619500000.0,1817000000.0,8359500000.0,66.38736263736264,36.28451001053741,160.14120126448893,1.355679702048417,2.4803972817564035,0.5620040270046193,0.0180761340323683,1.2536231884057971,2024-03-20,-0.25268,amc,5346816980.0,2025-04-24,2024-02-29,-2.6621814152287477,126.01682539682538,22457004.41269841
2023-11-30,MU,USD,723125,2023-12-21,2023-12-21 13:05:34,2024,Q1,4726000000.0,4761000000.0,-35000000.0,-0.00740584,845000000,0.0,0.0,263000000.0,-27000000.0,1093000000.0,5854000000.0,132000000.0,132000000.0,1915000000.0,892000000.0,0.1887431231,-1128000000.0,-0.2386796445,-27000000.0,-1155000000.0,-0.2443927211,73000000.0,-1234000000.0,-0.2611087601,-1.12,-1.12,1100000000,1100000000,https://www.sec.gov/Archives/edgar/data/723125/000072312523000077/0000723125-23-000077-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312523000077/mu-20231130.htm,4.296363636363636,-1.1218181818181818,1.2736363636363637,-0.359090909090909,8.225454545454545,38.98636363636364,37.56272727272727,38.98636363636364,12.943636363636363,83732000000.0,89763000000.0,-16.96353322528363,17.717308506136266,59.76588151320485,-211.97974683544305,1.952477556255101,1.952477556255101,18.9934405416843,100.63116591928252,64.07066381156316,-227.2481012658228,-0.0147374958199971,-0.0047174318062389,0.3289261979713186,0.2211803813346713,6.761210762331839,3.532036229453204,-8.545454545454545,-1.1353322528363048,0.0015406296278603,-0.1045380875202593,0.0,0.17879813796022,0.0245546914199698,1.2819414703783012,0.3800253914515446,0.9378590078328982,0.0397799407532797,,-0.0206671406795482,-0.01983603922199,-4.9979545454545455,15096000000.0,41319000000.0,167000000.0,54987000000.0,2693000000.0,1723000000.0,8331500000.0,56.04528142192129,32.53308128544423,156.44612476370511,1.6058443764865784,2.7664148750726323,0.5752779120347994,-0.0287746298239477,1.6327272727272728,2023-12-20,-0.99,amc,4809320000.0,2025-04-24,2023-11-30,-0.0404040404040404,90.51131147540984,18965949.409836065
2023-08-31,MU,USD,723125,2023-10-06,2023-10-06 16:01:37,2023,Q4,4010000000.0,4445000000.0,-435000000.0,-0.108478803,719000000,0.0,0.0,219000000.0,9000000.0,1033000000.0,5478000000.0,134000000.0,129000000.0,1937000000.0,608000000.0,0.1516209476,-1472000000.0,-0.3670822943,-83000000.0,-1458000000.0,-0.3635910224,-24000000.0,-1430000000.0,-0.3566084788,-1.31,-1.31,1095000000,1095000000,https://www.sec.gov/Archives/edgar/data/723125/000072312523000054/0000723125-23-000054-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312523000054/mu-20230831.htm,3.6621004566210047,-1.3059360730593608,0.2273972602739726,-1.106849315068493,8.761643835616438,40.29223744292238,38.87305936073059,40.29223744292238,12.842009132420092,76584300000.0,81940300000.0,-13.388863636363636,19.098329177057355,307.56746987951806,-63.18836633663366,1.735818223028105,1.735818223028105,20.433990024937657,134.77023026315788,329.07751004016063,-67.60750825082508,-0.0186722343874658,-0.0158256979563696,0.3157978241160471,0.216842531204283,8.80921052631579,4.458342077649528,-11.410852713178295,-0.1741258741258741,0.0016452458271473,-0.0881118881118881,0.0,0.1793017456359102,0.0241852647306004,5.867469879518072,0.3643391521197007,0.7542591636551368,0.0369077306733167,,-0.0242235606158097,-0.0228070175438596,-4.122602739726028,16479000000.0,42566000000.0,1110000000.0,56627000000.0,2436000000.0,1682500000.0,8312500000.0,54.83042394014963,34.92688413948257,169.81552305961756,1.641424478100696,2.576811594202898,0.5299868844640515,-0.0324116047144152,1.3342465753424655,2023-09-27,-1.18,amc,3910360000.0,2025-04-24,2023-08-31,-0.0932203389830507,74.28603174603175,13286771.61904762
2023-06-01,MU,USD,723125,2023-06-29,2023-06-29 15:34:20,2023,Q3,3752000000.0,4420000000.0,-668000000.0,-0.1780383795,758000000,0.0,0.0,219000000.0,48000000.0,1025000000.0,5445000000.0,127000000.0,119000000.0,1956000000.0,322000000.0,0.0858208955,-1566000000.0,-0.4173773987,-104000000.0,-1753000000.0,-0.467217484,139000000.0,-1892000000.0,-0.5042643923,-1.73,-1.73,1094000000,1094000000,https://www.sec.gov/Archives/edgar/data/723125/000072312523000041/0000723125-23-000041-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312523000041/mu-20230601.htm,3.4296160877513717,-1.729433272394881,0.0219378427787934,-1.4049360146252283,9.46252285191956,41.5036563071298,39.98446069469835,41.5036563071298,12.76691042047532,75584460000.0,80134460000.0,-9.98737579281184,20.145111940298506,3149.3525000000004,-49.17661678594665,1.6646726131483316,1.6646726131483316,21.35779850746269,248.8647826086957,3338.935833333333,-52.1369290826285,-0.0250316004109839,-0.0203348677757306,0.3049884373967624,0.2108404384896467,14.130434782608695,4.258228840125392,-13.159663865546218,-0.0126582278481012,0.0016670093296955,-0.0665961945031712,0.0,0.2020255863539445,0.0253045066991473,65.04166666666667,0.416044776119403,0.7980572597137015,0.0386460554371002,,-0.0277828926785258,-0.0295541878846574,-3.640082266910421,16630000000.0,43743000000.0,1459000000.0,57674000000.0,2353500000.0,1664500000.0,8183500000.0,58.26492537313433,33.39366515837104,167.74208144796378,1.5446685878962536,2.6951219512195124,0.5365379946588978,-0.0416694196674375,1.4268738574040218,2023-06-28,-1.58,amc,3646190000.0,2025-04-24,2023-06-01,-0.0949367088607595,66.98539682539682,13764703.936507937
2023-03-02,MU,USD,723125,2023-03-29,2023-03-29 16:48:21,2023,Q2,3693000000.0,4899000000.0,-1206000000.0,-0.3265637693,788000000,36000000.0,195000000.0,231000000.0,-8000000.0,1011000000.0,5910000000.0,119000000.0,89000000.0,1942000000.0,-240000000.0,-0.0649878148,-2303000000.0,-0.6236122394,32000000.0,-2271000000.0,-0.6149471974,54000000.0,-2325000000.0,-0.6295694557,-2.13,-2.13,1091000000,1091000000,https://www.sec.gov/Archives/edgar/data/723125/000072312523000022/0000723125-23-000022-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312523000022/mu-20230302.htm,3.384967919340055,-2.1310724106324472,0.3143904674610449,-1.7066911090742438,9.915673693858846,43.31530705774519,41.81393217231897,43.31530705774519,11.890925756186984,61565130000.0,64651130000.0,-6.619906451612904,16.67076360682372,179.49017492711369,-33.063979591836734,1.3027727109211331,1.3027727109211331,17.50639859193068,-269.3797083333333,188.48725947521865,-34.721337271750805,-0.0377648841154075,-0.0302443932141457,0.2726368580316143,0.1936861094407697,-12.858333333333333,4.167078972407231,-25.876404494382022,-0.148356401384083,0.0020466130746414,-0.0541935483870967,0.0097481722177091,0.2133766585431898,0.0246241731809981,6.428571428571429,0.5970755483346872,1.135427394438723,0.0425128621716761,,-0.0383363288719504,-0.0358342837767023,-2.4491292392300643,16643000000.0,45619000000.0,2635000000.0,58039000000.0,2798000000.0,1739000000.0,8244000000.0,55.515840779853775,31.02878138395591,149.33864053888547,1.6211589113257243,2.9005328596802844,0.6026571534014024,-0.0491990604566519,2.0210815765352885,2023-03-28,-0.66,amc,3718630000.0,2025-04-24,2023-03-02,1.8939393939393936,64.2783870967742,18515209.080645163
2022-12-01,MU,USD,723125,2022-12-22,2022-12-22 12:38:24,2023,Q1,4085000000.0,3192000000.0,893000000.0,0.2186046512,849000000,0.0,0.0,251000000.0,-11000000.0,1089000000.0,4281000000.0,88000000.0,51000000.0,1921000000.0,1796000000.0,0.4396572827,-112000000.0,-0.0274173807,20000000.0,-176000000.0,-0.0430844553,8000000.0,-184000000.0,-0.0450428397,-0.17,-0.17,1090000000,1090000000,https://www.sec.gov/Archives/edgar/data/723125/000072312522000072/0000723125-22-000072-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312522000072/mu-20221201.htm,3.7477064220183487,-0.1688073394495413,0.865137614678899,-1.381651376146789,9.707339449541283,45.2348623853211,43.71559633027523,45.2348623853211,10.037614678899082,60484100000.0,61800100000.0,-82.17948369565217,14.806389228886168,64.14008483563097,-40.16208499335989,1.226708716991847,1.226708716991847,15.128543451652387,34.40985523385301,65.5356309650053,-41.0359229747676,-0.003042121813832,-0.0248991057153863,0.2208656147324869,0.1604443527713115,0.732739420935412,3.5127969348659005,-2.196078431372549,-4.835897435897436,0.0020831921116458,-0.6847826086956522,0.0,0.2078335373317013,0.0243981495123316,2.5970307529162246,0.5995104039167687,1.2748568453930245,0.0357405140758873,,-0.0019032982622059,-0.0027787006554109,-1.210091743119266,16396000000.0,47650000000.0,4353000000.0,58080000000.0,4224000000.0,1965500000.0,7511000000.0,73.1015911872705,50.44172932330827,235.68609022556396,1.231163351416516,1.7842370039128004,0.381863859313315,-0.0037317973471788,2.246788990825688,2022-12-21,-0.01358,amc,4133514968.0,2025-04-24,2022-12-01,1.9455081001472752,58.598225806451616,15380238.967741936
