date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,NFLX,USD,1065280,2025-04-18,2025-04-18 16:02:54,2025,Q1,10542801000.0,5263147000.0,5279654000.0,0.5007828565,822823000,421462000.0,688370000.0,1109832000.0,0.0,1932655000.0,7195802000.0,50899000.0,184172000.0,3903179000.0,7301077000.0,0.6925177664,3346999000.0,0.3174677204,-133273000.0,3213726000.0,0.3048265826,323375000.0,2890351000.0,0.2741539938,6.76,6.61,427270000,436962000,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000176/0001065280-25-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000176/nflx-20250331.htm,24.674798137009383,6.7646944554965245,6.527954220984389,6.227729538699183,19.59180377747092,56.23627448685843,-18.753401830224448,56.23627448685843,35.577246237741946,398442093100.0,406259163100.0,34.46312343206759,37.79281171104339,142.85179834784108,149.73835877188432,16.582357357579195,16.582357357579195,38.534272163536045,55.64373079478548,145.65442017582825,152.67608862642348,0.0072541306504847,0.0066783154844339,0.6249738795116861,0.2883009644283393,1.0706735458344023,1.2036434769536388,18.17322394283605,0.9650035583913512,0.0,0.0,0.0399762833425386,0.0780459576160073,0.6151331974239419,0.045990623114378,0.0121672599150832,0.032864749477285,0.0068271230766852,92.51744332788394,0.0693997289731175,0.1441801324450455,-43.53825801015751,1979113000.0,-8012766000.0,-16361939000.0,35664298000.0,1718145000.0,757199000.0,0.0,12.360921921982593,10.507783651112158,0.0,7.281010313635629,8.565079277253131,0.0,0.1202905867649062,0.3002246822852061,2025-04-17,5.67,amc,10506867221.0,2025-05-11,2025-03-31,0.1657848324514992,951.0696466666668,4568113.366666666
2024-12-31,NFLX,USD,1065280,2025-01-27,2025-01-27 16:01:56,2024,Q4,10246513000.0,5767364000.0,4479149000.0,0.4371388588,776505000,453674000.0,976204000.0,1429878000.0,0.0,2206383000.0,7973747000.0,0.0,192603000.0,4241040000.0,6182705000.0,0.6033960041,2272766000.0,0.2218087265,-138498000.0,2134268000.0,0.2082921283,265661000.0,1868607000.0,0.1823651617,4.37,4.27,427716000,437786000,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/0001065280-25-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,23.95634720234922,4.368803131049575,3.593258143253935,3.222278334221773,22.40678160274575,57.85045918319633,-18.02339636581283,57.85045918319633,36.88290127093679,381231825120.0,389009896120.0,51.00481603675894,37.20600609397558,248.0534279657543,276.6117347883502,15.40731072120685,15.40731072120685,37.96510052932154,62.91904532401271,253.1143306695192,282.2552974996735,0.0049014979256042,0.0036151756206769,0.6297719322359626,0.2905593013392,1.258036894854275,1.2180280603231866,11.800262716572432,0.8224811316665303,0.0,0.0,0.044275940507761,0.0757823661571502,0.6051134754346483,0.1032432945928606,0.0154856583893466,0.0374139362043272,0.0060339551611362,75.40947229807793,0.0445564514707838,0.0882337692214416,-41.64408158684735,2344979000.0,-7708895000.0,-15786428000.0,36391197000.0,1602981500.0,770931000.0,0.0,17.464220266933737,14.043124380566232,0.0,5.153393545453814,6.4088302261673125,0.0,0.0755189015391354,0.3709798090321615,2025-01-21,4.21,amc,10108143048.0,2025-04-25,2024-12-31,0.0142517814726839,823.0753125,3230320.78125
2024-09-30,NFLX,USD,1065280,2024-10-18,2024-10-18 16:01:49,2024,Q3,9824703000.0,5119884000.0,4704819000.0,0.4788764607,735063000,417353000.0,642926000.0,1060279000.0,0.0,1795342000.0,6915226000.0,0.0,206523000.0,3780435000.0,6668219000.0,0.6787196519,2909477000.0,0.2961389265,-206523000.0,2702954000.0,0.2751181384,339445000.0,2363509000.0,0.2405679846,5.52,5.4,428239000,437898000,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000287/0001065280-24-000287-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000287/nflx-20240930.htm,22.94210242411364,5.519135342647447,5.420106529297892,5.1238630764596405,21.539203575573453,53.056204596031655,-22.07796580881237,53.056204596031655,37.80097328828061,303737075530.0,312261378530.0,32.127768027327164,30.91564961607491,130.85905160094282,138.42485433667633,13.368276253462916,13.368276253462916,31.783289380859657,46.82830280919088,134.5315772687186,142.3097123147079,0.0077814306859834,0.0072241361913793,0.703380735553637,0.3056764409457325,1.2783477867178628,1.1328062264327514,14.087907884351864,0.9820571870045768,0.0,0.0,0.0424799609718482,0.0748178341879647,0.6154217131285576,0.0546563893600493,0.0129126549677888,0.033557778403808,0.0066821358365743,81.16987380479026,0.058626328936621,0.1175497210797205,-45.35770154049491,1421973000.0,-9454646000.0,-17432009000.0,37380025000.0,1247009000.0,620255000.0,0.0,11.154465432695522,11.284585744520774,0.0,8.068517540625084,7.975481071044141,0.0,0.1040243150573995,0.2962434528382515,2024-10-17,5.12,amc,9770546352.0,2025-04-25,2024-09-30,0.0546875,668.77328125,3146027.578125
2024-06-30,NFLX,USD,1065280,2024-07-19,2024-07-19 16:04:45,2024,Q2,9526009000.0,5174216000.0,4351793000.0,0.4568327618,711254000,426992000.0,644084000.0,1071076000.0,0.0,1782330000.0,6956546000.0,79005000.0,167986000.0,3850917000.0,6532759000.0,0.6857813172,2569463000.0,0.2697313219,-88981000.0,2513856000.0,0.263893935,366550000.0,2147306000.0,0.2254150715,4.99,4.88,430065000,439739000,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000200/0001065280-24-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000200/nflx-20240630.htm,22.150161022171066,4.992980130910444,3.001516049899434,2.819480776161743,15.481113320079524,51.41709509027705,-22.821345610547244,51.41709509027705,38.813156150814415,289696084650.0,299856519650.0,33.72785302257806,30.41106560470392,224.42325438258752,238.91278340865605,13.10089570049202,13.10089570049202,31.477664953917216,45.900441092347045,232.2943924802862,247.29210896780364,0.0074122713898404,0.0041856278501829,0.7472718949247837,0.3365492033985693,1.5553053464853055,0.9482794820788444,15.295697260485992,0.6011472049162998,0.0,0.0,0.0448238081656231,0.0746644266239933,0.6502662636297619,0.0606477762275467,0.0082182370392469,0.0203294436104439,0.0072187628628106,76.00198694070399,0.053303082346285,0.1250502866953109,-45.04213956029903,-524446000.0,-9814662000.0,-17370649000.0,35137128000.0,1252525000.0,602952500.0,0.0,12.058807628672197,10.4112642379058,0.0,7.463424475402297,8.64448331570761,0.0,0.0971073943820411,0.1820352737376908,2024-07-18,4.74,amc,9527231650.0,2025-04-25,2024-06-30,0.0295358649789028,624.5544444444445,3449035.9523809524
2024-03-31,NFLX,USD,1065280,2024-04-22,2024-04-22 16:01:53,2024,Q1,9381681000.0,4977267000.0,4404414000.0,0.4694695972,702473000,404020000.0,654340000.0,1058360000.0,0.0,1760833000.0,6738100000.0,155359000.0,173314000.0,3758039000.0,6545932000.0,0.6977355124,2643581000.0,0.2817811648,-17955000.0,2614579000.0,0.2786898212,282370000.0,2332209000.0,0.2485918035,5.4,5.28,432090000,441654000,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000128/0001065280-24-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000128/nflx-20240331.htm,21.71233076442408,5.397507463722835,5.120511930384874,4.945284547200815,16.310095119072415,49.446666203800135,-23.829965979309865,49.446666203800135,38.61445532180796,265437207900.0,275203313900.0,28.45341132591461,28.29313935317135,119.97042646355604,124.22136565381632,12.423688939271466,12.423688939271466,29.33411548527391,42.04188401284951,124.38444178182183,128.79178377280505,0.0087862926921632,0.0080501449548286,0.772819524642869,0.3381604887928314,1.4919351438420074,1.0680462088462357,15.253130156825184,0.94868084292617,0.0,0.0,0.0430647769839967,0.0748770929218335,0.6484451731834873,0.0342206766757573,0.0080704087039412,0.0201472097548748,0.0081376674393426,77.4919148850544,0.0578881771909852,0.1358651108515095,-45.11412842231943,632096000.0,-10296690000.0,-17540998000.0,35954689000.0,1535372500.0,677380000.0,0.0,11.78703368831236,10.98219565074568,0.0,7.63550884640646,8.19508255563532,0.0,0.1091581673368308,0.1752273831840588,2024-04-18,4.52,amc,9276844271.0,2025-04-25,2024-03-31,0.1681415929203541,563.8167213114754,4552945.049180328
2023-12-31,NFLX,USD,1065280,2024-01-26,2024-01-26 16:01:56,2023,Q4,8832825000.0,5307485000.0,3525340000.0,0.3991180625,673341000,439273000.0,916617000.0,1355890000.0,0.0,2029231000.0,7336716000.0,0.0,95959000.0,3840646000.0,5164008000.0,0.5846383235,1496109000.0,0.1693805776,-347959000.0,1148150000.0,0.1299867257,210312000.0,937838000.0,0.1061764498,2.15,2.11,435923000,444292000,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/0001065280-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm,20.26235137856915,2.1513845335070645,3.814926030514563,3.627663601140569,16.374189937213682,47.22924232031803,-25.393803492818687,47.22924232031803,33.582123448407174,212242190240.0,219668538240.0,56.57751931570271,24.028800552484626,127.6250171315455,134.21310615651373,10.308867474474477,10.308867474474477,24.869567577756836,42.5383806996426,132.09061273086095,138.90921879722927,0.0044187161795659,0.0074508371696117,0.7063842967609828,0.2984335423842308,1.4380976946588773,1.119345353136986,15.591127460686335,1.7732422870474431,0.0,0.0,0.0497318807969137,0.0762316699357227,0.6496359927170635,0.0490867785839445,0.0092418903351985,0.0212547576631639,0.0093423112084752,47.81407619924037,0.0295849978225474,0.0549280493964602,-45.01770381466452,1057478000.0,-11069743000.0,-18225546000.0,36283877000.0,1491014000.0,640920500.0,0.0,18.76917747153374,12.67400284692279,0.0,4.795095583517096,7.101150369541832,0.0,0.0455519595024614,0.1872624293739949,2024-01-23,2.22,amc,8718570000.0,2025-04-25,2023-12-31,-0.0495495495495496,436.5371428571429,5016412.746031746
2023-09-30,NFLX,USD,1065280,2023-10-20,2023-10-20 16:01:48,2023,Q3,8541668000.0,4930788000.0,3610880000.0,0.4227371047,657159000,478591000.0,558736000.0,1037327000.0,0.0,1694486000.0,6625274000.0,168218000.0,175563000.0,3664013000.0,5748625000.0,0.673009651,1916394000.0,0.2243582869,-7345000.0,1909049000.0,0.2234983846,231627000.0,1677422000.0,0.1963810815,3.8,3.73,441537000,450011000,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000273/0001065280-23-000273-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000273/nflx-20230930.htm,19.345305149964783,3.799051948081362,4.512226608415602,4.276846560990359,17.818316471779262,50.06970423769695,-21.837884480802288,50.06970423769695,32.78531810471149,166724371200.0,173671494200.0,24.84830460075044,19.51894772777401,83.68374037238088,88.28934931735355,7.541486528608431,7.541486528608431,20.33226931788967,30.21096248233273,87.17070051673555,91.96821740894076,0.0100610485913171,0.0113263944941481,0.6468522379177105,0.2888858999956082,1.2084842897214552,1.2927015879419357,10.91570547324892,1.1877243770500208,0.0,0.0,0.0560301571074876,0.0769356757954067,0.6413881915290894,0.0521649437965381,0.0121672956616904,0.0283648011074196,0.0093330717138619,65.42088097115328,0.040514128109651,0.0944924001199869,-42.28803588374248,2440756000.0,-9642234000.0,-16614685000.0,37813509000.0,1179150000.0,574901500.0,0.0,12.0114314908985,9.754751167561858,0.0,7.492862117907952,9.226273274841,0.0,0.0758752624150932,0.2353800474252441,2023-10-18,3.49,amc,8541300000.0,2025-04-25,2023-09-30,0.0687679083094555,423.9103174603175,5975111.015873016
2023-06-30,NFLX,USD,1065280,2023-07-21,2023-07-21 16:02:00,2023,Q2,8187301000.0,4673470000.0,3513831000.0,0.4291806299,657983000,401497000.0,627168000.0,1028665000.0,0.0,1686648000.0,6360118000.0,26961000.0,174812000.0,3499406000.0,5353550000.0,0.6538845952,1827183000.0,0.2231728136,-147851000.0,1679332000.0,0.2051142373,191722000.0,1487610000.0,0.1816972406,3.35,3.29,443881000,451572000,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000198/0001065280-23-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000198/nflx-20230630.htm,18.444810658712584,3.3513712008398646,3.24463538651125,3.0171600045958265,19.322721630346877,51.43769388642451,-21.826928839035688,51.43769388642451,32.99161261689507,195525141690.0,202331891690.0,32.85893844656866,23.881513784579315,135.7594760358053,145.99490889745084,8.563564318661156,8.563564318661156,24.7128927701571,37.79396693595838,140.48562432302575,151.07737981422576,0.0076082798720512,0.0068495539163109,0.6337334332214374,0.284735488519864,1.271446049817411,1.3262557192099178,10.452274443402056,0.9681515988733608,0.0,0.0,0.0490389934362984,0.0803662892081285,0.6399526005553248,0.070108149242622,0.0123327577671811,0.0288540397998974,0.00953061332422,62.27923517026399,0.0377134347588915,0.0813048299040171,-41.66550156460853,2830531000.0,-9688559000.0,-16478922000.0,39011005000.0,1121917500.0,603680500.0,0.0,13.39261131354521,11.850650587251014,0.0,6.720123349579669,7.594519755465781,0.0,0.0651539940386861,0.2274753819154232,2023-07-19,2.86,amc,8295360000.0,2025-04-25,2023-06-30,0.1503496503496504,368.3204838709677,6784462.145161291
2023-03-31,NFLX,USD,1065280,2023-04-21,2023-04-21 16:02:01,2023,Q1,8161503000.0,4803625000.0,3357878000.0,0.4114288753,687275000,400924000.0,555362000.0,956286000.0,0.0,1643561000.0,6447186000.0,138443000.0,245443000.0,3550319000.0,5264636000.0,0.6450571666,1714317000.0,0.2100491784,-245443000.0,1468874000.0,0.1799759187,163754000.0,1305120000.0,0.1599117221,2.93,2.88,445244000,452417000,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000120/0001065280-23-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000120/nflx-20230331.htm,18.33040535077396,2.93124668720971,4.893361842046159,4.754069678648112,17.580257117445715,49.0252445849916,-23.629713146050257,49.0252445849916,32.97646009828319,153822897120.0,161545431120.0,29.46527850312615,18.847373715356103,70.60176850840395,72.6703694629571,7.0469816708627695,7.0469816708627695,19.793588401548096,30.685014333374617,74.1462639507238,76.31871707230192,0.008484562600468,0.0137607666974878,0.6613981292819617,0.2917160508782066,1.4668695043683933,1.260526065797907,6.984582978532694,1.6693790609292631,0.0,0.0,0.0491237949676671,0.0842093668286343,0.6536463627400455,0.0284655351258066,0.0075989679842058,0.0174685711340304,0.0121422487990263,56.862680468269815,0.0366387874455034,0.076139533372331,-42.820370965133726,2166553000.0,-10520988000.0,-17179526000.0,38103851000.0,1007203500.0,631750000.0,0.0,11.308678070693595,11.09137994743553,0.0,7.95848988161001,8.11440960696772,0.0,0.0597905571307862,0.1392921633980469,2023-04-18,2.86,amc,8173790000.0,2025-04-25,2023-03-31,0.006993006993007,330.9340322580645,7859447.70967742
2022-12-31,NFLX,USD,1065280,2023-01-26,2023-01-26 16:03:50,2022,Q4,7852053000.0,5404160000.0,2447893000.0,0.3117519711,673926000,392453000.0,831610000.0,1224063000.0,0.0,1897989000.0,7302149000.0,0.0,510568000.0,4038214000.0,4588118000.0,0.5843208139,549904000.0,0.0700331493,-510568000.0,39336000.0,0.0050096452,-15948000.0,55284000.0,0.0070407064,0.12,0.12,445200000,451649000,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/0001065280-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/nflx-20221231.htm,17.637136118598384,0.124177897574124,0.9969856244384546,0.7463274932614555,13.608382749326143,46.669813566936206,-26.862785265049418,46.669813566936206,33.38644204851752,131280576000.0,140486476000.0,593.6644237030605,16.719267687062224,295.7715665821051,395.1080492980001,6.318431068447878,6.318431068447878,17.891687180410017,30.6196300966976,316.5122088595902,422.81454862835386,0.000421113326011,0.0025309532462746,0.6908022808049957,0.2953625789508862,2.0064653960512784,1.168390288506809,1.0770436063364723,8.028688228058751,0.0,0.0,0.0499809412901313,0.085827999377997,0.6736674409063955,0.2514159934032956,0.0142119519570232,0.0276342462286545,0.0195858331572647,11.419088619529385,0.0190058914789834,0.0034861778446347,-47.20853885893981,1335499000.0,-11959312000.0,-18550894000.0,37697591000.0,931970000.0,615834500.0,0.0,11.334719722345229,11.183268074964472,0.0,7.940205157660345,8.047736976052585,0.0,0.0026607755224053,0.2506581311769991,2023-01-19,0.45,amc,7861576156.0,2025-04-25,2022-12-31,-0.7333333333333334,280.4940476190476,11330174.746031746
