date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-28,NKE,USD,320187,2025-04-03,2025-04-03 16:23:02,2025,Q3,11269000000.0,6594000000.0,4675000000.0,0.4148549117,0,2799000000.0,1088000000.0,3887000000.0,0.0,3887000000.0,10481000000.0,0.0,-18000000.0,-368000000.0,458000000.0,0.0406424705,788000000.0,0.0699263466,56000000.0,844000000.0,0.0748957317,50000000.0,794000000.0,0.0704587807,0.54,0.54,1487600000,1491000000,https://www.sec.gov/Archives/edgar/data/320187/000032018725000016/0000320187-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018725000016/nke-20250228.htm,7.575289056197903,0.5337456305458457,1.2046248991664426,1.1501747781661738,6.986421080935735,9.415837590750202,9.081070180155956,9.415837590750202,7.994756655014789,118160068000.00002,121470068000.00002,37.2040516372796,10.48540846570237,65.93753794642858,69.05906954997079,8.435786963661027,8.435786963661027,10.779134617091136,265.2184890829695,67.7846361607143,70.99361075394508,0.0067196982317241,0.0144803572726447,0.8503605340187049,0.3151641838435689,7.22707423580786,2.192729216786955,-43.77777777777778,2.256926952141058,0.0050270790297784,0.7481108312342569,0.2483805129115271,0.0,0.0131770433678194,0.0452008928571428,0.0071878605022628,0.2066326530612245,0.0320347856952702,10.63378572615724,0.0264303171543434,0.0212897171202574,-4.204927399838667,13386000000.0,13509000000.0,823000000.0,21215000000.0,4896500000.0,3180500000.0,7760000000.0,35.8674239062916,42.39308462238398,102.89808917197452,2.509240703629481,2.1229877656149387,0.8746518105849582,0.0566859427429142,0.0544501210002688,2025-03-20,0.3007,amc,11018488493.0,2025-05-11,2025-02-28,0.7958097771865646,,
2024-11-30,NKE,USD,320187,2024-12-19,2024-12-19 16:15:58,2025,Q2,12354000000.0,6965000000.0,5389000000.0,0.4362149911,0,2883000000.0,1122000000.0,4005000000.0,0.0,4005000000.0,10970000000.0,0.0,-67000000.0,184000000.0,1165000000.0,0.0943014408,1384000000.0,0.1120284928,32000000.0,1416000000.0,0.114618747,253000000.0,1163000000.0,0.0941395499,0.78,0.78,1486800000,1490000000,https://www.sec.gov/Archives/edgar/data/320187/000032018725000004/0000320187-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018725000004/nke-20241130.htm,8.3091202582728,0.7822168415388754,0.7055421038471886,0.6187785848802798,6.565106268496099,9.441081517352703,9.105461393596986,9.441081517352703,8.069679849340867,117115236000.0,121201236000.0,25.175244196044712,9.479944633317144,111.64464823641562,127.2991695652174,8.343323787134002,8.343323787134002,9.810687712481789,104.03539570815452,115.53978646329838,131.74047391304347,0.0099303902696315,0.0078555107893903,0.8595141411982617,0.3178429357991517,3.507296137339056,2.2212342166103505,-20.65671641791045,0.9019776440240757,0.0047559994670548,0.4789337919174548,0.2333657115104419,0.0,0.0131457625332595,0.1229742612011439,0.0104419621175327,0.0,0.0,12.890379812764648,0.0402477610071272,0.0310464495461825,-4.165994081248319,13734000000.0,13538000000.0,1058000000.0,21826000000.0,5033000000.0,3306000000.0,8117000000.0,38.62554638173871,42.06030150753769,103.12849964106243,2.3300641267446247,2.139784946236559,0.8726976569352212,0.0828524613521407,0.0867635189669088,2024-12-19,0.65,amc,12129917497.0,2025-04-25,2024-11-30,0.2,57.23571428571428,23991867.67857143
2024-08-31,NKE,USD,320187,2024-10-07,2024-10-07 16:20:15,2025,Q1,11589000000.0,6332000000.0,5257000000.0,0.4536198119,0,2822000000.0,1226000000.0,4048000000.0,0.0,4048000000.0,10380000000.0,0.0,0.0,184000000.0,1393000000.0,0.1202001898,1209000000.0,0.104323065,98000000.0,1307000000.0,0.1127793597,256000000.0,1051000000.0,0.0906894469,0.7,0.7,1497700000,1502000000,https://www.sec.gov/Archives/edgar/data/320187/000032018724000065/0000320187-24-000065-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018724000065/nke-20240831.htm,7.737864725913067,0.7017426720972157,0.263070040729118,0.1829471856847165,6.873205581892234,9.310275756159443,8.977098217266475,9.310275756159443,8.096414502236764,124788363999.99998,128429363999.99998,29.683245480494765,10.767828458020537,316.7217360406091,455.4319854014598,8.949251577739528,8.949251577739528,11.082005695055654,92.19624120603014,325.9628527918781,468.720306569343,0.0084222596267068,0.0021957175430234,0.8696213425129088,0.3202260543481131,2.6137832017229004,2.3560406473466315,0.0,0.3748810656517602,0.0044715707627996,0.5309229305423406,0.243506773664682,0.0,0.0131777009005202,0.3045685279187817,0.0103546466476831,0.6521739130434783,0.0157908361377168,12.124434016048264,0.0338248939979812,0.0281256690216227,-3.9590705748814847,14412000000.0,13445000000.0,1117000000.0,22651000000.0,4595500000.0,3104000000.0,7886000000.0,36.99715247217189,47.71478205938092,117.30416929879976,2.432619647355164,1.886207923741436,0.7672361565491337,0.0753729202524383,0.0801228550444014,2024-10-01,0.52,amc,11643298684.0,2025-04-25,2024-08-31,0.346153846153846,73.60783333333333,14860469.516666668
2024-05-31,NKE,USD,320187,2024-07-25,2024-07-25 16:16:58,2024,Q4,12606000000.0,6972000000.0,5634000000.0,0.4469300333,0,2958000000.0,1091000000.0,4049000000.0,101000000.0,3961000000.0,10933000000.0,53000000.0,0.0,204000000.0,1750000000.0,0.1388227828,1585000000.0,0.1257337776,235000000.0,1726000000.0,0.1369189275,226000000.0,1500000000.0,0.1189909567,0.99,0.99,1515151515,1516700000,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/0000320187-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,8.319960000831996,0.990000000099,1.728540000172854,1.587960000158796,7.644120000764412,9.52380000095238,9.194460000919443,9.52380000095238,7.888320000788832,144015151500.75,146107151500.75,24.002525250125,11.424333769693003,54.98860309306988,59.85667144669576,9.980259979261954,9.980259979261954,11.590286490619546,83.48980085757142,55.78738125267277,60.7261643810266,0.0104155707532772,0.0167065754882566,0.8282744282744283,0.3136184728417738,1.1954285714285715,2.3961106391012934,0.0,1.746,0.0038884797478901,0.3733333333333333,0.2346501665873393,0.0,0.0130936762004723,0.0813287514318442,0.0168967158495954,1.0289855072463767,0.0147548786292241,14.565117405720716,0.0474987014024853,0.0398819494296881,-3.3120450003312043,14789000000.0,13931000000.0,1702000000.0,23006000000.0,4476500000.0,2595500000.0,7622500000.0,31.60637791527844,36.80292598967298,97.06110154905336,2.8475265416760784,2.445457734128376,0.927250964223966,0.1039501039501039,0.140580000014058,2024-06-27,0.83,amc,12860517405.0,2025-04-25,2024-05-31,0.2168674698795181,78.5515625,11755101.3125
2024-02-29,NKE,USD,320187,2024-04-04,2024-04-04 16:16:10,2024,Q3,12429000000.0,6867000000.0,5562000000.0,0.4475018103,0,3215000000.0,1011000000.0,4226000000.0,16000000.0,4210000000.0,11077000000.0,52000000.0,0.0,270000000.0,1606000000.0,0.1292139352,1336000000.0,0.1074905463,68000000.0,1404000000.0,0.112961622,232000000.0,1172000000.0,0.094295599,0.77,0.77,1522077922,1526500000,https://www.sec.gov/Archives/edgar/data/320187/000032018724000019/0000320187-24-000019-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018724000019/nke-20240229.htm,8.165810580622823,0.7700000000394198,1.3527559727654994,1.2601194539894258,6.946424915031387,9.346433447577462,9.018592150632353,9.346433447577462,7.950315700065715,158189558433.46002,161330558433.46002,33.74350649177901,12.727456628325692,76.82834309541526,82.47630783809177,11.119749643853508,11.119749643853508,12.980172051931774,100.45489317151932,78.3538409098883,84.11395121661107,0.007408832868656,0.0121246940632101,0.8506256150709968,0.323937252382482,1.955790784557908,2.741499612360173,0.0,1.756825938566553,0.003552699720294,0.4795221843003412,0.2586692412905302,0.0,0.0133579612378198,0.0684798445847498,0.0113444363987448,0.6811594202898551,0.0173787110789283,12.725052435552842,0.0387140787737864,0.0317985728626855,-3.48175341314753,15724000000.0,13727000000.0,1623000000.0,24161000000.0,4654000000.0,2524500000.0,7852500000.0,32.77335264301231,30.668414154652687,101.25819134993446,2.746133451171012,2.9346153846153844,0.8888169816205022,0.0823843666526079,0.0926365187760735,2024-03-21,0.74,amc,12279541228.0,2025-04-25,2024-02-29,0.3243243243243243,78.425,14104469.90625
2023-11-30,NKE,USD,320187,2024-01-05,2024-01-05 16:17:45,2024,Q2,13388000000.0,7417000000.0,5971000000.0,0.4459964147,0,3032000000.0,1114000000.0,4146000000.0,75000000.0,4071000000.0,11488000000.0,92000000.0,0.0,184000000.0,2009000000.0,0.150059755,1825000000.0,0.136316104,97000000.0,1922000000.0,0.1435613983,344000000.0,1578000000.0,0.1178667463,1.04,1.03,1532038834,1532100000,https://www.sec.gov/Archives/edgar/data/320187/000032018724000004/0000320187-24-000004-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018724000004/nke-20231130.htm,8.738681881219208,1.0300000006396706,1.838726236883366,1.7049176182958297,6.47960076448036,9.23344740750873,8.874448674712902,9.23344740750873,7.948231944099662,168937922225.18,173195922225.18,26.764563090174267,12.61860787460263,59.97086340971955,64.67761187794028,11.942451733718366,11.942451733718366,12.93665388595608,86.21001604040816,61.48240050592119,66.30778033123276,0.0093407091742057,0.0154613006102823,0.8608087091757387,0.3273123135231029,2.119462419113987,2.737081897988665,0.0,1.785171102661597,0.0030958117225029,0.3314321926489227,0.22647146698536,0.0,0.0147837539983334,0.0727724529641462,0.0153122198984164,1.1141304347826086,0.0153869136540185,14.628231055117636,0.0522696254170807,0.0430524104438927,-3.625234476269157,15632000000.0,13596000000.0,1574000000.0,24278000000.0,4765500000.0,2723500000.0,8338500000.0,32.14669853600239,32.87178104354861,96.81946878791965,2.7996654119615223,2.7379106681432264,0.9295651084095752,0.1115509684716527,0.1338086185875364,2023-12-21,0.85,amc,12323500000.0,2025-04-25,2023-11-30,0.211764705882353,92.93650793650794,11149270.174603175
2023-08-31,NKE,USD,320187,2023-10-06,2023-10-06 16:22:11,2024,Q1,12939000000.0,7219000000.0,5720000000.0,0.4420743489,0,3047000000.0,1069000000.0,4116000000.0,10000000.0,4106000000.0,11325000000.0,99000000.0,0.0,186000000.0,1790000000.0,0.1383414483,1604000000.0,0.1239663034,44000000.0,1648000000.0,0.1273668753,198000000.0,1450000000.0,0.1120643017,0.95,0.94,1542553191,1543300000,https://www.sec.gov/Archives/edgar/data/320187/000032018723000052/0000320187-23-000052-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018723000052/nke-20230831.htm,8.388041381971378,0.9400000002982069,-0.0427862069101252,-0.2068000000656055,5.698344829393958,9.057062071838793,8.698565520000924,9.057062071838793,7.894055174918115,156893085056.61,162892085056.61,27.05053190631207,12.125595877317412,-2377.1679554031816,-491.8278528420376,11.229910890888982,11.229910890888982,12.589232943551275,91.00116483609496,-2468.061894797121,-510.6334954752664,0.0092419624451696,-0.0020332317379373,0.871591153102856,0.3310226716685696,3.351396648044693,2.866091478548635,0.0,-0.0455172413793103,0.0033398540146682,0.3613793103448275,0.2354896050699435,0.0,0.0150328929484042,-3.8333333333333335,0.0195532885076126,1.324607329842932,0.0151480021640003,13.840406889978352,0.049060919410658,0.0400187674219634,-3.963720690912629,15789000000.0,13418000000.0,1435000000.0,24390000000.0,4440000000.0,2800000000.0,8576000000.0,33.03269186181313,34.13492173431224,108.43884194486772,2.724573594440935,2.6365960555149743,0.8299609105541503,0.1037864147161978,0.1640137931554802,2023-09-28,0.75,amc,12985800000.0,2025-04-25,2023-08-31,0.2533333333333332,101.72311475409836,9428989.032786883
2023-05-31,NKE,USD,320187,2023-07-20,2023-07-20 16:20:36,2023,Q4,12825000000.0,7230000000.0,5595000000.0,0.4362573099,0,3282000000.0,1092000000.0,4374000000.0,-3000000.0,4374000000.0,11604000000.0,101000000.0,0.0,236000000.0,1457000000.0,0.1136062378,985000000.0,0.0768031189,-598000000.0,1246000000.0,0.0971539961,215000000.0,1031000000.0,0.0803898635,0.67,0.66,1536500000,1556300000,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,8.346892287666774,0.671005532053368,1.4663195574357306,1.29124633908233,6.947608200455581,9.114220631304914,8.753010087862025,9.114220631304914,7.903677188415229,161731990000.0,166434990000.0,39.21726236663434,12.610681481481482,71.78517088326676,81.51814012096774,11.548985289917168,11.548985289917168,12.977387134502925,114.23129032258063,73.87260985352863,83.88860383064517,0.0063747437968209,0.0122672082375292,0.8671808054841473,0.3235725133889318,3.22786547700755,2.7227744165946413,0.0,2.18525703200776,0.0032399279820893,0.5082444228903976,0.255906432748538,0.0,0.0147877754389704,0.1193963604083444,0.0209746588693957,1.1398305084745763,0.0155165692007797,11.730433940784632,0.0283925352041323,0.0278829511034184,-3.596973641392776,15946000000.0,13449000000.0,1675000000.0,24505000000.0,4322000000.0,2768500000.0,8679500000.0,28.989473684210527,35.62655601659751,105.23651452282158,3.104575163398693,2.526205450733753,0.8552164655784245,0.0736218223364753,0.1750732183534006,2023-06-29,0.67,amc,12590100000.0,2025-04-25,2023-05-31,-0.0149253731343283,107.45746031746032,8971311.952380951
2023-02-28,NKE,USD,320187,2023-04-06,2023-04-06 16:18:27,2023,Q3,12390000000.0,7019000000.0,5371000000.0,0.4334947538,0,2584000000.0,923000000.0,923000000.0,3036000000.0,3959000000.0,10978000000.0,83000000.0,0.0,144000000.0,1556000000.0,0.1255851493,1268000000.0,0.1023405973,65000000.0,1477000000.0,0.1192090395,237000000.0,1240000000.0,0.1000807103,0.8,0.79,1543800000,1564800000,https://www.sec.gov/Archives/edgar/data/320187/000032018723000013/0000320187-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018723000013/nke-20230228.htm,8.025650991061019,0.8032128514056225,1.4444876279310792,1.3149371680269466,6.997020339422205,9.412488664334758,9.051042881202228,9.412488664334758,8.139655395776655,183388002000.0,188999002000.0,36.9733875,14.801291525423729,82.23677219730942,90.3389172413793,12.620466726309273,12.620466726309273,15.254156739305891,121.46465424164523,84.75291569506726,93.1029566502463,0.0067616200976986,0.0110694264502647,0.8647718670428739,0.3281454013683605,3.6060411311053984,2.7267490573942186,0.0,1.7983870967741935,0.0028791414609555,0.4258064516129032,0.2085552865213882,0.0,0.0145714733378597,0.0896860986547085,0.0161420500403551,1.3888888888888888,0.0154963680387409,13.042439067341927,0.0358490056262592,0.0328598685605257,-3.3189208446689986,16487000000.0,13973000000.0,2272000000.0,24818000000.0,4975000000.0,2742500000.0,9115500000.0,32.78208232445521,34.299757800256444,114.18293204160136,2.7454021715045425,2.62392523364486,0.7882088714205503,0.0853348014589498,0.1295504599041326,2023-03-21,0.55,amc,12568800000.0,2025-04-25,2023-02-28,0.4363636363636363,102.86174603174604,7746800.53968254
2022-11-30,NKE,USD,320187,2023-01-05,2023-01-05 16:16:31,2023,Q2,13315000000.0,7604000000.0,5711000000.0,0.4289147578,0,3022000000.0,1102000000.0,4124000000.0,0.0,4124000000.0,11728000000.0,0.0,0.0,319000000.0,1906000000.0,0.1431468269,1587000000.0,0.1191888847,63000000.0,1650000000.0,0.1239203905,319000000.0,1331000000.0,0.0999624484,0.85,0.85,1565882352,1572400000,https://www.sec.gov/Archives/edgar/data/320187/000032018723000003/0000320187-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018723000003/nke-20221130.htm,8.503193093014692,0.8500000005108941,0.6392561987313335,0.4885424495798903,6.782757329396097,9.7529676993256,9.394703236300348,9.7529676993256,7.998685203906047,171761635190.88,177796635190.88,32.26176468649136,12.899859946742772,171.59004514573425,224.52501332141176,11.246833105741226,11.246833105741226,13.35310816304018,93.28259978535152,177.6190161747053,232.41390221030065,0.0077491111360278,0.0044538467461016,0.8201283394447355,0.3159129316215602,3.166316894018888,2.69114619080302,0.0,0.7520661157024794,0.0027945705073579,0.3606311044327573,0.2269620728501689,0.0,0.0141498726259237,0.2357642357642357,0.0177243710101389,0.7398119122257053,0.0145700337964701,13.657434142682645,0.0421375201606267,0.03405311364683,-3.2015495887011567,17248000000.0,14711000000.0,3072000000.0,25472000000.0,5198500000.0,3090500000.0,9494000000.0,36.75028163725122,33.258811152025245,110.3813782219884,2.4489608239838145,2.706049822064057,0.8153549217242119,0.0871529596647459,0.1507137491514432,2022-12-20,0.64,amc,12580589431.0,2025-04-25,2022-11-30,0.3281249999999999,116.94951612903226,7506382.580645162
