date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,NSC,USD,702165,2025-04-23,2025-04-23 14:09:17,2025,Q1,2993000000.0,1742000000.0,1251000000.0,0.4179752756,0,0.0,0.0,0.0,105000000.0,105000000.0,1847000000.0,0.0,199000000.0,346000000.0,1523000000.0,0.5088539926,1146000000.0,0.382893418,-168000000.0,978000000.0,0.3267624457,228000000.0,750000000.0,0.2505846976,3.31,3.31,226100000,226500000,https://www.sec.gov/Archives/edgar/data/702165/000070216525000013/0000702165-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216525000013/nsc-20250331.htm,13.2375055285272,3.3171163202122957,4.201680672268908,2.215833701901813,4.449358690844759,64.17956656346749,64.17956656346749,64.17956656346749,77.01901813356922,53551785000.0,69760785000.0,17.850595000000002,17.892343802205147,56.37029999999999,106.88979041916168,3.690426917510854,3.690426917510854,23.30798028733712,45.80484898227184,73.43240526315789,139.24308383233532,0.0140051354030495,0.0093554304492371,1.186341396182207,0.3930365296803653,10.642810242941565,0.7828985507246377,5.758793969849246,1.2666666666666666,0.0057140952444442,0.408,0.0,0.0,0.0,0.4726315789473684,0.1500167056465085,1.2976878612716762,0.0,69.21018330142003,0.0214847660635184,0.0171232876712328,-121.00729765590448,-749000000.0,14511000000.0,-26588000000.0,35054000000.0,1150000000.0,1215000000.0,138500000.0,37.01637153357835,74.65556831228473,0.0,2.4313566206336312,1.2055363321799308,0.0,0.0516849286747984,1.9858469703670945,2025-04-23,2.66,bmo,2970757705.0,2025-05-11,2025-03-31,0.0112781954887217,243.71166666666667,1222637.3
2024-12-31,NSC,USD,702165,2025-02-10,2025-02-10 09:24:07,2024,Q4,3024000000.0,1859000000.0,1165000000.0,0.3852513228,0,0.0,0.0,0.0,34000000.0,34000000.0,1893000000.0,0.0,199000000.0,342000000.0,1469000000.0,0.4857804233,1131000000.0,0.3740079365,-203000000.0,928000000.0,0.3068783069,195000000.0,733000000.0,0.2423941799,3.24,3.23,226200000,226500000,https://www.sec.gov/Archives/edgar/data/702165/000070216525000008/0000702165-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216525000008/nsc-20241231.htm,13.36870026525199,3.240495137046861,4.204244031830239,1.220159151193634,7.254641909814324,63.24491600353669,63.24491600353669,63.24491600353669,78.14765694076038,53089140000.0,68926140000.0,18.10680081855389,17.55593253968254,55.82454258675078,192.3519565217391,3.710970222284356,3.710970222284356,22.793035714285715,46.920449285228045,72.47753943217666,249.73239130434783,0.013806966923932,0.0051988033710849,1.2217251502865931,0.4001190421683989,10.780803267528931,0.8992947813822285,5.683417085427136,1.293877551020408,0.0057638906940289,0.417462482946794,0.0,0.0,0.0,0.7097791798107256,0.2232142857142857,1.973684210526316,0.0,67.90625127283167,0.0219101795305717,0.016780367199304,-118.45601237842617,-357000000.0,14306000000.0,-26188000000.0,35474000000.0,1185500000.0,1299500000.0,282500000.0,31.81547619047619,47.68692845615922,13.410435718128026,2.8288119738072965,1.8873096446700508,6.7111913357400725,0.051237243114777,2.9840848806366047,2025-01-29,2.94,bmo,3014891942.0,2025-04-29,2024-12-31,0.0340136054421769,254.25484375,1184608.203125
2024-09-30,NSC,USD,702165,2024-10-22,2024-10-22 16:07:22,2024,Q3,3051000000.0,1838000000.0,1213000000.0,0.3975745657,0,0.0,0.0,33000000.0,-383000000.0,-350000000.0,1455000000.0,0.0,203000000.0,339000000.0,1969000000.0,0.6453621763,1596000000.0,0.523107178,-169000000.0,1427000000.0,0.4677155031,328000000.0,1099000000.0,0.3602097673,4.86,4.85,226200000,226500000,https://www.sec.gov/Archives/edgar/data/702165/000070216524000035/0000702165-24-000035-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216524000035/nsc-20240930.htm,13.488063660477454,4.858532272325376,5.419982316534041,2.8514588859416445,4.310344827586207,60.94164456233422,60.94164456233422,60.94164456233422,76.93191865605658,56210700000.0,72434700000.0,12.786783439490446,18.42369714847591,45.84885807504078,87.14837209302326,4.077671381936888,4.077671381936888,23.741297935103244,36.78755713560183,59.08213703099511,112.30186046511628,0.019551437715595,0.0114746836456404,1.2476605005440695,0.3976187723962547,8.2397155916709,0.731574653249932,7.862068965517241,1.1155595996360328,0.0054260131967757,0.2775250227479527,0.0,0.0,0.0,0.4738988580750408,0.1904293674205178,1.7138643067846608,0.0,81.6208080319006,0.0306270368613707,0.0254074673448156,-121.01900972590629,-987000000.0,13785000000.0,-26780000000.0,34403000000.0,1245500000.0,1574500000.0,298000000.0,38.4070796460177,79.03155603917301,14.102285092491838,2.3433179723502304,1.1387856257744733,6.381944444444445,0.0797243380486035,2.5685234305923963,2024-10-22,3.11,bmo,3086107500.0,2025-04-25,2024-09-30,0.045016077170418,239.721875,1134507.265625
2024-06-30,NSC,USD,702165,2024-07-26,2024-07-26 07:24:28,2024,Q2,3044000000.0,1941000000.0,1103000000.0,0.3623521682,0,0.0,0.0,0.0,17000000.0,6000000.0,1941000000.0,0.0,204000000.0,335000000.0,1508000000.0,0.4954007884,1103000000.0,0.3623521682,-187000000.0,944000000.0,0.3101182654,207000000.0,737000000.0,0.2421156373,3.26,3.25,226000000,226400000,https://www.sec.gov/Archives/edgar/data/702165/000070216524000028/0000702165-24-000028-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216524000028/nsc-20240630.htm,13.469026548672566,3.2610619469026547,4.584070796460177,2.066371681415929,2.915929203539823,57.42920353982301,89.41150442477876,57.42920353982301,78.7433628318584,48377560000.0,65310560000.0,16.410298507462688,15.89275952693824,46.69648648648649,103.5922055674518,3.727371908467525,3.727371908467525,21.45550591327201,43.3093899204244,63.04108108108108,139.8513062098501,0.0152343359193808,0.0096532359217786,1.3554202943215965,0.4133652897222614,11.228779840848809,0.6283065175893101,5.40686274509804,1.4076086956521738,0.0063045759232172,0.4138398914518317,0.0,0.0,-0.1698388082146717,0.5492277992277992,0.1869250985545335,1.6985074626865673,0.0042706964520367,64.91382196308034,0.02177551544779,0.01480335837384,-123.33738938053098,-1363000000.0,20207000000.0,-27275000000.0,26689000000.0,1193500000.0,1520500000.0,289000000.0,35.15440210249671,71.17465224111282,14.28129829984544,2.56013456686291,1.2644951140065146,6.301948051948052,0.0567840357500577,2.517699115044248,2024-07-25,2.86,amc,3038651561.0,2025-04-25,2024-06-30,0.0699300699300699,232.0377777777778,1297156.349206349
2024-03-31,NSC,USD,702165,2024-04-24,2024-04-24 15:21:29,2024,Q1,3004000000.0,2791000000.0,213000000.0,0.0709054594,0,0.0,0.0,0.0,2791000000.0,2791000000.0,2791000000.0,0.0,201000000.0,337000000.0,567000000.0,0.1887483356,213000000.0,0.0709054594,-183000000.0,30000000.0,0.0099866844,-213000000.0,213000000.0,0.0709054594,0.94,0.94,225681254,226300000,https://www.sec.gov/Archives/edgar/data/702165/000070216524000009/0000702165-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216524000009/nsc-20240331.htm,13.310808703677267,0.9438090059531484,3.717632657252073,-6.026198347869868,2.889030384419966,55.5473694771299,87.44634146706753,55.5473694771299,78.80140545479244,56871676008.0,73802676008.0,66.75079343661972,18.93198269241012,67.78507271513706,-41.81740882941177,4.536668475430759,4.536668475430759,24.56813449001331,130.16344974955908,87.9650488772348,-54.26667353529412,0.0037452738331474,-0.0239134855074201,1.4026005105296746,0.4173708697303456,29.86067019400353,0.683492892370177,1.0597014925373134,16.134615384615383,0.0053629507939434,1.431924882629108,0.0,0.0,-0.1708839726547664,2.6209773539928487,0.7320239680426098,6.525222551928783,0.0063249001331557,34.34512222010937,0.0441422540616604,0.0043181219210574,-123.65448837855182,-1091000000.0,19735000000.0,-27236000000.0,26761000000.0,1172500000.0,1572000000.0,267000000.0,35.89214380825566,48.563238982443565,8.706556789681118,2.5075125208681137,1.8532536520584328,10.337037037037035,0.0169910657306955,9.74383100512194,2024-04-24,2.53,bmo,3017856206.0,2025-04-25,2024-03-31,-0.0158102766798417,247.41,1370760.1311475409
2023-12-31,NSC,USD,702165,2024-02-05,2024-02-05 16:49:27,2023,Q4,3073000000.0,933000000.0,2140000000.0,0.6963878946,0,0.0,0.0,0.0,6673000000.0,6673000000.0,7606000000.0,0.0,195000000.0,330000000.0,2203000000.0,0.7168890335,365000000.0,0.11877644,-157000000.0,651000000.0,0.2118451025,124000000.0,527000000.0,0.1714936544,2.34,2.33,225681254,226300000,https://www.sec.gov/Archives/edgar/data/702165/000070216524000005/0000702165-24-000005-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216524000005/nsc-20231231.htm,13.616549649267723,2.335151859799574,2.982081976556192,-0.7975850754533649,6.9478522128382005,56.632971385385865,88.64715010844454,56.632971385385865,78.72164694724711,53346534820.52,69349534820.51999,25.306705322827323,17.35975750749105,79.26676793539376,-296.36963789177776,4.17389365624912,4.17389365624912,22.56737221624471,31.47958911507943,103.04537120433876,-385.27519344733327,0.0098788047203637,-0.0033741648001242,1.3747750567248258,0.4218524920772112,7.264185201997276,1.2427811550151977,1.871794871794872,1.2770398481973435,0.0057173348002104,0.5787476280834914,0.0,0.0,-0.1734610582925189,1.2674591381872211,0.2775789131142206,2.584848484848485,0.0026033192320208,54.54858605200136,0.0075513350833445,0.0107821674816375,-116.58367513324788,639000000.0,20006000000.0,-25600000000.0,26740000000.0,1178500000.0,1568500000.0,283500000.0,33.592580540188735,158.0064308681672,25.466237942122188,2.679163034001744,0.5695970695970696,3.534090909090909,0.0412330803536499,3.779667052009557,2024-01-26,2.87,bmo,3079710000.0,2025-04-25,2023-12-31,-0.0139372822299651,209.56555555555556,1212163.4761904762
2023-09-30,NSC,USD,702165,2023-10-25,2023-10-25 13:43:38,2023,Q3,2971000000.0,1521000000.0,1450000000.0,0.4880511612,0,0.0,0.0,0.0,2215000000.0,2215000000.0,3736000000.0,182000000.0,182000000.0,326000000.0,1086000000.0,0.3655334904,756000000.0,0.2544597779,-142000000.0,614000000.0,0.2066644228,136000000.0,478000000.0,0.1608885897,2.11,2.1,226400000,227000000,https://www.sec.gov/Archives/edgar/data/702165/000070216523000037/0000702165-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216523000037/nsc-20230930.htm,13.12279151943463,2.1113074204946995,2.9151943462897525,0.4946996466431095,6.651943462897527,55.71996466431096,87.5530035335689,55.71996466431096,74.0547703180212,44584952000.0,59662952000.0,23.31848953974896,15.006715583978458,67.55295757575759,398.0799285714286,3.534280776852953,3.534280776852953,20.081774486704813,54.93826151012891,90.39841212121212,532.7049285714286,0.0107211060808139,0.0025120583285589,1.3146254458977409,0.4070792115663124,13.883977900552486,1.0782429649965684,4.153846153846154,1.3807531380753135,0.0068408731268792,0.6380753138075314,0.0,0.0,-0.1769066496477576,0.8303030303030303,0.1844496802423426,1.6809815950920246,0.003365870077415,51.44846386893295,0.0153949053431953,0.0099695490760438,-112.89310954063605,228000000.0,19822000000.0,-24982000000.0,25689000000.0,1149500000.0,1457500000.0,287500000.0,36.65432514304947,88.69822485207101,17.928994082840237,2.4553719008264463,1.0146764509673116,5.01980198019802,0.0378913991280221,2.420494699646643,2023-10-25,2.69,bmo,2947720000.0,2025-04-25,2023-09-30,-0.0148698884758364,216.15539682539685,1167200.634920635
2023-06-30,NSC,USD,702165,2023-07-27,2023-07-27 12:16:57,2023,Q2,2980000000.0,1783000000.0,1197000000.0,0.4016778523,0,0.0,0.0,0.0,57000000.0,205000000.0,1988000000.0,170000000.0,170000000.0,321000000.0,926000000.0,0.310738255,576000000.0,0.1932885906,-113000000.0,463000000.0,0.1553691275,107000000.0,356000000.0,0.1194630872,1.56,1.56,227500000,228000000,https://www.sec.gov/Archives/edgar/data/702165/000070216523000032/0000702165-23-000032-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216523000032/nsc-20230630.htm,13.0989010989011,1.5648351648351648,2.9582417582417584,0.6725274725274726,2.443956043956044,55.56043956043956,55.56043956043956,55.56043956043956,67.24835164835164,51587900000.0,66160900000.0,36.22745786516854,17.311375838926175,76.65364041604754,337.175816993464,4.081321202531646,4.081321202531646,22.201644295302017,71.44805615550756,98.3074294205052,432.424183006536,0.0069008430271439,0.0029658117504298,1.1969145569620254,0.3853442347367616,15.73758099352052,0.6801741460147355,3.388235294117647,1.8904494382022472,0.005970392281911,0.8651685393258427,0.0,0.0,0.0,0.7726597325408618,0.174496644295302,1.6199376947040498,0.0036912751677852,44.229129721849375,0.0120316633837997,0.0090675224777769,-110.38351648351647,-955000000.0,12640000000.0,-24590000000.0,31519000000.0,1129500000.0,1365500000.0,267000000.0,32.88926174496644,71.47504206393718,13.72966909702748,2.736455463728191,1.259180790960452,6.555147058823529,0.0281645569620253,2.2857142857142856,2023-07-27,3.15,bmo,3076240000.0,2025-04-25,2023-06-30,-0.0634920634920634,212.41967741935483,1430320.064516129
2023-03-31,NSC,USD,702165,2023-04-26,2023-04-26 12:45:22,2023,Q1,3132000000.0,1822000000.0,1310000000.0,0.4182630907,0,0.0,0.0,0.0,212000000.0,212000000.0,2034000000.0,175000000.0,175000000.0,321000000.0,1061000000.0,0.338761175,1154000000.0,0.3684546616,-119000000.0,592000000.0,0.1890166028,126000000.0,466000000.0,0.1487867178,2.04,2.04,227700000,228300000,https://www.sec.gov/Archives/edgar/data/702165/000070216523000017/0000702165-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216523000017/nsc-20230331.htm,13.754940711462451,2.04655248133509,5.151515151515151,3.271848924022837,2.4242424242424243,55.893719806763286,55.893719806763286,55.893719806763286,66.59200702678963,48272400000.0,62708400000.0,25.897210300429183,15.41264367816092,41.15294117647059,64.7951677852349,3.792912705272255,3.792912705272255,20.02183908045977,59.10311027332705,53.45984654731458,84.1723489932886,0.0096535494402598,0.0154332496416171,1.17765380686729,0.3826495442824683,13.606032045240338,0.7514164305949008,6.594285714285714,2.517167381974249,0.0063597417986261,0.6587982832618026,0.0,0.0,0.0,0.3648763853367434,0.1366538952745849,1.3333333333333333,0.0035121328224776,50.73225992044453,0.0247193081292896,0.0118971635732339,-109.27316644707948,-702000000.0,12727000000.0,-24320000000.0,31538000000.0,1159000000.0,1304000000.0,257500000.0,33.62068965517241,64.95609220636663,12.941822173435783,2.6769230769230767,1.385551330798479,6.954198473282442,0.0366150703229354,1.8796662274923144,2023-04-26,3.15,bmo,3109840000.0,2025-04-25,2023-03-31,0.0539682539682539,231.3548387096774,1633108.5
2022-12-31,NSC,USD,702165,2023-02-03,2023-02-03 14:24:35,2022,Q4,3237000000.0,1849000000.0,1388000000.0,0.4287920914,0,0.0,0.0,0.0,207000000.0,207000000.0,2056000000.0,177000000.0,177000000.0,309000000.0,1558000000.0,0.4813098548,906000000.0,0.2798887859,-143000000.0,1038000000.0,0.3206672845,248000000.0,790000000.0,0.2440531356,3.43,3.42,229910870,230700000,https://www.sec.gov/Archives/edgar/data/702165/000070216523000010/0000702165-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216523000010/nsc-20221231.htm,14.07936910507972,3.436114177637621,3.4709102705757235,0.5741355334786911,1.983377297471842,55.38233142260738,56.82636927953863,55.38233142260738,66.80414892953952,56654636585.4,71380636585.4,17.928682463734177,17.502204691195548,70.99578519473684,429.2017923136363,4.449433486641011,4.449433486641011,22.051478710349087,45.815556216559685,89.44941927994986,540.7623983742424,0.0139441367487932,0.0023299063934692,1.1923348778763845,0.3904333290471904,9.45186136071887,0.7576443941109853,5.11864406779661,1.010126582278481,0.0050481305191833,0.3620253164556962,0.0,0.0,-0.0085379966568085,0.8345864661654135,0.2057460611677479,2.155339805825242,0.0012357120790855,65.43508477351085,0.018619543981161,0.0201443251651069,-107.46990779513818,-642000000.0,13065000000.0,-24145000000.0,31182000000.0,1149500000.0,1389500000.0,264500000.0,31.918443002780357,62.9367225527312,12.314764737696052,2.8196864111498257,1.4300077339520494,7.308300395256917,0.062043508992382,2.8967747370970325,2023-01-25,3.44,bmo,3206269477.0,2025-04-25,2022-12-31,-0.005813953488372,236.5719047619048,1329842.4285714286
