date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-01-24,NTAP,USD,1002047,2025-02-27,2025-02-27 16:15:30,2025,Q3,1641000000.0,496000000.0,1145000000.0,0.6977452773,247000000,74000000.0,451000000.0,525000000.0,11000000.0,783000000.0,1268000000.0,20000000.0,12000000.0,64000000.0,446000000.0,0.2717854966,362000000.0,0.2205971968,8000000.0,370000000.0,0.225472273,71000000.0,299000000.0,0.182205972,1.47,1.44,204000000,208000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017025029066/0000950170-25-029066-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017025029066/ntap-20250124.htm,8.044117647058824,1.4656862745098038,1.8872549019607845,1.656862745098039,11.083333333333334,4.877450980392157,-8.71078431372549,4.877450980392157,11.088235294117649,25704000000.0,26443000000.0,21.491638795986624,15.6636197440585,66.76363636363637,76.04733727810651,25.833165829145727,25.833165829145727,16.1139549055454,59.28923766816144,68.68311688311688,78.23372781065089,0.0116324307500778,0.0131497043261749,2.2613065326633164,0.2503059294693514,1.65695067264574,0.931585220500596,30.166666666666668,1.2876254180602007,0.0041238717709305,0.354515050167224,0.0450944546008531,0.1505179768433882,0.3083769051062409,0.122077922077922,0.028641072516758,0.734375,0.0627666057282145,12.68259798000754,0.0527660777660777,0.0480939359819848,-24.14460784313725,-287000000.0,-1777000000.0,-4086000000.0,3294000000.0,885500000.0,494000000.0,292500000.0,49.250457038391225,78.75,48.62903225806452,1.82739420935412,1.1428571428571428,1.8507462686567164,0.3005025125628141,0.230392156862745,2025-02-27,1.91,amc,1679857627.0,2025-05-11,2025-01-24,0.0,,
2024-10-25,NTAP,USD,1002047,2024-11-25,2024-11-25 16:05:27,2025,Q2,1658000000.0,481000000.0,1177000000.0,0.7098914355,257000000,77000000.0,485000000.0,562000000.0,13000000.0,832000000.0,1313000000.0,27000000.0,15000000.0,63000000.0,438000000.0,0.2641737033,345000000.0,0.2080820265,15000000.0,360000000.0,0.2171290712,61000000.0,299000000.0,0.1803377563,1.47,1.42,204000000,210000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017024130551/0000950170-24-130551-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017024130551/ntap-20241025.htm,8.127450980392156,1.4656862745098038,0.5147058823529411,0.2941176470588235,10.892156862745098,4.372549019607843,-9.622549019607844,4.372549019607843,11.102941176470589,24359640000.0,25131640000.0,20.36759197324415,14.692183353437876,231.99657142857143,405.994,27.3090134529148,27.3090134529148,15.157804583835947,57.378173515981736,239.3489523809524,418.86066666666665,0.0122744014279357,0.0024630905875456,2.522421524663677,0.2498889382496668,1.7625570776255708,0.912439193884642,23.0,0.3511705685618729,0.0043514600379972,0.354515050167224,0.0464414957780458,0.155006031363088,0.3170812972012439,0.4285714285714285,0.0271411338962605,0.7142857142857143,0.0621230398069963,12.00823319060142,0.0523172661432657,0.0486257928118393,-24.886029411764707,-378000000.0,-1963000000.0,-4173000000.0,3070000000.0,776000000.0,495500000.0,265500000.0,47.388419782870926,103.65904365904366,59.31392931392932,1.8991981672394045,0.868231046931408,1.5173501577287063,0.3352017937219731,0.2205882352941176,2024-11-21,1.78,amc,1645024143.0,2025-04-25,2024-10-25,0.050561797752809,86.10357142857143,2242464.1428571427
2024-07-26,NTAP,USD,1002047,2024-08-28,2024-08-28 16:21:27,2025,Q1,1541000000.0,443000000.0,1098000000.0,0.7125243348,252000000,75000000.0,471000000.0,546000000.0,0.0,798000000.0,1241000000.0,36000000.0,16000000.0,63000000.0,363000000.0,0.2355613238,282000000.0,0.1829980532,17000000.0,299000000.0,0.1940298507,51000000.0,248000000.0,0.1609344581,1.2,1.17,206000000,212000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017024101408/0000950170-24-101408-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017024101408/ntap-20240726.htm,7.480582524271845,1.203883495145631,1.6553398058252426,1.4563106796116505,14.645631067961164,4.509708737864078,-9.41747572815534,4.509708737864078,12.932038834951456,25986900000.0,26982900000.0,26.19647177419355,16.863659961064243,76.20791788856306,86.623,27.972981700753497,27.972981700753497,17.509993510707332,74.33305785123967,79.12873900293255,89.943,0.0095432698782848,0.0115442780785703,2.85037674919268,0.2843948018472774,2.743801652892562,0.957668439716312,17.625,1.375,0.0041174591813567,0.4314516129032258,0.0486696950032446,0.163530175210902,0.3081301686177639,0.1202346041055718,0.026606099935107,0.6507936507936508,0.0551589876703439,11.052429060715273,0.0390679247622915,0.0384973610679913,-23.05218446601942,-191000000.0,-1940000000.0,-4061000000.0,3513000000.0,843000000.0,477000000.0,200000000.0,39.656067488643735,88.78103837471784,43.47629796839729,2.269513991163476,1.0137299771167048,2.0700934579439254,0.2669537136706135,0.1990291262135922,2024-08-28,1.45,amc,1526294590.0,2025-04-25,2024-07-26,0.0758620689655173,110.5485,2015013.5333333332
2024-04-26,NTAP,USD,1002047,2024-06-10,2024-06-10 16:27:03,2024,Q4,1667000000.0,498000000.0,1169000000.0,0.7012597481,271000000,78000000.0,460000000.0,532000000.0,-2000000.0,803000000.0,1301000000.0,32000000.0,16000000.0,64000000.0,460000000.0,0.275944811,366000000.0,0.2195560888,14000000.0,380000000.0,0.2279544091,89000000.0,291000000.0,0.174565087,1.41,1.37,206000000,212000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017024071327/0000950170-24-071327-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017024071327/ntap-20240426.htm,8.092233009708737,1.412621359223301,2.9757281553398056,2.7524271844660197,15.815533980582524,5.563106796116505,-8.432038834951456,5.563106796116505,12.951456310679612,20873980000.0,21622980000.0,17.932972508591064,12.521883623275343,34.05216965742252,36.81477954144621,18.214642233856893,18.214642233856893,12.97119376124775,47.00647826086957,35.27402936378466,38.1357671957672,0.0139408009397345,0.0271630038928848,2.3141361256544504,0.2682310104177202,1.6282608695652174,1.175840233804189,22.875,2.106529209621993,0.0049822793736508,0.3573883161512027,0.0467906418716256,0.1625674865026994,0.291595023768585,0.0750407830342577,0.0275944811037792,0.71875,0.0527894421115776,13.297280864382603,0.0450536806571967,0.0415476870359794,-22.49878640776699,722000000.0,-1737000000.0,-3913000000.0,4456000000.0,897000000.0,456500000.0,158500000.0,54.36712657468506,93.43373493975903,33.6144578313253,1.6554121151936445,0.9632495164410058,2.677419354838709,0.2539267015706806,0.2233009708737864,2024-05-30,1.79,amc,1654849539.0,2025-04-25,2024-04-26,0.0055865921787709,122.18171875,1690639.546875
2024-01-26,NTAP,USD,1002047,2024-02-29,2024-02-29 16:19:08,2024,Q3,1606000000.0,455000000.0,1151000000.0,0.7166874222,249000000,81000000.0,439000000.0,520000000.0,6000000.0,769000000.0,1224000000.0,27000000.0,17000000.0,63000000.0,462000000.0,0.2876712329,366000000.0,0.2278953923,16000000.0,382000000.0,0.2378580324,69000000.0,313000000.0,0.1948941469,1.52,1.48,206000000,211000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017024023115/0000950170-24-023115-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017024023115/ntap-20240126.htm,7.796116504854369,1.519417475728155,2.349514563106796,2.174757281553398,14.16019417475728,4.825242718446602,-9.237864077669904,4.825242718446602,12.975728155339803,18140360000.0,18976360000.0,14.489105431309904,11.295367372353674,37.480082644628105,40.491875,18.249859154929577,18.249859154929577,11.815915317559153,41.074372294372296,39.207355371900825,42.35794642857143,0.0172543433537151,0.024696312531835,2.672032193158954,0.2834880990500587,1.809523809523809,1.149269588313413,21.529411764705884,1.5463258785942493,0.0056779468544174,0.329073482428115,0.0504358655043586,0.1550435865504358,0.3092112285195859,0.0743801652892562,0.0224159402241594,0.5714285714285714,0.0554171855541718,12.843677724793254,0.0496178114420948,0.0483621755253399,-23.311893203883496,562000000.0,-1903000000.0,-4048000000.0,4318000000.0,787000000.0,403500000.0,126500000.0,44.10336239103363,78.32967032967032,25.91208791208791,2.0406607369758576,1.148989898989899,3.473282442748092,0.3148893360160966,0.174757281553398,2024-02-29,1.69,amc,1590520510.0,2025-04-25,2024-01-26,0.1479289940828402,124.7059375,1676431.375
2023-10-27,NTAP,USD,1002047,2023-11-30,2023-11-30 16:05:41,2024,Q2,1562000000.0,452000000.0,1110000000.0,0.7106274008,262000000,75000000.0,461000000.0,536000000.0,11000000.0,798000000.0,1250000000.0,25000000.0,15000000.0,64000000.0,380000000.0,0.2432778489,304000000.0,0.1946222791,11000000.0,315000000.0,0.2016645327,82000000.0,233000000.0,0.1491677337,1.12,1.1,208000000,211000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017023067033/0000950170-23-067033-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017023067033/ntap-20231027.htm,7.509615384615385,1.1201923076923077,0.6490384615384616,0.4663461538461538,15.89423076923077,3.701923076923077,-10.29326923076923,3.701923076923077,11.567307692307692,14936480000.0,14707480000.0,16.026266094420603,9.562407170294492,110.6405925925926,153.9843298969072,19.398025974025973,19.398025974025973,9.415800256081946,38.7038947368421,108.9442962962963,151.62350515463916,0.0155993915567791,0.0064941673004616,3.105194805194805,0.2635291524302877,-0.6026315789473684,1.0696490758103403,20.266666666666666,0.5793991416309013,0.0068958683705933,0.4420600858369098,0.0480153649167733,0.1677336747759283,0.3208420588559462,0.2814814814814815,0.0243277848911651,0.59375,0.0595390524967989,9.659424386310608,0.0388969887672534,0.0378123985718922,-20.893028846153847,260000000.0,-2141000000.0,-4310000000.0,3794000000.0,720000000.0,377500000.0,126500000.0,45.34571062740077,81.83628318584071,24.29203539823009,1.984752223634053,1.099756690997567,3.704918032786886,0.3025974025974026,0.1826923076923076,2023-11-28,1.4,amc,1555950000.0,2025-04-25,2023-10-27,0.1285714285714287,112.2668253968254,2025835.5555555555
2023-07-28,NTAP,USD,1002047,2023-08-29,2023-08-29 16:11:50,2024,Q1,1432000000.0,436000000.0,996000000.0,0.6955307263,247000000,74000000.0,468000000.0,542000000.0,8000000.0,789000000.0,1225000000.0,28000000.0,16000000.0,75000000.0,277000000.0,0.1934357542,178000000.0,0.124301676,8000000.0,186000000.0,0.1298882682,37000000.0,149000000.0,0.1040502793,0.7,0.69,212000000,216000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017023045061/0000950170-23-045061-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017023045061/ntap-20230728.htm,6.754716981132075,0.7028301886792453,2.1367924528301887,1.971698113207547,18.5377358490566,4.117924528301887,-9.679245283018869,4.117924528301887,11.349056603773583,16374879999.999998,15789879999.999998,27.474630872483218,11.434972067039103,36.14763796909492,39.17435406698564,18.75702176403207,18.75702176403207,11.02645251396648,57.00317689530685,34.856247240618096,37.77483253588516,0.0090993033231388,0.0255269046246445,2.7376861397479955,0.2578209277238403,-2.111913357400722,1.2803939673745768,11.125,3.040268456375839,0.0064733298808907,0.7114093959731543,0.0516759776536312,0.172486033519553,0.3155339805825243,0.0772626931567329,0.0244413407821229,0.546875,0.060754189944134,8.069667753188444,0.0235105355069187,0.0234830575256107,-18.451650943396228,911000000.0,-2052000000.0,-4237000000.0,4477000000.0,820000000.0,368000000.0,149000000.0,41.040502793296085,71.00917431192661,27.041284403669728,2.192955589586524,1.2674418604651163,3.3282442748091605,0.1706758304696449,0.1650943396226415,2023-08-23,1.07,amc,1522390000.0,2025-04-25,2023-07-28,0.0747663551401867,92.7016393442623,1992537.31147541
2023-04-28,NTAP,USD,1002047,2023-06-14,2023-06-14 16:11:35,2023,Q4,1581000000.0,506000000.0,1075000000.0,0.6799493991,243000000,67000000.0,442000000.0,509000000.0,14000000.0,766000000.0,1272000000.0,27000000.0,16000000.0,66000000.0,396000000.0,0.2504743833,309000000.0,0.1954459203,5000000.0,314000000.0,0.1986084756,69000000.0,245000000.0,0.1549652119,1.15,1.13,213000000,217000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017023027948/0000950170-23-027948-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017023027948/ntap-20230428.htm,7.422535211267606,1.1502347417840375,1.1032863849765258,0.92018779342723,14.413145539906104,5.44131455399061,-8.36150234741784,5.44131455399061,12.67605633802817,13395570000.0,13763570000.0,13.668948979591836,8.472846299810247,57.002425531914895,68.34474489795919,11.557868852459016,11.557868852459016,8.70561037318153,34.7564898989899,58.568382978723406,70.22229591836735,0.0182896285861669,0.0146317028689335,2.3157894736842106,0.2733754328783866,0.9292929292929292,1.3498702047880011,19.3125,0.9591836734693876,0.007913063796464,0.4326530612244898,0.0423782416192283,0.1537001897533206,0.2994499898146261,0.1659574468085106,0.0246679316888045,0.5909090909090909,0.0468058191018342,11.866876312742964,0.0376834520341746,0.0356208200058156,-22.37206572769953,1213000000.0,-1781000000.0,-3979000000.0,5084000000.0,904000000.0,412000000.0,171000000.0,56.18595825426944,69.72332015810277,29.703557312252965,1.6018237082066868,1.2908163265306123,3.029940119760479,0.2113891285591026,0.1830985915492957,2023-05-31,1.35,amc,1541320000.0,2025-04-25,2023-04-28,0.1407407407407407,80.50095238095238,1836630.9047619049
2023-01-27,NTAP,USD,1002047,2023-03-01,2023-03-01 16:19:04,2023,Q3,1526000000.0,525000000.0,1001000000.0,0.6559633028,230000000,59000000.0,450000000.0,509000000.0,90000000.0,829000000.0,1354000000.0,21000000.0,16000000.0,65000000.0,258000000.0,0.1690694626,172000000.0,0.1127129751,5000000.0,177000000.0,0.1159895151,112000000.0,65000000.0,0.0425950197,0.3,0.3,216000000,219000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017023005545/0000950170-23-005545-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017023005545/ntap-20230127.htm,7.064814814814815,0.3009259259259259,1.7453703703703705,1.476851851851852,14.541666666666666,5.101851851851852,-8.625,5.101851851851852,12.52777777777778,14156640000.000002,14206640000.000002,54.44861538461539,9.276959370904326,37.550769230769234,44.37818181818182,12.846315789473683,12.846315789473683,9.309724770642203,55.06449612403102,37.68339522546419,44.53492163009405,0.0045914849851377,0.022533595542445,2.441016333938294,0.2770339855818743,0.1937984496124031,1.338048924255821,10.75,5.8,0.0076289288983826,1.6615384615384616,0.0386631716906946,0.1507208387942332,0.3053553038105046,0.1538461538461538,0.038007863695937,0.8923076923076924,0.0609436435124508,5.877396411698543,0.0099236200797972,0.0096367679762787,-22.05439814814815,1147000000.0,-1863000000.0,-4068000000.0,5068000000.0,865500000.0,508000000.0,209500000.0,48.420707732634334,74.05714285714286,30.0,1.8587088915956151,1.2152777777777777,3.0,0.0589836660617059,0.2685185185185185,2023-02-22,1.31,amc,1609375624.0,2025-04-25,2023-01-27,0.0458015267175572,77.28682539682539,2079402.4444444445
2022-10-28,NTAP,USD,1002047,2022-12-01,2022-12-01 16:55:28,2023,Q2,1663000000.0,576000000.0,1087000000.0,0.6536380036,243000000,67000000.0,479000000.0,546000000.0,0.0,789000000.0,1365000000.0,14000000.0,17000000.0,59000000.0,394000000.0,0.2369212267,282000000.0,0.1695730607,23000000.0,305000000.0,0.1834034877,-445000000.0,750000000.0,0.4509921828,3.46,3.41,217000000,220000000,https://www.sec.gov/Archives/edgar/data/1002047/000095017022025960/0000950170-22-025960-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000095017022025960/ntap-20221028.htm,7.663594470046083,3.456221198156682,0.9861751152073732,0.631336405529954,13.976958525345625,5.539170506912442,-8.202764976958525,5.539170506912442,11.078341013824884,15059800000.000002,14777800000.000002,5.019933333333334,9.055802766085389,70.37289719626169,109.92554744525548,12.528951747088188,12.528951747088188,8.886229705351775,37.50710659898478,69.05514018691589,107.86715328467156,0.0498014581866957,0.009097066362103,1.98585690515807,0.2440695296523517,-0.7157360406091371,1.355817378497791,16.58823529411765,0.2853333333333333,0.0071714099788841,0.144,0.0402886349969933,0.1461214672279013,0.3049079754601227,0.3598130841121495,0.0463018641010222,1.305084745762712,0.0469031870114251,20.754601100464185,0.107811353070712,0.1103265666372462,-21.84562211981567,1208000000.0,-1780000000.0,-3975000000.0,5149000000.0,887500000.0,549500000.0,238000000.0,49.2483463619964,91.25,38.125,1.8274725274725272,0.9863013698630136,2.360655737704918,0.6239600665557404,0.3548387096774194,2022-11-29,1.34,amc,1673589413.0,2025-04-25,2022-10-28,0.1044776119402984,67.5408064516129,2253390.629032258
