date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-01-26,NVDA,USD,1045810,2025-02-26,2025-02-26 16:48:33,2025,Q4,39331000000.0,10608000000.0,28723000000.0,0.7302890849,3714000000,0.0,0.0,975000000.0,0.0,4689000000.0,15297000000.0,511000000.0,61000000.0,543000000.0,25821000000.0,0.6565050469,24034000000.0,0.6110701482,1183000000.0,25217000000.0,0.6411482037,3126000000.0,22091000000.0,0.5616689126,0.9,0.89,24489000000,24706000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,1.606068030544326,0.9020784842174038,0.6790395687859856,0.6350606394707828,1.7644656784678836,3.2392911102944177,2.9944873208379272,3.2392911102944177,0.421862877210176,2899987380000.0,2901668380000.0,32.818652166040465,73.73286669548193,174.3933718203139,186.47038194444443,36.557381219509125,36.557381219509125,73.77560651903079,112.3762975872352,174.49446028023334,186.578470936214,0.0076176193566745,0.0053627819580373,0.1294641168832806,0.0920242650155464,0.065102048720034,4.439851498864077,394.0,0.7527499886831741,8.448312626794948e-05,0.01109048933955,0.0,0.0944293305535074,0.0537181566473418,0.0647663720007216,0.0273829803462917,1.9834254143646408,0.0335867381963336,8.108460601806563,0.2243627523196478,0.2091831903490332,1.3587631181346729,62079000000.0,73332000000.0,47852000000.0,76150000000.0,20379000000.0,5831500000.0,8867000000.0,52.77897841397371,53.53506787330316,85.52036199095022,1.7052243659223931,1.6811410459587957,1.0523809523809524,0.2784802148070644,0.0439789293152027,2025-02-26,0.848,amc,38101348563.0,2025-05-11,2025-01-26,0.0495283018867925,,
2024-10-27,NVDA,USD,1045810,2024-11-20,2024-11-20 16:31:22,2025,Q3,35082000000.0,8926000000.0,26156000000.0,0.7455675275,3390000000,0.0,0.0,897000000.0,0.0,4287000000.0,13213000000.0,472000000.0,61000000.0,478000000.0,22855000000.0,0.6514736902,21869000000.0,0.623368109,447000000.0,22316000000.0,0.6361096859,3007000000.0,19309000000.0,0.5503962146,0.79,0.78,24533000000,24774000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/nvda-20241027.htm,1.429992255329556,0.7870623242163617,0.7185016100762238,0.6853625728610443,1.5687849019687767,2.6861370399054336,2.4594220030163454,2.6861370399054336,0.4192720009782741,3447377160000.0005,3448495160000.0005,44.634330623025534,98.26626646143325,195.5736744766552,205.0301629594386,52.31304207954597,52.31304207954597,98.29813465594891,150.8858087945745,195.63709990355707,205.09665516831217,0.0056010697709675,0.004877331147602,0.1551616868237758,0.1064959953339652,0.0489170859768103,4.104617998664968,358.5081967213115,0.912890362007354,7.106852213408525e-05,0.0126883836552902,0.0,0.0966307508123824,0.0579296553591701,0.0461224258240199,0.0231742774072173,1.700836820083682,0.0356878171141896,6.896994881128421,0.2370998988501236,0.2134746990083028,1.0381832633595565,51161000000.0,60337000000.0,37526000000.0,63821000000.0,15912500000.0,4516500000.0,7164500000.0,45.38994356080041,53.97378444992158,77.17454626932556,1.982818063640988,1.6674761815804222,1.1661876143193102,0.2930089986190989,0.0331390372151795,2024-11-20,0.75,amc,33171592429.0,2025-04-24,2024-10-27,0.08,,
2024-07-28,NVDA,USD,1045810,2024-08-28,2024-08-28 17:05:08,2025,Q2,30040000000.0,7466000000.0,22574000000.0,0.7514647137,3090000000,0.0,0.0,842000000.0,0.0,3932000000.0,11398000000.0,444000000.0,61000000.0,433000000.0,19708000000.0,0.6560585885,18642000000.0,0.6205725699,572000000.0,19214000000.0,0.6396138482,2615000000.0,16599000000.0,0.552563249,0.68,0.67,24578000000,24848000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/nvda-20240728.htm,1.2222312637317927,0.6753600781186427,0.589470257954268,0.5497192611278379,1.415900398730572,2.3662218243958013,2.139433639840508,2.3662218243958013,0.4099601269427944,2742659020000.0,2744111020000.0,41.30759413217663,91.30023368841545,189.3055646051905,202.99452446154984,47.15956840964974,47.15956840964974,91.348569241012,139.23843210878832,189.40578547763667,203.10199245059584,0.0060521559110909,0.0049262412503614,0.1722062692367212,0.1175097093644033,0.0736756647046884,4.268952680936359,305.6065573770492,0.8728236640761492,8.969397880163754e-05,0.0148201698897523,0.0,0.1028628495339547,0.0654018092857897,0.0674351187189398,0.0325233022636484,2.25635103926097,0.0383821571238348,5.996345930133174,0.2252174364244984,0.2083913976874694,0.8815404019855155,45664000000.0,52583000000.0,32563000000.0,57679000000.0,13248500000.0,3197500000.0,6269500000.0,42.339547270306255,44.36110366997053,80.46477364050362,2.12567223322955,2.028804347826087,1.118501872659176,0.2854170607149612,0.0397509968264301,2024-08-28,0.64,amc,28779505589.0,2025-04-24,2024-07-28,0.0625,107.83964285714286,287548990.4285714
2024-04-28,NVDA,USD,1045810,2024-05-29,2024-05-29 16:36:32,2025,Q1,26044000000.0,5638000000.0,20406000000.0,0.7835201966,2720000000,0.0,0.0,777000000.0,0.0,3497000000.0,9135000000.0,359000000.0,64000000.0,410000000.0,17753000000.0,0.6816541238,16909000000.0,0.6492474274,370000000.0,17279000000.0,0.6634541545,2398000000.0,14881000000.0,0.5713792044,0.6,0.6,24620000000,24890000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/nvda-20240428.htm,1.057839155158408,0.6044272948822096,0.6232737611697806,0.6082859463850528,1.2769293257514216,1.996019496344435,1.7751015434606012,1.996019496344435,0.459017059301381,2160651200000.0,2164301200000.0,36.29882400376319,82.96157272308402,140.80490061909418,144.27425213675215,43.96750640999553,43.96750640999553,83.10172016587315,121.91185715090408,141.0427631150212,144.51797542735045,0.006887275465841,0.0069312436917166,0.2286638720442798,0.1457987336516504,0.2055990536810679,3.529461998292058,264.203125,1.0311807002217592,4.535669616641501e-05,0.0065855789261474,0.0,0.1044386422976501,0.070570375752543,0.0240469208211143,0.0141683305175856,0.9,0.0388189218246045,5.210095484338209,0.2298894788286773,0.207739449694973,0.6382514216084484,38506000000.0,43703000000.0,25799000000.0,49483000000.0,11182000000.0,2707000000.0,5573000000.0,42.72961142681616,43.33983682156793,93.60766229159276,2.106267691063485,2.0766114180478823,0.9614597544338336,0.3028163281917708,0.0149878147847278,2024-05-22,0.56,amc,24592795107.0,2025-04-24,2024-04-28,0.0892857142857141,126.741,280496194.03333336
2024-01-28,NVDA,USD,1045810,2024-02-21,2024-02-21 16:36:57,2024,Q4,22103000000.0,5312000000.0,16791000000.0,0.7596706329,2465000000,0.0,0.0,712000000.0,0.0,3177000000.0,8489000000.0,294000000.0,63000000.0,387000000.0,14556000000.0,0.6585531376,13614000000.0,0.6159344885,492000000.0,14106000000.0,0.6381939103,1821000000.0,12285000000.0,0.555806904,0.5,0.49,24660000000,24900000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,0.8963098134630981,0.4981751824817518,0.466301703163017,0.4560016220600162,1.053690186536902,1.7428223844282238,1.5180859691808597,1.7428223844282238,0.4508921330089213,1540510200000.0,1544286200000.0,31.34941391941392,69.69688277609374,133.96905817897206,136.995126722988,35.84415747591791,35.84415747591791,69.86771931412025,106.0927589997252,134.29743455952692,137.3309204090707,0.0079746307424644,0.0072995297272293,0.2572478942714877,0.1682083739045764,0.2594119263533938,4.171291505973097,216.0952380952381,0.936019536019536,6.426442356564728e-05,0.008058608058608,0.0,0.1115233226258878,0.0843171859785783,0.0220888772936777,0.0114916527168257,0.6563307493540051,0.0449712708682079,4.419863610611279,0.2095716173089816,0.2041172365666434,0.5423459042984591,33714000000.0,37436000000.0,21595000000.0,44516000000.0,9154000000.0,2539500000.0,5030500000.0,40.71438266298692,45.7285391566265,89.49171686746988,2.2105210521052103,1.9681363467951096,1.0056796667928816,0.2858439201451905,0.0103000811030008,2024-02-21,0.46,amc,20238800000.0,2025-04-24,2024-01-28,0.1304347826086956,137.83328125,222077332.5625
2023-10-29,NVDA,USD,1045810,2023-11-21,2023-11-21 16:36:29,2024,Q3,18120000000.0,4720000000.0,13400000000.0,0.7395143488,2294000000,0.0,0.0,689000000.0,0.0,2983000000.0,7703000000.0,234000000.0,63000000.0,372000000.0,10957000000.0,0.6046909492,10417000000.0,0.5748896247,105000000.0,10522000000.0,0.5806843267,1279000000.0,9243000000.0,0.5100993377,0.38,0.37,24680000000,24940000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/nvda-20231029.htm,0.7341977309562399,0.3745137763371151,0.2970826580226904,0.2858184764991896,0.7407212317666126,1.3478525121555915,1.1176661264181524,1.3478525121555915,0.4493517017828201,1015828800000.0,1021336800000.0,27.47562479714378,56.061192052980125,138.54729950900162,144.00748511482846,30.537465804900044,30.537465804900044,56.3651655629139,93.21317878981472,139.29852700490997,144.78831868443436,0.0090989741578502,0.0069440834912339,0.3314895535848489,0.203645564009751,0.5026923427945605,3.588396879463795,165.34920634920636,0.7932489451476793,9.54885311383178e-05,0.0104944282159472,0.0,0.1266004415011037,0.1049161557213562,0.0379159847244953,0.0153421633554083,0.7473118279569892,0.0540286975717439,3.37012759715998,0.1966806357291784,0.1907070790434728,0.2438918152350081,23557000000.0,27584000000.0,11775000000.0,34398000000.0,7687500000.0,2154500000.0,4549000000.0,41.26986754966888,45.38135593220338,91.125,2.1807678420989287,1.9831932773109244,0.9876543209876544,0.2778596122050203,0.0112641815235008,2023-11-21,0.34,amc,15194600000.0,2025-04-24,2023-10-29,0.1764705882352941,118.1228125,324768315.484375
2023-07-30,NVDA,USD,1045810,2023-08-28,2023-08-25 19:36:34,2024,Q2,13507000000.0,4045000000.0,9462000000.0,0.7005256534,2040000000,0.0,0.0,622000000.0,0.0,2662000000.0,6707000000.0,187000000.0,65000000.0,365000000.0,7411000000.0,0.548678463,6800000000.0,0.5034426594,181000000.0,6981000000.0,0.5168431184,793000000.0,6188000000.0,0.45813282,0.25,0.25,24730000000,24990000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm,0.5461787302871007,0.2502224019409624,0.2566922765871411,0.2450060655074808,0.6479175090982612,1.1120501415285078,0.8765062676910634,1.1120501415285078,0.4455721795390214,1155632900000.0,1160803900000.0,46.6884655785391,85.55807359147109,182.0467706364209,190.7299719425648,42.02148649140032,42.02148649140032,85.94091211964167,156.63255970854135,182.86135790800253,191.5834131044727,0.0053546415994214,0.005243014455542,0.3983127886258681,0.2210473211583089,0.6977465929024423,2.7866266692471453,104.6153846153846,1.0256907416383907,8.65326696739077e-05,0.0161603102779573,0.0,0.1510327978085437,0.1175461608313994,0.045526149968494,0.021396313022877,0.7917808219178082,0.0622640112534241,2.502168418306636,0.1481774060036204,0.1415046878573062,0.0577436312171451,18463000000.0,21676000000.0,6743000000.0,29322000000.0,5573000000.0,1535000000.0,4465000000.0,47.08225364625749,42.91965389369592,96.09641532756488,1.9115482592697424,2.096941420425091,0.9365593887473952,0.2250099996363768,0.0116862110796603,2023-08-23,0.21,amc,11224000000.0,2025-04-24,2023-07-30,0.2857142857142858,101.104126984127,431185660.7142857
2023-04-30,NVDA,USD,1045810,2023-05-26,2023-05-26 16:17:32,2024,Q1,7192000000.0,2544000000.0,4648000000.0,0.6462736374,1875000000,0.0,0.0,633000000.0,0.0,2508000000.0,5052000000.0,150000000.0,66000000.0,384000000.0,2659000000.0,0.3697163515,2140000000.0,0.2975528365,69000000.0,2209000000.0,0.3071468298,166000000.0,2043000000.0,0.2840656285,0.083,0.082,24700000000,24900000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm,0.2911740890688259,0.0827125506072874,0.1178542510121457,0.1078137651821862,0.620242914979757,0.9927125506072876,0.7509716599190284,0.9927125506072876,0.4917408906882591,714077000000.0,721078000000.0,87.38093489965736,99.287680756396,245.30298866368943,268.1475779196395,29.12222675367047,29.12222675367047,100.2611234705228,271.1839037232042,247.7080041222947,270.7765677806985,0.0028610359947176,0.0037292896984498,0.4926590538336052,0.2717049032838506,2.6329447160586685,3.427410468319559,32.42424242424242,1.4248653940283895,0.0001386405107572,0.0484581497797356,0.0,0.260706340378198,0.1343004948268106,0.0851940913775334,0.0344827586206896,0.6458333333333334,0.1021968854282536,1.3592167631814214,0.0512251249230616,0.053080100808023,0.0301821862348178,17623000000.0,18549000000.0,4943000000.0,28428000000.0,3953500000.0,1167000000.0,4885000000.0,51.0567296996663,40.365566037735846,163.125,1.7627450980392156,2.229623137598597,0.5517241379310345,0.0833197389885807,0.0100404858299595,2023-05-24,0.09,amc,6516830000.0,2025-04-24,2023-04-30,0.2222222222222222,72.48032786885246,539891191.8032787
2023-01-29,NVDA,USD,1045810,2023-02-24,2023-02-24 17:23:43,2023,Q4,6051000000.0,2218000000.0,3833000000.0,0.6334490167,1952000000,0.0,0.0,625000000.0,0.0,2577000000.0,4795000000.0,115000000.0,64000000.0,426000000.0,1778000000.0,0.2938357296,1256000000.0,0.2075689969,32000000.0,1288000000.0,0.2128573789,-126000000.0,1414000000.0,0.2336803834,0.0574,0.0571,24640000000,24770000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,0.2455762987012987,0.0573863636363636,0.0912337662337662,0.0705762987012987,0.5396103896103897,0.8969561688311688,0.6515016233766234,0.8969561688311688,0.4908685064935065,472102400000.0,480744400000.0,83.46930693069307,78.02055858535779,210.00996441281137,271.47924094307075,21.36113298040813,21.36113298040813,79.44875227235168,270.3849268841395,213.85427046263345,276.4487636572743,0.0029951129246536,0.0036835228967274,0.5443645083932853,0.2921421980476907,4.860517435320585,3.515617857687033,19.625,1.58981612446959,0.0002075820838868,0.0693069306930693,0.0,0.3225913072219468,0.1468602787625661,0.226423487544484,0.0841183275491654,1.1948356807511735,0.1219633118492811,1.076170845909033,0.038254114723745,0.0402459156372744,-0.0136059253246753,16510000000.0,16053000000.0,3992000000.0,27403000000.0,4367500000.0,1342000000.0,4806500000.0,56.92117005453645,48.40847610459874,209.33724075743916,1.581134047556833,1.859178541492037,0.4299282806745493,0.0639790054748653,0.0206574675324675,2023-02-22,0.08,amc,6015051686.0,2025-04-24,2023-01-29,0.1249999999999999,46.3431746031746,423873929.36507934
2022-10-30,NVDA,USD,1045810,2022-11-18,2022-11-18 16:35:31,2023,Q3,5931000000.0,2754000000.0,3177000000.0,0.535660091,1945000000,0.0,0.0,631000000.0,0.0,2576000000.0,5330000000.0,88000000.0,65000000.0,406000000.0,1084000000.0,0.1827685045,601000000.0,0.1013319845,12000000.0,613000000.0,0.1033552521,-67000000.0,680000000.0,0.1146518294,0.027,0.027,24830000000,24990000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/0001045810-22-000166-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm,0.2388642770841723,0.0273862263391059,0.0157873540072492,-0.0055577929923479,0.5293193717277487,0.8598066854611357,0.6092227144583165,0.8598066854611357,0.4757551349174386,335205000000.0,344153000000.0,123.23713235294116,56.5174506828528,855.1147959183673,-2429.021739130435,15.701203803456837,15.701203803456837,58.02613387287136,317.4843173431734,877.9413265306123,-2493.8623188405795,0.0020286093584522,-0.0004116883698035,0.5502833856386716,0.2901600474214582,8.254612546125461,3.387746170678337,9.246153846153844,0.5764705882352941,0.0002983249056547,0.1470588235294117,0.0,0.3279379531276344,0.1536751630112626,1.3520408163265305,0.0893609846568875,1.3054187192118227,0.1256111954139268,0.7278766112179248,0.0191126775304819,0.0198447440611685,-0.0035440998791784,16368000000.0,15127000000.0,4084000000.0,27291000000.0,5112500000.0,1956000000.0,4171500000.0,74.47647951441579,48.72549019607843,145.55555555555554,1.2084352078239609,1.847082494969819,0.6183206106870229,0.0318516089746592,0.0213451469995972,2022-11-16,0.07,amc,5780771964.0,2025-04-24,2022-10-30,-0.1428571428571429,44.80317460317461,490881056.984127
