date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,NVR,USD,906163,2025-05-05,2025-05-05 14:45:13,2025,Q1,2350445000.0,1835375000.0,515070000.0,0.0,0,189810000.0,0.0,189810000.0,-51405000.0,138405000.0,1973780000.0,3806000.0,7454000.0,5782000.0,415240000.0,,376665000.0,,25339000.0,402004000.0,,102428000.0,299576000.0,,100.41,94.83,2984000,3159000,https://www.sec.gov/Archives/edgar/data/906163/000090616325000054/0000906163-25-000054-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616325000054/nvr-20250331.htm,0.0,100.3941018766756,69.63170241286863,67.26608579088472,766.7258713136729,1325.289544235925,1308.8930965147454,1325.289544235925,343.7721179624665,21617259760.0,20355165760.0,18.03987949635485,0.0,104.03867418098864,107.69751078606232,5.466269640100903,5.466269640100903,0.0,49.71246320745962,97.96451918125334,101.40973963989995,0.0138581856963354,0.0092852656732843,0.2593939712703784,0.1655734865749242,-3.082352768782146,3.649902514540518,0.0,0.693583598152055,0.0,0.0,0.0,0.0,0.0078971413758913,0.033973269933247,0.0,1.2208578346592875,0.0,1730.2176753815038,0.0563586666560938,0.0487384419954687,378.5637565348526,3219772000.0,3905737000.0,2193956000.0,3481500000.0,34582500.0,415071500.0,2084539499.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0757525797387591,2.3656166219839143,2025-04-22,107.87,bmo,2574652850.0,2025-05-11,2025-03-31,-0.1208862519699639,7606.166666666667,27603.63333333333
2024-12-31,NVR,USD,906163,2025-02-12,2025-02-12 15:26:37,2024,Q4,2851208000.0,2125633000.0,725575000.0,0.2544798556,0,180584000.0,0.0,180584000.0,11527000.0,192111000.0,2317744000.0,0.0,7013000.0,4953000.0,584600000.0,0.2050359006,533464000.0,0.1871010463,39170000.0,572634000.0,0.2008390829,115202000.0,457432000.0,0.1604344544,149.84,139.93,3110000,3319000,https://www.sec.gov/Archives/edgar/data/906163/000090616325000011/0000906163-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616325000011/nvr-20241231.htm,916.7871382636656,147.08424437299036,204.8392282958199,203.04147909967847,839.5418006430868,1353.7209003215437,1353.7209003215437,1353.7209003215437,330.38520900321544,25436379000.0,23845889000.0,13.901726923345985,8.921263899371775,39.9283870967742,40.281916957395495,6.041791921848367,6.041791921848367,8.363433674428522,40.7900940814232,37.431738482065775,37.76316277066286,0.0179833772723704,0.0248250350413476,0.2423913415257506,0.1599258610108654,-2.720646595963052,5.074515551128229,76.06787394838157,1.3926660137463054,0.0,0.0,0.0633359614591429,0.0,0.0,0.0087763911780864,0.0019609232297328,1.1288108217242077,0.0068251772582007,2116.6005418131367,0.0814716646511957,0.0716867043160087,480.3469453376206,4687449000.0,4210072000.0,3666964000.0,4796644000.0,34092500.0,411682500.0,2158052000.0,1.0297319592257037,16.352046660924064,87.16633115876542,87.40138556802158,5.503898188785748,1.0325087542812066,0.108651823531759,1.797749196141479,2025-01-28,127.85,bmo,2811403208.0,2025-04-28,2024-12-31,0.0944857254595229,9106.6315625,19977.4375
2024-09-30,NVR,USD,906163,2024-11-05,2024-11-05 13:57:37,2024,Q3,2737679000.0,2051087000.0,686592000.0,0.2507934641,0,176094000.0,0.0,176094000.0,0.0,176094000.0,2227181000.0,4728000.0,7046000.0,4685000.0,550343000.0,0.2010253941,510522000.0,0.1864798612,28090000.0,538612000.0,0.1967403775,109289000.0,429323000.0,0.1568200655,139.65,130.5,3074230,3289924,https://www.sec.gov/Archives/edgar/data/906163/000090616324000123/0000906163-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616324000123/nvr-20240930.htm,890.5251070999892,139.65220559294522,116.5371491397846,113.86656170813504,781.7996701613087,1389.3716475345043,1373.4564427515184,1389.3716475345043,332.3983566616681,30163729914.0,28667606914.0,17.56470647624283,11.017993677856314,84.19461152452674,86.16928317507112,7.062041331713822,7.062041331713822,10.471500462252878,52.09043617162387,80.0185532208272,81.89528102681886,0.014233087261557,0.0116050634652291,0.2375940240416852,0.1564115491004459,-2.71852826328308,4.915858905504423,72.4555776326994,0.834481264688824,0.0,0.0,0.06432236942315,0.0,0.0075409680927979,0.0229161898275563,0.0029988906661445,1.752401280683031,0.0070216413246403,2089.413395368709,0.0642484166588353,0.0666730131792114,436.4968626290161,4707207000.0,4222321000.0,3692384000.0,4945132000.0,35527000.0,461288500.0,2250908000.0,1.1691180741058391,19.18221898924814,99.05271204975703,76.98110395635914,4.691845091042182,0.908607125817922,0.1005146505190052,2.6705874316495515,2024-10-22,131.0,bmo,2710270007.0,2025-04-25,2024-09-30,-0.0038167938931297,8729.84359375,19810.703125
2024-06-30,NVR,USD,906163,2024-08-06,2024-08-06 14:11:09,2024,Q2,2559430000.0,1947616000.0,611814000.0,0.2390430682,0,166564000.0,0.0,166564000.0,1333000.0,166564000.0,2114180000.0,4672000.0,6898000.0,4356000.0,544634000.0,0.2127950364,445250000.0,0.1739645155,38322000.0,533568000.0,0.2084714175,132664000.0,400904000.0,0.1566380014,128.21,120.69,3126831,3321654,https://www.sec.gov/Archives/edgar/data/906163/000090616324000109/0000906163-24-000109-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616324000109/nvr-20240630.htm,818.538002213743,128.21415676127043,75.28612835167618,73.22909360947234,808.7888344461213,1322.075929271521,1308.7781207235057,1322.075929271521,326.2885010414698,23395449834.96,21879854834.96,14.58918458967733,9.14088286648199,99.38298281257566,102.17469083943662,5.659402636672127,5.659402636672127,8.548721721226991,40.173501534902336,92.94479278424176,95.55564945937329,0.0171359816899492,0.0097871595380842,0.2451314833324786,0.158155993612274,-2.782777057620347,3.81646454168912,64.54769498405335,0.5871904495839403,0.0,0.0,0.0650785526464877,0.0,0.0064894850988436,0.0273228918426384,0.002513059548415,1.4765840220385675,0.0070722778118565,1952.9334691773872,0.0649947865164611,0.0629786977348002,449.1428382282253,3548827000.0,4092328000.0,2535476000.0,3770636000.0,35898500.0,467204000.0,2180726500.0,1.2480083456082018,22.431285222549004,103.71536791646814,72.11490236961484,4.012253382143601,0.867759540442315,0.0969794199580638,2.057034742203848,2024-07-23,121.21,bmo,2565833153.0,2025-04-25,2024-06-30,-0.0042900750763138,7647.132698412698,19897.904761904763
2024-03-31,NVR,USD,906163,2024-05-06,2024-05-06 16:04:01,2024,Q1,2333463000.0,1726213000.0,607250000.0,0.2602355383,0,175861000.0,152503000.0,175861000.0,1171000.0,175861000.0,1902074000.0,6649000.0,6826000.0,4381000.0,481899000.0,0.2065166664,431389000.0,0.1848707265,22365000.0,470692000.0,0.2017139333,76423000.0,394269000.0,0.1689630391,123.75,116.41,3186000,3387000,https://www.sec.gov/Archives/edgar/data/906163/000090616324000071/0000906163-24-000071-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616324000071/nvr-20240331.htm,732.4114877589454,123.75047080979284,45.96924042686754,43.15097300690521,909.2875078468298,1363.584745762712,1350.533898305085,1363.584745762712,318.7284996861268,25571696220.0,23683349220.0,16.214625179763058,10.958689389975328,174.60088366630708,186.00438045083249,5.886154142557939,5.886154142557939,10.14944278953641,49.14587749715189,161.70744663999236,172.2688499334444,0.0154181794046042,0.0053762174717403,0.2321718560135494,0.1542702324217665,-3.918553472823143,4.251668800041852,63.19791971872253,0.3714671962543339,0.0,0.0,0.0753648118697403,0.0,0.0063595903249187,0.0613076786519002,0.00384792902223,2.0495320703035835,0.0073457346441747,1948.523985286482,0.0675034066529778,0.0606887288490538,561.5067482736974,3853660000.0,4302801000.0,2845017000.0,4054497000.0,32653000.0,398364500.0,2033592000.0,1.4002964692390665,23.409156343973773,110.37633246882048,64.27210378449843,3.844649447316316,0.8153921949293209,0.0907537805731127,2.818267419962335,2024-04-23,103.97,bmo,2253785875.0,2025-04-25,2024-03-31,0.1196498990093296,7428.557049180327,19162.65573770492
2023-12-31,NVR,USD,906163,2024-02-14,2024-02-14 16:34:39,2023,Q4,2351663000.0,1812968000.0,538695000.0,0.2290698114,0,175623000.0,0.0,175623000.0,1189000.0,175623000.0,1988591000.0,4779000.0,6791000.0,4331000.0,494996000.0,0.2104876421,363072000.0,0.1543894682,23116000.0,484047000.0,0.205831788,73972000.0,410075000.0,0.1743766007,128.47,121.58,3192000,3373000,https://www.sec.gov/Archives/edgar/data/906163/000090616324000033/0000906163-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616324000033/nvr-20231231.htm,736.7365288220551,128.46961152882204,155.29636591478695,153.30827067669173,1007.344611528822,1367.3950501253132,1365.09335839599,1367.3950501253132,319.890350877193,22345436400.0,20144291400.0,13.622774126684144,9.501972178836848,45.07800268707661,45.66257233938205,5.119551953444948,5.119551953444948,8.56597709790901,40.69586703730939,40.63757832263479,41.16456473761648,0.0183516218998524,0.0218997736826477,0.2323855454811013,0.1536407656325429,-4.4467935094425,4.248346940828456,53.46370195847445,1.2088178991647869,0.0,0.0,0.0746803432294508,0.0,0.0011128855545576,0.0128019430872331,0.0026985159013004,1.4652505195105057,0.0110640852877304,1988.101102851851,0.0571827498681788,0.0621852447754992,618.8085839598997,3971861000.0,4357378000.0,2957562000.0,4143197000.0,31439000.0,360520500.0,1976961500.0,1.1098528998415165,17.262533039744774,96.81003746343012,81.09182758620689,5.213603345047133,0.9296556675127554,0.0939520817462726,1.988095238095238,2024-01-30,121.5,bmo,2587080000.0,2025-04-25,2023-12-31,0.0004938271604938,6168.003968253968,23562.777777777777
2023-09-30,NVR,USD,906163,2023-11-03,2023-11-03 15:21:21,2023,Q3,2574092000.0,1902174000.0,671918000.0,0.2610310743,0,166765000.0,0.0,166765000.0,1169000.0,126851000.0,2029025000.0,5067000.0,6896000.0,4180000.0,550148000.0,0.2137250728,507434000.0,0.1971312603,31906000.0,539340000.0,0.2095263106,106183000.0,433157000.0,0.1682756483,132.92,125.26,3258863,3458142,https://www.sec.gov/Archives/edgar/data/906163/000090616323000155/0000906163-23-000155-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616323000155/nvr-20230930.htm,789.8742598262032,132.91660312200912,201.93638087885253,199.762923449068,892.6168421317496,1280.3799975635677,1278.1255302846423,1280.3799975635677,314.3212832205588,19433577727.9,17542095727.9,11.216243606763827,7.549682656214308,29.53058767343937,29.85188591075269,4.657445454745897,4.657445454745897,6.814867428164962,31.886139235078563,26.65635752313918,26.946383606605224,0.0222891021954302,0.0334987210854842,0.2438379296469357,0.1596660401493158,-3.438133011480547,6.449644772563745,73.58381670533643,1.5192713034765686,0.0,0.0,0.0647859517064658,0.0,0.0011529655947973,0.0107630800370166,0.002751649902179,1.6944980130378022,0.010120850381416,1956.817467109312,0.0734911477971007,0.0680538439156149,532.8640694622634,4506502000.0,4165236000.0,3133757000.0,5147154000.0,30317500.0,375430500.0,2011931000.0,1.1845031179926746,17.6625639925685,94.8070838945333,75.98122675482614,5.095522939810288,0.9492961528077282,0.1038102777104733,2.17345742978456,2023-10-24,115.6,bmo,2607880000.0,2025-04-25,2023-09-30,0.0835640138408305,6210.315555555556,20274.380952380958
2023-06-30,NVR,USD,906163,2023-08-02,2023-08-02 15:40:01,2023,Q2,2342153000.0,1728146000.0,614007000.0,0.2621549489,0,171397000.0,0.0,171397000.0,-34259000.0,137138000.0,1865284000.0,3823000.0,6795000.0,4217000.0,482021000.0,0.2058025244,441339000.0,0.1884330358,29837000.0,471176000.0,0.2011721694,67149000.0,404027000.0,0.1725023942,123.84,116.54,3262529,3466936,https://www.sec.gov/Archives/edgar/data/906163/000090616323000108/0000906163-23-000108-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616323000108/nvr-20230630.htm,717.8949213938022,123.83859269909938,8.791339479281257,6.11427515280324,825.3051543756393,1273.0194888689111,1270.767554863114,1273.0194888689111,313.79215326515106,20719081917.98,19043460917.98,12.820357252101964,8.846169280136694,722.3722863810054,1038.6545978534189,4.988627476271067,4.988627476271067,8.130750176431684,39.50753373396595,663.951639285266,954.6551492871464,0.0195002366224241,0.0009627839727149,0.2448583198319008,0.1622782052969829,-3.4762406617139088,7.204926434621071,64.95055187637969,0.0709903051033718,0.0,0.0,0.073179250031915,0.0,0.0011723733499287,0.3045115403388885,0.0037290475899738,2.0711406212947594,0.0107418260036812,1883.374947946156,0.0683233557044816,0.0645469522135249,493.2315544168343,4515871000.0,4145916000.0,3130147000.0,5140914000.0,25032000.0,399834000.0,1942815500.0,1.028169380907225,19.66281784062226,105.2040799793536,87.53421534551705,4.577166951832566,0.8554801298358636,0.0972794162084125,2.6770643264780176,2023-07-25,100.33,bmo,2352440000.0,2025-04-25,2023-06-30,0.1615668294627729,5820.193225806452,24709.112903225807
2023-03-31,NVR,USD,906163,2023-05-02,2023-05-02 15:54:32,2023,Q1,2181295000.0,1607910000.0,573385000.0,0.262864491,0,166252000.0,0.0,166252000.0,-5618000.0,160634000.0,1768544000.0,0.0,7258000.0,4188000.0,445256000.0,0.204124614,412751000.0,0.1892229157,21059000.0,433810000.0,0.1988772724,89458000.0,344352000.0,0.1578658549,106.31,99.89,3239000,3447474,https://www.sec.gov/Archives/edgar/data/906163/000090616323000048/0000906163-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616323000048/nvr-20230331.htm,673.4470515591232,106.3142945353504,97.41339919728313,96.57548626119171,864.699598641556,1187.201605433776,1187.201605433776,1187.201605433776,315.2645878357518,18048323410.0,16261445410.0,13.103106276426448,8.274132297557186,57.201473779958285,57.69776799186722,4.693549919825159,4.693549919825159,7.454950114496206,36.52156379700666,51.53823001248724,51.98538851308151,0.0190794453411226,0.0173316929719179,0.2636652202428598,0.1668696268292542,-4.013147492678369,4.576700433558674,56.86842105263158,0.9162775299693338,0.0,0.0,0.0762171095610634,0.0,0.0,0.0086016189045454,0.0012442150190597,0.6480420248328558,0.0102127405967555,1685.1917623644097,0.0674254306578417,0.056675013845674,469.4208860759493,4351682000.0,3845346000.0,3337798000.0,4448336000.0,22074500.0,408761000.0,1826908500.0,0.9616443443000604,23.626882101610164,104.42050861055657,93.5896940833226,3.8092203454075952,0.8618996516829961,0.0895503291511349,0.8379129360913863,2023-04-25,88.96,bmo,2240000000.0,2025-04-25,2023-03-31,0.1228642086330936,5160.733225806452,22302.83870967742
2022-12-31,NVR,USD,906163,2023-02-15,2023-02-15 15:38:46,2022,Q4,2715752000.0,1993722000.0,722030000.0,0.2658674282,0,163295000.0,439407000.0,163295000.0,-21592000.0,141703000.0,2135425000.0,8416000.0,6899000.0,4159000.0,585780000.0,0.2156971623,554911000.0,0.2043305132,19811000.0,574722000.0,0.211625362,119954000.0,454768000.0,0.167455644,141.8,133.44,3207000,3408000,https://www.sec.gov/Archives/edgar/data/906163/000090616323000023/0000906163-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616323000023/nvr-20221231.htm,846.8200810726536,141.80480199563456,254.81602743997504,252.8029310882445,786.6663548487683,1093.498285001559,1091.207358902401,1093.498285001559,316.3620205799813,14792544060.0,13277379060.0,8.131917846022587,5.446942158194121,18.10160862462448,18.24575363958068,4.218186771087093,4.218186771087093,4.889024866777231,22.666152924306058,16.247504035144612,16.376884620081185,0.0307430552956554,0.0548072729553188,0.2873445648786132,0.1780036753399106,-2.5865768718631568,5.644885101231496,80.43354109291202,1.7969492136649896,0.0,0.0,0.0601288335606491,0.0,0.0012978334289882,0.007900195179853,0.0023772421045809,1.5522962250540997,0.0088726805687706,1867.8662760519744,0.0909407924963764,0.0804382886310484,398.6541939507328,3867545000.0,3499502000.0,2546067000.0,4461623000.0,24610000.0,394676500.0,1979362000.0,0.6907037166869434,17.849569799600946,80.72577320208133,130.30189041358796,5.042138326606173,1.1148855740867596,0.1296799491509329,2.013096351730589,2023-01-31,98.88,bmo,2499542726.0,2025-04-25,2022-12-31,0.3495145631067961,4396.053968253968,18746.93650793651
