date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-30,NXPI,USD,1413447,2025-04-29,2025-04-29 06:13:52,2025,Q1,2835000000.0,1275000000.0,1560000000.0,0.5502645503,547000000,0.0,0.0,281000000.0,9000000.0,837000000.0,2112000000.0,35000000.0,106000000.0,209000000.0,946000000.0,0.333686067,723000000.0,0.255026455,-92000000.0,631000000.0,0.2225749559,130000000.0,490000000.0,0.1728395062,1.9313465426926124,1.9214329968864945,253709000,255018000,https://www.sec.gov/Archives/edgar/data/1413447/000141344725000031/0001413447-25-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344725000031/nxpi-20250330.htm,11.174219282721545,1.9313465426926124,2.2269608094312776,1.5805509461627298,15.718795943383956,38.14212345640084,-4.107067545889188,36.74288259383782,46.71493719182212,48219932540.0,55956932540.0,24.602006397959183,17.008794546737214,85.34501334513274,120.24920832917704,5.172702482299936,5.172702482299936,19.73789507583774,57.86652796277146,99.03881865486726,139.54347266832917,0.0101617728227539,0.0083160630651516,1.2577773010083673,0.4656473391580619,8.001034126163391,2.084957131722525,5.692913385826771,1.13682092555332,0.0053504844658581,0.5265306122448979,0.0,0.1929453262786596,0.4256949960285941,0.0,0.0,0.0,0.0447971781305114,39.9583894005853,0.0251443696362489,0.033884240370652,-37.62184234694079,4176000000.0,-1042000000.0,-7478000000.0,18105000000.0,1046000000.0,940000000.0,2353000000.0,33.65079365079365,60.91764705882353,165.88235294117646,2.6745283018867925,1.477404403244496,0.5425531914893617,0.0525638275048272,0.0,2025-04-28,2.61,amc,2830973432.0,2025-05-11,2025-03-30,0.0114942528735633,213.3115,2927349.0166666666
2024-12-31,NXPI,USD,1413447,2025-02-20,2025-02-20 06:04:10,2024,Q4,3111000000.0,1433000000.0,1678000000.0,0.5393764063,612000000,0.0,0.0,324000000.0,67000000.0,1003000000.0,2436000000.0,9000000.0,100000000.0,-9000000.0,675000000.0,0.2169720347,675000000.0,0.2169720347,-91000000.0,584000000.0,0.18772099,77000000.0,495000000.0,0.1591128255,1.95,1.93,255208000,257848000,https://www.sec.gov/Archives/edgar/data/1413447/000141344725000019/0001413447-25-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344725000019/nxpi-20241231.htm,12.19005673803329,1.9395943700824425,1.532083633741889,1.532083633741889,12.899282154164446,37.34600796213285,-4.839189994044074,37.34600796213285,42.92185197956177,53044982800.0,60606982800.0,26.790395353535352,17.05078199935712,135.6649176470588,135.6649176470588,5.5655212254747655,5.5655212254747655,19.481511668273868,89.78812266666667,155.00507109974424,155.00507109974424,0.0093317025262566,0.0073711023995279,1.1388101983002832,0.4451096985851958,11.202962962962962,2.357972885732731,6.75,0.7742574257425743,0.0048637964682307,0.5212121212121212,0.0,0.1967213114754098,0.4415009226983801,0.4245524296675191,0.0533590485374477,0.640926640926641,0.0376084860173577,40.37093512341715,0.0268968518992411,0.0363462809310522,-37.65555938685308,4207000000.0,-1235000000.0,-7549000000.0,18240000000.0,1051000000.0,958000000.0,2295000000.0,29.85535197685632,63.87299371946965,147.96929518492672,3.01453488372093,1.4090462143559488,0.6082342954159593,0.0519357884796978,0.6504498291589605,2025-02-03,3.14,amc,3103099769.0,2025-05-03,2024-12-31,0.0127388535031847,227.49453125,2304094.703125
2024-09-29,NXPI,USD,1413447,2024-11-05,2024-11-05 07:06:13,2024,Q3,3250000000.0,1413000000.0,1837000000.0,0.5652307692,577000000,0.0,0.0,265000000.0,0.0,842000000.0,2255000000.0,14000000.0,96000000.0,218000000.0,1244000000.0,0.3827692308,990000000.0,0.3046153846,-82000000.0,908000000.0,0.2793846154,173000000.0,718000000.0,0.2209230769,2.82,2.79,254458000,257716999,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000089/0001413447-24-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000089/nxpi-20240929.htm,12.77224532142829,2.821683735626312,3.061408955505428,2.2282655683845665,12.371393314417311,38.2931564344607,-3.729495633857061,36.96484292103216,40.3917345888123,61072464580.0,68506464580.0,21.264785717270197,18.79152756307692,78.39854246469832,107.7115777425044,6.492926278970868,6.492926278970868,21.07891217846154,55.06950528938907,87.94154631578948,120.82268885361552,0.0117565257098717,0.0092840530327259,1.08250053157559,0.4301829397101694,5.97588424437299,2.3482620320855614,10.3125,1.0685871056241427,0.0042408637309982,0.3607242339832869,0.0,0.1775384615384615,0.4517723604715028,0.2721437740693196,0.0652307692307692,0.9724770642201837,0.0353846153846153,48.44398477990639,0.0378436273131081,0.0553329223181257,-34.809280902938795,4034000000.0,-949000000.0,-6899000000.0,18036000000.0,998500000.0,914000000.0,2191000000.0,29.63076923076923,57.261146496815286,142.29299363057325,3.037383177570093,1.57174638487208,0.6324977618621307,0.0763342547310227,0.8331433871208608,2024-11-04,3.43,amc,3254289188.0,2025-04-25,2024-09-29,0.0058309037900874,250.68515625,2491965.21875
2024-06-30,NXPI,USD,1413447,2024-07-23,2024-07-23 06:06:40,2024,Q2,3127000000.0,1367000000.0,1760000000.0,0.5628397825,598000000,0.0,0.0,268000000.0,-4000000.0,866000000.0,2233000000.0,39000000.0,97000000.0,213000000.0,1148000000.0,0.36712504,894000000.0,0.2858970259,-75000000.0,821000000.0,0.2625519667,154000000.0,658000000.0,0.2104253278,2.58,2.54,255478000,258732000,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000072/0001413447-24-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000072/nxpi-20240630.htm,12.2398014701853,2.575564236450888,2.953510462740432,2.021886103695817,12.756480010020432,36.57849208150996,-5.448610056443216,35.29853842600929,40.22655571125498,67872840260.00001,75193840260.0,25.78755329027356,21.705417416053727,89.95058705615573,131.39711456267509,7.526373947660235,7.526373947660235,24.0466390342181,65.49986085365853,99.65296941286124,145.57006315342767,0.0096945994521432,0.0076105171968826,1.128853404302506,0.4388687704776686,6.377177700348432,2.210796915167095,9.216494845360824,1.1467430790273556,0.003800011860591,0.3919720334346505,0.0,0.1912376079309242,0.4628815312984997,0.3154295103394356,0.0761143357850975,1.1174156244131457,0.0364566677326511,45.22783652025466,0.0352867387044036,0.0528132273858255,-34.534284752503154,3768000000.0,-1392000000.0,-6971000000.0,17794000000.0,904000000.0,941500000.0,2124999999.5,26.680524464342817,61.16313094367228,141.41916605705927,3.373247033441208,1.4714747039827771,0.6364059590316573,0.0729651807496118,0.9316243590446144,2024-07-22,3.21,amc,3125468609.0,2025-04-25,2024-06-30,-0.0031152647975077,257.8636507936508,1989172.873015873
2024-03-31,NXPI,USD,1413447,2024-04-30,2024-04-30 06:02:20,2024,Q1,3126000000.0,1397000000.0,1729000000.0,0.5531030072,567000000,0.0,0.0,307000000.0,-6000000.0,874000000.0,2271000000.0,50000000.0,105000000.0,235000000.0,1141000000.0,0.3650031991,855000000.0,0.2735124761,-69000000.0,786000000.0,0.2514395391,141000000.0,639000000.0,0.2044145874,2.49,2.47,256567000,258954000,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000038/0001413447-24-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000038/nxpi-20240331.htm,12.183951946275242,2.4905775099681566,3.316872392006766,2.311287110189541,12.893318306719102,35.663199086398485,-6.368706809527336,34.41206390143705,40.07919958529351,63187320760.0,70457320761.0,24.72117400625978,20.21347433788019,74.25067078055308,106.55534698145026,7.156792475609559,7.156792475609559,22.53913012909121,61.75050022874672,82.79356150857058,118.81504344182125,0.0101127883302263,0.0093847941781287,1.152791935797122,0.4364493996756625,6.3716038571428575,2.354508197183917,8.142857142857142,1.3317683886256155,0.0041305755151628,0.4084507042253521,0.0,0.1813819575116385,0.4624356775498471,0.3031727371365132,0.0825335889579442,1.09787234084201,0.0367882277788829,43.91335821309262,0.0344067349123007,0.0509731971961529,-35.66417349659153,3966000000.0,-1634000000.0,-7276000000.0,18053999999.0,887500000.0,1059000000.0,2117999999.5,25.36468330945767,61.46027205544758,135.4187545063842,3.548240634506243,1.4643605859538784,0.6646051378042841,0.0723751274291964,1.005585281817225,2024-04-29,3.19,amc,3129199417.0,2025-04-25,2024-03-31,0.0156739811912226,230.95803278688524,2417409.655737705
2023-12-31,NXPI,USD,1413447,2024-02-22,2024-02-22 06:07:33,2023,Q4,3422000000.0,1548000000.0,1874000000.0,0.5476329632,651000000,0.0,0.0,311000000.0,-5000000.0,962000000.0,2510000000.0,53000000.0,78000000.0,269000000.0,1176000000.0,0.3436586791,912000000.0,0.2665108124,-78000000.0,829000000.0,0.2422559906,124000000.0,697000000.0,0.2036820573,2.71,2.68,257285000,260298000,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000013/0001413447-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000013/nxpi-20231231.htm,13.300425598072176,2.7090580484676527,4.28517174728414,3.475150098140195,16.600268185086577,34.825193851176714,-7.450881318382339,33.5969838894611,43.73748955438521,59093218800.0,66406218800.0,21.195559110473457,17.26862033898305,53.59878519351454,66.09210926541517,6.836327950023138,6.836327950023138,19.40567469316189,56.4678731292517,60.231829121055206,74.27124732681962,0.01179492358267,0.0151303992430346,1.2928042572882923,0.4588757031987845,6.218537414965986,1.912916565312576,11.692307692307692,1.5817939928263989,0.004242261922615,0.3596684533715925,0.0,0.190239625949737,0.4466390177801503,0.1890289810804716,0.0609019345412039,0.7747450557620817,0.0312682641729982,45.25333182456966,0.03641757253226,0.0517215791035915,-36.47511514468391,3753000000.0,-1917000000.0,-7529000000.0,17953000000.0,916500000.0,1061500000.0,2137000000.0,23.51256575102279,67.67441860465117,124.06976744186046,3.8277404921700224,1.3298969072164948,0.725398313027179,0.0806339657565941,0.8100216491439455,2024-02-05,3.64,amc,3397480000.0,2025-04-25,2023-12-31,0.0192307692307691,201.3084126984127,2177002.714285714
2023-10-01,NXPI,USD,1413447,2023-11-07,2023-11-07 06:22:50,2023,Q3,3434000000.0,1469000000.0,1965000000.0,0.5722189866,601000000,0.0,0.0,294000000.0,-7000000.0,966000000.0,2435000000.0,49000000.0,109000000.0,273000000.0,1299000000.0,0.3782760629,992000000.0,0.2888759464,-75000000.0,917000000.0,0.2670355271,123000000.0,787000000.0,0.2291788002,3.06,3.01,257488000,261095000,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000107/0001413447-23-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000107/nxpi-20231001.htm,13.336543838936183,3.056453116261729,3.837072018890201,2.89722239483005,14.823991797676008,34.16858261355869,-8.346020008699435,32.9646430124899,43.81175045050643,51546522720.0,58901522720.0,16.374371893265565,15.010635620267909,52.172593846153845,69.09721544235924,6.072870254476909,6.072870254476909,17.15245274315667,45.34374343341032,59.61692582995951,78.95646477211797,0.0152677612081608,0.0144723632290826,1.3162111215834118,0.4655775962660443,5.662047729022325,1.9212916246215943,9.10091743119266,1.2474747474747474,0.0051127588844658,0.3348728614993647,0.0,0.1750145602795573,0.4562010335055843,0.2449392712550607,0.0704717530576587,0.8864468864468864,0.029994175888177,47.612865193081525,0.0408416157962175,0.0603111349528699,-37.30950568570186,3652000000.0,-2149000000.0,-7582000000.0,17796000000.0,1000000000.0,963000000.0,2123500000.0,24.609784507862557,58.75425459496256,131.10959836623553,3.6570820021299255,1.5318039624608968,0.6864485981308411,0.0927191328934967,0.9398496240601504,2023-11-06,3.59,amc,3398830000.0,2025-04-25,2023-10-01,0.0306406685236769,206.9661904761905,2114365.761904762
2023-07-02,NXPI,USD,1413447,2023-07-25,2023-07-25 06:08:12,2023,Q2,3299000000.0,1418000000.0,1881000000.0,0.5701727796,589000000,0.0,0.0,274000000.0,81000000.0,944000000.0,2362000000.0,43000000.0,109000000.0,281000000.0,1218000000.0,0.3692027887,937000000.0,0.2840254623,-74000000.0,863000000.0,0.2615944226,158000000.0,698000000.0,0.2115792664,2.69,2.67,259160000,261303000,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000059/0001413447-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000059/nxpi-20230702.htm,12.729587899367186,2.693316869887328,2.917116839018367,1.944744559345578,14.905849668158666,32.70952307454854,-9.966815866646089,31.532643926531872,43.52137675567217,53679810800.0,60986810800.0,19.226293266475643,16.271540103061533,71.00504074074074,106.50756111111112,6.568748262359276,6.568748262359276,18.48645371324644,50.071273234811166,80.67038465608465,121.005576984127,0.0130030264562705,0.0093890047764475,1.3668624571708272,0.4694263500735449,5.999178981937603,1.8230110159118729,8.596330275229358,1.0738636363636365,0.0049826168724126,0.3831890128939828,0.0,0.1785389511973325,0.4648035301533936,0.3333333333333333,0.0763867838739011,0.896797153024911,0.0309184601394361,43.71345949920077,0.036962282675895,0.0548095798979191,-37.06494057724957,3362000000.0,-2583000000.0,-7871000000.0,17574000000.0,1062000000.0,984500000.0,2042000000.0,28.945134889360418,61.37517630465444,133.7306064880113,3.10933081998115,1.466390899689762,0.6729947793070716,0.0854136074400391,0.972372279672789,2023-07-24,3.29,amc,3398830000.0,2025-04-25,2023-07-02,0.0425531914893617,177.71580645161288,2217604.129032258
2023-04-02,NXPI,USD,1413447,2023-05-02,2023-05-02 06:09:54,2023,Q1,3121000000.0,1353000000.0,1768000000.0,0.5664851009,577000000,0.0,0.0,274000000.0,92000000.0,943000000.0,2296000000.0,0.0,0.0,279000000.0,1122000000.0,0.3595001602,825000000.0,0.2643383531,-84000000.0,741000000.0,0.2374239026,118000000.0,615000000.0,0.1970522269,2.35,2.35,261702127,261209999,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000020/0001413447-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000020/nxpi-20230402.htm,11.925772387780402,2.350000005922764,2.414959355679979,1.45585366220581,15.017073208579616,31.51674804691213,-11.115691084925723,30.374227718829356,42.67065051404798,47624553071.46,54861553071.46,19.359574419292684,15.25938900078821,75.35530549281646,124.9988269592126,5.991263438351994,5.991263438351994,17.578197075123356,48.89621485869875,86.80625485990507,143.9935776153806,0.0129135070113351,0.0080000750753149,1.404830796326582,0.4705460980953986,6.450089126559715,1.7462615713268457,0.0,1.0276422764227642,0.0045984683503778,0.3560975609756097,0.0,0.1848766421018904,0.4701247261082083,0.3971518987341772,0.0804229413649471,0.8776223776223776,0.0317206023710349,40.075395128193534,0.0338072565083285,0.0489065606361829,-37.32583342740657,3144000000.0,-2909000000.0,-8127000000.0,17424000000.0,1011500000.0,1309500000.0,1879500000.0,30.65363665491829,66.65188470066519,131.50776053215077,2.936030103480715,1.3502994011976048,0.6843702579666161,0.0773682224179142,0.9591056934741689,2023-05-01,3.02,amc,3036690000.0,2025-04-25,2023-04-02,0.0562913907284767,178.18403225806452,2066687.0483870967
2022-12-31,NXPI,USD,1413447,2023-03-01,2023-03-01 16:07:30,2022,Q4,3312000000.0,1421000000.0,1891000000.0,0.5709541063,540000000,0.0,0.0,261000000.0,109000000.0,910000000.0,2331000000.0,32000000.0,108000000.0,302000000.0,1282000000.0,0.3870772947,980000000.0,0.2958937198,-103000000.0,877000000.0,0.264794686,137000000.0,722000000.0,0.2179951691,2.78,2.76,259618000,261447999,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000006/0001413447-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000006/nxpi-20221231.htm,12.757204816307036,2.7810090209461595,4.144550840080426,3.104561317011917,14.81022117110524,29.81303299463057,-13.535271052084216,28.692155397545623,43.42148849463442,41027432540.0,48347432540.0,14.206174702216066,12.387509824879228,38.12958414498141,50.9025217617866,5.507777223788428,5.507777223788428,14.597654752415458,37.712505881435256,44.93255812267658,59.984407617866005,0.0175979815284829,0.0196453921218244,1.498858907235871,0.4805043897400585,5.709828393135726,2.120795107033639,9.074074074074074,1.465940054495913,0.005638766251689,0.3204211939058172,0.0,0.1630434782608695,0.484334653124462,0.2509293680297397,0.0815217391304347,0.8940397350993378,0.0292874396135265,42.371520120201936,0.0413021287739093,0.0602570522450342,-38.672203005954906,3665000000.0,-3514000000.0,-8561000000.0,18024000000.0,986000000.0,1575500000.0,1681500000.0,26.08695652173913,102.41379310344828,112.86418015482056,3.45,0.8787878787878788,0.7974186307519641,0.0969257618472278,1.0399895230685083,2023-01-30,3.6,amc,3296040455.0,2025-04-25,2022-12-31,0.036111111111111,158.6068253968254,2225300.222222222
