date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ODFL,USD,878927,2025-04-23,2025-04-23 08:48:20,2025,Q1,1374858000.0,942252000.0,432606000.0,0.3146550407,0,0.0,0.0,1036803000.0,0.0,1036803000.0,1036803000.0,0.0,0.0,-2733000.0,338055000.0,0.2458835749,338055000.0,0.2458835749,-83395000.0,254660000.0,0.1852264016,0.0,254660000.0,0.1852264016,1.19,1.19,213484000,213484000,https://www.sec.gov/Archives/edgar/data/878927/000095017025056982/0000950170-25-056982-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017025056982/odfl-ex99_1.htm,6.440098555395252,1.1928762811264544,,,0.4552940735605478,19.83906990687827,19.83906990687827,19.83906990687827,0.1873208296640497,35320927800.0,35263719800.0,34.67459337940784,25.69060062930135,0.0,0.0,8.339604667789287,8.339604667789287,25.64899051392944,104.31355785301209,0.0,0.0,0.0072098898829039,,0.0094420167146598,0.0072824365258898,-0.1692269009480705,1.3176281458967656,0.0,0.0,0.0016923541855545,0.2347267729521715,0.0,0.0,0.0,0.0,,0.0,,23.075420006130024,0.0685162226301449,0.0463752259485651,-5.427910288358847,177031000.0,4235324000.0,-521586000.0,4674392000.0,263845500.0,45909500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601276313217123,,2025-04-23,1.14,bmo,1366315633.0,2025-05-11,2025-03-31,0.043859649122807,181.7965,1763832.5833333333
2024-12-31,ODFL,USD,878927,2025-02-25,2025-02-25 16:11:23,2024,Q4,1385829000.0,919515000.0,466314000.0,0.3364874021,0,89992000.0,0.0,89992000.0,42302000.0,132294000.0,1051809000.0,1903000.0,25000.0,88802000.0,424010000.0,0.3059612694,334020000.0,0.2410254079,1155000.0,335175000.0,0.2418588441,72031000.0,263144000.0,0.1898820129,1.23,1.23,215326000,216485000,https://www.sec.gov/Archives/edgar/data/878927/000095017025026661/0000950170-25-026661-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017025026661/odfl-20241231.htm,6.435957571310478,1.2220725783231008,1.8625665270334284,1.068798008600912,0.5047044945803107,19.71238029778104,19.71238029778104,19.71238029778104,0.2787029898851044,37983506400.0,37934817400.0,36.08623643328368,27.408508841999986,94.70802649984168,165.04521769357785,8.948690991917237,8.948690991917237,27.373375358720303,89.46679889625244,94.58662540922909,164.83365516642044,0.0069278490834642,0.0060589456269892,0.0141325848350888,0.0109238180826547,-0.1148298389188934,1.333292015784537,13360.8,1.52410467272672,0.0014588437259178,0.2105767184507342,0.0649373046746748,0.0,0.0,0.4261692169979978,0.1233333982764107,1.924546785271929,0.0,23.28141075721964,0.0527548350773248,0.047919335615085,-3.4476224422503554,180154000.0,4244588000.0,-526124000.0,4685585000.0,552186000.0,95549000.0,0.0,34.26987745241296,8.987031206668732,0.0,2.6262130678749496,10.01443056448012,0.0,0.0619951806865589,0.7937685184325163,2025-02-05,1.16,bmo,1375328736.0,2025-05-05,2024-12-31,0.0603448275862069,203.73296875,1410437.359375
2024-09-30,ODFL,USD,878927,2024-11-06,2024-11-06 16:56:04,2024,Q3,1470211000.0,955022000.0,515189000.0,0.3504184093,0,73305000.0,0.0,73305000.0,40023000.0,113328000.0,1068350000.0,1775000.0,19000.0,86666000.0,489779000.0,0.3331351758,401861000.0,0.273335596,1233000.0,403094000.0,0.2741742512,94514000.0,308580000.0,0.2098882405,1.44,1.43,214089000,215227000,https://www.sec.gov/Archives/edgar/data/878927/000095017024122440/0000950170-24-122440-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017024122440/odfl-20240930.htm,6.867288837819785,1.4413631713913373,2.085469127325552,0.9515435169485588,0.3464120062217115,19.504691973898705,19.504691973898705,19.504691973898705,0.2802759599979448,42526638960.0,42512460960.0,34.453495819560565,28.92553447090248,95.24955195799996,208.7555602680215,10.184216201200266,10.184216201200266,28.915890957148328,86.79927265154284,95.21779661168796,208.68596303659524,0.0072561577295174,0.0047902915674011,0.0143651185179153,0.0110554493864626,-0.0289477499035279,1.327827956212291,21150.57894736842,1.4468727720526282,0.0013079331299216,0.1802514744960788,0.0498601901359736,0.0,0.0,0.5437268744568577,0.1651198365404693,2.801045368532792,0.0,25.15055178940356,0.0628823221032223,0.0568723942931506,-3.4724682258313133,181479000.0,4175740000.0,-515032000.0,4607232000.0,590509500.0,105942500.0,-5.960464477539065e-08,35.301932851815145,9.355920596593586,0.0,2.5494354764592555,9.61957715126059,0.0,0.0738982791074156,1.1339256103769928,2024-10-23,1.42,bmo,1488436839.0,2025-04-24,2024-09-30,0.0070422535211267,194.5275,1530439.03125
2024-06-30,ODFL,USD,878927,2024-08-05,2024-08-05 16:41:19,2024,Q2,1498697000.0,961377000.0,537320000.0,0.3585247719,0,71670000.0,0.0,71670000.0,-1075000.0,115629000.0,1077006000.0,5961000.0,131000.0,84566000.0,511143000.0,0.3410582659,421691000.0,0.2813717516,4755000.0,426446000.0,0.2845445077,104401000.0,322045000.0,0.2148833287,1.49,1.48,216369000,217541000,https://www.sec.gov/Archives/edgar/data/878927/000095017024090872/0000950170-24-090872-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017024090872/odfl-20240630.htm,6.926579131021542,1.4884063798418443,1.792562705378312,0.6920030133706769,0.4833178505238735,19.00410409994038,19.00410409994038,19.00410409994038,0.2778309277206993,38665140300.0,38650819300.0,30.015324178298066,25.799171079944777,99.68967861700894,258.2358697104082,9.403232010319318,9.403232010319318,25.78961544595072,75.6164503866824,99.65275502442924,258.1402229375935,0.0083290787903852,0.0038724287261929,0.0145876637534141,0.0112262628258971,-0.0280175997714925,1.4601667287798912,3219.0152671755727,1.2043503237125246,0.0014470657436098,0.1737365896070425,0.0478215409785967,0.0,0.0,0.6139588248185534,0.158889355219901,2.8158716268949697,0.0,25.227587482246907,0.0662019669978504,0.060273107576581,-3.112130203494955,254359000.0,4111899000.0,-424084000.0,4532178999.0,603933500.0,105147500.0,-341343000.00000006,36.2918054816951,10.541691760880488,-1.1159863466226374e-14,2.47989866597831,8.537529083707796,-8064614793216000.0,0.0783202602982223,1.100559692007635,2024-07-24,1.45,bmo,1499223100.0,2025-04-24,2024-06-30,0.0206896551724138,188.59142857142857,1796574.126984127
2024-03-31,ODFL,USD,878927,2024-05-07,2024-05-07 13:59:21,2024,Q1,1460073000.0,956103000.0,503970000.0,0.3451676731,0,74765000.0,0.0,74765000.0,-879000.0,117544000.0,1073647000.0,7372000.0,37000.0,84534000.0,470960000.0,0.3225592145,386426000.0,0.2646621094,6456000.0,392882000.0,0.2690838061,100578000.0,292304000.0,0.2001982093,1.34,1.34,218137313,218808000,https://www.sec.gov/Archives/edgar/data/878927/000095017024054284/0000950170-24-054284-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017024054284/odfl-20240331.htm,6.693366576858861,1.3400000026588756,1.94323930266804,1.3953687923166085,2.6633407737996664,20.17828559206649,20.17828559206649,20.17828559206649,0.366819407920368,47580110711.56,47079116711.56,40.69402976999973,32.58748755134846,112.24556836645095,156.3170978174698,10.80963984798383,10.80963984798383,32.24435813247693,99.96415133251232,111.06368048436752,154.67115948456598,0.0061434073109246,0.0063972528530928,0.0181705124707012,0.014152355647034,-1.0637718702225245,2.29475152267948,10443.945945945949,1.450178581203131,0.0011902662510249,0.1937469210137391,0.0512063437923994,0.0,0.0,0.2819367151616092,0.0818527566772346,1.4137625097593869,0.0,24.665265289632806,0.0561450094768513,0.0517228077650744,-2.555460330622116,712986000.0,4401637000.0,13941000.0,4841086999.0,609426000.0,105231500.0,-350285000.0,37.20198236663509,9.195672432781825,-64.26267881180166,2.419225919549848,9.787212480422566,-1.4005018412564487,0.0664080204705658,0.5478705057671632,2024-04-24,1.34,bmo,1470946774.0,2025-04-24,2024-03-31,0.0,208.57622950819672,1381306.163934426
2023-12-31,ODFL,USD,878927,2024-02-26,2024-02-26 16:20:23,2023,Q4,1495550000.0,966985000.0,528565000.0,0.3534251613,0,80488000.0,0.0,80488000.0,-913000.0,107554000.0,1074539000.0,5312000.0,85000.0,84652000.0,510062000.0,0.3410531243,421011000.0,0.2815091438,4314000.0,425325000.0,0.2843937013,102510000.0,322815000.0,0.2158503561,1.48,1.47,219559473,219324000,https://www.sec.gov/Archives/edgar/data/878927/000095017024020176/0000950170-24-020176-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017024020176/odfl-20231231.htm,6.8115940504193135,1.470285001093986,1.988950847955442,1.5064118823058024,1.9757699090487435,19.39251785323788,19.39251785323788,19.392517848683305,0.913019134455656,44498118392.91,44264696392.91,34.46100583376702,29.753681517107417,101.897942932243,134.5382377691959,10.45093791231244,10.45093791231244,29.59760381993915,86.7829722522164,101.36342096830036,133.83249591604002,0.0072545764103912,0.0074328311161286,0.0470610367738401,0.0363502747354914,-0.457634562072846,2.099175996680486,4953.070588235294,1.352765515852733,0.000979749292207,0.1350525842975078,0.0538183277055263,0.0,0.0,0.2426097968137799,0.0708408277891076,1.2515475121674622,0.0074086456487579,25.32847967887622,0.0640653005357078,0.0585616809251444,-1.6771435318575392,598675000.0,4257811000.0,-111249000.0,4810480000.0,639525000.0,114243000.0,-340805500.0,37.02923339239744,10.496191771330476,-1.6645139273101444,2.4305121050245155,8.574538457445865,-54.06983896220085,0.0758171276451249,0.4825389610950651,2024-01-31,1.43,bmo,1496850000.0,2025-04-24,2023-12-31,0.027972027972028,198.35619047619048,1362496.6984126985
2023-09-30,ODFL,USD,878927,2023-11-06,2023-11-06 16:16:21,2023,Q3,1515277000.0,959353000.0,555924000.0,0.366879455,0,68473000.0,0.0,68473000.0,-861000.0,110905000.0,1070258000.0,2308000.0,90000.0,84059000.0,530525000.0,0.3501175033,445019000.0,0.2936882167,1357000.0,446376000.0,0.2945837626,107089000.0,339287000.0,0.2239108757,1.55,1.55,219603236,219670000,https://www.sec.gov/Archives/edgar/data/878927/000095017023059408/0000950170-23-059408-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017023059408/odfl-20230930.htm,6.9000668095801645,1.5450000017303935,1.954593237414771,1.171512791368885,0.9407921475255492,18.50210895799368,18.50210895799368,18.50210895799368,0.364584791455441,44924233988.52,44797606988.52,33.10194171049878,29.647539023241293,104.66116227362632,174.62037248519053,11.056577413117935,11.056577413117935,29.56397212425187,84.4401432326846,104.3661560416089,174.12817368860487,0.0075524270505469,0.0057267086638748,0.0196828892455384,0.0150926404364398,-0.2386824372084256,1.7275568027518784,4944.655555555555,1.2651088901136796,0.0009719698283816,0.1286963544138148,0.0451884374936067,0.0,0.0,0.4006360152364089,0.1134888208558567,2.0457892670624203,0.0,25.360985063136123,0.0709648277505438,0.064030018452977,-3.930808423970583,401866000.0,4063123000.0,-281535000.0,4487276000.0,616236500.0,106186500.0,-616236500.0,39.422118860116,10.855316030699855,-62.26637118974976,2.282982310498141,8.2908687085177,-1.4454030045485569,0.0835039943412985,0.7830804460458861,2023-10-25,1.45,bmo,1520830000.0,2025-04-24,2023-09-30,0.0689655172413793,202.29571428571427,1508728.1904761903
2023-06-30,ODFL,USD,878927,2023-08-04,2023-08-04 16:02:44,2023,Q2,1413189000.0,916594000.0,496595000.0,0.3514002727,0,65502000.0,0.0,65502000.0,-1947000.0,105001000.0,1021595000.0,2368000.0,89000.0,79787000.0,471381000.0,0.3335583563,391594000.0,0.2770995246,332000.0,391926000.0,0.2773344542,99564000.0,292362000.0,0.2068810329,1.33,1.33,220650566,220398000,https://www.sec.gov/Archives/edgar/data/878927/000095017023038553/0000950170-23-038553-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017023038553/odfl-20230630.htm,6.404647065351285,1.3250000002266027,1.3045060577818777,0.1956940323461486,0.2499019195808453,17.366984682921682,17.366984682921682,17.366984682921682,0.3628316095051394,40793876642.08,40818705642.08,34.8830188619588,28.86653989104076,141.7241406409116,944.7401015937958,10.645486443124868,10.645486443124868,28.88410937396201,86.59387128899978,141.81040036853807,945.3151131865474,0.007166810905596,0.0010584921697649,0.0208688073047349,0.0160616774842476,0.0526728909311151,1.452451005729417,4399.932584269663,0.9845328736292678,0.0010730777166405,0.1497287609196817,0.0463504881512663,0.0,0.0,0.8499861033907726,0.1731261706679007,3.066414328148696,0.0,22.754191502845124,0.064973293647003,0.0587198218413105,-4.303499044729394,227591000.0,3832035000.0,-416288000.0,4228690000.0,574312500.0,108217000.0,-284373000.0,36.2210150234682,9.491105113059872,-55.84494334459968,2.484745387220306,9.482562770921056,-1.611605180519951,0.0762941883359624,1.1088120209036765,2023-07-26,1.32,bmo,1471350000.0,2025-04-24,2023-06-30,0.0075757575757575,161.9216129032258,1688004.9032258063
2023-03-31,ODFL,USD,878927,2023-05-08,2023-05-08 15:52:53,2023,Q1,1442136000.0,951021000.0,491115000.0,0.3405469387,0,66590000.0,0.0,66590000.0,41476000.0,108066000.0,1059087000.0,2811000.0,200000.0,75951000.0,460300000.0,0.3191793284,383049000.0,0.2656122585,1100000.0,384149000.0,0.2663750159,99111000.0,285038000.0,0.1976498749,1.3,1.29,219912000,221358000,https://www.sec.gov/Archives/edgar/data/878927/000095017023018765/0000950170-23-018765-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017023018765/odfl-20230331.htm,6.557786751064062,1.296145731019681,1.888787333115064,0.8213785514205683,1.056927316381098,17.03635545127142,17.03635545127142,17.03635545127142,0.4554867401506057,37477403040.0,37369746040.0,32.87053220974045,25.98742631762885,90.22720399068774,207.48046038609093,10.003313237238284,10.003313237238284,25.91277524449844,81.18563119704541,89.96801874005398,206.88445527069,0.0076055963561769,0.0048197309671433,0.0266827777079347,0.0201664767702328,-0.2338844232022593,1.5749227419581402,1915.245,1.4572337723391269,0.0011754282961651,0.1545478146773412,0.0461745632866803,0.0,0.0,0.565129150847323,0.1627696694347828,3.090624218245974,0.0,22.2898179957068,0.0644849498857005,0.0575010974184844,-2.470300620248099,327430000.0,3746499000.0,-313639000.0,4168894000.0,592504000.0,113024000.0,-302564500.0,36.18875750969395,11.334733933320084,0.0,2.4869602106646385,7.940195202591569,0.0,0.0760811627068364,1.067408781694496,2023-04-26,1.35,bmo,1482810000.0,2025-04-24,2023-03-31,-0.0444444444444444,167.42709677419353,1564678.7096774194
2022-12-31,ODFL,USD,878927,2023-02-22,2023-02-22 16:29:11,2022,Q4,1491659000.0,964008000.0,527651000.0,0.353734332,0,57679000.0,0.0,57679000.0,-898000.0,97422000.0,1061430000.0,2951000.0,280000.0,72057000.0,502286000.0,0.3367297754,430229000.0,0.2884231584,1773000.0,432002000.0,0.2896117678,108073000.0,323929000.0,0.2171602223,1.47,1.46,222141834,222184000,https://www.sec.gov/Archives/edgar/data/878927/000095017023003783/0000950170-23-003783-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000095017023003783/odfl-20221231.htm,6.714894592974325,1.4582080023702335,1.6266544373627527,0.4095671596913168,1.0608852720645134,16.44407509483333,16.44407509483333,16.44407509483333,0.4512567407722041,31519704826.26,31433355826.26,24.32609061419323,21.13063697953755,87.22811479864285,346.4389090837748,8.628639749071768,8.628639749071768,21.072749084247807,62.58059318049876,86.98915125103778,345.4898312442021,0.0102770315199819,0.0028865118027437,0.027365253576799,0.020659445584579,-0.1719120182525493,1.7624619426832744,1536.5321428571428,1.1155160544440297,0.0010483600396051,0.1020100052789345,0.038667684772458,0.0,0.0,0.7482150171026268,0.1812518812945854,3.752112910612432,0.0106545799006341,23.22767406854199,0.0745237203491637,0.0669467057688055,-3.595647589728641,403947000.0,3652917000.0,-251953000.0,4091015000.0,629461500.0,113217500.0,-302564499.5,36.510764189402536,9.921857494958548,-56.49497722010606,2.465026465431338,9.070882145377558,-1.593061975215202,0.0886768026757793,1.217087277671436,2023-02-01,1.34,bmo,1498687124.0,2025-04-24,2022-12-31,0.08955223880597,142.04777777777778,1831369.4603174604
