date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,OMC,USD,29989,2025-04-16,2025-04-15 17:48:19,2025,Q1,3690400000.0,3060900000.0,629500000.0,0.1705777152,0,0.0,0.0,117900000.0,59000000.0,176900000.0,3237800000.0,29700000.0,59100000.0,59000000.0,541300000.0,0.1466778669,452600000.0,0.122642532,-29400000.0,423200000.0,0.1146759159,120700000.0,287700000.0,0.0779590288,1.46,1.45,196700000,198300000,https://www.sec.gov/Archives/edgar/data/29989/000002998925000015/0000029989-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998925000015/omc-20250331.htm,18.76156583629893,1.4626334519572954,-4.0,-4.1499745805795625,17.174885612608033,27.29232333502796,-30.12709710218607,22.23284189120488,35.52160650737163,16308397000.0,19858097000.0,14.171356447688565,4.419140743550835,-20.7275,-19.978435624157783,3.729167886216043,3.729167886216043,5.381014795144158,36.68593571032699,-25.23906583629893,-24.32695945118216,0.017641218815068,-0.0500539691301358,1.5841946400804905,0.2464278981421869,6.557731387400702,1.0061806481774307,7.658206429780034,-2.5932762030323007,0.0084435030616436,0.4786235662148071,0.0,0.0,0.4017400769020086,-0.0374936451448906,0.0079937134185996,0.5,0.0056362453934532,27.04932922178403,0.0238099184964341,0.0171053492119172,-67.08312150482969,89900000.0,-5926000000.0,-8110000000.0,13242100000.0,8735500000.0,11624600000.0,811100000.0,200.685562540646,316.5186709791238,0.0,0.4484627536760238,0.2843434155766944,0.0,0.0657870666788621,0.1499745805795627,2025-04-15,1.63,amc,3717174500.0,2025-05-11,2025-03-31,0.0429447852760736,83.50741666666666,3346046.5166666666
2024-12-31,OMC,USD,29989,2025-02-05,2025-02-04 18:14:45,2024,Q4,4322200000.0,3464300000.0,857900000.0,0.1984868817,0,0.0,0.0,112300000.0,60300000.0,172600000.0,3636900000.0,26900000.0,65000000.0,60300000.0,769800000.0,0.1781037435,685300000.0,0.1585535144,-38100000.0,647200000.0,0.1497385591,170600000.0,448000000.0,0.1036509185,2.28,2.26,196491228,198400000,https://www.sec.gov/Archives/edgar/data/29989/000002998925000009/0000029989-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998925000009/omc-20241231.htm,21.996910722141752,2.2800000008142858,9.796875003498885,9.557678574842027,22.08444643645873,26.33654465226305,-30.66040179666443,21.34191965047926,35.29826786974938,16906105257.12,19437505257.120003,9.43421052294643,3.911458344620795,8.782392341361039,9.002185972907348,4.031502386340765,4.031502386340765,4.497132306954792,25.25007178113796,10.097405328374029,10.350109295591055,0.0264993026593943,0.1110841303445145,1.638440443543579,0.2319594067662141,3.288386593920499,0.995257755992221,10.543076923076924,4.019628314888286,0.0080858363248642,0.3051339285714285,0.0,0.0,0.3780936979882312,0.0244155844155844,0.0108740918976447,0.7794361525704809,0.0051594095599463,33.088373765729266,0.0378255359533215,0.0243196734215283,-62.92291073675818,-77300000.0,-6024500000.0,-8222800000.0,12990400000.0,8906000000.0,11710950000.0,1760300000.0,192.4436629494239,324.33565222411454,42.14357878936582,0.467669335641636,0.2774903079042645,2.1355566514609787,0.1068320019077143,0.2391964286568558,2024-12-31,,,,,,,99.14375,1923069.515625
2024-09-30,OMC,USD,29989,2024-10-16,2024-10-15 17:50:14,2024,Q3,3882600000.0,3121600000.0,761000000.0,0.1960026786,0,0.0,0.0,99500000.0,0.0,99500000.0,3282500000.0,26000000.0,66400000.0,61400000.0,687500000.0,0.1770720651,600100000.0,0.1545613764,-40400000.0,559700000.0,0.144155978,150200000.0,385900000.0,0.0993921599,1.97,1.95,195600000,198200000,https://www.sec.gov/Archives/edgar/data/29989/000002998924000027/0000029989-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998924000027/omc-20240930.htm,19.849693251533743,1.9729038854805725,2.9074642126789367,2.7474437627811863,18.066973415132924,25.569018404907972,-33.057770961145195,20.200920245398773,40.03169734151329,20223084000.0,24452984000.0,13.101246436900752,5.208644722608561,35.56019694039036,37.63134350576851,5.118083668666008,5.118083668666008,6.298095090918457,35.56797672727273,42.99803762968173,45.50238928172684,0.0190821538396418,0.0265735928308461,1.9648723205021128,0.2696082176368043,6.152581818181818,0.983326499931666,9.037650602409638,1.3874115637960478,0.0067793814237235,0.3552733868877947,0.0,0.0,0.3982206232680247,0.0550378055213645,0.0080616082006902,0.509771986970684,0.0062844485653943,29.945378039936045,0.0309243921468274,0.0222687717840408,-65.87269938650307,-256200000.0,-6466100000.0,-8685800000.0,13123500000.0,8501250000.0,10792650000.0,1849200000.0,198.65554010199352,315.3430932854946,54.73347001537672,0.4530455075845974,0.2854034285714286,1.64433206911083,0.0976640599296434,0.1600204498977505,2024-10-15,2.02,amc,4360200000.0,2025-04-25,2024-09-30,0.0049504950495048,96.111875,1437240.453125
2024-06-30,OMC,USD,29989,2024-07-17,2024-07-16 20:44:26,2024,Q2,3853800000.0,3174700000.0,679100000.0,0.1762156832,0,0.0,0.0,111000000.0,3232500000.0,111000000.0,3285700000.0,21000000.0,62700000.0,60400000.0,628500000.0,0.1630857855,568100000.0,0.1474129431,-41700000.0,468600000.0,0.1215942706,123700000.0,328100000.0,0.0851367481,1.67,1.65,195900000,198500000,https://www.sec.gov/Archives/edgar/data/29989/000002998924000021/0000029989-24-000021-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998924000021/omc-20240630.htm,19.67228177641654,1.6748340990301174,-0.7233282286881062,-0.9234303215926492,13.842266462480858,23.770801429300665,-33.24400204185809,18.559469116896377,36.36345074017356,17178471000.0,21527671000.0,13.089356141420298,4.457540868752919,-121.23127028934368,-94.96114427860697,4.72481187083998,4.72481187083998,5.586089314442887,34.252459824980114,-151.92428369795343,-119.00315644002212,0.0190994879579212,-0.0105306228942028,1.942048517520216,0.258411957166175,6.919968178202068,0.9341650453630718,9.06060606060606,-0.4318805242304175,0.0081555570341504,0.4270039622066443,0.0,0.0,0.4087658559079497,-0.2766407904022583,0.0101717785043333,0.6490066225165563,0.0058643416887228,26.44599618240301,0.0318398928055787,0.0203095017022593,-64.98940786115365,-984700000.0,-6512500000.0,-8695100000.0,12059900000.0,8169150000.0,10492750000.0,1755800000.0,196.92900513778608,301.85592339433646,51.028443632469205,0.4570174918470204,0.2981554875185484,1.7637222222222222,0.0902414874305517,0.2001020929045431,2024-07-16,1.93,amc,3825546628.0,2025-04-25,2024-06-30,0.0103626943005181,92.84571428571428,1535967.6825396826
2024-03-31,OMC,USD,29989,2024-04-17,2024-04-16 19:10:25,2024,Q1,3630500000.0,3066300000.0,564200000.0,0.1554055915,0,0.0,0.0,85300000.0,3066300000.0,85300000.0,3151600000.0,27000000.0,53800000.0,59600000.0,538500000.0,0.1483266768,478900000.0,0.1319102052,-26800000.0,452100000.0,0.1245283019,116000000.0,318600000.0,0.0877565074,1.61,1.59,197900000,200100000,https://www.sec.gov/Archives/edgar/data/29989/000002998924000014/0000029989-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998924000014/omc-20240331.htm,18.34512379989894,1.6099039919151086,-3.1253158160687216,-3.242041435068216,16.032339565437088,23.055078322385043,-33.67458312278929,18.03688731682668,36.09651339060132,19113182000.0,23030082000.0,14.997788763339612,5.2646142404627465,-30.90247696038804,-29.78987219451372,5.354582434514638,5.354582434514638,6.343501446081807,42.76709749303621,-37.23537914308812,-35.89476620947631,0.0166691239585329,-0.0335684555298013,1.9861885418125789,0.259928287553711,7.27372330547818,0.9272760101111424,8.901486988847584,-1.8353115727002969,0.0072620037835667,0.4356559949780288,0.0,0.0,0.4116059775037029,-0.0373484236054971,0.00636275995042,0.3875838926174497,0.0060873157967222,25.56065883529513,0.0272120676902032,0.0198519515477792,-64.45199595755432,-1087500000.0,-6664200000.0,-8846700000.0,12020600000.0,8282800000.0,10985850000.0,1527050000.0,195.98457512739293,303.42530085118875,50.23774581743469,0.4592198133016266,0.296613366609594,1.7914816545921943,0.0892561983471074,0.1167256189994947,2024-04-16,1.55,amc,3616582914.0,2025-04-25,2024-03-31,0.0774193548387096,89.74065573770493,1663448.245901639
2023-12-31,OMC,USD,29989,2024-02-07,2024-02-07 06:35:35,2023,Q4,4060900000.0,3244900000.0,816000000.0,0.2009406782,0,0.0,0.0,115600000.0,12036400000.0,169300000.0,3414200000.0,25800000.0,49700000.0,53700000.0,592100000.0,0.1458051171,646700000.0,0.1592504125,-26800000.0,619900000.0,0.1526508902,164200000.0,337600000.0,0.0831342806,2.15,2.13,198000000,199500000,https://www.sec.gov/Archives/edgar/data/29989/000002998924000007/0000029989-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998924000007/omc-20231231.htm,20.50959595959596,1.7050505050505051,9.095959595959595,9.024242424242424,22.383838383838384,23.43282828282828,-29.34090909090909,18.264141414141413,33.096969696969694,17128980000.000002,19200480000.0,12.684375,4.218025560836268,9.510816213214882,9.58640026863667,4.736603710975307,4.736603710975307,4.728134157452781,32.42776558013849,10.661010549694614,10.745735392881128,0.0197092880019709,0.1043144425412371,1.7983850897325997,0.2318984759989445,3.498564431683837,0.9469530961467438,13.012072434607646,3.934032328527741,0.0080973881690561,0.4108412322274881,0.0,0.0,0.372592228093822,0.0078845086063298,0.003496761801571,0.2644320297951583,0.0052205176192469,26.47033962204022,0.0378504122300391,0.019186832922241,-59.63030303030303,-861800000.0,-5809500000.0,-8020700000.0,11508700000.0,7972800000.0,10617550000.0,1480000000.0,191.9234652416952,322.6786649819717,37.235353940028965,0.4689369269498141,0.2789152484098332,2.4170577281191807,0.0933550866908165,0.0717171717171717,2024-02-06,2.16,amc,3989460000.0,2025-04-25,2023-12-31,0.0185185185185185,78.8452380952381,1298350.6666666667
2023-09-30,OMC,USD,29989,2023-10-18,2023-10-18 06:44:41,2023,Q3,3578100000.0,2875100000.0,703000000.0,0.1964729885,0,0.0,0.0,89800000.0,2927500000.0,142200000.0,3017300000.0,15200000.0,53500000.0,52400000.0,628400000.0,0.1756239345,560800000.0,0.1567312261,-38300000.0,522500000.0,0.1460272212,136100000.0,371900000.0,0.1039378441,1.88,1.86,198100000,199900000,https://www.sec.gov/Archives/edgar/data/29989/000002998923000033/0000029989-23-000033-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998923000033/omc-20230930.htm,18.062089853609287,1.877334679454821,2.046945986875316,1.9247854618879352,13.980817768803634,20.969207470974258,-30.895002523977787,16.298838970217062,32.65068147400303,14754488000.0,18399488000.0,9.918316751815006,4.123553841424219,36.38591368680641,38.69522161028062,4.569650644202181,4.569650644202181,5.142250915290238,29.27989815404201,45.37481627620222,48.25462365591398,0.0252058898960099,0.0258429841821688,1.9866823587710605,0.2564732035760551,5.8004455760662,0.965104846762424,10.482242990654203,1.044295647695081,0.009414084717816,0.3734874966388814,0.0,0.0,0.4107945367601196,0.0596794081381011,0.0067633660322517,0.4618320610687023,0.0062882535423828,26.238587076229148,0.0345447610776107,0.0252366572795439,-59.63705199394246,-454300000.0,-6120300000.0,-8292100000.0,11722700000.0,7372950000.0,9774950000.0,1627750000.0,183.25983063637128,300.5457201488644,50.633021460123125,0.4911059869883883,0.2994552707502265,1.777496136012365,0.115182111000991,0.1221605249873801,2023-10-17,1.84,amc,3987110000.0,2025-04-25,2023-09-30,0.0108695652173913,82.43936507936509,1731216.984126984
2023-06-30,OMC,USD,29989,2023-07-19,2023-07-19 06:44:22,2023,Q2,3609900000.0,2909000000.0,700900000.0,0.1941605031,0,0.0,0.0,99100000.0,51100000.0,150200000.0,3059200000.0,30100000.0,57500000.0,51100000.0,631900000.0,0.1750464002,550700000.0,0.1525527023,-27400000.0,523300000.0,0.1449624643,141200000.0,366300000.0,0.1014709549,1.84,1.82,198900000,201600000,https://www.sec.gov/Archives/edgar/data/29989/000002998923000026/0000029989-23-000026-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998923000026/omc-20230630.htm,18.149321266968325,1.841628959276018,-1.3197586726998491,-1.404725992961287,14.12770236299648,20.054801407742584,-30.18350930115636,15.854700854700855,32.88939165409754,18925335000.0,22675435000.0,12.916554054054057,5.242620294190975,-72.09651428571429,-67.73562992125984,6.001374663072776,6.001374663072776,6.281457935122857,35.884530780186736,-86.38260952380952,-81.15760558339298,0.0193550074542934,-0.0147632789591307,2.0561915332170604,0.2586685602131836,5.934641557208419,0.9632514359606652,9.577391304347826,-0.6850208768267223,0.0075454410714526,0.3898443898443898,0.0,0.0,0.3986181365587452,-0.0643809523809523,0.0046815701265963,0.3307240704500978,0.0056511260699742,25.6313424400712,0.0341147175900437,0.0242981850987051,-59.600930115636,-488800000.0,-6003500000.0,-8266300000.0,11459700000.0,7261150000.0,9767000000.0,1573450000.0,185.99102468212416,307.8006187693365,50.67720866277071,0.4838943177705392,0.2923970730138308,1.775946275946276,0.1161566513397811,0.0849673202614379,2023-07-18,1.8,amc,3674640000.0,2025-04-25,2023-06-30,0.0055555555555555,92.84258064516128,1621583.741935484
2023-03-31,OMC,USD,29989,2023-04-19,2023-04-19 06:22:53,2023,Q1,3443300000.0,2953700000.0,489600000.0,0.142189179,0,0.0,0.0,89200000.0,53900000.0,143100000.0,3096800000.0,35600000.0,54900000.0,53900000.0,436000000.0,0.1266227166,346500000.0,0.1006302094,-19300000.0,327200000.0,0.0950251212,83400000.0,227500000.0,0.0660703395,1.13,1.11,202200000,204500000,https://www.sec.gov/Archives/edgar/data/29989/000002998923000011/0000029989-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998923000011/omc-20230331.htm,17.02917903066271,1.1251236399604352,-2.582096933728981,-2.696340257171118,16.562314540059347,19.747279920870422,-30.16815034619189,15.413452027695351,32.50791295746785,19075548000.0,22332248000.0,20.962140659340665,5.539903000029042,-36.53619613100938,-34.98816581071166,6.120627607007637,6.120627607007637,6.485710800685389,51.22075229357798,-42.7738900593756,-40.961570066030816,0.011926262878529,-0.0285810924016442,2.091445806327408,0.2582733698925413,7.469495412844036,0.9576757692107746,6.311475409836065,-2.1406314063140632,0.007459811901603,0.6254945054945055,0.0,0.0,0.3999152058832853,-0.044244397624976,0.0067086806261435,0.4285714285714285,0.0060116748468039,19.75337649920927,0.0218964145086831,0.0150217567862024,-58.57912957467854,-569900000.0,-6100000000.0,-8349500000.0,11484200000.0,7579650000.0,10292700000.0,1381750000.0,184.5897830569512,292.06351355926466,45.97657175745675,0.4875676134915465,0.3081521512331511,1.9575187222479955,0.0729962138227555,0.1142433234421365,2023-04-18,1.38,amc,3376800000.0,2025-04-25,2023-03-31,0.1304347826086958,88.58790322580644,1911688.5967741932
2022-12-31,OMC,USD,29989,2023-02-08,2023-02-08 06:27:42,2022,Q4,3868200000.0,3086400000.0,781800000.0,0.2021095083,0,0.0,0.0,84500000.0,54600000.0,139100000.0,3225500000.0,28500000.0,54400000.0,54600000.0,661500000.0,0.171009772,642700000.0,0.1661496303,-25900000.0,616800000.0,0.1594540096,163500000.0,412700000.0,0.1066904503,2.11,2.09,203900000,205200000,https://www.sec.gov/Archives/edgar/data/29989/000002998923000005/0000029989-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998923000005/omc-20221231.htm,18.97106424717999,2.0240313879352625,5.772927905836195,5.711132908288377,21.297204512015693,20.398724865129967,-28.878862187346737,15.9494850416871,32.11329082883766,16632122999.999998,18843823000.0,10.07518960503998,4.299706064836357,14.12974513635205,14.282630313439242,5.114271701362196,5.114271701362196,4.871470709890906,28.48650491307634,16.008684903576587,16.181900386431945,0.0248134288088177,0.0700151147270856,1.9967098182712708,0.2404777335431904,3.343461829176115,0.9707828443877552,11.814338235294118,2.581925860934416,0.008621869859909,0.3474678943542524,0.0,0.0,0.3721025830941579,0.0107042732138306,0.003257328990228,0.2307692307692307,0.0052737707460834,26.95089632609683,0.0387970335073964,0.0243411895156533,-57.87432564982835,-439800000.0,-5888400000.0,-8230200000.0,11673000000.0,7314700000.0,10014000000.0,1308600000.0,188.39227547696603,320.7678849144634,36.58437013996889,0.4777265934717368,0.2805767167869675,2.4600669536107125,0.126902616770702,0.0617949975478175,2023-02-07,1.98,amc,3724796600.0,2025-04-25,2022-12-31,0.0555555555555554,74.23984126984126,1521076.7142857143
