date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-28,ORCL,USD,1341439,2025-03-11,2025-03-11 16:11:43,2025,Q3,14130000000.0,4195000000.0,9935000000.0,0.703113942,2429000000,390000000.0,2119000000.0,2509000000.0,639000000.0,5577000000.0,9772000000.0,0.0,0.0,1879000000.0,6328000000.0,0.447841472,4358000000.0,0.3084217976,-910000000.0,3448000000.0,0.244019816,512000000.0,2936000000.0,0.2077848549,1.05,1.02,2878431372,2874000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/0000950170-25-037143-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/orcl-20250228.htm,4.908923706658378,1.0200000001945504,2.061192098485786,0.0246662125387646,6.191914170118348,5.996668938473479,-17.384816079610182,5.812193461599056,33.4473842025649,477992313634.32,556862313634.3201,40.70098038439374,33.82818921686624,80.56502842311141,6732.286107525634,28.57096913534489,28.57096913534489,39.40993019351168,87.99973350731986,93.85847187499074,7843.13117794817,0.0061423581849605,0.0001485379533829,5.754692169754931,0.5965868953636803,12.463653603034134,1.0166424737535025,0.0,2.020776566757493,0.0023410418286685,0.3811307901907357,0.0276008492569002,0.1719037508846426,0.4170456939607629,0.9880330355637956,0.4148619957537155,3.779497098646035,0.0847841472045293,11.54945193371272,0.026521007345458,0.03120880989838,-41.77822378181056,493000000.0,-50041000000.0,-114001000000.0,99765000000.0,8114000000.0,2551000000.0,0.0,51.28025477707006,51.98331346841478,0.0,1.7550614830455844,1.7313248039620306,0.0,0.1754931261207412,2.036525885947021,2025-03-10,1.49,amc,14375389675.0,2025-05-11,2025-02-28,-0.0134228187919463,,
2024-11-30,ORCL,USD,1341439,2024-12-10,2024-12-10 16:11:21,2025,Q2,14059000000.0,4085000000.0,9974000000.0,0.7094387937,2634000000,387000000.0,2190000000.0,2577000000.0,543000000.0,5754000000.0,9839000000.0,149000000.0,866000000.0,1336000000.0,5640000000.0,0.4011665126,4220000000.0,0.3001635963,-830000000.0,3390000000.0,0.2411266804,239000000.0,3151000000.0,0.2241268938,1.13,1.1,2790000000,2869000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017024134973/0000950170-24-134973-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017024134973/orcl-20241130.htm,5.039068100358423,1.1293906810035843,0.4673835125448028,-0.9555555555555556,4.054121863799283,5.102508960573477,-19.22831541218638,4.926881720430107,32.075268817204304,515703600000.0,593386600000.0,40.91586797841955,36.681385589302224,395.4782208588957,-193.4372093023256,37.51663029244872,37.51663029244872,42.20688526922256,105.210390070922,455.0510736196319,-222.57561890472616,0.0061100989017722,-0.0051696362018803,6.447257383966245,0.5968629405386475,13.773581560283688,0.8089976593694066,4.8729792147806,0.413836877181847,0.0021679119556272,0.3548079974611234,0.0275268511273917,0.187353296820542,0.4571769158758915,3.044478527607362,0.2823813927021836,2.648432288192128,0.0831495838964364,11.18921006071765,0.0307421549443246,0.0390942928039702,-41.86496415770609,-5549000000.0,-53647000000.0,-110744000000.0,88766000000.0,8099000000.0,2443000000.0,0.0,52.34582829504232,59.02325581395349,0.0,1.7193347193347193,1.524822695035461,0.0,0.2292303215480867,1.4229390681003584,2024-12-09,1.48,amc,14117796631.0,2025-04-25,2024-11-30,-0.0067567567567567,137.84428571428572,9761964.75
2024-08-31,ORCL,USD,1341439,2024-09-10,2024-09-10 06:05:11,2025,Q1,13307000000.0,3906000000.0,9401000000.0,0.7064702788,2306000000,358000000.0,2036000000.0,2394000000.0,710000000.0,5410000000.0,9316000000.0,133000000.0,842000000.0,1428000000.0,5482000000.0,0.4119636282,3991000000.0,0.2999173367,-822000000.0,3169000000.0,0.238145337,240000000.0,2929000000.0,0.2201097167,1.06,1.03,2761000000,2851000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017024104905/0000950170-24-104905-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017024104905/orcl-20240831.htm,4.819630568634553,1.0608475190148496,2.6899674031148133,1.8558493299529155,3.951829047446578,4.0814922129663165,-20.73524085476277,3.9174212241941326,30.91524809851503,390101690000.0,464000690000.0,33.296491123250256,29.31552491170061,52.52480005385755,76.13225800156128,36.067094119822485,36.067094119822485,34.868917862778986,84.64076796789493,62.47484717921099,90.55438914910226,0.0075082986695084,0.0131350366618509,7.8138868343195265,0.5860388034448806,13.480299160890183,0.7199875175534405,4.739904988123516,2.5356777057016044,0.0028274678840791,0.3765790372140662,0.0269031336890358,0.1732922521980912,0.4751203073210645,0.3100848256361923,0.1730668069437138,1.6127450980392155,0.075674457052679,9.669808591642616,0.030392575787424,0.0386947618733073,-42.02037305324158,-8973000000.0,-57250000000.0,-109873000000.0,82640000000.0,7947500000.0,2282000000.0,167000000.0,54.24889156083265,50.85253456221198,0.0,1.6590200723101858,1.769823289533303,0.0,0.2708025147928994,0.8341180731618979,2024-09-09,1.33,amc,13233301542.0,2025-04-25,2024-08-31,0.045112781954887,162.8105,11868722.916666666
2024-05-31,ORCL,USD,1341439,2024-06-20,2024-06-20 16:21:35,2024,Q4,14287000000.0,4666000000.0,9621000000.0,0.6734093932,2226000000,402000000.0,2113000000.0,2516000000.0,28000000.0,4742000000.0,9408000000.0,71000000.0,878000000.0,1554000000.0,6270000000.0,0.4388605026,4879000000.0,0.3414992651,-904000000.0,3838000000.0,0.2686358228,639000000.0,3144000000.0,0.2200601946,1.14,1.11,2753000000,2834000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/0000950170-24-075605-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm,5.1896113330911735,1.1420268797675264,2.2088630584816564,1.192517253904831,3.872502724300763,3.355975299673084,-21.751180530330547,3.161641845259717,34.63385397747911,322624070000.0,406639070000.0,25.653949586513992,22.581652551270384,53.05444334813353,98.2711148339933,37.06618451286764,37.06618451286764,28.462173304402604,64.85471610845295,66.87042756125638,123.862037770332,0.0097450881454691,0.0101759301468114,10.853515625,0.6701069685620248,13.39952153110048,0.7150012680699974,5.556947608200455,1.9347756920139991,0.0034157401833037,0.3505089058524173,0.0281374676279134,0.1558059774620284,0.4902962206332993,0.460121690511429,0.1958423741863232,1.8005148005148006,0.0732834044935955,9.013340077817931,0.0331603090694121,0.0437541750167,-41.77388303668725,-8990000000.0,-59881000000.0,-109183000000.0,88966000000.0,7585500000.0,2007500000.0,167000000.0,49.60173584377406,45.462923274753535,6.442348906986712,1.8144526289052576,1.979635129401782,13.97005988023952,0.3612132352941176,1.0163458045768252,2024-06-11,1.65,amc,14562253539.0,2025-04-25,2024-05-31,-0.0121212121212121,177.63828125,7520833.984375
2024-02-29,ORCL,USD,1341439,2024-03-12,2024-03-12 16:05:03,2024,Q3,13280000000.0,3869000000.0,9411000000.0,0.7086596386,2248000000,377000000.0,2042000000.0,2419000000.0,84000000.0,5416000000.0,9285000000.0,111000000.0,876000000.0,1557000000.0,5349000000.0,0.4027861446,3750000000.0,0.2823795181,-885000000.0,2865000000.0,0.2157379518,464000000.0,2401000000.0,0.1807981928,0.87,0.85,2748000000,2819000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017024029904/0000950170-24-029904-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017024029904/orcl-20240229.htm,4.832605531295488,0.87372634643377,1.99235807860262,1.3831877729257642,3.604075691411936,2.2496360989810773,-23.169213973799128,2.0462154294032024,32.33478893740902,306896640000.0,385395640000.0,31.955085381091216,23.10968674698795,56.05418082191781,80.74102604577743,54.578808465232086,54.578808465232086,29.020756024096386,72.05003552065807,70.39189771689497,101.39322283609576,0.0078234808957178,0.0123852773363696,15.646452071847769,0.6418056345836799,14.675453355767432,0.8464135021097047,4.280821917808219,2.28125,0.0035810102059116,0.4577259475218659,0.0283885542168674,0.1692771084337349,0.509556323952087,0.3057534246575342,0.1260542168674698,1.0751445086705202,0.0789156626506024,6.3424149541676575,0.02669909314712,0.0357126920616977,-42.03902838427947,-3822000000.0,-63669000000.0,-109837000000.0,85146000000.0,7050500000.0,1382500000.0,0.0,49.452560240963855,38.56810545360558,0.0,1.8199259969850623,2.333534378769602,0.0,0.4269962653387871,0.6091703056768559,2024-03-11,1.38,amc,13286481142.0,2025-04-25,2024-02-29,0.0217391304347826,144.84546875,8411781.34375
2023-11-30,ORCL,USD,1341439,2023-12-12,2023-12-12 16:04:41,2024,Q2,12941000000.0,3740000000.0,9201000000.0,0.710996059,2226000000,375000000.0,2093000000.0,2468000000.0,-14000000.0,5449000000.0,9189000000.0,133000000.0,888000000.0,1553000000.0,5202000000.0,0.4019782088,3622000000.0,0.2798856348,-902000000.0,2720000000.0,0.2101846843,217000000.0,2503000000.0,0.1934162739,0.91,0.89,2746000000,2817000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017023069682/0000950170-23-069682-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017023069682/orcl-20231130.htm,4.712672978878368,0.9115076474872542,0.0520757465404224,-0.3412235979606701,3.164603058994901,1.5943190094683175,-24.1190823015295,1.5943190094683175,32.657319737800435,319112660000.0,399657660000.0,31.87301837794646,24.659041805115525,2231.5570629370627,-340.56847385272147,72.8900548195523,72.8900548195523,30.88305849625222,76.82769319492503,2794.808811188811,-426.5289861259338,0.00784362488157,-0.0029362670851103,20.28072179077204,0.6610062237574819,15.483467896962706,0.7903060597369607,4.078828828828829,0.0571314422692768,0.0034439247881923,0.4390731122652817,0.0289776678772892,0.1720114365195889,0.5256618325839016,7.552447552447552,0.083455683486593,0.6954282034771411,0.0795147206552816,5.718195897086353,0.0286742628967139,0.0392843129561327,-42.29898033503277,-5118000000.0,-66231000000.0,-110657000000.0,83500000000.0,6661500000.0,1070500000.0,0.0,47.31937253689823,26.63903743315508,0.0,1.901969429747208,3.3785004516711834,0.0,0.5717222476016446,0.3932993445010925,2023-12-11,1.32,amc,13048000000.0,2025-04-25,2023-11-30,0.0151515151515151,124.18253968253968,8247323.80952381
2023-08-31,ORCL,USD,1341439,2023-09-12,2023-09-12 16:08:07,2024,Q1,12453000000.0,3610000000.0,8843000000.0,0.7101100137,2384000000,393000000.0,2026000000.0,2419000000.0,-49000000.0,5732000000.0,9342000000.0,136000000.0,872000000.0,1475000000.0,4759000000.0,0.38215691,3441000000.0,0.2763189593,-921000000.0,2375000000.0,0.1907170963,45000000.0,2420000000.0,0.1943306834,0.89,0.86,2728000000,2823000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017023047713/0000950170-23-047713-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017023047713/orcl-20230831.htm,4.564882697947214,0.8870967741935484,2.556451612903226,2.0747800586510263,4.42925219941349,1.0414222873900294,-25.087609970674485,1.0414222873900294,32.92265395894428,328423920000.0,405751920000.0,33.92809090909091,26.37307636714045,47.09261829652996,58.02542756183745,115.60152059134109,115.60152059134109,32.58266441821248,85.25991174616516,58.18065959277316,71.6876183745583,0.0073685254106948,0.0172338238944349,31.30623020063358,0.650810027659481,16.248791762975415,0.8741570375044366,3.9461009174311927,2.881818181818182,0.0033219261252347,0.4508264462809917,0.0315586605637195,0.1914398136995101,0.5215787856170698,0.1884141095497562,0.1055167429535051,0.8908474576271187,0.0681763430498675,4.55921626089744,0.0291509974203236,0.0370132452356917,-42.83311950146628,-3191000000.0,-68439000000.0,-111655000000.0,85733000000.0,6717000000.0,1119000000.0,149000000.0,47.11394844615756,25.778393351800556,0.0,1.910262310170272,3.491295938104449,0.0,0.8518127419922562,0.4816715542521994,2023-09-11,1.14,amc,12460000000.0,2025-04-25,2023-08-31,0.043859649122807,114.45508196721312,9215745.098360656
2023-05-31,ORCL,USD,1341439,2023-06-20,2023-06-20 16:06:29,2023,Q4,13836000000.0,3730000000.0,10106000000.0,0.7304134143,2397000000,400000000.0,2289000000.0,2689000000.0,-76000000.0,6147000000.0,9877000000.0,105000000.0,955000000.0,1586000000.0,5695000000.0,0.411607401,4296000000.0,0.3104943625,-1031000000.0,3109000000.0,0.2247036716,210000000.0,3319000000.0,0.2398814686,1.23,1.19,2707000000,2796000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/0000950170-23-028914-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/orcl-20230531.htm,5.111193202807536,1.2260805319541928,2.0860731437015145,1.379386775027706,3.763206501662357,0.5748060583671961,-26.059106021425933,0.5748060583671961,33.77761359438493,286779580000.0,367495580000.0,21.601354323591444,20.72705839838104,50.78441296263503,76.80224424209962,184.30564267352187,184.30564267352187,26.56082538305869,64.52951360842845,65.0780201877103,98.41874129619713,0.0115733484232036,0.0130204528509317,58.14974293059126,0.6733018811763305,14.17313432835821,0.9096578605456908,4.498429319371728,1.701416089183489,0.0037729325079561,0.3260018077734257,0.0289100896212778,0.1732437120555073,0.5365073223002739,0.3387639454577651,0.1382625036137612,1.2061790668348045,0.0696733159872795,3.982093249887583,0.0347260465020373,0.0532864528144366,-43.33422608053196,-2086000000.0,-70542000000.0,-111824000000.0,87081000000.0,6564000000.0,1407000000.0,149000000.0,44.98048568950564,29.050938337801608,7.190348525469168,2.000867678958785,3.0980066445182723,12.516778523489933,2.1330334190231364,0.7066863686738086,2023-06-12,1.58,amc,13730300000.0,2025-04-25,2023-05-31,0.0569620253164556,109.1379365079365,9057136.92063492
2023-02-28,ORCL,USD,1341439,2023-03-10,2023-03-10 16:06:25,2023,Q3,12398000000.0,3439000000.0,8959000000.0,0.7226165511,2319000000,402000000.0,2150000000.0,2552000000.0,-375000000.0,5923000000.0,9362000000.0,90000000.0,907000000.0,1558000000.0,4725000000.0,0.3811098564,3355000000.0,0.2706081626,-1042000000.0,2218000000.0,0.1788998226,322000000.0,1896000000.0,0.1529278916,0.7,0.68,2698000000,2776000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459023003413/0001564590-23-003413-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459023003413/orcl-10q_20230228.htm,4.595255744996294,0.7027427724240178,1.5845070422535212,0.6104521868050408,3.2501853224610824,-0.7086730911786508,-27.47146034099333,-0.7086730911786508,34.365455893254264,235805200000.00003,319397200000.0,31.092457805907173,19.0196160671076,55.15911111111111,143.17255616272013,-123.32907949790795,-123.32907949790795,25.76199386997903,67.59729100529101,74.71279532163743,193.92665452337584,0.0080405351535928,0.0069845787963963,-48.01830543933055,0.6975459656587145,17.69142857142857,0.8171328671328671,3.699007717750826,2.255936675461742,0.0036598005472313,0.455168776371308,0.032424584610421,0.1870462977899661,0.548594438535177,0.6147368421052631,0.211969672527827,1.6867779204107831,0.0745281497015647,,0.025123166542382,0.0319116706500151,-44.51565974796145,-4184000000.0,-74118000000.0,-114836000000.0,84367000000.0,6205000000.0,1628500000.0,0.0,45.10162929504759,42.134341378307646,0.0,1.995493320457106,2.136024844720497,0.0,-0.99163179916318,0.9740548554484804,2023-03-09,1.2,amc,13756200000.0,2025-04-25,2023-02-28,0.0166666666666666,115.7511111111111,10072835.111111112
2022-11-30,ORCL,USD,1341439,2022-12-13,2022-12-13 16:07:10,2023,Q2,12275000000.0,3358000000.0,8917000000.0,0.7264358452,2373000000,366000000.0,2216000000.0,2582000000.0,-228000000.0,5969000000.0,9327000000.0,52000000.0,856000000.0,1498000000.0,4539000000.0,0.3697759674,3232000000.0,0.263299389,-927000000.0,2144000000.0,0.1746639511,403000000.0,1741000000.0,0.1418329939,0.65,0.63,2695000000,2746000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459022039278/0001564590-22-039278-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459022039278/orcl-10q_20221130.htm,4.554730983302412,0.6460111317254175,0.3150278293135436,-0.5884972170686457,2.727272727272727,-1.401113172541744,-28.52764378478664,-1.401113172541744,34.05380333951763,223765850000.0,307871850000.0,32.131799253302695,18.22939714867617,263.5640164899882,-141.08817780580077,-59.26002383474576,-59.26002383474576,25.08120977596741,67.82812293456709,362.6287985865724,-194.1184426229508,0.0077804544348478,-0.0070877660733306,-24.078125,0.7077115880095587,18.52963207755012,0.6478639415627536,3.7757009345794392,0.4876507754164273,0.0038567100386408,0.4956921309592188,0.0298167006109979,0.1933197556008146,0.5690555698261838,2.868080094228504,0.1983706720977597,1.6255006675567425,0.0740529531568228,,0.0236208816325719,0.0314469952856601,-44.61864564007421,-9545000000.0,-76882000000.0,-114684000000.0,77912000000.0,6067000000.0,1554000000.0,0.0,45.43625254582484,44.14234663490173,0.0,1.9807971599160883,2.038858530661809,0.0,-0.4610699152542373,0.9035250463821892,2022-12-12,1.17,amc,11959280734.0,2025-04-25,2022-11-30,0.0341880341880342,103.3932258064516,10252839.822580645
