date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,OTIS,USD,1781335,2025-04-24,2025-04-24 16:12:47,2025,Q1,3350000000.0,2349000000.0,1001000000.0,0.2988059701,37000000,0.0,0.0,464000000.0,89000000.0,590000000.0,2850000000.0,0.0,45000000.0,42000000.0,453000000.0,0.1352238806,411000000.0,0.1226865672,-45000000.0,366000000.0,0.1092537313,110000000.0,243000000.0,0.0725373134,0.61,0.61,396600000,399100000,https://www.sec.gov/Archives/edgar/data/1781335/000178133525000021/0001781335-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133525000021/otis-20250331.htm,8.446797781139688,0.6127080181543116,0.4790721129601614,0.3933434190620272,4.836106908724156,-12.584467977811396,-17.410489157841653,-12.929904185577408,22.11296016137166,40929120000.0,47736120000.0,42.10814814814815,12.21764776119403,215.4164210526316,262.36615384615385,-7.981497659906396,-7.981497659906396,14.249588059701493,105.37774834437086,251.24273684210527,306.0007692307692,0.0059370931991696,0.0038114672389731,-1.701443057722309,0.7805510824834496,15.026490066225165,0.942093258996452,9.133333333333333,0.7421875,0.003787034756672,0.6378600823045267,0.0,0.0110447761194029,0.1712292002147074,0.1789473684210526,0.0101492537313432,0.8095238095238095,0.0062686567164179,,0.0602800188375058,0.0262305699481865,-27.138174483106404,-457000000.0,-6905000000.0,-8734000000.0,2621000000.0,4197000000.0,1748500000.0,571500000.0,114.44776119402984,61.99233716475096,22.45210727969349,0.7863849765258216,1.4517923362175524,4.008532423208191,-0.047386895475819,0.0857286938981341,2025-04-23,0.896,bmo,3376525396.0,2025-05-11,2025-03-31,0.0267857142857143,97.69666666666669,2272272.183333333
2024-12-31,OTIS,USD,1781335,2025-02-04,2025-02-04 16:50:42,2024,Q4,3675000000.0,2603000000.0,1072000000.0,0.2917006803,37000000,0.0,0.0,515000000.0,0.0,541000000.0,3144000000.0,0.0,48000000.0,48000000.0,629000000.0,0.1711564626,531000000.0,0.1444897959,-48000000.0,483000000.0,0.1314285714,130000000.0,337000000.0,0.0917006803,0.84,0.84,398700000,404400000,https://www.sec.gov/Archives/edgar/data/1781335/000178133525000010/0001781335-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133525000010/otis-20241231.htm,9.217456734386756,0.8452470529219965,1.7306245297215952,1.6328066215199395,5.768748432405317,-11.858540255831452,-16.52119388011036,-12.159518434913467,22.04665161775771,36923607000.0,43365607000.0,27.391399851632045,10.04724,53.51247391304348,56.71829032258064,-7.61625556930693,-7.61625556930693,11.800165170068029,68.94373131955484,62.84870579710145,66.6138356374808,0.0091269523045243,0.0176309968850009,-1.8032178217821784,0.7725344644750796,10.241653418124006,0.9898051361465996,11.0625,1.954674220963173,0.0042249393457145,0.4629080118694362,0.0,0.0100680272108843,0.1642806645457759,0.0565217391304347,0.0106122448979591,0.8125,0.0057142857142857,,0.0770307156295384,0.0356349793803531,-25.99699021820918,-79000000.0,-6587000000.0,-8374000000.0,2903000000.0,4257000000.0,1829000000.0,591000000.0,101.2408163265306,64.96734537072608,19.25854782942758,0.8889695210449927,1.385311335816924,4.673249551166966,-0.069513201320132,0.0978179082016553,2025-01-29,0.95,bmo,3641585096.0,2025-04-29,2024-12-31,-0.0210526315789472,100.28078125,1903925.171875
2024-09-30,OTIS,USD,1781335,2024-10-31,2024-10-31 16:13:38,2024,Q3,3548000000.0,2470000000.0,1078000000.0,0.3038331454,40000000,0.0,0.0,455000000.0,220000000.0,713000000.0,3181000000.0,0.0,0.0,48000000.0,411000000.0,0.1158399098,363000000.0,0.1023111612,149000000.0,512000000.0,0.1443066516,-45000000.0,540000000.0,0.1521984216,1.35,1.34,400200000,402700000,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000057/0001781335-24-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000057/otis-20240930.htm,8.865567216391804,1.3493253373313343,0.9845077461269364,0.9045477261369316,2.066466766616692,-11.944027986006995,-16.8415792103948,-12.246376811594205,18.86306846576712,41596788000.0,48318788000.0,19.257772222222226,11.724010146561444,105.5756040609137,114.9082541436464,-8.487408284023669,-8.487408284023669,13.61859864712514,117.5639610705596,122.63651776649746,133.47731491712707,0.0129817715733243,0.0087025950176729,-1.5402978983880842,0.7356982750219276,16.355231143552313,0.8021489440533531,0.0,0.7296296296296296,0.0037262492478986,0.287037037037037,0.0,0.0112739571589627,0.1910145210018516,0.0812182741116751,0.0090191657271702,0.6666666666666666,0.0045095828635851,,0.1030812573414252,0.0650524033249006,-26.527986006996503,-1602000000.0,-6740000000.0,-8546000000.0,1488000000.0,4368000000.0,1747500000.0,615000000.0,111.10484780157834,64.82186234817814,22.77327935222672,0.8100456621004566,1.3884204609331086,3.952,-0.1101815955927361,0.079960019990005,2024-10-30,0.97,bmo,3590089764.0,2025-04-25,2024-09-30,-0.0103092783505154,95.27453125,2249219.21875
2024-06-30,OTIS,USD,1781335,2024-07-25,2024-07-25 16:10:22,2024,Q2,3601000000.0,2520000000.0,1081000000.0,0.3001943904,39000000,0.0,0.0,444000000.0,-24000000.0,507000000.0,3027000000.0,0.0,27000000.0,41000000.0,611000000.0,0.1696750903,574000000.0,0.1594001666,-26000000.0,544000000.0,0.1510691475,94000000.0,415000000.0,0.1152457651,1.03,1.02,402900000,405500000,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000039/0001781335-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000039/otis-20240630.htm,8.937701662943658,1.0300322660709853,0.7644576818069,0.7048895507570117,2.360387192851824,-12.117150657731449,-16.790766939687266,-12.524199553239017,18.587738893025566,38255355000.0,44766355000.0,23.045394578313253,10.62353651763399,124.20569805194803,134.70195422535213,-7.581322829964328,-7.581322829964328,12.431645376284363,73.26735679214403,145.34530844155844,157.6280105633803,0.0108481544609898,0.0074237972696894,-1.4787950852160128,0.7569486711300467,10.656301145662848,0.7901203293223559,21.25925925925926,0.7421686746987952,0.0041040006033142,0.3783132530120482,0.0,0.0108303249097472,0.1910123757354433,0.0779220779220779,0.0066648153290752,0.5853658536585366,0.0055540127742293,,0.1312009329844123,0.0520376175548589,-25.364854802680565,-1657000000.0,-6765000000.0,-8502000000.0,1332000000.0,4363000000.0,1678500000.0,599000000.0,108.86975840044433,61.285714285714285,21.607142857142858,0.8266758494031221,1.4685314685314683,4.1652892561983474,-0.0822433610780816,0.0595681310498883,2024-07-24,1.03,bmo,3736046667.0,2025-04-25,2024-06-30,0.029126213592233,96.37126984126984,2009727.015873016
2024-03-31,OTIS,USD,1781335,2024-04-25,2024-04-25 16:11:43,2024,Q1,3437000000.0,2408000000.0,1029000000.0,0.299389002,36000000,0.0,0.0,447000000.0,15000000.0,468000000.0,2876000000.0,0.0,44000000.0,44000000.0,605000000.0,0.1760256037,561000000.0,0.1632237416,-44000000.0,500000000.0,0.1454757056,126000000.0,353000000.0,0.1027058481,0.87,0.87,405200000,408100000,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000022/0001781335-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000022/otis-20240331.htm,8.4822309970385,0.8711747285291214,0.4220138203356367,0.3455083909180652,2.1816386969397827,-11.88548864758144,-16.618953603158936,-12.398815399802569,17.79121421520237,39940564000.0,46221564000.0,28.286518413597733,11.620763456502765,233.5705497076023,285.28974285714287,-7.949953025477706,-7.949953025477706,13.44822926971196,76.39927933884297,270.30154385964914,330.15402857142857,0.0088381325812024,0.0035052083891454,-1.426154458598726,0.731794505157798,10.38181818181818,0.9715099715099716,12.75,0.4844192634560906,0.0034551339835862,0.3909348441926346,0.0,0.0104742508001163,0.1958941885404963,0.1812865497076023,0.0090194937445446,0.7045454545454546,0.0046552225778295,,0.1196202964652223,0.0448367839451289,-25.04689042448173,-180000000.0,-6734000000.0,-8469000000.0,2856000000.0,4312500000.0,1759500000.0,602500000.0,114.43118999127148,61.33305647840532,22.16362126245847,0.7864988558352403,1.4673979280926264,4.06070826306914,-0.0702627388535031,0.0765054294175715,2024-04-24,0.87,bmo,3457521714.0,2025-04-25,2024-03-31,0.0114942528735632,92.42475409836064,2094040.786885246
2023-12-31,OTIS,USD,1781335,2024-02-02,2024-02-02 16:19:12,2023,Q4,3620000000.0,2552000000.0,1068000000.0,0.2950276243,37000000,0.0,0.0,497000000.0,-15000000.0,545000000.0,3097000000.0,0.0,41000000.0,48000000.0,570000000.0,0.1574585635,522000000.0,0.144198895,-45000000.0,477000000.0,0.1317679558,133000000.0,323000000.0,0.0892265193,0.79,0.79,408000000,410900000,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000013/0001781335-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133524000013/otis-20231231.htm,8.872549019607844,0.7916666666666666,1.463235294117647,1.3602941176470589,3.122549019607843,-11.568627450980392,-16.28186274509804,-12.068627450980392,18.00980392156863,36503760000.0,42536760000.0,28.25368421052632,10.083911602209945,61.14532663316583,65.77254054054055,-7.4134362307067425,-7.4134362307067425,11.750486187845304,74.6258947368421,71.25085427135679,76.64281081081081,0.0088484035617152,0.0152039132407182,-1.4839561332250204,0.7222496787585253,10.58421052631579,0.9878067603025158,12.731707317073171,1.7354651162790695,0.0038078269197474,0.4303405572755417,0.0,0.0102209944751381,0.190076109518632,0.0703517587939698,0.0116022099447513,0.875,0.0041436464088397,,0.099406609503216,0.0394190871369294,-24.670955882352946,-79000000.0,-6643000000.0,-8437000000.0,2987000000.0,4221500000.0,1766500000.0,618000000.0,105.78729281767956,66.23040752351098,21.58307210031348,0.8507638072855465,1.3588924387646433,4.169934640522876,-0.0655970755483346,0.1029411764705882,2024-01-31,0.86,bmo,3573960000.0,2025-04-25,2023-12-31,0.0116279069767441,83.14857142857143,1954164.2063492064
2023-09-30,OTIS,USD,1781335,2023-10-26,2023-10-26 16:16:58,2023,Q3,3523000000.0,2477000000.0,1046000000.0,0.296906046,36000000,452000000.0,0.0,452000000.0,9000000.0,475000000.0,2952000000.0,39000000.0,39000000.0,46000000.0,617000000.0,0.1751348283,571000000.0,0.1620777746,-39000000.0,532000000.0,0.1510076639,137000000.0,376000000.0,0.1067272211,0.92,0.91,410800000,413700000,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000038/0001781335-23-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000038/otis-20230930.htm,8.575949367088608,0.9152872444011684,0.744888023369036,0.6621226874391432,3.982473222979552,-11.222005842259009,-15.80574488802337,-11.655306718597858,18.838851022395325,32991348000.0,39055348000.0,21.93573670212766,9.364560885608856,107.81486274509804,121.2917205882353,-6.890423558897243,-6.890423558897243,11.085821175134829,63.2987811993517,127.63185620915031,143.58583823529412,0.0113969274611028,0.0082445858229254,-1.608187134502924,0.7410972088546679,9.828200972447323,1.0,14.64102564102564,0.7746835443037975,0.0042132258433332,0.3696808510638298,0.1282997445359069,0.0102185637240987,0.1812319538017324,0.1111111111111111,0.0096508657394266,0.7391304347826086,0.0042577348850411,,0.1003210522757437,0.0441988950276243,-24.12609542356378,0.0,-6493000000.0,-8251000000.0,3008000000.0,4210000000.0,1699500000.0,632000000.0,106.9883621913142,60.13322567622123,22.67258780783205,0.8412129894937918,1.4966767371601208,3.969551282051282,-0.0785296574770259,0.0827653359298929,2023-10-25,0.87,bmo,3520050000.0,2025-04-25,2023-09-30,0.0919540229885057,85.52222222222221,1875173.9365079368
2023-06-30,OTIS,USD,1781335,2023-07-27,2023-07-27 16:24:06,2023,Q2,3720000000.0,2637000000.0,1083000000.0,0.2911290323,36000000,480000000.0,-1000000.0,479000000.0,-1000000.0,503000000.0,3140000000.0,37000000.0,35000000.0,52000000.0,632000000.0,0.1698924731,580000000.0,0.1559139785,-38000000.0,542000000.0,0.1456989247,135000000.0,376000000.0,0.1010752688,0.91,0.9,412700000,416000000,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000029/0001781335-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000029/otis-20230630.htm,9.01381148534044,0.9110734189483888,1.0806881511994184,0.9910346498667312,2.9537194087715046,-11.511994184637752,-16.198206929973345,-11.756724012599951,17.460625151441725,36734427000.0,42686427000.0,24.424486037234043,9.874845967741935,82.36418609865471,89.8152249388753,-7.57098660346249,-7.57098660346249,11.474845967741937,67.54181487341772,95.70947757847532,104.36779217603912,0.0102356299174069,0.0111339697771793,-1.4779472382522671,0.7075481006413419,9.417721518987342,0.8964794635373009,16.571428571428573,1.095823095823096,0.0038383612190275,0.375,0.1290322580645161,0.0096774193548387,0.190823877651702,0.0829596412556053,0.0099462365591397,0.7115384615384616,0.0051075268817204,,0.1169849732340997,0.0458480673088647,-24.649866731281804,-741000000.0,-6685000000.0,-8469000000.0,2346000000.0,4153000000.0,1629500000.0,641000000.0,102.38709677419354,59.522184300341294,21.843003412969285,0.8790170132325141,1.5120412844036697,4.1203125,-0.0774938169826875,0.0896535013326871,2023-07-26,0.86,bmo,3582710000.0,2025-04-25,2023-06-30,0.0697674418604651,84.24838709677418,1871945.677419355
2023-03-31,OTIS,USD,1781335,2023-04-27,2023-04-27 16:34:30,2023,Q1,3346000000.0,2350000000.0,996000000.0,0.2976688583,35000000,0.0,0.0,455000000.0,-7000000.0,483000000.0,2833000000.0,33000000.0,33000000.0,47000000.0,560000000.0,0.1673640167,513000000.0,0.1533173939,-33000000.0,480000000.0,0.1434548715,128000000.0,331000000.0,0.0989240885,0.8,0.79,414300000,417800000,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000016/0001781335-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000016/otis-20230331.htm,8.076273231957519,0.7989379676562877,0.6710113444363988,0.6106685976345644,2.6961139271059618,-11.194786386676322,-15.85324643977794,-11.723388848660392,17.195269128650736,34966920000.0,40940920000.0,26.41006042296073,10.450364614465032,125.78028776978418,138.2091699604743,-7.199283508338481,-7.199283508338481,12.235780035863716,73.10878571428572,147.2694964028777,161.82181818181817,0.009466089664174,0.0072354099245801,-1.4599547045501338,0.720264093448451,10.667857142857144,0.9018027260735748,15.545454545454543,0.7897727272727273,0.0034318149839905,0.3625377643504531,0.0,0.0104602510460251,0.1960385982732351,0.0899280575539568,0.0074716078900179,0.5319148936170213,0.0044829647340107,,0.1025627044711014,0.0418193303853442,-24.111754767077,-670000000.0,-6568000000.0,-8330000000.0,2447000000.0,4047500000.0,1616000000.0,629500000.0,109.581589958159,58.02127659574468,24.58723404255319,0.8213058419243986,1.551155115511551,3.660436137071651,-0.0681490632077414,0.0603427468018344,2023-04-26,0.76,bmo,3257800000.0,2025-04-25,2023-03-31,0.0526315789473684,82.74822580645161,1811376.741935484
2022-12-31,OTIS,USD,1781335,2023-02-03,2023-02-03 16:19:35,2022,Q4,3439000000.0,2479000000.0,960000000.0,0.279150916,38000000,0.0,0.0,448000000.0,-17000000.0,469000000.0,2948000000.0,37000000.0,36000000.0,46000000.0,537000000.0,0.1561500436,491000000.0,0.1427740622,-36000000.0,455000000.0,0.1323059029,137000000.0,297000000.0,0.0863623146,0.71,0.71,415800000,418700000,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000009/0001781335-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1781335/000178133523000009/otis-20221231.htm,8.27080327080327,0.7142857142857143,1.115921115921116,1.034151034151034,2.85954785954786,-11.216931216931217,-15.873015873015872,-11.712361712361712,17.12121212121212,32561298000.0,38455298000.0,27.4085,9.468246001744694,70.17521120689655,75.7239488372093,-6.686098151950719,-6.686098151950719,11.182116312881652,71.61135567970204,82.8777974137931,89.43092558139534,0.0091212580039038,0.0132058617564938,-1.4544147843942503,0.7213565536205316,10.975791433891992,0.8977056846412392,13.63888888888889,1.4591194968553458,0.0036853567692541,0.404040404040404,0.0,0.011049723756906,0.1971687544556472,0.0732758620689655,0.0098865949403896,0.7391304347826086,0.0075603373073567,,0.0909516139836839,0.0376760116706837,-23.977272727272727,-700000000.0,-6600000000.0,-8340000000.0,2404000000.0,3882500000.0,1619000000.0,610000000.0,105.23117185228264,62.33561920129085,22.40016135538524,0.8552598856005968,1.4437973209085615,4.017828200972447,-0.0609856262833675,0.0817700817700817,2023-02-01,0.74,bmo,3356176250.0,2025-04-25,2022-12-31,0.0135135135135135,73.83047619047619,2056116.0
