date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PFG,USD,1126328,2025-04-30,2025-04-30 15:13:56,2025,Q1,3695900000.0,2239100000.0,1456800000.0,0.3941665088,0,0.0,0.0,0.0,1427900000.0,1427900000.0,3667000000.0,100000.0,42700000.0,41700000.0,113300000.0,0.0306555913,28900000.0,0.0078194756,0.0,28900000.0,0.0078194756,-34000000.0,48100000.0,0.0130144214,0.21,0.21,224971715,224971715,https://www.sec.gov/Archives/edgar/data/1126328/000141057825001036/0001410578-25-001036-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000141057825001036/pfg-20250331x10q.htm,16.42828744049002,0.2138046553985686,4.344101657401687,4.271203604417559,17.227499021376975,51.539812460424194,38.83643772729385,49.858712238558525,19.526454692315436,18980863594.55,19455363594.55,98.65313718581082,5.135653993492789,19.421737025017908,19.75321427260901,1.6921816912622138,1.6921816912622138,5.264039501758705,171.71547744527803,19.90725835930625,20.24702216104693,0.0025341312717621,0.050624672329235,0.3878289708294701,0.0138982560247767,4.187996469549868,0.2123741054500422,0.6768149882903981,0.0,0.0089037044683533,3.5135135135135136,0.0,0.0,0.0091305746616728,0.0167809270438964,0.0044373494953867,0.0,0.0,15.487109405811712,-0.0058543214013141,0.0001550885487903,-1322.533368250315,-14373700000.0,8737100000.0,-297532600000.0,-10773100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042882105413308,0.0728980529841273,2025-04-24,1.85,amc,3989075000.0,2025-05-11,2025-03-31,-0.0216216216216216,83.17450000000001,1478174.4166666667
2024-12-31,PFG,USD,1126328,2025-02-19,2025-02-19 16:23:25,2024,Q4,4752000000.0,0.0,4752000000.0,1.0,0,0.0,0.0,0.0,3639600000.0,3639600000.0,4281500000.0,0.0,0.0,0.0,1112400000.0,0.2340909091,1112400000.0,0.2340909091,0.0,1112400000.0,0.2340909091,209900000.0,905400000.0,0.190530303,3.9,3.85,226225161,231200000,https://www.sec.gov/Archives/edgar/data/1126328/000141057825000160/0001410578-25-000160-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000141057825000160/pfg-20241231x10k.htm,21.005621032578247,4.00220734067684,6.4493268279738345,6.37462249391437,132.33320231784475,50.69727854011783,37.70314478856753,49.00604314300831,18.158899663685062,17512089713.01,17408189713.01,4.835456624975149,3.685204064185606,12.002803093221385,12.14346419319742,1.5796011070329412,1.5796011070329412,3.663339586071128,15.649217649235885,11.93158993352296,12.071416484994105,0.051701425405979,0.0823488243626711,0.3705440900562852,0.0130968336778638,-0.0934016540812657,1.6390418833835203,0.0,0.0,0.009462034669506,0.1830130329136293,0.0,0.0,0.0093718238265453,0.0115832762165867,0.0035563973063973,0.0,0.0,66.43024744873874,0.0103612845007812,0.0029138399351192,-1203.4801911357686,11672100000.0,8529400000.0,-272257500000.0,15381100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816676288064655,0.0747043340594638,2025-02-06,1.93,amc,4119488980.0,2025-05-06,2024-12-31,0.005181347150259,84.2696875,1183679.390625
2024-09-30,PFG,USD,1126328,2024-10-30,2024-10-30 12:18:48,2024,Q3,3011600000.0,0.0,3011600000.0,1.0,0,0.0,0.0,0.0,3011600000.0,3011600000.0,3011600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-293800000.0,-293800000.0,-0.0975561164,-100400000.0,-220000000.0,-0.07305087,-0.95,-0.95,230700000,230700000,https://www.sec.gov/Archives/edgar/data/1126328/000141057824001713/0001410578-24-001713-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000141057824001713/pfg-20240930x10q.htm,13.054182921543129,-0.9536194191590812,4.889466840052016,4.814911140008669,133.1031642826181,50.25227568270481,37.155179887299525,48.71001300390117,17.209362808842652,19817130000.0,17612830000.0,-22.519465909090908,6.580266303625979,17.568377659574466,17.840412315448326,1.763497784184954,1.763497784184954,5.848329791472971,0.0,15.614210992907802,15.855986676269357,-0.0111015066258333,0.0560525161817074,0.3533023653158204,0.0122970584254301,0.0,0.3228834387909847,0.0,-5.127272727272727,0.0083311761087503,-0.7504545454545455,0.0,0.0,0.0093586121687666,0.0152482269503546,0.0057112498339752,0.0,0.0,,0.0,-0.0006878520942907,-1216.114434330299,-12948500000.0,8571700000.0,-305090000000.0,-9128800000.0,0.0,9277300000.0,-26205750000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0195774823357716,0.0745557000433463,2024-10-24,1.99,amc,3917339544.0,2025-04-25,2024-09-30,-0.1155778894472361,80.76125,1223796.234375
2024-06-30,PFG,USD,1126328,2024-07-31,2024-07-31 14:47:58,2024,Q2,4310800000.0,0.0,4310800000.0,1.0,0,0.0,0.0,1320700000.0,-1765100000.0,1765100000.0,-3866900000.0,0.0,0.0,10400000.0,0.0,0.0,443500000.0,0.1028811358,-2546200000.0,443900000.0,0.102973926,87100000.0,353100000.0,0.0819105502,1.51,1.49,233800000,236600000,https://www.sec.gov/Archives/edgar/data/1126328/000141057824001133/0001410578-24-001133-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000141057824001133/pfg-20240630x10q.htm,18.437981180496152,1.5102651839178785,6.123609923011121,6.0470487596236095,26.770316509837468,48.48759623609923,35.704020530367835,47.10607356715141,17.03207869974337,18238738000.0,17404238000.0,12.913295100538091,4.23094042869073,12.739217713208074,12.900507851181214,1.656049721248661,1.656049721248661,4.03735687111441,0.0,12.156344206188448,12.310254632904227,0.0193598921153426,0.0775163281582311,0.3615686345724299,0.0137869931883854,0.0,0.5030944980642347,0.0,4.054658736901728,0.0090576442295514,0.4678561314075333,0.0,0.0,0.0103479483793592,0.0125026192638122,0.0041523615106244,1.7211538461538465,0.0061009557390739,40.00887294513204,0.0013357592765762,0.0012353004148454,-1272.2012403763902,-10935300000.0,8347600000.0,-266422300000.0,-7140600000.0,0.0,18807500000.0,-51977450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0320609439410173,0.0765611633875106,2024-07-25,1.84,amc,3795356352.0,2025-04-25,2024-06-30,-0.1141304347826087,81.2052380952381,996319.8412698412
2024-03-31,PFG,USD,1126328,2024-05-01,2024-05-01 14:57:22,2024,Q1,4053300000.0,0.0,4053300000.0,1.0,0,0.0,0.0,1343400000.0,-1327200000.0,1327200000.0,-3426200000.0,0.0,0.0,9500000.0,636600000.0,0.1570572126,612600000.0,0.1511361113,-2082800000.0,627100000.0,0.1547134434,95100000.0,532500000.0,0.1313744356,2.26,2.22,236000000,239400000,https://www.sec.gov/Archives/edgar/data/1126328/000141057824000583/0001410578-24-000583-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000141057824000583/pfg-20240331x10q.htm,17.175,2.2563559322033897,2.475423728813559,2.4042372881355933,23.08771186016949,49.15762711864407,36.42627118644068,47.396186440677965,16.87372881355932,20298360000.0,20112160001.0,9.52974647887324,5.007860262008734,34.74556658678535,35.77433909058865,1.814702963658308,1.814702963658308,4.961922384476846,31.59308828306629,34.42684012495721,35.44617553930208,0.0262336464620787,0.0279529971879501,0.3560144830360734,0.0138087052891065,-0.2924913587810241,0.4647180677912085,0.0,1.0970892018779344,0.0080006463576367,0.3049765258215962,0.0,0.0,0.0104187725156068,0.0287572749058541,0.0041447709273924,1.768421052631579,0.0075494041891791,49.0531344042655,0.0019503130061408,0.0018659416417553,-1258.9199152584745,-11757200000.0,8596600000.0,-266574800000.0,-7839100000.0,0.0,19344950000.0,-54623400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476062759822985,0.0711864406779661,2024-04-25,1.73,amc,3675322626.0,2025-04-25,2024-03-31,-0.046242774566474,80.25245901639343,1184449.8688524591
2023-12-31,PFG,USD,1126328,2024-02-20,2024-02-20 16:11:56,2023,Q4,2690800000.0,0.0,2690800000.0,1.0,0,0.0,0.0,1290400000.0,-1306500000.0,3798000000.0,3798000000.0,0.0,0.0,11000000.0,-1096200000.0,-0.4073881374,-1086700000.0,-0.4038575888,0.0,-1107200000.0,-0.4114761409,-268000000.0,-871700000.0,-0.3239557009,-3.69,-3.69,236438294,236438294,https://www.sec.gov/Archives/edgar/data/1126328/000110465924025516/0001104659-24-025516-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465924025516/pfg-20231231x10k.htm,11.3805591914819,-3.686797029587771,3.9925850590006378,3.874583869227207,115.0173245624924,47.216970699340266,34.19750609433851,46.16849417802008,16.883897834248458,18600600588.98,17884900588.98,-5.334576284553172,6.912665597212725,19.704026047648306,20.304115914179675,1.7039758692726272,1.7039758692726272,6.64668521962985,-16.31536269748221,18.945869267987288,19.522869325379325,-0.0468640781694136,0.0492510978673853,0.3657017222425797,0.0130885245901639,0.6528918080642219,77.04909983633388,0.0,-1.0829413789147642,0.0085481110805744,-0.1824022025926351,0.0,0.0,0.0100927868852459,0.0295550847457627,0.01036866359447,0.1023102310231023,0.0081760071354244,,-0.0649837132027856,-0.0028871724026461,-1249.7692103970264,4646600000.0,8085600000.0,-289128400000.0,8663300000.0,0.0,19093600000.0,-46182800000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0798552583363869,0.1180011897734298,2024-02-12,1.7,amc,3597350000.0,2025-04-25,2023-12-31,0.0764705882352941,72.42761904761905,1281210.8095238097
2023-09-30,PFG,USD,1126328,2023-11-01,2023-11-01 13:57:37,2023,Q3,4598700000.0,0.0,4598700000.0,1.0,0,0.0,0.0,1286100000.0,1286100000.0,1286100000.0,1286100000.0,0.0,0.0,10000000.0,1604900000.0,0.3489899319,1604900000.0,0.3489899319,-1707700000.0,1604900000.0,0.3489899319,358700000.0,1246200000.0,0.2709896275,5.17,5.1,241100000,244300000,https://www.sec.gov/Archives/edgar/data/1126328/000110465923113318/0001104659-23-113318-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465923113318/pfg-20230930x10q.htm,19.07382828701784,5.168809622563252,4.3575279925342185,4.267109079220241,24.18083782662795,44.26213189547905,31.512235586893404,44.47490667772709,16.399834093737038,17376077000.0,16765777000.0,3.4858122692986675,3.7784758736164568,16.539193809765077,16.889654954208453,1.620464333342659,1.620464333342659,3.645764455172114,10.446617857810455,15.95828766034484,16.296439557053304,0.0717192954428091,0.0592078406996009,0.3687435302017178,0.0137339353942341,-0.3802729142002617,0.2455046661108571,0.0,0.8430428494623656,0.0089836158069511,0.1252607928101428,0.0,0.0,0.0106773185133726,0.0207500476116029,0.0047404701328636,2.18,0.0052406114771565,71.91906788859866,-0.1467861812271051,0.0043753028164563,-1197.550808793032,-14027200000.0,7597600000.0,-272664100000.0,-9995100000.0,0.0,19239750000.0,-34470600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162185602775368,0.0904189133139776,2023-10-26,1.65,amc,3603990000.0,2025-04-25,2023-09-30,0.0424242424242424,77.6184126984127,987318.7301587302
2023-06-30,PFG,USD,1126328,2023-08-02,2023-08-02 14:04:34,2023,Q2,3557300000.0,0.0,3557300000.0,1.0,0,0.0,0.0,1252700000.0,1252700000.0,1252700000.0,1252700000.0,0.0,0.0,9000000.0,453600000.0,0.1275124392,453600000.0,0.1275124392,-1851000000.0,453600000.0,0.1275124392,64800000.0,388800000.0,0.1092963765,1.6,1.58,242700000,245500000,https://www.sec.gov/Archives/edgar/data/1126328/000110465923086723/0001104659-23-086723-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465923086723/pfg-20230630x10q.htm,14.65718994643593,1.6019777503090236,4.542645241038319,4.456530696332921,281.4820766378245,42.622579316028016,29.61598681499794,42.80799340749897,16.560362587556654,18406368000.0,18351668000.0,11.83537037037037,5.174252382424873,16.69511836734694,17.017721893491125,1.7716317435872757,1.7716317435872757,5.158875551682455,40.45782186948853,16.645503854875283,16.96714866863905,0.0211231243447919,0.0587622718398328,0.386852110303672,0.3776130480941778,-0.1205908289241622,0.2041471860170277,0.0,2.8356481481481484,0.008415565743334,0.3984053497942387,0.0,0.0,0.2965791970837209,0.0189569160997732,0.0058752424591684,2.3222222222222224,0.0070559131925898,39.28094565968653,-0.0376193747520585,0.0519300120208361,209.6291718170581,-15881800000.0,7187800000.0,3774700000.0,-11767400000.0,0.0,20223100000.0,-67632250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374223976129746,0.0861145447053976,2023-07-27,1.65,amc,3479840000.0,2025-04-25,2023-06-30,-0.0727272727272726,72.08064516129032,1435224.5161290322
2023-03-31,PFG,USD,1126328,2023-05-03,2023-05-03 14:54:32,2023,Q1,2819000000.0,0.0,2819000000.0,1.0,0,0.0,0.0,1242900000.0,1242900000.0,1242900000.0,3031500000.0,0.0,5600000.0,8300000.0,-212500000.0,-0.0753813409,-206900000.0,-0.0733948209,-1788600000.0,-212500000.0,-0.0753813409,-78000000.0,-134500000.0,-0.0477119546,-0.55,-0.55,243400000,243400000,https://www.sec.gov/Archives/edgar/data/1126328/000110465923055435/0001104659-23-055435-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465923055435/pfg-20230331x10q.htm,11.581758422350042,-0.5525883319638455,2.8566146261298275,2.7276088742810187,287.7477403451109,-1186.8640098603123,-1199.894412489729,42.15612161051767,19.38537387017255,18089488000.0,18161388000.0,-33.62358364312268,6.416987584249734,26.01681001006759,27.247308329567705,1.7629705286137531,1.7629705286137531,6.442493082653424,-85.46535529411764,26.120218610671653,27.355607772254857,-0.0074352574268547,0.0367008729047499,0.4593014189926711,0.4480997974765386,-0.3383529411764706,0.2255798806213909,-36.94642857142857,-5.169516728624536,0.0085961526384826,-1.1561338289962826,0.0,0.0,0.301560286385289,0.0451603624334819,0.0111387016672578,3.783132530120482,0.0100035473572188,,0.0126732792757098,-0.0183100317192371,-1149.773829087921,-15932300000.0,-292054300000.0,-294759100000.0,-11774500000.0,0.0,10262200000.0,-97812900000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0131081397162014,0.1290057518488085,2023-04-27,1.54,amc,3367830000.0,2025-04-25,2023-03-31,-0.0389610389610389,84.8466129032258,1929773.3548387096
2022-12-31,PFG,USD,1126328,2023-02-16,2023-02-16 16:59:23,2022,Q4,3122000000.0,0.0,3122000000.0,1.0,0,0.0,0.0,1234700000.0,3854400000.0,3854400000.0,3117100000.0,0.0,0.0,9000000.0,275800000.0,0.0883408072,-20100000.0,-0.0064381807,737300000.0,4900000.0,0.0015695067,-10600000.0,15500000.0,0.0049647662,0.0637,0.0637,243500000,243500000,https://www.sec.gov/Archives/edgar/data/1126328/000110465923022860/0001104659-23-022860-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465923022860/pfg-20221231x10k.htm,12.821355236139633,0.0636550308008213,4.77700205338809,4.653798767967146,278.1843942505133,42.31950718685832,29.459137577002053,41.07474332648871,16.746201232032853,20434520000.0,19664220000.0,329.5890322580645,6.545329916720052,17.567503438789547,18.03258030356513,2.043104672205725,2.043104672205725,6.2985970531710445,71.29883973894127,16.905278541953233,17.35282386163078,0.0007585203860917,0.0554551807431738,0.4077006908825499,0.0134575425867841,-2.792965917331399,0.5319390338917024,0.0,0.2397263097151807,0.0076439280198409,10.07741935483871,0.0,0.0,0.0103348197784325,0.0257909215955983,0.0096092248558616,0.1013856032443393,0.0067264573991031,7.669994534589192,0.0124574605013932,5.168849644166386e-05,-1118.2022587268991,-9612100000.0,7173300000.0,-281776100000.0,-5484500000.0,0.0,10334850000.0,-47320150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015497365447873,0.1232032854209445,2023-01-30,1.52,amc,3344335138.0,2025-04-25,2022-12-31,0.1184210526315789,85.78507936507937,1751485.7777777778
