date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PG,USD,80424,2025-04-24,2025-04-24 16:20:00,2025,Q3,19776000000.0,9694000000.0,10082000000.0,0.5098098706,0,0.0,0.0,5524000000.0,0.0,5524000000.0,15218000000.0,111000000.0,217000000.0,690000000.0,5567000000.0,0.2815028317,4558000000.0,0.2304813916,103000000.0,4661000000.0,0.2356897249,868000000.0,3769000000.0,0.1905845469,1.58,1.54,2347200000,2449800000,https://www.sec.gov/Archives/edgar/data/80424/000008042425000037/0000080424-25-000037-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042425000037/pg-20250331.htm,8.425357873210634,1.605743012951602,1.578476482617587,1.2125085207907291,3.883776414451261,22.38624744376278,-4.16112815269257,22.26993865030675,14.637866394001364,400009824000.0,425034824000.0,26.532888299283627,20.22703398058253,107.96486477732792,140.55158959943782,7.652468319559228,7.652468319559228,21.49245671521036,76.34898940183223,114.71925074224022,149.34463246661983,0.0094222685890834,0.0071148252598916,0.6531412610958065,0.2776052169387888,4.495239805999641,0.7134723195515067,21.004608294930875,0.9767993672554706,0.0060823506174688,0.6455293181215176,0.0,0.0,0.5066675339881611,0.2318488529014845,0.0434364886731391,1.244927536231884,0.0062196601941747,28.36539200677993,0.0376089357826953,0.0621209124472573,-22.588083674164963,-9813000000.0,-9767000000.0,-46004000000.0,75227000000.0,6186500000.0,14503500000.0,7210000000.0,27.93841019417476,134.7307612956468,68.70229007633588,3.221371558885812,0.6679988974641676,1.31,0.0721036118763391,0.3659679618268575,2025-04-24,1.52,bmo,20153978350.0,2025-05-11,2025-03-31,0.0131578947368421,,
2024-12-31,PG,USD,80424,2025-01-22,2025-01-22 16:16:26,2025,Q2,21882000000.0,10418000000.0,11464000000.0,0.5239009231,0,0.0,0.0,5723000000.0,0.0,5723000000.0,16141000000.0,119000000.0,240000000.0,706000000.0,6791000000.0,0.3103464034,5741000000.0,0.2623617585,104000000.0,5845000000.0,0.2671145234,1187000000.0,4630000000.0,0.2115894342,1.94,1.88,2351900000,2458100000,https://www.sec.gov/Archives/edgar/data/80424/000008042425000013/0000080424-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042425000013/pg-20241231.htm,9.303967005399889,1.968621114843318,2.0515328032654447,1.658233768442536,4.349674731068498,21.87295378204856,-4.374335643522259,21.75602704196607,14.850546366767295,394296035000.0,418753035000.0,21.29028266738661,18.019195457453616,81.71938549222799,101.10154743589744,7.705910627736085,7.705910627736085,19.13687208664656,61.662941393020176,86.78819378238342,107.37257307692308,0.0117424462561486,0.0098910454425442,0.6779041588492808,0.2828382488441686,3.60138418495067,0.7587063940586443,23.92083333333333,1.0356299635114832,0.0061907799808334,0.5272138228941685,0.0,0.0,0.5033553763484699,0.1917098445595854,0.0422721871858148,1.3101983002832862,0.0062151540078603,31.04288839207982,0.0465585276060716,0.0760162868588691,-22.4416429269952,-8155000000.0,-10288000000.0,-45554000000.0,75650000000.0,6274000000.0,14922500000.0,7153500000.0,25.64025226213326,125.22077174121712,60.645037435208295,3.5101058710298365,0.7187305967575026,1.484045584045584,0.0904862414008755,0.3932990348229091,2025-01-22,1.89,bmo,21578241895.0,2025-04-25,2024-12-31,-0.0052910052910052,163.67857142857142,9262631.0
2024-09-30,PG,USD,80424,2024-10-18,2024-10-18 16:15:59,2025,Q1,21737000000.0,10421000000.0,11316000000.0,0.5205870175,0,0.0,0.0,5519000000.0,0.0,5519000000.0,15971000000.0,135000000.0,238000000.0,728000000.0,6182000000.0,0.2843998712,5797000000.0,0.2666881354,-657000000.0,5140000000.0,0.2364631734,1152000000.0,3959000000.0,0.1821318489,1.65,1.58,2356200000,2466000000,https://www.sec.gov/Archives/edgar/data/80424/000008042424000113/0000080424-24-000113-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042424000113/pg-20240930.htm,9.22544775485952,1.680247856718445,1.8258212375859435,1.4043799337916985,5.159154570919277,22.129275952805365,-4.618877854171972,22.001952296069945,15.444783974195738,408093840000.0,432090840000.0,25.770007577671127,18.77415650733772,94.86142259414224,123.32844968268358,7.872028703150015,7.872028703150015,19.87812669641625,69.89499191200258,100.43952580195258,130.5804895738894,0.0097012000965268,0.0081084291789359,0.6973823807411123,0.2858351385967964,3.881753477838887,0.7536792970895112,24.357142857142858,1.0790067720090293,0.0059912690669381,0.6175801970194493,0.0,0.0,0.4982843408548252,0.2308228730822873,0.0456824768827345,1.364010989010989,0.0048304733863918,28.840882385159308,0.0447666510192247,0.0623877210123231,-22.835922247686952,-8971000000.0,-10883000000.0,-46892000000.0,76559000000.0,6216000000.0,15357000000.0,7151500000.0,26.14252196715278,132.56885135783514,62.93349966413972,3.442667089008552,0.6788925081433225,1.4300809661040208,0.0763681256148608,0.421441303794245,2024-10-18,1.9,bmo,21986375700.0,2025-04-25,2024-09-30,0.0157894736842105,167.48,7747061.6
2024-06-30,PG,USD,80424,2024-08-05,2024-08-05 16:16:53,2024,Q4,20532000000.0,10348000000.0,10184000000.0,0.4960062342,0,0.0,0.0,6299000000.0,0.0,6299000000.0,16647000000.0,107000000.0,220000000.0,761000000.0,4849000000.0,0.236167933,3885000000.0,0.1892168323,-15000000.0,3870000000.0,0.1884862653,726000000.0,3137000000.0,0.1527858952,1.3,1.27,2472200000,2472200000,https://www.sec.gov/Archives/edgar/data/80424/000008042424000083/0000080424-24-000083-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042424000083/pg-20240630.htm,8.305153304748806,1.2689102823396166,2.3270770973222232,2.0103551492597687,3.8354502062939897,20.45101529002508,-4.769436129762965,20.34058733112208,13.586683925248764,402276384000.0,426163384000.0,32.05900414408671,19.59265458796025,69.92462784634104,80.94092233400403,7.999769001312493,7.999769001312493,20.756058055717904,87.88685997112806,74.07672240570137,85.7471597585513,0.007798121204152,0.0123546899536613,0.6635842978164896,0.2726893846531013,4.926170344400908,0.7347964433342254,17.65909090909091,1.8339177558176605,0.0060878542648926,0.7806821804271598,0.0,0.0,0.5095203072648525,0.1361029028333043,0.0381355932203389,1.028909329829172,0.0062828755113968,24.098414041155785,0.0328164326867299,0.052265911362879,-21.93693875900008,-8918000000.0,-11791000000.0,-47102000000.0,76459000000.0,6121000000.0,14527500000.0,7046500000.0,26.817650496785504,133.62582141476614,61.02048705063781,3.355998692383132,0.6735225201770372,1.474914481185861,0.0623831682774529,0.3167219480624545,2024-07-30,1.37,bmo,20724628008.0,2025-04-25,2024-06-30,0.0218978102189779,170.3115625,6730656.4375
2024-03-31,PG,USD,80424,2024-04-19,2024-04-19 16:17:56,2024,Q3,20195000000.0,9855000000.0,10340000000.0,0.5120079228,0,0.0,0.0,5880000000.0,0.0,5880000000.0,15735000000.0,104000000.0,233000000.0,712000000.0,5528000000.0,0.2737311216,4460000000.0,0.2208467442,132000000.0,4592000000.0,0.2273830156,812000000.0,3754000000.0,0.1858875959,1.56,1.52,2360500000,2472000000,https://www.sec.gov/Archives/edgar/data/80424/000008042424000051/0000080424-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042424000051/pg-20240331.htm,8.555390807032408,1.5903410294429146,2.2592671044270283,1.9216267739885613,2.892607498411353,21.323024782884985,-5.264562592671044,21.206524041516627,13.647532302478288,379049090000.0,404203090000.0,25.24301345231753,18.76945233968804,71.07614663416464,83.56461419753086,7.572198050261697,7.572198050261697,20.015008170339197,73.11922756874095,75.79281642602663,89.110028659612,0.0099037304112773,0.0119667877319003,0.6388988773023293,0.2674124985367648,4.550289435600579,0.6944341372912801,19.141630901287552,1.4206180074587107,0.0060282429381376,0.6086840703249867,0.0,0.0,0.5247579390959715,0.1494468404275267,0.0394652141619212,1.1193820224719102,0.0078237187422629,27.546798701293007,0.0386509886975547,0.0660473626798972,-23.0059309468333,-9882000000.0,-12427000000.0,-46807000000.0,74905000000.0,6229000000.0,13962500000.0,7114000000.0,27.291903936617977,125.03196347031964,64.63013698630137,3.297681254082299,0.7198159374771748,1.3925392115303097,0.0749930081105917,0.3376403304384664,2024-04-19,1.41,bmo,20434909334.0,2025-04-25,2024-03-31,0.0780141843971631,169.7634375,6853677.0
2023-12-31,PG,USD,80424,2024-01-23,2024-01-23 16:11:37,2024,Q2,21441000000.0,10144000000.0,11297000000.0,0.5268877384,0,0.0,0.0,5522000000.0,0.0,6864000000.0,16830000000.0,133000000.0,248000000.0,721000000.0,5582000000.0,0.2603423348,4433000000.0,0.2067534164,63000000.0,4496000000.0,0.2096917121,1003000000.0,3468000000.0,0.1617461872,1.44,1.4,2358000000,2468400000,https://www.sec.gov/Archives/edgar/data/80424/000008042424000018/0000080424-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042424000018/pg-20231231.htm,9.092875318066158,1.470737913486005,1.6348600508905853,1.2883799830364715,3.346055979643766,20.70737913486005,-6.102629346904156,20.58269720101781,14.402035623409668,345541320000.0,371363320000.0,24.909264705882357,16.115914369665592,89.63458365758754,113.7397366688611,7.119572258622821,7.119572258622821,17.320242526001586,66.5287208885704,96.33289753566795,122.23940750493746,0.0100364263237751,0.0087920020679437,0.6946058433263279,0.2792832348872081,4.625940523109996,0.642865090403338,17.875,1.1115916955017302,0.0066214946449819,0.6597462514417531,0.0,0.0,0.5237223405048506,0.2119325551232166,0.038104566018376,1.1331484049930651,0.006995942353435,26.098169390689677,0.0361106630970648,0.0603224852585622,-23.606870229007637,-12839000000.0,-14390000000.0,-48770000000.0,72511000000.0,6274500000.0,14334500000.0,7134000000.0,26.5873793199944,126.28746056782336,63.44538643533124,3.385064730028418,0.7126598285794576,1.4185428611383024,0.0714550624304611,0.3464800678541136,2024-01-23,1.7,bmo,21474200000.0,2025-04-25,2023-12-31,0.0823529411764706,163.48396825396824,6295012.206349206
2023-09-30,PG,USD,80424,2023-10-18,2023-10-18 16:07:40,2024,Q1,21871000000.0,10501000000.0,11370000000.0,0.5198664899,0,0.0,0.0,5604000000.0,0.0,5603000000.0,16034000000.0,128000000.0,225000000.0,702000000.0,6739000000.0,0.3081249143,5767000000.0,0.2636825019,35000000.0,5802000000.0,0.2652827946,1246000000.0,4521000000.0,0.2067120845,1.89,1.83,2360000000,2475200000,https://www.sec.gov/Archives/edgar/data/80424/000008042423000103/0000080424-23-000103-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042423000103/pg-20230930.htm,9.267372881355932,1.915677966101695,2.077966101694915,1.6860169491525423,4.124152542372881,20.344491525423727,-6.721610169491526,20.208474576271183,15.298728813559322,344229600000.00006,370376600000.00006,19.035036496350365,15.739088290430251,70.1936378466558,86.51158582558433,7.217763985574101,7.217763985574101,16.934598326551143,54.96017213236386,75.52540783034259,93.08283488313648,0.0131336758953907,0.0115591454076,0.7523274343705443,0.2928238568199068,3.879952515209972,0.6711879003175628,25.63111111111111,1.0763827919227391,0.0066525365628057,0.5065251050652511,0.0,0.0,0.5213048126596534,0.1886215334420881,0.042293447944767,1.3176638176638176,0.0057153308033468,29.51340226357345,0.0465973449710266,0.0770778279771545,-23.96832627118644,-12218000000.0,-15863000000.0,-49578000000.0,73294000000.0,5843000000.0,14516500000.0,7095000000.0,25.5749622788167,123.71678887724978,60.99704790019998,3.5190667739340307,0.7274679598198822,1.475481242096389,0.094795772875954,0.3919491525423729,2023-10-18,1.72,bmo,20442500000.0,2025-04-25,2023-09-30,0.063953488372093,156.83409836065573,6909193.213114754
2023-06-30,PG,USD,80424,2023-08-04,2023-08-04 16:16:13,2023,Q4,20553000000.0,10613000000.0,9940000000.0,0.4836276943,0,0.0,0.0,5778000000.0,0.0,5778000000.0,16391000000.0,116000000.0,240000000.0,706000000.0,5179000000.0,0.2519826789,4162000000.0,0.2025008515,71000000.0,4233000000.0,0.205955335,841000000.0,3384000000.0,0.1646474967,1.4,1.37,2477500000,2477500000,https://www.sec.gov/Archives/edgar/data/80424/000008042423000073/0000080424-23-000073-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042423000073/pg-20230630.htm,8.295862764883955,1.3658930373360243,2.1558022199798184,1.8595358224016143,3.3283551967709384,18.996972754793138,-7.013925327951564,18.880726538849647,14.39515640766902,375935850000.0,403113850000.0,27.773038563829783,18.29104510290469,70.38679086313425,81.60100933362274,8.0367670008765,8.0367670008765,19.61338247457792,77.83623286348715,75.47535105785434,87.50029303234209,0.009001535767339,0.0122547503782892,0.757295251940056,0.2931746517806156,5.247731222243677,0.6334041839131894,17.341666666666665,1.5745872641509433,0.006088804778794,0.6764184397163121,0.0,0.0,0.5333322298454841,0.1374274480434375,0.0357125480465138,1.0396600566572238,0.0067630029679365,24.088455547904168,0.0349138025139671,0.0600138329756858,-23.361553985872856,-13108000000.0,-17377000000.0,-51116000000.0,73243000000.0,5471000000.0,14194000000.0,7278000000.0,23.95708655670705,123.79346084990108,59.98021294638651,3.75671723633705,0.7270173996437869,1.5004948395306097,0.0723432456121598,0.2962663975782038,2023-07-28,1.32,bmo,18037300000.0,2025-04-25,2023-06-30,0.0378787878787879,148.1084126984127,6645171.126984127
2023-03-31,PG,USD,80424,2023-04-21,2023-04-21 16:10:59,2023,Q3,20068000000.0,10404000000.0,9664000000.0,0.4815626869,0,0.0,0.0,5416000000.0,0.0,5416000000.0,15820000000.0,83000000.0,222000000.0,692000000.0,5241000000.0,0.261162049,4248000000.0,0.211680287,40000000.0,4288000000.0,0.2136735101,864000000.0,3397000000.0,0.1692744668,1.41,1.37,2359100000,2473200000,https://www.sec.gov/Archives/edgar/data/80424/000008042423000046/0000080424-23-000046-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042423000046/pg-20230331.htm,8.506633885803907,1.439955915391463,1.637488872875249,1.3280488321817645,3.219871985079056,19.253528888135307,-8.108600737569413,19.13441566699165,15.604679750752403,350774579000.0,379769579000.0,25.815026420370916,17.47929933227028,90.80367046337044,111.96124449409513,7.770814776251661,7.770814776251661,18.924136884592382,72.46128200725053,98.30949495210976,121.21595244174912,0.009684282166867,0.0089316620632306,0.8106114311032344,0.3053040859066674,5.532341156267888,0.586510649487247,19.135135135135137,1.1371798645863995,0.0063402542063916,0.6546953193994701,0.0,0.0,0.5385854102176869,0.1889723013202174,0.0363763205102651,1.0549132947976878,0.0077735698624676,24.898515781326875,0.0355048221806248,0.0614274606245818,-25.00498071298377,-15725000000.0,-19129000000.0,-52125000000.0,70389000000.0,5619000000.0,13971500000.0,7512000000.0,24.536077337054017,119.29065743944636,64.7318339100346,3.6680679948821058,0.754459753444525,1.3903514633168514,0.0752547629596809,0.3094400406934848,2023-04-21,1.32,bmo,19978900000.0,2025-04-25,2023-03-31,0.0378787878787879,152.7452380952381,5535240.142857143
2022-12-31,PG,USD,80424,2023-01-19,2023-01-19 16:14:25,2023,Q2,20773000000.0,10897000000.0,9876000000.0,0.4754248303,0,0.0,0.0,5091000000.0,0.0,5091000000.0,15988000000.0,66000000.0,171000000.0,653000000.0,5659000000.0,0.272420931,4785000000.0,0.2303470852,50000000.0,4835000000.0,0.2327540557,876000000.0,3933000000.0,0.1893323064,1.63,1.59,2365900000,2481200000,https://www.sec.gov/Archives/edgar/data/80424/000008042423000014/0000080424-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042423000014/pg-20221231.htm,8.780168223509024,1.6623694999788663,1.5106302041506403,1.2113783338264508,2.8969948011327613,18.90401115854432,-7.954689547318146,18.78988968257323,14.815926285979966,358575804000.0,386603804000.0,22.79276659038901,17.261628267462573,100.32898824846112,125.11367899511514,8.066039905522437,8.066039905522437,18.61087969961007,68.31662908641103,108.17118186905428,134.89316259595256,0.0109683920558119,0.0079927311548327,0.7846586435721516,0.2963258718090303,4.952818519172999,0.5643421256387756,27.98245614035088,0.9087210780574624,0.0062218364293202,0.5672514619883041,0.0,0.0,0.5398207535148452,0.1980973698936765,0.0340827035093631,1.0842266462480858,0.0069802147017763,26.510453393260548,0.0420081586078044,0.0726047627838286,-24.531996280485227,-16880000000.0,-18820000000.0,-51124000000.0,67832000000.0,5743500000.0,14499000000.0,7565500000.0,24.985798873537767,116.89180508396808,62.28227952647518,3.602046124501474,0.7699427683176712,1.4450338151438802,0.0884714880215948,0.2992518703241895,2023-01-19,1.59,bmo,20746292277.0,2025-04-25,2022-12-31,0.0,150.72274193548387,6116616.29032258
