date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PGR,USD,80661,2025-05-05,2025-05-05 10:01:20,2025,Q1,20409000000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000000.0,0.0,0.0,,0.0,,0.0,3236000000.0,0.0,669000000.0,2567000000.0,,4.38,4.37,586000000,587700000,https://www.sec.gov/Archives/edgar/data/80661/000008066125000023/0000080661-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066125000023/pgr-20250331.htm,0.0,0.0,8.776450511945393,8.675767918088738,136.3532423208191,49.40955631399317,49.40955631399317,6.771331058020478,0.0,165843860000.0,165636860000.0,0.0,0.0,32.246521485514286,32.62074350904799,41.79532762096774,41.79532762096774,0.0,0.0,32.20627260353879,32.580027537372146,0.0,0.0306553405112495,0.0,0.0,0.0,0.0,0.0,2.00350603817686,0.0162502247596021,0.0,0.0,0.0,0.0,0.0114719035582344,0.0,0.8428571428571429,0.0,0.0,,0.0,17.1608361774744,96714000000.0,28954000000.0,14259000000.0,97568000000.0,17972500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006825938566552,2025-04-16,4.79,bmo,21466837235.0,2025-05-11,2025-03-31,-0.0292275574112734,261.56233333333336,2913703.45
2024-12-31,PGR,USD,80661,2025-03-03,2025-03-03 10:34:24,2024,Q4,20267400000.0,0.0,20267400000.0,1.0,0,0.0,0.0,0.0,17299500000.0,17299500000.0,17299500000.0,0.0,69900000.0,75800000.0,3113600000.0,0.1536260201,2967900000.0,0.1464371355,0.0,2967900000.0,0.1464371355,611400000.0,2356500000.0,0.1162704639,4.02,4.01,585600000,587700000,https://www.sec.gov/Archives/edgar/data/80661/000008066125000007/0000080661-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066125000007/pgr-20241231.htm,34.60963114754098,4.024077868852459,5.135416666666667,4.947233606557377,129.9351092896175,43.700478142076506,43.700478142076506,43.700478142076506,11.890198087431694,140315616000.0,147065616000.0,14.886019096117122,6.923217383581515,46.65833671399594,48.43312830071451,5.483006369426752,5.483006369426752,7.256264543059297,47.23330421377184,48.90287500415656,50.76304442373408,0.0167942818281893,0.0206470247759166,0.269352506740651,0.0651851151354674,2.167908530318602,0.0,42.45922746781116,1.276172289412264,0.0004211933189246,0.0250795671546785,0.0,0.0,0.0,0.0366441658630665,0.0054373032554743,1.4538258575197889,0.0017861195811993,62.902447141351466,0.0222847415953472,0.0222847415953472,17.565744535519126,95573000000.0,25591000000.0,15419000000.0,96363000000.0,17134700000.0,0.0,0.0,84.96699132597175,0.0,0.0,1.0592348698651617,0.0,0.0,0.0920831542339103,0.1881830601092896,2025-01-29,3.57,bmo,18297842556.0,2025-04-29,2024-12-31,0.1428571428571429,251.735625,2344051.15625
2024-09-30,PGR,USD,80661,2024-11-04,2024-11-04 09:19:11,2024,Q3,19711800000.0,0.0,19711800000.0,1.0,0,0.0,0.0,0.0,16767000000.0,16767000000.0,16767000000.0,0.0,69900000.0,70700000.0,3085400000.0,0.1565255329,2944800000.0,0.1493927495,0.0,2944800000.0,0.1493927495,611400000.0,2333400000.0,0.1183757952,3.98,3.97,585600000,587600000,https://www.sec.gov/Archives/edgar/data/80661/000008066124000045/0000080661-24-000045-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066124000045/pgr-20240930.htm,33.66086065573771,3.984631147540984,7.873121584699454,7.77629781420765,1.5428620218579234,46.37858606557377,46.37858606557377,46.37858606557377,11.888148907103826,148601856000.0,155346656000.0,15.921172537927488,7.538725839344961,32.23118013230669,32.632495059071545,5.471490649611735,5.471490649611735,7.880896518836433,50.34895183768717,33.69410172432491,34.1136316922131,0.0157023610795278,0.0306443009702382,0.2537546991270025,0.0655098500510919,2.186037466779024,0.0,42.128755364806864,1.9758721179394871,0.0003943423156168,0.0251135681837661,0.0,0.0,0.0,0.0122980153996312,0.0028764496393023,0.801980198019802,0.0018922675757667,64.48282770517588,0.0252929106358347,0.0221800812718328,-112.34315232240438,16038900000.0,27159300000.0,-62004300000.0,16727700000.0,14839950000.0,0.0,-4193600000.0,69.10510455666149,0.0,0.0,1.3023639943443848,0.0,0.0,0.0859153218234637,0.0968237704918032,2024-10-15,3.67,bmo,19024800976.0,2025-04-24,2024-09-30,-0.0217983651226158,232.495,2372470.4375
2024-06-30,PGR,USD,80661,2024-08-05,2024-08-05 09:27:02,2024,Q2,18127000000.0,0.0,18127000000.0,1.0,0,0.0,0.0,0.0,16266600000.0,16266600000.0,16266600000.0,0.0,69600000.0,67800000.0,1997800000.0,0.110211287,1860400000.0,0.1026314338,0.0,1860400000.0,0.1026314338,401700000.0,1458700000.0,0.0804711204,2.49,2.48,585400000,587300000,https://www.sec.gov/Archives/edgar/data/80661/000008066124000031/0000080661-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066124000031/pgr-20240630.htm,30.965152032798088,2.491800478305432,5.578749572941579,5.462760505637172,14.28886231636488,39.87085753331056,36.55978817902289,39.87085753331056,11.889818927229244,122617884000.0,129406884000.0,21.014924933159666,6.764378220334308,37.54604813521955,38.34325150880265,5.253461123202688,5.253461123202688,7.138902410768467,64.77469416357994,39.62486496417417,40.466207198474,0.0118963070672464,0.0260802086586325,0.2952263028911244,0.0743166581824143,3.3982380618680548,0.7397172641557,26.729885057471265,2.23884280523754,0.0004779074478238,0.0401727565640638,0.0,0.0,0.0209046945237746,0.0207912303264131,0.0037457935676063,1.0014749262536873,0.0017487725492359,47.27980533080585,0.0239178198989965,0.0160680747941508,-92.75866928595832,-8259500000.0,21402100000.0,-45907100000.0,-5607700000.0,14368500000.0,0.0,-8508350000.0,72.21299718651736,0.0,0.0,1.2463130392932036,0.0,0.0,0.0624967866874603,0.1159890673044072,2024-07-16,2.02,bmo,17582283921.0,2025-04-24,2024-06-30,0.3118811881188118,209.31079365079364,2681899.507936508
2024-03-31,PGR,USD,80661,2024-05-06,2024-05-06 09:56:59,2024,Q1,17236800000.0,0.0,17236800000.0,1.0,0,0.0,0.0,0.0,14296900000.0,14296900000.0,14296900000.0,0.0,69600000.0,69700000.0,3079200000.0,0.1786410471,2939900000.0,0.1705595006,0.0,2939900000.0,0.1705595006,608500000.0,2331400000.0,0.1352571243,3.95,3.94,585400000,587300000,https://www.sec.gov/Archives/edgar/data/80661/000008066124000018/0000080661-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066124000018/pgr-20240331.htm,29.444482405193032,3.9825760163990434,7.235052955244277,7.149299624188589,14.655620088828153,37.25879740519303,34.152886916638195,37.2587974034848,11.888110693542878,122904730000.0,129626530000.0,13.179283906665525,7.130368165784833,29.018446899938613,29.36651295039664,5.634910803115815,5.634910803115815,7.520336141279124,42.09747012210964,30.60549889030552,30.97260107043869,0.0189691641647965,0.034052391637002,0.3158775497104711,0.0774866248213175,2.1829696024941545,0.7546785582050966,42.23994252873563,1.816676674959252,0.0041145690649985,0.2169082954447971,0.0,0.0,0.0204488121761643,0.0118524814657411,0.0029123735264086,0.7202295552367288,0.0009746588693957,57.781353749520825,0.0401099005080403,0.0267680101955876,-89.16018961223095,-7553300000.0,19993100001.0,-43867299999.0,-4978800000.0,7096250000.0,0.0,-43967300000.0,74.10453216374269,0.0,0.0,1.2145006165228114,0.0,0.0,0.1068895480782897,0.0857533310556884,2024-05-15,3.21,bmo,17336000000.0,2025-04-24,2024-03-31,0.161993769470405,185.5444262295082,2507350.229508197
2023-12-31,PGR,USD,80661,2024-02-26,2024-02-26 10:46:54,2023,Q4,16883800000.0,0.0,16883800000.0,1.0,0,0.0,0.0,0.0,14380400000.0,14380400000.0,14380400000.0,0.0,69700000.0,76300000.0,2649400000.0,0.1569196508,2503400000.0,0.1482723084,0.0,2503400000.0,0.1482723084,515600000.0,1987800000.0,0.1177341594,3.38,3.37,585300000,587500000,https://www.sec.gov/Archives/edgar/data/80661/000008066124000007/0000080661-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066124000007/pgr-20231231.htm,28.84640355373313,3.396207073295746,4.164189304630105,4.023919357594396,19.57235605672305,34.643943276951994,34.25457030582607,34.643943276951994,12.191184008200922,93226584000.0,100192784000.0,11.72484455176577,5.521658868264253,38.24994214909941,39.58329823369565,4.597629049518915,4.597629049518915,5.934255558582784,37.81716011172341,41.1081048701432,42.54109375,0.021322244307482,0.0252631802962983,0.3484620581838626,0.0837916746713342,2.6293500415188347,0.8056141938926812,35.916786226685794,1.2261293892745748,0.0007390595798297,0.0346614347519871,0.0,0.0,0.0027026129606834,0.0336848151643211,0.0048626494035702,1.0760157273918742,0.0020493016974851,51.451969030260855,0.0363276174324316,0.0236367376593232,-157.60387835298138,-5755200000.0,20049200000.0,-40196800000.0,-4474000000.0,6204000000.0,0.0,-54182850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980317698290189,0.1402699470357082,2024-01-24,2.43,bmo,18131500000.0,2025-04-24,2023-12-31,0.2222222222222222,156.55936507936508,2422618.5555555555
2023-09-30,PGR,USD,80661,2023-10-31,2023-10-31 08:41:29,2023,Q3,15553400000.0,0.0,15553400000.0,1.0,0,0.0,0.0,0.0,14143200000.0,14143200000.0,14143200000.0,0.0,69700000.0,71400000.0,1481600000.0,0.0952589144,1410200000.0,0.0906682783,0.0,1410200000.0,0.0906682783,288900000.0,1121300000.0,0.0720935615,1.9,1.89,584800000,587500000,https://www.sec.gov/Archives/edgar/data/80661/000008066123000049/0000080661-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066123000049/pgr-20230930.htm,26.59610123119015,1.917407660738714,5.847298221614227,5.785225718194255,19.359439124487004,29.74572503419973,28.83823529411765,29.74572503419973,11.8968878248974,81462640000.0,88211840000.0,18.162543476322128,5.23760978306994,23.822968270214947,24.078576495625445,4.683025874805264,4.683025874805264,5.671547057235074,59.538228941684665,25.79670712092411,26.0734925514306,0.013764591965102,0.0415306943158237,0.395946031399286,0.0860021177128701,4.555345572354212,0.846108759590344,20.23242467718795,3.049585302773566,0.0008445589290992,0.0613573530723267,0.0,0.0,0.0066265932792584,0.0106155870741336,0.0023338948397135,0.4885598923283983,0.002758239356025,35.822902223759634,0.0217330630191326,0.0140945274820031,-96.7749658002736,-4384700000.0,16864600000.0,-38583600000.0,-2934200000.0,15099100000.0,0.0,-28608900000.0,71.79909215991358,0.0,0.0,1.2534977433913603,0.0,0.0,0.0644599403287094,0.0620725034199726,2023-10-13,1.72,bmo,14504900000.0,2025-04-24,2023-09-30,0.2151162790697673,131.53650793650792,2713893.6507936507
2023-06-30,PGR,USD,80661,2023-08-01,2023-08-01 10:13:34,2023,Q2,15347400000.0,0.0,15347400000.0,1.0,0,0.0,0.0,0.0,14911700000.0,14911700000.0,14911700000.0,0.0,65700000.0,72600000.0,508300000.0,0.0331196164,435700000.0,0.0283891734,0.0,435700000.0,0.0283891734,90300000.0,345400000.0,0.0225054407,0.57,0.57,584900000,587000000,https://www.sec.gov/Archives/edgar/data/80661/000008066123000037/0000080661-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066123000037/pgr-20230630.htm,26.239357155069243,0.5905282954351171,3.995554795691571,3.840998461275431,17.724397332877416,28.5712087536331,27.658916054026328,28.5712087536331,11.88613438194563,77423213000.0,84130213000.0,56.03880500868559,5.04471200333607,33.129316645271714,34.462393394462744,4.632985644444179,4.632985644444179,5.48172413568422,165.51291166633877,35.99923534445871,37.44779355470489,0.0044611943449053,0.0290171372763876,0.4120864325336748,0.0892202411336859,13.194963604170765,0.8428945323382355,6.631659056316591,6.766068326577881,0.0008782895641388,0.1968731905037637,0.0,0.0,0.0069132245217359,0.0386820710312366,0.0058902485111484,1.1941875825627477,0.001817897494038,19.483901356904543,0.0069211501854908,0.0045060911811594,-86.92605573602326,-4285900000.0,16177700000.0,-37479600000.0,-2763300000.0,15100800000.0,3139350000.0,-28351750000.0,104.32503225302004,0.0,0.0,0.8626884464480444,0.0,0.0,0.0206686493570218,0.1545563344161395,2023-07-13,0.88,bmo,15328900000.0,2025-04-24,2023-06-30,-0.4318181818181818,134.0608064516129,2827001.4032258065
2023-03-31,PGR,USD,80661,2023-05-02,2023-05-02 11:19:04,2023,Q1,14297700000.0,0.0,14297700000.0,1.0,0,0.0,0.0,0.0,13743300000.0,13743300000.0,13743300000.0,0.0,63300000.0,68000000.0,622400000.0,0.0435314771,554400000.0,0.0387754674,0.0,554400000.0,0.0387754674,106500000.0,447900000.0,0.0313267169,0.75,0.75,584900000,587000000,https://www.sec.gov/Archives/edgar/data/80661/000008066123000023/0000080661-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066123000023/pgr-20230331.htm,24.44469140023936,0.7657719268250983,4.187895366729356,4.114036587450847,17.98375790733459,28.839801675500084,27.922208924602497,28.839801675500084,11.031971277141391,83675794000.0,89776494000.0,46.70450658629159,5.852395420242416,34.16035680751174,34.77363337904667,4.960505679258258,4.960505679258258,6.279086426488177,144.24243894601543,36.65094672382119,37.30893654157836,0.005352802508214,0.0287574205749395,0.3787733276422186,0.0857379031229997,9.80189588688946,0.906927987194253,8.75829383886256,5.468854655056933,0.0008592688107626,0.1605269033266354,0.0,0.0,0.0072019677595533,0.017636252296387,0.0030214649908726,0.5885558583106267,0.0011120669758072,22.29138816251203,0.0091580484094561,0.006053962581402,-89.07300393229612,-2383900000.0,16331700000.0,-34423300000.0,-898200000.0,6205700000.0,3144800000.0,-26874750000.0,78.12627205774355,0.0,0.0,1.1519812430507437,0.0,0.0,0.0265526072419435,0.0738587792785091,2023-04-13,1.37,bmo,14607500000.0,2025-04-24,2023-03-31,-0.5401459854014599,137.8858064516129,2455616.741935484
2022-12-31,PGR,USD,80661,2023-02-27,2023-02-27 10:13:46,2022,Q4,13462900000.0,0.0,13462900000.0,1.0,0,0.0,0.0,0.0,12437600000.0,12437600000.0,12437600000.0,0.0,63100000.0,83600000.0,1108900000.0,0.0823670977,1025300000.0,0.0761574401,0.0,1025300000.0,0.0761574401,198900000.0,826400000.0,0.0613835058,1.4,1.4,584900000,587100000,https://www.sec.gov/Archives/edgar/data/80661/000008066123000006/0000080661-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066123000006/pgr-20221231.htm,23.01743887844076,1.4128910924944436,1.5893315096597709,1.5089758933150963,15.3089416994358,27.168746794323816,26.24192169601641,27.168746794323816,11.264489656351511,75867379000.0,82171979000.0,22.95116741287512,5.635292470418706,81.61292921686747,85.95896102424655,4.77423566798817,4.77423566798817,6.103586820075912,74.1022445666877,88.39498601549053,93.10217425787448,0.0108926921015684,0.0116334584327738,0.4106412434711471,0.0929109731910089,5.685454053566597,0.8009422082394317,16.248811410459588,1.1248789932236205,0.0007710823910234,0.0707889641819942,0.0,0.0,0.0077184949148488,0.0505593803786574,0.0034910754740806,0.562200956937799,0.0039367446835377,29.388702040896337,0.0180848130466713,0.0118579230268123,-99.14566592579928,-4884500000.0,15348900000.0,-34689300000.0,-3177900000.0,8587250000.0,2971400000.0,-26151100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0520042791517211,0.0803556163446743,2023-01-25,1.43,bmo,12736606244.0,2025-04-24,2022-12-31,0.062937062937063,126.7168253968254,2450612.492063492
