date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PH,USD,76334,2025-05-01,2025-05-01 07:49:22,2025,Q3,4960349000.0,6119948000.0,-1159599000.0,-0.233773672,0,1631210000.0,-846855000.0,784355000.0,9879000.0,794234000.0,6914182000.0,-5248000.0,95942000.0,-454869000.0,636102000.0,0.1282373478,-1910738000.0,-0.3852023315,2905552000.0,994814000.0,0.2005532272,34163000.0,960866000.0,0.1937093539,7.46,7.35,128752836,130758807,https://www.sec.gov/Archives/edgar/data/76334/000007633425000017/0000076334-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633425000017/exhibit991q3fy25.htm,38.52613390201362,7.462872507134523,4.893313573302572,4.212474201344971,3.174570849841319,112.48187185562266,-26.019698703957093,112.48187185562266,73.54288491167682,78262411362.6,87226589362.6,20.36246764965146,15.77760181039681,124.22052886951056,144.29761962837043,5.403981903681444,5.403981903681444,17.584768604507467,137.12673338961363,138.44875047235996,160.82547156653786,0.0122774903465238,0.0069301212492308,0.6471951394662196,0.3241225268526577,14.092359401479635,1.2070854111504103,-19.91555314669279,0.6554693888591803,0.0026846476659982,0.2186642049984077,0.3288498450411453,0.0,0.6166605020684832,0.1391366732907109,0.0176721436334419,0.3934541015099014,0.0046960405406958,137.43126301174337,-0.0730599711231905,0.0866789988722039,-81.36375924177702,1162674000.0,-3350110000.0,-7658308000.0,21816710000.0,2801753500.0,1887925500.0,2814765000.0,51.76147283185114,29.13211517483482,41.50839680337153,1.7387449598346627,3.089374027936861,2.168235993944476,0.0663473356552385,0.680839371957601,2025-05-01,6.72,bmo,4987913384.0,2025-05-11,2025-03-31,0.0327380952380953,,
2024-12-31,PH,USD,76334,2025-01-31,2025-01-31 07:40:44,2025,Q2,4742593000.0,3022229000.0,1720364000.0,0.3627475518,0,782421000.0,0.0,782421000.0,0.0,782421000.0,3804650000.0,2431000.0,100802000.0,225823000.0,1492482000.0,0.3146974661,937943000.0,0.1977700806,227914000.0,1165857000.0,0.2458269137,217208000.0,948542000.0,0.200004934,7.37,7.25,128752836,130758807,https://www.sec.gov/Archives/edgar/data/76334/000007633425000011/0000076334-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633425000011/ph-20241231.htm,36.8348624180985,7.367154227189217,7.260096391197162,6.318827804305608,3.071831365330081,101.9555095469897,-36.309196327139546,101.88942944915016,71.00459519198475,81890666281.08,90536400281.08,21.583300022845588,17.26706598712561,87.60627486587973,100.65632735973804,6.242355104338108,6.242355104338108,19.090063237785746,60.6616363085652,96.85544309979696,111.28327510958532,0.0115830294595997,0.0099347952208317,0.6891949897218085,0.3198009597168706,5.792856463260528,1.0603229407089116,9.304805460209122,0.9853570709503726,0.0025659090289823,0.2215231376154139,0.1649774711850669,0.0,0.6296799355590477,0.1296495991475868,0.0255537424358362,0.5366636702195967,0.0064584922214493,129.95880374035687,0.0309519783633903,0.0906005927700394,-87.62834552242407,361171000.0,-4674912000.0,-8795940000.0,20964136000.0,2890355500.0,1874180500.0,2839616500.0,52.19943182980281,53.45046983534338,83.5901151104036,1.724156697594844,1.683801850147419,1.076682331171938,0.072305383070831,0.941268586891554,2025-01-30,6.23,bmo,4813582082.0,2025-04-30,2024-12-31,0.0481540930979132,586.2882142857143,973631.6071428572
2024-09-30,PH,USD,76334,2024-11-05,2024-11-05 07:12:37,2025,Q1,4903984000.0,3097719000.0,1806265000.0,0.3683260386,0,848789000.0,0.0,848789000.0,0.0,838910000.0,3931189000.0,2817000.0,113091000.0,229046000.0,1217323000.0,0.2482314379,972795000.0,0.1983683063,-97609000.0,875186000.0,0.1784642854,176658000.0,698420000.0,0.1424188986,5.43,5.34,128663088,130680242,https://www.sec.gov/Archives/edgar/data/76334/000007633424000067/0000076334-24-000067-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633424000067/ph-20240930.htm,38.11492539336535,5.428285694495378,5.782349946396437,5.041640225516739,2.8840284013702515,100.27234073536304,-42.523237122989,100.1989008689112,80.0696389317191,81291912260.16,91109760260.16,29.09850529057015,16.576708296797054,109.2669945363218,125.32032666714971,6.305657991464408,6.305657991464408,18.57872298526259,74.84435951687432,122.46347022434894,140.45560746348315,0.0085915065912686,0.0079795514949142,0.7903347062884447,0.3442104251451015,8.065113367610733,0.9585271523828602,8.601878133538477,1.0650610999129595,0.0025825078308914,0.3005884711205292,0.1730815190261632,0.0,0.6206757343162785,0.1280983904029033,0.0194335870590116,0.4160823590021218,0.0154653848789066,110.62520442600142,0.0301195532282833,0.0622016749619154,-98.08380512365753,-304329000.0,-5471171000.0,-9665785000.0,20907733000.0,3113506000.0,1972558000.0,2829525000.0,55.60852767872,56.755609530754725,83.44930576336975,1.6184568043228515,1.5857463384518988,1.0784990860823396,0.0541751021959525,0.7407097208796979,2024-10-31,6.14,bmo,4900077898.0,2025-04-24,2024-09-30,0.0097719869706841,654.0490000000001,776103.2666666667
2024-06-30,PH,USD,76334,2024-08-22,2024-08-22 07:27:08,2024,Q4,5186815000.0,3311735000.0,1875080000.0,0.3615089414,298000000,798347000.0,6124000.0,803671000.0,-10000000.0,803671000.0,4115406000.0,7000000.0,119266000.0,230668000.0,1321018000.0,0.2546877033,1071409000.0,0.2065639511,-85449000.0,985960000.0,0.1900896793,200887000.0,784963000.0,0.1513381526,6.1,6.01,128627781,130643757,https://www.sec.gov/Archives/edgar/data/76334/000007633424000044/0000076334-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633424000044/ph-20240630.htm,40.32422047302519,6.102593031594007,9.618855198940269,8.710933138153102,3.280994173412662,93.92133570274372,-48.53322471605104,93.85198054532248,83.44638239541736,64443804558.81,74636034558.81,20.524472032060743,12.424542722038476,52.0862399566216,57.51507812700586,5.3382997043739,5.3382997043739,14.389569429179565,56.49887780394362,60.32403629883807,66.61148248661273,0.0121805812889842,0.0173867450513025,0.8792479803631088,0.3622880142503328,7.715436125775727,0.9296235124209848,8.983356530779938,1.5761914892803863,0.0032658686345548,0.2681209178012212,0.1539185415327132,0.0574533697461737,0.6254253811594724,0.0943898251932508,0.0225155514511313,0.506286090831845,0.005107758807669,113.5194254554549,0.0336034929304694,0.071527855991328,-101.0962845576882,-514685000.0,-6242721000.0,-10418325000.0,20684597000.0,3210343500.0,1977925000.0,2876568000.0,55.47291545967998,54.12495565013506,75.73432052987332,1.6224133751436904,1.66281891447195,1.1883647911583175,0.0650235934940869,0.907922060787164,2024-08-08,6.22,bmo,5082314315.0,2025-04-24,2024-06-30,0.0884244372990353,662.2009375,578968.171875
2024-03-31,PH,USD,76334,2024-05-03,2024-05-03 16:11:18,2024,Q3,5074356000.0,3276636000.0,1797720000.0,0.3542754982,0,798337000.0,-6124000.0,792213000.0,-3000000.0,792213000.0,4068849000.0,3000000.0,123732000.0,228298000.0,1233805000.0,0.24314514,1005507000.0,0.1981546033,-85464000.0,920043000.0,0.181312269,193309000.0,726574000.0,0.1431854604,5.65,5.56,128502828,130593026,https://www.sec.gov/Archives/edgar/data/76334/000007633424000020/0000076334-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633424000020/ph-20240331.htm,39.48828270145152,5.654147938285062,6.187334647607911,5.570920197958601,3.2330183426002117,90.27366308234087,-54.01315370273407,90.19919779508666,89.45094188899874,70806343256.28,81771826256.28,24.363087330499027,13.953759502935938,89.05450107067124,98.90825580339694,6.108812644340554,6.108812644340554,16.11472002679355,66.27613460496593,102.8460001462476,114.22576476790071,0.0102614252704761,0.0101103794812409,0.9810294359724376,0.3844357338632708,8.887533281191113,0.86843053298759,8.12649112598196,1.0943000988199412,0.002689984982145,0.262145356150922,0.1573277475998925,0.0,0.6268529697247951,0.0996251996629312,0.0156100596804796,0.3469631797037206,0.0040637669095349,107.12138528595143,0.030946813548034,0.0658303574518807,-106.31287429721002,-1051815000.0,-6940843000.0,-11035354000.0,20360368000.0,3078398000.0,1968077000.0,3029629500.0,57.17653235208566,53.95136658450924,81.47692938733506,1.5740723737108029,1.668169051084634,1.1046071652031328,0.0626851244412403,0.6164144496493105,2024-05-02,6.15,bmo,5065200012.0,2025-04-24,2024-03-31,0.0585365853658535,568.12046875,644556.78125
2023-12-31,PH,USD,76334,2024-02-06,2024-02-06 07:41:18,2024,Q2,4820947000.0,3101962000.0,1718985000.0,0.3565658365,0,789802000.0,0.0,789802000.0,6000000.0,789802000.0,3891764000.0,2000000.0,129029000.0,227778000.0,1180515000.0,0.2448720137,868165000.0,0.1800818387,-61018000.0,868165000.0,0.1800818387,186108000.0,681851000.0,0.1414350749,5.31,5.23,128426246,130367351,https://www.sec.gov/Archives/edgar/data/76334/000007633424000008/0000076334-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633424000008/ph-20231231.htm,37.53864299669711,5.309280783618015,5.466390413685377,4.638125138377088,3.066880892866712,88.08463497406909,-58.50039407053913,88.00831879801268,92.80729112022787,59165971532.2,70573019532.2,21.69314539840816,12.272686576351076,84.27864918806657,99.32892844741184,5.234732424071747,5.234732424071747,14.638829162029785,59.781552570022406,100.52735721680617,118.47929182767936,0.0115243776505709,0.0100675605347885,1.0431127305646553,0.3970327936397234,9.66277260348238,0.8976649953922017,6.728448643328244,1.0292805440014543,0.0032230519513436,0.2796725384284836,0.1638271484834826,0.0,0.6339587879212397,0.1515195975089312,0.0220643371520159,0.4669941785422648,0.0062574842660581,102.5347243880744,0.0263555869889863,0.0627302643986836,-110.89955475300586,-767213000.0,-7512986000.0,-11652696000.0,20963896000.0,2984800500.0,2004347500.0,3060835500.0,54.7563704807375,57.21374729928993,89.73774340240143,1.6436443688622624,1.5730485110370838,1.0029224781864925,0.0603270333546912,0.8282652753082886,2024-02-01,5.26,bmo,4817997634.0,2025-04-24,2023-12-31,0.1692015209125476,536.2561904761905,706889.9523809524
2023-09-30,PH,USD,76334,2023-11-07,2023-11-07 07:19:27,2024,Q1,4847488000.0,3097349000.0,1750139000.0,0.3610403987,0,873691000.0,0.0,873691000.0,78455000.0,873691000.0,873691000.0,4000000.0,134468000.0,240387000.0,1155718000.0,0.2384158558,820435000.0,0.1692495165,-94896000.0,820435000.0,0.1692495165,169608000.0,650827000.0,0.1342606727,5.07,4.99,128472550,130363441,https://www.sec.gov/Archives/edgar/data/76334/000007633423000064/0000076334-23-000064-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633423000064/ph-20230930.htm,37.73170221965704,5.065883723799364,5.059127416712753,4.298295628132236,3.5560592515677474,82.31291431515915,-63.360904722448495,82.23843926192794,95.93454788591026,50042627676.0,61784189676.0,19.22270729241411,10.32341445218637,76.99351447706701,90.6219659370569,4.7364712109794045,4.7364712109794045,12.745609618012464,53.45957203746935,95.05859550525494,111.8847069446029,0.0130054521559852,0.0110348521979159,1.1538142208204114,0.4119421680679067,10.15953891866355,0.8907715034297389,6.101340095784871,0.9982905116484811,0.0038051559009425,0.2925815923432802,0.1802358252356684,0.0,0.6324220584409332,0.1503879475474606,0.0201642582715006,0.4066193263362827,0.016068941274326,96.81804246044445,0.0255025394506899,0.0598316912783391,-114.95957113017528,-837461000.0,-8140137000.0,-12188172000.0,20718134000.0,3086490500.0,2043843000.0,2968313500.0,56.37693791093449,59.1821199354674,88.00665343169271,1.5963974514221393,1.5207295733599375,1.0226499530499071,0.061599949722594,0.7608317885805178,2023-11-02,5.31,bmo,4875780000.0,2025-04-24,2023-09-30,0.1224105461393597,508.0631147540984,606108.9016393443
2023-06-30,PH,USD,76334,2023-08-24,2023-08-24 08:34:56,2023,Q4,5095943000.0,3262860000.0,1833083000.0,0.3597141883,331000000,800966000.0,-14000000.0,834940000.0,62228000.0,834940000.0,4097800000.0,7000000.0,157176000.0,209063000.0,1269434000.0,0.2491067895,1060371000.0,0.2080814091,-37213000.0,903195000.0,0.17723805,194117000.0,708956000.0,0.1391216503,5.52,5.44,128440007,130222542,https://www.sec.gov/Archives/edgar/data/76334/000007633423000042/0000076334-23-000042-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633423000042/ph-20230630.htm,39.67566741101159,5.519744327014869,9.226377572526916,8.384396927041587,3.764963980420836,80.49111208784035,-68.05456651835904,80.4024247678529,99.0083642707992,50096740330.28001,62181017330.28001,17.66567330351954,9.830710494658202,42.27444594955765,46.51974416216297,4.851097477795828,4.851097477795828,12.20206296072778,48.98326130407725,52.47183826506537,57.74118233795033,0.0141517391216666,0.0214962489156024,1.2161901048989785,0.4191450128004925,9.519421253881651,0.8835038272248128,6.746392579019697,1.6712350404327874,0.0038090701858432,0.2691591579731323,0.1571771897762592,0.0649536307607836,0.6367276553379616,0.0912579870991261,0.0212215874471123,0.5172794803480291,0.0049419705047721,99.92756691618388,0.0320277184066563,0.0651298856876599,-119.4046454700053,-901141000.0,-8740929000.0,-12791964000.0,21043097000.0,3183950500.0,2065540500.0,2987746500.0,55.39342963608502,56.57124731064158,80.2085011309097,1.624741428564141,1.5909141883649107,1.1220755746714357,0.0686514659595417,0.8419806454853276,2023-08-03,5.48,bmo,5008560000.0,2025-04-24,2023-06-30,0.1094890510948904,416.2863492063492,642069.0317460317
2023-03-31,PH,USD,76334,2023-05-05,2023-05-05 07:50:38,2023,Q3,5061665000.0,3340764000.0,1720901000.0,0.3399871386,0,868393000.0,0.0,868393000.0,55866000.0,868393000.0,4209157000.0,7000000.0,151993000.0,225341000.0,1133715000.0,0.2239806467,908374000.0,0.1794615013,-157173000.0,756381000.0,0.1494332399,165421000.0,590889000.0,0.1167380694,4.61,4.54,128293039,130151487,https://www.sec.gov/Archives/edgar/data/76334/000007633423000028/0000076334-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633423000028/ph-20230331.htm,39.4539332722487,4.605776000052505,5.60248635157828,4.925138611768328,4.351732598679808,76.3343442195644,-72.68438001534908,76.2418372519806,105.67382381517989,43120573338.29,55990965338.29,18.24393978322917,8.519049233461716,59.99300648100896,68.24376459108886,4.40847193764692,4.40847193764692,11.06176827946733,49.38716109277023,77.89938969654683,88.61278879103158,0.013703180506538,0.0146533534014707,1.3704954465650108,0.4392889935081671,11.352405145914096,1.2496894959355886,5.976419966708993,1.2162582915933398,0.0039626560310196,0.2891778320462895,0.171562717011102,0.0,0.62649875587103,0.1209012744170515,0.0171680662390735,0.3856333290435385,0.0054975981223569,88.88722374356918,0.0265606050142582,0.0518430007838449,-126.3270429660646,1445245000.0,-9324900000.0,-13489148000.0,23407105000.0,3090478000.0,2023452000.0,3081668000.0,57.45724578770029,56.03904675696936,82.64135389389972,1.5663820770759262,1.606023035871984,1.0890431455848095,0.0604100867195833,0.6773477398099518,2023-05-04,5.01,bmo,4763690000.0,2025-04-24,2023-03-31,0.1836327345309381,401.9179365079365,665441.380952381
2022-12-31,PH,USD,76334,2023-02-07,2023-02-07 08:03:35,2023,Q2,4674811000.0,3236812000.0,1437999000.0,0.3076058048,0,800966000.0,14000000.0,814966000.0,40641000.0,814966000.0,4051778000.0,6000000.0,146931000.0,229744000.0,893418000.0,0.1911131808,663674000.0,0.1419680924,-120290000.0,516743000.0,0.1105377308,121282000.0,395237000.0,0.0845460918,3.08,3.04,128313322,130045013,https://www.sec.gov/Archives/edgar/data/76334/000007633423000009/0000076334-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633423000009/ph-20221231.htm,36.432779754544896,3.080249142018161,4.822383134932786,4.026292764830763,6.060680121741373,72.74752032372757,-75.7703475247878,72.65325107863703,110.41039059062004,37339176702.0,50603314702.0,23.618219386089866,7.987312578412261,60.34360851422809,72.27492311087109,4.0053266120883295,4.0053266120883295,10.824676056850214,56.64013340004343,81.77969847246823,97.9494194109096,0.0105850485980005,0.0138360576111022,1.503928503236298,0.459363877596349,14.846508577172164,1.277307600392257,4.51690929756144,1.564695380834014,0.004584568143165,0.4331173447830036,0.1713365524296062,0.0,0.6243862113181704,0.1650823561353381,0.0218509368614046,0.4446209694268403,0.0052817108541928,70.95968976641272,0.0189433862983971,0.0344761622970419,-129.7507109199464,1581597000.0,-9722345000.0,-13901411000.0,23477942000.0,2986431000.0,1992483000.0,3112952000.0,56.78447962922993,54.68594716035408,86.07697326875952,1.5849401207451113,1.6457610167397396,1.0455757978268074,0.0423965768398198,0.7960903701020227,2023-02-02,4.45,bmo,4441922494.0,2025-04-24,2022-12-31,0.0696629213483145,338.393064516129,859601.8064516129
