date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PKG,USD,75677,2025-03-31,2025-03-31 00:00:00,2025,Q1,2141000000.0,1686300000.0,454700000.0,0.0,0,0.0,0.0,161400000.0,13000000.0,174400000.0,1860700000.0,0.0,0.0,138000000.0,431200000.0,,280300000.0,,-12900000.0,267400000.0,,63600000.0,203800000.0,0.0,2.27,2.26,89779736,89600000,https://www.sec.gov/Archives/edgar/data/75677/000095017025056867/0000950170-25-056867-index.html,https://www.sec.gov/Archives/edgar/data/75677/000095017025056867/pkg-ex99_1.htm,0.0,0.0,,,,,,,,17778183322.72,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0063124936875063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-04-22,2.21,amc,2205539900.0,2025-05-10,2025-03-31,0.0452488687782805,213.40858333333333,942218.8666666668
2024-12-31,PKG,USD,75677,2025-02-27,2025-02-27 11:43:36,2024,Q4,2146100000.0,1676400000.0,469700000.0,0.218862122,0,0.0,0.0,147000000.0,20500000.0,167500000.0,1843900000.0,0.0,11700000.0,136000000.0,439300000.0,0.204696892,302200000.0,0.1408135688,-10600000.0,291600000.0,0.1358743768,70500000.0,221100000.0,0.1030240902,2.46,2.45,89100000,89500000,https://www.sec.gov/Archives/edgar/data/75677/000095017025028533/0000950170-25-028533-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017025028533/pkg-20241231.htm,24.08641975308642,2.4814814814814814,3.6520763187429854,1.392817059483726,8.8327721661055,49.42760942760943,36.921436588103255,49.42760942760943,31.236812570145904,20059083000.0,22145583000.0,22.68100746268657,9.3467606355715,61.64438537185003,161.6364464141821,4.554741825613079,4.554741825613079,10.318989329481385,50.411069883906215,68.05649354640443,178.4495004029009,0.0110224380645914,0.0061867234907996,0.629314259763851,0.313759452972875,4.74960163897109,3.227835463258786,25.82905982905983,1.481785063752277,0.0055984613055342,0.5079149706015378,0.0,0.0,0.126149073948286,0.6186232329440688,0.0937980522808816,0.0,0.0042868459065281,52.53292484758036,0.028952672765201,0.028643977768853,-24.84960718294052,2231400000.0,3289700000.0,-1196200000.0,7661600000.0,1185150000.0,445100000.0,1093400000.0,48.403149899818274,23.101288475304223,60.391911238367925,1.859383122509097,3.895886590750639,1.490265801404569,0.0502043596730245,2.259259259259259,2025-01-28,2.53,amc,2130184581.0,2025-04-28,2024-12-31,-0.0237154150197626,231.3140625,633421.640625
2024-09-30,PKG,USD,75677,2024-11-07,2024-11-07 11:05:34,2024,Q3,2182400000.0,1677200000.0,505200000.0,0.2314882698,0,0.0,0.0,162000000.0,0.0,162000000.0,1839200000.0,0.0,9700000.0,132700000.0,461000000.0,0.2112353372,343200000.0,0.1572580645,-24600000.0,318600000.0,0.1459860704,80500000.0,236400000.0,0.1083211144,2.65,2.64,89100000,89500000,https://www.sec.gov/Archives/edgar/data/75677/000095017024122936/0000950170-24-122936-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017024122936/pkg-20240930.htm,24.493827160493822,2.653198653198653,3.6711560044893377,2.0246913580246915,8.65993265993266,47.851851851851855,35.240179573512904,47.851851851851855,31.01907968574635,19192140000.0,21269640000.0,20.296256345177667,8.79405241935484,58.673616630999696,106.38658536585366,4.501393188854489,4.501393188854489,9.745986070381232,46.13804772234273,65.0248853561602,117.90266075388028,0.0123175424939584,0.0093996813278769,0.6459564687118867,0.3146176517626631,4.506507592190889,2.9453884597910043,35.381443298969074,1.373792524149517,0.005851353731267,0.4750423011844332,0.0,0.0,0.1283671091411729,0.4484867013145827,0.0672195747800586,1.105501130369254,0.0047653958944281,53.44726887263636,0.0331499359081409,0.0309825559298043,-25.53956228956229,2140900000.0,3139900000.0,-1248800000.0,7507200000.0,1180800000.0,467200000.0,1045700000.0,50.15075146627567,24.67863105175292,56.982470784641066,1.794589260751583,3.6468797564687976,1.5794330916282135,0.0554461018857303,1.6464646464646464,2024-10-22,2.5,amc,2094465323.0,2025-04-24,2024-09-30,0.0599999999999999,198.75171875,556000.078125
2024-06-30,PKG,USD,75677,2024-08-08,2024-08-08 10:41:39,2024,Q2,2075300000.0,1637600000.0,437700000.0,0.2109092661,0,148400000.0,1100000.0,149500000.0,-4700000.0,149500000.0,1787100000.0,0.0,10400000.0,128500000.0,413100000.0,0.1990555582,288200000.0,0.1388714885,-9300000.0,266700000.0,0.1285115405,67800000.0,198900000.0,0.0958415651,2.2,2.2,89573171,89573171,https://www.sec.gov/Archives/edgar/data/75677/000095017024093466/0000950170-24-093466-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017024093466/pkg-20240630.htm,23.16876779990294,2.2205309668003155,3.1069571043767112,0.3684138858944716,12.329584714601651,46.06959822824627,33.41960507348791,46.06959822824627,35.39787600016974,16128545170.26,18675245170.26,20.27217844426848,7.771669238307715,57.95380945116781,488.7437930381818,3.908434345529007,3.908434345529007,8.99881712054161,45.20756516644881,67.10472572856631,565.9165203109092,0.012332172424749,0.0020460617899281,0.7658362816846799,0.3518442235112056,6.16485112563544,2.4337408312958435,27.71153846153846,1.409113924050633,0.0069566100857558,0.5641025641025641,0.0715077338216161,0.0,0.1261509001235791,0.8814229249011858,0.1181997783452994,1.9089494163424128,0.0047222088372765,47.9763151316571,0.0264850724201783,0.0253408077462097,-26.53947575440865,2052400000.0,2993500000.0,-1371600000.0,7413800000.0,1095299999.5,427100000.0,1016550000.0,49.677155110104565,26.07779677576941,56.57975085490962,1.8116979484941071,3.4512118018967333,1.590675084992715,0.0481994862598749,2.73854321848224,2024-07-23,2.14,amc,2024715825.0,2025-04-24,2024-06-30,0.0280373831775701,181.9111111111111,567425.3968253968
2024-03-31,PKG,USD,75677,2024-05-08,2024-05-08 10:09:52,2024,Q1,1979500000.0,1609100000.0,370400000.0,0.1871179591,0,150800000.0,1100000.0,151900000.0,-6900000.0,151900000.0,1761000000.0,9600000.0,9600000.0,128400000.0,325500000.0,0.1644354635,218500000.0,0.1103814094,-8500000.0,187500000.0,0.0947208891,40600000.0,146900000.0,0.0742106593,1.63,1.63,89573171,89400000,https://www.sec.gov/Archives/edgar/data/75677/000095017024055165/0000950170-24-055165-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017024055165/pkg-20240331.htm,22.099251125094145,1.6399999950878148,2.907120470257774,2.035207606974191,13.226058503611531,45.00231436486713,32.24737907291459,45.00231436486713,35.415738491607044,16906936026.25,19377236026.25,28.772865939840027,8.541013400479919,64.92678990467277,92.74238134389677,4.194228733874969,4.194228733874969,9.788954799823188,59.53067903609831,74.41334908088844,106.2931219558043,0.0086887416958294,0.0107825568581414,0.7845943934507567,0.3570847916901885,7.589247311827957,2.4602585160322787,22.760416666666668,1.7847840918437283,0.0066245001356902,0.762423417290674,0.0761808537509472,0.0,0.1289940160325166,0.2999231962362642,0.0394544076787067,0.6082554517133957,0.0098004546602677,40.75028092037838,0.0215663815294942,0.0190420636463801,-26.29889033123545,2044800000.0,2888500000.0,-1380900000.0,7321199999.0,1041299999.5,391050000.0,1008350000.0,47.51654453649912,21.237337642160213,56.133242185072405,1.8940771236188665,4.237819331050829,1.603328019131128,0.0364425700818655,0.871912863283583,2024-04-22,1.68,amc,1909347685.0,2025-04-24,2024-03-31,0.0238095238095238,173.42049180327868,704110.3770491803
2023-12-31,PKG,USD,75677,2024-02-29,2024-02-29 12:14:45,2023,Q4,1937900000.0,1527800000.0,410100000.0,0.2116208267,0,0.0,0.0,142800000.0,4900000.0,142800000.0,1670600000.0,0.0,11100000.0,130800000.0,390400000.0,0.2014551834,267300000.0,0.1379328139,-13000000.0,248500000.0,0.1282315909,59300000.0,189200000.0,0.0976314567,2.1,2.1,89625000,89625000,https://www.sec.gov/Archives/edgar/data/75677/000095017024022794/0000950170-24-022794-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017024022794/pkg-20231231.htm,21.62231520223152,2.111018131101813,3.741143654114365,2.165690376569038,12.736401673640168,44.60027894002789,34.308507670850766,44.60027894002789,35.529149232914925,14600808750.0,17126008750.0,19.292823401162792,7.534345812477424,43.545507754249925,75.22312596599691,3.652667738223301,3.652667738223301,8.83740582589401,43.86785028176229,51.07667387414256,88.23291473467285,0.0129581863059469,0.013293784154251,0.7938358391914543,0.3572860134663454,6.468237704918033,2.57122540886466,24.08108108108108,1.7854100106496271,0.007670807961237,0.5919661733615222,0.0,0.0,0.1038574999437025,0.4211154190277363,0.0728623767996284,1.0795107033639144,0.003870168739357,46.0262962188838,0.0248900779470438,0.0237718306319889,-27.42454672245467,1988700000.0,3074900000.0,-1629700000.0,7054499999.0,1041350000.0,404150000.0,999600000.0,48.183600804995095,23.70467338656892,59.67993192826286,1.867855421686747,3.7967196819085487,1.5080446155364722,0.0473319490656192,1.5754532775453278,2024-01-24,1.83,amc,1906570000.0,2025-04-24,2023-12-31,0.1639344262295081,157.36603174603175,649170.1428571428
2023-09-30,PKG,USD,75677,2023-11-03,2023-11-03 10:57:50,2023,Q3,1936000000.0,1523300000.0,412700000.0,0.2131714876,0,0.0,0.0,144200000.0,-11700000.0,144200000.0,1667500000.0,12300000.0,12300000.0,129400000.0,386200000.0,0.1994834711,258600000.0,0.1335743802,-14100000.0,244500000.0,0.1262913223,61300000.0,183200000.0,0.0946280992,2.04,2.03,89100000,89500000,https://www.sec.gov/Archives/edgar/data/75677/000095017023058590/0000950170-23-058590-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017023058590/pkg-20230930.htm,21.7283950617284,2.0561167227833894,3.810325476992144,2.7991021324354657,7.600448933782267,43.62738497194164,30.590347934904603,43.627384960718295,31.300785634118967,13681305000.000002,15884705000.000002,18.66990311135371,7.066789772727274,40.298394698085424,54.85687650360867,3.519578359744804,3.519578359744804,8.204909607438017,41.13077421025376,46.78852724594993,63.691680032077,0.0133905354788888,0.0182292551770463,0.7142930644165466,0.3395372725494032,5.705334023821854,2.1685041832825083,21.02439024390244,1.8674367436743675,0.0082155905449078,0.6135371179039302,0.0,0.0,0.1420465662297006,0.2653902798232695,0.0465392561983471,0.69629057187017,0.0039772727272727,44.925687587987255,0.0259863886024703,0.0261117445838084,-26.220538709315377,1494400000.0,2725600001.0,-1517099999.0,6798399999.0,1034550000.0,385850000.0,989150000.0,48.58884297520661,23.98148755990284,58.26101227597978,1.8522770761576728,3.7528948016752897,1.5447723354629348,0.0471290388968923,1.0112233445566778,2023-10-23,1.93,amc,1993520000.0,2025-04-24,2023-09-30,0.0621761658031087,145.94349206349207,569946.0317460317
2023-06-30,PKG,USD,75677,2023-08-04,2023-08-04 11:06:18,2023,Q2,1952100000.0,1507400000.0,444700000.0,0.2278059526,0,147600000.0,-2000000.0,145600000.0,-16700000.0,145600000.0,1653000000.0,14600000.0,14600000.0,127900000.0,410300000.0,0.2101839045,284400000.0,0.1456892577,-16600000.0,267800000.0,0.137185595,65100000.0,202700000.0,0.1038368936,2.25,2.24,89100000,89500000,https://www.sec.gov/Archives/edgar/data/75677/000095017023038396/0000950170-23-038396-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017023038396/pkg-20230630.htm,21.90909090909091,2.2749719416386083,4.0392817059483725,2.613916947250281,6.498316498316498,43.19416387205387,30.05050506172839,43.19416386083053,31.401795735129067,11775456000.0,14081656000.0,14.523256043413912,6.032199170124481,32.71868852459016,50.56013739802491,3.059672608221171,3.059672608221171,7.213593565903386,34.3203899585669,39.126579605445954,60.46224130528124,0.0172137707448441,0.0197784272643029,0.7231980460427169,0.343341762782952,5.620765293687546,3.3478751410304626,19.47945205479452,1.7923306772908367,0.0095452779068598,0.5545140601874692,0.0756108805901337,0.0,0.1444643187565533,0.3528757988330092,0.0650581425131909,0.9929632525410476,0.0048665539675221,47.02099524237467,0.0288458010788055,0.0292268650690659,-27.10297417508417,1872900000.0,2677500001.0,-1587299999.0,7216899999.0,1027650000.0,388150000.0,997800000.0,47.2060857538036,21.840254743266552,59.23975056388484,1.906533841195429,4.120831055221433,1.5192501511791978,0.0526685028321987,1.425364758698092,2023-07-24,1.92,amc,1953250000.0,2025-04-24,2023-06-30,0.203125,133.60193548387096,664409.6612903225
2023-03-31,PKG,USD,75677,2023-05-03,2023-05-03 11:08:48,2023,Q1,1976300000.0,1544900000.0,431400000.0,0.2182866974,0,150200000.0,0.0,150200000.0,10500000.0,160700000.0,1705600000.0,0.0,15400000.0,129500000.0,398200000.0,0.2014876284,270700000.0,0.1369731316,-17400000.0,253300000.0,0.1281688003,63200000.0,190100000.0,0.0961898497,2.1,2.11,89669811,89400000,https://www.sec.gov/Archives/edgar/data/75677/000095017023016955/0000950170-23-016955-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017023016955/pkg-20230331.htm,22.0397475801527,2.120000007583377,3.127027891248706,1.873540248679681,5.166733316745811,41.905965431331175,28.73876917171153,41.905965431331175,31.22009479868314,12448859861.13,14865259861.13,16.371462205589165,6.299073956954916,44.39678980431527,74.10035631625,3.312893488338612,3.312893488338612,7.521762819981784,37.3311397818433,53.014478820007135,88.48368964958334,0.0152704747358883,0.01349521176028,0.7409053410330787,0.3458938998633371,6.068307383224511,3.119073470865002,17.57792207792208,1.475013150973172,0.0090048407043297,0.5896896370331405,0.0760006071952638,0.0,0.1466890296931295,0.4008559201141227,0.0568739563831402,0.0,0.007741739614431,44.709222295011394,0.0278501633591702,0.0276778824454377,-28.468332558434856,1756500000.0,2577000000.0,-1705900000.0,7122400000.0,1049450000.0,410450000.0,990350000.0,46.96958963720083,23.91416920189009,58.45426888471746,1.9161334108978088,3.763459196102314,1.5396651385290014,0.0505894563163637,1.253487642569025,2023-04-24,2.27,amc,2123160000.0,2025-04-24,2023-03-31,-0.0308370044052862,135.91612903225806,744834.4193548387
2022-12-31,PKG,USD,75677,2023-02-23,2023-02-23 11:46:16,2022,Q4,1978400000.0,1528100000.0,450300000.0,0.2276081682,0,0.0,0.0,145600000.0,-13000000.0,145600000.0,1673700000.0,15100000.0,15100000.0,117200000.0,408900000.0,0.2066821674,172900000.0,0.0873938536,-11500000.0,276600000.0,0.1398099474,64900000.0,211600000.0,0.1069551152,2.34,2.33,90560344,90900000,https://www.sec.gov/Archives/edgar/data/75677/000095017023003990/0000950170-23-003990-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017023003990/pkg-20221231.htm,21.84620676794249,2.33656356252357,4.638895806314516,1.910328432498004,4.474364629180296,40.49344158851694,27.34971943127778,40.49344158851694,31.009157827404017,11583573601.04,14056673601.04,13.685696598582233,5.855021027618277,27.573372056748397,66.95707283838149,3.15878312591421,3.15878312591421,7.10507157351395,34.37680019819027,33.460303739681024,81.25244856092485,0.0182672469902554,0.0149349420099914,0.7616645305554798,0.3489717384242485,6.048178038640255,2.8649914334665905,11.450331125827814,1.985349716446125,0.0100055478552485,0.5477315689981096,0.0,0.0,0.1487168594917414,0.5881932873125446,0.1248989082086534,2.07996632996633,0.0034876668014557,46.13944898977845,0.0183732692059182,0.0310559917810229,-29.17640198009849,1632800000.0,2476800000.0,-1828400000.0,7021400000.0,1093200000.0,447850000.0,986100000.0,48.561969268095424,24.17119298475231,57.55971467835875,1.8533021077283367,3.723440545808967,1.5635935741328149,0.0577022715497259,2.728567373816513,2023-01-25,2.23,amc,2042146614.0,2025-04-24,2022-12-31,0.0538116591928251,125.33619047619048,680277.6825396825
