date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,PODD,USD,1145197,2025-02-21,2025-02-20 17:36:54,2024,Q4,597500000.0,166600000.0,430900000.0,0.7211715481,60600000,0.0,0.0,261000000.0,0.0,321600000.0,488200000.0,10300000.0,8700000.0,21500000.0,141500000.0,0.2368200837,109300000.0,0.1829288703,2000000.0,111300000.0,0.1862761506,10600000.0,100700000.0,0.1685355649,1.44,1.39,70164000,74079000,https://www.sec.gov/Archives/edgar/data/1145197/000114519725000007/0001145197-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519725000007/podd-20241231.htm,8.51576306938031,1.4352089390570664,2.105068126104555,1.3069380308990366,13.588164870873952,17.26811470269654,15.130266233396044,17.26811470269654,19.964654238640897,18317715480.0,18756415480.0,45.47595700099305,30.65726440167364,124.01973920108328,199.75698451472192,15.11861627599868,15.11861627599868,31.391490343096237,132.55417300353358,126.9899490859851,204.54106303162487,0.0054974104227106,0.0050060827781784,1.148976559920766,0.4508533860154808,3.1003533568904595,3.5792959878879635,12.563218390804598,1.4667328699106257,0.0,0.0,0.0,0.1014225941422594,0.0485798490786021,0.3791469194312796,0.0937238493723849,2.604651162790698,0.0334728033472803,23.614093950316803,0.0374145799214846,0.034278517207339,-6.176600535887349,1362900000.0,1061600000.0,15200000.0,2236000000.0,313600000.0,30050000.0,437650000.0,55.054393305439326,10.696278511404564,232.50900360144053,1.6347469220246238,8.414141414141413,0.3870817843866171,0.0831132386926378,0.7981300952055185,2025-02-20,1.0,amc,582539473.0,2025-05-12,2024-12-31,0.1499999999999999,251.844375,538462.78125
2024-09-30,PODD,USD,1145197,2024-11-08,2024-11-07 17:41:11,2024,Q3,372600000.0,-4500000.0,377100000.0,1.0120772947,54900000,0.0,0.0,234100000.0,0.0,289000000.0,284500000.0,10500000.0,12300000.0,21300000.0,116500000.0,0.3126677402,88100000.0,0.2364465915,-5200000.0,82900000.0,0.2224906065,5400000.0,77500000.0,0.2079978529,1.14,1.08,70123000,73951000,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000045/0001145197-24-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000045/podd-20240930.htm,5.313520528214709,1.105200861343639,1.404674643127077,1.0852359425580764,12.87166835417766,15.943413715899206,13.785776421430914,15.943413715899206,20.11608174208177,16321128250.0,16816828250.0,52.64880080645161,43.80335010735373,165.69673350253808,214.46949080157688,14.59850469588551,14.59850469588551,45.13373121309716,144.35045708154507,170.72922081218277,220.98328843626803,0.0047484462356332,0.0046626678520218,1.2507155635062612,0.462186818271964,4.254935622317596,3.676214934808376,7.162601626016261,1.270967741935484,0.0,0.0,0.0,0.1473429951690821,0.0500099160441594,0.2274111675126903,0.0601180891035963,1.051643192488263,0.0485775630703166,19.911433345199445,0.032157300737535,0.0269649629449218,-8.357814126606106,1354700000.0,966700000.0,-46500000.0,2208900000.0,305150000.0,58550000.0,437900000.0,63.21256038647343,-806.0,-8898.0,1.4237676729079098,-0.1116625310173697,-0.0101146325016857,0.0693202146690518,0.3194387005690002,2024-11-07,0.76,amc,519513162.0,2025-04-25,2024-09-30,0.1842105263157895,205.34765625,722350.1875
2024-06-30,PODD,USD,1145197,2024-08-09,2024-08-08 17:50:44,2024,Q2,488500000.0,154300000.0,334200000.0,0.6841351075,53900000,0.0,0.0,220000000.0,-5700000.0,279600000.0,433900000.0,9300000.0,11000000.0,19200000.0,81300000.0,0.1664278403,54600000.0,0.1117707267,-3500000.0,51100000.0,0.1046059365,-137500000.0,188600000.0,0.3860798362,2.73,2.59,70062000,73802000,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000039/0001145197-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000039/podd-20240630.htm,6.972395877936685,2.691901458708001,1.3773514886814535,1.021951985384374,11.718192458108533,14.250235505694956,12.106420027975222,14.250235505694956,20.107904427507066,13743361920.0,14425661920.0,18.217605938494167,28.1338012691914,142.41825823834196,191.94639553072625,13.765386538461538,13.765386538461538,29.53052593654043,177.4374159901599,149.4887245595855,201.4757251396648,0.0137229886761215,0.0052097878537131,1.400040064102564,0.4850777345918934,8.392373923739237,3.5619341563786007,4.963636363636364,0.5116648992576882,0.0,0.0,0.0,0.1103377686796315,0.0521238200999444,0.2580310880829015,0.0509723643807574,1.296875,0.0348004094165813,29.378651590160462,0.0828098657157091,0.0690488394230065,-8.35402928834461,1245100000.0,848200000.0,-152100000.0,2073200000.0,334550000.0,76350000.0,430750000.0,64.22517911975434,44.79585223590408,251.3350615683733,1.4013195639701663,2.009114583333333,0.3580877233696913,0.1889022435897435,0.3553995032970797,2024-08-08,0.564,amc,488000000.0,2025-04-25,2024-06-30,-0.0248226950354608,180.20253968253968,844601.4444444445
2024-03-31,PODD,USD,1145197,2024-05-10,2024-05-09 17:55:06,2024,Q1,441700000.0,131800000.0,309900000.0,0.7016074259,50200000,0.0,0.0,197300000.0,-5500000.0,253000000.0,384800000.0,9400000.0,10700000.0,18800000.0,103900000.0,0.23522753,56900000.0,0.1288204664,-2000000.0,54900000.0,0.1242925062,3400000.0,51500000.0,0.116594974,0.74,0.73,69957000,73741000,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000022/0001145197-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000022/podd-20240331.htm,6.313878525379876,0.7361665022799719,1.2521977786354477,0.9091298940777908,10.73802478665466,11.302657346655804,9.155624169132468,11.302657346655804,20.18668610718013,11759771700.0,12464371700.0,57.08627038834952,26.62388883857822,134.24396917808218,184.902070754717,14.87260870115088,14.87260870115088,28.21908920081503,119.96507892204042,142.287348173516,195.98068710691825,0.0043793367179058,0.0054082682574526,1.7724800809409385,0.534108231707317,6.781520692974014,3.703977798334875,5.317757009345795,1.7009708737864078,0.0,0.0,0.0,0.1136517998641612,0.0572408536585365,0.273972602739726,0.0543355218474077,1.2765957446808511,0.0321485170930495,13.68262945564646,0.02393012258844,0.0208181744684291,-8.954429149334592,1169200000.0,640500000.0,-231700000.0,1987100000.0,340100000.0,47550000.0,416600000.0,65.30450532035317,51.82852807283763,294.03641881638845,1.3781591263650546,1.7364953886693018,0.3060845332094751,0.0651321613759959,0.3430678845576568,2024-05-09,0.39,amc,424053459.0,2025-04-25,2024-03-31,0.8717948717948717,186.4877049180328,914916.475409836
2023-12-31,PODD,USD,1145197,2024-02-23,2024-02-22 17:49:33,2023,Q4,509800000.0,148600000.0,361200000.0,0.7085131424,42000000,0.0,0.0,212800000.0,-300000.0,254800000.0,403400000.0,6200000.0,6700000.0,18800000.0,127100000.0,0.2493134563,123800000.0,0.2428403295,1400000.0,107800000.0,0.2114554727,-12100000.0,103300000.0,0.2026284818,1.48,1.48,69860000,69860000,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000011/0001145197-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000011/podd-20231231.htm,7.297452046951045,1.47867162897223,0.6427139994274262,0.1903807615230461,10.080160320641282,10.488119095333523,8.33524191239622,10.488119095333523,20.83452619524764,15158222800.0,15956322800.0,36.68495353339787,29.73366575127501,337.59961692650336,1139.716,20.68817087484646,20.68817087484646,31.29918163985877,125.54148544453186,355.37467260579064,1199.7235187969925,0.0068147830628271,0.0008774115656882,1.9773440698785312,0.5597712696082219,6.279307631785995,3.471409574468085,18.47761194029851,0.4346563407550823,0.0,0.0,0.0,0.0823852491173009,0.0581098833165906,0.7037861915367484,0.0619850921930168,1.680851063829787,0.0247155747351902,18.67995967126028,0.0628777197270307,0.042374271884486,-9.736973947895793,1115100000.0,582300000.0,-289200000.0,1958300000.0,315000000.0,48500000.0,406700000.0,63.50137308748529,11.628532974427996,243.83580080753703,1.4172921879343898,7.739583333333333,0.3691008445106806,0.1409853964787771,0.4523332379043802,2024-02-22,0.66,amc,461050000.0,2025-04-25,2023-12-31,1.1212121212121209,171.52507936507936,1269155.5555555555
2023-09-30,PODD,USD,1145197,2023-11-03,2023-11-02 17:45:24,2023,Q3,432700000.0,139400000.0,293300000.0,0.6778368385,57800000,0.0,0.0,180700000.0,700000.0,238500000.0,377900000.0,8600000.0,1800000.0,18700000.0,82800000.0,0.1913565981,54800000.0,0.1266466374,-1100000.0,53700000.0,0.1241044604,1800000.0,51900000.0,0.1199445343,0.74,0.7,69823000,73624000,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000076/0001145197-23-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000076/podd-20230930.htm,6.197098377325523,0.7433080789997565,0.8020279850479068,0.4812167910287441,11.3157555533277,8.700571444939346,6.535095885309998,8.700571444939346,20.36864643455595,11136070270.0,11871070270.0,53.64195698458575,25.73623820198752,198.85839767857144,331.43066279761905,18.33097986831276,18.33097986831276,27.43487467067252,143.3704138888889,211.98339767857144,353.30566279761905,0.0046605309361073,0.0030172223401388,2.3381069958847736,0.5755967094865665,8.876811594202898,3.2589720868409398,30.444444444444443,1.0789980732177264,0.0,0.0,0.0,0.1335798474693783,0.0612716294525266,0.4,0.0517679685694476,1.1978609625668448,0.0242662352669285,12.062840194419596,0.0256343490109966,0.0224044895316209,-9.480758489323003,1019700000.0,456300000.0,-389100000.0,1820100000.0,260400000.0,92650000.0,411050000.0,56.2214005084354,50.22955523672884,265.22238163558103,1.6008139104698482,1.7917737789203083,0.3393378773125609,0.0854320987654321,0.3208111940191627,2023-11-02,0.4,amc,414380000.0,2025-04-25,2023-09-30,0.7749999999999998,223.9145238095238,1066221.9523809524
2023-06-30,PODD,USD,1145197,2023-08-09,2023-08-08 17:53:32,2023,Q2,396500000.0,131600000.0,264900000.0,0.6680958386,55100000,0.0,0.0,178700000.0,-200000.0,233800000.0,365400000.0,7300000.0,2400000.0,18100000.0,56300000.0,0.1419924338,31100000.0,0.0784363178,-2600000.0,28500000.0,0.0718789407,1200000.0,27300000.0,0.068852459,0.39,0.39,69741000,70142000,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000059/0001145197-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000059/podd-20230630.htm,5.685321403478585,0.3914483589280337,0.6309057799572705,0.3713740841112115,10.946215282258642,7.942243443598457,5.774221763381655,7.942243443598457,20.077142570367503,20109119940.0,20846819940.0,184.14945,50.71656983606557,457.0254531818181,776.4138972972974,36.30460361076006,36.30460361076006,52.5770994703657,370.2809936056838,473.79136227272727,804.8965227799227,0.0013575929767914,0.0012879728241354,2.523560209424084,0.5858831419230447,13.103019538188278,3.344705882352941,12.958333333333334,1.6117216117216118,0.0,0.0,0.0,0.1389659520807061,0.0633749685640037,0.4113636363636364,0.0456494325346784,1.0,0.0330390920554855,8.363731741847051,0.0149701137265273,0.012216951579701,-9.678309746060425,996500000.0,402700000.0,-410400000.0,1749200000.0,233850000.0,96700000.0,398700000.0,56.86002522068095,73.51823708206686,281.2841945288754,1.5828343313373254,1.224186046511628,0.3199610989545344,0.0492868748871637,0.259531695846059,2023-08-08,0.26,amc,384950000.0,2025-04-25,2023-06-30,0.4615384615384615,303.7433870967742,575269.2419354839
2023-03-31,PODD,USD,1145197,2023-05-05,2023-05-04 17:52:25,2023,Q1,358100000.0,117600000.0,240500000.0,0.6716001117,50100000,0.0,0.0,162700000.0,0.0,212800000.0,330400000.0,6500000.0,9400000.0,17200000.0,51200000.0,0.1429768221,27700000.0,0.0773526948,-3100000.0,24600000.0,0.068695895,800000.0,23800000.0,0.0664618822,0.34,0.34,70096072,70096000,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000039/0001145197-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000039/podd-20230331.htm,5.108702810051896,0.3395340041307878,0.007133067313672,-0.5221405273607913,8.854989763192437,7.173012490628576,5.005986640735019,7.173012490628576,20.0581852860457,22357843125.12,23133743125.12,234.8512933310924,62.43463592605417,44715.68625024,-610.8700307409836,44.46667288210024,44.46667288210024,64.60134913465512,451.8309204125,46267.48625024,-632.0694842928962,0.0010645033989553,-0.0016370094286455,2.777645186953063,0.6101087763749945,15.154296875,3.4698669449517348,2.9468085106382977,0.0210084033613445,0.0,0.0,0.0,0.1399050544540631,0.0663579572757852,74.2,0.1036023457134878,2.1569767441860463,0.0337894442893046,7.402589897057901,0.0138597367562422,0.0111360658805914,-11.55057590102909,946700000.0,350900000.0,-456300000.0,1695200000.0,211400000.0,58350000.0,366450000.0,54.58810388159732,65.73979591836735,295.484693877551,1.6487108655616942,1.369033760186263,0.3045843045843046,0.0473349244232299,0.5292735946744633,2023-05-04,0.09,amc,330840000.0,2025-04-25,2023-03-31,1.5555555555555558,296.40983870967744,834834.7741935484
2022-12-31,PODD,USD,1145197,2023-02-24,2023-02-23 18:36:18,2022,Q4,369700000.0,152400000.0,217300000.0,0.5877738707,49500000,0.0,0.0,144300000.0,1500000.0,193800000.0,346200000.0,6500000.0,2700000.0,16200000.0,47700000.0,0.1290235326,8800000.0,0.0238030836,-1200000.0,22300000.0,0.0603191777,5300000.0,17000000.0,0.0459832296,0.24,0.24,69472000,70020000,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000020/0001145197-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519723000020/podd-20221231.htm,5.321568401658222,0.2447029018885306,0.7297904191616766,-0.5426646706586826,10.443056195301704,6.857438968217411,5.026485490557347,6.857438968217411,20.216777982496545,20451862080.0,21178962080.0,300.7626776470588,55.32015710035163,403.3897846153846,-542.4897103448276,42.930021158690174,42.930021158690174,57.28688688125507,444.0033979035639,417.731007495069,-561.7761824933687,0.000831220156556,-0.0018433529354213,2.9424853064651555,0.6227177824174848,15.243186582809225,3.6029613380860974,3.259259259259259,2.9823529411764707,0.0,0.0,0.0,0.1338923451447119,0.0565057083203767,1.7435897435897436,0.2391127941574249,5.45679012345679,0.0302948336489045,6.14457421946725,0.0035051571029689,0.0080041433212486,-10.386918470750809,949300000.0,349200000.0,-460700000.0,1676400000.0,203500000.0,46450000.0,337200000.0,50.05139302136868,18.18897637795276,204.80314960629923,1.7981517509727627,4.9480519480519485,0.4394463667820069,0.0356842989084802,1.2724550898203593,2023-02-23,0.24,amc,332447226.0,2025-04-25,2022-12-31,1.291666666666667,275.79555555555555,441560.9682539682
2022-09-30,PODD,USD,1145197,2022-11-04,2022-11-03 17:46:14,2022,Q3,340800000.0,152500000.0,188300000.0,0.5525234742,45000000,0.0,0.0,140400000.0,-1800000.0,185400000.0,337900000.0,2400000.0,6800000.0,12400000.0,15900000.0,0.0466549296,-14800000.0,-0.04342723,-8600000.0,-5700000.0,-0.0167253521,-500000.0,-5200000.0,-0.015258216,-0.0749,-0.0749,69418000,69418000,https://www.sec.gov/Archives/edgar/data/1145197/000114519722000060/0001145197-22-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519722000060/podd-20220930.htm,4.909389495519894,-0.0749085251663833,0.816791034025757,0.3284450718833732,11.126797084329713,6.165547840617707,4.648650205998444,6.165547840617707,20.36215390820825,15924489200.0,16609189200.0,-765.6004423076923,46.72678755868544,280.855188712522,698.4425087719299,37.20675046728972,37.20675046728972,48.7358838028169,1044.6030943396229,292.9310264550265,728.4732105263158,-0.0003265410861655,0.0014317570701106,3.286682242990654,0.6493860216046533,43.06289308176101,3.976959904248953,-2.176470588235294,-10.903846153846152,0.0,0.0,0.0,0.1320422535211267,0.0486104699473732,0.5978835978835979,0.0994718309859155,2.1320754716981134,0.0264084507042253,,-0.0072633032363036,-0.0025231694890581,-9.377250857126391,994900000.0,322700000.0,-409100000.0,1653300000.0,204000000.0,59650000.0,324000000.0,53.18661971830986,36.64918032786885,193.3377049180328,1.692154915590864,2.455716586151369,0.4655067155067155,-0.0121495327102803,0.4883459621423838,2022-11-03,0.17,amc,312105796.0,2025-04-25,2022-09-30,1.647058823529412,250.46,394355.015625
