date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PPL,USD,922224,2025-04-30,2025-04-30 11:47:25,2025,Q1,2504000000.0,1391000000.0,1113000000.0,0.4444888179,0,0.0,0.0,0.0,435000000.0,435000000.0,1826000000.0,5000000.0,190000000.0,342000000.0,1048000000.0,0.4185303514,678000000.0,0.2707667732,-162000000.0,516000000.0,0.2060702875,102000000.0,414000000.0,0.1653354633,0.5590971055556383,0.5570542217426491,738691000,741400000,https://www.sec.gov/Archives/edgar/data/922224/000092222425000017/0000922224-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222425000017/ppl-20250430.htm,3.389780029809488,0.5604508515739328,0.6944717073850907,-0.3790488851224666,0.0,-37.24426045531894,-37.24426045531894,19.354506823556804,23.6567116696968,26674132010.0,43959132010.0,16.107567638888888,10.652608630191692,51.99635869395711,-95.26475717857144,1.865715325592782,1.865715325592782,17.55556390175719,64.83647789085546,85.69031580896686,-156.99690003571428,0.0155206549868161,-0.0104970613437404,1.2089948940337134,0.0,25.49410029498525,0.0,3.568421052631579,1.2391304347826086,0.0071230059118238,0.4589371980676328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.622519681496897,-0.2193454613653413,0.0,-37.24426045531894,-3827000000.0,-27512000000.0,-27512000000.0,-3827000000.0,518500000.0,1146500000.0,255500000.0,0.0,118.6658653846154,0.0,0.0,0.7584320875113947,0.0,0.028957123872141,0.0,2025-04-30,0.53,bmo,1860274270.0,2025-05-11,2025-03-31,0.1320754716981131,33.909083333333335,4942506.583333333
2024-12-31,PPL,USD,922224,2025-02-13,2025-02-13 12:21:22,2024,Q4,2211000000.0,1409000000.0,802000000.0,0.3627317956,0,23000000.0,0.0,23000000.0,425000000.0,1834000000.0,1834000000.0,8000000.0,189000000.0,339000000.0,744000000.0,0.3364993216,377000000.0,0.170511081,-161000000.0,216000000.0,0.0976933514,39000000.0,177000000.0,0.0800542741,0.24,0.24,737989000,741063000,https://www.sec.gov/Archives/edgar/data/922224/000092222425000009/0000922224-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222425000009/ppl-20241231.htm,2.9959796148723083,0.2398409732394385,0.6924222447760061,-0.4729067777432997,0.4146403266173344,27.305285038123877,23.83504361176115,27.305285038123877,22.28217493756682,23955122940.0,39904122940.0,33.83491940677966,10.834519647218452,46.8789098630137,-68.63932074498567,1.1887808515706415,1.1887808515706415,18.047997711442783,53.63457384408602,78.09026015655577,-114.3384611461318,0.0073888161811287,-0.0145689087413216,0.8066597191206392,0.3957973167109012,21.436827956989248,0.895930620413609,1.9947089947089949,2.8870056497175143,0.0079314975955619,1.073446327683616,0.0104025327905924,0.0,0.0623584698921327,1.6829745596868884,0.3889642695612845,2.5368731563421827,0.0,12.138815350263302,0.1108469879998405,0.0045964474914303,-26.529866976337047,-156000000.0,17590000000.0,-19575000000.0,2484000000.0,1178000000.0,1058000000.0,514000000.0,42.21166892808684,76.39460610361958,32.640170333569905,2.132111861137898,1.1780936454849498,2.7573385518591,0.0087836831919011,1.1653290225193058,2025-02-13,0.37,bmo,2505078547.0,2025-05-11,2024-12-31,-0.081081081081081,32.93265625,4493283.1875
2024-09-30,PPL,USD,922224,2024-11-01,2024-11-01 12:34:38,2024,Q3,2066000000.0,1226000000.0,840000000.0,0.4065827686,0,0.0,0.0,9000000.0,412000000.0,433000000.0,1638000000.0,10000000.0,188000000.0,336000000.0,797000000.0,0.3857696031,428000000.0,0.2071636012,-156000000.0,272000000.0,0.1316553727,58000000.0,214000000.0,0.1035818006,0.29,0.29,737773000,739965000,https://www.sec.gov/Archives/edgar/data/922224/000092222424000030/0000922224-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222424000030/ppl-20240930.htm,2.800319339417409,0.2900621193781827,1.0585911926839284,0.1382539073671712,0.734643311696145,19.10072610409977,15.629468684812268,19.10072610409977,22.61942358964071,24405530840.0,40363530840.0,28.511134158878505,11.812938451113263,31.249079180537773,239.26991019607843,1.7318713340902638,1.7318713340902638,19.53704300096805,50.644329786700126,51.68185766965429,395.7208905882353,0.008768504213367,0.0041793805129132,1.1708770933863184,0.4076892666534888,20.02258469259724,1.2896790980052038,2.276595744680851,3.649532710280374,0.0077851205632698,0.8878504672897196,0.0,0.0,0.0632783158727021,0.8693982074263764,0.3286544046466602,2.020833333333333,0.0,11.16507656251808,0.0088224505899614,0.0056447996623671,-33.33037397681943,668000000.0,11531000000.0,-23406000000.0,35856000000.0,1359000000.0,950000000.0,509500000.0,57.458857696030975,67.53670473083197,37.95269168026101,1.5663381349507202,1.332608695652174,2.37137330754352,0.0151859210899801,0.9203372853167572,2024-11-01,0.4196,bmo,2097702738.0,2025-04-25,2024-09-30,0.0009532888465205,30.5990625,4919082.5625
2024-06-30,PPL,USD,922224,2024-08-02,2024-08-02 12:29:13,2024,Q2,1881000000.0,1389000000.0,492000000.0,0.2615629984,0,-15000000.0,0.0,-15000000.0,-93000000.0,93000000.0,1482000000.0,6000000.0,182000000.0,344000000.0,765000000.0,0.4066985646,399000000.0,0.2121212121,-150000000.0,240000000.0,0.1275917065,50000000.0,190000000.0,0.101010101,0.26,0.26,737748000,739563000,https://www.sec.gov/Archives/edgar/data/922224/000092222424000024/0000922224-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222424000024/ppl-20240630.htm,2.5496511003757383,0.2575405151894684,1.0382949191322783,0.1301257339904682,0.4391743522178304,19.06477550599934,15.59340045652445,19.06477550599934,22.13221858954548,20184785280.0,36006785280.0,26.558928,10.73088,26.35089462140992,210.25818,1.43510737859936,1.43510737859936,19.14236325358852,47.06769317647059,47.00624710182768,375.07068,0.0094130305259308,0.0047560575288913,1.1479559189477426,0.4052812570596651,20.68235294117647,1.1125248508946322,2.1923076923076925,4.052910052910053,0.0094130305259308,1.0,-0.0079744816586921,0.0,0.0642837420617987,0.8746736292428199,0.3561935140882509,1.947674418604651,0.0,10.510657561741755,0.0083755369358858,0.0050968399592252,-32.734416087878245,283000000.0,11504000000.0,-22976000000.0,35017000000.0,1520000000.0,941500000.0,489500000.0,66.9377990430622,63.498920086393085,32.52699784017278,1.344531808434596,1.4173469387755102,2.766932270916335,0.0135087095627444,0.90816918514181,2024-08-02,0.3286,bmo,1918025620.0,2025-04-25,2024-06-30,0.1564211807668898,28.055238095238096,4567389.507936508
2024-03-31,PPL,USD,922224,2024-05-01,2024-05-01 11:37:52,2024,Q1,2304000000.0,1655000000.0,649000000.0,0.2816840278,0,-8000000.0,0.0,-8000000.0,-88000000.0,88000000.0,1743000000.0,9000000.0,179000000.0,342000000.0,893000000.0,0.3875868056,561000000.0,0.2434895833,-157000000.0,388000000.0,0.1684027778,81000000.0,307000000.0,0.1332465278,0.42,0.42,737512000,738820000,https://www.sec.gov/Archives/edgar/data/922224/000092222424000014/0000922224-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222424000014/ppl-20240331.htm,3.124016965147686,0.4162644133248001,0.3823666597967219,-0.425755784312662,0.4352471553005239,19.06138476390893,15.602457993903828,19.06138476390893,21.998286129581626,20281580000.0,36005580000.0,16.515944625407165,8.802769097222223,71.92049645390071,-64.59101910828025,1.4427073552425664,1.4427073552425664,15.627421875,40.31979843225084,127.67936170212766,-114.66745222929936,0.0151368877572654,-0.0154820285204604,1.1413430075401907,0.4048598319497363,17.608062709966404,1.2787368421052632,3.1340782122905027,0.9185667752442996,0.0087271307265015,0.5765472312703583,-0.0034722222222222,0.0,0.0643688022002977,2.1134751773049647,0.2586805555555556,1.7426900584795322,0.0,13.361435674466414,0.0118217753440544,0.0082793959007551,-32.24727190879606,662000000.0,11507000000.0,-22536000000.0,34960000000.0,1645000000.0,1003500000.0,491000000.0,64.1015625,49.105740181268885,25.939577039274926,1.4040219378427787,1.832779623477298,3.469601677148847,0.021838099302888,0.8081224441093839,2024-05-01,0.5,bmo,2388161975.0,2025-04-25,2024-03-31,0.08,26.6144262295082,5222927.196721312
2023-12-31,PPL,USD,922224,2024-02-16,2024-02-16 11:54:54,2023,Q4,2031000000.0,823000000.0,1208000000.0,0.5947808961,0,-10000000.0,0.0,-10000000.0,1641000000.0,1641000000.0,2464000000.0,10000000.0,172000000.0,337000000.0,637000000.0,0.3136386017,390000000.0,0.1920236337,-263000000.0,127000000.0,0.062530773,14000000.0,113000000.0,0.0556376169,0.15,0.15,737128000,738600000,https://www.sec.gov/Archives/edgar/data/922224/000092222424000008/0000922224-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222424000008/ppl-20231231.htm,2.7552880910778046,0.1532976633637577,0.1492278138939234,-0.7312162880802249,0.5182274991588978,18.90173755440032,15.438295655571352,18.90173755440032,21.51593753052387,19976168800.0,35282168800.0,44.19506371681416,9.835632102412603,181.60153454545457,-37.06153766233766,1.4337306251345727,1.4337306251345727,17.371821171836533,55.388020094191525,320.7469890909091,-65.45856920222634,0.0056567403455261,-0.0269821508516688,1.1259599511950047,0.3998368844938322,24.02825745682889,0.8778443113772455,2.2674418604651163,0.9734513274336284,0.0089106175354305,1.575221238938053,-0.0049236829148202,0.0,0.0650677948822509,5.9,0.3195470211718365,1.9258160237388724,0.0054160512063023,8.074393135933038,0.0094009502063217,0.0030804459831529,-31.787898438263092,-408000000.0,11380000000.0,-22371000000.0,33637000000.0,1522500000.0,1141000000.0,496500000.0,73.07237813884785,120.72904009720536,55.22478736330498,1.2316555488174652,0.7454710144927537,1.6297029702970296,0.0081102418718151,0.8804441019741484,2024-02-16,0.38,bmo,1898240000.0,2025-04-25,2023-12-31,0.0526315789473684,25.36174603174603,6835317.476190476
2023-09-30,PPL,USD,922224,2023-11-02,2023-11-02 11:45:39,2023,Q3,2043000000.0,1192000000.0,851000000.0,0.4165442976,0,-13000000.0,0.0,-13000000.0,16000000.0,414000000.0,1606000000.0,4000000.0,165000000.0,338000000.0,790000000.0,0.3866862457,437000000.0,0.2139011258,-149000000.0,288000000.0,0.140969163,58000000.0,230000000.0,0.1125795399,0.31,0.31,737107000,738184000,https://www.sec.gov/Archives/edgar/data/922224/000092222423000049/0000922224-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222423000049/ppl-20230930.htm,2.7716464502439946,0.3120306821126376,1.093464042533852,0.2102815466411253,0.4788992642859178,19.00945181635773,15.544554589767836,19.00945181635773,20.3864567830722,17366240920.0,31875240920.0,18.87634882608696,8.500362662750856,21.546204615384617,112.040264,1.2393834513274338,1.2393834513274338,15.602173724914342,40.3484062278481,39.5474453101737,205.6467156129032,0.0132440866771068,0.0089253627606589,1.060662289466172,0.3847368557301509,18.365822784810128,0.9565821465786732,2.6484848484848484,3.5043478260869567,0.0102497714283696,0.7739130434782608,-0.0063631913852178,0.0,0.066116130368376,0.8076923076923077,0.3186490455212922,1.9375,0.0,11.552466181687008,0.0096599052135616,0.0063756063756063,-31.16643852249402,-125000000.0,11458000000.0,-21863000000.0,33499000000.0,1383500000.0,1076500000.0,481000000.0,61.497797356828194,88.94295302013423,36.84563758389262,1.4634670487106016,1.0118845500848896,2.442622950819672,0.0164145018555523,0.8831824958927266,2023-11-02,0.45,bmo,1741750000.0,2025-04-25,2023-09-30,-0.0444444444444444,25.85904761904762,4767582.349206349
2023-06-30,PPL,USD,922224,2023-08-04,2023-08-04 11:50:13,2023,Q2,1823000000.0,1116000000.0,707000000.0,0.387822271,0,1000000.0,0.0,1000000.0,5000000.0,402000000.0,1518000000.0,8000000.0,165000000.0,337000000.0,648000000.0,0.3554580362,305000000.0,0.1673066374,-160000000.0,145000000.0,0.0795392211,33000000.0,112000000.0,0.0614371914,0.15,0.15,737075000,738177000,https://www.sec.gov/Archives/edgar/data/922224/000092222423000045/0000922224-23-000045-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222423000045/ppl-20230630.htm,2.473289692365092,0.1519519723230336,0.5589661839025879,-0.242851812909134,0.4422887765831157,18.93837126479666,15.47061018213886,18.93837126479666,20.323576298205747,19503004500.0,33992004500.0,43.5334921875,10.698301974766869,47.3373895631068,-108.95533240223465,1.3971634429400388,1.3971634429400388,18.646190071311025,52.45679706790124,82.50486529126213,-189.89946648044693,0.0057427049252847,-0.0091780730502318,1.0613224443011675,0.3868550240233967,22.359567901234566,1.0878243512974053,1.8484848484848484,3.678571428571429,0.0090755247479945,1.5803571428571428,0.0005485463521667,0.0,0.066743263003969,1.4344660194174756,0.324190894130554,1.7641791044776118,0.0,8.046661698562556,0.006521417491946,0.0031337437045327,-30.85947834345216,220000000.0,11403000000.0,-21612000000.0,33538000000.0,1484000000.0,1054000000.0,454000000.0,67.68513439385627,78.62903225806451,38.2258064516129,1.3296863603209337,1.1446153846153846,2.354430379746836,0.0080234973851995,0.8018179968117221,2023-08-04,0.32,bmo,1267720000.0,2025-04-25,2023-06-30,-0.09375,27.576612903225808,4850761.79032258
2023-03-31,PPL,USD,922224,2023-05-04,2023-05-04 12:08:47,2023,Q1,2415000000.0,1494000000.0,921000000.0,0.3813664596,0,-7000000.0,0.0,-7000000.0,423000000.0,423000000.0,1917000000.0,10000000.0,164000000.0,332000000.0,858000000.0,0.3552795031,498000000.0,0.2062111801,-134000000.0,364000000.0,0.1507246377,79000000.0,285000000.0,0.1180124224,0.39,0.39,736829000,737698000,https://www.sec.gov/Archives/edgar/data/922224/000092222423000031/0000922224-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222423000031/ppl-20230331.htm,3.2775582937153667,0.3867925936682731,0.5835818079907278,-0.0936445226775819,0.624296817850546,19.04919594641362,15.577562772366452,19.04512444542764,20.016856014081966,20476477910.0,34601477910.0,17.961822728070175,8.47887284057971,47.61971606976744,-296.76054942028986,1.4591661020451792,1.4591661020451792,14.327734124223602,40.32806283216783,80.46855327906977,-501.4706943478261,0.0139184092719781,-0.0033697201395315,1.0393358512078672,0.3807895149078377,16.462703962703962,1.225,3.0365853658536586,1.5087719298245614,0.0083510455631868,0.6,-0.0028985507246376,0.0,0.0667850242807164,1.1604651162790698,0.2066252587991718,1.5121212121212122,0.0,12.874258981475194,0.0108533536273891,0.0079733661593554,-30.388665484121823,558000000.0,11478000000.0,-21228000000.0,33573000000.0,1597500000.0,1167000000.0,438500000.0,59.51552795031056,68.25301204819277,26.14457831325301,1.512210394489668,1.3186231244483673,3.442396313364055,0.0203092710040618,0.6772263306683097,2023-05-04,0.46,bmo,1992390000.0,2025-04-25,2023-03-31,0.0434782608695651,28.320806451612903,5798894.596774193
2022-12-31,PPL,USD,922224,2023-02-17,2023-02-17 14:09:21,2022,Q4,2290000000.0,1543000000.0,747000000.0,0.3262008734,0,-20000000.0,0.0,-20000000.0,411000000.0,411000000.0,1954000000.0,6000000.0,152000000.0,333000000.0,642000000.0,0.280349345,336000000.0,0.1467248908,-134000000.0,202000000.0,0.088209607,54000000.0,148000000.0,0.064628821,0.2,0.2,736369000,737570000,https://www.sec.gov/Archives/edgar/data/922224/000092222423000010/0000922224-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/55387/000092222423000010/ppl-20221231.htm,3.109853891187706,0.2009861903475024,0.2974052411223177,-0.5717242306506656,0.483453268673722,18.900849981463097,15.42297407957152,18.896775937064163,19.52825281889922,21516702180.0,35388702180.0,36.34578070945946,9.395939816593886,98.24978164383562,-51.10855624703088,1.5462955213798055,1.5462955213798055,15.453581737991266,55.12258906542056,161.59224739726028,-84.05867501187649,0.0068783774930698,-0.0195661954363677,1.022493711821775,0.3760340407537595,21.60747663551402,0.745315386645553,2.210526315789474,1.4797297297297298,0.0077614124415045,1.1283783783783785,-0.0087336244541484,0.0,0.0676850701694108,2.922374429223744,0.2794759825327511,1.933534743202417,0.0061135371179039,9.2441764166647,0.0069565450949978,0.0041954870166685,-30.07052170854558,-965000000.0,11357000000.0,-21095000000.0,31834000000.0,1418500000.0,1084500000.0,432500000.0,62.80349344978166,70.05184705119896,25.839274141283216,1.4330413016270338,1.2847626977518734,3.4830699774266365,0.0106360043118936,0.8691294717729834,2023-02-17,0.28,bmo,1244831269.0,2025-04-25,2022-12-31,0.0,27.49428571428572,4567109.285714285
