date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PRU,USD,1137774,2025-05-01,2025-05-01 16:19:47,2025,Q1,13470000000.0,0.0,13470000000.0,1.0,0,3083000000.0,0.0,3083000000.0,0.0,12617000000.0,12617000000.0,0.0,0.0,0.0,0.0,0.0,920000000.0,0.0682999258,0.0,920000000.0,0.0682999258,207000000.0,707000000.0,0.0524870082,2.01,2.01,354300000,356100000,https://www.sec.gov/Archives/edgar/data/1137774/000113777425000060/0001137774-25-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777425000060/pru-20250331.htm,38.0186282811177,1.9954840530623763,-7.07310189105278,-7.07310189105278,45.33728478690375,90.94552639006491,90.94552639006491,84.34377646062659,59.119390347163424,39568224000.0,44451224000.0,13.991592644978784,2.9375073496659243,-15.7893950518755,-15.789395051875498,1.3241048087541412,1.3241048087541412,3.300016629547142,0.0,-17.73791859537111,-17.73791859537111,0.0178678729679654,-0.0633336487379367,0.7009336412006827,0.0283336624904296,0.0,3.151472209100929,0.0,-3.3773584905660377,0.0124089471389971,0.6944837340876945,0.2288789903489235,0.0,0.0,0.0,0.0,0.0,0.0,61.5377922117812,0.0168168309825935,0.0009563591798306,-1857.1563646627155,40992000000.0,32222000000.0,-646995000000.0,40992000000.0,41264000000.0,17215500000.0,0.0,293.8663697104677,0.0,0.0,0.3062616524942022,0.0,0.0,0.0236589365190911,0.0,2025-04-30,3.18,amc,14116689637.0,2025-05-11,2025-03-31,0.0345911949685534,113.94633333333331,1776512.1333333333
2024-12-31,PRU,USD,1137774,2025-02-13,2025-02-13 16:24:16,2024,Q4,12615000000.0,0.0,12615000000.0,1.0,0,3310000000.0,0.0,3310000000.0,9454000000.0,12615000000.0,12764000000.0,0.0,0.0,-330000000.0,-479000000.0,-0.0379706698,-149000000.0,-0.0118113357,0.0,-149000000.0,-0.0118113357,-186000000.0,-57000000.0,-0.0045184304,-7.71,-7.67,355400000,355400000,https://www.sec.gov/Archives/edgar/data/1137774/000113777425000044/0001137774-25-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777425000044/pru-20241231.htm,35.495216657287564,-0.1603826674169949,6.533483398987057,6.533483398987057,53.37929093978616,84.7664603263928,79.43725379853686,78.42431063590321,60.69217782779966,42125562000.0,45198562000.0,-184.7612368421053,3.339323186682521,18.14193023255814,18.14193023255814,1.5113935849598163,1.5113935849598163,3.582922076892588,-94.360254697286,19.465358311800173,19.465358311800173,-0.0013530976749936,0.0551209263392141,0.7738949483352469,0.0293235198555711,-6.4154488517745305,48.77708333333333,0.0,31.80821917808219,0.0110859055126671,-8.192982456140351,0.2623860483551328,0.0,0.0025748143999282,0.0,0.0,0.0,0.0,,0.0002896417835671,-7.768916972085054e-05,-1850.254642656162,45866000000.0,28232000000.0,-658635000000.0,47760000000.0,34089500000.0,17263500000.0,0.0,275.0011890606421,0.0,0.0,0.3272713121984122,0.0,0.0,-0.0020450631458094,0.0,2025-02-04,3.36,amc,14709303543.0,2025-05-04,2024-12-31,-0.119047619047619,123.45453125,1451835.4375
2024-09-30,PRU,USD,1137774,2024-10-31,2024-10-31 16:19:39,2024,Q3,19490000000.0,0.0,19490000000.0,1.0,0,3311000000.0,0.0,3311000000.0,16222000000.0,19533000000.0,19533000000.0,0.0,0.0,-41000000.0,512000000.0,0.026269882,553000000.0,0.0283735249,0.0,553000000.0,0.0283735249,140000000.0,448000000.0,0.0229861467,1.24,1.24,356900000,358700000,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000247/0001137774-24-000247-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000247/pru-20240930.htm,54.60913421126366,1.255253572429252,3.0961053516391144,3.0961053516391144,79.03614457831326,91.27206500420286,89.90473521994957,85.22275147100028,60.19052956010087,43220590000.0,44504590000.0,24.1186328125,2.217577732170344,39.11365610859728,39.11365610859728,1.42098204892162,1.42098204892162,2.283457670600308,86.92302734375,40.27564705882353,40.27564705882353,0.0103654299952869,0.0255665181803395,0.706273014203051,0.0282548593044269,2.5078125,3.0649109792284865,0.0,2.444690265486725,0.010851309526316,1.046875,0.1698819907644946,0.0,0.0006418569658579,0.0,0.0,0.0,0.0,49.06081606348417,0.0008230879149568,0.0005896241935441,-1897.6919305127487,38969000000.0,32087000000.0,-669878000000.0,39457000000.0,29117500000.0,16523500000.0,-17398000000.0,136.83786557208825,0.0,0.0,0.6577126851820605,0.0,0.0,0.0147290899526564,0.0,2024-10-30,3.47,amc,14893235424.0,2025-04-25,2024-09-30,0.0028818443804033,118.21828125,1532866.703125
2024-06-30,PRU,USD,1137774,2024-08-02,2024-08-02 16:20:42,2024,Q2,14883000000.0,0.0,0.0,0.0,0,3127000000.0,0.0,3127000000.0,0.0,3127000000.0,3127000000.0,0.0,0.0,-26000000.0,11730000000.0,0.7881475509,11756000000.0,0.7898945105,-10321000000.0,1435000000.0,0.0964187328,264000000.0,1198000000.0,0.080494524,3.3,3.28,358800000,360500000,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000151/0001137774-24-000151-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000151/pru-20240630.htm,41.479933110367895,3.338907469342252,-0.4069119286510591,-0.4069119286510591,136.73076923076923,83.90468227424749,82.66164994425864,78.07413600891861,78.16053511705685,42169764000.0,53082764000.0,8.800034223706177,2.833418262447087,-288.834,-288.834,1.5053640809624105,1.5053640809624105,3.566670966874958,4.5253848252344415,-363.58057534246575,-363.58057534246575,0.0284089804249319,-0.0034621962788314,1.001106629065077,0.0392116287003842,0.9303495311167944,3.662318940070022,0.0,-0.1218697829716193,0.0111928537233454,0.3939899833055091,0.2101054894846469,0.0,0.0006236052774344,0.0,0.0,0.0,0.0,76.58558681213442,0.0136758469238683,0.0016761105281566,-1761.3670568561872,38782000000.0,29659000000.0,-631742000000.0,39228000000.0,14301000000.0,15675000000.0,-40730000000.0,172.9610965531143,0.0,0.0,0.5203482273966855,0.0,0.0,0.0427658587084567,0.0,2024-08-01,3.45,amc,13529218111.0,2025-04-25,2024-06-30,-0.0173913043478261,115.41539682539684,1395447.507936508
2024-03-31,PRU,USD,1137774,2024-05-02,2024-05-02 16:21:46,2024,Q1,23509000000.0,0.0,0.0,0.0,0,3594000000.0,0.0,3594000000.0,0.0,3594000000.0,3594000000.0,0.0,0.0,397000000.0,20312000000.0,0.8640095283,19915000000.0,0.8471223787,-18475000000.0,1440000000.0,0.0612531371,289000000.0,1138000000.0,0.0484069931,3.13,3.12,359000000,360500000,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000068/0001137774-24-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000068/pru-20240331.htm,65.48467966573816,3.16991643454039,14.54317548746518,14.54317548746518,110.12534818941504,81.93314763231197,80.5849582172702,75.79108635097494,77.01392757660167,41748110000.0,50640110000.0,9.171377416520212,1.7758352120464502,7.99619038498372,7.99619038498372,1.534349296188761,1.534349296188761,2.1540733336169127,2.493112938164632,9.69931239226202,9.69931239226202,0.0272587190174597,0.1250595535941627,1.016134367304936,0.0380919315039617,0.437770775896022,3.1044881778281184,0.0,4.649154051647373,0.011569386015319,0.4244288224956063,0.1528776213365094,0.0,0.0006668292407377,0.0,0.0,0.0,0.0,73.52317138053533,0.0223401313039026,0.0015689215663296,-1894.724233983287,29728000000.0,28930000000.0,-652555000000.0,30212000000.0,14125000000.0,15737500000.0,-37657000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418243963394465,0.0,2024-04-30,3.13,amc,14496064428.0,2025-04-25,2024-03-31,-0.0031948881789136,107.75967213114754,1578364.9672131147
2023-12-31,PRU,USD,1137774,2024-02-21,2024-02-21 10:45:26,2023,Q4,17382000000.0,0.0,0.0,0.0,0,3313000000.0,195000000.0,3508000000.0,0.0,3508000000.0,3508000000.0,0.0,0.0,-71000000.0,13803000000.0,0.7940973421,13874000000.0,0.7981820274,-12189000000.0,1685000000.0,0.0969393626,359000000.0,1317000000.0,0.0757680359,3.62,3.62,360300000,361000000,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000045/0001137774-24-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777424000045/pru-20231231.htm,48.24313072439634,3.655287260616153,3.061337774077158,3.061337774077158,945.7257840688316,82.67277268942549,76.82486816541771,77.21343325006939,57.935054121565365,37366713000.0,38821713000.0,7.093149772209567,2.14973610631688,33.87734632819583,33.87734632819583,1.3431600647016535,1.3431600647016535,2.233443389713497,2.812556183438383,35.196475974614685,35.196475974614685,0.0352452729786534,0.029518250641955,0.7503235082674335,0.0289465181390692,0.1054118669854379,22.225936634140464,0.0,0.8318250377073907,0.0121766129121392,0.3454821564160972,0.1905994707168335,0.0,0.0029218316431454,0.0,0.0,0.0,0.014785410194454,79.68901289021481,0.0157155154820357,0.0018316699489302,-954.006383569248,352393000000.0,27680000000.0,-322341000000.0,354786000000.0,14125000000.0,7864500000.0,-188167000000.0,146.27200552295477,0.0,0.0,0.6152920353982301,0.0,0.0,0.0473400431344356,0.0,2024-02-06,2.61,amc,12993800000.0,2025-04-25,2023-12-31,-0.0114942528735631,95.91809523809523,1609704.5714285714
2023-09-30,PRU,USD,1137774,2023-11-02,2023-11-02 16:22:11,2023,Q3,8352000000.0,0.0,0.0,0.0,0,3066000000.0,0.0,3066000000.0,0.0,3066000000.0,3066000000.0,0.0,0.0,-45000000.0,5241000000.0,0.6275143678,5286000000.0,0.6329022989,-6328000000.0,-1042000000.0,-0.1247605364,251000000.0,-802000000.0,-0.0960249042,-2.23,-2.23,362600000,362600000,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000117/0001137774-23-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000117/pru-20230930.htm,23.033645890788748,-2.211803640375069,7.832322118036403,7.832322118036403,875.019305019305,74.31605074462217,72.89851075565362,71.19139547710977,55.9376723662438,34407114000.0,37798114000.0,-10.725409600997503,4.119625718390805,12.115180985915494,12.115180985915494,1.3328857984039668,1.3328857984039668,4.525636254789272,7.2120041976722,13.309195070422534,13.309195070422534,-0.0233091331054386,0.0825410698496828,0.7857364220965367,0.0297730361950168,0.6470139286395726,3.5211839814277424,0.0,-3.59039190897598,0.0133112007011108,-0.571072319201995,0.3670977011494253,0.0,0.0007544909828052,0.0,0.0,0.0,0.0,,0.0161113646286931,-0.0011781296824044,-1408.899613899614,4344000000.0,26433000000.0,-648240000000.0,3750000000.0,401500000.0,0.0,-191239500000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0310684124893468,0.0,2023-11-01,3.16,amc,12964700000.0,2025-04-25,2023-09-30,0.0886075949367087,94.5895238095238,1465819.873015873
2023-06-30,PRU,USD,1137774,2023-08-03,2023-08-03 16:21:08,2023,Q2,13498000000.0,0.0,0.0,0.0,0,3143000000.0,0.0,3143000000.0,0.0,3143000000.0,3143000000.0,0.0,0.0,5000000.0,10360000000.0,0.7675211142,10355000000.0,0.767150689,-9736000000.0,619000000.0,0.0458586457,123000000.0,511000000.0,0.0378574604,1.38,1.38,365700000,366900000,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000094/0001137774-23-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000094/pru-20230630.htm,36.91003554826361,1.397320207820618,3.347005742411813,3.347005742411813,907.6866283839212,80.54416188132349,79.0620727372163,77.75225594749794,54.80175006836205,32262054000.0,37651054000.0,15.783783757338552,2.3901358719810344,26.35788725490196,26.35788725490196,1.134629457691496,1.134629457691496,2.789380204474737,3.6342716216216218,30.76066503267974,30.76066503267974,0.0158390411224282,0.0379393078940355,0.7048252092565239,0.0287406927251241,0.5201737451737452,436.0996068152031,0.0,2.467741935483871,0.0142582366268434,0.9001956947162426,0.2328493110090383,0.0,0.0007772793501829,0.0,0.0,0.0,0.0,49.44196562515788,0.0124500458780438,0.0007333924639977,-964.460623461854,331981000000.0,28913000000.0,-335105000000.0,665430000000.0,401500000.0,0.0,-17397500000.0,5.354126537264779,0.0,0.0,16.809464508094646,0.0,0.0,0.017971442639094,0.0,2023-08-01,3.04,amc,13063500000.0,2025-04-25,2023-06-30,-0.0328947368421052,83.6675806451613,2239212.741935484
2023-03-31,PRU,USD,1137774,2023-05-04,2023-05-04 16:20:22,2023,Q1,17063000000.0,0.0,17063000000.0,1.0,0,3204000000.0,0.0,3204000000.0,13859000000.0,17063000000.0,17063000000.0,0.0,0.0,41000000.0,0.0,0.0,0.0,0.0,1847000000.0,1847000000.0,0.1082459122,382000000.0,1462000000.0,0.0856824708,3.94,3.93,366500000,367700000,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000067/0001137774-23-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000067/pru-20230331.htm,46.55661664392906,3.989085948158254,3.6643929058663023,3.6643929058663023,936.1909959072306,88.53206002728513,86.89222373806275,85.6343792633015,58.85675306957708,30324210000.0,34470210000.0,5.185398426812585,1.7771909980659908,22.57945644080417,22.57945644080417,0.9662007328341564,0.9662007328341564,2.020172888706558,0.0,25.666574832464637,25.666574832464637,0.0482123029750816,0.0442880457561796,0.6873028516807392,0.030413002683044,0.0,0.0,0.0,0.909275558564658,0.0155980980213499,0.3235294117647059,0.1877747172244036,0.0,0.0008473512870293,0.0,0.0,0.0,0.0,87.67020718274846,0.0,0.0020630252812318,-910.5266030013644,0.0,31846000000.0,-676822000000.0,601000000.0,0.0,2866500000.0,-153671000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465827624661462,0.0,2023-05-02,3.02,amc,12990900000.0,2025-04-25,2023-03-31,-0.1192052980132449,95.44258064516129,2350054.1129032257
2022-12-31,PRU,USD,1137774,2023-02-16,2023-02-16 16:29:53,2022,Q4,11135000000.0,0.0,0.0,0.0,0,3150000000.0,213000000.0,3363000000.0,0.0,3363000000.0,3363000000.0,0.0,0.0,62000000.0,7834000000.0,0.7035473731,7772000000.0,0.6979793444,-7821000000.0,-49000000.0,-0.0044005388,5000000.0,-52000000.0,-0.0046699596,-0.16,-0.16,367600000,367600000,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000040/0001137774-23-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777423000040/pru-20221231.htm,30.29107725788901,-0.1414581066376496,-1.692056583242655,-1.692056583242655,884.031556039173,46.81175190424374,45.19314472252449,44.20565832426551,57.28237214363438,36561496000.0,40367496000.0,-175.77642307692307,3.283475168387966,-58.78054019292604,-58.78054019292605,2.2499382153846152,2.2499382153846152,3.625280287382128,5.152858820525912,-64.89951125401929,-64.89951125401929,-0.0014222612772737,-0.017012432970467,1.2958153846153846,0.030521062678554,0.4858309931069696,1.2226899178192023,0.0,1.118705035971223,0.0121986255704635,-8.576923076923077,0.2828917826672654,0.0,0.000862422581267,0.0,0.0,0.0,0.0197575213291423,,0.0206222536350279,-7.543644334578035e-05,-1364.0097932535364,1111000000.0,16613000000.0,-666609000000.0,2046000000.0,0.0,2866500000.0,-303507000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032,0.0,2023-02-07,2.57,amc,13566102770.0,2025-04-25,2022-12-31,-0.0583657587548637,101.2752380952381,1812442.873015873
2022-09-30,PRU,USD,1137774,2022-11-03,2022-11-03 16:23:39,2022,Q3,20201000000.0,0.0,0.0,0.0,0,3066000000.0,0.0,3066000000.0,0.0,3066000000.0,3066000000.0,0.0,0.0,-124000000.0,17011000000.0,0.8420870254,17135000000.0,0.8482253354,-17254000000.0,-119000000.0,-0.0058907975,11000000.0,-92000000.0,-0.00455423,-0.26,-0.26,371000000,371000000,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000110/0001137774-22-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000110/pru-20220930.htm,54.45013477088949,-0.2479784366576819,11.53099730458221,11.53099730458221,865.5687331536388,46.307277628032345,44.8733153638814,44.47978436657682,56.28840970350405,31824380000.0,32603380000.0,-86.47929347826087,1.575386367011534,7.439079008882656,7.439079008882655,1.9285165434492788,1.9285165434492788,1.613948814415128,1.916605725706896,7.621173445535297,7.621173445535297,-0.0028908654308426,0.1344252425341829,1.2654829717609988,0.0308119736306281,0.0457938980659573,1.275554588951718,0.0,-14.751724137931037,0.0141401026508607,-4.891304347826087,0.1517746646205633,0.0,0.0007849432539143,0.0,0.0,0.0,0.0,,0.0464576633881953,-0.000135848699987,-1318.830188679245,1267000000.0,16648000000.0,-654711000000.0,1799000000.0,0.0,0.0,-149836000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0055750818082656,0.0,2022-11-01,2.21,amc,14666399956.0,2025-04-25,2022-09-30,-0.0361990950226244,96.2609375,1722353.40625
2022-06-30,PRU,USD,1137774,2022-08-05,2022-08-04 18:56:42,2022,Q2,11392000000.0,0.0,0.0,0.0,0,2923000000.0,0.0,2923000000.0,0.0,2923000000.0,2923000000.0,0.0,0.0,167000000.0,8636000000.0,0.7580758427,8469000000.0,0.7434164326,-9605000000.0,-1136000000.0,-0.0997191011,119000000.0,-1010000000.0,-0.0886587079,-2.71,-2.72,373611963,374400000,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000082/0001137774-22-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000082/pru-20220630.htm,30.491528987791003,-2.703339560890881,4.017537307819022,2.888023154654713,877.4933151698892,77.40116180380444,75.87283815106316,75.57306188292478,54.60745912999579,35747192619.840004,41790192619.84,-8.848315004910893,3.137920700477528,23.815584690099936,33.12992828530121,1.2660595934067649,1.2660595934067649,3.6683806723876407,4.839068158851321,27.84156736831446,38.7304843557368,-0.0282539669825551,0.0301841884892842,0.722578360191252,0.0293301169208121,0.6997452524316813,6.691142191142191,0.0,-2.624125874125874,0.0127282722545174,-0.4504950495049505,0.2565835674157303,0.0,0.0008208752456515,0.2811459027315123,0.0370435393258426,2.4823529411764707,0.0,,0.0280587363297611,-0.0014531788647363,-906.927597497728,4883000000.0,28347000000.0,-660940000000.0,332766000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357712059500619,1.1295141531643087,2022-08-02,2.62,amc,12274203095.0,2025-04-25,2022-06-30,-0.3358778625954198,105.84354838709676,1911120.725806452
2022-03-31,PRU,USD,1137774,2022-05-05,2022-05-05 16:20:41,2022,Q1,11855000000.0,0.0,0.0,0.0,0,3216000000.0,0.0,3216000000.0,0.0,3216000000.0,3216000000.0,0.0,0.0,15000000.0,8654000000.0,0.7299873471,8639000000.0,0.7287220582,-9289000000.0,-650000000.0,-0.054829186,144000000.0,-493000000.0,-0.0415858288,-1.33,-1.33,375939849,376100000,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000050/0001137774-22-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000050/pru-20220331.htm,31.53430005234694,-1.3113800021768909,0.0026600000044156,0.0026600000044156,967.2691016056668,118.84348019728016,116.94424019412745,116.98148019418926,54.51138009048889,44424811956.33,50831811956.33,-22.52779510970081,3.7473481194711096,44424.811956330006,44424.81195633,1.0101598971378871,1.0101598971378871,4.287795188218474,5.873793847507511,50831.81195633,50831.81195633,-0.0110974020663187,2.2509943339389016e-05,0.4659829914957479,0.0233387923003509,0.7403512826438641,430.8471563981043,0.0,-0.0227272727272727,0.0104896335961552,-0.9452332657200812,0.2712779417967103,0.0,0.0008131507198775,0.0,0.0,0.0,0.0,,0.0144529977624227,-0.0005619181354804,-1249.5429820742413,362791000000.0,43964000000.0,-469753000000.0,363505000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0112101505298103,0.0,2022-05-03,2.67,amc,13921910148.0,2025-04-25,2022-03-31,0.1872659176029962,113.70677419354838,2144084.3387096776
2021-12-31,PRU,USD,1137774,2022-02-17,2022-02-17 16:33:01,2021,Q4,16424000000.0,0.0,0.0,0.0,0,3402000000.0,249000000.0,3651000000.0,0.0,3651000000.0,3651000000.0,0.0,0.0,117000000.0,12890000000.0,0.7848270823,12773000000.0,0.7777033609,-11361000000.0,1412000000.0,0.0859717487,170000000.0,1208000000.0,0.0735509011,3.16,3.13,377700000,380900000,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000038/0001137774-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000038/pru-20211231.htm,43.4842467566852,3.198305533492189,8.824463860206514,8.824463860206514,1037.683346571353,165.76118612655546,163.7198835054276,163.82314005824728,51.94069367222664,40882248000.0,47612248000.0,8.460730132450331,2.489177301509985,12.26590099009901,12.26590099009901,0.6607125218178292,0.6607125218178292,2.8989434973209938,3.693735298681148,14.285102910291029,14.285102910291029,0.0295482772865132,0.0815268279767785,0.3170534617622341,0.0209240365109398,0.5221101629169899,383.4960861056752,0.0,2.683574879227053,0.0107626175546902,0.3642384105960264,0.2071358986848514,0.0,0.0008223280737044,0.0,0.0,0.0,0.0172917681441792,108.57725473437362,0.0141718152646602,0.0012894810159146,-1278.9012443738416,390911000000.0,61837000000.0,-483041000000.0,392077000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195229168013446,0.0,2022-02-03,2.36,amc,14017142843.0,2025-04-25,2021-12-31,0.3474576271186442,108.6053125,1693410.0625
