date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PSX,USD,1534701,2025-04-25,2025-04-25 13:23:09,2025,Q1,30430000000.0,28451000000.0,1979000000.0,0.0650345054,0,0.0,0.0,519000000.0,1855000000.0,2374000000.0,30825000000.0,0.0,233000000.0,791000000.0,1672000000.0,0.0549457772,-395000000.0,-0.0129806112,1043000000.0,648000000.0,0.0212947749,122000000.0,487000000.0,0.0160039435,1.1852916306191377,1.1814716020511322,409182000,410505000,https://www.sec.gov/Archives/edgar/data/1534701/000153470125000094/0001534701-25-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470125000094/psx-20250331.htm,74.36788519534095,1.1901794311577734,0.4570093503624304,-0.5767604635590031,3.6389675010142186,69.29190433596786,62.590729797498426,66.65249204510462,46.52208552673383,50525793360.0,67839793360.0,25.93726558521561,1.660394129477489,270.191408342246,-214.09234474576272,1.8525938972610272,1.8525938972610272,2.2293721117318435,40.57403909090909,362.7796436363636,-287.4567515254237,0.0096386413278083,-0.0046708816290816,0.6894364389689437,0.2617416965951168,10.355263157894736,1.2281798024591817,-1.6952789699570816,0.3555133079847908,0.0092823876442343,0.9630390143737166,0.0,0.0,0.0381692140649795,0.0,0.0,0.0,0.0,42.24795337076743,-0.0055266256903161,0.007048164872062,-77.49668851513508,3396000000.0,25611000000.0,-25206000000.0,41104000000.0,10627000000.0,10514500000.0,4617500000.0,30.22970752546829,32.27289444648768,15.767829081547362,2.977203796106056,2.7887179487179488,5.707824427480916,0.0178564881017856,0.0,2025-04-25,-0.723,bmo,31696682366.0,2025-05-11,2025-03-31,0.2448132780082988,123.25183333333332,3526572.7666666666
2024-12-31,PSX,USD,1534701,2025-02-21,2025-02-21 14:39:10,2024,Q4,33685000000.0,31573000000.0,2112000000.0,0.0626985305,0,0.0,0.0,511000000.0,1643000000.0,2154000000.0,33727000000.0,158000000.0,233000000.0,819000000.0,1039000000.0,0.0308445896,-42000000.0,-0.0012468458,29000000.0,-13000000.0,-0.0003859285,-38000000.0,8000000.0,0.0002374944,-0.0048,-0.0048,417305000,418803000,https://www.sec.gov/Archives/edgar/data/1534701/000153470125000074/0001534701-25-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470125000074/psx-20241231.htm,80.72033644456693,0.0191706305939301,2.8708019314410325,1.6582595463749537,4.164819496531314,68.20670732437905,61.65035166125496,65.67858041480451,48.63349348797642,47543558650.0,65867558650.0,1485.7362078125,1.411416317351937,39.68577516694491,68.70456452312139,1.7346599040426156,1.7346599040426156,1.955397317797239,63.3951478825794,54.98126765442404,95.18433330924856,0.0001682667479498,0.0145550736976648,0.7319760653823701,0.2764046182249042,17.63618864292589,1.18711473453967,-0.1802575107296137,47.92,0.009927738129043,59.0,0.0,0.0,0.037695296354468,0.4223706176961602,0.0150215229330562,0.6178266178266179,0.0,5.322569451776452,0.0013614474390525,0.0001145376972195,-76.94312313535663,2823000000.0,25727000000.0,-26209000000.0,40823000000.0,10736500000.0,10605000000.0,5016000000.0,29.478105981891048,29.371931713806102,11.3878947201723,3.053113387111393,3.0641498447204967,7.903128911138924,0.0002918855808523,1.2125423850660788,2025-01-31,1.23,bmo,34324673608.0,2025-05-01,2024-12-31,-1.121951219512195,127.2121875,2558869.5625
2024-09-30,PSX,USD,1534701,2024-10-29,2024-10-29 15:45:44,2024,Q3,35528000000.0,32737000000.0,2791000000.0,0.0785577573,0,0.0,0.0,1194000000.0,305000000.0,1499000000.0,35483000000.0,0.0,237000000.0,543000000.0,1193000000.0,0.0335791488,45000000.0,0.0012666066,368000000.0,413000000.0,0.0116246341,44000000.0,346000000.0,0.0097387976,0.83,0.83,417305000,418803000,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000166/0001534701-24-000166-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000166/psx-20240930.htm,85.13677046764357,0.8291297731874768,2.712644229041109,1.854758509962737,3.9227902852829466,71.37225770120176,64.82788368219887,68.82735648985754,48.48971375852194,54854742249.99999,73215742250.0,39.63492937138728,1.5439862150979506,48.45825287102473,70.87176001291989,1.909851063644593,1.909851063644593,2.060789862925017,61.371116722548194,64.67821753533569,94.59398223514212,0.0063075676925635,0.0141099924683357,0.6962607060789638,0.2663558870538092,15.390611902766135,1.2125989197337017,0.189873417721519,3.067750677506775,0.0086956930328115,1.3786127167630058,0.0,0.0,0.0363745338305807,0.3162544169611307,0.0100765593334834,0.6593001841620626,0.0,35.832990884091814,0.0006625875269943,0.004782374324455,-78.62474688776794,3385000000.0,27053000000.0,-25989000000.0,41713000000.0,10663500000.0,11614000000.0,6279500000.0,26.44674622832695,29.98258850841556,16.59681705715246,3.403065134099617,3.001742160278745,5.4227265197946,0.0120465148666527,0.857885719078372,2024-10-29,1.71,bmo,36994848324.0,2025-04-24,2024-09-30,0.1929824561403509,135.02421875,2642756.203125
2024-06-30,PSX,USD,1534701,2024-07-31,2024-07-30 19:17:36,2024,Q2,38100000000.0,36580000000.0,1520000000.0,0.0398950131,0,0.0,0.0,552000000.0,-49000000.0,601000000.0,37181000000.0,0.0,241000000.0,507000000.0,2049000000.0,0.0537795276,919000000.0,0.0241207349,315000000.0,1311000000.0,0.0344094488,291000000.0,1015000000.0,0.0266404199,2.39,2.38,422869000,425734000,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000132/0001534701-24-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000132/psx-20240630.htm,90.0988249315982,2.40027053295465,4.958982569069854,4.091101499518763,5.779567667528242,72.14290950625372,66.33969385317911,69.65514142677756,47.771295602184125,59594928170.0,77110928170.0,14.678553736453203,1.5641713430446194,28.41913598950882,34.4479353583815,2.023253375318282,2.023253375318282,2.023908875853018,37.63344469009273,36.77202106342394,44.57279084971098,0.0170316506986067,0.0290293159690538,0.6776438635206247,0.2628217789189545,8.548560273304052,1.1447649280280223,3.8132780082987554,2.072134387351779,0.0081382764421914,0.4778325123152709,0.0,0.0,0.0323128579893343,0.1750119217930376,0.0096325459317585,0.7238658777120316,0.0,61.33352775846475,0.0118273636425645,0.0138112149787048,-74.65136957308292,2645000000.0,28053000000.0,-24522000000.0,40328000000.0,11209500000.0,12398000000.0,6404000000.0,25.71732283464567,30.31656642974303,16.046473482777476,3.49958666299256,2.968673916571985,5.608708984973934,0.0344593447631981,0.8678810695510903,2024-07-30,1.98,bmo,37785679331.0,2025-04-24,2024-06-30,0.1666666666666667,148.01746031746032,2417872.587301587
2024-03-31,PSX,USD,1534701,2024-04-29,2024-04-29 15:32:00,2024,Q1,35811000000.0,32890000000.0,2921000000.0,0.0815671162,0,0.0,0.0,557000000.0,97000000.0,2174000000.0,35064000000.0,0.0,236000000.0,513000000.0,1704000000.0,0.0475831448,1178000000.0,0.0328949206,-232000000.0,964000000.0,0.0269191031,203000000.0,748000000.0,0.0208874368,1.74,1.73,428959000,431906000,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000104/0001534701-24-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000104/psx-20240331.htm,83.48350308537646,1.743756396298947,-0.5501691303830902,-2.014178511233008,3.660023452124795,71.78541538934957,66.0412766721295,69.29799817698195,47.533680375047496,70066163060.0,88650163060.0,23.4178352473262,1.956554216860741,-296.890521440678,-81.09509613425926,2.3570666440153403,2.3570666440153403,2.475500909217838,52.02474357981221,-375.6362841525424,-102.60435539351852,0.010675623829429,-0.0123312018564528,0.6779923299468479,0.2637992643882773,10.906103286384976,1.1719024169355294,4.991525423728813,-0.3101182654402102,0.0063939565181607,0.5989304812834224,0.0,0.0,0.0322517310436,-2.6610169491525424,0.0175365111278657,1.246031746031746,0.0,52.14281945163748,0.0152306154027761,0.0101169946574693,-75.16802305115408,3037000000.0,28329000000.0,-24902000000.0,41050000000.0,11631000000.0,11687500000.0,5018000000.0,28.98215632068359,34.13377926421405,17.200972940103377,3.1053590010405827,2.63668430335097,5.232262169901368,0.0251631568324026,1.4640093808499182,2024-04-26,2.17,bmo,35871694541.0,2025-04-24,2024-03-31,-0.1244239631336405,144.1118032786885,3184223.721311476
2023-12-31,PSX,USD,1534701,2024-02-21,2024-02-21 17:09:50,2023,Q4,38270000000.0,35931000000.0,2339000000.0,0.0611183695,27000000,0.0,0.0,658000000.0,-155000000.0,813000000.0,36744000000.0,269000000.0,228000000.0,528000000.0,2507000000.0,0.065508231,1526000000.0,0.0398745754,108000000.0,1761000000.0,0.0460151555,476000000.0,1260000000.0,0.0329239613,2.87,2.85,437365000,440575000,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000078/0001534701-24-000078-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470124000078/psx-20231231.htm,87.50128611114286,2.8808889600219496,5.007259382895294,3.557669223646154,7.597773027105507,72.36518697197992,66.71773004241308,72.36518697197992,44.78410480948407,58230776099.99999,74266776100.0,11.553725416666666,1.5215776352234125,26.58939547945205,37.4233779562982,1.8398349478672984,1.8398349478672984,1.9406003684348057,29.623763901076984,33.9117699086758,47.729290552699226,0.0216380423615889,0.0267212650116129,0.6116587677725118,0.256407199904637,6.396489828480255,1.2576311806256306,6.692982456140351,1.738095238095238,0.0078480836184493,0.3626984126984127,0.0,0.0007055134570159,0.0327147984794903,0.2894977168949771,0.0165665011758557,1.2007575757575757,0.0077606480271753,68.48876941034769,0.018216511964594,0.0172529473785104,-68.26220662375819,4085000000.0,29180000000.0,-23910000000.0,42267000000.0,11853000000.0,11805500000.0,4741000000.0,27.58557616932323,27.30483426567588,9.39300325624113,3.2625745950554133,3.2961196220530224,9.5816,0.0398104265402843,1.4495901592491398,2024-01-31,2.35,bmo,36496700000.0,2025-04-24,2023-12-31,0.3148936170212765,119.52444444444444,3126773.333333333
2023-09-30,PSX,USD,1534701,2023-11-03,2023-11-03 12:52:15,2023,Q3,39643000000.0,34818000000.0,4825000000.0,0.1217112731,0,0.0,0.0,669000000.0,15000000.0,2473000000.0,37291000000.0,221000000.0,227000000.0,494000000.0,3528000000.0,0.0889942739,2929000000.0,0.0738844184,-422000000.0,2813000000.0,0.0709583029,670000000.0,2097000000.0,0.0528971067,4.72,4.69,444283000,447258000,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000148/0001534701-23-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000148/psx-20230930.htm,89.22916249327568,4.719964527114474,6.043445281498505,4.118996225378869,7.965643520008643,72.00140451018832,66.41712602102714,69.37244954229624,44.2758331964086,53380602450.0,69285602450.0,6.363924946351932,1.3465328670887673,19.88104374301676,29.169728114754097,1.7319555643879174,1.7319555643879174,1.7477386285094467,19.63877620464853,25.80469364990689,37.86098494535519,0.0392839328099415,0.0342821158999489,0.6308685636416729,0.2499678605404571,4.508219954648526,1.2916858061552596,12.90308370044053,1.2529164722351844,0.008711029449987,0.2217453505007153,0.0,0.0,0.0318951996503226,0.3184357541899441,0.0215674898468834,1.7520491803278688,0.0,85.8329701948513,0.0364109318085051,0.0278467565234712,-68.44736350479312,5080000000.0,29508000000.0,-23301000000.0,43094000000.0,10717000000.0,11573000000.0,6056000000.0,27.188658779608,32.85369636394968,14.81647423746338,3.310203740814963,2.739417781274587,6.074319609211445,0.0680380260212192,1.924449056119636,2023-10-27,4.76,bmo,38955100000.0,2025-04-24,2023-09-30,-0.0273109243697478,112.23698412698413,3102058.9206349207
2023-06-30,PSX,USD,1534701,2023-08-04,2023-08-03 19:30:37,2023,Q2,35090000000.0,31066000000.0,4024000000.0,0.114676546,0,0.0,0.0,593000000.0,99000000.0,2151000000.0,33217000000.0,266000000.0,273000000.0,502000000.0,3012000000.0,0.0858364206,2473000000.0,0.0704759191,371000000.0,2244000000.0,0.0639498433,510000000.0,1697000000.0,0.0483613565,3.73,3.72,454450000,456168000,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000123/0001534701-23-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000123/psx-20230630.htm,77.21421498514688,3.734184178677522,2.1014413026735617,0.888986687204313,6.665199691935307,68.34635273407416,63.346902849598415,65.78941577731324,44.31510617229618,43345441000.0,60182441000.0,6.385598261638185,1.2352647762895412,45.38789633507853,107.29069554455444,1.449777276071978,1.449777276071978,1.715088087774295,19.9808901062417,63.01826282722513,148.96643811881188,0.0391505994828844,0.0093204727113054,0.6644591611479028,0.2652832305103758,5.589973439575033,1.3291029323358494,9.058608058608058,0.5507497116493656,0.0109354061018781,0.2793164407778432,0.0,0.0,0.0303394492962636,0.5769633507853403,0.0157024793388429,1.1131313131313132,0.0,74.34763210218473,0.0314575953619857,0.0233701490070785,-67.14380019804159,4927000000.0,28788000000.0,-23928000000.0,42431000000.0,9392000000.0,10502500000.0,5912500000.0,24.258193217440866,30.233696002060128,18.48322925384665,3.710086699090717,2.9768110387121505,4.869278996865204,0.0567596494748812,1.2124546154692486,2023-08-02,3.56,bmo,34551100000.0,2025-04-24,2023-06-30,0.0870786516853932,97.21145161290322,3346492.14516129
2023-03-31,PSX,USD,1534701,2023-05-04,2023-05-04 16:38:47,2023,Q1,34396000000.0,29817000000.0,4579000000.0,0.1331259449,0,0.0,0.0,605000000.0,1785000000.0,2390000000.0,32207000000.0,192000000.0,198000000.0,482000000.0,3325000000.0,0.0966682172,2848000000.0,0.0828003256,-197000000.0,2651000000.0,0.0770729155,574000000.0,1961000000.0,0.0570124433,4.21,4.2,464810000,467034000,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000080/0001534701-23-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000080/psx-20230331.htm,74.00012908500247,4.218928164196123,2.579548632774682,1.766313117187668,14.9846173705385,75.1188657731116,70.21578709580258,65.07820399733224,40.194918353735936,47122437800.0,58642437800.0,6.00745,1.369997610187231,39.301449374478736,57.39639196102314,1.5578180369598995,1.5578180369598995,1.7049202756134434,17.63682339849624,48.90945604670559,71.42806065773448,0.0416149947148956,0.0174226979403005,0.6110945816390625,0.2392508607077217,3.4646616541353383,1.541652499149949,14.383838383838384,0.5772749157438614,0.0103135580986431,0.2478327383987761,0.0,0.0,0.0294970360591235,0.3152627189324437,0.0109896499592975,0.7941176470588235,0.0,78.59774821006025,0.0352047135270666,0.0261525945881066,-55.21395839160087,7965000000.0,32637000000.0,-19676000000.0,45355000000.0,10155500000.0,10946000000.0,4360500000.0,24.40225607628794,31.901599758527016,16.435255055840628,3.6881835728072057,2.821175134828271,5.47603305785124,0.0648285893748553,0.813235515587014,2023-05-03,3.56,bmo,34227800000.0,2025-04-24,2023-03-31,0.1825842696629213,101.67870967741936,3664346.177419354
2022-12-31,PSX,USD,1534701,2023-02-22,2023-02-22 17:00:31,2022,Q4,40279000000.0,35648000000.0,4631000000.0,0.1149730629,42000000,0.0,0.0,630000000.0,4001000000.0,4631000000.0,40279000000.0,82000000.0,199000000.0,502000000.0,2634000000.0,0.0653938777,2143000000.0,0.0532039028,404000000.0,2547000000.0,0.0632339432,535000000.0,1884000000.0,0.0467737531,3.99,3.97,471859000,474327000,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000053/0001534701-23-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470123000053/psx-20221231.htm,85.36236460468064,3.9927181636887297,10.066566495499716,8.555521882596285,12.997526803557845,72.2800667148449,67.36970154219799,62.50596046700392,36.852110482156746,49111084720.0,60168084720.0,6.516863683651804,1.2192726909804117,10.339175730526314,12.16524268516225,1.6651212016003254,1.6651212016003254,1.4937829817026242,22.842856765375853,12.666965204210529,14.90415772108001,0.0383620115650339,0.082201401639088,0.5828304061843087,0.224876376860888,4.197798025816249,1.3796966454780035,10.768844221105528,2.3608349900596424,0.0092850728628744,0.2420382165605095,0.0,0.0010427269793192,0.0303105622563512,0.1501052631578947,0.0177015318155862,1.4203187250996017,0.0,74.93527462515144,0.0300211144077329,0.0254165261382799,-55.79262025308408,6033000000.0,31789000000.0,-20414000000.0,43513000000.0,12318500000.0,11820000000.0,3785000000.0,24.54504828818988,28.58701750448833,8.270870736086176,3.666727355484752,3.148282257352292,10.881562881562882,0.0638773987929748,1.511044612903431,2023-01-31,4.35,bmo,39232108833.0,2025-04-24,2022-12-31,-0.0804597701149424,102.28650793650796,3278116.8571428573
2022-09-30,PSX,USD,1534701,2022-11-09,2022-11-08 18:01:22,2022,Q3,44955000000.0,39076000000.0,5879000000.0,0.1307752197,0,0.0,0.0,617000000.0,1745000000.0,2362000000.0,41438000000.0,158000000.0,163000000.0,435000000.0,7751000000.0,0.1724168613,7325000000.0,0.1629407185,-167000000.0,7158000000.0,0.1592258926,1618000000.0,5391000000.0,0.1199199199,11.2,11.16,481388000,483036000,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000185/0001534701-22-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000185/psx-20220930.htm,93.38620821457953,11.198866610717342,6.531114194786742,5.004279292379536,7.777510033486502,69.19366498541717,64.3514171520686,58.6491561900172,37.01795640938287,38857639360.0,52770639360.0,1.8019680652940084,0.8643674643532421,12.359300050890583,16.13019483603155,1.3763198866574575,1.3763198866574575,1.1738547293960628,6.8082362740291575,16.784554503816793,21.905620323785804,0.1387371978532872,0.0619955313723926,0.6254028973187404,0.2283065465030579,1.79499419429751,1.3013085784587854,44.938650306748464,0.5675090252707581,0.0119924938229701,0.0864403635689111,0.0,0.0,0.030140032842421,0.2337786259541984,0.0163496830163496,1.7093023255813953,0.0,121.56517483461464,0.0937236718656703,0.0718723336177474,-57.957406499538834,5388000000.0,30978000000.0,-20760000000.0,42681000000.0,13522500000.0,12984500000.0,4437000000.0,27.33133133133133,28.368563824342303,9.889958030504657,3.292924113682977,3.172525777380856,9.100139729855613,0.1909467644246095,1.526834902407206,2022-11-01,4.98,bmo,39349524200.0,2025-04-24,2022-09-30,0.2971887550200802,85.23078125,3261647.625
2022-06-30,PSX,USD,1534701,2022-07-29,2022-07-29 16:51:55,2022,Q2,48577000000.0,43004000000.0,5573000000.0,0.1147250757,0,0.0,0.0,488000000.0,1549000000.0,2037000000.0,45041000000.0,0.0,139000000.0,365000000.0,4604000000.0,0.0947773638,4268000000.0,0.0878605101,-162000000.0,4106000000.0,0.0845255985,924000000.0,3167000000.0,0.0651954629,6.56,6.53,483088000,485035000,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000143/0001534701-22-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000143/psx-20220630.htm,100.55517835259828,6.555741397012553,3.690838936177259,2.9125128341006192,5.814675587056603,50.86650879342894,46.10961149935415,50.25171397343755,27.13377272877819,39608385120.0,49768385120.0,3.126648651720872,0.8153732243654405,22.214461648906337,28.15094891257996,1.631586139396935,1.631586139396935,1.0245257039339606,10.809814317984362,27.912723006169376,35.37198658137882,0.0799578167704909,0.035522781242842,0.5342313395946614,0.2064732853594854,2.206776715899218,1.277373920945025,30.705035971223023,0.5603394091766185,0.0117904327223932,0.1474581622987054,0.0,0.0,0.0365853658536585,0.2108805384183959,0.0077402886139531,1.0473537604456824,0.0,86.09493559580739,0.0723276641555098,0.0523349968602306,-47.80754231113172,4884000000.0,22275000000.0,-15747000000.0,29411000000.0,11924000000.0,13418000000.0,4555000000.0,24.81359491117195,28.571295693423867,9.585154869314485,3.627043978197566,3.1500146498681514,9.38951965065502,0.1304580655791728,0.7783261020766403,2022-07-29,5.97,bmo,43557907926.0,2025-04-24,2022-06-30,0.134003350083752,92.51209677419357,4339170.29032258
