date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,PTC,USD,857005,2025-05-01,2025-05-01 16:01:50,2025,Q2,636366000.0,106262000.0,530104000.0,0.8330174774,111023000,54993000.0,125031000.0,180024000.0,15593000.0,306640000.0,412902000.0,800000.0,19606000.0,33677000.0,258532000.0,0.4062630625,223464000.0,0.35115641,-18215000.0,205249000.0,0.3225329449,42605000.0,162644000.0,0.2555824793,1.3533704452599082,1.3457891339963923,120177000,120854000,https://www.sec.gov/Archives/edgar/data/857005/000095017025061801/0000950170-25-061801-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017025061801/ptc-20250331.htm,5.293785874719242,1.3529989185591882,2.340146410448382,2.316787288911072,1.9563181099742115,28.17122535562765,-7.598660677148324,0.0,0.0,18626539500.0,18391370500.0,28.63084328349032,29.27016763937734,66.21380581495794,66.88140976154484,0.0,0.0,28.900617726277016,82.30126776572513,65.37782474076549,66.0369998671459,0.0087318420042542,0.0149518379406974,0.0,0.0,-1.0523798016682775,0.9882739367502726,0.0,1.7295996163399818,0.0,0.0,0.0864172504502126,0.1744640662763252,0.6977600236010756,0.0099819060179375,0.0044125550390812,0.0833803486058734,0.0809471279106677,0.0,0.0353013542436159,0.0873240903651103,-16.665260793611182,-13441000.0,-913435000.0,-1643159000.0,4482312000.0,705715500.0,10344500.0,0.0,101.3507321258521,0.0,0.0,0.888005425439282,0.0,0.0,0.0,0.0233591215373097,2025-04-30,1.38,amc,607606850.0,2025-05-11,2025-03-31,0.2971014492753625,150.75321428571428,986492.5357142856
2024-12-31,PTC,USD,857005,2025-02-06,2025-02-06 17:18:17,2025,Q1,565128000.0,111797000.0,453331000.0,0.8021740208,115516000,53319000.0,157532000.0,210851000.0,11440000.0,337807000.0,438164000.0,900000.0,22048000.0,322000.0,148953000.0,0.263573916,115524000.0,0.2044209453,-22370000.0,93154000.0,0.1648369927,10922000.0,82232000.0,0.1455103976,0.68,0.68,120243000,121145000,https://www.sec.gov/Archives/edgar/data/857005/000095017025015530/0000950170-25-015530-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017025015530/ptc-20241231.htm,4.69988273745665,0.6838818060094974,1.982892975058839,1.9598812404880115,1.632843491928844,26.860781916618848,-8.862944204652246,26.860781916618848,14.48673935281056,22109080410.0,23632623410.0,67.21556209869637,39.122252675500064,92.72815139936836,93.81690900527026,6.845295887914531,6.845295887914531,41.81817820033692,158.65825736977436,99.11807460501868,100.28185880625642,0.0037193767662451,0.0106590593380541,0.5325004079173428,0.2830910213774845,10.228347196766766,0.6945768009017317,5.239658925979681,2.8994673606381944,0.0,0.0,0.0943485369686159,0.2044067892583627,0.7070404341204906,0.011605131926066,0.0048962358970003,0.0819827560664869,0.0988289378689429,20.330174644581938,0.0201486186988695,0.0462020096233585,-17.69832547424798,-476900000.0,-1065707000.0,-1761003000.0,4018054000.0,778380000.0,22443500.0,0.0,110.65215314052746,16.655276975231892,0.0,0.8133596811776508,5.403692783604814,0.0,0.0254602344835828,0.0230117345708274,2025-02-05,0.889,amc,554153361.0,2025-05-05,2024-12-31,0.2373453318335208,171.96633333333332,1091473.15
2024-09-30,PTC,USD,857005,2024-11-14,2024-11-14 17:27:14,2024,Q4,626547000.0,112825000.0,513722000.0,0.8199257199,110013000,51986000.0,147191000.0,199177000.0,10559000.0,309190000.0,432574000.0,4400000.0,24948000.0,36992000.0,207237000.0,0.3307605016,193973000.0,0.3095905016,-23728000.0,170245000.0,0.27171944,43722000.0,126523000.0,0.2019369656,1.06,1.05,119679000,120742000,https://www.sec.gov/Archives/edgar/data/857005/000095017024127231/0000950170-24-127231-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017024127231/ptc-20240930.htm,5.235229238212217,1.057186306703766,0.8198096575004804,0.7818999156075837,2.221007862699388,26.858496478078862,-9.567000058489793,26.858496478078862,16.337653222369838,21621208140.0,23285726140.0,42.72189273886961,34.50851754138157,220.36822614509657,231.05258920461225,6.726363113715227,6.726363113715227,37.16517059374636,112.36278338327617,237.33336873432944,248.8402720754031,0.0058518006570561,0.0043280190169798,0.6005248883305676,0.3023910549973667,8.031953753432061,0.7789769990636957,7.775092191758859,0.7754637496739724,0.0,0.0,0.0829722271433747,0.1755861890648267,0.6829072323797666,0.0462421265059013,0.0072412763926728,0.1226481401384083,0.0,25.275972397589705,0.0273957166316134,0.0625059592179529,-18.857704776944995,-368488000.0,-1144969000.0,-1870439000.0,4199383000.0,768456000.0,35675500.0,-84531500.0,123.81476569195928,19.302636826944383,0.0,0.7268923015524048,4.662575419456154,0.0,0.039361336088437,0.0379097418928968,2024-11-06,1.45,amc,620720163.0,2025-04-25,2024-09-30,0.0620689655172414,189.60046875,729233.34375
2024-06-30,PTC,USD,857005,2024-08-02,2024-08-02 16:15:28,2024,Q3,518639000.0,122588000.0,396051000.0,0.7636352068,110253000,49659000.0,140318000.0,189777000.0,-663000.0,300030000.0,422618000.0,0.0,27785000.0,34812000.0,130833000.0,0.2522621708,96021000.0,0.1851403385,-28648000.0,67373000.0,0.1299034589,-1605000.0,68978000.0,0.1329980969,0.58,0.57,119893000,120822000,https://www.sec.gov/Archives/edgar/data/857005/000095017024089978/0000950170-24-089978-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017024089978/ptc-20240630.htm,4.325848881919712,0.5753296689548181,1.7832483964868675,1.7695778736039636,2.066417555653792,25.144745731610687,-11.160543150976288,25.144745731610687,16.84179226476942,21703030860.0,23446709860.0,78.65924954333266,41.846121984656,101.51137685396095,102.29558286199097,7.199118333991779,7.199118333991779,45.20815029336398,179.21097781140844,109.66706981791307,110.5142810143288,0.003178265765964,0.0097755931587888,0.6605771294389884,0.3249642428499978,13.32751675800448,0.6942626695954561,3.455857477055966,3.0995244860680216,0.0,0.0,0.095748680681553,0.2125813909096693,0.7102883499003368,0.007666078887179,0.0031601942777153,0.0470814661610938,0.0926231926253135,18.04152599833824,0.0192752105742436,0.0388521990880902,-20.38508711934809,-479778000.0,-1338071000.0,-2023995000.0,4081804000.0,690226000.0,33395000.0,-183703500.0,117.1263827055042,34.61815185825692,-124.12038698730709,0.7684007473046511,2.5997921659279366,-0.7251024765915665,0.0228807113460504,0.0136705228829039,2024-07-31,0.967,amc,529545540.0,2025-04-25,2024-06-30,0.0134436401240951,175.7425,826783.203125
2024-03-31,PTC,USD,857005,2024-05-03,2024-05-03 16:01:46,2024,Q2,603072000.0,120479000.0,482593000.0,0.8002245171,106998000,61526000.0,134521000.0,195747000.0,-2224000.0,302745000.0,423224000.0,0.0,31586000.0,34657000.0,214505000.0,0.3556872148,179848000.0,0.2982197814,-33810000.0,145745000.0,0.2416709779,31300000.0,114445000.0,0.189770044,0.96,0.95,119587000,120712000,https://www.sec.gov/Archives/edgar/data/857005/000095017024052860/0000950170-24-052860-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017024052860/ptc-20240331.htm,5.042956174166088,0.9570020152692182,2.0966325771195864,2.066202848135667,2.081923620460418,24.61080217749421,-11.997223778504353,24.61080217749421,18.573222841947704,22496706440.0,24437265440.0,49.14305220848443,37.30351672768757,89.724829258565,91.04623980638712,7.643797981198261,7.643797981198261,40.52130664331954,113.92398983706674,97.4644655206796,98.89986053721098,0.0050871891094472,0.0109834299815844,0.7439455654724287,0.352850475475415,9.046684226474907,0.7594032010222994,5.693915025644273,2.190834025077548,0.0,0.0,0.102020985885599,0.1774216014008277,0.7055049882656061,0.0145136202289315,0.006034105380452,0.1050004328129959,0.0898582590470126,23.020278317783557,0.027014263399431,0.0626265787977469,-21.601112579126493,-364508000.0,-1434712000.0,-2111623000.0,4230409000.0,691746500.0,17010500.0,-37592000.0,105.28489135625595,14.669195461449714,-148.1665684476133,0.8548235063990713,6.135305800274991,-0.6074244746501029,0.0388854458447667,0.0304297289839196,2024-05-01,1.23,amc,577453995.0,2025-04-25,2024-03-31,0.1869918699186991,179.00825396825397,772555.6984126985
2023-12-31,PTC,USD,857005,2024-02-02,2024-02-02 16:24:00,2024,Q1,550214000.0,110020000.0,440194000.0,0.8000414384,105783000,69206000.0,136924000.0,206130000.0,2220000.0,322276000.0,432296000.0,1300000.0,35334000.0,34946000.0,155879000.0,0.2833061318,118713000.0,0.2157578688,-33114000.0,85599000.0,0.155574013,19212000.0,66387000.0,0.1206566899,0.56,0.55,119124000,120250000,https://www.sec.gov/Archives/edgar/data/857005/000095017024010527/0000950170-24-010527-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017024010527/ptc-20231231.htm,4.618834156005507,0.5572932406567946,1.5726553843054296,1.53435076055203,2.2245475303045565,23.560768610859277,-13.474866525637152,23.560768610859277,20.870806890299185,20841935040.0,23027818040.0,78.4865072981156,37.87968870294104,111.25132800614922,114.02868529035224,7.425903750837741,7.425903750837741,41.85247565492699,147.7288027251907,122.91926508345745,125.9879090481349,0.003185260863379,0.0087697231398721,0.8732394065101742,0.3908178347312944,14.022947286035963,1.193696314870682,3.359738495500085,2.8219530932260835,0.0,0.0,0.1257801509957943,0.1922579214632852,0.703511808108137,0.0243566544429676,0.0082931368522065,0.1305728838779832,0.107254631834159,17.188100085785795,0.0171869899487847,0.0357049121078413,-22.07302474732212,184076000.0,-1605180000.0,-2330095000.0,4822638000.0,744699000.0,28932000.0,20655500.0,110.90230346737816,11.766587893110342,100.74895473550264,0.8115250737463127,7.648776418242492,0.8933095160766482,0.0236534405927629,0.0383046237533998,2024-01-31,0.98,amc,539020000.0,2025-04-25,2023-12-31,0.1326530612244899,180.12540983606556,868591.0163934426
2023-09-30,PTC,USD,857005,2023-11-20,2023-11-17 18:09:10,2023,Q4,546620000.0,115856000.0,430764000.0,0.7880501994,102025000,59567000.0,137452000.0,197019000.0,-32587000.0,309714000.0,425570000.0,1500000.0,35698000.0,35514000.0,159759000.0,0.2922670228,121134000.0,0.2216055029,-32587000.0,88547000.0,0.1619900479,42944000.0,45603000.0,0.0834272438,0.38,0.38,118803000,120112000,https://www.sec.gov/Archives/edgar/data/857005/000095012323011049/0000950123-23-011049-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095012323011049/ptc-20230930.htm,4.601062262737473,0.3838539430822454,0.4189203976330564,0.3635430081731943,3.4661330101091723,22.535542031766877,-13.656818430511017,22.535542031766877,16.20055890844507,16832009040.0,18432883040.0,92.27468061311755,30.79288910028905,338.20267716851856,389.72005186385735,6.2869577221742885,6.2869577221742885,33.72156715817204,115.37930908430825,370.3687644919529,426.7859004399167,0.0027093022521332,0.0025659444393929,0.7055556178075592,0.3003696069960098,10.020555962418392,1.6132360061624238,3.3932993445010924,1.0913536390149772,0.0,0.0,0.1089733269913285,0.1866470308440964,0.6837126771510558,0.1321907211316281,0.0120357835424975,0.185250886974151,0.1077366360542973,13.95109404450996,0.0110585559170945,0.0229266681447361,-22.155509541004857,417951000.0,-1622471000.0,-2512051000.0,4949131000.0,718434500.0,30986000.0,-139071000.0,133.59522154330247,33.77641209777655,-63.58246443861345,0.6736767899353955,2.66458141674333,-1.4154846119072928,0.0170332687157536,0.0553773894598621,2023-11-01,1.14,amc,557970000.0,2025-04-25,2023-09-30,0.0526315789473684,153.38666666666668,736846.873015873
2023-06-30,PTC,USD,857005,2023-08-04,2023-08-04 16:00:58,2023,Q3,542342000.0,115854000.0,426488000.0,0.7863820246,103819000,57055000.0,145083000.0,202138000.0,-33374000.0,316627000.0,432481000.0,1400000.0,35836000.0,36047000.0,148409000.0,0.2736446744,109900000.0,0.2026396628,-33374000.0,76526000.0,0.1411028465,15128000.0,61398000.0,0.1132090083,0.52,0.51,118483000,119392000,https://www.sec.gov/Archives/edgar/data/857005/000095017023038543/0000950170-23-038543-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017023038543/ptc-20230630.htm,4.577382409290784,0.5182009233392132,1.4282470902998743,1.3853295409468025,2.3759779884034,21.93280048614569,-14.666872040714702,21.93280048614569,16.61754006903944,16860130900.000002,18511677900.0,68.65097763770808,31.08763639917248,99.63262027029424,102.71924173561273,6.48799956439155,6.48799956439155,34.132849567247234,124.73420008220526,109.3922096878084,112.78118351630944,0.0036416087374505,0.0097352743566184,0.7438668485036927,0.3113996941515218,11.128348011239211,1.394443957584787,3.0667485210402945,2.7561646959184336,0.0,0.0,0.1052011461402583,0.1914271806350974,0.6985638202159948,0.030049106799903,0.0093760025961478,0.1410658307210031,0.0992325875554539,15.991433423087733,0.0196987496077988,0.0328119238353792,-24.9530755467029,256557000.0,-1737775000.0,-2702001000.0,4827036000.0,634244000.0,28092500.0,-199604500.0,103.79500389053402,14.365321870630275,-152.48821792946293,0.8670937581438628,6.265087605451006,-0.5902095337072641,0.0236267559022636,0.0429175493530717,2023-07-26,1.01,amc,559930000.0,2025-04-25,2023-06-30,-0.0198019801980198,143.01507936507937,796294.0158730159
2023-03-31,PTC,USD,857005,2023-05-03,2023-05-03 16:10:24,2023,Q2,542181000.0,113506000.0,428675000.0,0.7906492481,100349000,65923000.0,129207000.0,195130000.0,10656000.0,306135000.0,419641000.0,1500000.0,41525000.0,36219000.0,158813000.0,0.2929150966,122539000.0,0.2260112398,-41470000.0,81069000.0,0.1495238675,17565000.0,63504000.0,0.1171269373,0.54,0.53,118260000,119041000,https://www.sec.gov/Archives/edgar/data/857005/000095017023017177/0000950170-23-017177-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017023017177/ptc-20230331.htm,4.584652460679858,0.536986301369863,1.7837645865043126,1.751885675629968,2.70993573482158,21.29658379841028,-15.47207847116523,21.29658379841028,18.2720700152207,15164479799.999998,16963332799.999998,59.698915816326526,27.96940468220022,71.88728881051253,73.19541553639864,6.021153496438801,6.021153496438801,31.28721367956457,106.81325080440516,80.41476003564858,81.87806041181977,0.0041876807406212,0.0136620578306945,0.841493503760521,0.3364218794149488,11.326862410507957,0.6048124159628787,2.950969295605057,3.321806500377929,0.0,0.0,0.1215885469981426,0.1850839479804714,0.6902419511018125,0.0178717029789331,0.0069533974816528,0.1040890140533973,0.0963626538001147,16.040866863381726,0.0267006790708626,0.0325434902257812,-26.042653898190427,-629552000.0,-1829728000.0,-2817592000.0,3961040000.0,602526500.0,38338000.0,-134846500.0,106.73839548047609,29.887142529910317,-160.8940496537628,0.8431829951618698,3.0113283633565917,-0.559374322379704,0.025214668533361,0.0318789108743446,2023-04-26,1.07,amc,539140000.0,2025-04-25,2023-03-31,0.0841121495327101,132.45467741935485,762301.7419354839
2022-12-31,PTC,USD,857005,2023-02-09,2023-02-09 16:10:46,2023,Q1,465910000.0,95790000.0,370120000.0,0.7944023524,88177000,50971000.0,118383000.0,169354000.0,8026000.0,265557000.0,361347000.0,1000000.0,16358000.0,29382000.0,132164000.0,0.2836685197,104901000.0,0.2251529265,-18477000.0,86424000.0,0.1854950527,11389000.0,75035000.0,0.1610504175,0.64,0.63,117819000,118788000,https://www.sec.gov/Archives/edgar/data/857005/000095017023002335/0000950170-23-002335-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000095017023002335/ptc-20221231.htm,3.954455563194392,0.636866719289758,1.5355842436279377,1.4576681180454765,3.2896901178927,20.374888600310648,-3.071465553094153,20.374888600310648,13.497449477588503,14142992760.0,15329302760.0,47.12131925101619,30.355632547058445,78.17220090536755,82.35070693660803,5.891565954287956,5.891565954287956,32.901853920285035,115.9869764837626,84.72926172196705,89.2582595885665,0.0053054541760226,0.0121431865881829,0.6556408554876405,0.3281846978034179,8.976044913894858,1.2070335637349985,6.412825528793251,2.411154794429266,0.0,0.0,0.1094009572664248,0.1892575819364255,0.5760131482563068,0.0507403783972009,0.0197033761885342,0.3124361854196447,0.0890815822798394,17.08689528037256,0.0225894831187013,0.0369022835793075,-13.74560554749234,162882000.0,-361877000.0,-1445596000.0,3169087000.0,599296000.0,39568000.0,-68921000.0,108.56869352450045,36.6266833698716,-62.74068274350142,0.8289682511440548,2.457224944206449,-1.4344759423154678,0.0312574331954898,0.0779161255824612,2023-02-01,1.01,amc,464711766.0,2025-04-25,2022-12-31,-0.0198019801980198,127.15758064516127,721887.7419354839
