date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-30,QCOM,USD,804328,2025-04-30,2025-04-30 16:05:23,2025,Q2,10979000000.0,4937000000.0,6042000000.0,0.5503233446,2216000000,0.0,0.0,706000000.0,0.0,2922000000.0,7859000000.0,0.0,0.0,178000000.0,3120000000.0,0.284178887,3120000000.0,0.284178887,-15000000.0,3105000000.0,0.2828126423,293000000.0,2812000000.0,0.2561253302,2.55,2.52,1104000000,1115000000,https://www.sec.gov/Archives/edgar/data/804328/000080432825000031/0000804328-25-000031-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432825000031/qcom-20250330.htm,9.944746376811594,2.5471014492753623,2.313405797101449,2.119565217391304,12.541666666666666,25.115942028985508,14.127717391304348,25.115942028985508,13.245471014492754,169585440000.0,177005440000.0,15.076941678520628,15.446346661808908,66.39993735317151,72.47241025641026,6.116035776110791,6.116035776110791,16.122182348119136,56.73251282051282,69.30518402505874,75.64335042735043,0.0165816121950091,0.0137983543870275,0.5273730525100981,0.2640865419345518,2.378205128205128,2.732606873428332,0.0,0.9082503556187768,0.005531135220099,0.3335704125177809,0.0,0.2018398761271518,0.2190818464205735,0.0837901331245105,0.0194917569906184,0.5390428211586902,0.0639402495673558,37.93928277779855,0.0598729587240226,0.0650308734765616,-7.179121376811594,16536000000.0,15597000000.0,-1564000000.0,33077000000.0,3624500000.0,2530000000.0,6249500000.0,30.322433737134528,45.191411788535554,112.95118493011952,2.9680994863476617,1.991528842275111,0.7968043899289864,0.1014137334102712,0.1938405797101449,2025-04-30,2.82,amc,10644301346.0,2025-05-11,2025-03-30,0.0106382978723405,140.6725,10511567.42857143
2024-12-29,QCOM,USD,804328,2025-02-05,2025-02-05 16:05:57,2025,Q1,11669000000.0,5161000000.0,6508000000.0,0.557717028,2230000000,0.0,0.0,723000000.0,0.0,2953000000.0,8114000000.0,169000000.0,163000000.0,436000000.0,4234000000.0,0.3628417174,3555000000.0,0.304653355,80000000.0,3635000000.0,0.3115091267,455000000.0,3180000000.0,0.2725169252,2.86,2.83,1110000000,1122000000,https://www.sec.gov/Archives/edgar/data/804328/000080432825000011/0000804328-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432825000011/qcom-20241229.htm,10.512612612612612,2.864864864864865,4.132432432432433,3.8828828828828814,12.887387387387388,24.216216216216218,13.285585585585586,24.216216216216218,13.27927927927928,171583800000.0,177447800000.0,13.48929245283019,14.704242008741108,37.40654022236756,39.81062645011601,6.383325892857143,6.383325892857143,15.206770074556518,41.91020311761928,38.684935687813386,41.17118329466357,0.0185332181709462,0.0251189214832635,0.5422991071428571,0.2622941970310391,1.38497874350496,2.6185453084187262,21.80981595092025,1.4424528301886792,0.0054900287789406,0.2962264150943396,0.0,0.191104636215614,0.2183175888439046,0.0603880531938085,0.0237381095209529,0.6353211009174312,0.0650441340303367,39.50903956629032,0.0661902216651382,0.0732010496754293,-7.726126126126126,16111000000.0,14747000000.0,-2630000000.0,32704000000.0,3739500000.0,2582500000.0,6363000000.0,27.38023823806667,45.00871924045728,109.91474520441774,3.2870422535211268,1.9996125532739248,0.8188164366174837,0.1183035714285714,0.2495495495495495,2025-02-05,2.96,amc,10910816718.0,2025-05-05,2024-12-29,0.152027027027027,162.9983333333333,7698243.083333333
2024-09-29,QCOM,USD,804328,2024-11-06,2024-11-06 16:09:04,2024,Q4,10244000000.0,4467000000.0,5777000000.0,0.5639398672,2302000000,0.0,0.0,761000000.0,132000000.0,3195000000.0,7662000000.0,185000000.0,180000000.0,439000000.0,3215000000.0,0.3138422491,2582000000.0,0.2520499805,14000000.0,2596000000.0,0.2534166341,-319000000.0,2920000000.0,0.2850449043,2.62,2.58,1116000000,1130000000,https://www.sec.gov/Archives/edgar/data/804328/000080432824000075/0000804328-24-000075-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432824000075/qcom-20240929.htm,9.17921146953405,2.6164874551971327,2.371863799283154,2.14247311827957,11.917562724014337,23.54301075268817,12.75179211469534,23.54301075268817,13.274193548387096,189775800000.0,196560800000.0,16.24792808219178,18.52555642327216,71.69467321496033,79.37089084065245,7.2229504453071485,7.2229504453071485,19.187895353377588,61.138662519440125,74.2579523989422,82.2086156419908,0.0153865772137437,0.0125990774376922,0.5569764786480932,0.2653298038220256,2.1104199066874028,2.402037319116527,14.344444444444443,0.9080617495711836,0.0049953682187086,0.3246575342465753,0.0,0.2247169074580242,0.2183522500634586,0.0967132602946732,0.0249902381882077,0.5831435079726651,0.0680398281921124,37.22901860873512,0.0630086421744892,0.0677321333302405,-8.442428315412187,14727000000.0,14231000000.0,-3649000000.0,31435000000.0,3438500000.0,2585000000.0,6221500000.0,34.51874267864115,52.06178643384822,129.40899932840833,2.60727920590481,1.728715170278638,0.6954694068192433,0.1111364847377635,0.2293906810035842,2024-11-06,2.56,amc,9904715198.0,2025-04-23,2024-09-29,0.0507812499999999,163.7165625,7994130.671875
2024-06-23,QCOM,USD,804328,2024-07-31,2024-07-31 16:02:08,2024,Q3,9393000000.0,4174000000.0,5219000000.0,0.5556265304,2259000000,0.0,0.0,664000000.0,31000000.0,2923000000.0,7097000000.0,182000000.0,168000000.0,419000000.0,2715000000.0,0.2890450335,2296000000.0,0.244437347,58000000.0,2279000000.0,0.2426274886,171000000.0,2129000000.0,0.2266581497,1.91,1.88,1116000000,1134000000,https://www.sec.gov/Archives/edgar/data/804328/000080432824000056/0000804328-24-000056-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432824000056/qcom-20240623.htm,8.416666666666666,1.907706093189964,2.7347670250896057,2.3879928315412187,11.67741935483871,22.10573476702509,11.293906810035844,22.10573476702509,13.191756272401436,224137440000.0,230921440000.0,26.31956787224049,23.862178217821786,73.43952817824378,84.10410506566605,9.08542521280908,9.08542521280908,24.58441818375385,85.05393738489872,75.66233289646134,86.64969606003753,0.0094986361939352,0.0118900260483032,0.5899473044183219,0.2759522951783242,2.4987108655616943,2.3937621832358675,13.666666666666666,1.4478178368121442,0.0042340092757372,0.4457491780178487,0.0,0.2404982433727243,0.2287783697692497,0.1268020969855832,0.0412008942829766,0.9236276849642004,0.0685616948791653,30.80345776797854,0.0478769205226587,0.0523417332513829,-8.797491039426523,13585000000.0,12604000000.0,-4739000000.0,30395000000.0,3001000000.0,2450000000.0,6053500000.0,28.246566592143083,55.759463344513655,129.80354575946336,3.186227951153324,1.614075792730085,0.6933554817275748,0.0862991487636805,0.3467741935483871,2024-07-31,2.25,amc,9214372661.0,2025-04-23,2024-06-23,0.0355555555555555,176.57265625,8930251.453125
2024-03-24,QCOM,USD,804328,2024-05-01,2024-05-01 16:06:32,2024,Q2,9389000000.0,4106000000.0,5283000000.0,0.5626797316,2236000000,0.0,0.0,707000000.0,62000000.0,2943000000.0,7049000000.0,160000000.0,172000000.0,411000000.0,2751000000.0,0.2930024497,2340000000.0,0.2492278198,158000000.0,2498000000.0,0.266056023,223000000.0,2326000000.0,0.2477367132,2.08,2.06,1117000000,1130000000,https://www.sec.gov/Archives/edgar/data/804328/000080432824000039/0000804328-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432824000039/qcom-20240324.htm,8.405550581915845,2.082363473589973,3.181736794986571,3.0170098478066247,12.400179051029545,21.905998209489702,11.081468218442255,21.905998209489702,13.991942703670546,187119840000.0,193357840000.0,20.111762682717117,19.929687932687187,52.65048958919528,55.52517507418398,7.647220564796273,7.647220564796273,20.59408243689424,70.28638313340603,54.4056949915588,57.37621364985164,0.012430536494687,0.0180098486616918,0.6316972495811026,0.2907254499971787,2.267539076699382,2.6503335885376798,13.604651162790695,1.5621978021978022,0.0047830310243959,0.3847807394668959,0.0,0.2381510277984876,0.2274155020971655,0.0517726505346088,0.0195974012141868,0.4476885644768856,0.0750878687826179,32.036941751504564,0.0474232249745677,0.0566267406758204,-8.516562220232766,15089000000.0,12378000000.0,-4466000000.0,31904000000.0,3283500000.0,2230500000.0,6167000000.0,29.27468313984449,50.72089624939113,133.4218217243059,3.0743287491814013,1.7744165946413135,0.6745523246262527,0.0950590543136213,0.1647269471799463,2024-05-01,2.32,amc,9353276614.0,2025-04-23,2024-03-24,0.0517241379310345,188.88603174603173,9723214.222222222
2023-12-24,QCOM,USD,804328,2024-01-31,2024-01-31 16:10:22,2024,Q1,9935000000.0,4312000000.0,5623000000.0,0.5659788626,2096000000,0.0,0.0,627000000.0,66000000.0,2695000000.0,7007000000.0,149000000.0,178000000.0,437000000.0,3337000000.0,0.3358832411,2928000000.0,0.2947156517,34000000.0,2962000000.0,0.2981378963,151000000.0,2767000000.0,0.2785103171,2.48,2.46,1116000000,1127000000,https://www.sec.gov/Archives/edgar/data/804328/000080432824000017/0000804328-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432824000017/qcom-20231224.htm,8.902329749103943,2.479390681003584,2.64247311827957,2.4507168458781363,10.801075268817204,20.661290322580644,9.810931899641576,20.661290322580644,14.030465949820789,160134840000.0,167481840000.0,14.468272497289483,16.11825264217413,54.30140386571719,58.55021572212066,6.944871194379392,6.944871194379392,16.857759436336185,50.18934372190591,56.792756866734486,61.23650457038392,0.017279187964343,0.0170793563724171,0.6713505074160812,0.2969214539177136,2.2016781540305663,2.556331115716,16.44943820224719,1.0490928495197438,0.0055890398366776,0.3234550054210336,0.0,0.2109713135379969,0.2322623957034621,0.072566971854866,0.0215400100654252,0.4897025171624714,0.0605938600905888,33.95020972504602,0.0619147345882064,0.0691300654574526,-10.09386200716846,14270000000.0,10949000000.0,-5638000000.0,31286000000.0,3348000000.0,2029500000.0,6334500000.0,31.823855057876195,44.8121521335807,130.38729128014842,2.828067179049245,2.008383791336749,0.6902513206339043,0.1200017347558331,0.1917562724014337,2024-01-31,2.37,amc,9510855736.0,2025-04-23,2023-12-24,0.160337552742616,154.54639344262296,9007491.918032788
2023-09-24,QCOM,USD,804328,2023-11-01,2023-11-01 16:10:50,2023,Q4,8631000000.0,3880000000.0,4751000000.0,0.5504576526,2135000000,0.0,0.0,628000000.0,7000000.0,3340000000.0,7220000000.0,120000000.0,174000000.0,462000000.0,2449000000.0,0.2837446414,1411000000.0,0.1634804773,10000000.0,1420000000.0,0.1645232302,-209000000.0,1490000000.0,0.1726335303,1.33,1.32,1116000000,1125000000,https://www.sec.gov/Archives/edgar/data/804328/000080432823000055/0000804328-23-000055-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432823000055/qcom-20230924.htm,7.733870967741935,1.3351254480286738,3.664874551971326,3.402329749103943,10.14695340501792,19.337813620071685,8.540322580645162,19.337813620071685,13.953405017921147,123239880000.0,130187880000.0,20.6778322147651,14.278748696558916,30.132,32.45717145114564,5.710573189379547,5.710573189379547,15.083753910323251,53.15960800326664,31.83077750611247,34.28703713457993,0.0120902422170485,0.03080983201217,0.7134979843380752,0.3016849529780564,2.8370763576970197,2.333194848358953,8.10919540229885,2.510742786985881,0.0072460310737076,0.5993288590604027,0.0,0.2473641524736415,0.2360893416927899,0.0716381418092909,0.0339473989109025,0.6341991341991342,0.070443749275866,24.10216088136802,0.0381547084695614,0.0382149269043344,-11.233646953405016,12836000000.0,9531000000.0,-6995000000.0,29928000000.0,3516500000.0,1828000000.0,6525000000.0,33.19082377476538,44.350515463917525,148.96391752577318,2.711592836946277,2.0292887029288704,0.6041731547804422,0.0690422130577823,0.2625448028673835,2023-11-01,1.92,amc,8028450000.0,2025-04-23,2023-09-24,0.0520833333333333,123.8490476190476,8277313.079365079
2023-06-25,QCOM,USD,804328,2023-08-02,2023-08-02 16:03:11,2023,Q3,8451000000.0,3792000000.0,4659000000.0,0.5512957047,2222000000,0.0,0.0,618000000.0,52000000.0,2840000000.0,6632000000.0,79000000.0,172000000.0,479000000.0,2302000000.0,0.2723937996,1823000000.0,0.2157141167,-66000000.0,1757000000.0,0.20790439,22000000.0,1803000000.0,0.2133475328,1.62,1.6,1115000000,1124000000,https://www.sec.gov/Archives/edgar/data/804328/000080432823000043/0000804328-23-000043-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432823000043/qcom-20230625.htm,7.579372197309417,1.617040358744395,2.3829596412556056,2.108520179372197,7.740807174887892,18.53811659192825,7.588340807174888,18.53811659192825,14.005381165919282,130042450000.0,139399450000.0,18.031399057127008,15.387818009702992,48.94333835152427,55.31367503190132,6.291361877116594,6.291361877116594,16.49502425748432,60.55579930495222,52.464979299962366,59.29368353891961,0.0138647034103094,0.0180787119898156,0.7471698113207547,0.3151708093547202,4.064726324934839,2.419473000118161,10.598837209302326,1.5314121037463977,0.0068669884333923,0.4952856350526899,0.0,0.2629274642054194,0.2491530957920084,0.1151674821226947,0.0362087326943557,0.6388308977035491,0.0726541237723346,25.97075010171605,0.0420081112488948,0.0490038866088658,-12.107174887892375,12013000000.0,8461000000.0,-7856000000.0,29438000000.0,3770500000.0,1587000000.0,6743000000.0,41.0010649627263,41.392405063291136,157.31012658227849,2.195064935064935,2.1743119266055047,0.572118286059143,0.0872278664731494,0.274439461883408,2023-08-02,1.81,amc,8503340000.0,2025-04-23,2023-06-25,0.0331491712707182,116.01015873015874,8241479.476190476
2023-03-26,QCOM,USD,804328,2023-05-03,2023-05-03 16:06:57,2023,Q2,9275000000.0,4153000000.0,5122000000.0,0.5522371968,2210000000,0.0,0.0,614000000.0,208000000.0,3032000000.0,7185000000.0,59000000.0,179000000.0,470000000.0,2544000000.0,0.2742857143,2090000000.0,0.2253369272,-195000000.0,1895000000.0,0.2043126685,193000000.0,1704000000.0,0.1837196765,1.53,1.52,1116000000,1123000000,https://www.sec.gov/Archives/edgar/data/804328/000080432823000023/0000804328-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432823000023/qcom-20230326.htm,8.310931899641577,1.5268817204301075,1.3055555555555556,0.899641577060932,5.982078853046595,17.650537634408604,6.623655913978495,17.650537634408604,14.483870967741936,137937600000.0,150434600000.0,20.23732394366197,14.871978436657685,94.67234042553191,137.38804780876495,7.0026195552848,7.0026195552848,16.219363881401616,59.13309748427673,103.24955387783116,149.83525896414343,0.0123534119775898,0.0072786535360916,0.811503705959996,0.3305281005748314,4.9123427672955975,2.424739384693618,11.675977653631286,0.8560517038777908,0.0060462122002992,0.4894366197183099,0.0,0.2382749326145552,0.2544559778338365,0.3109128345916266,0.0488409703504043,0.9638297872340426,0.0677088948787062,24.62481215297284,0.0457894826610233,0.0472598180607943,-14.149417562724016,11207000000.0,7392000000.0,-9591000000.0,28794000000.0,3825500000.0,1996000000.0,6895000000.0,35.81563342318059,30.989646039007944,148.62027450036118,2.512869141154159,2.9041958041958043,0.6055701370662001,0.0865062442887602,0.4059139784946236,2023-05-03,2.16,amc,9098390000.0,2025-04-23,2023-03-26,-0.0046296296296297,114.95274193548389,8180472.274193549
2022-12-25,QCOM,USD,804328,2023-02-02,2023-02-02 16:05:50,2023,Q1,9463000000.0,4044000000.0,5419000000.0,0.5726513791,2251000000,0.0,0.0,623000000.0,80000000.0,2954000000.0,6998000000.0,55000000.0,170000000.0,398000000.0,2939000000.0,0.3105780408,2465000000.0,0.2604882173,-94000000.0,2371000000.0,0.2505547923,98000000.0,2235000000.0,0.2361830286,1.99,1.98,1122000000,1131000000,https://www.sec.gov/Archives/edgar/data/804328/000080432823000006/0000804328-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432823000006/qcom-20221225.htm,8.434046345811051,1.9919786096256684,2.758467023172906,2.403743315508021,7.342245989304812,16.764705882352942,5.746880570409982,16.764705882352942,15.193404634581103,124362480000.0,136431480000.0,13.910791946308724,13.141971890520976,40.18173828756058,46.1114126807564,6.611508771929825,6.611508771929825,14.417360245165382,46.4210547805376,44.08125363489499,50.58638487208009,0.0179716583329634,0.0216866051561532,0.8972355130249867,0.3374455152557284,4.106498809118748,2.0928479317528024,14.5,1.361636603607567,0.0067705307903155,0.3767337807606264,0.0,0.2378738243685934,0.2471707921781901,0.12859450726979,0.0420585438021769,1.0,0.0669977808306034,27.41142187249752,0.0571090340396729,0.0593593965791989,-14.732620320855617,11017000000.0,6448000000.0,-10106000000.0,28594000000.0,4801500000.0,3179000000.0,6636500000.0,37.66247490225087,57.01780415430267,154.27299703264094,2.389646464646465,1.5784543325526932,0.5833814195037508,0.1188197767145135,0.3547237076648841,2023-02-02,2.34,amc,9599723928.0,2025-04-23,2022-12-25,0.0128205128205129,124.32983870967742,7757124.20967742
