date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,RCL,USD,884887,2025-04-29,2025-04-29 16:40:53,2025,Q1,3999000000.0,2079000000.0,1920000000.0,0.48012003,0,0.0,0.0,562000000.0,0.0,562000000.0,2641000000.0,2000000.0,249000000.0,412000000.0,1388000000.0,0.3470867717,945000000.0,0.2363090773,-209000000.0,736000000.0,0.1840460115,-6000000.0,730000000.0,0.1825456364,2.71,2.7,269000000,276000000,https://www.sec.gov/Archives/edgar/data/884887/000088488725000095/0000884887-25-000095-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488725000095/rcl-20250331.htm,14.866171003717472,2.7137546468401488,6.048327137546468,4.4572490706319705,1.4349442379182156,30.267657992565056,27.26394052044609,29.5910780669145,75.71747211895911,55263360000.0,74996360000.0,18.92580821917808,13.819294823705926,33.96641671788568,46.0912093411176,6.942633165829146,6.942633165829146,18.753778444611157,54.03195965417867,46.09487400122926,62.54909090909091,0.0132094755005848,0.0216961111304126,2.52751256281407,0.5371942753391007,14.21685878962536,0.1774757281553398,3.7951807228915664,2.2105978260869565,0.0026780854439541,0.2027397260273972,0.0,0.0,0.0215742817473032,0.2630608481868469,0.1070267566891722,1.0388349514563109,0.013253313328332,42.5066562576348,0.033284554531245,0.019921405960048,-105.8578066914498,-8472000000.0,7334000000.0,-27482000000.0,24901000000.0,399000000.0,937500000.0,260500000.0,9.609902475618904,41.38528138528139,11.082251082251082,9.365339578454332,2.174686192468619,8.12109375,0.0917085427135678,1.5910780669144982,2025-04-29,2.55,bmo,4013354416.0,2025-05-11,2025-03-31,0.0627450980392157,236.0355,2723488.15
2024-12-31,RCL,USD,884887,2025-02-14,2025-02-14 06:55:04,2024,Q4,3761000000.0,2052000000.0,1709000000.0,0.4544004254,0,0.0,0.0,673000000.0,412000000.0,1085000000.0,3137000000.0,3000000.0,266000000.0,410000000.0,1236000000.0,0.3286360011,624000000.0,0.1659133209,-64000000.0,560000000.0,0.1488965701,0.0,552000000.0,0.1467694762,2.02,2.0,269000000,277000000,https://www.sec.gov/Archives/edgar/data/884887/000088488725000050/0000884887-25-000050-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488725000050/rcl-20241231.htm,13.981412639405203,2.0520446096654275,5.453531598513012,3.401486988847584,1.4423791821561338,28.7546468401487,25.75092936802974,28.11524163568773,78.38661710037175,62055610000.0,82487610000.0,28.104895833333337,16.499763360808295,42.3010293115201,67.8203387978142,8.205158006082243,8.205158006082243,21.9323610741824,66.73754854368931,56.22877300613497,90.15039344262296,0.0088952473434714,0.0147448393465151,2.7528758429194764,0.5616401402751551,16.53074433656958,0.1736783131302842,2.345864661654135,2.62432915921288,0.0023841518921496,0.2680253623188405,0.0,0.0,0.0217966010250876,0.3762781186094069,0.1467694762031374,1.3463414634146342,0.0420101036958255,36.02927873381544,0.0215693052194953,0.0152225470189178,-106.08271375464685,-8112000000.0,6927000000.0,-27630000000.0,25204000000.0,406000000.0,885000000.0,265000000.0,8.877957989896304,40.30701754385965,11.62280701754386,10.137466307277627,2.232861806311208,7.743396226415094,0.0729869099563665,2.0520446096654275,2025-01-28,1.5,bmo,3762173535.0,2025-04-28,2024-12-31,0.0866666666666666,221.44484375,1841741.515625
2024-09-30,RCL,USD,884887,2024-10-29,2024-10-29 16:35:53,2024,Q3,4886000000.0,2391000000.0,2495000000.0,0.5106426525,0,0.0,0.0,451000000.0,410000000.0,861000000.0,3252000000.0,4000000.0,603000000.0,410000000.0,2128000000.0,0.435530086,1634000000.0,0.3344248874,-519000000.0,1115000000.0,0.2282030291,0.0,1111000000.0,0.2273843635,4.22,4.21,263000000,264000000,https://www.sec.gov/Archives/edgar/data/884887/000088488724000147/0000884887-24-000147-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488724000147/rcl-20240930.htm,18.57794676806084,4.224334600760456,3.4106463878327,2.140684410646388,1.5893536121673004,27.46768060836502,24.39163498098859,26.787072243346007,84.25475285171103,46645680000.0,67783680000.0,10.496327632763276,9.546803110929185,52.001872909699,82.85200710479573,6.621104329311569,6.621104329311569,13.873041342611543,31.853233082706765,75.56709030100335,120.3973001776199,0.0238178540863805,0.0120697136369327,3.0597586941092976,0.581541532899884,9.933270676691729,0.190115252829405,2.7097844112769485,0.8044843049327354,0.002255299954894,0.0946894689468946,0.0,0.0,0.0218253432972725,0.3723522853957636,0.0683585755218993,0.8146341463414634,0.0053213262382316,50.45834928868881,0.0556312134005175,0.0306415135969992,-110.12072243346007,-7800000000.0,6415000000.0,-28012000000.0,25364000000.0,426500000.0,836000000.0,253500000.0,8.12320916905444,32.03262233375157,9.974905897114178,11.07936507936508,2.809635722679201,9.022641509433962,0.1577004968062455,1.2699619771863118,2024-10-29,5.03,bmo,4891816392.0,2025-04-25,2024-09-30,0.0337972166998011,162.0425,2299845.859375
2024-06-30,RCL,USD,884887,2024-07-25,2024-07-25 16:45:32,2024,Q2,4110000000.0,2152000000.0,1958000000.0,0.4763990268,0,0.0,0.0,466000000.0,393000000.0,859000000.0,3011000000.0,4000000.0,298000000.0,393000000.0,1549000000.0,0.3768856448,1099000000.0,0.2673965937,-241000000.0,858000000.0,0.2087591241,0.0,854000000.0,0.2077858881,3.32,3.11,257000000,281000000,https://www.sec.gov/Archives/edgar/data/884887/000088488724000130/0000884887-24-000130-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488724000130/rcl-20240630.htm,15.992217898832685,3.32295719844358,6.120622568093385,-2.2062256809338523,1.5214007782101169,24.05447470817121,20.90661478599222,23.377431906614785,85.87548638132296,40212790000.0,61593790000.0,11.771894028103045,9.784133819951338,25.56439287984743,-70.92202821869489,6.693207390146472,6.693207390146472,14.986323600973236,39.76358295674629,39.15689129052765,-108.6310229276896,0.0212370243397685,-0.0140999915698463,3.6238348868175767,0.5888462162600746,13.803098773402194,0.1906205781281584,3.687919463087249,1.8333333333333333,0.0,0.0,0.0,0.0,0.0218802401687672,1.3604577240940878,0.5206812652068127,5.44529262086514,0.0092457420924574,41.807291550544505,0.0385939036381514,0.0236139914281764,-116.61867704280156,-8008000000.0,5373000000.0,-28906000000.0,25149000000.0,433500000.0,848500000.0,239000000.0,9.02189781021898,34.33550185873606,10.12081784386617,9.975728155339803,2.6211936662606576,8.892561983471074,0.1421438082556591,8.326848249027238,2024-07-25,2.75,bmo,4047944058.0,2025-04-25,2024-06-30,0.1672727272727272,143.79873015873017,2436279.9682539683
2024-03-31,RCL,USD,884887,2024-04-25,2024-04-25 17:15:56,2024,Q1,3728000000.0,2056000000.0,1672000000.0,0.4484978541,0,0.0,0.0,535000000.0,387000000.0,922000000.0,2978000000.0,5000000.0,424000000.0,387000000.0,1175000000.0,0.3151824034,750000000.0,0.2011802575,-386000000.0,364000000.0,0.097639485,0.0,360000000.0,0.0965665236,1.4,1.35,257000000,281000000,https://www.sec.gov/Archives/edgar/data/884887/000088488724000108/0000884887-24-000108-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488724000108/rcl-20240331.htm,14.505836575875486,1.4007782101167314,5.167315175097277,4.22568093385214,1.7003891050583655,20.71984435797665,17.571984435797667,20.042801556420237,84.08171206225681,36123920000.0,56871920000.0,25.08605555555556,9.68989270386266,27.201746987951807,33.26327808471455,7.012991652106387,7.012991652106387,15.255343347639483,48.40163404255319,42.82524096385542,52.36825046040516,0.0099656958602499,0.0300631825117539,4.112793632304407,0.6020176186416596,17.65787234042553,0.1887935386168601,1.768867924528302,3.648351648351648,0.0,0.0,0.0,0.0,0.0229894856493321,0.1822289156626506,0.0649141630901287,0.6253229974160207,0.0120708154506437,25.13362673836312,0.0277870401244859,0.0104708996247927,-112.71887159533074,-8035000000.0,4516000000.0,-27995000000.0,23398000000.0,430000000.0,834000000.0,242000000.0,10.984442060085836,38.34630350194553,10.330739299610896,8.193406593406593,2.34703196347032,8.711864406779661,0.069889341875364,0.9416342412451362,2024-04-25,1.33,bmo,3689832272.0,2025-04-25,2024-03-31,0.3308270676691728,124.87852459016392,2692142.655737705
2023-12-31,RCL,USD,884887,2024-02-21,2024-02-21 17:14:53,2023,Q4,3331419000.0,1890359000.0,1441060000.0,0.4325664229,0,0.0,0.0,503281000.0,368077000.0,871358000.0,2761717000.0,4137000.0,346481000.0,368077000.0,993480000.0,0.298215265,569702000.0,0.1710088104,-290780000.0,278922000.0,0.0837246831,0.0,277073000.0,0.0831696643,1.09,1.06,256000000,280000000,https://www.sec.gov/Archives/edgar/data/884887/000088488724000075/0000884887-24-000075-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488724000075/rcl-20231231.htm,13.01335546875,1.08231640625,4.35935546875,-5.6732890625,1.94140625,19.13671875,15.9765625,18.453125,87.79875390625,33149440000.000004,54782440000.0,29.910384627877857,9.950546598911757,29.70393236528838,-22.824502431212057,7.017239627434378,7.017239627434378,16.44417589021375,55.14196561581512,49.08842781553681,-37.71954925838049,0.0083583010753726,-0.0438125651594717,4.68458933107536,0.6299279838319433,21.774972822804685,0.1906180193596426,1.6442517771537255,4.001100666136052,0.0,0.0,0.0,0.0,0.0230280948450086,2.3014054722467394,0.7709498565025894,6.977770955533761,0.0140135479806052,21.198412641441944,0.0207051426494639,0.0080727521706194,-114.4814453125,-7609000000.0,4090000000.0,-28440000000.0,23925000000.0,382575500.0,753693000.0,244761000.0,10.941283579159512,37.70712335593398,11.807281050848012,8.225725925925927,2.386816919191919,7.622415322580645,0.058652201524132,10.03264453125,2024-02-01,1.13,bmo,3355860000.0,2025-04-25,2023-12-31,0.1061946902654868,101.92603174603175,3067256.8412698414
2023-09-30,RCL,USD,884887,2023-10-26,2023-10-26 17:17:05,2023,Q3,4160000000.0,2137000000.0,2023000000.0,0.4862980769,0,0.0,0.0,393000000.0,365000000.0,758000000.0,2895000000.0,7000000.0,340000000.0,366000000.0,1717000000.0,0.4127403846,1265000000.0,0.3040865385,-254000000.0,1011000000.0,0.2430288462,0.0,1009000000.0,0.2425480769,3.94,3.65,256000000,282000000,https://www.sec.gov/Archives/edgar/data/884887/000088488723000056/0000884887-23-000056-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488723000056/rcl-20230930.htm,16.25,3.94140625,2.57421875,1.4765625,2.34420703125,17.95386328125,14.79290234375,17.27725,81.668796875,23587840000.0,43554935000.0,5.844360753221011,5.670153846153847,35.793383915022766,62.40169312169312,5.3330246422318375,5.3330246422318375,10.469936298076924,25.36688118811881,66.09246585735964,115.22469576719575,0.0427762779466029,0.0160252062079444,4.650084468014296,0.6276486273230725,11.629059405940597,0.1926822868340567,3.7205882352941178,0.6524752475247525,0.0,0.0,0.0,0.0,0.0246945008940246,0.4264036418816389,0.0675480769230769,0.76775956284153,0.003125,39.143005447822745,0.0493140186110716,0.0315712408962027,-106.1777021484375,-7460976000.0,3786983000.0,-26391774000.0,21732575000.0,367754000.0,703698500.0,228718500.0,7.791728365384615,30.12856340664483,10.171726719700516,11.550710674133905,2.987198519400715,8.848055249625293,0.228126944392192,1.09765625,2023-10-26,3.46,bmo,4049240000.0,2025-04-25,2023-09-30,0.1127167630057803,100.16809523809523,2911632.0
2023-06-30,RCL,USD,884887,2023-07-27,2023-07-27 17:22:36,2023,Q2,3523000000.0,1955000000.0,1568000000.0,0.44507522,0,0.0,0.0,435000000.0,362000000.0,797000000.0,2752000000.0,10000000.0,355000000.0,361000000.0,1180000000.0,0.334941811,771000000.0,0.2188475731,-308000000.0,463000000.0,0.1314220835,0.0,459000000.0,0.1302866875,1.79,1.7,256000000,282000000,https://www.sec.gov/Archives/edgar/data/884887/000088488723000044/0000884887-23-000044-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488723000044/rcl-20230630.htm,13.76171875,1.79296875,5.4375,2.328125,2.83759375,13.8323515625,10.67121875,13.13925,83.4897265625,26557440000.0,46849386000.0,14.464836601307187,7.53830258302583,19.07862068965517,44.559463087248325,7.895427821222672,7.895427821222672,13.298151007663924,39.70286949152543,33.65616810344827,78.60635234899328,0.0172832923655292,0.0224419221129747,6.248682977529159,0.6384031781943926,17.19656440677966,0.2036684074930186,2.171830985915493,3.0064794816414686,0.0,0.0,0.0,0.0,0.0245798209829692,0.5718390804597702,0.2259437978995174,2.204986149584488,0.011353959693443,23.02305267747619,0.0307765031497615,0.0142927881704788,-110.4154951171875,-7698030000.0,2731832000.0,-27413431000.0,21598676000.0,377267000.0,703424000.0,218607000.0,9.589023559466362,31.85728388746803,9.939820971867007,9.385731450325956,2.825099601017903,9.054489035036935,0.1364589873851247,3.109375,2023-07-27,1.55,bmo,3983730000.0,2025-04-25,2023-06-30,0.1741935483870967,78.4033870967742,3748191.7741935486
2023-03-31,RCL,USD,884887,2023-05-04,2023-05-04 16:45:17,2023,Q1,2886000000.0,1793000000.0,1093000000.0,0.3787248787,0,0.0,0.0,461000000.0,360000000.0,821000000.0,2614000000.0,15000000.0,360000000.0,360000000.0,672000000.0,0.2328482328,272000000.0,0.0942480942,-320000000.0,-48000000.0,-0.0166320166,0.0,-48000000.0,-0.0166320166,-0.19,-0.19,255000000,255000000,https://www.sec.gov/Archives/edgar/data/884887/000088488723000018/0000884887-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488723000018/rcl-20230331.htm,11.31764705882353,-0.188235294117647,5.137254901960785,4.149019607843138,4.811258823529411,11.864396078431373,8.690835294117647,11.182815686274507,87.87461176470588,16651500000.0,37472655000.0,-86.7265625,5.76975051975052,12.711068702290074,15.738657844990549,5.839316486289539,5.839316486289539,12.984287941787942,55.76287946428572,28.60508015267176,35.41838846880908,-0.0028826231871002,0.0635378194156682,7.731760004320354,0.6707544673737265,30.983861607142856,0.2556358366809496,0.7555555555555555,-27.291666666666668,0.0,0.0,0.0,0.0,0.0246195926455242,0.1923664122137404,0.0873180873180873,0.7,0.009009009009009,,0.0106405306025767,-0.0014971353718224,-110.67906960784312,-7027947000.0,2216163000.0,-27431469000.0,21768853000.0,455088500.0,680918500.0,222649500.0,11.82464656964657,35.881388733965416,11.108148354712773,7.611221144742429,2.508264121750833,8.102160425487689,-0.016832549100195,0.9882352941176472,2023-05-04,-0.71,bmo,2822980000.0,2025-04-25,2023-03-31,-0.676056338028169,65.97209677419355,3895704.9516129033
2022-12-31,RCL,USD,884887,2023-02-23,2023-02-23 17:28:20,2022,Q4,2603992000.0,1782442000.0,821550000.0,0.315496361,0,0.0,0.0,444358000.0,361741000.0,806099000.0,2588541000.0,14092000.0,431610000.0,360595000.0,291999000.0,0.1121351371,15451000.0,0.005933582,-515657000.0,-500206000.0,-0.192091988,0.0,-500206000.0,-0.192091988,-1.96,-1.96,255184000,255184000,https://www.sec.gov/Archives/edgar/data/884887/000088488723000006/0000884887-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488723000006/rcl-20221231.htm,10.204370179948588,-1.9601777540911656,2.259538215562104,1.605903975170857,7.582763809643238,11.242867891403847,8.072606433005204,11.242867891403847,95.7176390369302,12613745120.0,34672745120.0,-6.3042751986181695,4.844003023050762,21.87615135675115,30.78017164428589,4.396565047054724,4.396565047054724,13.315227204999092,118.74268446124816,60.13330798927503,84.60873721635623,-0.0396556292553341,0.0324884478084332,8.363192750087139,0.7103860729512079,75.54477926294268,0.3738481278432287,0.0357985218136743,-1.152721078915487,0.0,0.0,0.0,0.0,0.0239519185220274,0.2892777983968033,0.0640543442529777,0.4625604903007529,0.0045434087355107,,0.0005645025757188,-0.0151729305062638,-111.53422628377956,-5368000000.0,2060000000.0,-27702000000.0,23525000000.0,532707000.0,635282500.0,230593000.0,18.352590944979863,32.66866467464299,11.31032594608969,4.903939736346516,2.754933539412674,7.957330357142857,-0.1743485535029627,0.6536342403912471,2023-02-07,-1.37,bmo,2610036650.0,2025-04-25,2022-12-31,-0.1824817518248175,52.42492063492063,5407846.317460317
