date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,RMD,USD,943819,2025-04-23,2025-04-23 16:05:31,2025,Q3,1291736000.0,525328000.0,766408000.0,0.5933162813,83944000,0.0,0.0,245302000.0,10894000.0,340139000.0,865467000.0,0.0,0.0,51910000.0,478179000.0,0.3701832263,426268000.0,0.3299962221,-8575000.0,417693000.0,0.3233578688,52652000.0,365041000.0,0.282597218,2.49,2.48,146719000,147220000,https://www.sec.gov/Archives/edgar/data/943819/000119312525091357/0001193125-25-091357-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000119312525091357/d830100dex991.htm,8.804149428499377,2.488028135415317,3.944008615107791,3.7818755580395176,6.357124844089722,37.80105507807441,15.452006897538832,37.80105507807441,5.72367587020086,32843048150.0,32750109150.0,22.492711880309336,25.42551121126917,56.756975413929744,59.19020775925302,5.921792382187734,5.921792382187734,25.35356229910756,68.48922506007165,56.59636497016387,59.02271177368515,0.0111147113487394,0.0168946864330556,0.1514157702312584,0.110980805416065,-0.1943602709445626,3.4113401579558453,0.0,1.5851945397914209,0.0023659192546657,0.2128637605090935,0.0,0.0649854149764348,0.4333430864370802,0.0411086974930054,0.0184155276310329,0.4582458438481246,0.0186725460930097,46.00138033917294,0.0558945632767281,0.0851349599047715,0.1650178231858177,2267904000.0,2267103000.0,1187731000.0,6234876000.0,883881000.0,221437000.0,872372000.0,63.251508048084126,38.12949243139524,147.78898136021684,1.4228909756836394,2.3603776043421805,0.6089763876282254,0.0658190129951806,0.1621330570682733,2025-04-23,2.38,amc,1288149759.0,2025-05-12,2025-03-31,-0.0042016806722688,,
2024-12-31,RMD,USD,943819,2025-01-30,2025-01-30 16:05:28,2025,Q2,1282089000.0,530814000.0,751275000.0,0.5859772605,81373000,0.0,0.0,241613000.0,11047000.0,334033000.0,864847000.0,0.0,-2436000.0,-53710000.0,362177000.0,0.2824897492,417242000.0,0.3254391856,1081000.0,418323000.0,0.3262823408,73701000.0,344622000.0,0.268797252,2.43,2.34,146861000,147599000,https://www.sec.gov/Archives/edgar/data/943819/000094381925000004/0000943819-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381925000004/rmd-20241231.htm,8.729948727027597,2.346586227793628,2.1014632884155766,1.972926781105944,3.554000040854958,35.768577089901335,13.684048181613909,35.768577089901335,5.701309401406772,33585642090.0,33903434090.0,24.364116401448545,26.196030142993195,108.8241708816258,115.91408368018884,6.39360071341968,6.39360071341968,26.44390061064404,93.61012457997056,109.85388026815887,117.01087880419402,0.0102609918570712,0.0086270793699153,0.1598580927616914,0.1175881144895337,0.8774494239004685,3.329002535330297,-171.2816091954023,0.89554062131843,0.0023133397239153,0.2254499132382726,0.0,0.0634690727398799,0.4541666865042301,0.0611652404389821,0.0147236268308986,0.3376802261099781,0.0176540006193017,43.457060803810535,0.0543269250370443,0.0884104528039922,-1.9091300617590783,1984217000.0,2009653000.0,947852000.0,5898747000.0,835567500.0,234795500.0,900042500.0,60.365801438121686,37.35427098757757,149.56137177994552,1.4909103806441637,2.409363042580329,0.6017596584525844,0.0656046848577643,0.1285365073096329,2025-01-30,2.32,amc,1266669710.0,2025-04-30,2024-12-31,0.0474137931034484,224.53142857142856,1256557.357142857
2024-09-30,RMD,USD,943819,2024-10-25,2024-10-24 19:37:22,2025,Q1,1224509000.0,507290000.0,717219000.0,0.585719664,79524000,0.0,0.0,238979000.0,11404000.0,329907000.0,837197000.0,0.0,0.0,53710000.0,442709000.0,0.3615400132,387312000.0,0.3162998394,-3815000.0,383497000.0,0.3131843049,72142000.0,311355000.0,0.2542692622,2.12,2.11,146861000,147599000,https://www.sec.gov/Archives/edgar/data/943819/000094381924000027/0000943819-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381924000027/rmd-20240930.htm,8.337877312560856,2.120065912665718,2.216640224429903,2.0831330305527,2.9031601310082324,35.37376158408291,12.463458644568671,35.37376158408291,5.789433546006087,35851707320.0,36275588320.0,28.78684084084084,29.278435127875746,110.13063703776518,117.18886716285698,6.901160325280374,6.901160325280374,29.624599182202825,81.94002904842685,111.4327308025484,118.57441161569112,0.0086845236468364,0.0085332337807336,0.1636646284349683,0.1177226404955571,0.9574709346320044,2.921343156958629,0.0,1.045552504376034,0.002172588303948,0.2501678148736972,0.0,0.0649435814681639,0.4658592822873562,0.0602295277356253,0.0160121322097265,0.3650530627443679,0.0164604751782142,41.077742003261456,0.0494693216469346,0.080708188399204,-3.633643377070835,1737046000.0,1830396000.0,613734000.0,5818955000.0,824236500.0,243503000.0,870116000.0,59.62211792645052,44.22523605827041,162.86222870547417,1.509506926792226,2.035037187397203,0.5526143214137096,0.059933290035507,0.1335071938772036,2024-10-24,2.04,amc,1185205482.0,2025-04-24,2024-09-30,0.0784313725490196,233.440125,945729.8166666668
2024-06-30,RMD,USD,943819,2024-08-09,2024-08-08 20:09:34,2024,Q4,1223195000.0,518930000.0,704265000.0,0.5757585675,80861000,0.0,0.0,242187000.0,-2957000.0,323048000.0,841978000.0,3629000.0,9550000.0,54754000.0,422036000.0,0.3450275712,381217000.0,0.3116567677,-23484000.0,357732000.0,0.292457049,65495000.0,292236000.0,0.2389120296,1.99,1.98,146915000,147533000,https://www.sec.gov/Archives/edgar/data/943819/000094381924000013/0000943819-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381924000013/rmd-20240630.htm,8.325868699588197,1.9891501888847287,2.995704999489501,2.816533369635504,1.7042984038389546,33.107871898716944,10.455596773644624,33.107871898716944,6.013579280536365,27464290100.0,28099864100.0,23.494957927839145,22.452912332048445,62.402673171042046,66.37237180122332,5.646391304517662,5.646391304517662,22.972513867371923,66.58167573382366,63.8467853783338,67.90835010911306,0.0106405808756003,0.0150665099477666,0.1796725481250885,0.1271660210401208,1.505971054601977,2.589036462765812,39.91801047120419,1.506017376307586,0.0025688994597388,0.2414247389096483,0.0,0.0661063853269511,0.4842503209216468,0.0598095039012619,0.02151987213813,0.480750264820835,0.0174886260980465,38.49379062810449,0.0517124192458539,0.0824492479055195,-4.893188238096859,1447064000.0,1536084000.0,349368000.0,5474169000.0,827232500.0,207586500.0,825854000.0,61.604854499895765,41.23006964567489,142.60593941881552,1.4609238302827623,2.182872858897563,0.6311097585892369,0.0600808833310067,0.1791716298539972,2024-08-01,2.07,amc,1218355307.0,2025-04-24,2024-06-30,0.0048309178743962,240.7809375,895230.796875
2024-03-31,RMD,USD,943819,2024-04-26,2024-04-25 19:18:46,2024,Q3,1196980000.0,515403000.0,681577000.0,0.5694138582,77074000,0.0,0.0,229919000.0,-2496000.0,306993000.0,822396000.0,3351000.0,14377000.0,54642000.0,429226000.0,0.3585907868,374584000.0,0.3129409013,837000.0,375421000.0,0.3136401611,74929000.0,300492000.0,0.2510417885,2.04,2.04,146959000,147450000,https://www.sec.gov/Archives/edgar/data/943819/000094381924000008/0000943819-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381924000008/rmd-20240331.htm,8.144992821126982,2.04473356514402,2.735667771283147,2.5784198313815416,1.7654379793003492,31.50484148640097,8.797712287100484,31.50484148640097,8.041848406698467,27822277880.0,28751812880.0,23.14727004379484,23.24372828284516,69.20430981690467,73.4248153445828,6.009235122853094,6.009235122853094,24.020295142775986,66.98525457451319,71.51640764020685,75.87791914958751,0.0108004097039088,0.0136193737131921,0.2521523050074299,0.171316219589755,2.1656073956377293,3.0416620312277662,26.05439243235724,1.3379091623071495,0.0025336530784444,0.2345886080161867,0.0,0.0643903824625307,0.4896891392286107,0.0574806420400416,0.0193060869855803,0.4229164379049083,0.0170779795819479,38.07134951857081,0.0491527760147609,0.0864092341004933,-6.107645669880715,1578266000.0,1292903000.0,166654000.0,5602101000.0,773465000.0,189920000.0,881336000.0,61.44388377416498,30.985558873347653,144.84048404840485,1.46475115946108,2.9045788835977344,0.6213732340878019,0.0649022013339323,0.1572479399016052,2024-04-25,1.91,amc,1174185799.0,2025-04-24,2024-03-31,0.1151832460732984,223.45125,989642.578125
2023-12-31,RMD,USD,943819,2024-01-25,2024-01-24 19:50:30,2024,Q2,1162801000.0,515867000.0,646934000.0,0.5563583107,73880000,0.0,0.0,222155000.0,-686000.0,307612000.0,823479000.0,0.0,13805000.0,53370000.0,392692000.0,0.3377121279,275094000.0,0.2365787439,-15640000.0,259454000.0,0.2231284631,50654000.0,208800000.0,0.179566409,1.42,1.42,147132000,147545000,https://www.sec.gov/Archives/edgar/data/943819/000094381924000003/0000943819-24-000003-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381924000003/rmd-20231231.htm,7.90311421036892,1.4191338390017127,1.854334882962238,1.6874235380474676,1.480738384579833,30.461449582687656,7.420697061142375,30.461449582687656,9.550458092053397,25309646640.0,26490772640.0,30.30369568965517,21.766103262725093,92.76641537649544,101.94239686797653,5.647137689001025,5.647137689001025,22.78186262309716,67.45941511413525,97.0955483227774,106.6997456036476,0.0082498188524689,0.0098094613303538,0.3104458556659811,0.2014996767600934,3.0077669012865043,3.112368844338172,19.927127852227457,1.3066666666666666,0.0027925320730593,0.3384961685823754,0.0,0.0635362370689395,0.4909469654840025,0.0900114356087262,0.021119692879521,0.4601461495222035,0.0170622488284753,31.18733176269372,0.0357131135002463,0.0594016140852379,-8.097884892477504,1614004000.0,1091822000.0,-45157000.0,5709243000.0,711064000.0,189721500.0,945723500.0,56.4813755750124,35.310554852316585,162.8118487904828,1.5934456107654782,2.5488129647471527,0.5527853204088237,0.0465878629692087,0.1669113449147704,2024-01-24,1.81,amc,1145660000.0,2025-04-24,2023-12-31,0.0386740331491711,202.90412698412695,1176239.238095238
2023-09-30,RMD,USD,943819,2023-10-27,2023-10-26 19:38:03,2024,Q1,963037000.0,362977000.0,600060000.0,0.6230913246,75710000,0.0,0.0,222874000.0,12479000.0,311063000.0,674040000.0,17970000.0,14957000.0,53442000.0,342439000.0,0.355582392,288997000.0,0.300089197,-16806000.0,272191000.0,0.2826381541,52769000.0,219422000.0,0.22784379,1.49,1.49,147075000,147486000,https://www.sec.gov/Archives/edgar/data/943819/000094381923000029/0000943819-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381923000029/rmd-20230930.htm,6.547931327553969,1.4919054903960565,1.9465102838687744,1.6686520482746898,1.5020975692673806,28.89937786843447,5.949046404895461,28.89937786843447,10.271058983511814,21747980250.0,23034539250.0,24.77871436091185,22.582704766275853,75.96671912059047,88.61643753285225,5.116719144376874,5.116719144376874,23.918644091556192,67.26610943846933,80.46073029135506,93.85877608315644,0.0100893047298035,0.0112845881400871,0.3518886329115354,0.2218819882429141,3.757045780416366,2.989853425393292,19.3218559871632,1.304714203680579,0.0032461405237849,0.3217407552569933,0.0,0.0786158787253241,0.5007457587290266,0.1427468623704516,0.0424345066700448,0.7646794655888627,0.0192204453203771,31.14627845339347,0.0386769609550952,0.0652000406493677,-8.642403535611082,1533783000.0,874956000.0,-185825000.0,5566604000.0,698648500.0,163902000.0,978122500.0,64.70667274466089,43.898979825167984,237.59348388465384,1.390892100960733,2.050161538113958,0.3787982672272819,0.0516241386644381,0.2778582355940846,2023-10-26,1.62,amc,1097190000.0,2025-04-24,2023-09-30,0.0123456790123455,183.23688524590165,986387.4098360656
2023-06-30,RMD,USD,943819,2023-08-11,2023-08-10 20:15:16,2023,Q4,1122057000.0,504671000.0,617386000.0,0.5502269493,78144000,0.0,0.0,240687000.0,61000.0,331150000.0,835821000.0,14943000.0,0.0,55200000.0,326004000.0,0.2905413896,275267000.0,0.2453235442,1535000.0,276801000.0,0.2466906761,47137000.0,229664000.0,0.2046812239,1.56,1.56,147015000,147554000,https://www.sec.gov/Archives/edgar/data/943819/000094381923000011/0000943819-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381923000011/rmd-20230630.htm,7.6322620140801956,1.5621807298574977,1.6150528857599564,1.351583171785192,1.6346223174506005,28.091711730095568,5.49102472536816,28.091711730095568,10.746576879910211,32122777500.0,33474794500.0,34.96714493782221,28.628472082969047,135.28968736970228,161.66226730346295,7.778094909250895,7.778094909250895,29.83341710804353,102.68215880786738,140.98390099268437,168.46647760728322,0.0071495685577002,0.0061857353399779,0.382553294835254,0.2340012334656653,4.147240524656139,3.121591282119565,0.0,1.0338450954437788,0.0020143027793907,0.281737668942455,0.0,0.0696435207837035,0.492118438771345,0.1631337997026579,0.0345205279232695,0.7017028985507247,0.0177593473415343,31.422880859383504,0.0377698757053416,0.0669756330291496,-9.208606264666871,1609297000.0,807263000.0,-253975000.0,5597748000.0,695586500.0,156326000.0,1004640500.0,56.5406302888356,26.884921067388458,177.9794757376588,1.591775676009244,3.3476014221656185,0.5056762844534936,0.0556100228019883,0.2634697139747645,2023-08-03,1.69,amc,1140270000.0,2025-04-24,2023-06-30,-0.0532544378698224,153.64349206349206,1260667.7142857143
2023-03-31,RMD,USD,943819,2023-04-28,2023-04-27 19:15:37,2023,Q3,1116898000.0,499146000.0,617752000.0,0.5530961646,76436000,0.0,0.0,228457000.0,12188000.0,317081000.0,816227000.0,14964000.0,14964000.0,52790000.0,353461000.0,0.3164666782,300671000.0,0.269201843,-11293000.0,289378000.0,0.2590908033,56878000.0,232500000.0,0.2081658307,1.58,1.58,146914000,147395000,https://www.sec.gov/Archives/edgar/data/943819/000094381923000008/0000943819-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381923000008/rmd-20230331.htm,7.602393236859659,1.5825585036143597,1.9233224879861688,1.7107967926814327,1.6336700382536722,26.76742175694624,3.942490164313816,26.76742175694624,11.837176851763616,32172696860.0,33668885860.0,34.594297698924734,28.80540287474773,113.8602607560084,128.00468234264343,8.181213789974798,8.181213789974798,30.144996105284456,95.25488203790518,119.15532415779845,133.95753107344632,0.0072266245199066,0.007812214222939,0.4384180684646875,0.2567938743012795,4.23296771072339,3.069243302073938,20.092956428762363,1.2153247311827955,0.002009157027814,0.278021505376344,0.0,0.068435971771818,0.4994582118623228,0.110499251494357,0.0279551042261692,0.5914567152869862,0.0159656477135781,30.87268607894305,0.0402062882555195,0.0691845477725997,-10.353189621138895,1576124000.0,579207000.0,-443555000.0,5585712000.0,679267500.0,178949500.0,1000112000.0,55.29937380136772,29.19113846449736,182.33985647485903,1.6275048669316765,3.0831274398379205,0.4935838041114678,0.0591225601772303,0.2125256953047361,2023-04-27,1.59,amc,1126010000.0,2025-04-24,2023-03-31,0.0566037735849055,180.81174603174605,1402477.1904761903
2022-12-31,RMD,USD,943819,2023-01-27,2023-01-26 18:09:53,2023,Q2,1033744000.0,454029000.0,579715000.0,0.5607916467,69874000,0.0,0.0,211672000.0,9563000.0,291109000.0,745138000.0,12464000.0,10338000.0,45539000.0,334145000.0,0.3232376681,280194000.0,0.2710477642,-6503000.0,273691000.0,0.2647570385,48777000.0,224914000.0,0.2175722423,1.53,1.53,146704000,147405000,https://www.sec.gov/Archives/edgar/data/943819/000094381923000003/0000943819-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381923000003/rmd-20221231.htm,7.046460900861599,1.5331142981786454,0.8768472570618389,0.6609703893554368,1.759863398407678,25.480743538008507,2.618135838150289,25.480743538008507,13.290714636274403,30533503520.0,32219767520.0,33.939087295588536,29.536813292265784,237.36175066271755,314.88551280332484,8.168128990802078,8.168128990802078,31.168033400919377,96.42450888087508,250.47045189175745,332.2755939649571,0.0073661379819278,0.0031757574081364,0.5188328272420921,0.2905082065827614,5.046503763336276,3.1733473087725907,27.103308183401044,0.571938607645589,0.0021124336405663,0.2867762789332811,0.0,0.0675931371790307,0.5023942107552548,0.2461966619246406,0.0306362116732962,0.6954478578800588,0.0159265736971629,29.64726084384085,0.0383881892094282,0.0677030090895189,-11.45924616915694,1592442000.0,384091000.0,-612821000.0,5597445000.0,646377000.0,188744000.0,926903500.0,58.529374777507776,38.85273848146264,196.0358259053937,1.537689413941699,2.3164390340964167,0.4590997568140108,0.0601675652004332,0.215876867706402,2023-01-26,1.62,amc,996100465.0,2025-04-24,2022-12-31,0.0246913580246912,222.87790322580645,614024.9193548387
