date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ROL,USD,84839,2025-04-24,2025-04-24 16:39:33,2025,Q1,822504000.0,400134000.0,422370000.0,0.5135172595,0,0.0,0.0,250513000.0,29209000.0,279722000.0,679856000.0,0.0,5796000.0,29209000.0,172549000.0,0.209784998,142648000.0,0.1734313754,-5104000.0,137544000.0,0.1672259345,32296000.0,105248000.0,0.1279604719,0.22,0.22,484414000,484434000,https://www.sec.gov/Archives/edgar/data/84839/000008483925000069/0000084839-25-000069-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483925000069/rol-20250331.htm,1.6979360629544151,0.2172686999137101,0.3032364877976276,0.2892381310201604,0.4152997229642413,2.798746526731267,-0.7385521475432172,2.798746526731267,1.892655868740375,26172888420.0,26882744420.0,62.169562414487686,31.82098618365382,178.1777661138796,186.8010964164127,19.305070853666457,19.305070853666457,32.68402879499674,155.79774104747057,183.01026890504588,191.8674794983977,0.0040212604092857,0.0053532876368713,0.6719761431294219,0.3089757773121641,4.11393864931121,0.8730439889513347,24.611456176673567,1.3956749771967163,0.0030531593883591,0.7592543326238979,0.0,0.0,0.5811372881252463,0.0461631674972088,0.0082443368056568,0.2321544729364237,0.0,3.698891784459985,0.0447498277022073,0.0852182235245631,-2.51205941611927,-80848000.0,-357765000.0,-1036835000.0,2179106000.0,234692500.0,51350000.0,0.0,25.49564500598173,11.937875811603114,0.0,3.5300146350046995,7.539029674988225,0.0,0.0776307171223055,0.0139983567774672,2025-04-23,0.2214,amc,816663916.0,2025-05-11,2025-03-31,-0.006323396567299,50.21033333333333,1798292.7333333334
2024-12-31,ROL,USD,84839,2025-02-13,2025-02-13 16:17:39,2024,Q4,832169000.0,405462000.0,426707000.0,0.512764835,0,0.0,0.0,245545000.0,30535000.0,276080000.0,681542000.0,0.0,5027000.0,30535000.0,180912000.0,0.2173981487,150627000.0,0.1810053006,-5277000.0,145350000.0,0.1746640406,39675000.0,105675000.0,0.1269874268,0.22,0.22,484304000,484351000,https://www.sec.gov/Archives/edgar/data/84839/000008483925000024/0000084839-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483925000024/rol-20241231.htm,1.7182781889061416,0.2181997257920644,0.3885121741715947,0.3798750371667382,0.1850697082824011,2.747433430242162,-0.7682798407611748,2.747433430242162,1.6881029270871188,22447490400.0,23170388400.0,53.10501632363378,26.97467749940217,119.30128083844428,122.01380839788014,16.87029046447712,16.87029046447712,27.84336883493617,128.07546431414167,123.143254073704,125.94313575214024,0.0047076531993972,0.0081957936821302,0.6106510405510926,0.2881616628748854,3.995854338020695,0.6860648953286151,29.963596578476228,1.780534658149988,0.0035649864895364,0.7572746628814763,0.0,0.0,0.6038504164457503,0.0222313162342286,0.0050266231979321,0.1369903389552972,0.0086785256360186,3.6726703466269326,0.047699756123372,0.0946043091401146,-2.523591587102316,-202539000.0,-372081000.0,-1046479000.0,2039448000.0,251061500.0,53921000.0,19641500.0,25.564975383605976,11.01521227636622,0.0,3.5204414887766413,8.170518891687657,0.0,0.0794194768798573,0.0086371370048564,2025-02-12,0.23,amc,817638577.0,2025-05-11,2024-12-31,0.0,48.9728125,1582188.28125
2024-09-30,ROL,USD,84839,2024-10-24,2024-10-24 15:02:16,2024,Q3,916270000.0,421892000.0,494378000.0,0.5395549347,0,0.0,0.0,274918000.0,27664000.0,302582000.0,724474000.0,0.0,7150000.0,27664000.0,220042000.0,0.2401497375,191796000.0,0.2093225796,-6568000.0,185228000.0,0.2021543868,48315000.0,136913000.0,0.1494242963,0.28,0.28,484317000,484359000,https://www.sec.gov/Archives/edgar/data/84839/000008483924000106/0000084839-24-000106-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483924000106/rol-20240930.htm,1.8918807310088228,0.2826929469748119,0.3034107826072593,0.287879632554711,0.1967347832101702,2.720897676521782,-0.7393215600526102,2.720897676521782,1.7480451852815408,24496753860.0,25240929860.0,44.730511090984784,26.73530057734074,166.70468849313016,175.698431845078,18.58945319276327,18.58945319276327,27.54748039333384,114.70960025813254,171.76893614704622,181.03589643177332,0.0055890262351682,0.0056915704340591,0.6370258397285732,0.2980820240622285,3.3819725325165195,0.7820720564311298,26.824615384615385,1.0732874160963533,0.002971699859338,0.5317026140687882,0.0,0.0,0.5950728606440314,0.0511885237534621,0.0082093706003688,0.2719057258530942,0.0078601285647243,4.160110348096476,0.058543415518201,0.120061735161419,-2.445075745844147,-135566000.0,-358066000.0,-1011919000.0,2061071000.0,255441500.0,56146000.0,38604000.0,26.10222969212132,12.419126221876688,8.38003564893385,3.4479813051053467,7.246886648229898,10.739811114222436,0.1038969415917867,0.0155311500525482,2024-10-23,0.3,amc,911150915.0,2025-04-25,2024-09-30,-0.0333333333333333,49.38359375,1556348.375
2024-06-30,ROL,USD,84839,2024-07-25,2024-07-25 16:10:34,2024,Q2,891920000.0,437996000.0,453924000.0,0.5089290519,0,0.0,0.0,271547000.0,412000.0,271547000.0,709543000.0,0.0,7775000.0,27711000.0,210088000.0,0.2355457889,182377000.0,0.2044768589,-7363000.0,175014000.0,0.1962216342,45617000.0,129397000.0,0.1450769127,0.27,0.27,484244000,484419000,https://www.sec.gov/Archives/edgar/data/84839/000008483924000094/0000084839-24-000094-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483924000094/rol-20240630.htm,1.8418813655925528,0.2672144621306614,0.2996733051932497,0.2817154161951413,0.2391294471382195,2.552552019229975,-0.8800026432955287,2.552552019229975,1.824208456893632,23398670080.0,24167560080.0,45.20713401392613,26.23404574401292,161.24225669296763,171.52060988571972,18.930074543427576,18.930074543427576,27.09610736388914,115.03541411218156,166.5407440995073,177.1568482396147,0.005530100623565,0.0058302031497338,0.7083704809968464,0.3164960661514071,3.659847302082937,0.7775916058693335,23.45684887459807,1.1214711401459936,0.0031018002199208,0.5608939929055542,0.0,0.0,0.6008287722184911,0.0599248871584605,0.0097497533411068,0.3138104002020858,0.0093943402995784,3.917495798948495,0.0569342232481792,0.1171747374826588,-2.502515260901529,-135658000.0,-426136000.0,-1056152000.0,2026669000.0,229056500.0,47056500.0,36811500.0,24.736276796125217,11.111402843861589,7.792879387026366,3.638381019980256,8.099787332408692,11.549004614370467,0.104685217036741,0.0179578889981083,2024-07-24,0.27,amc,895020493.0,2025-04-25,2024-06-30,0.0,46.15857142857143,1687751.5714285714
2024-03-31,ROL,USD,84839,2024-04-25,2024-04-25 16:05:43,2024,Q1,748349000.0,392868000.0,355481000.0,0.4750203448,0,0.0,0.0,221008000.0,-61000.0,221008000.0,613876000.0,0.0,7725000.0,27310000.0,159734000.0,0.213448538,134473000.0,0.1796928973,-7786000.0,124638000.0,0.1665506335,30244000.0,94394000.0,0.1261363348,0.2,0.19,484131000,484318000,https://www.sec.gov/Archives/edgar/data/84839/000008483924000070/0000084839-24-000070-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483924000070/rol-20240331.htm,1.5457572433907352,0.1949761531486312,0.2632200788629524,0.2484079722223943,0.2527642311688365,2.411529110922457,-0.6921184555419917,2.411529110922457,1.7818359080496808,22134469320.0,22876415320.0,58.62255365807149,29.57773621665827,173.69495593762994,184.052063993614,18.95892518689572,18.95892518689572,30.569180048346425,143.21569183768014,179.5171997834156,190.2214774409207,0.0042645702788414,0.0054332452367102,0.7322654638645443,0.3215643159098765,4.644884620681884,0.716890001621797,17.407508090614886,1.3500116532830475,0.0032794551769267,0.7690001483145115,0.0,0.0,0.5651701127540275,0.0562727080112686,0.0095824274502939,0.2625778103258879,0.0095957901994924,3.252582060180187,0.0450337372220159,0.0816523895654761,-2.4604389101296964,-167583000.0,-335076000.0,-1066770000.0,1803744000.0,214105000.0,44619000.0,34540500.0,25.61290253611617,9.172088335013289,8.177861266379548,3.5138539989012587,9.812378240671364,11.005322427026725,0.0808516688708141,0.014812106640558,2024-04-24,0.2,amc,739116415.0,2025-04-25,2024-03-31,0.0,44.088524590163935,1962601.0327868853
2023-12-31,ROL,USD,84839,2024-02-15,2024-02-15 16:15:28,2023,Q4,754086000.0,370305000.0,383781000.0,0.5089353204,0,102578000.0,115987000.0,218565000.0,15860000.0,244708000.0,615013000.0,0.0,8258000.0,26143000.0,181076000.0,0.2401264577,139073000.0,0.1844259143,7602000.0,146675000.0,0.1945069926,37872000.0,108803000.0,0.1442846041,0.22,0.22,483922000,484112000,https://www.sec.gov/Archives/edgar/data/84839/000008483924000025/0000084839-24-000025-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483924000025/rol-20231231.htm,1.5582800533970351,0.2248358206487822,0.3158050264298792,0.2926897309897049,0.2166154876199056,2.3879199540421805,-0.9515521096375036,2.3879199540421805,1.7040060174986875,21132873740.0,21845396740.0,48.55765406284753,28.024487578339876,138.2815229183707,149.20236474417356,18.287882693084867,18.287882693084867,28.969370522725523,120.6421432989463,142.94386873875348,154.23292129992444,0.0051485189065441,0.0067023066404787,0.7064480034476581,0.3145292164009463,3.934938920674192,0.7051270268723697,16.841002664083312,1.4046028142606362,0.0034327087216109,0.666737130410007,0.1360295775282925,0.0,0.6226426144113182,0.0731948306886962,0.0148338518418323,0.4278774432926596,0.0081926995064223,3.47563284978293,0.0468250454193511,0.111089669762389,-2.3907721698951483,-170050000.0,-460477000.0,-1033254000.0,1896045000.0,225941500.0,46810500.0,33303000.0,25.68872781088629,11.957710535909587,8.113501032932312,3.5034821756280228,7.526524390243902,11.092621993230088,0.0941555098060086,0.0231152954401742,2024-02-14,0.21,amc,753380000.0,2025-04-25,2023-12-31,0.0,38.92047619047619,2307636.634920635
2023-09-30,ROL,USD,84839,2023-10-26,2023-10-26 16:12:59,2023,Q3,840427000.0,388533000.0,451894000.0,0.537695719,0,0.0,0.0,244906000.0,493000.0,269574000.0,658107000.0,5547000.0,5547000.0,24668000.0,206988000.0,0.2462890888,177124000.0,0.2107547711,-5054000.0,172070000.0,0.2047411613,44293000.0,127777000.0,0.1520381901,0.26,0.26,490775000,490965000,https://www.sec.gov/Archives/edgar/data/84839/000008483923000078/0000084839-23-000078-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483923000078/rol-20230930.htm,1.7124486781111508,0.2603575976771433,0.2594977331771178,0.2455035403188834,0.2916754113392084,2.24714584076206,-1.041253120065203,2.24714584076206,1.851597982782334,18320630750.0,19081554750.0,35.84493052349014,21.799193445712717,143.85482116917277,152.05483371650053,16.612183919197925,16.612183919197925,22.704595104631338,92.1867680735115,149.82964744218916,158.3702370380207,0.0069744869455436,0.0065765748812987,0.8189479372857242,0.3421157996134027,3.676174464220148,0.8196549400374079,31.93149450153236,0.99669737120139,0.0034829041025238,0.4993778222997879,0.0,0.0,0.6113220783520338,0.0539279965450904,0.0081720363577086,0.2784173828441705,0.0072534556838369,3.62820666258792,0.0588344126024519,0.1245276987563505,-2.4448525291630583,-104906000.0,-511021000.0,-1060324000.0,1810732000.0,225353000.0,59409500.0,32954000.0,25.341832187685544,10.289705121572686,7.695794179644973,3.551440137928703,8.746606334841628,11.694699455196702,0.1158614598814155,0.0139941928582344,2023-10-25,0.25,amc,826160000.0,2025-04-25,2023-09-30,0.1200000000000001,40.39571428571429,2416049.5555555555
2023-06-30,ROL,USD,84839,2023-07-27,2023-07-27 17:02:11,2023,Q2,820750000.0,384191000.0,436559000.0,0.5319025282,0,0.0,0.0,255331000.0,1019000.0,281770000.0,665961000.0,4785000.0,4785000.0,26439000.0,182247000.0,0.2220493451,154789000.0,0.1885945781,-3766000.0,151023000.0,0.184006092,40880000.0,110143000.0,0.1341979896,0.22,0.22,492700000,492891000,https://www.sec.gov/Archives/edgar/data/84839/000008483923000059/0000084839-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483923000059/rol-20230630.htm,1.6658209864014613,0.2235498274812259,0.2991942358433123,0.2854434747310737,0.3157032677085447,2.7242236655165417,0.5858737568500102,2.7242236655165417,1.2774771666328395,21102341000.0,21572222000.0,47.89759903035145,25.71104599451721,143.15115356176184,150.04722052361382,15.721910260947306,15.721910260947306,26.283547974413647,118.36804995418306,146.3386675530652,153.3882876605185,0.0052194683044881,0.0066645686371952,0.4653675799512004,0.2403034628154178,2.578264662792803,0.8059444051686553,32.34879832810867,1.3383782900411283,0.0030301377463287,0.580545291121542,0.0,0.0,0.4053217559909669,0.0459593115939571,0.0082546451416387,0.256250236393207,0.0077782515991471,3.701687984561388,0.0513726461310571,0.0712546861909798,-1.876738380353156,-111718000.0,288660000.0,-793122000.0,1224445000.0,201543500.0,56735500.0,31772000.0,23.47314042034725,17.428362455132994,7.656738445200434,3.834169539666078,5.163996343987741,11.754352149303962,0.0820600122930209,0.0137507611122386,2023-07-26,0.23,amc,819520000.0,2025-04-25,2023-06-30,0.0,40.64758064516129,1490838.3064516129
2023-03-31,ROL,USD,84839,2023-04-27,2023-04-27 17:13:56,2023,Q1,658015000.0,326842000.0,331173000.0,0.5032909584,0,0.0,0.0,196431000.0,22502000.0,218933000.0,545775000.0,0.0,465000.0,22502000.0,139456000.0,0.2119343784,112240000.0,0.1705736191,4249000.0,116489000.0,0.1770309187,28255000.0,88234000.0,0.1340911681,0.18,0.18,492516000,492701000,https://www.sec.gov/Archives/edgar/data/84839/000008483923000018/0000084839-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483923000018/rol-20230331.htm,1.336027662045497,0.1791495098636389,0.2046085812440611,0.1891045164014976,0.2284250663937821,2.614639930479416,0.0400047917225024,2.614639930479416,0.6938617222587693,18484125480.0,18712895480.0,52.37245698936918,28.09073574310616,183.42339197999465,198.4616798909134,14.353792873161913,14.353792873161913,28.43840258960662,134.18494349472235,185.6935437071438,200.9179539817688,0.0047735014618608,0.0050387560991606,0.2650145369605328,0.1595564232969873,1.6404457319871502,0.7871215946730116,241.3763440860215,1.1421107509576809,0.0034652978345827,0.7259446471881588,0.0,0.0,0.5928548786611348,0.075774264932075,0.0116045986793614,0.3393476135454626,0.0090377878923732,3.246422322394908,0.0484278461267535,0.1013209130985477,-1.1805357592443697,-99490000.0,19703000.0,-483268000.0,1567216000.0,189201000.0,40934500.0,30302000.0,25.85389390819358,10.759235349190128,8.497408533786967,3.4811003835471497,8.364906713075525,10.591464402605398,0.0685178512632867,0.0155040648425634,2023-04-26,0.17,amc,638400000.0,2025-04-25,2023-03-31,0.0588235294117645,36.07096774193548,1351109.8064516129
2022-12-31,ROL,USD,84839,2023-02-16,2023-02-16 16:30:17,2022,Q4,661390000.0,327613000.0,333777000.0,0.504659883,0,87869000.0,102959000.0,190828000.0,23033000.0,213861000.0,541474000.0,344000.0,344000.0,23033000.0,142950000.0,0.2161357142,119916000.0,0.1813090612,-2509000.0,122569000.0,0.1853203103,38300000.0,88233000.0,0.1334054038,0.17,0.17,492344000,492457000,https://www.sec.gov/Archives/edgar/data/84839/000008483923000006/0000084839-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483923000006/rol-20221231x10k.htm,1.3433493654842956,0.1792100645077425,0.2506215166631461,0.2349678273727312,0.1946728303787595,2.573804088198495,0.0035442698600978,2.573804088198495,0.6838165997757666,17990249760.0,18231232760.0,50.97369963619055,27.20066792663935,145.79753760373444,155.51065185633402,14.196884746412753,14.196884746412753,27.56502632334931,127.5357310947884,147.75052483143153,157.59374819553096,0.0049044899974751,0.0064304276785093,0.2654117710190286,0.1584941386258805,1.6857852395942636,0.7060151807267955,348.59302325581393,1.464263252204251,0.0035565376164071,0.7251595208142079,0.1328550477025658,0.0,0.5963408588388089,0.0624594787344398,0.0116527313687839,0.3346068684061998,0.008014938236139,3.221515315068009,0.04549116420496,0.1030066217124925,-1.2228843044700453,-145165000.0,1745000.0,-506212000.0,1525688000.0,195952000.0,42835000.0,29158500.0,25.769863469359983,11.75667632236816,8.171379035630455,3.4924515648679617,7.655224787363305,11.014052781980164,0.0696284792340891,0.0156536892904148,2023-02-15,0.17,amc,660326575.0,2025-04-25,2022-12-31,0.0,38.85079365079365,1629671.0476190476
