date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,SMCI,USD,1375365,2025-02-25,2025-02-25 16:49:29,2025,Q2,5677962000.0,5007940000.0,670022000.0,0.1180039599,158229000,63601000.0,79568000.0,143169000.0,0.0,301398000.0,5309338000.0,0.0,6535000.0,14883000.0,396466000.0,0.0698254057,368624000.0,0.0649218857,6424000.0,375048000.0,0.0660532776,56969000.0,320596000.0,0.0564632169,0.54,0.51,592507000,636047000,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/0001375365-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,9.582945011620115,0.5410839028062115,-0.4046483839009497,-0.4511220964478056,2.413476971580083,10.528932147637075,10.528932147637075,10.528663796377089,3.2445287566222847,18059613360.0,18545482360.0,14.082843641218233,3.180650620768508,-75.32465521340357,-67.56485714178822,2.894954249606504,2.894954249606504,3.2662216407929465,46.77698052292,-77.35116121739928,-69.38259647652576,0.0177520965487602,-0.0148005937154791,0.3071139333155614,0.1969369311212962,1.2254997906503962,6.383124295740936,56.407651109410864,-0.7478477585497012,0.0,0.0,0.0112013782409956,0.0278672171458702,0.0,-0.1148496185721376,0.0048496273839099,1.8501646173486528,0.0144632880600468,11.321662254777742,0.0366699711018359,0.0329548243956733,3.430887736347419,7309260000.0,6238466000.0,5177188000.0,7786752000.0,2895625000.0,274661500.0,4263384000.0,48.495551749025445,9.872137046370364,64.62798076654273,1.8558403142986948,9.116567119891211,1.3925856716011171,0.0513915073432583,0.0464737125468559,2025-02-25,0.47,amc,5650000000.0,2025-02-28,2024-12-31,0.0851063829787234,33.18071428571428,45885950.64285714
2024-09-30,SMCI,USD,1375365,2025-02-25,2025-02-25 16:47:28,2025,Q1,5937256000.0,5161676000.0,775580000.0,0.1306293682,132243000,65284000.0,68854000.0,134138000.0,0.0,266381000.0,5428057000.0,0.0,17354000.0,14080000.0,530512000.0,0.0893530614,509199000.0,0.085763356,-10121000.0,499078000.0,0.0840586965,74732000.0,424327000.0,0.071468537,0.72,0.67,589558000,639148000,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/0001375365-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,10.07069024591304,0.7197374982614094,0.6935772222580306,0.6184361843957676,3.542854138184877,9.968344081498342,9.968344081498342,9.968067603187473,3.749145970371024,24549195120.0,24653462120.0,14.463606558149728,4.134771200702816,60.03657367010349,67.33111847374137,4.177339245440595,4.177339245440595,4.152332680281935,46.47107345356938,60.29156506172598,67.6170917488563,0.0172847622060857,0.0148519736886591,0.3731626336579683,0.2020926733486413,0.1965403233103115,3.4312913408479884,29.34188083438977,0.9636530317420292,0.0,0.0,0.0109956518634197,0.0222734205835153,0.0,0.1083383874943752,0.0074613592541739,3.1463068181818183,0.0107817483362684,12.705267446316194,0.0510912062814482,0.0391034949185739,2.762015781314137,6980483000.0,5876917000.0,4877118000.0,7431543000.0,2700077500.0,772525000.0,4669297500.0,41.40912906568287,0.0,85.97131435603475,2.1734337821315357,0.0,1.0468608125180123,0.0722043155115902,0.0751410378622629,2024-11-05,0.732,amc,6343325179.0,2024-11-13,2024-09-30,0.0245901639344262,37.944,73618222.9
2024-06-30,SMCI,USD,1375365,2024-08-06,2024-08-06 16:26:52,2024,Q4,5354589000.0,4808560000.0,546029000.0,0.1019740264,127471000,74109000.0,55963000.0,130072000.0,0.0,257543000.0,5066103000.0,0.0,3112000.0,11811000.0,314252000.0,0.0586883512,288486000.0,0.053876404,10843000.0,299329000.0,0.055901396,1559000.0,297244000.0,0.0555120104,0.6,0.55,586880000,642080000,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/0001375365-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,9.123822587241005,0.50648173391494,-1.0936034623773174,-1.117429457470011,2.8451574427480915,9.31989503816794,9.31989503816794,9.319615594329337,3.709884473827699,47672262400.0,48176641400.0,40.09522681702575,8.903066584568862,-74.27738005091818,-72.69362683879311,8.716024730615032,8.716024730615032,8.997262236186568,153.30575907233683,-75.06324480301146,-73.46273526716347,0.0062351561481588,-0.0137563641200296,0.3975037188069979,0.218655589123867,1.605014447004315,3.7665687026949457,92.70115681233932,-2.1592159976315752,0.0,0.0,0.0138402779372982,0.0238059354322059,0.0,-0.0217866858622591,0.0026114049089481,1.1838963677927357,0.0139992070353112,10.305573199818838,0.0361365458057931,0.0298940787912189,2.388023531215921,6650679000.0,5469660000.0,4581044000.0,7064687000.0,2159284000.0,1318747500.0,4266279500.0,44.850753251089856,28.918116858269418,82.50234581662701,2.0066552616440845,3.112235849972493,1.0908780727282297,0.0543457751865985,0.0238259950926935,2024-08-06,0.812,amc,5317522631.0,2025-05-07,2024-06-30,-0.2241379310344828,36.34515625,77872074.765625
2024-03-31,SMCI,USD,1375365,2024-05-06,2024-05-03 20:13:15,2024,Q3,3850066000.0,3252698000.0,597368000.0,0.1551578596,116226000,53137000.0,49691000.0,102828000.0,10035000.0,219054000.0,3471752000.0,0.0,6246000.0,10399000.0,398748000.0,0.1035691336,378314000.0,0.0982616921,3789000.0,382103000.0,0.0992458311,-19983000.0,402459000.0,0.1045330132,0.71,0.66,564780000,614310000,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000022/0001375365-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000022/smci-20240331.htm,6.816930486207019,0.7125942845001594,-2.69049541414356,-2.8550639186940048,3.7458408583873366,9.019717412089664,9.019717412089664,9.019428804136124,3.324953079075038,58578981600.0,58335126600.0,36.38816724188054,15.2150590665199,-38.55052101362388,-36.32843360209069,11.499619571522771,11.499619571522771,15.151721191273085,146.2957221102049,-38.39004131518922,-36.17720410075641,0.0068703652574253,-0.0275266478855958,0.3674172697135626,0.2111776202074721,-0.6115516566854253,4.694623900052105,60.56900416266411,-3.7756342882132095,0.0,0.0,0.0138015815832767,0.0301880539190756,0.0,-0.0611666177482892,0.0241411445933654,8.937878642177132,0.0145729969304422,12.025466803574776,0.0550255038056683,0.0454100129519165,2.9159305393250468,6346237000.0,5094156000.0,4295307000.0,6731803000.0,1576562000.0,1176989000.0,3295792000.0,38.57434392033799,30.22722982582459,114.1245913392513,2.3331569860491723,2.977447834902444,0.7886118052546837,0.0790065867777988,0.1645685045504444,2024-04-30,0.58,amc,5294180000.0,2025-05-07,2024-03-31,0.1551724137931036,60.863125,77766598.59375
2023-12-31,SMCI,USD,1375365,2024-02-02,2024-02-02 16:14:38,2024,Q2,3664924000.0,3100602000.0,564322000.0,0.1539791821,108824000,37180000.0,46854000.0,84034000.0,-7886000.0,192858000.0,3293460000.0,0.0,8131000.0,9620000.0,373198000.0,0.1018296696,371464000.0,0.1013565356,-16017000.0,355447000.0,0.0969861858,61503000.0,295968000.0,0.080756927,0.55,0.51,541350000,580780000,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000011/0001375365-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000011/smci-20231231.htm,6.769971367876605,0.5467220836796897,-1.0992611064930269,-1.1264523875496444,1.340648379052369,5.684074997690958,5.685015239678581,5.683772051353099,0.7254087004710447,15390580500.0,15049489500.0,13.00020652570548,4.199426918539102,-25.862827159145333,-25.238527890063217,5.001959920829664,5.001959920829664,4.106357867175418,40.325750673905006,-25.289646857171665,-24.67918350948253,0.019230463724224,-0.0396219622775112,0.1249854561881888,0.0711506012950971,-0.9139679205140436,2.430792499732693,45.68490960521461,-2.010639663747432,0.0,0.0,0.010144821557009,0.0296933851834308,-9.417206290471786e-05,-0.0247359620894494,0.0040164543657658,1.5301455301455302,0.011749493304636,8.361667490950198,0.0830655635151623,0.0547530306581674,1.4012390320495058,2850266000.0,3077583000.0,2514429000.0,3146859000.0,1174350000.0,1172795500.0,2259900999.5,36.90864803744907,36.61804062565914,71.60858762266166,2.438452904280921,2.457804908789544,1.2568324971615288,0.0961900088075374,0.0271912810566177,2024-01-29,0.55,amc,3055340000.0,2025-05-07,2023-12-31,0.0181818181818181,85.47730158730158,64277213.17460317
2023-09-30,SMCI,USD,1375365,2023-11-03,2023-11-03 16:38:39,2024,Q1,2119672000.0,1765981000.0,353691000.0,0.1668611936,111027000,32924000.0,37230000.0,70154000.0,6613000.0,181181000.0,1947162000.0,50000.0,1863000.0,9155000.0,188278000.0,0.08882412,172510000.0,0.0813852332,4750000.0,177260000.0,0.0836261459,20215000.0,156995000.0,0.0740657045,0.3,0.28,530930000,571850000,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000041/0001375365-23-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000041/smci-20230930.htm,3.9923756427400976,0.2956981146290471,0.5094174373269545,0.504461981805511,1.0232158664984083,4.078765562315183,4.079696005123086,4.078462320833255,0.278935076187068,14558100600.0,14161176600.0,23.18242714736138,6.868091195241528,53.82619044978094,54.35493850668698,6.723122059982137,6.723122059982137,6.680833921474643,75.21418646894486,52.35862902778548,52.87296086381863,0.0107840304386961,0.0183975923342637,0.0675318581790338,0.0357014856575887,-2.108180456558918,2.225066845461269,92.5979602791197,1.7227618713971782,0.0,0.0,0.0155325918349631,0.0523793303869655,-0.0001206065287683,0.0097276911984914,0.0012412297751727,0.2873839432004369,0.0270697541883838,5.209112825065323,0.0601610564171341,0.038324572105951,0.5151907963385004,1966013000.0,2166033000.0,1640409000.0,2257188000.0,996994000.0,930444500.0,1749184499.5,35.909145377209306,55.24703833166948,104.61746185830992,2.506325312245412,1.629046600827631,0.8602770359874791,0.0725023529379166,0.0049554555214435,2023-11-01,0.32,amc,2063960000.0,2025-05-07,2023-09-30,0.0625,73.2722950819672,109519524.26229508
2023-06-30,SMCI,USD,1375365,2023-08-28,2023-08-25 19:32:29,2023,Q4,2184861000.0,1813165000.0,371696000.0,0.1701234083,84802000,28234000.0,31905000.0,60139000.0,2005000.0,144941000.0,1958106000.0,5550000.0,3509000.0,8972000.0,235727000.0,0.1078910741,226755000.0,0.1037846344,-1504000.0,225251000.0,0.103096261,31302000.0,193569000.0,0.0885955674,0.37,0.34,526790000,565050000,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/0001375365-23-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,4.147499003397939,0.3674500275251998,-0.0177281269576111,-0.0332466447730594,0.8363085859640464,3.7437498813568975,3.740332960003037,3.743436663566127,0.5577383777216728,13132874700.0,12982717700.0,16.961490088805544,6.010851353930525,-1406.239929328622,-749.8501027749229,6.659655883225448,6.659655883225448,5.942125242749997,55.07522557874151,-1390.1614412678016,-741.2765616078566,0.0147392710599759,-0.0013335998705599,0.1472115942910895,0.078999567042903,-0.6369953378272324,2.312895190928322,64.62097463664861,-0.0640521799962963,0.0,0.0,0.0129225612064108,0.038813453121274,0.000489832039315,-0.875361387728879,0.0037416567918966,0.9111680784663396,0.0058520885310324,5.563212459001529,0.0790397525199662,0.0527015360220684,0.6112041800337895,1804774000.0,1970370000.0,1476867000.0,2096814000.0,910157000.0,709335000.0,1492991500.0,47.29971838025394,38.5595298828292,71.75340357882487,1.9027597432286616,2.334053352659716,1.2542959011154124,0.0981584732290232,0.0155185178154482,2023-08-08,0.34,amc,2083000000.0,2025-05-07,2023-06-30,0.0294117647058822,27.71873015873016,31925501.111111112
2023-03-31,SMCI,USD,1375365,2023-05-05,2023-05-05 16:08:51,2023,Q3,1283296000.0,1056937000.0,226359000.0,0.1763887677,77515000,24450000.0,25312000.0,49762000.0,-78000.0,127277000.0,1184214000.0,166000.0,1288000.0,8736000.0,107818000.0,0.0840164701,73623000.0,0.0573702404,-1366000.0,97716000.0,0.0761445528,10857000.0,85846000.0,0.066894933,0.16,0.15,532800000,562330000,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000028/0001375365-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000028/smci-20230331.htm,2.4085885885885885,0.1611223723723723,0.3720814564564564,0.3570908408408408,0.6813081831831832,3.319393768768769,3.319393768768769,3.3190822072072077,0.3537819069069069,5679648000.0,5504054000.0,16.54022319036414,4.425828491634042,28.649640596231936,29.85234786447876,3.2117312360785726,3.2117312360785726,4.288998017604668,51.04949080858484,27.76389820676436,28.92942215307635,0.0151146690780837,0.0334982027055197,0.10586194241484,0.058637713916289,-1.628614888052088,2.48555905454146,57.160714285714285,2.3093096941033946,0.0,0.0,0.0190525023065606,0.0604030558811061,0.0,0.0402885318671341,0.0062238174201431,0.9142628205128204,0.010638231553749,3.468791429993088,0.0302788770354143,0.0268890222526815,0.4001890953453453,1622795000.0,1768573000.0,1291144000.0,1912833000.0,720111000.0,600900500.0,1481118000.0,47.13250099743161,54.65369269880797,131.16932229640935,1.9095103823347792,1.6467322802135738,0.6861360448033944,0.0485442548010723,0.0149906156156156,2023-05-02,0.17,amc,1706310000.0,2025-05-07,2023-03-31,-0.0588235294117647,27.887777777777774,32131860.0
2022-12-31,SMCI,USD,1375365,2023-02-03,2023-02-03 16:17:12,2023,Q2,1803195000.0,1465773000.0,337422000.0,0.1871245206,70700000,23095000.0,28445000.0,51540000.0,-6335000.0,122240000.0,1588013000.0,1191000.0,1756000.0,8649000.0,223831000.0,0.1241302244,215182000.0,0.1193337382,-8091000.0,207091000.0,0.1148467027,29573000.0,176167000.0,0.0976971431,0.33,0.31,531600000,561440000,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000012/0001375365-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000012/smci-20221231.htm,3.3920146726862304,0.331390142964635,0.303022949586155,0.2844281414597441,0.5759687735139203,3.421448457486832,3.421448457486832,3.421138073739654,0.323359668924003,4364436000.0,4229983000.0,6.193606066970546,2.4203904735760693,27.09365746459988,28.864935648999356,2.399786218223467,2.399786218223467,2.3458267131397323,18.89811062810781,26.25899669122896,27.975707993280512,0.0403642074256559,0.0346441098002124,0.093552620943686,0.0553317753635678,-0.6006898061483887,2.889505311143586,122.54100227790433,0.914399405109924,0.0,0.0,0.0128078216720876,0.0392081832525045,0.0,0.0613643559070564,0.0054819362298586,1.1429066944155393,0.009417173406093,5.050639295729072,0.0841106241205719,0.0572911619145987,0.6341586719337848,1732563000.0,1818842000.0,1393403000.0,2021818000.0,752239500.0,672493500.0,1578936000.0,38.340295974645,34.3822542781181,87.3010554840347,2.347399719071504,2.6176294105671456,1.0309153709654617,0.0968654686896023,0.0185948081264108,2023-01-31,0.32,amc,1747260000.0,2025-05-07,2022-12-31,0.03125,16.751774193548385,24744061.29032258
2022-09-30,SMCI,USD,1375365,2022-11-04,2022-11-04 16:31:57,2023,Q1,1852130000.0,1504595000.0,347535000.0,0.1876407164,74243000,23806000.0,29363000.0,53169000.0,8054000.0,127412000.0,1632007000.0,3684000.0,3938000.0,8547000.0,228670000.0,0.1234632558,220123000.0,0.1188485689,4116000.0,224239000.0,0.1210708752,38934000.0,184416000.0,0.0995696846,0.35,0.34,525980000,550170000,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000119/0001375365-22-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000119/smci-20220930.htm,3.521293585307426,0.3506140917905623,0.5961956728392714,0.5757652382219857,0.4560211414882695,3.0898570287843645,3.0898570287843645,3.089539526217727,0.4822654853796722,2898149800.0,2909605800.0,3.928820980825958,1.564765864167202,9.24193222295567,9.569872639437856,1.783437290004652,1.783437290004652,1.570951175133495,12.724038133554904,9.27846434960633,9.607701070858964,0.0636323215590857,0.1044945985883821,0.1536729032464511,0.0756445297176885,0.0500983950671273,2.1279560795208945,55.89715591670899,1.7004327173347216,0.0,0.0,0.0128533094329231,0.0400851992030797,0.0,0.0342680021812128,0.0058019685443246,1.2572832572832573,0.005946666810645,4.936882836194022,0.0884719129171002,0.0558619179270604,-0.0303443096695691,1526525000.0,1625203000.0,1203800000.0,1817277000.0,785412500.0,720214000.0,1640830500.0,35.779389135751806,46.95765305613803,103.84518757539404,2.5154146611762407,1.9166204897933188,0.8666747309273035,0.1134842551180404,0.0204304346172858,2022-11-01,0.31,amc,1654274800.0,2025-05-07,2022-09-30,0.0967741935483871,9.02306451612903,15443058.387096774
