date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,SO,USD,92122,2025-05-01,2025-04-30 17:36:57,2025,Q1,7775000000.0,4034000000.0,3741000000.0,0.4811575563,0,0.0,0.0,0.0,1731000000.0,1731000000.0,5765000000.0,0.0,714000000.0,1411000000.0,3675000000.0,0.4726688103,2010000000.0,0.2585209003,-460000000.0,1550000000.0,0.1993569132,280000000.0,1334000000.0,0.1715755627,1.2127272727272729,1.2072398190045248,1100000000,1105000000,https://www.sec.gov/Archives/edgar/data/92122/000009212225000042/0000092122-25-000042-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212225000042/so-20250331.htm,7.068181818181818,1.2127272727272729,1.1363636363636365,-1.079090909090909,0.0,-100.80545454545457,-100.80545454545457,30.762727272727272,63.74545454545454,101145000000.0,171265000000.0,18.95520989505248,13.009003215434085,80.916,-85.2106149957877,2.9890067673394607,2.9890067673394607,22.02765273311897,80.70923656927427,137.012,-144.2839090143218,0.0131889861090513,-0.0117356270700479,2.0721652531103163,0.0,33.044297832233745,0.0,0.0,0.984251968503937,0.0072766819912007,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029581993569131,28.97245179148491,-0.2036230496793337,0.0,-100.80545454545457,-13770000000.0,-110886000000.0,-110886000000.0,-13770000000.0,2144500000.0,3397500000.0,1684500000.0,0.0,125.65884476534296,0.0,0.0,0.7162249515190692,0.0,0.0394219687343006,0.0,2025-05-01,1.2,bmo,7154269072.0,2025-05-11,2025-03-31,0.025,86.56508333333333,5081294.866666666
2024-12-31,SO,USD,92122,2025-02-20,2025-02-19 17:55:26,2024,Q4,6341000000.0,3680000000.0,2661000000.0,0.4196498975,0,0.0,0.0,0.0,1603000000.0,1603000000.0,5283000000.0,0.0,693000000.0,1350000000.0,2529000000.0,0.3988329916,1058000000.0,0.1668506545,-513000000.0,545000000.0,0.0859485886,79000000.0,534000000.0,0.0842138464,0.49,0.48,1098000000,1102000000,https://www.sec.gov/Archives/edgar/data/92122/000009212225000018/0000092122-25-000018-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212225000018/so-20241231.htm,5.77504553734062,0.4863387978142076,1.9790528233151183,-0.5245901639344263,0.9744990892531876,33.400728597449906,28.39799635701275,30.24408014571949,60.99271402550091,90387360000.0,155594360000.0,42.316179775280894,14.25443305472323,41.59565577542568,-156.9225,2.72185497470489,2.72185497470489,24.53782684119224,61.52406484776592,71.6034790612057,-270.12909722222224,0.0059079057071696,-0.006372572448183,1.995814261623705,0.4565160490425679,25.783708975879797,0.6686675420496467,1.5266955266955269,4.663090128755365,0.0081206044738998,1.3745318352059923,0.0,0.0,0.0378357900537264,1.2650713299585823,0.4335278347263838,2.0378057820607856,0.0018924459864374,18.192019281239222,0.0066791087919648,0.0038228324754629,-93.38319672131148,-5299000000.0,31181000000.0,-97812000000.0,106937000000.0,4353000000.0,3825500000.0,3377000000.0,60.87525626872733,90.51358695652172,82.39402173913044,1.4784332012124035,0.9943258578762496,1.0923122588305134,0.0160804625391471,2.5036429872495445,2025-02-20,0.506,bmo,5902298727.0,2025-05-11,2024-12-31,-0.0118577075098814,87.7328125,4077969.09375
2024-09-30,SO,USD,92122,2024-10-31,2024-10-30 18:17:34,2024,Q3,7274000000.0,3321000000.0,3953000000.0,0.5434423976,0,0.0,0.0,152000000.0,1433000000.0,1585000000.0,4906000000.0,0.0,692000000.0,1344000000.0,3900000000.0,0.5361561727,2368000000.0,0.32554303,-456000000.0,1912000000.0,0.2628540005,377000000.0,1535000000.0,0.2110255705,1.4,1.39,1097000000,1103000000,https://www.sec.gov/Archives/edgar/data/92122/000009212224000089/0000092122-24-000089-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212224000089/so-20240930.htm,6.63081130355515,1.3992707383773928,3.2962625341841387,1.1896080218778486,0.9279854147675478,33.641750227894256,28.626253418413857,30.353691886964448,59.95806745670009,98927460000.0,162991460000.0,16.11196416938111,13.600145724498212,27.35825774336283,75.80648275862069,2.9709730314132985,2.9709730314132985,22.40740445422051,41.79268205128205,45.07507190265487,124.8976704980843,0.0155164198090196,0.0131914839418701,1.9545318037119344,0.4520964739225874,16.426666666666666,0.9075215782983972,3.421965317919075,2.355700325732899,0.0074094695244374,0.4775244299674267,0.0,0.0,0.0382200116702325,0.6391039823008849,0.3177069012922738,1.7194940476190477,0.0031619466593346,30.913479896817407,0.0141500525939977,0.0110867147211348,-92.09457611668186,-1125000000.0,31403000000.0,-96011000000.0,109346000000.0,4346500000.0,3197500000.0,3336000000.0,54.65081110805609,107.0460704607046,91.73441734417344,1.6468191079918495,0.8407594936708861,0.98109305760709,0.0460988647966844,2.10665451230629,2024-10-31,1.34,bmo,7141813743.0,2025-04-25,2024-09-30,0.0671641791044775,85.4209375,4143755.859375
2024-06-30,SO,USD,92122,2024-06-30,2024-06-28 20:00:00,2024,Q2,6463000000.0,4167000000.0,2296000000.0,0.3552529785,0,0.0,0.0,153000000.0,-384000000.0,384000000.0,4551000000.0,0.0,694000000.0,1310000000.0,3475000000.0,0.5376760019,1912000000.0,0.2958378462,-461000000.0,1478000000.0,0.2286863686,290000000.0,1203000000.0,0.1861364691,1.1,1.09,1096000000,1102000000,,,5.896897810218978,1.0976277372262773,2.452554744525548,0.3822992700729927,1.0930656934306568,32.94799270072993,27.91970802919708,29.60675182481752,60.41332116788321,84392000000.0,148713000000.0,17.5378221113882,13.057713136314405,31.39583333333333,201.4128878281623,2.600758112730747,2.600758112730747,23.009902522048584,42.79510791366906,55.324776785714285,354.9236276849642,0.0142549056782633,0.0049649255853635,2.019137723812752,0.4616062055700768,18.509640287769784,0.9139507815098104,2.755043227665706,2.2344139650872816,0.0089344961607735,0.6267664172901081,0.0,0.0,0.0388270852561347,0.8441220238095238,0.3510753520037134,1.7320610687022902,0.0021661766981278,27.040466347164287,0.0114488243414815,0.0088179672496444,-91.03786496350364,-1035000000.0,30600000000.0,-94833000000.0,107794000000.0,4111000000.0,2299500000.0,3277500000.0,59.54510289339317,52.80777537796976,70.99352051835854,1.5114593077642655,1.7042944785276073,1.267721326437481,0.0370735615889549,2.0702554744525545,2024-08-01,0.92,bmo,6099184161.0,2025-04-25,2024-06-30,0.1956521739130435,75.78079365079364,4708152.253968254
2024-03-31,SO,USD,92122,2024-05-02,2024-05-01 17:41:06,2024,Q1,6646000000.0,4569000000.0,2077000000.0,0.3125188083,0,0.0,0.0,153000000.0,-396000000.0,396000000.0,4965000000.0,0.0,665000000.0,1260000000.0,3181000000.0,0.4786337647,1681000000.0,0.2529340957,-409000000.0,1294000000.0,0.1947035811,223000000.0,1129000000.0,0.1698766175,1.03,1.03,1094000000,1100000000,https://www.sec.gov/Archives/edgar/data/92122/000009212224000042/0000092122-24-000042-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212224000042/so-20240331.htm,6.074954296160877,1.0319926873857403,1.1983546617915906,-0.5457038391224863,0.7422303473491774,32.553930530164536,27.508226691042047,29.177330895795247,60.247714808043874,77783400000.0,142217400000.0,17.22395925597874,11.70379175443876,59.33135011441647,-130.29045226130654,2.4368233082706765,2.4368233082706765,21.398946734878123,44.70839358692235,108.48009153318078,-238.22010050251257,0.0145146650827811,-0.0076751594813289,2.044047619047619,0.4656437339423351,20.25589437283873,0.9201431314365508,2.5278195488721806,1.1612046058458814,0.0094236045223016,0.6492471213463242,0.0,0.0,0.0393948044533257,1.4553775743707094,0.2870899789346975,1.5142857142857142,0.0124887150165513,26.02869229797439,0.0104409350539809,0.0083878157503714,-90.58546617915906,-915000000.0,30094000000.0,-93963000000.0,106475000000.0,3954500000.0,2526000000.0,3310000000.0,53.43665362624135,42.429415627051874,64.37294812869337,1.6842372022301064,2.1211699164345403,1.3981028151774786,0.0353696741854636,1.7440585009140768,2024-05-02,0.91,bmo,6590796587.0,2025-04-25,2024-03-31,0.1318681318681318,69.03081967213114,4607904.4754098365
2023-12-31,SO,USD,92122,2023-12-31,2023-12-30 19:00:00,2023,Q4,6045000000.0,3557000000.0,2488000000.0,0.411579818,0,0.0,0.0,148000000.0,125000000.0,1281000000.0,4838000000.0,0.0,634000000.0,1287000000.0,2642000000.0,0.4370554177,1207000000.0,0.1996691481,-407000000.0,800000000.0,0.1323407775,4000000.0,855000000.0,0.141439206,0.78,0.78,1092000000,1092000000,,,5.535714285714286,0.782967032967033,1.6602564102564104,-0.6602564102564102,0.684981684981685,32.25732600732601,27.194139194139197,28.7948717948718,58.72161172161172,76571040000.0,139313040000.0,22.38919298245614,12.66683870967742,42.23444015444016,-106.20116504854369,2.4351558325912737,2.4351558325912737,23.045995037220845,52.73014383043149,76.8411693325979,-193.22196948682387,0.0111661014399177,-0.0094160925592756,2.019145146927872,0.4556774874220382,23.74791824375473,0.774634291230415,1.9037854889589905,2.277638190954774,0.009977662573213,0.8935672514619883,0.0,0.0,0.0396824827210025,1.3976833976833978,0.4191894127377998,1.968919968919969,0.0029776674937965,22.522706209793697,0.0091790930700031,0.0063900390128697,-90.39354395604396,-3035000000.0,29696000000.0,-93674000000.0,104435000000.0,3986000000.0,2920000000.0,3250000000.0,59.00248138957816,73.32583637897103,84.81304470059038,1.5253595760787282,1.227398205659075,1.0611575178997614,0.0271911970487215,2.3205128205128207,2024-02-15,0.6,bmo,6896745093.0,2025-04-25,2023-12-31,0.0666666666666667,68.6704761904762,4542001.380952381
2023-09-30,SO,USD,92122,2023-09-30,2023-09-29 20:00:00,2023,Q3,6980000000.0,3226000000.0,3754000000.0,0.5378223496,0,0.0,0.0,150000000.0,141000000.0,1644000000.0,4870000000.0,620000000.0,620000000.0,1263000000.0,3523000000.0,0.5047277937,2110000000.0,0.3022922636,-381000000.0,1729000000.0,0.2477077364,297000000.0,1422000000.0,0.2037249284,1.3,1.29,1092000000,1099000000,,,6.391941391941392,1.3021978021978022,2.600732600732601,0.1620879120879121,1.534798534798535,32.32967032967033,27.25824175824176,28.73351648351648,57.62454212454213,70674240000.0,131304240000.0,12.425147679324894,10.12524928366762,24.885295774647886,399.2894915254237,2.252421837651783,2.252421837651783,18.81149570200573,37.27057621345444,46.23388732394366,741.8318644067797,0.0201204852008313,0.0025044485798503,1.9857220256876056,0.4504449794319011,17.20976440533636,0.8391100348115635,3.403225806451613,1.984626135569532,0.010824311658675,0.5379746835443038,0.0,0.0,0.0400373045307653,0.9376760563380282,0.3815186246418338,2.1084718923198733,0.0011461318051575,29.0151037447846,0.013433419164674,0.0107092022322134,-88.60828754578755,-2126000000.0,29766000000.0,-91929000000.0,103784000000.0,3877500000.0,2717500000.0,3055500000.0,51.6919770773639,82.07687538747675,87.82393056416615,1.7410825642304817,1.096532970768185,1.0247776365946633,0.0453198202505019,2.438644688644689,2023-11-02,1.32,bmo,8325940000.0,2025-04-25,2023-09-30,0.0757575757575756,69.40238095238095,3719946.3333333335
2023-06-30,SO,USD,92122,2023-08-03,2023-08-02 17:39:05,2023,Q2,5748000000.0,3006000000.0,2742000000.0,0.4770354906,0,0.0,0.0,146000000.0,142000000.0,1452000000.0,4458000000.0,610000000.0,610000000.0,1203000000.0,2641000000.0,0.4594641614,1290000000.0,0.2244258873,-369000000.0,921000000.0,0.1602296451,98000000.0,838000000.0,0.1457898399,0.77,0.76,1092000000,1098000000,https://www.sec.gov/Archives/edgar/data/92122/000009212223000070/0000092122-23-000070-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212223000070/so-20230630.htm,5.263736263736264,0.7673992673992674,1.8827838827838828,0.0073260073260073,1.944139194139194,31.72893772893773,26.6492673992674,28.087912087912088,57.696886446886445,76713000000.0,136985000000.0,22.88573985680191,13.346033402922757,37.31177042801556,9589.125,2.5010758998435056,2.5010758998435056,23.83176757132916,51.86861037485801,66.62694552529183,17123.125,0.0109238329878899,0.0001042848017936,2.0342657798643717,0.4550526561451617,22.82165846270352,0.8292296072507553,2.114754098360656,2.4981773997569867,0.0099591985712982,0.9116945107398567,0.0,0.0,0.0404547973978237,0.9961089494163424,0.3562978427279054,1.7024106400665004,0.0033054975643702,22.02224945545691,0.008882164233222,0.0063692815176827,-87.96153846153847,-2261000000.0,29101000000.0,-91489000000.0,102152000000.0,3573000000.0,2429000000.0,2856500000.0,58.65344467640919,74.64071856287426,88.7125748502994,1.5344367325146824,1.2057761732851986,1.0145123185960176,0.0273213354199269,1.875457875457876,2023-08-03,0.75,bmo,6472660000.0,2025-04-25,2023-06-30,0.0533333333333333,71.71612903225805,4092747.4516129033
2023-03-31,SO,USD,92122,2023-04-27,2023-04-26 18:21:10,2023,Q1,6480000000.0,3757000000.0,2723000000.0,0.4202160494,0,0.0,0.0,0.0,1505000000.0,1505000000.0,5262000000.0,0.0,582000000.0,1233000000.0,2711000000.0,0.4183641975,1218000000.0,0.187962963,-322000000.0,896000000.0,0.1382716049,97000000.0,862000000.0,0.1330246914,0.79,0.79,1091139240,1098000000,https://www.sec.gov/Archives/edgar/data/92122/000009212223000028/0000092122-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212223000028/so-20230331.htm,5.938747102523781,0.7900000003665893,0.7735034806373566,-0.9219721582004512,0.9650464041601144,31.67515082676341,26.58139212370366,27.9780974607787,56.02584689374749,75921468319.2,135418468319.2,22.018987331554523,11.716275975185184,89.95434634976303,-75.46865638091451,2.486945372091195,2.486945372091195,20.89791177765432,49.95148222766507,160.44842217914692,-134.61080349821074,0.0113538373148403,-0.0132505340356489,1.9834250524109016,0.4493306420493336,21.946514201401698,0.6877564240984668,2.0927835051546397,1.0563204005006257,0.0097732567141664,0.8607888631090487,0.0,0.0,0.0412449167384012,2.191943127962085,0.2854938271604938,1.5004055150040552,0.0141975308641975,22.300463730517176,0.0084868660092671,0.0066719299060356,-87.26292347436795,-4338000000.0,29004000000.0,-90639000000.0,98971000000.0,3558000000.0,2945000000.0,2713500000.0,47.22222222222222,56.65424540857067,65.8770295448496,1.9058823529411764,1.5885835095137422,1.3661818181818182,0.0282363731656184,1.6954756388378078,2023-04-27,0.71,bmo,6145250000.0,2025-04-25,2023-03-31,0.1126760563380282,67.3324193548387,4414957.661290322
2022-12-31,SO,USD,92122,2023-02-16,2023-02-15 17:59:03,2022,Q4,7047000000.0,5188000000.0,1859000000.0,0.2638001987,0,0.0,0.0,164000000.0,1474000000.0,1474000000.0,6662000000.0,562000000.0,561000000.0,935000000.0,1533000000.0,0.2175393785,513000000.0,0.0727969349,-372000000.0,-234000000.0,-0.0332056194,-96000000.0,-138000000.0,-0.0195828012,-0.13,-0.13,1090000000,1090000000,https://www.sec.gov/Archives/edgar/data/92122/000009212223000012/0000092122-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212223000012/so-20221231.htm,6.465137614678899,-0.1266055045871559,1.1788990825688073,-1.0422018348623854,7.418348623853211,31.680733944954127,26.573394495412845,27.89724770642201,54.76697247706422,77836900000.0,135054900000.0,-141.00887681159418,11.04539520363275,60.57346303501946,-68.51839788732394,2.559750723493817,2.559750723493817,19.164878671775224,88.09843444227006,105.10108949416342,-118.88635563380282,-0.0017729380281074,-0.0145946202893486,1.94471849513286,0.4383909971754972,37.32420091324201,0.6624268633935385,0.9144385026737968,-9.31159420289855,0.0095199063683163,-5.369565217391305,0.0,0.0,0.0412703590306247,1.884046692607004,0.3435504469987228,2.470408163265306,0.0015609479211011,,0.0023961924118745,-0.0010670873155794,-80.86926605504587,-5308000000.0,28965000000.0,-89943000000.0,96962000000.0,3492500000.0,3302000000.0,2679000000.0,47.45849297573435,61.15073245952197,46.43986121819584,1.896393972012917,1.47177304964539,1.9379902876354127,-0.0045382794001578,2.2211009174311926,2023-02-16,0.24,bmo,4993761945.0,2025-04-25,2022-12-31,0.0833333333333334,66.8631746031746,4691552.476190476
