date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,SOLV,USD,1964738,2025-02-28,2025-02-28 16:56:56,2024,Q4,2074000000.0,955000000.0,1119000000.0,0.5395371263,199000000,0.0,0.0,784000000.0,0.0,983000000.0,1938000000.0,0.0,107000000.0,148000000.0,268000000.0,0.1292189007,136000000.0,0.0655737705,-123000000.0,13000000.0,0.006268081,-17000000.0,30000000.0,0.0144648023,0.17,0.17,173400000,174500000,https://www.sec.gov/Archives/edgar/data/1964738/000196473825000019/0001964738-25-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1964738/000196473825000019/solv-20241231.htm,11.96078431372549,0.1730103806228373,1.2629757785467128,0.5305651672433679,4.3944636678200695,17.064590542099193,-34.38292964244521,17.064590542099193,46.81084198385236,11454804000.0,18702804000.0,95.4567,5.5230491803278685,52.30504109589041,124.50873913043478,3.8711740452855694,3.8711740452855694,9.017745419479269,69.78658208955224,85.40093150684932,203.29134782608696,0.0026189885047356,0.008031564747856,2.70699560662386,0.5540568582693505,27.044776119402982,1.201997780244173,1.2710280373831775,0.0,0.0,0.0,0.0,0.0959498553519768,0.6170713149339421,0.5799086757990868,0.0612343297974927,0.8466666666666667,0.0,8.150331549046497,0.0262544883592231,0.0054190751445086,-53.81632064590542,546000000.0,-5962000000.0,-8249000000.0,11089000000.0,1167000000.0,589000000.0,959000000.0,53.33172613307618,58.24083769633507,90.94240837696334,1.6875508543531326,1.5453074433656957,0.9896373056994818,0.0101385603244339,0.7324106113033448,2025-02-27,1.31,amc,2050776143.0,2025-05-09,2024-12-31,0.0763358778625953,70.00546875,906465.921875
2024-09-30,SOLV,USD,1964738,2024-11-08,2024-11-08 15:57:45,2024,Q3,2082000000.0,917000000.0,1165000000.0,0.5595581172,189000000,0.0,0.0,701000000.0,0.0,890000000.0,1807000000.0,0.0,107000000.0,133000000.0,407000000.0,0.1954851105,275000000.0,0.1320845341,-108000000.0,167000000.0,0.0802113353,45000000.0,122000000.0,0.0585975024,0.7,0.7,173400000,173900000,https://www.sec.gov/Archives/edgar/data/1964738/000196473824000044/0001964738-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1964738/000196473824000044/solv-20240930.htm,12.006920415224911,0.7035755478662054,0.9746251441753172,0.4382929642445213,4.4521337946943484,18.408304498269896,-34.8961937716263,18.408304498269896,47.38177623990773,12089448000.0,19426448000.0,24.77345901639344,5.806651296829971,71.53519526627218,159.0716842105263,3.787421052631579,3.787421052631579,9.330666666666668,47.73083046683047,114.94939644970414,255.61115789473683,0.0100914450353729,0.0062864739564618,2.5404135338345863,0.5499491353001017,18.027027027027028,1.1549586776859504,2.5700934579439254,1.3852459016393444,0.0,0.0,0.0,0.0907780979827089,0.6268565615462869,0.5502958579881657,0.0446685878962536,0.6992481203007519,0.0129682997118155,17.07078617872677,0.0165470886741466,0.0221737549981824,-54.64677047289504,450000000.0,-6051000000.0,-8199000000.0,11292000000.0,1066500000.0,527500000.0,926000000.0,47.766570605187326,54.96183206106871,93.53326063249727,1.8841628959276016,1.6375,0.962224554039874,0.0382205513784461,0.5363321799307958,2024-11-07,1.39,amc,2056356714.0,2025-04-07,2024-09-30,0.1798561151079137,60.1428125,1367655.375
2024-06-30,SOLV,USD,1964738,2024-08-09,2024-08-09 13:54:10,2024,Q2,2081000000.0,944000000.0,1137000000.0,0.5463719366,192000000,0.0,0.0,701000000.0,-34000000.0,893000000.0,1837000000.0,114000000.0,114000000.0,133000000.0,377000000.0,0.1811629025,244000000.0,0.1172513215,-148000000.0,96000000.0,0.0461316675,7000000.0,89000000.0,0.0427679,0.51,0.51,173200000,173500000,https://www.sec.gov/Archives/edgar/data/1964738/000196473824000020/0001964738-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1964738/000196473824000020/solv-20240630.htm,12.01501154734411,0.5138568129330254,2.0496535796766744,1.7147806004618935,5.178983833718245,16.55311778290993,-36.39722863741339,16.55311778290993,52.14203233256351,8911140000.0,16931140000.0,25.03129213483146,4.28214320038443,25.101802816901408,30.003838383838385,3.1081757935123826,3.1081757935123826,8.136059586737145,44.91018567639257,47.69335211267606,57.00720538720539,0.0099874987936448,0.0333290690080057,3.110219741890478,0.6116751269035533,21.27320954907162,1.308051341890315,2.1403508771929824,3.988764044943821,0.0,0.0,0.0,0.0922633349351273,0.6290986417889971,0.1633802816901408,0.027871215761653,0.4360902255639097,0.0269101393560788,13.834141745359537,0.0188397046167513,0.016460144257444,-55.38972286374134,792000000.0,-6304000000.0,-8348000000.0,11500000000.0,1124000000.0,541000000.0,900000000.0,44.45939452186448,47.192796610169495,85.70974576271188,2.02431906614786,1.9070707070707071,1.050055617352614,0.0310429019881409,0.3348729792147806,2024-08-08,1.51,amc,2048898000.0,2025-04-07,2024-06-30,0.0331125827814569,60.70412698412699,2512341.0634920634
2024-03-31,SOLV,USD,1964738,2024-05-10,2024-05-10 09:13:00,2024,Q1,2016000000.0,843000000.0,1173000000.0,0.5818452381,195000000,0.0,0.0,596000000.0,-13000000.0,791000000.0,1634000000.0,0.0,39000000.0,139000000.0,520000000.0,0.2579365079,382000000.0,0.189484127,-52000000.0,329000000.0,0.1631944444,92000000.0,237000000.0,0.1175595238,1.37,1.37,172700000,172700000,https://www.sec.gov/Archives/edgar/data/1964738/000196473824000013/0001964738-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1964738/000196473824000013/solv-20240331.htm,11.673422119281993,1.3723219455703533,2.5593514765489287,1.9687319050376373,5.76722640416908,22.29878401852924,-31.42443543717429,22.29878401852924,48.30341632889404,11933569999.999998,19240570000.0,12.588154008438815,5.919429563492063,26.999027149321265,35.09873529411764,3.0988236821604778,3.0988236821604778,9.543933531746031,37.00109615384616,43.530701357466064,56.58991176470588,0.019859941325186,0.0284910550656676,2.1560633601661907,0.5644075861600163,14.051923076923076,1.8117583603020493,9.794871794871796,1.8649789029535864,0.0,0.0,0.0,0.0967261904761904,0.6306845217864183,0.2307692307692307,0.050595238095238,0.7338129496402878,0.0019841269841269,26.239759717528397,0.0214030746913736,0.0436223081170623,-49.20961204400695,1505000000.0,-5427000000.0,-7501000000.0,12274000000.0,1256500000.0,527500000.0,885000000.0,54.46428571428572,62.66903914590747,96.19217081850536,1.6524590163934427,1.4361158432708687,0.9356270810210876,0.0615424565048039,0.5906195715112913,2024-05-09,1.75,bmo,1966000000.0,2025-04-07,2024-03-31,0.1885714285714286,74.85000000000001,1225931.0
2023-12-31,SOLV,USD,1964738,2023-12-31,2023-12-30 19:00:00,2023,Q4,2095000000.0,980000000.0,1115000000.0,0.5322195704,190000000,0.0,0.0,575000000.0,-171000000.0,765000000.0,1745000000.0,0.0,0.0,139000000.0,489000000.0,0.2334128878,350000000.0,0.1670644391,-171000000.0,179000000.0,0.0854415274,106000000.0,73000000.0,0.0348448687,0.42,0.42,172466022,172466022,,,12.147320241432832,0.4232717792957502,3.171639222942128,2.661393790366429,3.478946131197947,19.766212268756338,-34.951812131435375,19.766212268756338,48.14281621222759,13797281760.0,21500281760.0,47.25096493150685,6.585814682577565,25.22354983546618,30.05943738562091,4.047310577882077,4.047310577882077,10.26266432458234,43.9678563599182,39.30581674588665,46.84157246187364,0.0052908972411968,0.0332674223795803,2.4356116163097683,0.5775196494400779,15.752556237218814,1.6465273856578204,0.0,2.011029411764706,0.0,0.0,0.0,0.0906921241050119,0.6563956319120818,0.1608775137111517,0.0420047732696897,0.6330935251798561,0.0033412887828162,13.720269542943193,0.0112969869543013,0.0147773279352226,-51.97400563920933,1145000000.0,-6028000000.0,-8052000000.0,12048000000.0,1223000000.0,422500000.0,859000000.0,55.54653937947494,42.9795918367347,79.8061224489796,1.620262954369683,2.094017094017094,1.1277330264672036,0.0214139043707832,0.5102454325756989,2023-12-30,,amc,,2025-04-07,2023-12-31,,,
2023-09-30,SOLV,USD,1964738,2023-09-30,2023-09-29 20:00:00,2023,Q3,2054000000.0,901000000.0,1153000000.0,0.5613437196,179000000,0.0,0.0,581000000.0,-110000000.0,760000000.0,1661000000.0,0.0,0.0,144000000.0,537000000.0,0.2614410906,393000000.0,0.1913339825,-110000000.0,283000000.0,0.1377799416,-2000000.0,285000000.0,0.1387536514,1.65,1.65,172466022,172466022,,,11.909592255800971,1.6524994123190249,2.858534071134313,2.475849996702539,2.899121775998289,18.84429154398888,-35.53743473018703,18.84429154398888,48.27037757037152,13797281760.0,21622281760.0,12.102878736842104,6.7172744693281405,27.986372738336712,32.31213526932084,4.245317464615384,4.245317464615384,10.526914196689386,40.26495672253259,43.85858369168357,50.63766220140515,0.0206562426539878,0.0309481249587817,2.5615384615384613,0.6000864989548043,14.57169459962756,1.805574439157036,0.0,1.0717391304347823,0.0,0.0,0.0,0.0871470301850048,0.676061414257911,0.1338742393509127,0.0321324245374878,0.4583333333333333,0.0029211295034079,26.469870906281823,0.0319123839025165,0.0634178905206942,-51.22023397744977,1185000000.0,-6129000000.0,-7967000000.0,11935000000.0,1173500000.0,370000000.0,856000000.0,50.52093476144109,37.65815760266371,84.80577136514982,1.7814397224631395,2.389920424403183,1.061248527679623,0.0876923076923077,0.3826840744317741,2023-09-29,,amc,,2025-04-07,2023-09-30,,,
2023-06-30,SOLV,USD,1964738,2023-06-30,2023-06-29 20:00:00,2023,Q2,2043500000.0,880500000.0,1163000000.0,0.5691216051,194000000,0.0,0.0,558500000.0,-287000000.0,775000000.0,1655500000.0,0.0,0.0,133000000.0,550000000.0,0.2691460729,410500000.0,0.2008808417,-4000000.0,388000000.0,0.1898703205,81000000.0,321000000.0,0.1570834353,1.78,1.78,172466022,172466022,,,11.848710698505007,1.8612361801909016,2.1221571400307475,1.7104818478389905,2.899121775998289,22.98423744011444,-32.55713754446079,22.98423744011444,48.22399162195554,13797281760.0,21614281760.0,10.745546542056074,6.751789459261071,37.69749114754099,46.77044664406779,3.4806462563067604,3.4806462563067604,10.577089190114998,39.29869410909091,59.05541464480874,73.26875172881356,0.0232654522523862,0.0213810230979873,2.098133198789102,0.5811613444203759,14.212727272727273,1.924929178470255,0.0,1.1401869158878504,0.0,0.0,0.0,0.0949351602642525,0.6693452588917616,0.1939890710382513,0.0347443112307315,0.5338345864661654,0.0039148519696598,31.024661508175782,0.0250658153304172,0.0678360101437024,-49.401035063010845,1306000000.0,-5615000000.0,-7629000000.0,12333000000.0,597000000.0,367500000.0,871500000.0,52.58624908245657,37.10391822827938,88.21124361158432,1.7114740368509214,2.425619834710744,1.0202780996523757,0.0809788092835519,0.411675292191757,2023-06-29,,amc,,2025-04-07,2023-06-30,,,
2023-03-31,SOLV,USD,1964738,2023-03-31,2023-03-30 20:00:00,2023,Q1,2043500000.0,880500000.0,1163000000.0,0.5691216051,194000000,0.0,0.0,558500000.0,-2000000.0,775000000.0,1655500000.0,0.0,0.0,145000000.0,510000000.0,0.2495718131,410500000.0,0.2008808417,-2000000.0,388000000.0,0.1898703205,81000000.0,293000000.0,0.1433814534,1.78,1.78,172466022,172466022,,,11.848710698505007,1.6988853607349974,2.9513059679662583,2.5744201370864808,0.3536928566717913,68.00759862136786,12.443030662584658,68.08297578754382,0.5102454325756989,13797281760.0,13946281760.0,11.772424709897612,6.751789459261071,27.106643929273083,31.07495891891892,1.175036770567195,1.175036770567195,6.824703577195987,27.34565050980392,27.3993747740668,31.410544504504504,0.0212360670091874,0.032180251713581,0.0074944643161301,0.0064511399457517,0.292156862745098,0.0441389290882778,0.0,1.7372013651877134,0.0,0.0,0.0,0.0949351602642525,0.7025144784106737,0.1277013752455795,0.0318081722534866,0.4482758620689655,0.0088084169317347,51.01437390399399,-0.2350237590821609,0.0722030556924593,-8.181321651867172,-1321000000.0,2146000000.0,-1851000000.0,9621000000.0,585500000.0,360000000.0,876500000.0,0.0,38.02385008517887,89.94889267461669,0.0,2.3669354838709675,1.0005681818181815,0.0249531595980241,0.3768858308797775,2023-03-30,,amc,,2025-04-07,2023-03-31,,,
2022-12-31,SOLV,USD,1964738,2022-12-31,2022-12-30 19:00:00,2022,Q4,2005000000.0,896000000.0,1109000000.0,0.553117207,186000000,0.0,0.0,541000000.0,0.0,726000000.0,1622000000.0,0.0,0.0,151000000.0,533000000.0,0.2658354115,382000000.0,0.1905236908,-732000000.0,383000000.0,0.1910224439,76000000.0,307000000.0,0.153117207,1.78,1.78,172466022,172466022,,,11.62547832175314,1.7800607704629494,2.586016624190474,2.1105606529267544,0.3536928566717913,68.08297578754382,11.921188742904963,68.08297578754382,0.3942805615357673,13797281760.0,13804281760.0,11.235571465798046,6.881437286783043,30.93560932735426,37.90462021978022,1.175036770567195,1.175036770567195,6.884928558603491,25.89921530956848,30.95130439461883,37.92385098901099,0.0222507596307868,0.0263820081615844,0.0057911769715551,0.0050022068559658,0.0131332082551594,1.7017543859649122,0.0,1.4527687296416938,0.0,0.0,0.0,0.0927680798004987,0.7125202295130204,0.1838565022421524,0.0408977556109725,0.543046357615894,0.0019950124688279,52.21892638263616,0.0248739588481206,0.0785568065506653,-2.7614134916383706,920000000.0,2056000000.0,379000000.0,11925000000.0,,,,52.56359102244389,34.95535714285714,87.68973214285714,1.7122117847993168,2.574712643678161,1.0263459335624283,0.0261454607392267,0.4754559712637194,2022-12-30,,amc,,2025-04-07,2022-12-31,,,
2022-09-30,SOLV,USD,1964738,2022-09-30,2022-09-29 20:00:00,2022,Q3,2009000000.0,860000000.0,1149000000.0,0.5719263315,183000000,0.0,0.0,543000000.0,0.0,726000000.0,1586000000.0,0.0,0.0,142000000.0,565000000.0,0.281234445,423000000.0,0.2105525137,0.0,423000000.0,0.2105525137,88000000.0,335000000.0,0.1667496267,1.94,1.94,172466022,172466022,,,11.648671295961126,1.9424115899188537,2.875928801790302,2.545428919326498,,,,,,13797281760.0,,10.296478925373137,6.867736067695371,27.817100322580647,31.42888783599089,0.0,0.0,,,,,0.0242801448739856,0.0318178614915812,0.0,0.0,,0.0,0.0,1.480597014925373,0.0,0.0,0.0,0.0910900945744151,0.0,0.1149193548387096,0.0283723245395719,0.4014084507042254,0.0034843205574912,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3304998824638049,2022-09-29,,amc,,2025-04-07,2022-09-30,,,
