date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,SPGI,USD,64040,2025-04-29,2025-04-29 17:20:35,2025,Q1,3777000000.0,1153000000.0,2624000000.0,0.6947312682,0,0.0,0.0,0.0,1046000000.0,1046000000.0,2199000000.0,0.0,78000000.0,293000000.0,1866000000.0,0.4940428912,1578000000.0,0.4177918983,-82000000.0,1496000000.0,0.3960815462,325000000.0,1090000000.0,0.2885888271,3.55,3.54,307300000,307700000,https://www.sec.gov/Archives/edgar/data/64040/000006404025000126/0000064040-25-000126-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404025000126/spgi-20250331.htm,12.290920924178328,3.5470224536283763,3.10120403514481,2.9612756264236904,4.780344939798243,122.7627725349821,-44.06768630003254,108.59420761470876,39.02050113895216,156139130000.0,166583130000.0,35.811727064220186,41.33945724119672,163.8395907660021,171.58146153846153,4.678886757963501,4.678886757963501,44.10461477362986,89.27284565916399,174.79866736621196,183.05838461538465,0.0069809534611855,0.0058281354584209,0.3569866051361961,0.1989179982968491,5.596998928188639,0.902027027027027,20.23076923076923,0.8138343296327925,0.0018893406156419,0.2706422018348624,0.0,0.0,0.8560336622752092,0.0451206715634837,0.0113846968493513,0.1467576791808873,0.0124437384167328,93.09504329837036,0.0228856782938747,0.1264207840408258,-67.34461438333875,-580000000.0,-13542000000.0,-16824000000.0,51365000000.0,1433500000.0,276500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326630907075005,0.1399284087211194,2025-04-29,4.2,bmo,3698163137.0,2025-05-11,2025-03-31,0.0404761904761904,510.968,1384279.05
2024-12-31,SPGI,USD,64040,2025-02-11,2025-02-11 17:29:21,2024,Q4,3592000000.0,1114000000.0,2478000000.0,0.6898663697,0,0.0,0.0,919000000.0,250000000.0,1169000000.0,2283000000.0,0.0,70000000.0,300000000.0,1624000000.0,0.4521158129,1309000000.0,0.3644209354,-55000000.0,1254000000.0,0.3491091314,287000000.0,880000000.0,0.2449888641,2.83,2.85,311600000,311900000,https://www.sec.gov/Archives/edgar/data/64040/000006404025000052/0000064040-25-000052-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404025000052/spgi-20241231.htm,11.52759948652118,2.82413350449294,5.58408215661104,5.478177150192555,5.410783055198973,120.37227214377408,-44.81707317073171,106.4152759948652,38.52053915275995,155186148000.0,165453148000.0,44.08697386363636,43.2032706013363,89.18744137931033,90.9116274165202,4.680061159866099,4.680061159866099,46.061566815144765,101.8800172413793,95.08801609195402,96.92627299355594,0.0056706092092704,0.0109996930911642,0.3598721312464187,0.1981534680593148,6.322044334975369,0.8540362953692116,18.7,1.7993795243019648,0.0018042847484042,0.3181818181818182,0.0,0.0,0.8547350591986185,0.0189655172413793,0.0091870824053452,0.1092715231788079,0.0194877505567928,82.23105430648842,0.0187508086248537,0.1005944215820759,-60.58007060333761,-933000000.0,-13965000000.0,-17254000000.0,51218000000.0,2751000000.0,514000000.0,0.0,71.83463251670379,44.67684021543985,0.0,1.2528775723753052,2.014466546112116,0.0,0.0265387979130854,0.1059050064184852,2025-02-11,3.47,bmo,3498278630.0,2025-05-11,2024-12-31,0.0864553314121037,507.39328125,1184475.625
2024-09-30,SPGI,USD,64040,2024-10-25,2024-10-24 17:50:22,2024,Q3,3575000000.0,1072000000.0,2503000000.0,0.7001398601,0,0.0,0.0,808000000.0,261000000.0,1101000000.0,2230000000.0,0.0,72000000.0,293000000.0,1726000000.0,0.4827972028,1434000000.0,0.4011188811,-74000000.0,1360000000.0,0.3804195804,313000000.0,971000000.0,0.2716083916,3.12,3.12,311200000,311500000,https://www.sec.gov/Archives/edgar/data/64040/000006404024000178/0000064040-24-000178-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404024000178/spgi-20240930.htm,11.487789203084834,3.1201799485861184,4.64331619537275,4.530848329048843,5.4498714652956295,123.36439588688944,-43.2133676092545,109.22879177377892,38.56362467866324,160772144000.0,171005144000.0,41.39344593202883,44.97122909090909,111.26099930795849,114.02279716312056,4.729705342433514,4.729705342433514,47.83360671328671,99.07598146002316,118.34266020761244,121.2802439716312,0.0060396034775775,0.0087701760076048,0.3509355142386444,0.1976046912271402,5.928736964078795,0.9449591280653952,19.916666666666668,1.381453154875717,0.0017540352015209,0.2904222451081359,0.0,0.0,0.8587165385634773,0.0242214532871972,0.0097902097902097,0.1194539249146757,0.0265734265734265,87.56884967138001,0.0201208215803134,0.113846875366397,-58.81989074550128,-303000000.0,-13448000000.0,-16775000000.0,52178000000.0,2672000000.0,476000000.0,-1354500000.0,66.33566433566433,39.878731343283576,0.0,1.3567362428842504,2.256842105263158,0.0,0.0285655448340786,0.1124678663239074,2024-10-24,3.64,bmo,3433157640.0,2025-04-25,2024-09-30,0.0686813186813186,494.8915625,1068986.328125
2024-06-30,SPGI,USD,64040,2024-07-30,2024-07-30 17:29:06,2024,Q2,3549000000.0,1376000000.0,2173000000.0,0.6122851507,0,0.0,0.0,641000000.0,6000000.0,641000000.0,2017000000.0,0.0,77000000.0,291000000.0,1745000000.0,0.4916877994,1532000000.0,0.4316708932,-74000000.0,1378000000.0,0.3882783883,293000000.0,1011000000.0,0.2848689772,3.23,3.23,313000000,313200000,https://www.sec.gov/Archives/edgar/data/64040/000006404024000150/0000064040-24-000150-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404024000150/spgi-20240630.htm,11.338658146964857,3.230031948881789,4.9712460063897765,4.8690095846645365,6.514376996805112,124.54952076677316,-41.82108626198083,111.4408945686901,38.670926517571885,139698160000.0,149686160000.0,34.54454995054402,39.36268244575937,89.78030848329048,91.6654593175853,4.004992976118804,4.004992976118804,42.17699633699634,85.78003438395416,96.19933161953728,98.21926509186352,0.0072370316115831,0.0109092345955021,0.3448008944697686,0.1973062536911871,5.72378223495702,1.0258181818181815,19.89610389610389,1.5390702274975272,0.0020472710592609,0.2828882294757666,0.0,0.0,0.8542883391298641,0.0205655526992287,0.0090166244012397,0.1099656357388316,0.0138067061143984,89.99470607790667,0.0216380333052996,0.11382571492907,-61.51996805111821,142000000.0,-13090000000.0,-16330000000.0,52836000000.0,2844000000.0,467500000.0,-1324000000.0,68.69822485207101,31.199127906976745,-177.1875,1.310077519379845,2.884696016771489,-0.5079365079365079,0.0289842607723402,0.1022364217252396,2024-07-30,3.65,bmo,3421054522.0,2025-04-25,2024-06-30,0.1068493150684931,429.015873015873,1243486.9047619049
2024-03-31,SPGI,USD,64040,2024-04-25,2024-04-25 17:26:37,2024,Q1,3491000000.0,1120000000.0,2371000000.0,0.6791750215,0,0.0,0.0,705000000.0,6000000.0,992000000.0,2112000000.0,0.0,78000000.0,287000000.0,1748000000.0,0.5007161272,1385000000.0,0.39673446,-69000000.0,1316000000.0,0.3769693498,248000000.0,991000000.0,0.2838728158,3.16,3.16,313600000,314000000,https://www.sec.gov/Archives/edgar/data/64040/000006404024000125/0000064040-24-000125-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404024000125/spgi-20240331.htm,11.13201530612245,3.160076530612245,3.022959183673469,2.946428571428572,4.920280612244898,121.96747448979592,-43.42793367346939,109.46109693877553,39.244260204081634,133935423999.99998,144621424000.0,33.78794752774974,38.36591922085362,141.28209282700422,144.95175757575757,3.9017515075596463,3.9017515075596463,41.426933256946434,82.73536842105263,152.5542447257384,156.51669264069264,0.0073990880859122,0.0068988470145135,0.3562501820724211,0.2022091042875804,6.113272311212815,0.9236004764335546,17.756410256410255,0.8876404494382022,0.0021353574092541,0.2885973763874874,0.0,0.0,0.8576483621872778,0.0253164556962025,0.0068748209682039,0.0836236933797909,0.0094528788312804,88.22058987364666,0.020368536695836,0.1151120919967475,-58.73804209183673,-449000000.0,-13619000000.0,-16800000000.0,52037000000.0,2902500000.0,507500000.0,31000000.0,76.80034374104841,36.80357142857143,4.901785714285714,1.171869754951326,2.445414847161572,18.36065573770492,0.0288694030937745,0.0765306122448979,2024-04-25,3.66,bmo,3414124965.0,2025-04-25,2024-03-31,0.0956284153005463,433.4324590163935,1348030.68852459
2023-12-31,SPGI,USD,64040,2024-02-09,2024-02-08 21:12:29,2023,Q4,3152000000.0,1032000000.0,2120000000.0,0.6725888325,0,0.0,0.0,942000000.0,2750000000.0,1232000000.0,2264000000.0,0.0,76000000.0,290000000.0,1378000000.0,0.4371827411,890000000.0,0.2823604061,-96000000.0,794000000.0,0.2519035533,150000000.0,579000000.0,0.1836928934,1.84,1.83,315400000,315900000,https://www.sec.gov/Archives/edgar/data/64040/000006404024000071/0000064040-24-000071-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404024000071/spgi-20231231.htm,9.993658845909955,1.8357641090678505,4.229549778059607,4.077362079898542,4.172479391249207,120.7989854153456,-44.857324032974,108.43373493975903,38.287888395688014,138940008000.0,149650008000.0,59.99136787564767,44.07995177664974,104.1529295352324,108.04044167962677,4.062573333333333,4.062573333333333,47.47779441624365,108.59942525399128,112.18141529235382,116.36859097978228,0.0041672662060016,0.009255793334919,0.3508771929824561,0.1980557526943834,7.772133526850508,0.8396734693877551,11.710526315789474,2.071428571428572,0.002036850321759,0.4887737478411053,0.0,0.0,0.8623347472313456,0.0359820089955022,0.015228426395939,0.1655172413793103,0.0088832487309644,66.92400222138683,0.0131878615899458,0.0694161371538184,-60.40900443880786,-982000000.0,-14148000000.0,-17346000000.0,51903000000.0,2686500000.0,507500000.0,-1273000000.0,80.69162436548223,48.57558139534884,0.0872093023255814,1.1153573956121727,1.85278276481149,1032.0,0.0169298245614035,0.1521876981610653,2024-02-08,3.15,bmo,3130960000.0,2025-04-25,2023-12-31,-0.0063492063492063,394.6298412698413,1207246.396825397
2023-09-30,SPGI,USD,64040,2023-11-02,2023-11-02 17:21:57,2023,Q3,3084000000.0,2018000000.0,1066000000.0,0.3456549935,0,0.0,0.0,741000000.0,5000000.0,995000000.0,2018000000.0,83000000.0,84000000.0,282000000.0,1456000000.0,0.4721141375,1074000000.0,0.3482490272,-79000000.0,995000000.0,0.3226329442,181000000.0,742000000.0,0.2405966278,2.34,2.33,317500000,318000000,https://www.sec.gov/Archives/edgar/data/64040/000006404023000193/0000064040-23-000193-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404023000193/spgi-20230930.htm,9.713385826771654,2.337007874015748,3.190551181102362,3.0771653543307087,5.184251968503937,122.91023622047244,-42.192125984251966,111.85511811023622,38.0755905511811,116017675000.00002,126376675000.00002,39.08951314016173,37.6192201686122,114.52880059230012,118.74889969293758,3.266815199639579,3.266815199639579,40.97816958495461,86.7971668956044,124.75486179664364,129.35176560900717,0.0063955772256253,0.0084211306596171,0.338035704229318,0.1982298839186935,7.114697802197802,0.9206592564200844,12.785714285714286,1.2444717444717446,0.0024651416260496,0.38544474393531,0.0,0.0,0.8655735539373525,0.0355380059230009,0.0116731517509727,0.1276595744680851,0.0149156939040207,76.69186113847499,0.0158149134353662,0.0911435941530524,-60.64330708661417,-414000000.0,-13396000000.0,-16733000000.0,52652000000.0,2546000000.0,473000000.0,-2546000000.0,74.32879377431907,20.426164519326065,-113.59266600594648,1.210836277974087,4.406113537117904,-0.7923046721633294,0.0208931688911415,0.1133858267716535,2023-11-02,3.05,bmo,3024690000.0,2025-04-25,2023-09-30,0.0524590163934426,393.1834920634921,1180339.0476190476
2023-06-30,SPGI,USD,64040,2023-07-27,2023-07-27 16:49:47,2023,Q2,3101000000.0,1026000000.0,2075000000.0,0.6691389874,0,0.0,0.0,771000000.0,11000000.0,2082000000.0,2082000000.0,87000000.0,88000000.0,285000000.0,1205000000.0,0.3885843276,911000000.0,0.2937762012,-77000000.0,834000000.0,0.2689455015,259000000.0,511000000.0,0.164785553,1.6,1.6,319300000,319800000,https://www.sec.gov/Archives/edgar/data/64040/000006404023000159/0000064040-23-000159-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404023000159/spgi-20230630.htm,9.711869715001566,1.6003758221108677,2.408393360476041,2.3113059818352646,4.891951143125588,122.35828374569373,-42.81240212965863,111.36548700281868,38.00814281240213,128004177000.0,138490177000.0,62.62435273972603,41.27835440180587,166.455366710013,173.4473943089431,3.5997687505272924,3.5997687505272924,44.65984424379233,114.92960746887968,180.09125747724318,187.656066395664,0.0039920572279449,0.00576543685758,0.3388171770859698,0.1985007002224235,8.70207468879668,0.7827529021558872,10.352272727272728,1.337391304347826,0.0022499265785678,0.5636007827788649,0.0,0.0,0.8689183623033199,0.0403120936280884,0.0099967752337955,0.1091549295774647,0.0164463076426959,63.32534436053659,0.0112697827096823,0.0642282554047259,-60.84481678672096,-1310000000.0,-13670000000.0,-16906000000.0,52088000000.0,2511500000.0,472000000.0,-1855000000.0,73.86326991293132,42.80701754385965,-223.24561403508773,1.218467583497053,2.1024590163934427,-0.4031434184675835,0.0143704828594729,0.0970873786407767,2023-07-27,3.12,bmo,3057890000.0,2025-04-25,2023-06-30,0.0,365.3774193548387,1127573.3548387096
2023-03-31,SPGI,USD,64040,2023-04-27,2023-04-27 16:59:04,2023,Q1,3160000000.0,1088000000.0,2072000000.0,0.6556962025,0,0.0,0.0,705000000.0,1375000000.0,2080000000.0,2080000000.0,84000000.0,85000000.0,287000000.0,1452000000.0,0.4594936709,1144000000.0,0.3620253165,-96000000.0,1048000000.0,0.3316455696,188000000.0,795000000.0,0.2515822785,2.47,2.47,321300000,322100000,https://www.sec.gov/Archives/edgar/data/64040/000006404023000113/0000064040-23-000113-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404023000113/spgi-20230331.htm,9.835045129162776,2.4743230625583568,1.8487394957983192,1.761593526299409,4.3728602552131965,123.78462496109556,-41.12356053532524,113.19638966697792,38.3255524431995,110774601000.0,121598601000.0,34.83478018867924,35.055253481012656,186.48922727272725,195.71484275618377,3.045768518009348,3.045768518009348,38.48056993670886,83.7455929752066,204.7114494949495,214.8385176678445,0.0071767353962304,0.0051094745085112,0.3362386582348089,0.1971656133109764,7.454545454545454,0.910541132311542,13.458823529411765,0.6906976744186046,0.0026179286351029,0.3647798742138364,0.0,0.0,0.8542660905455952,0.0471380471380471,0.0088607594936708,0.0975609756097561,0.0145569620253164,79.38450632777962,0.0164972959485844,0.0879522071025556,-60.91192032368503,-572000000.0,-13213000000.0,-16430000000.0,53116000000.0,2486000000.0,453000000.0,-1180500000.0,70.57594936708861,37.72058823529412,-96.36948529411764,1.2752219531880549,2.3859649122807016,-0.9339055793991416,0.0218586747319219,0.0871459694989106,2023-04-27,2.91,bmo,3084680000.0,2025-04-25,2023-03-31,0.0824742268041236,351.9353225806452,1425546.935483871
2022-12-31,SPGI,USD,64040,2023-02-10,2023-02-09 20:31:52,2022,Q4,2937000000.0,1012000000.0,1925000000.0,0.6554307116,0,0.0,0.0,941000000.0,1286000000.0,2227000000.0,2227000000.0,86000000.0,86000000.0,275000000.0,1078000000.0,0.3670411985,717000000.0,0.2441266599,-95000000.0,621000000.0,0.2114402451,127000000.0,433000000.0,0.1474293497,1.34,1.33,323900000,325200000,https://www.sec.gov/Archives/edgar/data/64040/000006404023000058/0000064040-23-000058-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404023000058/spgi-20221231.htm,9.067613460944736,1.3368323556653288,3.436245754862612,3.349799320778018,4.016671812287743,122.70453843778944,-40.46619326952763,112.61809200370485,35.87218277246063,108487066000.0,118733066000.0,62.63687413394919,36.938054477357845,97.4726558849955,99.9880792626728,2.974122488143214,2.974122488143214,40.4266482805584,110.14199072356216,106.67840610961366,109.43139723502304,0.0039912591976632,0.0100011922158536,0.3161718343065493,0.1866664508610643,9.504638218923931,0.9446574429071511,8.337209302325581,2.253036437246964,0.0025348643865066,0.6351039260969977,0.0,0.0,0.8554156415900557,0.0251572327044025,0.0095335376234252,0.1018181818181818,0.0183861082737487,58.20145150712797,0.0101617194277192,0.0484719579088772,-60.10033961099105,-332000000.0,-13107000000.0,-16373000000.0,53239000000.0,2353500000.0,410500000.0,-1704500000.0,76.42492339121553,40.019762845849804,-106.36363636363636,1.177626303127506,2.2488888888888887,-0.8461538461538461,0.0118704937357787,0.086446434084594,2023-02-09,2.47,bmo,2880060354.0,2025-04-25,2022-12-31,0.0283400809716598,329.63,1781401.5873015872
