date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,STE,USD,1757898,2025-02-07,2025-02-07 16:32:28,2025,Q3,1370570000.0,760238000.0,610332000.0,0.4453125342,27358000,0.0,0.0,335450000.0,2231000.0,365039000.0,1125277000.0,2434000.0,19094000.0,125913000.0,373752000.0,0.2726982204,245293000.0,0.1789715228,-16548000.0,228745000.0,0.1668977141,55384000.0,173534000.0,0.1266144743,1.75,1.75,98490000,98942000,https://www.sec.gov/Archives/edgar/data/1757898/000175789825000002/0001757898-25-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789825000002/ste-20241231.htm,13.915829018174431,1.7619453751649914,3.379409077063661,2.4734186211798157,1.575571123971977,65.27105289877144,4.6840085287846485,65.14469489288253,23.748471926083862,20245604400.0,22410319400.0,29.16662498415296,14.771667554375188,60.82720242280028,83.10764633200195,3.1554372975113703,3.1554372975113703,16.351094362199667,59.960399944348126,67.33101208395676,91.9937415591506,0.0085714408210011,0.0120325871822329,0.3615736410633187,0.2317954726257903,5.791848605492412,2.129738980159799,12.84660102650047,1.9207548258649043,0.0027757136260155,0.3238327935735936,0.0,0.0199610381082323,0.5962232381282772,0.2680913837963213,0.0651050292943811,0.0,0.011188045849537,50.8191043050603,0.0201144245506152,0.042941800638631,-24.504617220022336,1006733000.0,461328000.0,-1681963000.0,9049563000.0,919269500.0,236684000.0,669245500.0,60.09755795034183,28.21066560734928,76.89726112085953,1.497565010451279,3.1902827552056667,1.1703927901742417,0.0270466440599984,0.905990455883846,2025-02-05,2.33,amc,1381866667.0,2025-05-05,2024-12-31,-0.0042918454935623,,
2024-09-30,STE,USD,1757898,2024-11-07,2024-11-07 07:53:10,2025,Q2,1328912000.0,750121000.0,578791000.0,0.4355374923,27031000,0.0,0.0,329298000.0,2796000.0,359125000.0,1109246000.0,1126000.0,19668000.0,115255000.0,329815000.0,0.2481842289,219666000.0,0.1652976269,-24774000.0,194892000.0,0.146655309,43506000.0,150034000.0,0.112899876,1.52,1.51,98869000,99204000,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000018/0001757898-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000018/ste-20240930.htm,13.441139285316934,1.517502958460185,2.535931383952503,1.5053555715138214,1.741648039324763,66.8608158270034,4.605649900373221,66.6891442211411,24.471603839423885,23979687260.0,26207307260.0,39.95708849327486,18.044601343053564,95.64138901186558,161.11808039883627,3.6368737795725448,3.6368737795725448,19.72087486605584,79.46062871609841,104.52610334031309,176.08532556623868,0.0062567121236092,0.0062066280675922,0.3639673926808704,0.2343078525055054,6.75415005381805,2.4058471749248587,11.16870042708969,1.6585302931078962,0.0023451932208393,0.3748283722356266,0.0,0.0203406997604055,0.6009586859002679,0.4063894705354472,0.0766732484919994,0.0,0.0156609316493492,47.71815071005047,0.0178722751563945,0.0367097059754017,-24.5022858529974,1132386000.0,455356000.0,-1693814000.0,9376395000.0,907973000.0,233395000.0,693760000.0,62.532808793960776,28.20384977890233,82.65862440859541,1.4392444819892998,3.191053728676565,1.0888156032589529,0.022754872268688,1.0305758124386817,2024-11-06,2.12,amc,1330450000.0,2025-04-25,2024-09-30,0.0094339622641509,222.1067857142857,666887.75
2024-06-30,STE,USD,1757898,2024-08-08,2024-08-08 16:32:18,2025,Q1,1279502000.0,706831000.0,572671000.0,0.4475733528,25573000,0.0,0.0,305158000.0,25700000.0,330731000.0,1037562000.0,1309000.0,30384000.0,112698000.0,318341000.0,0.2488007053,241940000.0,0.1890891925,-10272000.0,175259000.0,0.1369743853,35310000.0,145401000.0,0.1136387438,1.47,1.46,98869000,99376000,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000016/0001757898-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000016/ste-20240630.htm,12.941387087964882,1.4706429720134724,3.072176314112613,1.978982289696467,2.0059674923383466,64.433189371795,2.677290151614763,64.27289645895074,25.43822633990432,21606831260.0,23893171260.0,37.15041722546612,16.88690698412351,71.13524018660513,110.43049810896451,3.4001890694248584,3.4001890694248584,18.673805324258968,75.05527487819666,78.66245892086403,122.11576847592762,0.0067293995241762,0.0090554694321244,0.3910032374987745,0.2457974154880581,7.182046924524331,2.325727503715423,7.96274354923644,2.086992668732522,0.0023805434207847,0.3537527252219723,0.0,0.0199866823185895,0.60401473952726,0.3558370069433699,0.0844727089133115,0.0,0.0089566096809539,46.11676352517459,0.0205878808700696,0.0363243053648931,-25.49919590569339,1106134000.0,264701000.0,-1797662000.0,9211114000.0,950460500.0,241721500.0,686561000.0,62.78578697024312,29.50464821152439,88.950300708373,1.433445439533232,3.050366822026584,1.0118009639457934,0.0228812307058968,1.0931940244161469,2024-08-06,1.98,amc,1272487500.0,2025-04-25,2024-06-30,0.0252525252525251,219.957,527926.7
2024-03-31,STE,USD,1757898,2024-05-29,2024-05-29 16:35:52,2024,Q4,1419387000.0,768725000.0,650662000.0,0.4584105674,27462000,0.0,0.0,309063000.0,-67760000.0,404285000.0,1173010000.0,6333000.0,36103000.0,66605000.0,333822000.0,0.2351874436,246377000.0,0.1735798623,-29759000.0,190575000.0,0.1342657077,37276000.0,-1377000.0,-0.0009701371,-0.0139,-0.0139,98851000,98851000,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000008/0001757898-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000008/ste-20240331.htm,14.358853223538455,-0.0139300563474319,2.5776876308787973,1.6520824270872323,2.0942630828216204,63.887527693194805,1.2680903582159009,63.75417547622179,34.59014071683645,21849036530.0,25025183530.0,-3966.782231299928,15.393290575438552,85.7473952049983,133.78872408303226,3.466910180376137,3.466910180376137,17.630979803253094,74.96565094571358,98.21230786438365,153.2373004102627,-6.302337396476494e-05,0.0074744714612823,0.5368262393679377,0.3057899181439983,9.514492753623188,3.081344435291856,6.82428053070382,-254.2984031936128,0.0023523691733239,-37.32534495279593,0.0,0.0193477888694203,0.5594869418423155,0.3590835416609433,0.064462334796641,0.0,0.00630342535193,,0.0193357227666248,-0.0002825367077148,-34.87903258439469,1937996000.0,125352000.0,-1879228000.0,10066371000.0,986168500.0,264226500.0,765076000.0,63.93488879354257,29.470968161566237,78.97251943152624,1.4076821231460406,3.0538528461840992,1.1396369350737916,-0.0002184963768,0.9256052037915652,2024-05-08,2.35,amc,1411377833.0,2025-04-25,2024-03-31,0.025531914893617,219.3828125,588098.609375
2023-12-31,STE,USD,1757898,2024-02-08,2024-02-08 16:36:30,2024,Q3,1395645000.0,793052000.0,602593000.0,0.4317666742,25913000,0.0,0.0,360518000.0,6000.0,386431000.0,1179483000.0,2080000.0,38947000.0,140629000.0,362513000.0,0.2597458523,216156000.0,0.1548789269,-36867000.0,179289000.0,0.1284631837,38344000.0,140743000.0,0.1008444124,1.42,1.42,98802000,99354000,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000002/0001757898-24-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000002/ste-20231231.htm,14.125675593611463,1.4244954555575795,2.947743972794073,1.7439626728203883,1.9795651909880367,65.06041375680654,-6.7900548571891255,64.9318434849497,35.91018400437238,21721619700.0,25035085700.0,38.5838366739376,15.56385735627613,74.58246103769018,126.06347797825974,3.385857973537409,3.385857973537409,17.938004076967996,69.05982875096893,85.95944177199108,145.29349184885118,0.0064793971142032,0.0079325115889032,0.5469734058505508,0.3068651889720777,9.140268073144965,2.4285515719704844,5.550003851387784,2.066359218134733,0.0023652932290311,0.3650483505396361,0.0,0.0185670424785672,0.6208022541014967,0.4083737634895946,0.085219378853505,0.0,0.0109576575705139,45.61951456579689,0.0159757070557977,0.0324577941208689,-37.05032286795814,1305259000.0,-670871000.0,-2788103000.0,10444126000.0,952176500.0,285179000.0,838373000.0,62.16622421890954,31.404876351109387,97.10022798000637,1.4477314833063977,2.865796986232068,0.926877329459326,0.0219383183828402,1.2037812999736848,2024-02-07,2.17,amc,1348560000.0,2025-04-25,2023-12-31,0.023041474654378,233.8584375,427663.484375
2023-09-30,STE,USD,1757898,2023-11-07,2023-11-07 16:39:30,2024,Q2,1342360000.0,748831000.0,593529000.0,0.4421533717,27044000,0.0,0.0,380651000.0,-35703000.0,407695000.0,1156526000.0,1237000.0,36940000.0,152252000.0,354099000.0,0.2637884025,185857000.0,0.1384554069,-35703000.0,150154000.0,0.1118582199,33808000.0,115319000.0,0.0859076552,1.17,1.16,98785000,99406000,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000013/0001757898-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000013/ste-20230930.htm,13.58870273826998,1.167373589107658,1.4789188642000304,0.635754416156299,2.163860910057195,62.65291289163334,-9.19965581819102,62.65291289163334,34.45038214303791,21675404700.0,24827888700.0,46.99009855271031,16.147236732322177,148.36513706834592,345.13326911134817,3.5021516139164426,3.5021516139164426,18.495700631723235,70.11567019392882,169.94345254799958,395.32966100345527,0.0053202697525642,0.0028974314837129,0.5438923293082366,0.298408742484246,8.902832258775089,2.489909118500999,5.031321061180292,1.2556942224055834,0.0023698750132217,0.4454426417155889,0.0,0.0201466074674453,0.6292158298138811,0.5701221807727849,0.0620489287523466,0.0,0.0154325218272296,40.56643323343818,0.0136988606816924,0.0275705874842983,-38.08169509540922,1300862000.0,-908788000.0,-2917493000.0,10334895000.0,914043500.0,277157500.0,794982000.0,63.04552430048571,35.29036591700931,98.6893037280775,1.4275398769156815,2.5502710913128177,0.9119529330957742,0.0186323913004138,0.8431644480437314,2023-11-07,2.05,amc,1299940000.0,2025-04-25,2023-09-30,-0.0097560975609756,217.2442857142857,563880.4761904762
2023-06-30,STE,USD,1757898,2023-08-08,2023-08-08 16:53:43,2024,Q1,1284542000.0,711081000.0,573461000.0,0.4464322692,25502000,0.0,0.0,359058000.0,-30968000.0,384560000.0,1095641000.0,1393000.0,32361000.0,137925000.0,337942000.0,0.2630836516,188882000.0,0.1470422921,-39847000.0,157914000.0,0.1229340886,34124000.0,123554000.0,0.0961852551,1.25,1.25,98708000,99239000,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000010/0001757898-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000010/ste-20230630.htm,13.013555132309438,1.251712120598128,2.848087287757832,2.173359808728776,2.113445718685416,62.59241398873445,-5.80838432548527,62.59241398873445,29.303369534384245,22207325840.0,24858827840.0,44.934453437363416,17.288127472671192,78.9933654656759,103.51714386933176,3.594365285871424,3.594365285871424,19.35228886248951,73.55945055660439,88.42498582501271,115.87684516706445,0.0055636595279497,0.0096602356152936,0.4629238899826686,0.2652091265330042,7.846026833006848,2.29025798529954,5.836717035938321,2.271015429356168,0.0020906164179558,0.3757628243521052,0.0,0.019852990404362,0.6260634361919739,0.2369054775565665,0.0518480516791198,0.0,0.0090141077520236,41.98598424548222,0.0148135380906397,0.0306382316051334,-33.909708432953764,1144344000.0,-573334000.0,-2574753000.0,9817433000.0,908035500.0,240524000.0,732164000.0,62.19963224246463,32.99459555240542,97.30980014935008,1.4469538927362924,2.727719448994388,0.9248811513523708,0.0199978246696702,0.6747274790290554,2023-08-01,1.86,amc,1293900000.0,2025-04-25,2023-06-30,0.075268817204301,225.55377049180328,424695.24590163934
2023-03-31,STE,USD,1757898,2023-05-10,2023-05-10 16:36:57,2023,Q4,1384837000.0,796775000.0,588062000.0,0.4246434779,26388000,314246000.0,21668000.0,335914000.0,-30281000.0,362302000.0,1159077000.0,30633000.0,30020000.0,142204000.0,367606000.0,0.2654507354,225402000.0,0.162764282,-30281000.0,195121000.0,0.1408981707,8157000.0,187225000.0,0.1351964166,1.89,1.88,99055000,99568000,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000005/0001757898-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000005/ste-20230331.htm,13.980485588814297,1.890111554187068,2.1785775579223663,1.4572712129624956,2.10344757962748,61.45244561102418,-7.549613850890919,61.45244561102418,30.77759830397254,18947240400.0,21757538400.0,25.30009400453999,13.681928198047856,87.80040871366411,131.25902597852442,3.112650735021123,3.112650735021123,15.711263058396042,59.18711446494345,100.82316600169602,150.72766470384482,0.0098813862096772,0.0076185236980473,0.4959043378435832,0.2789410376554299,7.6448643384493185,2.333881769786644,7.508394403730846,1.1542275518281595,0.002459461062203,0.2488983842969689,0.2269191247778619,0.0190549501493677,0.6315931146268208,0.3310905055167076,0.0515937976816044,0.0,0.0065668378300117,51.12161473736042,0.0214903302049093,0.0469607508703635,-35.15549189844026,1149598000.0,-747827000.0,-2723225000.0,9881850000.0,875536500.0,231426000.0,694925000.0,60.33081871729309,24.89095415895328,78.55965611370839,1.4917748824483068,3.6157713933046223,1.1456261960939935,0.0307573040485795,0.7213063449598708,2023-05-10,2.15,amc,1272780000.0,2025-04-25,2023-03-31,0.069767441860465,211.49507936507936,448703.5714285714
2022-12-31,STE,USD,1757898,2023-02-08,2023-02-08 16:34:46,2023,Q3,1215994000.0,694497000.0,521497000.0,0.4288647806,25514000,0.0,0.0,305141000.0,-30465000.0,330655000.0,1025152000.0,28559000.0,30465000.0,137951000.0,328754000.0,0.2703582419,190803000.0,0.1569111361,-30465000.0,160338000.0,0.1318575585,37013000.0,123828000.0,0.1018327393,1.24,1.24,99716000,100166000,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000002/0001757898-23-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789823000002/ste-20221231.htm,12.19457258614465,1.2418067311163703,2.061635043523607,1.1408299570781018,2.601097115808898,60.6574672068675,-8.383258454009386,60.6574672068675,31.35899955874684,18416548040.0,21253706040.0,37.1817118099299,15.145262262807218,89.58423586181402,161.89091008183968,3.044802371489224,3.044802371489224,17.478462920047303,64.64926978835238,103.38511922481976,186.83098515282308,0.0067237356170684,0.0061769990637181,0.5119482121246189,0.2867176657909815,8.63003339883317,2.481773655074913,6.2630231413097,1.6669612811676464,0.0025475458211874,0.3788884581839326,0.0,0.0209820114243984,0.6374549487570468,0.4466382589576705,0.0755094186319998,0.0,0.0076858931869729,41.16805981673254,0.0145327026811416,0.0316254109671433,-35.3783344698945,1180169000.0,-835945000.0,-2774778000.0,9923111000.0,801435500.0,237899500.0,669646500.0,60.8952182329847,31.42445539721554,89.98185737303402,1.4779485583853331,2.864011447847549,1.000201625388669,0.0204724461521165,0.9208050864455052,2023-02-08,2.22,amc,1272808167.0,2025-04-25,2022-12-31,-0.0900900900900901,226.218253968254,361198.2698412698
2022-09-30,STE,USD,1757898,2022-11-09,2022-11-09 16:38:31,2023,Q2,1200517000.0,668182000.0,532335000.0,0.4434214593,24928000,0.0,0.0,323195000.0,0.0,348123000.0,1016305000.0,0.0,26647000.0,133879000.0,-173060000.0,-0.1441545601,-306415000.0,-0.2552358692,-26647000.0,-333062000.0,-0.2774321397,-17831000.0,-315285000.0,-0.2626243527,-3.15,-3.15,99969000,99969000,https://www.sec.gov/Archives/edgar/data/1757898/000175789822000021/0001757898-22-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789822000021/ste-20220930.htm,12.008892756754594,-3.1538276865828405,1.0385619542058038,0.2106252938410907,2.583390851163861,58.15249727415499,-9.694855405175604,58.03856195420581,32.30003301023317,16622845320.0,19566941320.0,-13.180808887197298,13.846405606917688,160.10599976883958,789.4588392857142,2.8649917296572576,2.8649917296572576,16.29876238320657,-113.06449393274008,188.46260325165665,929.2810277355624,-0.0189669694887108,0.0012666904849716,0.5519344260147737,0.3052875237996819,-17.011995839593204,2.163458464852231,-11.49904304424513,-0.3293584704549996,0.0028258098475766,-0.1489858382098736,0.0,0.0207643873431196,0.6466031805107442,0.7971952535059331,0.0689436301193569,0.0,0.009619189066044,,-0.0295875160355543,-0.0850511626100214,-35.11465804399364,1015484000.0,-969185000.0,-2787890000.0,9544587000.0,771950500.0,231147500.0,632670000.0,58.48327845419932,31.425150632612077,86.86890697444709,1.5389014155641554,2.863948085792172,1.0360438865251749,-0.0543402107218181,0.827936660364713,2022-11-09,2.0,amc,1222041667.0,2025-04-25,2022-09-30,-0.005,200.10064516129032,438597.37096774194
