date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,STT,USD,93751,2025-05-01,2025-05-01 08:06:31,2025,Q1,3284000000.0,12000000.0,3272000000.0,0.9963459196,0,497000000.0,1365000000.0,1862000000.0,0.0,1862000000.0,1862000000.0,0.0,0.0,0.0,0.0,0.0,822000000.0,0.2503045067,0.0,822000000.0,0.2503045067,178000000.0,644000000.0,0.1961023143,2.07,2.04,288562000,292716000,https://www.sec.gov/Archives/edgar/data/93751/000009375125000226/0000093751-25-000226-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375125000226/stt-20250331.htm,11.380569860203352,2.231756087080073,8.303241591061886,0.0,16.142111573942515,92.50005198189643,61.97281693362258,92.50005198189643,127.16504598665104,25834955860.0,57871955860.0,10.029097771739131,7.866917131546894,10.78253583472454,0.0,0.9678913479694292,0.9678913479694292,17.622398252131546,0.0,24.15357089315526,0.0,0.0249274666266064,0.0,1.3747564813427244,0.0984590534300349,0.0,0.1381498947118664,0.0,3.720496894409938,0.0084887747123869,0.3405390062111801,0.1513398294762484,0.0,0.0236360758050191,0.0,0.0,0.0,0.0,68.1530994634944,-0.036871636321997,0.0017697947697617,-1182.910431726977,-29059000000.0,17883000000.0,-341343000000.0,-17466000000.0,2369500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024127079274689,0.0,2025-04-17,1.98,bmo,3340737410.0,2025-05-11,2025-03-31,0.0303030303030303,95.5295,2051175.75
2024-12-31,STT,USD,93751,2025-02-13,2025-02-13 08:01:05,2024,Q4,3400000000.0,0.0,3400000000.0,1.0,0,1227000000.0,38000000.0,1265000000.0,2147000000.0,3589000000.0,3412000000.0,3009000000.0,2260000000.0,119000000.0,0.0,0.0,0.0,0.0,960000000.0,960000000.0,0.2823529412,177000000.0,783000000.0,0.2302941176,2.44,2.41,319613492,296420000,https://www.sec.gov/Archives/edgar/data/93751/000009375125000111/0000093751-25-000111-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375125000111/stt-20241231.htm,10.637848792691145,2.449834001375637,-23.24682839108682,-24.02589437619861,420.9772220754686,79.23945838932231,51.76877827172578,79.23945838932231,110.67117279266796,31370064239.800003,-51619935760.2,10.015984750893995,9.226489482294118,-4.222081324333782,-4.085175705143899,1.2386505662086396,1.2386505662086396,-15.182334047117646,0.0,6.947501448209959,6.722221091313973,0.0249601018988857,-0.2447875127478208,1.3074310984758746,0.0937379685199864,0.0,0.0,0.0,-9.489144316730524,0.0088619518874715,0.3550446998722861,0.3608823529411765,0.0,0.0248556222398369,-0.0335127860026917,0.073235294117647,2.092436974789916,0.0,66.08917601836865,0.0,0.0022731231492771,-593.8727705525022,139289000000.0,16546000000.0,-188625000000.0,151602000000.0,5172500000.0,0.0,0.0,125.44411764705885,0.0,0.0,0.7174509390166702,0.0,0.0,0.0309168443496801,0.7790659851117925,2025-01-17,2.29,bmo,3326273581.0,2025-04-23,2024-12-31,0.1353711790393013,94.7,2146179.59375
2024-09-30,STT,USD,93751,2024-10-31,2024-10-31 08:01:50,2024,Q3,3178000000.0,105000000.0,3073000000.0,0.9669603524,0,1134000000.0,45000000.0,1179000000.0,1999000000.0,3178000000.0,3178000000.0,3081000000.0,2358000000.0,88000000.0,1013000000.0,0.3187539333,926000000.0,0.2913782253,-1000000.0,925000000.0,0.291063562,195000000.0,730000000.0,0.2297042165,2.29,2.26,297365000,301847000,https://www.sec.gov/Archives/edgar/data/93751/000009375124000909/0000093751-24-000909-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375124000909/stt-20240930.htm,10.687202596136062,2.454895498797774,18.4150791115296,8.319741731542043,61.60442553763893,86.85622046979302,56.59374842365443,86.85622046979302,111.9096060397155,26307881550.0,53160881550.0,9.009548476027398,8.278125094398993,4.80421503834916,10.633743552950689,1.0185798958494656,1.0185798958494656,16.72777896475771,52.47865898321816,9.707976908327248,21.4878260105093,0.0277483384062142,0.0940402592013342,1.1971503794331733,0.0913492928702054,26.508390918065157,15.96286683968856,0.3927056827820187,7.501369863013698,0.0094648441960922,0.3410958904109589,0.3568281938325991,0.0,0.0265864258259695,0.0427319211102994,0.0736312146003776,1.625,0.0,69.26410509897853,0.0025930049894766,0.0022155990312065,-975.6679501622584,149898000000.0,16829000000.0,-152737000000.0,162383000000.0,2803000000.0,0.0,0.0,158.7602265575834,0.0,0.0,0.5668926150552979,0.0,0.0,0.0282638996437974,0.7869117078338069,2024-10-15,2.12,bmo,3193168837.0,2025-04-23,2024-09-30,0.0660377358490564,82.4553125,2103816.625
2024-06-30,STT,USD,93751,2024-08-01,2024-08-01 08:12:06,2024,Q2,3191000000.0,0.0,3191000000.0,1.0,0,1099000000.0,34000000.0,1133000000.0,0.0,962000000.0,2269000000.0,2998000000.0,2263000000.0,101000000.0,1013000000.0,0.3174553432,972000000.0,0.3046067064,-60000000.0,912000000.0,0.2858038233,201000000.0,711000000.0,0.2228141648,2.18,2.15,300564000,304765000,https://www.sec.gov/Archives/edgar/data/93751/000009375124000665/0000093751-24-000665-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375124000665/stt-20240630.htm,10.616707257023462,2.365552760809678,-25.432187487523457,-4.431668463289017,390.5524281018352,82.38511598195393,52.57449328595574,82.38511598195393,118.34750668742764,22109487840.0,-47419512160.0,7.774081518987341,6.928701924161705,-2.892397676609105,-16.598714594594593,0.8928797286164284,0.8928797286164284,-14.860392403635224,-46.810969555774925,6.203494526425955,35.60023435435436,0.0321581397608711,-0.0602456289191002,1.345125595670786,0.102296354763316,-68.63672260612043,17.43712291494144,0.4295183384887318,-10.766197183098592,0.0118953456499424,0.369901547116737,0.3444061422751489,0.0,0.0275181739725985,-0.0278649921507064,0.0667502350360388,2.108910891089109,0.0,66.21889924799848,0.0022912857538211,0.0022454309743149,-610.3691726221371,138943000000.0,15802000000.0,-153445000000.0,151278000000.0,2650500000.0,0.0,-72788500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287133511024957,0.7086677047151355,2024-07-16,2.03,bmo,3146244528.0,2025-04-23,2024-06-30,0.0591133004926109,74.5347619047619,2349368.9523809524
2024-03-31,STT,USD,93751,2024-05-02,2024-05-02 07:45:49,2024,Q1,3138000000.0,0.0,3138000000.0,1.0,0,1252000000.0,25000000.0,1277000000.0,0.0,1158000000.0,2513000000.0,2889000000.0,2173000000.0,121000000.0,719000000.0,0.2291268324,658000000.0,0.2096876992,-60000000.0,598000000.0,0.1905672403,135000000.0,463000000.0,0.1475462078,1.38,1.37,301991000,305943000,https://www.sec.gov/Archives/edgar/data/93751/000009375124000587/0000093751-24-000587-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375124000587/stt-20240331.htm,10.391038143520833,1.5331582729286637,-2.794785275057866,-3.556397376080744,461.77203956409295,80.90638462735645,51.63398909239017,80.90638462735645,110.79800391402392,23328804750.0,-74342195250.0,12.5965468412527,7.434290869980879,-27.64076392180095,-21.72141969273743,0.9548072176973764,0.9548072176973764,-23.690948135755256,-103.39665542420028,88.08316972748815,69.21992108938548,0.0198467090346752,-0.0460375064864821,1.280522244505382,0.0925642671810605,-135.84283727399165,17.395459236326108,0.3028071790151864,-1.8228941684665227,0.0104163073335336,0.5248380129589633,0.3989802421924793,0.0,0.0261536140211773,-0.2725118483412322,0.0732950924155513,1.270718232044199,0.0,52.829457604579375,0.001534151367453,0.0014065979469138,-804.4337414028895,158872000000.0,15593000000.0,-145008000000.0,171022000000.0,5523000000.0,0.0,-128217000000.0,152.03632887189295,0.0,0.0,0.5919637804187889,0.0,0.0,0.0189497810338476,0.7616121010228781,2024-04-12,1.5,bmo,3060806547.0,2025-04-23,2024-03-31,0.1266666666666666,74.16967213114755,2242860.8032786883
2023-12-31,STT,USD,93751,2024-02-15,2024-02-15 16:43:23,2023,Q4,3043000000.0,128000000.0,2915000000.0,0.9579362471,0,1065000000.0,51000000.0,1116000000.0,-3996000000.0,-2880000000.0,2822000000.0,2593000000.0,1915000000.0,59000000.0,260000000.0,0.085441998,392000000.0,0.1288202432,-191000000.0,201000000.0,0.0660532369,-9000000.0,210000000.0,0.0690108446,0.56,0.55,306198000,310419000,https://www.sec.gov/Archives/edgar/data/93751/000009375124000498/0000093751-24-000498-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375124000498/stt-20231231.htm,9.938013964820149,0.6858307369741148,13.657829247741658,12.583361093148875,341.32816021006016,77.72421766308075,48.55681617776733,77.72421766308075,76.4701271726138,23718097080.0,-46551902920.0,28.235829857142853,7.794313861321063,5.671472281205165,6.155748009343368,0.9966005748140676,0.9966005748140676,-15.298029221163326,-179.04578046153847,-11.131492807269249,-12.081988819101998,0.0088539986699472,0.1624497946443181,0.9033993024917012,0.0723277422306548,-270.2692307692308,22.05571746956969,0.2046997389033942,19.914285714285715,0.0105826365055083,1.1952380952380952,0.349983568846533,0.0,0.0300446077145106,0.0786704925872788,0.1081169898126848,1.7225130890052356,0.0,34.63202698823246,0.0016636089364658,0.0007283396976349,-718.7008079739254,122818000000.0,14868000000.0,-144808000000.0,134953000000.0,5499500000.0,0.0,-53890000000.0,169.91455800197173,0.0,-77946.328125,0.5296779808529156,0.0,-0.0011546406631967,0.0088239001638724,1.07446815459278,2024-01-19,1.81,bmo,2949760000.0,2025-04-23,2023-12-31,0.1270718232044198,69.71539682539682,2026449.111111111
2023-09-30,STT,USD,93751,2023-10-27,2023-10-27 07:36:11,2023,Q3,2691000000.0,101000000.0,2590000000.0,0.9624674842,0,1082000000.0,38000000.0,1120000000.0,1571000000.0,2691000000.0,2180000000.0,2328000000.0,1704000000.0,163000000.0,674000000.0,0.2504645113,571000000.0,0.2121887774,-60000000.0,511000000.0,0.1898922334,89000000.0,422000000.0,0.1568190264,1.27,1.25,313147000,317329000,https://www.sec.gov/Archives/edgar/data/93751/000009375123000694/0000093751-23-000694-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375123000694/stt-20230930.htm,8.593408207646888,1.3476099084455544,0.7089322267178034,0.2778247915515716,390.58652964901466,75.43102760045602,47.16954018400304,75.43102760045602,64.74914337355938,20968323120.0,-41224676880.0,12.421992369668244,7.792018996655517,94.45190594594594,241.015208275862,0.8876983667075906,0.8876983667075906,-15.319463723522857,-61.16420902077152,-185.6967427027027,-473.8468606896552,0.0201255960042645,0.0041491157639123,0.7862495237288853,0.0652989469613065,-92.27448071216617,3.241413855994246,0.335093896713615,0.5260663507109005,0.0108258537748058,0.5379146919431279,0.402081010776663,0.0,0.0311165022941827,0.6081081081081081,0.0501672240802675,0.6053811659192825,0.0,47.82427212690857,0.0023266308234989,0.0015313991254332,-424.7334319025889,87256000000.0,14771000000.0,-134609000000.0,99263000000.0,5145500000.0,0.0,2841000000.0,175.7190635451505,0.0,2741.881188118812,0.5121811952797868,0.0,0.0328241793955151,0.0178654587020024,0.4311074351662318,2023-10-18,1.77,bmo,2923180000.0,2025-04-23,2023-09-30,0.0903954802259886,70.52444444444444,2519813.0634920634
2023-06-30,STT,USD,93751,2023-07-28,2023-07-28 07:34:08,2023,Q2,3110000000.0,103000000.0,3007000000.0,0.9668810289,0,1123000000.0,30000000.0,1123000000.0,-1776000000.0,-653000000.0,-653000000.0,2232000000.0,1541000000.0,177000000.0,1093000000.0,0.3514469453,976000000.0,0.3138263666,-60000000.0,916000000.0,0.2945337621,153000000.0,763000000.0,0.2453376206,2.2,2.17,329383000,333540000,https://www.sec.gov/Archives/edgar/data/93751/000009375123000642/0000093751-23-000642-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375123000642/stt-20230630.htm,9.441895908410574,2.316452275921951,-2.586654441789649,-3.1027709383908704,403.8581226110637,73.4828451984468,46.22278623972701,73.4828451984468,56.9914051423419,24104247940.000004,-48642752060.0,7.897853191349936,7.75056203858521,-28.29137082159625,-23.585369804305287,0.9958786952569824,0.9958786952569824,-15.640756289389069,-44.50389026532479,57.09243199530516,47.59564780821918,0.031654171575867,-0.0423991655970329,0.7119071227896215,0.0584972212886295,-66.55718206770356,18.19047619047619,0.6333549643088904,-1.116644823066841,0.010330129387144,0.3263433813892529,0.3610932475884244,0.0,0.0304826504527075,-0.1995305164319248,0.0546623794212218,0.7172995780590717,0.0,61.88649965886062,0.0032795924238124,0.0026717370142375,-401.51662350515966,129238000000.0,15225000000.0,-133601000000.0,141145000000.0,4931000000.0,0.0,1302500000.0,145.76527331189712,0.0,2276.2135922330094,0.6174310105221362,0.0,0.0395393474088291,0.0315237150884151,0.516116496601221,2023-07-14,2.1,bmo,3135540000.0,2025-04-23,2023-06-30,0.0333333333333332,71.89693548387096,2723082.3870967743
2023-03-31,STT,USD,93751,2023-04-27,2023-04-27 07:36:24,2023,Q1,3101000000.0,0.0,3101000000.0,1.0,0,1292000000.0,23000000.0,1315000000.0,1786000000.0,3101000000.0,3101000000.0,2027000000.0,1261000000.0,231000000.0,0.0,0.0,0.0,0.0,688000000.0,688000000.0,0.2218639149,139000000.0,549000000.0,0.1770396646,1.54,1.52,341106000,345472000,https://www.sec.gov/Archives/edgar/data/93751/000009375123000554/0000093751-23-000554-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375123000554/stt-20230331.htm,9.091015696000657,1.6094703699143376,-8.390353731684579,-8.923912214971299,318.3409262809801,72.55809044695783,46.10590256401236,72.55809044695783,51.52064167736715,25818313140.0,-49563686860.0,11.75697319672131,8.325802366978394,-9.021073773584906,-8.48170602496715,1.0431641672727272,1.0431641672727272,-15.983130235407932,0.0,17.317850055904962,16.282420124835742,0.0212639763497732,-0.1179008087590342,0.6591111111111111,0.056093887544014,0.0,0.4915592183969161,0.0,-5.213114754098361,0.0094119239580963,0.4426229508196721,0.4166397936149629,0.0,0.0310264909771126,-0.063591893780573,0.0586907449209932,0.7878787878787878,0.0,51.25965445766018,0.0,0.0019482386006749,-451.0599344485292,-3825000000.0,15727000000.0,-262368000000.0,8013000000.0,4640500000.0,0.0,-53304700000.0,140.03547242824897,0.0,0.0,0.6426943005181347,0.0,0.0,0.0221818181818181,0.5335584832867203,2023-04-17,1.64,bmo,3124210000.0,2025-04-23,2023-03-31,-0.073170731707317,84.2191935483871,3033947.7741935486
2022-12-31,STT,USD,93751,2023-02-16,2023-02-16 08:09:28,2022,Q4,3132000000.0,-2565000000.0,5697000000.0,1.8189655172,0,1058000000.0,30000000.0,1108000000.0,2044000000.0,3132000000.0,2256000000.0,1762000000.0,971000000.0,284000000.0,1173000000.0,0.3745210728,1057000000.0,0.3374840358,-168000000.0,889000000.0,0.283844189,156000000.0,733000000.0,0.2340357599,1.94,1.91,359200000,363923000,https://www.sec.gov/Archives/edgar/data/93751/000009375123000489/0000093751-23-000489-index.htm,https://www.sec.gov/Archives/edgar/data/93751/000009375123000489/stt-20221231.htm,8.719376391982182,2.04064587973274,19.587973273942097,19.020044543429844,406.85412026726056,70.13084632516704,44.96659242761692,70.13084632516704,50.28953229398664,27863144000.0,-60606856000.0,9.503118690313777,8.89627841634738,3.960083001705514,4.078329039812646,1.1060753443690206,1.1060753443690206,-19.350848020434228,-51.66824893435635,-8.613822626492325,-8.871026932084309,0.0263071532774621,0.2451984600158546,0.6785359850740343,0.0567026040802786,-75.42199488491049,16.704071374717266,1.0885684860968077,9.598908594815825,0.009618440761746,0.3656207366984993,0.3378033205619412,0.0,0.0299850721512688,0.0289937464468447,0.0651340996168582,0.4868735083532219,0.0833333333333333,56.7452641936003,0.0048687434570335,0.0025067456422637,-501.3354677060134,124973000000.0,16152000000.0,-143328000000.0,136827000000.0,4791000000.0,0.0,-57932700000.0,128.04597701149424,0.0,3740.680701754386,0.7028725314183124,0.0,0.0240597921008841,0.0290976936207375,0.5679287305122495,2023-01-20,1.98,bmo,3036460048.0,2025-04-23,2022-12-31,0.0454545454545453,73.64063492063491,2643312.1428571427
