date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-28,STX,USD,1137789,2025-05-02,2025-05-02 16:09:12,2025,Q3,2160000000.0,1400000000.0,760000000.0,0.3518518519,180000000,0.0,0.0,139000000.0,10000000.0,329000000.0,1729000000.0,4000000.0,77000000.0,63000000.0,495000000.0,0.2291666667,431000000.0,0.199537037,-76000000.0,355000000.0,0.1643518519,15000000.0,340000000.0,0.1574074074,1.6037735849056605,1.5740740740740742,212000000,216000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778925000075/0001137789-25-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778925000075/stx-20250328.htm,10.18867924528302,1.6037735849056605,1.221698113207547,1.221698113207547,3.839622641509434,-3.910377358490566,-9.660377358490566,-3.910377358490566,-1.9575471698113207,18003040000.0,17189040000.0,13.237529411764706,8.33474074074074,69.50980694980696,69.50980694980694,-21.71657418576598,-21.71657418576598,7.957888888888889,39.88176334106728,66.3669498069498,66.3669498069498,0.0188856993041175,0.0143864591757836,0.0,0.0,-1.888631090487239,1.3606965174129353,-1.03855421686747,0.7617647058823529,0.008443018512429,0.4470588235294118,0.0,0.0833333333333333,0.161158117398202,0.0,0.0,0.0,0.025,,0.0801220365672294,0.053585500394011,-30.077830188679247,870000000.0,-2048000000.0,-5111000000.0,3702000000.0,679500000.0,1517000000.0,1472500000.0,25.916666666666668,94.30714285714284,94.62857142857142,3.472668810289389,0.9543285616905248,0.9510869565217392,-0.4101326899879373,0.0,2025-04-29,1.76,amc,2129058370.0,2025-05-11,2025-03-28,0.0795454545454544,,
2024-12-27,STX,USD,1137789,2025-01-24,2025-01-24 16:11:19,2025,Q2,2325000000.0,1513000000.0,812000000.0,0.3492473118,184000000,0.0,0.0,0.0,140000000.0,324000000.0,1837000000.0,8000000.0,84000000.0,-2000000.0,488000000.0,0.2098924731,488000000.0,0.2098924731,-138000000.0,350000000.0,0.1505376344,14000000.0,336000000.0,0.144516129,1.58,1.55,212000000,217000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778925000020/0001137789-25-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778925000020/stx-20241227.htm,10.966981132075473,1.5849056603773586,1.0424528301886793,1.3632075471698113,5.839622641509434,-5.089622641509434,-10.839622641509434,-5.089622641509434,2.6556603773584904,18526680000.0,17767680000.0,13.784732142857145,7.968464516129032,83.83113122171946,64.10615916955017,-17.170231696014827,-17.170231696014827,7.642012903225806,36.40918032786885,80.39674208144797,61.4798615916955,0.0181360070989513,0.0155991251535623,-0.4439295644114921,0.0601834401306696,-1.555327868852459,1.2334119232064669,5.809523809523809,0.6577380952380952,0.0079884793173952,0.4404761904761904,0.0,0.0791397849462365,0.1531599447166729,0.3076923076923077,0.0292473118279569,1.0793650793650793,0.0210752688172043,,0.0856609983543609,0.0498516320474777,-30.71108490566038,693000000.0,-2298000000.0,-5376000000.0,3507000000.0,745000000.0,1672500000.0,1428000000.0,28.52903225806452,93.21216126900198,87.62062128222075,3.1546811397557666,0.96553924696873,1.027155465037339,-0.3113994439295644,0.320754716981132,2025-01-21,1.87,amc,2319638394.0,2025-04-25,2024-12-27,0.085561497326203,80.60357142857143,4962151.821428572
2024-09-27,STX,USD,1137789,2024-10-25,2024-10-25 16:17:27,2025,Q1,2168000000.0,1454000000.0,714000000.0,0.3293357934,181000000,0.0,0.0,129000000.0,1000000.0,311000000.0,1765000000.0,7000000.0,85000000.0,64000000.0,465000000.0,0.2144833948,403000000.0,0.1858856089,-87000000.0,316000000.0,0.1457564576,11000000.0,305000000.0,0.1406826568,1.45,1.41,211000000,216000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000182/0001137789-24-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000182/stx-20240927.htm,10.274881516587678,1.4454976303317535,0.4502369668246445,0.1279620853080568,5.872037914691943,-6.161137440758294,-11.938388625592417,-6.161137440758294,27.303317535545023,22944140000.0,27381140000.0,18.80667213114754,10.58309040590406,241.51726315789475,849.782962962963,-17.64933846153846,-17.64933846153846,12.629677121771218,58.88417204301075,288.2225263157895,1014.1162962962962,0.0132931545919786,0.0011767710622407,-4.366153846153846,0.7119919719016558,9.541935483870969,1.1414109459031951,4.741176470588235,0.3114754098360656,0.0064068646721995,0.4819672131147541,0.0,0.0834870848708487,0.1529101856497742,0.7157894736842105,0.0313653136531365,1.0625,0.0175276752767527,,0.0735295877102725,0.045165111802162,-32.117298578199055,447000000.0,-2519000000.0,-5664000000.0,3265000000.0,646000000.0,1782000000.0,1311000000.0,31.25922509225092,110.05502063273728,85.60522696011004,2.8791500664010625,0.8177727784026997,1.0513376717281273,-0.2346153846153846,0.3222748815165877,2024-10-22,1.49,amc,2129489087.0,2025-04-25,2024-09-27,0.0604026845637584,94.5055,3240845.95
2024-06-28,STX,USD,1137789,2024-08-02,2024-08-02 16:20:12,2024,Q4,1887000000.0,1287000000.0,600000000.0,0.3179650238,158000000,113000000.0,18000000.0,131000000.0,-14000000.0,289000000.0,1576000000.0,7000000.0,82000000.0,63000000.0,661000000.0,0.3502914679,311000000.0,0.1648118707,227000000.0,538000000.0,0.285108638,25000000.0,513000000.0,0.2718600954,2.44,2.39,210000000,215000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000068/0001137789-24-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000068/stx-20240628.htm,8.985714285714286,2.442857142857143,2.066666666666667,1.809523809523809,6.476190476190476,-7.1,-12.904761904761903,-7.1,29.30952380952381,21686700000.0,26399700000.0,10.568567251461989,11.49268680445151,49.96935483870967,57.070263157894736,-14.545070422535211,-14.545070422535211,13.990302066772657,39.93903177004539,60.828801843317976,69.47289473684211,0.023655051252611,0.0175222601871192,-4.073105298457411,0.7847267088771159,7.130105900151286,1.0751855437237818,3.792682926829268,0.8460038986354775,0.006778348019754,0.2865497076023391,0.0598834128245893,0.0837307896131425,0.1575138906835508,0.1244239631336405,0.0286168521462639,0.8571428571428571,0.0201377848436671,,0.0572487118026151,0.078680981595092,-32.601190476190474,233000000.0,-2710000000.0,-5898000000.0,3469000000.0,498000000.0,1729000000.0,1215000000.0,25.70747217806041,124.8951048951049,86.64335664335664,3.5009276437847867,0.7206047032474804,1.0387409200968525,-0.3440643863179074,0.2571428571428571,2024-07-23,0.762,amc,1871085223.0,2025-04-25,2024-06-28,0.3779527559055118,100.6740625,2402770.375
2024-03-29,STX,USD,1137789,2024-04-26,2024-04-26 16:20:10,2024,Q3,1655000000.0,1227000000.0,428000000.0,0.2586102719,164000000,0.0,0.0,110000000.0,-6000000.0,274000000.0,1501000000.0,3000000.0,82000000.0,63000000.0,203000000.0,0.1226586103,154000000.0,0.0930513595,-85000000.0,58000000.0,0.0350453172,33000000.0,25000000.0,0.0151057402,0.12,0.12,210000000,213000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000034/0001137789-24-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000034/stx-20240329.htm,7.880952380952381,0.119047619047619,0.8952380952380953,0.6095238095238096,3.804761904761905,-8.995238095238095,-14.885714285714286,-8.995238095238095,27.395238095238096,19540500000.0,24414500000.0,195.405,11.806948640483384,103.93882978723404,152.66015625,-10.344362096347274,-10.344362096347274,14.751963746223565,120.26847290640394,129.86436170212767,190.73828125,0.0012793940789642,0.0065504976842967,-3.0021175224986765,0.7991826381059752,24.00985221674877,0.8540169823644677,1.8780487804878048,7.52,0.0075228371843095,5.88,0.0,0.0990936555891238,0.1743235625704622,0.3191489361702128,0.0362537764350453,0.9523809523809524,0.0205438066465256,,0.0147084667283021,0.0042669397508107,-34.51309523809524,-447000000.0,-3126000000.0,-6370000000.0,2429000000.0,525000000.0,1645500000.0,1122000000.0,24.851963746223564,122.640586797066,87.35941320293398,3.6214442013129102,0.7338516746411483,1.0302267002518892,-0.0132345156167284,0.2857142857142857,2024-04-23,0.2914,amc,1677013098.0,2025-04-25,2024-03-29,0.1324639670555937,102.2484375,2318117.359375
2023-12-29,STX,USD,1137789,2024-01-26,2024-01-26 16:09:01,2024,Q2,1555000000.0,1193000000.0,362000000.0,0.2327974277,161000000,0.0,0.0,108000000.0,-47000000.0,269000000.0,1462000000.0,3000000.0,84000000.0,62000000.0,156000000.0,0.1003215434,124000000.0,0.0797427653,-128000000.0,-4000000.0,-0.0025723473,15000000.0,-19000000.0,-0.0122186495,-0.0909,-0.0909,209000000,209000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000010/0001137789-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778924000010/stx-20231229.htm,7.440191387559809,-0.0909090909090909,0.8086124401913876,0.4736842105263157,3.77511961722488,-8.679425837320574,-14.598086124401911,-8.679425837320574,27.526315789473685,17842330000.0,22724330000.0,-234.7675,11.474167202572348,105.57591715976332,180.2255555555556,-9.835904079382582,-9.835904079382582,14.613717041800642,145.66878205128205,134.46349112426034,229.53868686868688,-0.0010648833420298,0.0055486026768925,-3.125137816979052,0.7929780388865576,31.2948717948718,1.0391459074733096,1.4761904761904765,-8.894736842105264,0.0081827877861243,-7.684210526315789,0.0,0.1035369774919614,0.1730311931738704,0.4142011834319526,0.045016077170418,1.1290322580645162,0.0192926045016077,,0.1274891774891774,-0.0032138024357239,-34.46291866028708,99000000.0,-3051000000.0,-6335000000.0,2978000000.0,557000000.0,1565000000.0,1052500000.0,34.321543408360135,122.13746856663872,79.43839061190276,2.6222596964586846,0.7368746139592341,1.1329534662867995,0.0104740904079382,0.3349282296650718,2024-01-24,-0.07,amc,1548690000.0,2025-04-25,2023-12-29,-2.714285714285714,93.38492063492065,2544393.936507937
2023-09-29,STX,USD,1137789,2023-10-27,2023-10-27 16:07:26,2024,Q1,1454000000.0,1305000000.0,149000000.0,0.1024759285,171000000,0.0,0.0,105000000.0,-11000000.0,276000000.0,1581000000.0,2000000.0,84000000.0,76000000.0,24000000.0,0.0165061898,-129000000.0,-0.0887207703,-18000000.0,-147000000.0,-0.1011004127,37000000.0,-184000000.0,-0.1265474553,-0.88,-0.88,208000000,208000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000128/0001137789-23-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000128/stx-20230929.htm,6.990384615384615,-0.8846153846153846,0.6105769230769231,0.2740384615384615,3.831730769230769,-8.182692307692308,-14.129807692307692,-8.182692307692308,27.64423076923077,13717600000.0,18588600000.0,-18.638043478260872,9.434387895460798,108.01259842519684,240.65964912280705,-8.059694477085781,-8.059694477085781,12.78445667125172,774.525,146.36692913385826,326.11578947368423,-0.0134134250889368,0.0041552458155945,-3.329024676850764,0.7873818788215675,202.95833333333337,1.065911847957946,-1.5357142857142858,-0.6902173913043478,0.0105703621624774,-0.7880434782608695,0.0,0.1176066024759284,0.1719010561423012,0.5511811023622047,0.0481430536451169,0.9210526315789472,0.0171939477303989,,-0.0341878864609574,-0.0308776640375902,-34.53966346153846,163000000.0,-2939000000.0,-6262000000.0,3052000000.0,571000000.0,1557000000.0,1096000000.0,32.24896836313618,104.20689655172414,72.55172413793103,2.790786948176584,0.8636664460622104,1.2404942965779469,0.1081081081081081,0.3365384615384615,2023-10-26,-0.2,bmo,1531430000.0,2025-04-25,2023-09-29,0.0999999999999999,87.9444262295082,2765921.344262295
2023-06-30,STX,USD,1137789,2023-08-04,2023-08-04 16:27:43,2023,Q4,1602000000.0,1298000000.0,304000000.0,0.1897627965,172000000,239000000.0,-125000000.0,114000000.0,-16000000.0,286000000.0,1584000000.0,6000000.0,84000000.0,104000000.0,56000000.0,0.0349563046,26000000.0,0.0162297129,-111000000.0,-85000000.0,-0.0530586767,7000000.0,-92000000.0,-0.0574282147,-0.44,-0.44,207000000,207000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000049/0001137789-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000049/stx-20230630.htm,7.739130434782608,-0.4444444444444444,1.0531400966183575,0.8115942028985508,3.8067632850241546,-5.792270531400966,-11.768115942028986,-5.792270531400966,26.73913043478261,12807090000.0,17472090000.0,-34.801875,7.994438202247191,58.74811926605504,76.23267857142856,-10.681476230191826,-10.681476230191826,10.906423220973783,312.00160714285715,80.14720183486239,104.00053571428572,-0.0071835210028195,0.0131177340051487,-4.54628857381151,0.7214134462678666,83.30357142857143,1.120756172839506,0.3095238095238095,-2.369565217391304,0.0113218537544438,-1.576086956521739,0.1491885143570537,0.1073657927590511,0.1637109581789306,0.2293577981651376,0.031210986267166,0.4807692307692308,0.013732833957553,,0.0055417834719551,-0.0145592657065991,-33.484299516908216,313000000.0,-2436000000.0,-5850000000.0,3256000000.0,807500000.0,1650000000.0,1170000000.0,34.8876404494382,111.14791987673344,79.0446841294299,2.579710144927536,0.809731752963194,1.1385964912280702,0.0767306088407005,0.2415458937198067,2023-07-26,-0.23,amc,1685470000.0,2025-04-25,2023-06-30,-0.2173913043478261,74.62650793650793,2372708.698412698
2023-03-31,STX,USD,1137789,2023-04-26,2023-04-26 16:15:09,2023,Q3,1860000000.0,1541000000.0,319000000.0,0.1715053763,191000000,0.0,0.0,123000000.0,-9000000.0,314000000.0,1855000000.0,2000000.0,81000000.0,126000000.0,-183000000.0,-0.0983870968,-2000000.0,-0.0010752688,-85000000.0,-400000000.0,-0.2150537634,33000000.0,-433000000.0,-0.2327956989,-2.09,-2.09,207000000,207000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000029/0001137789-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000029/stx-20230331.htm,8.985507246376812,-2.0917874396135265,1.1014492753623188,0.8405797101449275,3.710144927536232,-4.85024154589372,-10.830917874396135,-4.85024154589372,29.17391304347826,13686840000.0,18878840000.0,-7.902332563510393,7.358516129032259,60.03,78.66,-13.632310756972112,-13.632310756972112,10.149913978494624,-103.16306010928962,82.8019298245614,108.49908045977013,-0.031636228669291,0.0127129417747266,-5.934262948207171,0.7478348186268357,-28.371584699453557,0.9884583676834297,-0.0246913580246913,-0.5265588914549654,0.0105941181456055,-0.3348729792147806,0.0,0.1026881720430107,0.1553909878247772,0.2368421052631578,0.0290322580645161,0.4285714285714285,0.0166666666666666,,-0.0003975394785163,-0.0643483429930153,-33.128019323671495,-42000000.0,-2242000000.0,-5374000000.0,2949000000.0,917000000.0,1391000000.0,1197000000.0,48.096774193548384,99.1109669046074,70.08436080467229,1.8712273641851107,0.9080730701237478,1.284166666666667,0.4312749003984064,0.2608695652173913,2023-04-20,0.19,amc,1977200000.0,2025-04-25,2023-03-31,-2.473684210526316,64.38587301587302,2649378.3174603176
2022-12-30,STX,USD,1137789,2023-01-25,2023-01-25 17:01:21,2023,Q2,1887000000.0,1641000000.0,246000000.0,0.1303656598,200000000,0.0,125000000.0,125000000.0,-6000000.0,325000000.0,1966000000.0,1000000.0,77000000.0,148000000.0,193000000.0,0.1022787493,-84000000.0,-0.0445151033,122000000.0,-38000000.0,-0.0201377848,-5000000.0,-33000000.0,-0.0174880763,-0.16,-0.16,206000000,206000000,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000010/0001137789-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778923000010/stx-20221230.htm,9.16019417475728,-0.1601941747572815,1.2184466019417477,0.8349514563106796,3.7475728155339807,-2.2815533980582523,-8.300970873786408,-2.2815533980582523,29.640776699029125,10837660000.0,16096660000.0,-82.10348484848484,5.743328033916269,43.17792828685259,63.009651162790696,-23.05885106382979,-23.05885106382979,8.530291467938527,83.40238341968912,64.13011952191235,93.58523255813954,-0.0030449377448637,0.0158705846095928,-12.827659574468084,0.7663658319562731,27.24870466321244,1.1306422018348623,-1.0909090909090908,-7.606060606060606,0.0133792719092497,-4.393939393939394,0.0,0.1059883412824589,0.1576204398118723,0.3147410358565737,0.0418653948065712,0.5337837837837838,0.0174880763116057,,-0.0126250204951631,-0.0049796287913082,-30.766990291262136,356000000.0,-1710000000.0,-5256000000.0,3718000000.0,969000000.0,1398500000.0,1400000000.0,40.06359300476947,59.50639853747715,65.48446069469836,2.246428571428571,1.512442396313364,1.3743718592964824,0.0702127659574468,0.3834951456310679,2023-01-25,0.11,amc,1824571306.0,2025-04-25,2022-12-30,0.4545454545454546,61.057903225806456,2321318.629032258
