date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-28,STZ,USD,16918,2025-04-23,2025-04-23 13:26:00,2025,Q4,2164200000.0,1049500000.0,1114700000.0,0.5150633028,0,0.0,0.0,505300000.0,759700000.0,1265000000.0,1554800000.0,0.0,100200000.0,105900000.0,-136500000.0,-0.0630718048,-150300000.0,-0.069448295,-192300000.0,-342600000.0,-0.1583032991,28000000.0,-375300000.0,-0.1734128084,-2.09,-2.09,179913000,179913000,https://www.sec.gov/Archives/edgar/data/16918/000001691825000022/0000016918-25-000022-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691825000022/stz-20250228.htm,12.029147421253606,-2.086008237314702,3.305486540716902,1.734727340436767,0.3785162828700538,39.656945301340095,-2.91418630115667,38.25182171382835,67.88670079427278,31574731500.0,43620131500.0,-21.032994604316546,14.58956265594677,53.09354548511855,101.1686366549183,4.588016782911945,4.588016782911945,20.15531443489511,-319.5614029304029,73.34812762737515,139.76331784684396,-0.0118860868223059,0.0098844862702949,1.7601714617843651,0.5594555774675207,-88.24468864468865,0.9209952418715304,-1.5,-1.6046950890447922,0.0057165965132593,-0.4809485744737543,0.0,0.0,0.3537314742544672,0.4751975786110644,0.1305794288882728,2.668555240793201,0.005313741798355,,-0.0082006129782701,-0.0268201697967584,-72.18085963771378,-318800000.0,-524300000.0,-10801100000.0,15295800000.0,914450000.0,997850000.0,1783400000.0,41.28222899916828,80.5926631729395,123.24726060028584,2.180114838319734,1.116726963183656,0.7302393543000278,-0.0545335658238884,1.5707592002801354,2025-04-09,2.27,amc,2125878016.0,2025-05-11,2025-02-28,0.158590308370044,,
2024-11-30,STZ,USD,16918,2025-01-10,2025-01-10 14:01:01,2025,Q3,2463800000.0,1179500000.0,1284300000.0,0.5212679601,0,0.0,0.0,491300000.0,0.0,491300000.0,1670800000.0,0.0,104400000.0,119000000.0,897000000.0,0.3640717591,793000000.0,0.3218605406,-119400000.0,673600000.0,0.2733988148,44500000.0,615900000.0,0.2499797061,3.4,3.39,181243000,181753000,https://www.sec.gov/Archives/edgar/data/16918/000001691825000004/0000016918-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691825000004/stz-20241130.htm,13.593904316304627,3.398200206352797,3.780559800930243,2.520373200620162,0.4066363942331566,44.53523722295482,-1.428468961559895,43.13435553373096,5.487108467637371,43670500850.0,44486900850.0,17.726295198084102,17.72485625862489,63.73394753356684,95.60092130035028,5.586034542966051,5.586034542966051,18.056214323402877,49.59520719063545,64.92542447460596,97.38813671190891,0.0141033417985175,0.0104601502412125,0.1138555603878329,0.039028860573002,0.910144927536232,1.103526907874734,7.595785440613027,1.0891750119217931,0.0041836021214306,0.296639064783244,0.0,0.0,0.3652778630372442,0.3333333333333333,0.0927023297345563,1.919327731092437,0.0079957788781556,57.42848994359365,0.0362915272634322,0.0425474591726767,-71.55503936703762,340500000.0,-258900000.0,-11105000000.0,16456400000.0,853750000.0,1077650000.0,2114100000.0,30.545498822956407,80.5688851208139,162.4959728698601,2.9464243004066013,1.1170565394450231,0.5538598797896318,0.0787817544577758,1.260186600310081,2025-01-10,3.31,bmo,2530658907.0,2025-04-25,2024-11-30,-0.0181268882175226,,
2024-08-31,STZ,USD,16918,2024-10-03,2024-10-03 14:00:35,2025,Q2,2918900000.0,1407100000.0,1511800000.0,0.5179348385,0,0.0,0.0,491200000.0,0.0,2741200000.0,4148300000.0,0.0,104000000.0,109200000.0,-1121400000.0,-0.3841858234,-1229400000.0,-0.4211860632,-105200000.0,-1334600000.0,-0.4572270376,-152200000.0,-1199000000.0,-0.4107711809,-6.59,-6.59,181947000,181947000,https://www.sec.gov/Archives/edgar/data/16918/000001691824000178/0000016918-24-000178-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691824000178/stz-20240831.htm,16.0425838293569,-6.589831104662347,6.495298081309392,4.6936745315943655,0.3550484426783624,44.82569099792797,-1.7724941878678957,43.25875117479266,67.43117501250364,43796462370.0,55896762371.0,-9.131872887823189,15.004440840727671,37.05911522254189,51.2839137822014,5.564423231437719,5.564423231437719,19.149940858200008,-49.84551664972356,47.297988129125066,65.45288333840749,-0.0273766403749837,0.0194992918100384,1.5455735122223917,0.5270959439492875,-10.790351347422863,1.2515615347655982,-11.821153846153846,-0.9994925575101488,0.004185269541897,-0.1528773978315262,0.0,0.0,0.367362678787301,0.2773734980538162,0.1123025797389427,3.001831501831502,0.0081194970708143,,-0.0516743531284346,-0.082119350442102,-72.3058088399369,733000000.0,-322500000.0,-11276400000.0,17689699999.0,882600000.0,1119350000.0,2112800000.0,26.865257460002056,70.31909601307655,134.22926586596546,3.3500516469643062,1.2798799345097325,0.6704946154579243,-0.1523352137012756,1.8016235497150268,2024-10-03,4.08,bmo,2946318458.0,2025-04-25,2024-08-31,0.0588235294117647,184.755,2133098.035714286
2024-05-31,STZ,USD,16918,2024-07-03,2024-07-03 13:15:42,2025,Q1,2661700000.0,1274100000.0,1387600000.0,0.5213209603,0,0.0,0.0,461400000.0,0.0,461400000.0,1735500000.0,0.0,102800000.0,111900000.0,1135300000.0,0.4265319157,926200000.0,0.3479730999,-20800000.0,920800000.0,0.3459443213,28000000.0,877000000.0,0.3294886727,4.8,4.8,182766000,183461000,https://www.sec.gov/Archives/edgar/data/16918/000001691824000111/0000016918-24-000111-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691824000111/stz-20240531.htm,14.563430835056849,4.798485495113971,3.778054999288708,1.7246096101025354,0.4037950165785758,57.84390969874047,-0.7933641924646816,56.09248985040981,65.57620126281694,45733536180.0,57542036180.0,13.0369259350057,17.182077687192397,66.23249265749457,145.09370615482234,4.461025008291227,4.461025008291227,21.618528076041628,50.68443246718929,83.33386847212165,182.55722138324876,0.019176299784654,0.0068920977105164,1.1590452408357557,0.455957574990119,10.401215537743328,1.2261866632502725,9.009727626459144,0.7873432155074116,0.0040517312999958,0.2112884834663626,0.0,0.0,0.4112378693865334,0.543519188993483,0.1410001127099222,3.3538873994638068,0.0064996055152721,77.82080361940777,0.0372053127316687,0.0571588716825694,-74.85240690281562,706200000.0,-145000000.0,-11659800000.0,20327300000.0,987200000.0,1123200000.0,2102650000.0,30.22541984446031,80.47798445961855,150.247233341182,2.977626132677033,1.1183182656016852,0.5990126939351199,0.0855459529058311,2.0534453891861726,2024-07-03,3.46,bmo,2669085353.0,2025-04-25,2024-05-31,0.0317919075144508,181.66275,2805075.4166666665
2024-02-29,STZ,USD,16918,2024-04-23,2024-04-23 12:45:24,2024,Q4,2139100000.0,1126200000.0,1012900000.0,0.4735168996,0,-471500000.0,853500000.0,382000000.0,0.0,382000000.0,1508200000.0,0.0,102400000.0,106400000.0,701400000.0,0.3278949091,630900000.0,0.2949371231,-138300000.0,492600000.0,0.2302837642,88200000.0,392400000.0,0.1834416343,2.15,2.14,182916000,183561000,https://www.sec.gov/Archives/edgar/data/16918/000001691824000054/0000016918-24-000054-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691824000054/stz-20240229.htm,11.694438977454132,2.1452469986223184,2.36830020337204,0.4154912637494806,0.8331693236239586,55.02307069911872,-3.539329528308076,53.26543331365217,69.21209735616348,45458284320.0,57863484320.0,28.9617,21.251126324155017,104.93602105263156,598.13532,4.665690008313576,4.665690008313576,27.0503876957599,82.49712620473339,133.57221680517085,761.3616357894737,0.0086320899670944,0.0016718624808847,1.2888710985210046,0.4887804232495319,17.686341602509266,1.1870961581309485,6.1611328125,1.1039755351681957,0.0035791056005256,0.4146279306829765,-0.2204198027207704,0.0,0.416943993585477,0.8245614035087719,0.166986115656117,3.357142857142857,0.0065915571969519,50.70521665760501,0.0217275668653422,0.0261954511772598,-74.48869973102407,587800000.0,-647400000.0,-11897600000.0,19970300000.0,988900000.0,1067950000.0,2033150000.0,45.4607077742976,88.47362812999467,166.08684070324986,1.9797316057380845,1.0172522807334476,0.5418851946302267,0.0402746559103365,1.952808939622559,2024-04-11,2.08,bmo,2094731033.0,2025-04-25,2024-02-29,0.0865384615384614,237.59375,1416885.34375
2023-11-30,STZ,USD,16918,2024-01-05,2024-01-05 16:01:31,2024,Q3,2470900000.0,1200300000.0,1270600000.0,0.5142255858,0,0.0,0.0,473700000.0,0.0,473700000.0,1674000000.0,104200000.0,104200000.0,108100000.0,863200000.0,0.349346392,796900000.0,0.3225140637,-146000000.0,650900000.0,0.2634262819,130000000.0,509100000.0,0.2060382856,2.77,2.76,183525000,184170000,https://www.sec.gov/Archives/edgar/data/16918/000001691824000005/0000016918-24-000005-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691824000005/stz-20231130.htm,13.463560822776188,2.7740089906007355,3.9493257049448314,2.1517504427189755,0.4288244108432094,53.39000136221223,-4.9693502247650185,51.60604822231304,64.31112927394088,44135927250.0,55755727250.0,21.67350581909252,17.86228793152293,60.89393936258279,111.76481957457584,4.6601126860943936,4.6601126860943936,22.564946881703023,64.59189903846153,76.925672254415,141.18948404659406,0.0115348205355762,0.0089473593193853,1.235191637630662,0.4668680709091924,13.461306765523632,1.050741146187757,7.647792706333973,1.3914378959493183,0.0037044650512015,0.3211549793753683,0.0,0.0,0.4274346101351297,0.4551600441501103,0.1335141041725687,3.0518038852913967,0.0068800841798534,56.75387157812767,0.0276153398920731,0.0354847703352617,-73.63206647595696,171500000.0,-912000000.0,-11707600000.0,18595400000.0,915250000.0,1003800000.0,1901000000.0,32.68323283014286,77.14071482129468,149.06273431642092,2.753705561127828,1.166699066874028,0.6037726358148894,0.053753563509661,1.7975752622258547,2024-01-05,3.0,bmo,2544740000.0,2025-04-25,2023-11-30,0.0633333333333333,247.86890625,1149206.390625
2023-08-31,STZ,USD,16918,2023-10-05,2023-10-05 16:00:41,2024,Q2,2836800000.0,1386900000.0,1449900000.0,0.5111040609,0,0.0,0.0,471200000.0,0.0,471200000.0,1858100000.0,110600000.0,110600000.0,108400000.0,1087100000.0,0.38321348,978700000.0,0.34500141,-130800000.0,847900000.0,0.298893119,147200000.0,690000000.0,0.2432318105,3.76,3.74,183498000,184277000,https://www.sec.gov/Archives/edgar/data/16918/000001691823000190/0000016918-23-000190-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691823000190/stz-20230831.htm,15.459569041624432,3.7602589674001896,5.213135837992785,3.550992381388353,0.4539559014267185,52.99240318695571,-5.428397039749752,51.176579581248845,64.39906701980404,47812238880.0,59435438880.0,17.32327495652174,16.854286125211505,49.98143307547564,73.37667108655617,5.091391455467052,5.091391455467052,20.951578849407785,54.6733868825315,62.13196621367343,91.21460847145488,0.0144314513639859,0.0136283097228598,1.246592409592367,0.4695748094665062,10.691932664888236,1.2018547681539808,8.849005424954791,1.3652062223490795,0.0034196265188575,0.2369565217391304,0.0,0.0,0.4300080224628961,0.3188375496550282,0.1075155104342921,2.8136531365313653,0.0063451776649746,65.80149562550504,0.0350153871972082,0.0485576956910323,-73.6563886254891,576800000.0,-996100000.0,-11771700000.0,18877200000.0,933150000.0,991050000.0,1882700000.0,29.606598984771573,63.51719662556781,117.71576898118106,3.0398628375482213,1.4169391091131998,0.7645534729878721,0.0734761681645866,1.6621434566044315,2023-10-05,3.36,bmo,2822450000.0,2025-04-25,2023-08-31,0.1011904761904762,257.18650793650795,1188720.4126984128
2023-05-31,STZ,USD,16918,2023-06-30,2023-06-30 16:00:23,2024,Q1,2514900000.0,1257100000.0,1257800000.0,0.5001391705,0,0.0,0.0,493100000.0,0.0,493100000.0,1750200000.0,118200000.0,118200000.0,127700000.0,476100000.0,0.1893117023,764700000.0,0.3040677562,-533400000.0,230400000.0,0.0916139807,91200000.0,135900000.0,0.0540379339,0.74,0.74,183270000,183863000,https://www.sec.gov/Archives/edgar/data/16918/000001691823000103/0000016918-23-000103-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691823000103/stz-20230531.htm,13.722376821083648,0.7415288917989851,3.630708790309379,2.119277568614612,1.0503628526218147,48.60697331805533,-9.67479674796748,46.84345501173132,68.07006056637748,44529111900.0,56693611900.0,81.91521688741722,17.706116306811403,66.92081740306583,114.64755895983522,5.1868505416424,5.1868505416424,22.54308795578353,119.07921003990758,85.20230222422603,145.96707492276005,0.0030519360077334,0.0087223837042211,1.4393709959231218,0.499087207987334,25.550304557866,1.1448362325654289,6.469543147208122,4.780172413793103,0.003685229572252,1.2075055187637969,0.0,0.0,0.43140731526059,0.4162909528103396,0.1101435444749294,2.630579297245964,0.0057656368046443,27.95630418823108,0.0201345883142522,0.0096534284232733,-76.2971299176079,462100000.0,-1773100000.0,-12198400000.0,18333500000.0,1004450000.0,972400000.0,1925050000.0,33.39258022187761,71.82960782753958,139.70726274759366,2.6952095166648804,1.2529652147911892,0.6442041611150968,0.0158299359347699,1.5114312216947672,2023-06-30,2.83,bmo,2810560000.0,2025-04-25,2023-05-31,0.0282685512367491,253.0467213114754,1191548.31147541
2023-02-28,STZ,USD,16918,2023-04-20,2023-04-20 11:49:03,2023,Q4,1997800000.0,1036600000.0,961200000.0,0.4811292422,0,-366300000.0,860800000.0,494500000.0,0.0,494500000.0,1531100000.0,0.0,117200000.0,105400000.0,479000000.0,0.2397637401,466700000.0,0.2336069677,-210300000.0,256400000.0,0.1283411753,33200000.0,223000000.0,0.1116227851,1.21,1.21,183895079,184534000,https://www.sec.gov/Archives/edgar/data/16918/000001691823000045/0000016918-23-000045-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691823000045/stz-20230228.htm,10.863803484377089,1.2126480013094858,2.590063870061471,0.6781040617188022,0.7259574357615083,47.49392994904448,-10.438561001406676,45.75217589155825,71.11283276916834,41137329172.3,53963929172.3,46.11808203172646,20.59131503268595,86.36852650073483,329.89037026704085,4.889384944886849,4.889384944886849,27.011677431324458,112.65955985866388,113.29819267751417,432.7500334587008,0.0054208672387549,0.003031310065797,1.540375106969668,0.525502487602535,26.777870563674323,1.1778122157463868,3.982081911262799,2.135874439461884,0.0035636732609931,0.6573991031390135,-0.1833516868555411,0.0,0.4319751199198777,0.7381902162502625,0.1759935929522474,3.335863377609108,0.0062068275102612,35.33169829820396,0.0177022102975429,0.0159185654731311,-76.34081388333398,527800000.0,-1919600000.0,-12432300000.0,18046500000.0,998400000.0,974800000.0,1850350000.0,48.464310741816,81.74319891954467,164.84950800694577,1.8570366239077896,1.1010090281465743,0.5459524938115553,0.0265047066653988,1.9119598083426688,2023-04-06,1.86,bmo,2016200000.0,2025-04-25,2023-02-28,0.064516129032258,237.81857142857143,1148390.2063492064
2022-11-30,STZ,USD,16918,2023-01-05,2023-01-05 16:01:03,2023,Q3,2436500000.0,1209600000.0,1226900000.0,0.5035501744,0,0.0,0.0,480200000.0,0.0,480200000.0,1689800000.0,98700000.0,98700000.0,118100000.0,827400000.0,0.339585471,746700000.0,0.3064641904,-135900000.0,610800000.0,0.2506874615,131100000.0,467700000.0,0.1919556741,2.48,2.48,188624816,188624816,https://www.sec.gov/Archives/edgar/data/16918/000001691823000006/0000016918-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691823000006/stz-20221130.htm,12.917176285012252,2.4795252815515005,3.3203478380066387,2.00132733330274,0.4771376423768121,46.211840970066206,-10.186358511808963,44.477180563558505,65.05506677339847,48542596397.600006,60529896397.600006,25.94750716142827,19.923084915903964,77.50693980137315,128.58965933139075,5.786113164980035,5.786113164980035,24.84296999696286,73.156751749577,96.64680887370272,160.34409641748346,0.0096348369207363,0.0077766750856916,1.4508969545264914,0.4975800188039079,14.48791394730481,1.293908256880734,7.565349544072948,1.30560767146133,0.0030035476225002,0.3117382937780628,0.0,0.0,0.4348648980092384,0.3972537122784608,0.102113687666735,2.6217070600632244,0.0075107736507285,49.81316700771165,0.025921659796564,0.0338302627867109,-74.56362475656438,800900000.0,-1921400000.0,-12220400000.0,17962800000.0,949950000.0,983600000.0,1726500000.0,34.020110814693204,75.00744047619048,134.07738095238096,2.6454940282301846,1.1998809641900603,0.6712541620421754,0.0557482567495083,1.3190205047038983,2023-01-05,2.89,bmo,2379212875.0,2025-04-25,2022-11-30,-0.0207612456747405,261.0592063492064,901042.015873016
