date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-29,SYY,USD,96021,2025-04-30,2025-04-29 17:43:27,2025,Q3,19598000000.0,16017000000.0,3581000000.0,0.1827227268,0,0.0,0.0,-92000000.0,2900000000.0,2808000000.0,18917000000.0,0.0,149000000.0,238000000.0,910000000.0,0.0464333095,681000000.0,0.0347484437,-158000000.0,523000000.0,0.0266863966,122000000.0,401000000.0,0.0204612716,0.82,0.82,487519382,489331460,https://www.sec.gov/Archives/edgar/data/96021/000009602125000037/0000096021-25-000037-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602125000037/syy-20250329.htm,40.19942739425281,0.8225314004028664,1.679933209301615,1.2717443098498185,3.132183163130118,3.989584972028866,-8.930926975945338,3.942407360534437,30.271616975425196,36125186206.2,49207186206.2,22.52193653753117,1.8433098380549031,44.10889646666666,58.26642936483871,18.79562237575442,18.79562237575442,2.510826931635881,54.073830995824174,60.08203443980464,79.36642936483871,0.0111002888043571,0.0171625412935198,7.600936524453694,0.5544843815235131,14.375824175824176,1.261633281972265,4.570469798657718,2.0423940149625937,0.0068926980356232,0.6209476309226932,0.0,0.0,0.2390784529547956,0.2429792429792429,0.0101540973568731,0.8361344537815126,0.0,8.54177742407437,0.029045080015669,0.0200019952114924,-33.46174655267347,2547000000.0,-4354000000.0,-12120000000.0,15661000000.0,5392500000.0,6012500000.0,4971500000.0,25.1979793856516,34.74246113504402,27.493912717737405,3.571714962638965,2.5904900533721493,3.273451870018393,0.2086368366285119,0.4081888994517965,2025-04-29,1.02,bmo,20037851963.0,2025-05-11,2025-03-29,-0.0588235294117647,,
2024-12-28,SYY,USD,96021,2025-01-29,2025-01-28 17:41:01,2025,Q2,20151000000.0,16501000000.0,3650000000.0,0.18113245,0,0.0,0.0,0.0,2938000000.0,2938000000.0,19439000000.0,0.0,160000000.0,272000000.0,965000000.0,0.0478884423,712000000.0,0.0353332341,-179000000.0,533000000.0,0.0264503002,127000000.0,406000000.0,0.0201478835,0.83,0.82,490698567,492803849,https://www.sec.gov/Archives/edgar/data/96021/000009602125000010/0000096021-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602125000010/syy-20241228.htm,41.06594425819874,0.8273918598991955,0.9068703883131576,0.4768711704837727,1.6160634110838967,4.134921388511004,-8.628515110377325,4.104352723736404,28.22506714188142,37759254730.65,50656254730.65,23.25077261739532,1.8738154300357304,84.8522578216854,161.36433645576923,18.74838864481132,18.74838864481132,2.513833295154087,52.49352821829016,113.83428029359553,216.47972107115385,0.0107523308628875,0.0061971562116149,6.797418073485601,0.5407220159570266,13.364766839378238,1.2039150005233958,4.45,1.0960591133004929,0.0066738605355853,0.6206896551724138,0.0,0.0,0.2473734102219764,0.4741573033707865,0.0104709443700064,0.7757352941176471,0.001488759863034,8.741163009573057,0.0316940724699079,0.0213067436368407,-32.601480982111774,1948000000.0,-4234000000.0,-11788000000.0,14831000000.0,5549000000.0,6108000000.0,5020500000.0,23.662349263063867,31.86352342282286,27.54378522513787,3.803510758776897,2.824546388223211,3.2675247524752478,0.2015888778550149,0.4299992178293849,2025-01-28,0.93,bmo,20096502199.0,2025-04-27,2024-12-28,0.0,71.40392857142857,3483634.535714286
2024-09-28,SYY,USD,96021,2024-10-30,2024-10-29 17:43:28,2025,Q1,20484000000.0,16731000000.0,3753000000.0,0.1832161687,0,0.0,0.0,0.0,2945000000.0,2945000000.0,19643000000.0,0.0,160000000.0,269000000.0,1032000000.0,0.050380785,808000000.0,0.0394454208,-166000000.0,642000000.0,0.0313415349,152000000.0,490000000.0,0.0239211092,1.0,0.99,492023827,493785973,https://www.sec.gov/Archives/edgar/data/96021/000009602124000186/0000096021-24-000186-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602124000186/syy-20240928.htm,41.632130144786665,0.9958867296888044,0.1077183605581768,-0.1402371109153622,1.489765250738558,4.544495362416666,-8.507718062198641,4.485555127394267,27.579965146687908,38210570404.82,50887570404.82,19.49518898205102,1.865386174810584,720.9541585815093,-553.7763826785507,17.313353151255097,17.313353151255097,2.4842594417506345,49.30966124498062,960.1428378267924,-737.5010203597102,0.0128236766635179,-0.0018057830403729,6.076121431807884,0.518160741885626,12.28391472868217,1.2634322800297904,5.05,0.1081632653061224,0.0065688629439653,0.5122448979591837,0.0,0.0,0.248145285935085,2.30188679245283,0.0059558679945323,0.4535315985130111,0.0014645577035735,10.025460518092888,0.036076858506765,0.0251824442388734,-32.65187399146017,2476000000.0,-4186000000.0,-11769000000.0,15464000000.0,5573000000.0,6332000000.0,4834500000.0,25.483304042179263,34.28725121032814,26.847767616998382,3.5317241379310347,2.624882334483841,3.3522340212382287,0.222020842772995,0.247955471473539,2024-10-29,1.13,bmo,20468251372.0,2025-04-25,2024-09-28,-0.0353982300884954,73.29899999999999,3642409.5
2024-06-29,SYY,USD,96021,2024-08-28,2024-08-27 18:06:55,2024,Q4,20556104000.0,16718565000.0,3837539000.0,0.1866861055,0,-1572266000.0,4300000000.0,2755000000.0,-7735000.0,2861210000.0,19579775000.0,0.0,165133000.0,226000000.0,1227052000.0,0.059692829,1083000000.0,0.0526850808,-279539000.0,803461000.0,0.039086249,191783000.0,611678000.0,0.0297565142,1.23,1.23,501238422,497464115,https://www.sec.gov/Archives/edgar/data/96021/000009602124000128/0000096021-24-000128-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602124000128/syy-20240629.htm,41.01063106451165,1.2203334244795785,3.223629572435291,2.621443094400293,1.3885607516336806,3.772655720315072,-8.878010552830286,3.71080890522794,26.15548294899069,35783410946.58,48032410946.58,14.625101338686369,1.7407681410144646,22.14584473676621,27.233091632809938,19.238392982032256,19.238392982032256,2.336649539551853,39.14456025219796,29.72657684152872,36.55523646434312,0.017093898647984,0.0367200321389591,6.959677419354839,0.5195248224104025,9.982462030948971,1.1950005410669842,6.558349936112103,2.6415973763973857,0.0069829005505659,0.4085025127599815,-0.0764865754716944,0.0,0.2544848898342497,0.1868038695215455,0.0146836676833314,1.167845452646078,0.0013286564419016,10.094035026954677,0.0502892426598258,0.0329284022394487,-31.88402823596791,1802000000.0,-4450000000.0,-11983000000.0,14563000000.0,5454259000.0,6079739500.0,4705983000.0,23.40618630845612,33.860561597242345,25.182783330985643,3.845137298915077,2.6579594594594598,3.5738702436938863,0.3288591397849462,0.6021864780349979,2024-07-30,1.38,bmo,20514396008.0,2025-04-25,2024-06-29,0.0072463768115942,76.5528125,2980038.625
2024-03-31,SYY,USD,96021,2024-03-31,2024-03-30 20:00:00,2024,Q3,19379500000.0,15802444000.0,3577056000.0,0.1845793751,0,0.0,0.0,2810227000.0,84739000.0,2810227000.0,18612671000.0,0.0,157853000.0,253950000.0,966208000.0,0.0498572203,722046000.0,0.0372582368,-168233000.0,553813000.0,0.0285772595,129125000.0,424688000.0,0.0219142909,0.85,0.85,499642505,501921446,,,38.78673212560248,0.8499837298670176,1.0353322522070054,0.668341857744869,1.1975002006684758,4.270073059536839,-8.454741055307133,4.204912470367188,26.575549251959657,40256196627.85,52778295627.85,23.697512425504133,2.077256721166697,77.82042897654341,120.5520783508319,19.16092203292981,19.16092203292981,2.723408531068913,54.62415507618442,102.0272641347507,158.05102723862942,0.0105496305059825,0.0082951701346018,6.244985489918147,0.530925885610185,12.960044835066569,1.3392914238613596,4.574167104838046,1.2180612590890254,0.00627331991481,0.5946483065214935,0.0,0.0,0.2572746247421328,0.3544663016918746,0.0094617508191645,0.7220476471746406,0.0012223225573415,8.967575573690938,0.0334311749347427,0.0231381087191673,-30.90537003051812,2838604000.0,-4224348000.0,-11373955000.0,15369110000.0,5429942500.0,5803602500.0,4728232500.0,25.8327934157228,33.42857028950712,26.96145861994512,3.483943782294278,2.6923077840469314,3.338098330237268,0.2021406476013504,0.3669903944621365,2024-04-30,0.95,bmo,19735162376.0,2025-04-25,2024-03-31,0.0105263157894736,75.1740625,3137807.09375
2023-12-30,SYY,USD,96021,2024-01-31,2024-01-30 18:24:32,2024,Q2,19287942000.0,15803309000.0,3484633000.0,0.1806638054,0,0.0,0.0,2768080000.0,8961000.0,2768080000.0,18587899000.0,320000.0,150000000.0,249784000.0,939243000.0,0.048695864,700043000.0,0.0362943335,-154925000.0,545118000.0,0.0282621132,129876000.0,415242000.0,0.0215285799,0.82,0.82,504312633,505929342,https://www.sec.gov/Archives/edgar/data/96021/000009602124000018/0000096021-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602124000018/syy-20231230.htm,38.24600205880625,0.8233821102792006,1.5243421435369833,1.176476576584192,1.907874078577762,4.833115096682498,-7.915248873014054,4.766951772949142,26.014390958157893,36880382851.29,48887603851.29,22.204150140935884,1.9120952795943704,47.97479378895473,62.1601835986631,15.341040455871257,15.341040455871257,2.5346200155148746,52.05000607009049,63.59404464587087,82.39780056916092,0.0112591564375659,0.0160874685708217,5.3948430013885,0.5242146704520234,12.78393450896094,1.3701182512469146,4.666953333333334,1.851318026596539,0.006852098065765,0.6085800569306573,0.0,0.0,0.2598627656619983,0.228207012728538,0.0090954752974682,0.7045502008032128,0.0014821176878279,9.397500371600202,0.0317235860959526,0.022676643671934,-29.75685967002139,3055130001.0,-3991760000.0,-10993600000.0,15465831001.0,5320940500.0,5767062000.0,4685554500.0,24.718190774319,32.676405934984885,26.894678196825744,3.6410431823960847,2.754280877127977,3.346386944708723,0.1727271744076831,0.3478655669527913,2024-01-30,0.88,bmo,19318400000.0,2025-04-25,2023-12-30,0.0113636363636363,74.72571428571429,3343900.3492063493
2023-09-30,SYY,USD,96021,2023-11-01,2023-10-31 17:54:04,2024,Q1,19620454000.0,15972682000.0,3647772000.0,0.1859167989,0,0.0,0.0,2791143000.0,15468000.0,2844000000.0,18816872000.0,0.0,134000000.0,235000000.0,1028857000.0,0.0524379813,803582000.0,0.0409563408,-140974000.0,662608000.0,0.0337712879,159216000.0,503392000.0,0.0256564909,1.0,0.99,505126492,507069435,https://www.sec.gov/Archives/edgar/data/96021/000009602123000201/0000096021-23-000201-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602123000201/syy-20230930.htm,38.84265488098771,0.9965662224661144,0.172535001391295,-0.1667146770832997,1.1266564098562464,4.276847550494343,-6.7981744263771455,4.208448841364669,23.424304975871276,33363604796.6,44492737796.6,16.569395618424608,1.7004501932829892,382.8208738365155,-396.1858737068352,15.69461872764076,15.69461872764076,2.2676711658456017,43.24482196903943,510.51883831237376,-528.3420153493564,0.0150880578723105,-0.0025240677832445,5.502983584054748,0.5026581086181002,10.816987200359234,1.28879851396306,5.9968805970149255,0.1731294895429407,0.0075795167081517,0.5023520437352997,0.0,0.0,0.2403792744570678,1.9662658344042592,0.0087339467272265,0.7298047766685973,0.001235139615016,9.714162557643114,0.0400929722406505,0.0284748720250809,-28.13277015769745,2441550000.0,-3433938000.0,-10216688000.0,13831241000.0,5221257000.0,5859752000.0,4564711000.0,24.515551984678847,32.66050247541396,26.193152784234982,3.671139040893148,2.7556220259547395,3.4360124854526406,0.2368013156464934,0.3392496784745948,2023-10-31,1.04,bmo,19782500000.0,2025-04-25,2023-09-30,0.0288461538461538,78.80180327868852,3029333.7540983604
2023-07-01,SYY,USD,96021,2023-08-25,2023-08-24 20:10:07,2023,Q4,19728216000.0,16043801000.0,3684415000.0,0.1867586507,0,-1369014000.0,4000000000.0,2630986000.0,124172000.0,2715769000.0,18762892000.0,0.0,135629000.0,229773000.0,1323342000.0,0.0670786451,969397000.0,0.0491375905,-11457000.0,957940000.0,0.0485568487,224204000.0,733736000.0,0.0371922124,1.45,1.44,506546404,508507679,https://www.sec.gov/Archives/edgar/data/96021/000009602123000117/0000096021-23-000117-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602123000117/syy-20230701.htm,38.94651278582564,1.4485069762729972,2.846372985010866,2.2168768569522803,1.4711406380845613,4.0308923010338855,-6.837379502944808,3.96532673835742,22.31087993272972,37585743176.8,48006409176.8,12.806289720280864,1.905176989992405,26.068263151294893,33.47051044684942,18.71220328005966,18.71220328005966,2.433388258563268,36.27664592886797,33.29570208264555,42.75022612455931,0.0195216573621697,0.0298770465896533,5.558968785565427,0.4892772470443529,7.874507119096953,1.2421342102912112,7.147416850378606,1.9650391966592888,0.0066143962839998,0.3388235005506068,-0.0693937049351041,0.0,0.2412360992404193,0.2211572873174182,0.0161630935103305,1.3877566119605,0.0011098317252811,11.368182681657297,0.0510622054115603,0.0423736365174102,-27.57931729389989,2067931000.0,-3463450000.0,-10170947000.0,13220030000.0,5162693500.0,5912677500.0,4550713000.0,23.257044630898204,33.22651159784393,25.135756794789465,3.8697952138093368,2.7086803781664552,3.5805566044725823,0.3652932209245941,0.6294961280585856,2023-08-01,1.33,bmo,19988000000.0,2025-04-25,2023-07-01,0.0075187969924812,69.02285714285713,2891537.492063492
2023-04-01,SYY,USD,96021,2023-05-02,2023-05-02 08:06:05,2023,Q3,18875676000.0,15444316000.0,3431360000.0,0.1817873966,0,0.0,0.0,2701879000.0,33754000.0,2735633000.0,18179949000.0,0.0,134931000.0,195996000.0,910650000.0,0.0482446298,695727000.0,0.0368583885,-141690000.0,554037000.0,0.0293519024,124433000.0,429604000.0,0.0227596617,0.84,0.84,507716975,509842400,https://www.sec.gov/Archives/edgar/data/96021/000009602123000065/0000096021-23-000065-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602123000065/syy-20230401.htm,37.17755546778793,0.8461485850458319,1.816594767192884,1.4920202343047522,1.4926958075411996,3.167721542105225,-7.665940263273647,3.102716823679177,23.329478002975968,39210981979.25,50162955979.25,22.818096420919037,2.077328620137896,42.51360919603477,51.76203259467687,24.89108880662248,24.89108880662248,2.6575448730551425,55.08478117745566,54.388036182013536,66.21962601745952,0.0109562163025486,0.0193191795196782,7.4333943586690046,0.5158058311341543,12.026545873826388,1.2135525655750894,5.156168708450986,2.146898073574734,0.0063516644426757,0.5797315667451886,0.0,0.0,0.242288168641108,0.1786719519123597,0.0087303893116198,0.7203234619167304,0.0011170990644255,7.685739237605303,0.0371036677735597,0.0249746549724825,-27.78125106216904,1917859000.0,-3892128001.0,-10195133001.0,12776412000.0,5080512000.0,5661335500.0,4641065000.0,24.92439635009628,34.39468669250228,26.926104076088578,3.610919949106504,2.6166832337978287,3.342481323910632,0.2727121529713033,0.3245745328881312,2023-05-02,0.92,bmo,19949800000.0,2025-04-25,2023-04-01,-0.0217391304347826,71.8520634920635,2443065.6825396824
2022-12-31,SYY,USD,96021,2023-02-01,2023-01-31 17:50:14,2023,Q2,18593953000.0,15244337000.0,3349616000.0,0.1801454484,0,0.0,0.0,2653249000.0,55544000.0,2708793000.0,17953130000.0,0.0,132042000.0,218367000.0,529835000.0,0.0284950166,640823000.0,0.034464054,-462347000.0,178476000.0,0.0095986044,37260000.0,141216000.0,0.0075947272,0.28,0.28,507609696,510145794,https://www.sec.gov/Archives/edgar/data/96021/000009602123000033/0000096021-23-000033-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602123000033/syy-20221231.htm,36.63041337965301,0.2781979956505795,0.679380245723281,0.3988418692459334,0.9856785714353258,2.895718918655171,-7.915922472844176,2.8301055147693632,23.4863835225086,38806761259.200005,50096295259.200005,68.70107009687288,2.087063533999468,112.52902992286724,191.6799761884064,27.013127108170817,27.013127108170817,2.6942251203496106,94.55074741985712,145.26560128515922,247.44287775714236,0.0036389535075288,0.0052170290287237,8.206852481816302,0.5337868744162634,21.307641058065247,1.239313342602349,4.853175504763636,2.442074552458645,0.0064171549472184,1.7634616474053932,0.0,0.0,0.2484736090277681,0.412932784318274,0.0076586189069102,0.6521315033865007,0.0013689934571739,4.208909340671403,0.034707565416796,0.0085074302356803,-27.74968713363584,2007485000.0,-4018199000.0,-10221330000.0,12766549000.0,5135247000.0,5719324500.0,4672062500.0,23.880200729774888,32.00125922170312,27.5208059228814,3.768812541336138,2.8123893305724166,3.270253067886069,0.0982995136396004,0.2805383764773476,2023-01-31,0.83,bmo,18590491668.0,2025-04-25,2022-12-31,-0.0361445783132529,73.94806451612902,2468573.2258064514
