date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-28,TDG,USD,1260221,2025-02-04,2025-02-04 16:04:58,2025,Q1,2006000000.0,771000000.0,1235000000.0,0.6156530409,0,207000000.0,0.0,207000000.0,54000000.0,261000000.0,982000000.0,0.0,378000000.0,90000000.0,1087000000.0,0.5418743769,974000000.0,0.4855433699,-355000000.0,619000000.0,0.3085742772,126000000.0,493000000.0,0.2457627119,7.62,7.62,58300000,58300000,https://www.sec.gov/Archives/edgar/data/1260221/000126022125000014/0001260221-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022125000014/tdg-20241228.htm,34.4082332761578,8.456260720411663,12.898799313893653,12.178387650085764,42.17838765008576,-107.221269296741,-341.5951972555746,-107.34133790737565,436.1406518010291,75259470000.0,97849470000.0,38.16403144016227,37.51718344965105,100.07908244680851,105.99925352112676,-12.026121764141898,-12.026121764141898,48.77839980059821,90.01791168353266,130.1189760638298,137.81615492957746,0.0065506706332106,0.0094340287009727,-4.002716522850751,1.16425749477109,20.78196872125115,2.6952714535901925,2.5767195767195767,1.5253549695740365,0.0584112537598258,8.91683569979716,0.1031904287138584,0.0,0.6350917964211016,0.0558510638297872,0.0209371884346959,0.4666666666666667,0.0124626121635094,,0.0388296269676935,0.0627945484651636,-400.9991423670669,3872000000.0,-19915000000.0,-21610000000.0,19013000000.0,1333000000.0,319000000.0,1903000000.0,57.65204386839482,36.77042801556421,225.29182879377436,1.561089494163424,2.447619047619048,0.3994818652849741,-0.0787791626717801,0.7204116638078902,2025-02-04,7.83,bmo,2031921211.0,2025-05-04,2024-12-28,0.0,1333.2398333333333,255865.2333333333
2024-09-30,TDG,USD,1260221,2024-11-07,2024-11-07 16:05:07,2024,Q4,2186000000.0,927000000.0,1259000000.0,0.5759377859,0,252000000.0,0.0,252000000.0,64000000.0,316000000.0,1243000000.0,0.0,342000000.0,93000000.0,1040000000.0,0.4757548033,943000000.0,0.4313815188,-338000000.0,605000000.0,0.2767612077,138000000.0,468000000.0,0.2140896615,4.16,5.79,80785720,58000000,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000083/0001260221-24-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000083/tdg-20240930.htm,27.059237696959315,5.793103038507301,7.080459269286701,6.572943832152514,77.50132077797907,-77.77364613449011,-249.40051286291688,-77.8602951115618,312.4438328952196,115291724583.6,133929724583.6,61.58745971346154,52.7409536064044,201.55895906223776,217.12189187118645,-18.329367978314785,-18.329367978314785,61.26702862927722,128.7785813303846,234.14287514615387,252.22170354726933,0.0040592679282947,0.004605707841719,-3.9585055643879175,0.9731493785664036,17.921153846153846,1.5821107430194037,2.757309941520468,1.2222222222222223,0.0,0.0,0.1152790484903934,0.0,0.5418979129211288,0.0716783216783216,0.0187557182067703,0.4408602150537634,0.0269899359560841,,0.0366590692656548,0.0399283337599181,-292.5547980509427,3690000000.0,-20148000000.0,-21840000000.0,19043000000.0,1474500000.0,321500000.0,1877000000.0,56.85727355901189,31.359223300970875,182.1359223300971,1.5829109341057206,2.869969040247678,0.494136460554371,-0.0744038155802861,0.5075154371341866,2024-11-07,9.26,bmo,2162331821.0,2025-04-25,2024-09-30,0.0615550755939525,1317.6221875,266474.328125
2024-06-29,TDG,USD,1260221,2024-08-06,2024-08-06 16:03:45,2024,Q3,2045000000.0,866000000.0,1179000000.0,0.5765281174,0,227000000.0,0.0,227000000.0,14000000.0,227000000.0,1093000000.0,0.0,316000000.0,75000000.0,1023000000.0,0.5002444988,952000000.0,0.4655256724,-332000000.0,602000000.0,0.2943765281,141000000.0,461000000.0,0.2254278729,7.96,7.96,57900000,57900000,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000069/0001260221-24-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000069/tdg-20240629.htm,35.31951640759931,7.962003454231433,10.500863557858375,9.810017271157168,59.0846286701209,-43.350604490500864,-270.18998272884284,-43.48877374784111,384.4905008635579,73973619000.0,92559619000.0,40.11584544468546,36.17291882640587,121.66713651315789,130.23524471830987,-29.37792652899126,-29.37792652899126,45.26142738386308,90.4786109481916,152.23621546052632,162.95707570422536,0.0062319514204111,0.0076784130299208,-8.715647339158062,1.0054059006780285,18.16813294232649,3.814694759589411,3.0126582278481013,1.3188720173535793,0.0,0.0,0.111002444987775,0.0,0.6017042330951072,0.0657894736842105,0.0195599022004889,0.5194805194805194,0.0229828850855745,,0.0355153337464779,0.0530250747642052,-324.7322970639033,5210000000.0,-15644000000.0,-17277000000.0,19838000000.0,1487500000.0,311000000.0,1815500000.0,69.00733496332518,33.25635103926097,195.1732101616628,1.3042091836734695,2.70625,0.4611288604898828,-0.1830818109610802,0.690846286701209,2024-08-06,8.56,bmo,2005172967.0,2025-04-25,2024-06-29,0.0514018691588784,1300.32734375,217238.390625
2024-03-30,TDG,USD,1260221,2024-05-07,2024-05-07 16:02:30,2024,Q2,1918000000.0,801000000.0,1117000000.0,0.5823774765,0,237000000.0,0.0,237000000.0,6000000.0,237000000.0,1038000000.0,0.0,326000000.0,72000000.0,952000000.0,0.496350365,880000000.0,0.4588112617,-348000000.0,519000000.0,0.2705943691,115000000.0,403000000.0,0.2101147028,6.97,6.97,57800000,57800000,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000046/0001260221-24-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000046/tdg-20240330.htm,33.18339100346021,6.972318339100346,3.961937716262976,3.131487889273356,85.01730103806229,-52.28373702422145,-255.7439446366782,-52.40484429065744,394.30795847750863,71186480000.0,88813480000.0,44.16034739454094,37.11495307612096,310.8579912663755,393.2954696132597,-23.50164410696599,-23.50164410696599,46.30525547445256,93.2914705882353,387.8317903930131,490.6822099447514,0.0056611873490584,0.0025426176431254,-7.41663915483658,1.0411549334939982,18.51575630252101,3.705592841163311,2.6993865030674846,0.5682382133995038,0.0,0.0,0.1235662148070907,0.0,0.5450247949205173,0.2096069868995633,0.0250260688216892,0.6666666666666666,0.0312825860271115,,0.0335181109708552,0.0410512376489762,-307.14965397923874,6047000000.0,-14782000000.0,-16317000000.0,19151000000.0,1374000000.0,295000000.0,1730500000.0,66.02189781021897,33.93258426966292,196.96629213483143,1.36318407960199,2.652317880794702,0.4569309754706218,-0.1330472103004291,0.8304498269896193,2024-05-07,7.42,bmo,1878079593.0,2025-04-25,2024-03-30,0.0768194070080862,1282.136031746032,229436.96825396825
2023-12-30,TDG,USD,1260221,2024-02-08,2024-02-08 16:03:43,2024,Q1,1789000000.0,763000000.0,1026000000.0,0.5735047513,0,220000000.0,0.0,220000000.0,1000000.0,220000000.0,983000000.0,0.0,300000000.0,71000000.0,859000000.0,0.480156512,806000000.0,0.4505310229,-299000000.0,488000000.0,0.2727780883,106000000.0,281000000.0,0.1570709894,4.87,4.87,57700000,57700000,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000021/0001260221-24-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022124000021/tdg-20231230.htm,31.0051993067591,4.87001733102253,11.022530329289427,10.398613518197571,72.9636048526863,-60.762564991334486,-264.73136915077987,-60.88388214904679,385.3899480069324,58369320000.0,76171320000.0,51.93000000000001,32.62678591391839,91.77566037735848,97.2822,-16.615234842015372,-16.615234842015372,42.577596422582445,88.67441210710128,119.76622641509434,126.9522,0.0048141729250914,0.0102793727937896,-6.244520352974665,1.0605269518975102,20.72409778812573,4.068206820682068,2.6866666666666665,2.263345195729537,0.0349156029229053,7.252669039145908,0.1229737283398546,0.0,0.5689630166787527,0.0566037735849056,0.0201229737283398,0.5070422535211268,0.0285075461151481,,0.0324918235404365,0.0315163750560789,-314.05979202772966,5578000000.0,-15275000000.0,-16795000000.0,18741000000.0,1381000000.0,296500000.0,1662000000.0,67.46226942425938,33.97116644823067,201.4678899082569,1.3340790454884417,2.649305555555556,0.4467213114754098,-0.0799886137204668,0.6239168110918544,2024-02-08,6.41,bmo,1677057757.0,2025-04-25,2023-12-30,0.1170046801872074,1125.8275409836065,215178.45901639343
2023-09-30,TDG,USD,1260221,2023-11-09,2023-11-09 16:02:56,2023,Q4,1852000000.0,761000000.0,1091000000.0,0.5890928726,0,199000000.0,-8000000.0,202000000.0,1000000.0,235000000.0,996000000.0,292000000.0,292000000.0,69000000.0,927000000.0,0.5005399568,856000000.0,0.4622030238,-307000000.0,549000000.0,0.2964362851,135000000.0,415000000.0,0.2240820734,7.23,7.23,57300000,57300000,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000081/0001260221-23-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000081/tdg-20230930.htm,32.32111692844677,7.2425828970331585,8.06282722513089,7.417102966841187,62.39092495636999,-34.52006980802793,-239.3193717277487,-34.62478184991274,347.20767888307154,48311349000.0,64442349000.0,29.103222289156623,26.086041576673868,104.57001948051948,113.67376235294118,-24.3504783266129,-24.3504783266129,34.79608477321814,69.51709708737864,139.4856038961039,151.62905647058824,0.0085901140951373,0.008797104796225,-9.88054435483871,0.9816224336504756,17.401294498381876,4.267257758074731,2.9315068493150687,1.115942028985507,0.0,0.0,0.1074514038876889,0.0,0.5876314471707561,0.08008658008658,0.0199784017278617,0.5362318840579711,0.0140388768898488,,0.034408752490475,0.050394656952034,-287.9450261780105,5159000000.0,-13713000000.0,-15210000000.0,18213000000.0,1290000000.0,298500000.0,1609500000.0,69.0550755939525,36.07095926412615,191.11695137976344,1.303307529908515,2.495081967213115,0.4709158415841584,-0.2091733870967742,0.6457242582897034,2023-11-09,7.54,bmo,1834850000.0,2025-04-25,2023-09-30,0.0649867374005304,922.5409523809524,231454.3333333333
2023-07-01,TDG,USD,1260221,2023-08-08,2023-08-08 16:07:49,2023,Q3,1744000000.0,715000000.0,1029000000.0,0.5900229358,0,205000000.0,4000000.0,209000000.0,9000000.0,246000000.0,961000000.0,291000000.0,291000000.0,69000000.0,861000000.0,0.4936926606,783000000.0,0.4489678899,-314000000.0,469000000.0,0.2689220183,117000000.0,351000000.0,0.2012614679,6.14,6.14,57200000,57200000,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000058/0001260221-23-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000058/tdg-20230701.htm,30.48951048951049,6.136363636363637,7.0979020979020975,6.468531468531468,55.61188811188811,-41.73076923076923,-253.02447552447552,-41.85314685314685,350.6293706293706,51146524000.0,67840524000.0,36.429148148148144,29.32713532110092,125.97666009852216,138.23384864864866,-21.36446282372598,-21.36446282372598,38.89938302752294,78.79271080139372,167.09488669950738,183.35276756756755,0.0068626364520881,0.0072341181973578,-8.256056808688388,1.0107389414472,19.389082462253192,4.078277886497065,2.6907216494845363,1.1534090909090908,0.0,0.0,0.117545871559633,0.0,0.6180516491945794,0.0886699507389162,0.0206422018348623,0.5142857142857142,0.0309633027522935,,0.0324875547237946,0.0469942428705315,-298.7805944055944,4719000000.0,-14473000000.0,-15690000000.0,17788000000.0,1168500000.0,292000000.0,1566000000.0,59.810779816513765,36.75524475524476,201.7762237762238,1.5047454702329597,2.448630136986301,0.4460386774797255,-0.1466165413533834,0.6293706293706294,2023-08-08,6.39,bmo,1686660000.0,2025-04-25,2023-07-01,0.134585289514867,877.2977777777778,226855.2063492064
2023-04-01,TDG,USD,1260221,2023-05-09,2023-05-09 16:05:31,2023,Q2,1592000000.0,663000000.0,929000000.0,0.5835427136,0,0.0,0.0,196000000.0,38000000.0,234000000.0,897000000.0,0.0,0.0,66000000.0,764000000.0,0.4798994975,695000000.0,0.4365577889,-298000000.0,397000000.0,0.2493718593,93000000.0,304000000.0,0.1909547739,5.32,5.32,57100010,57100000,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000040/0001260221-23-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000040/tdg-20230401.htm,27.880905800191627,5.32399206234815,2.276707131925196,1.663747519483797,61.29596124413989,-50.66549025122762,-251.506085550598,-50.80559530549995,366.5848745035246,42085562370.5,59599562370.5,34.60983747574013,26.4356547553392,323.7350951576923,443.00591968947367,-14.507260382799034,-14.507260382799034,37.43691103674623,78.00989839070681,458.45817208076926,627.3638144263158,0.0072233797738934,0.0022573061793416,-7.215442950706653,1.0461815273890445,22.92408376963351,2.956383822363204,0.0,0.4276315789473684,0.0,0.0,0.0,0.0,0.573170731707317,0.2692307692307692,0.0219849246231155,0.4545454545454545,0.0263819095477386,,0.0279894517601904,0.0355971896955503,-310.9106285620616,4934000000.0,-14361000000.0,-15445000000.0,17335000000.0,1019000000.0,281500000.0,1484000000.0,66.59547738693468,39.63800904977376,207.55656108597285,1.3514431239388796,2.2705479452054798,0.4336167429692609,-0.1047914512237159,0.6129596124413988,2023-05-09,5.45,bmo,1523310000.0,2025-04-25,2023-04-01,0.0972477064220184,790.905806451613,258628.0806451613
2022-12-31,TDG,USD,1260221,2023-02-07,2023-02-07 16:02:05,2023,Q1,1397000000.0,604000000.0,793000000.0,0.5676449535,0,169000000.0,0.0,169000000.0,34000000.0,203000000.0,807000000.0,-4000000.0,286000000.0,63000000.0,655000000.0,0.4688618468,590000000.0,0.4223335719,-289000000.0,301000000.0,0.2154617037,72000000.0,228000000.0,0.1632068719,3.33,3.33,57100000,57100000,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000007/0001260221-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000007/tdg-20221231.htm,24.46584938704028,3.9929947460595447,6.602451838879159,6.059544658493871,57.58318739054291,-58.28371278458844,-259.14185639229424,-58.423817863397545,352.661996497373,35953015000.0,52516015000.0,39.42216557017544,25.73587329992841,95.3660875331565,103.9104479768786,-10.777282673860912,-10.777282673860912,37.59199355762348,80.17712213740458,139.299774535809,151.7803901734104,0.0063416100151823,0.0096236713388293,-5.950539568345324,1.073665422683758,25.28702290076336,4.2109375,2.062937062937063,1.6462882096069869,0.0010569350025303,0.1666666666666666,0.120973514674302,0.0,0.6203147817621288,0.0822281167108753,0.0221904080171796,0.492063492063492,0.0250536864710093,,0.0256365544516356,0.0324786324786324,-300.6042031523643,4521000000.0,-14797000000.0,-15888000000.0,16854000000.0,913500000.0,275000000.0,1385500000.0,55.40443808160344,40.38079470198676,214.4205298013245,1.6244186046511628,2.2287822878228782,0.4197359277275886,-0.0683453237410072,0.542907180385289,2023-02-07,4.31,bmo,1374883571.0,2025-04-25,2022-12-31,0.0626450116009281,714.4275806451614,342984.67741935485
2022-09-30,TDG,USD,1260221,2022-11-10,2022-11-10 16:16:08,2022,Q4,1510000000.0,625000000.0,885000000.0,0.5860927152,0,343000000.0,-10000000.0,210000000.0,34000000.0,244000000.0,869000000.0,277000000.0,277000000.0,65000000.0,706000000.0,0.4675496689,641000000.0,0.4245033113,-279000000.0,362000000.0,0.2397350993,96000000.0,266000000.0,0.1761589404,4.68,4.68,56800000,56800000,https://www.sec.gov/Archives/edgar/data/1260221/000126022122000065/0001260221-22-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022122000065/tdg-20220930.htm,26.58450704225352,4.683098591549296,4.806338028169014,4.225352112676056,54.19014084507042,-66.30281690140845,-266.84859154929575,-66.42605633802818,353.69718309859155,29809776000.000004,46621776000.0,28.01670676691729,19.741573509933776,109.19331868131869,124.20740000000002,-7.900815266366287,-7.900815266366287,30.87534834437086,66.03650991501416,170.77573626373626,194.2574,0.0089232471924646,0.0080510500984643,-5.251258945136496,1.0942177058596123,23.813031161473088,3.961430575035063,2.3140794223826715,1.030188679245283,0.0350556139703968,3.928571428571429,0.2271523178807947,0.0,0.629093720660518,0.1208791208791208,0.0218543046357615,0.5076923076923077,0.0251655629139072,,0.0275042948743799,0.0396069088743299,-306.40404929577466,4223000000.0,-15157000000.0,-16224000000.0,16421000000.0,925000000.0,263500000.0,1326000000.0,57.63576158940398,40.176,191.808,1.56153050672182,2.240143369175627,0.4692192192192192,-0.0705009276437847,0.5809859154929577,2022-11-10,5.2,bmo,1504159296.0,2025-04-25,2022-09-30,0.0576923076923076,589.1757142857143,270709.5555555556
