date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-28,TEL,USD,1385157,2025-04-28,2025-04-28 10:40:21,2025,Q2,4143000000.0,2684000000.0,1459000000.0,0.3521602703,203000000,0.0,0.0,454000000.0,0.0,657000000.0,3341000000.0,22000000.0,14000000.0,192000000.0,961000000.0,0.2319575187,748000000.0,0.1805454984,7000000.0,755000000.0,0.1822350953,742000000.0,13000000.0,0.0031378228,0.04,0.04,298000000,300000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837025005632/0001558370-25-005632-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837025005632/tel-20250328x10q.htm,13.90268456375839,0.0436241610738255,2.1912751677852347,1.419463087248322,8.570469798657719,40.99664429530201,17.302013422818792,40.553691275167786,18.885906040268456,42354740000.0,45414740000.0,814.5142307692307,10.223205406710113,64.86177641653906,100.12940898345154,3.5047364501448075,3.5047364501448075,10.961800627564566,47.25779396462018,69.54784073506892,107.36345153664304,0.0003069314083854,0.0099870758266961,0.4645428216797683,0.2373182279337166,3.1841831425598337,1.512585430905151,53.42857142857143,50.23076923076923,0.0045567509091072,14.846153846153848,0.0,0.0489983104030895,0.2984866418667568,0.3522205206738131,0.0555153270576876,1.1979166666666667,0.0082066135650494,6.309137588239577,0.0006437160235243,0.0007833684844832,-17.411912751677853,3075000000.0,5156000000.0,-2365000000.0,14061000000.0,3052500000.0,1851000000.0,2611000000.0,69.36278059377263,61.79955290611028,87.28390461997019,1.2975258377701222,1.456321215409658,1.0311179408374953,0.0010757136946628,0.7718120805369127,2025-04-23,1.96,bmo,3969794806.0,2025-05-11,2025-03-28,0.0714285714285715,137.77214285714285,2201203.4285714286
2024-12-27,TEL,USD,1385157,2025-01-24,2025-01-24 11:43:24,2025,Q1,3836000000.0,2476000000.0,1360000000.0,0.354535975,188000000,0.0,0.0,427000000.0,55000000.0,670000000.0,3146000000.0,23000000.0,6000000.0,186000000.0,898000000.0,0.2340980188,690000000.0,0.1798748697,16000000.0,706000000.0,0.1840458811,178000000.0,528000000.0,0.1376433785,1.77,1.75,299000000,301000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837025000397/0001558370-25-000397-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837025000397/tel-20241227x10q.htm,12.82943143812709,1.765886287625418,2.936454849498328,2.250836120401338,4.193979933110368,41.91638795986622,18.464882943143813,41.50167224080268,14.08361204013378,43349020000.0,46300020000.0,20.525104166666665,11.300578727841502,49.372460136674256,64.41161961367014,3.493353211378837,3.493353211378837,12.069869655891551,51.55904231625835,52.73350797266515,68.79646359583953,0.012180206149989,0.0155251491267853,0.3388669514062374,0.1873802415222138,3.286191536748329,1.6809747373127657,115.0,1.6628787878787878,0.004359960155962,0.3579545454545454,0.0,0.0490093847758081,0.3124637939485762,0.2334851936218678,0.0534410844629822,1.1021505376344083,0.0091240875912408,40.60742251460997,0.0273207324404001,0.0342212716313435,-17.259197324414714,3046000000.0,5521000000.0,-2389000000.0,13817000000.0,2983500000.0,1793500000.0,2568000000.0,68.32116788321167,67.57269789983845,95.1978998384491,1.3173076923076923,1.3318988703604089,0.9453990072546774,0.0425497622693206,0.68561872909699,2025-01-22,1.89,bmo,3904657473.0,2025-04-25,2024-12-27,0.0317460317460317,148.00424999999998,1704873.933333333
2024-09-27,TEL,USD,1385157,2024-11-12,2024-11-12 12:05:13,2024,Q4,4068000000.0,2685000000.0,1383000000.0,0.3399705015,195000000,0.0,0.0,433000000.0,0.0,628000000.0,3313000000.0,26000000.0,15000000.0,232000000.0,943000000.0,0.2318092429,755000000.0,0.1855948869,-98000000.0,657000000.0,0.1615044248,381000000.0,276000000.0,0.0678466077,0.91,0.9,303000000,305000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837024015227/0001558370-24-015227-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837024015227/tel-20240927x10k.htm,13.425742574257423,0.9108910891089108,3.438943894389439,2.735973597359736,4.353135313531353,41.20792079207921,18.18811881188119,40.775577557755774,13.92079207920792,45819660000.0,48703660000.0,41.5033152173913,11.263436578171092,43.97280230326295,55.271001206272615,3.708592472683125,3.708592472683125,11.972384464110128,51.64757158006363,46.740556621881,58.74989143546441,0.0060236151905099,0.018092670264249,0.3401861594496155,0.1839065371488579,3.0583244962884413,1.6078803202697007,50.333333333333336,3.775362318840579,0.0042776397729708,0.7101449275362319,0.0,0.0479351032448377,0.3051982147545287,0.2044145873320537,0.0523598820058997,0.918103448275862,0.0066371681415929,28.90843269081105,0.016711573305848,0.0173814471944077,-18.1493399339934,2885000000.0,5511000000.0,-2737000000.0,13763000000.0,2972000000.0,1695000000.0,2593000000.0,67.58849557522124,57.92178770949721,84.36871508379889,1.3315875613747954,1.5538194444444444,1.066746126340882,0.0223391339538648,0.7029702970297029,2024-10-30,1.94,bmo,3996142978.0,2025-04-25,2024-09-27,0.0051546391752577,148.98453125,1516114.453125
2024-06-28,TEL,USD,1385157,2024-07-29,2024-07-29 12:16:25,2024,Q3,3979000000.0,2585000000.0,1394000000.0,0.3503392812,189000000,0.0,0.0,431000000.0,-3000000.0,620000000.0,3205000000.0,20000000.0,18000000.0,208000000.0,980000000.0,0.2462930385,774000000.0,0.1945212365,-20000000.0,754000000.0,0.189494848,181000000.0,573000000.0,0.1440060317,1.87,1.86,306000000,308000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837024010267/0001558370-24-010267-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837024010267/tel-20240628x10q.htm,13.00326797385621,1.8725490196078431,3.287581699346405,2.8006535947712417,4.800653594771242,41.68300653594771,19.32679738562091,41.28104575163399,13.790849673202615,46031580000.0,48764580000.0,20.08358638743455,11.568630309122897,45.75703777335985,53.71246207701284,3.644045281823939,3.644045281823939,12.25548630309123,49.75977551020408,48.473737574552686,56.90149358226371,0.0124479759330442,0.0186176533588462,0.3326472450918302,0.1835094768102017,2.788775510204081,1.507328512800469,43.0,1.7556719022687608,0.004323119041319,0.3472949389179756,0.0,0.0474993717014325,0.298759717005852,0.1481113320079523,0.0374465946217642,0.7163461538461539,0.0077909022367429,41.70452720495338,0.0309090351546002,0.0356853708662888,-16.904411764705884,2596000000.0,5914000000.0,-2430000000.0,13195000000.0,2881500000.0,1630000000.0,2706500000.0,65.3455642121136,57.86460348162476,92.92456479690522,1.3772931810314988,1.5553549939831528,0.9685275384038966,0.0453609879670677,0.4869281045751634,2024-07-24,1.86,bmo,4013234887.0,2025-04-25,2024-06-28,0.0268817204301074,149.71640625,1698940.625
2024-03-29,TEL,USD,1385157,2024-04-26,2024-04-26 10:04:20,2024,Q2,3967000000.0,2604000000.0,1363000000.0,0.3435845727,184000000,0.0,0.0,444000000.0,-5000000.0,628000000.0,3232000000.0,19000000.0,19000000.0,192000000.0,898000000.0,0.2263675321,735000000.0,0.185278548,-5000000.0,687000000.0,0.1731787245,146000000.0,541000000.0,0.1363750945,1.76,1.75,308000000,310000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837024005841/0001558370-24-005841-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837024005841/tel-20240329x10q.htm,12.87987012987013,1.7564935064935066,2.305194805194805,1.7629870129870129,3.8181818181818175,40.77922077922078,18.383116883116884,40.41883116883117,13.685064935064934,44733920000.0,47753920000.0,20.671866913123846,11.276511217544744,63.00552112676056,82.38290976058931,3.593374568238413,3.593374568238413,12.037791782203175,53.1780846325167,67.25904225352113,87.94460405156538,0.0120937311105308,0.0121384399131576,0.3370551851554341,0.1838415702769015,3.363028953229399,1.4534185551036218,38.68421052631579,1.3123844731977818,0.0040685010390325,0.3364140480591497,0.0,0.0463826569195865,0.3022257273045917,0.2352112676056338,0.0420973027476682,0.8697916666666666,0.0088227880010083,39.96744707862211,0.0306307751184141,0.033969609443677,-18.053571428571427,2341000000.0,5662000000.0,-2760000000.0,13038000000.0,2851000000.0,1644000000.0,2763500000.0,65.2029241240232,55.23041474654378,94.83870967741936,1.3803061934585945,1.6295369211514392,0.9489795918367347,0.0434573058076954,0.5422077922077922,2024-04-24,1.83,bmo,3957780800.0,2025-04-25,2024-03-29,0.0163934426229508,146.6706349206349,1775851.984126984
2023-12-29,TEL,USD,1385157,2024-01-26,2024-01-26 12:27:34,2024,Q1,3831000000.0,2507000000.0,1324000000.0,0.3456016706,173000000,0.0,0.0,424000000.0,-3000000.0,597000000.0,3104000000.0,22000000.0,18000000.0,194000000.0,911000000.0,0.2377969199,698000000.0,0.1821978596,1000000.0,699000000.0,0.182458888,-1105000000.0,1803000000.0,0.4706342991,5.8,5.76,311000000,313000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837024000581/0001558370-24-000581-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837024000581/tel-20231229x10q.htm,12.318327974276528,5.797427652733119,2.311897106109325,1.8263665594855305,3.762057877813505,42.60128617363344,19.72668810289389,42.237942122186496,13.556270096463022,43695500000.0,46723500000.0,6.058721575152523,11.405768728791438,60.77260083449234,76.92869718309859,3.3263931181485997,3.3263931181485997,12.19616288175411,51.28814489571899,64.98400556328234,82.25968309859155,0.0412628302685631,0.0129990502454486,0.3195797807551766,0.181960036409345,3.323819978046103,1.8551483420593369,38.77777777777778,0.3985587583148559,0.0041880742868258,0.1014975041597337,0.0,0.0451579222135212,0.3083524771357981,0.2100139082058414,0.0394152962672931,0.7783505154639175,0.0088749673714434,74.2267256937039,0.0915680968964166,0.112991163752585,-16.525723472668812,3430000000.0,6135000000.0,-2381000000.0,14398000000.0,2897500000.0,1626500000.0,2667500000.0,66.43696162881754,60.67012365376944,99.90825688073394,1.3546676096181047,1.483431952662722,0.9008264462809916,0.1372563946406821,0.4855305466237942,2024-01-24,1.72,bmo,3862950000.0,2025-04-25,2023-12-29,0.0697674418604651,140.11,2182318.606557377
2023-09-29,TEL,USD,1385157,2023-11-13,2023-11-13 16:13:57,2023,Q4,4035000000.0,2750000000.0,1285000000.0,0.3184634449,174000000,0.0,0.0,412000000.0,-3000000.0,586000000.0,3336000000.0,21000000.0,19000000.0,223000000.0,876000000.0,0.2171003717,635000000.0,0.1573729864,-1000000.0,634000000.0,0.1571251549,81000000.0,552000000.0,0.136802974,1.76,1.75,313000000,316000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837023018833/0001558370-23-018833-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837023018833/tel-20230929x10k.htm,12.891373801916933,1.7635782747603834,3.635782747603834,3.015974440894569,5.306709265175719,37.236421725239616,16.028753993610223,36.90415335463259,13.514376996805112,38664890000.0,41214890000.0,17.511272644927537,9.582376703841389,33.976177504393675,40.95856991525424,3.3473197125789973,3.3473197125789973,10.214346964064436,47.04896118721461,36.21695079086116,43.65984110169491,0.0142765180503552,0.0244149149266944,0.3645571811964332,0.1939480471628592,2.910958904109589,1.768317275375308,33.421052631578945,2.057866184448463,0.0047588393501184,0.3333333333333333,0.0,0.0431226765799256,0.3057295504789978,0.1704745166959578,0.0480793060718711,0.97,0.0069392812887236,38.267161768999145,0.0306871427640109,0.0366193445668037,-15.638178913738018,3429000000.0,5017000000.0,-2165000000.0,13821000000.0,2982500000.0,1589500000.0,2676500000.0,66.17843866171003,51.15272727272727,83.52,1.3599595551061678,1.7594369801663468,1.0775862068965518,0.0477880702969439,0.6198083067092651,2023-11-01,1.76,bmo,3855340000.0,2025-04-25,2023-09-29,0.0113636363636363,128.62238095238095,1457996.174603175
2023-06-30,TEL,USD,1385157,2023-07-28,2023-07-28 12:09:13,2023,Q3,3998000000.0,2699000000.0,1299000000.0,0.3249124562,176000000,0.0,0.0,431000000.0,-4000000.0,607000000.0,3306000000.0,18000000.0,20000000.0,200000000.0,844000000.0,0.2111055528,630000000.0,0.1575787894,-6000000.0,624000000.0,0.156078039,96000000.0,528000000.0,0.132066033,1.68,1.67,315000000,317000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837023012477/0001558370-23-012477-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837023012477/tel-20230630x10q.htm,12.692063492063491,1.6761904761904762,2.473015873015873,1.946031746031746,3.5904761904761906,36.36825396825397,14.876190476190477,36.02857142857143,13.415873015873016,44150400000.0,47225400000.0,20.904545454545453,11.04312156078039,56.67573812580231,72.02349102773246,3.8902458366375887,3.8902458366375887,11.812256128064032,55.9542654028436,60.62310654685494,77.03980424143556,0.0119591215481626,0.0138843589186054,0.3706053396775046,0.193815953181881,3.643364928909953,1.7963832785345233,31.5,1.4753787878787878,0.0042128723635572,0.3522727272727273,0.0,0.0440220110055027,0.3119671904520529,0.2130937098844672,0.0415207603801901,0.83,0.0080040020010005,36.86179372649538,0.0300595986848383,0.0353626682740606,-17.349206349206348,3391000000.0,4686000000.0,-2596000000.0,13942000000.0,3023000000.0,1647000000.0,2806000000.0,67.48874437218609,53.886624675805855,93.4012597258244,1.333555703802535,1.6701732673267329,0.9635844341306676,0.0465239228125826,0.526984126984127,2023-07-26,1.66,bmo,4006370000.0,2025-04-25,2023-06-30,0.0662650602409639,133.6915873015873,1432188.4285714286
2023-03-31,TEL,USD,1385157,2023-04-28,2023-04-28 11:44:00,2023,Q2,4160000000.0,2876000000.0,1284000000.0,0.3086538462,185000000,0.0,0.0,435000000.0,-4000000.0,620000000.0,3496000000.0,12000000.0,20000000.0,207000000.0,752000000.0,0.1807692308,537000000.0,0.1290865385,-12000000.0,525000000.0,0.1262019231,100000000.0,433000000.0,0.1040865385,1.37,1.36,316000000,318000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837023007196/0001558370-23-007196-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837023007196/tel-20230331x10q.htm,13.164556962025316,1.370253164556962,2.0063291139240507,1.4082278481012658,2.863924050632912,35.20886075949367,13.64873417721519,34.87341772151899,13.360759493670884,41443400000.0,44740400000.0,23.928060046189376,9.962355769230768,65.36813880126184,93.13123595505618,3.7607441016333936,3.7607441016333936,10.754903846153846,59.49521276595745,70.56845425867508,100.54022471910112,0.0104479844800378,0.0107375360129719,0.3813067150635209,0.1955328059562587,4.384308510638298,1.693375825176417,26.85,1.4917647058823529,0.0042708851107775,0.4087759815242494,0.0,0.0444711538461538,0.3170311772917636,0.2981072555205047,0.0454326923076923,0.9130434782608696,0.007451923076923,32.7898116389243,0.0250080127546617,0.0295019418137221,-18.251582278481013,3046000000.0,4313000000.0,-2925000000.0,13677000000.0,2979000000.0,1714500000.0,2869000000.0,65.9423076923077,52.51043115438108,87.96592489568846,1.3648293963254594,1.7139451728247914,1.023123443614372,0.0392921960072595,0.5981012658227848,2023-04-26,1.58,bmo,3918020000.0,2025-04-25,2023-03-31,0.0443037974683543,126.46225806451612,1439507.8548387096
2022-12-30,TEL,USD,1385157,2023-01-27,2023-01-27 10:16:04,2023,Q1,3841000000.0,2654000000.0,1187000000.0,0.3090341057,173000000,0.0,0.0,392000000.0,-5000000.0,565000000.0,3219000000.0,9000000.0,21000000.0,187000000.0,693000000.0,0.1804217652,502000000.0,0.1306951315,-17000000.0,485000000.0,0.1262692007,87000000.0,397000000.0,0.1033585004,1.25,1.24,317000000,319000000,https://www.sec.gov/Archives/edgar/data/1385157/000155837023000648/0001558370-23-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837023000648/tel-20221230x10q.htm,12.116719242902208,1.252365930599369,1.832807570977918,1.2555205047318612,2.501577287066246,36.17665615141956,14.511041009463725,35.84858044164038,13.372239747634069,36391600000.0,39816600000.0,22.91662468513854,9.47451184587347,62.63614457831326,91.43618090452262,3.202358324533615,3.202358324533615,10.36620671700078,57.455411255411256,68.53115318416523,100.04170854271356,0.0109091108937227,0.0109365897624726,0.3711721224920802,0.1975366459045567,4.942279942279942,1.655656108597285,23.904761904761905,1.4597989949748744,0.0048912386374877,0.4483627204030226,0.0,0.0450403540744597,0.3216409872149112,0.3149741824440619,0.047643842749284,0.9786096256684492,0.0083311637594376,31.78285179342595,0.023204557847345,0.0274076630997583,-17.179810725552052,2898000000.0,4600000000.0,-2567000000.0,13547000000.0,2887500000.0,1672000000.0,2801500000.0,68.1853683936475,59.37829691032404,99.25772418990204,1.3199312714776632,1.515705311250714,0.9067304407242912,0.0349348820837733,0.5772870662460567,2023-01-25,1.51,bmo,3909400000.0,2025-04-25,2022-12-30,0.0132450331125827,126.55145161290322,1831930.4677419355
