date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-30,TER,USD,97210,2025-05-02,2025-05-02 13:00:25,2025,Q1,685680000.0,270344000.0,415336000.0,0.6057286198,0,0.0,0.0,0.0,294533000.0,294533000.0,564877000.0,0.0,1779000.0,0.0,120803000.0,0.1761798507,120803000.0,0.1761798507,-1779000.0,119024000.0,0.1735853459,14544000.0,98896000.0,0.1442305449,0.61,0.61,161501000,161996000,https://www.sec.gov/Archives/edgar/data/97210/000095017025062503/0000950170-25-062503-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000095017025062503/ter-20250330.htm,4.2456703054470255,0.6123553414529941,1.000842100048916,0.6044296939337837,3.144110562782893,17.321867976049685,14.676162995894762,22.946217051287608,0.4367898650782348,13339982600.0,12933113600.0,33.72225014156285,19.45511404736904,82.53050106101945,136.65774668087198,3.599721898183865,3.599721898183865,18.861733753354333,107.05953991208828,80.01332368207774,132.4896902147189,0.0074135029231597,0.0073175507740167,0.0185553223198969,0.0185553223198969,-3.368037217618768,2.704811221046858,67.90500281056774,1.6344139297848244,0.0014547245361474,0.1962263387801326,0.0,0.0,0.1153002681985203,0.3960788680809468,0.0933686267646715,2.5083650041139363,0.022173608680434,17.780688062998408,0.0344838339665927,0.0301645268507173,0.7261146989801921,1106535000.0,2370215000.0,847263000.0,2138429000.0,465911500.0,160913000.0,321777500.0,60.43012775638782,62.26533601633475,114.87464119788125,1.4893233448523775,1.4454270346568003,0.7834627299942329,0.0266865488147481,0.3964124061151324,2025-04-28,0.61,amc,678043870.0,2025-05-12,2025-03-30,0.2295081967213115,111.85733333333334,3046640.083333333
2024-12-31,TER,USD,97210,2025-01-30,2025-01-30 07:00:09,2024,Q4,752884000.0,305597000.0,447287000.0,0.5940981612,0,0.0,0.0,0.0,293703000.0,293703000.0,599300000.0,0.0,-4213000.0,0.0,153584000.0,0.2039942408,153584000.0,0.2039942408,4213000.0,157797000.0,0.2095900564,5408000.0,146253000.0,0.194257017,0.90014,0.89625,162478000,163184000,https://www.sec.gov/Archives/edgar/data/97210/000095017025023784/0000950170-25-023784-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000095017025023784/ter-20241231.htm,4.633759647459963,0.9001403266903827,1.7390477480028066,1.3858614704760028,3.690751978729428,17.351850712096407,14.820468001821784,22.82594566649023,0.4456480261943155,20459229760.0,19982496760.0,34.97232494376184,27.174478086929728,72.40744260450104,90.86045227648198,5.51652938457913,5.51652938457913,26.5412689869887,130.10793285758933,70.72023259023842,88.74325742099373,0.0071485095829922,0.011005888425,0.0206597219413521,0.0206597219413521,-3.104053807688301,2.908194159585897,-36.45478281509613,1.9319740449768552,0.0009524796499474,0.1332417112811361,0.0,0.0,0.1108993575670704,0.2030917655552685,0.0762202410995585,2.165716873608333,0.0197307951822591,21.50110390789639,0.0478015863673301,0.0443537674909474,1.3113252255690002,1191818000.0,2408000000.0,926977000.0,2181468000.0,477901000.0,146625500.0,297916000.0,56.35441847615303,39.69698655418738,87.90753835934254,1.5970353777687272,2.2671746097691257,1.0238029829945192,0.0394349631705221,0.3531862775268036,2025-01-29,0.91,amc,740905350.0,2025-04-29,2024-12-31,0.0439560439560438,118.34203125,2315877.375
2024-09-29,TER,USD,97210,2024-11-01,2024-11-01 13:00:38,2024,Q3,737298000.0,300784000.0,436514000.0,0.5920455501,0,0.0,0.0,0.0,284449000.0,284449000.0,585233000.0,5076000.0,808000.0,30301000.0,190093000.0,0.2578238379,152065000.0,0.206246321,6919000.0,158984000.0,0.2156305863,12260000.0,145649000.0,0.1975442765,0.89,0.89,163002000,164253000,https://www.sec.gov/Archives/edgar/data/97210/000095017024119923/0000950170-24-119923-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000095017024119923/ter-20240929.htm,4.5232451135568885,0.8935411835437602,1.0200549686506917,0.7020159261849548,3.3844185960908457,17.80678764677734,15.103139838774984,17.80678764677734,0.4924479454239825,21830857860.0,21400283860.0,37.47169197866103,29.609273129725025,131.29684587210036,190.7791476011535,7.521289221654674,7.521289221654674,29.02528402355628,112.57796899412394,128.70725418142672,187.016375600804,0.006671703005628,0.0052416630044422,0.0273766925681006,0.0210789743981528,-2.2650702550856687,3.091071380543826,188.1992574257426,1.1415869659249291,0.0008962542894775,0.1343366586794279,0.0,0.0,0.1169049862483447,0.3117861803922512,0.0703121397318316,0.0,0.019766770017008,18.92088019762324,0.043675881558689,0.043751209061624,1.2050956429982451,1243970000.0,2461842000.0,971680000.0,2247158000.0,477336500.0,159633500.0,529767000.0,59.12648616977125,47.41379195701899,88.9694930581414,1.5221604703783838,1.8981818640784047,1.0115826999394633,0.050179807906311,0.3180390424657366,2024-10-23,0.79,amc,716399650.0,2025-04-25,2024-09-29,0.1392405063291139,134.793125,1974064.796875
2024-06-30,TER,USD,97210,2024-08-02,2024-08-02 15:06:00,2024,Q2,729879000.0,306291000.0,423588000.0,0.5803537299,111816000,0.0,0.0,154470000.0,-2408000.0,268694000.0,574985000.0,6715000.0,1530000.0,30237000.0,251170000.0,0.3441255331,154894000.0,0.2122187376,9035000.0,219403000.0,0.3006018806,33130000.0,186273000.0,0.2552107952,1.18,1.14,157804000,163470000,https://www.sec.gov/Archives/edgar/data/97210/000095017024089858/0000950170-24-089858-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000095017024089858/ter-20240630.htm,4.625224962611847,1.1804073407518187,1.3692238473042508,1.085035867278396,2.918544523586221,17.305087323515245,14.576544320803022,17.305087323515245,0.5176864971737092,23318697080.0,22976956080.0,31.296399746608472,31.94871626666886,107.92245569702273,136.1890463313924,8.539107444965088,8.539107444965088,31.48050030210487,91.47969932714896,106.340826680366,134.1931637688862,0.0079881392755756,0.0073427344337713,0.0293550050314704,0.0220730973267109,-1.3605964088067843,2.804064344944075,101.23790849673205,1.1599587701921374,0.0008147968102512,0.102000826743543,0.0,0.1531979958321858,0.1185599825536538,0.2075540683763057,0.0614430611101292,1.4831497833779803,0.0204622958051951,21.438485777991517,0.0432312857330329,0.0581897460616263,1.8597991812628325,1130019000.0,2300237000.0,855499000.0,2105432000.0,448315000.0,157340500.0,538213000.0,57.99143419662711,47.25153530466125,223.96172267549483,1.551953340123369,1.9047000149246307,0.4018543835296526,0.0682115795594863,0.2841879800258549,2024-07-24,0.77,amc,701204129.0,2025-04-25,2024-06-30,0.1168831168831168,127.00809523809524,2261404.634920635
2024-03-31,TER,USD,97210,2024-05-03,2024-05-03 15:00:46,2024,Q1,597539000.0,260278000.0,337261000.0,0.5644167159,103199000,0.0,0.0,149188000.0,-4956000.0,257343000.0,517621000.0,7867000.0,661000.0,28051000.0,101614000.0,0.1700541722,79918000.0,0.1337452451,-4869000.0,72902000.0,0.1220037521,8705000.0,64197000.0,0.1074356653,0.42,0.4,153047000,162348000,https://www.sec.gov/Archives/edgar/data/97210/000095017024052761/0000950170-24-052761-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000095017024052761/ter-20240331.htm,3.904284304821395,0.4194593817585447,0.0475605532940861,-0.2400831117238495,4.891980894757819,16.712702633831437,13.852078119793266,16.712702633831437,0.4326448737969382,17286658650.0,16644809650.0,67.3187946866676,28.929757973956512,2374.8672413793106,-470.4620795231874,6.758332417843413,6.758332417843413,27.855603818328177,163.8042951758616,2286.689057562852,-452.993948671892,0.0037136731452726,-0.0021255698249123,0.025628765644615,0.0192199887413801,-6.3165410278111285,3.7503504503195817,120.90468986384266,0.1133853606866364,0.0010626692162976,0.2861504431671262,0.0,0.1727067187246355,0.1283629263029507,6.047946146448688,0.073673852250648,1.5655405405405405,0.0263715004376283,12.559130068272248,0.024310916597043,0.021593993763686,2.4350542643763027,1514673000.0,2120019000.0,1212502000.0,2484356000.0,424228500.0,167002000.0,312103000.0,64.21333168211615,53.20684037836467,108.65643657934976,1.401578109130656,1.6915118311854582,0.8282988365284248,0.0250982376069705,0.2876436650179356,2024-04-24,0.33,amc,566404179.0,2025-04-25,2024-03-31,0.5454545454545454,104.19934426229509,1809452.9344262292
2023-12-31,TER,USD,97210,2024-02-22,2024-02-22 15:34:26,2023,Q4,670600000.0,291532000.0,379068000.0,0.5652669251,102207000,0.0,0.0,142336000.0,255221000000.0,248717000.0,540249000.0,8862000.0,812000.0,27911000.0,168529000.0,0.2513107665,130351000.0,0.19437966,15483000.0,139806000.0,0.2084789741,22752000.0,117054000.0,0.1745511482,0.77,0.72,152812000,162106000,https://www.sec.gov/Archives/edgar/data/97210/000095017024018701/0000950170-24-018701-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000095017024018701/ter-20231231.htm,4.388398816846845,0.7660000523519095,1.6280135067926602,1.3378792241447006,5.364271130539486,16.52944140512525,13.57773604167212,16.52944140512525,0.5459388006177526,16583158240.0,15908201240.0,35.417752148580995,24.728837220399644,66.65792362730123,81.11345033358768,6.565255131147469,6.565255131147469,23.72234005368327,94.39444392359772,63.94485585658011,77.8120230478762,0.0070586071908579,0.0123284115752368,0.0327067968329666,0.0236931947239092,-4.004990239068647,3.276053828238763,160.5307881773399,2.1253438583901447,0.0010128951166542,0.1434978727766671,0.0,0.15241127348643,0.1293601283001378,0.178213682771927,0.0661139278258276,1.5865449991053855,0.0185594989561586,16.878534950867618,0.0381344758693627,0.0385582824510963,2.1619898960814594,1502084000.0,2074841000.0,1201108000.0,2472049000.0,439001000.0,178124000.0,594487500.0,56.65249030718759,55.60895544914452,95.69330296502612,1.5886327240336962,1.61844435438653,0.9405046874899186,0.0463415570785348,0.2901342826479596,2024-01-30,0.71,amc,674660000.0,2025-04-25,2023-12-31,0.1126760563380282,94.8595238095238,1606517.4285714286
2023-10-01,TER,USD,97210,2023-11-03,2023-11-03 13:25:17,2023,Q3,699772000.0,299087000.0,400685000.0,0.5725936448,104413000,0.0,0.0,138330000.0,254319000.0,253817000.0,552904000.0,6873000.0,963000.0,28347000.0,173590000.0,0.2480665131,146868000.0,0.2098797894,308000.0,144280000.0,0.206181442,16164000.0,128116000.0,0.1830824897,0.83,0.78,153762000,164050000,https://www.sec.gov/Archives/edgar/data/97210/000095017023058679/0000950170-23-058679-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000095017023058679/ter-20231001.htm,4.551007401048373,0.8332097657418608,1.1338757300243234,0.9088266281656066,4.660000520284596,15.877134792731624,13.013585931504531,15.877134792731624,0.7276310141647481,15479220540.0,14953178540.0,30.205478901932626,22.12037712283429,88.7839798792064,110.76920160580494,6.340564674558637,6.340564674558637,21.36864370109121,86.14078310962613,85.76676707944502,107.0048484718376,0.0082766441416694,0.0090277801546201,0.0454343997050751,0.0329072539313575,-3.0303704130422258,3.2768742810137685,152.5109034267913,1.3608526647725498,0.0010915924323409,0.1318882887383309,0.0,0.1492100284092533,0.1306289133714367,0.1984777483983091,0.0494503924135289,1.2301457518663348,0.0182730946651194,17.252597909571097,0.0470545412192391,0.043720374699268,3.697825210390083,1458700000.0,2000995000.0,1170004000.0,2414432000.0,474556000.0,164637000.0,613148000.0,58.63198298874491,52.99638566704671,264.5052777285539,1.5349983986943876,1.6982290182094857,0.3402578609125586,0.0524785974685618,0.2250491018587167,2023-10-25,0.73,amc,684580000.0,2025-04-25,2023-10-01,0.0958904109589042,105.47111111111111,1578647.0
2023-07-02,TER,USD,97210,2023-08-04,2023-08-04 15:11:43,2023,Q2,684023000.0,281817000.0,402206000.0,0.5880006959,105706000,0.0,0.0,145695000.0,111830000.0,256354000.0,538171000.0,6354000.0,1045000.0,27376000.0,172823000.0,0.2526567089,145852000.0,0.2132267482,4494000.0,144402000.0,0.2111069365,24352000.0,120050000.0,0.1755057944,0.78,0.73,154760000,164751000,https://www.sec.gov/Archives/edgar/data/97210/000119312523203780/0001193125-23-203780-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312523203780/d417157d10q.htm,4.419895321788576,0.7757172395967951,0.9225122770741794,0.6688420780563453,4.577455414835875,15.733283794262084,12.782127164642027,15.733283794262084,0.7698500840010338,17260382800.0,16765271800.0,35.94415410245731,25.23362927854765,120.8981200268968,166.75087237948026,7.088793506710589,7.088793506710589,24.50980712636856,97.00833685331234,117.4301790317158,161.96765336682446,0.0069552339244758,0.0059969701251353,0.0485021251534468,0.0347866326391147,-2.8648443783524185,3.170927984353188,139.57142542720138,1.18923781757601,0.0009860152116672,0.1417659308621408,0.0,0.154535739295316,0.1345316616473671,0.2749775860136725,0.0573928069670171,1.443043558169454,0.0198297425671359,16.571150780203965,0.0433311992823123,0.0408586962995737,1.886579219436547,1454055000.0,1978162000.0,1163827000.0,2423742000.0,474284000.0,147769500.0,349676500.0,64.8970283162993,48.91163414556255,110.91080381949988,1.3868123446477736,1.8400530174918548,0.811462877380901,0.0493042170814778,0.253670199017834,2023-07-26,0.66,amc,658190000.0,2025-04-25,2023-07-02,0.1969696969696969,100.25596774193548,1693761.935483871
2023-04-02,TER,USD,97210,2023-05-05,2023-05-05 15:14:46,2023,Q1,615991000.0,263361000.0,352630000.0,0.5724596626,105762000,0.0,0.0,150955000.0,4802000.0,261267000.0,524628000.0,5258000.0,987000.0,27482000.0,125553000.0,0.2038227831,91363000.0,0.1483187254,4220000.0,97084000.0,0.1576061988,13553000.0,83531000.0,0.135604254,0.54,0.5,155904000,166308000,https://www.sec.gov/Archives/edgar/data/97210/000119312523136994/0001193125-23-136994-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312523136994/d489720d10q.htm,3.951091697454844,0.535784841954023,0.1240250410509031,-0.1418052134646962,4.759999743431855,15.711348009031198,12.766753899835797,15.711348009031198,0.7771641522988506,16650547200.0,16121515200.0,49.833436688175645,27.030504017104143,861.1164253206455,-753.1457933779627,6.797634419313303,6.797634419313303,26.171673287434395,128.40406202958113,833.7564749689698,-729.2163560702008,0.0050167120033148,-0.0013277641710177,0.0490622022305306,0.0355192266257059,-4.213614967384292,3.3625265088553906,92.56636271529888,0.2314829225078114,0.0010308970506386,0.205492571620117,0.0,0.1716940669587705,0.1356839422511096,2.1433595366156397,0.0672802037692109,1.5012678403245672,0.0306579154565569,13.762368890304725,0.0277730435893824,0.0285641204336168,2.089025939039409,1483884000.0,1990388000.0,1178031000.0,2450278000.0,473239500.0,141052000.0,338538500.0,66.52704341459534,48.65709045758483,120.31097998564708,1.352833304782863,1.8496790324619683,0.7480613989740327,0.034101774185515,0.2658302545155993,2023-04-26,0.43,amc,597550000.0,2025-04-25,2023-04-02,0.2790697674418606,102.26870967741937,1638237.9193548388
2022-12-31,TER,USD,97210,2023-02-22,2023-02-22 15:12:27,2022,Q4,731836000.0,311387000.0,420449000.0,0.5745125957,108810000,0.0,0.0,142752000.0,4670000.0,256232000.0,567619000.0,28651000.0,1015000.0,27531000.0,223783000.0,0.3057829896,166586000.0,0.2276275012,28650000.0,195237000.0,0.2667769828,22936000.0,172301000.0,0.2354366279,1.11,1.04,155762000,165468000,https://www.sec.gov/Archives/edgar/data/97210/000119312523044711/0001193125-23-044711-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312523044711/d414778d10k.htm,4.698424519459175,1.106181225202553,1.1774502125036916,0.9554641054942796,5.741997406299354,15.73743274996469,12.805568752327268,15.73743274996469,0.8596448427729485,13605810700.0,12883922700.0,19.74134029982414,18.591338359960428,74.18572698225755,91.42154006383336,5.550460573068754,5.550460573068754,17.604931569368002,57.57328617455303,70.24963032028005,86.5709571644549,0.0126637804831431,0.0109383412191674,0.0542101437036928,0.0379535663242748,-3.225839317553165,3.02562903426808,164.12413793103448,1.0644279487640815,0.001259241391621,0.0994364513264577,0.0,0.1486808519941626,0.1304313428453593,0.1885312046760668,0.0472469241742685,1.2455242966751918,0.0147683360752955,19.7911643017843,0.0517244021743851,0.056592717745212,2.4094146839408843,1511652000.0,1994621000.0,1207957000.0,2460742000.0,510747000.0,153848500.0,317886500.0,60.40021261594128,40.38376682392008,93.94004887808418,1.490060979955003,2.2286182562517,0.9580578366187824,0.0702898142776835,0.2219861070094118,2023-01-25,0.75,amc,711953013.0,2025-04-25,2022-12-31,0.2266666666666667,85.69857142857143,1702480.2063492064
