date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-30,TFX,USD,96943,2025-05-01,2025-05-01 11:49:55,2025,Q1,700669000.0,311230000.0,389439000.0,0.5558102328,36404000,0.0,0.0,222710000.0,0.0,263869000.0,575099000.0,1917000.0,18544000.0,-32383000.0,95104000.0,0.135733135,125570000.0,0.1792144365,-16627000.0,108943000.0,0.1554842586,13839000.0,95002000.0,0.1355875599,2.08,2.07,45782000,45926000,https://www.sec.gov/Archives/edgar/data/96943/000009694325000077/0000096943-25-000077-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694325000077/tfx-20250330.htm,15.304464636756803,2.0750950155082784,1.5965663361146305,0.9410466995762526,6.205976147831025,89.44921584902363,-17.099864575597397,89.44921584902363,44.19916124240968,6326614580.0,8047474580.0,16.64863523925812,9.029391310304868,86.55449941171642,146.8471225309287,1.5448989539857256,1.5448989539857256,11.485415481489833,84.61762470558547,110.09760828522175,186.7900234431214,0.0150162458608313,0.0068098031664827,0.4895974862056806,0.2798968071933427,18.094507065948857,2.276806493181774,6.771462467644521,0.7693943285404518,0.0024011261959946,0.1599018968021726,0.0,0.0519560591377669,0.6809761994837568,0.0,0.0,0.0,0.0111693253162334,64.62469724387297,0.0166407372915384,0.0415716373629258,-46.16717814861736,863005000.0,-782866000.0,-1529212000.0,6368291000.0,462009000.0,142034000.0,622052500.0,59.667360765211534,41.36275423320374,186.22073707547472,1.5083623415848084,2.175870578941113,0.4832974104464169,0.0231985825231907,0.0,2025-05-01,2.88,bmo,766125000.0,2025-05-11,2025-03-30,0.0104166666666667,161.99758333333332,1058454.05
2024-12-31,TFX,USD,96943,2025-02-28,2025-02-28 08:46:38,2024,Q4,795409000.0,355494000.0,439915000.0,0.5530676671,44553000,0.0,0.0,254553000.0,251192000.0,559498000.0,905792000.0,2258000.0,18635000.0,71792000.0,-32026000.0,-0.0402635625,-110383000.0,-0.1387751459,-16377000.0,-126760000.0,-0.1593645533,9902000.0,-136656000.0,-0.1718059514,-2.95,-2.95,46320393,46373000,https://www.sec.gov/Archives/edgar/data/96943/000009694325000031/0000096943-25-000031-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694325000031/tfx-20241231.htm,17.17189662013446,-2.950234036226765,4.371076903427827,3.67976152533939,6.609615769019921,92.35975178362584,-13.447381588493863,92.35975178362584,38.29112589783079,8244103546.139999,9708940546.14,-15.081854338887425,10.364609334493323,40.7176546952141,48.36726477365531,1.927029864880532,1.927029864880532,12.20622415152456,-303.15807613001937,47.95248948555341,56.961305184807095,-0.0165762110137474,0.0206751406075929,0.4102308479853394,0.2472592651869267,-45.73899331792919,2.2654983368239496,-5.92342366514623,-1.4816034422198805,0.0019083942737917,-0.1151284978339772,0.0,0.0560126928410415,0.6904885012695279,0.1581567639650318,0.0402585336600415,0.4460385558279474,0.0095812343083872,,-0.0181728198655032,-0.0622044111528773,-40.34780641865452,821764000.0,-622888000.0,-1348650000.0,6334556000.0,464876000.0,130143000.0,620035500.0,51.99155403069364,35.70465324309271,151.93496936657158,1.7310503922784797,2.520679850529316,0.5923586938228692,-0.0319428536700528,0.6913153780884372,2025-02-27,3.86,bmo,767141390.0,2025-05-11,2024-12-31,0.0077720207253886,205.3265625,433009.5
2024-09-29,TFX,USD,96943,2024-10-31,2024-10-31 11:38:17,2024,Q3,764375000.0,334203000.0,430172000.0,0.5627761243,38726000,0.0,0.0,247257000.0,0.0,285983000.0,620186000.0,2298000.0,21058000.0,68636000.0,224865000.0,0.2941815209,149311000.0,0.1953373671,-18760000.0,130551000.0,0.1707944399,19633000.0,111004000.0,0.1452219133,2.38,2.36,46724000,47012000,https://www.sec.gov/Archives/edgar/data/96943/000009694324000148/0000096943-24-000148-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694324000148/tfx-20240929.htm,16.359365636503725,2.37573837856348,4.943412379077134,4.49011214793254,5.20578289530006,95.91894957623492,-16.30746511428816,95.91894957623492,40.28801044431128,11555779680.0,13173903680.0,26.025592951605343,15.1179456156991,50.030218204488776,55.08102957158383,2.578426902010993,2.578426902010993,17.234869900245297,58.58583452293598,57.03581185924079,62.79387443039906,0.0096059290739264,0.0181550709523392,0.4153227434931746,0.2486356728585624,7.195979810108288,2.423104211211905,7.090464431569949,2.080789881445713,0.0013664158055322,0.1422471262296854,0.0,0.0506636140637776,0.7004359034400346,0.0916978387364921,0.0277089125102207,0.3085844163412786,0.0104503679476696,71.60490499361423,0.018214997412405,0.0494973745041522,-44.7024494906258,880550000.0,-761950000.0,-1505271000.0,6749336000.0,459577000.0,116352500.0,638423000.0,55.36958953393295,32.11506180375401,172.3336415292502,1.6254409822713962,2.802423378474697,0.5222427797692901,0.0247681859430213,0.4533002311445938,2024-10-31,3.38,bmo,813324600.0,2025-04-25,2024-09-29,0.0325443786982249,233.44390625,384210.0625
2024-06-30,TFX,USD,96943,2024-08-02,2024-08-02 09:08:26,2024,Q2,749691000.0,331833000.0,417858000.0,0.5573736379,41094000,0.0,0.0,250631000.0,0.0,291725000.0,623558000.0,1787000.0,21168000.0,68129000.0,191421000.0,0.2553331973,126133000.0,0.168246651,-28636000.0,97497000.0,0.1300495804,17332000.0,80038000.0,0.106761319,1.7,1.69,47151000,47361000,https://www.sec.gov/Archives/edgar/data/96943/000009694324000132/0000096943-24-000132-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694324000132/tfx-20240630.htm,15.899790036266465,1.6974825560433502,1.9365867107802592,1.1985323747110348,5.407647769930648,96.68340013997582,-15.13914869249857,96.68340013997582,39.05987147674493,9969607440.0,11551584440.0,31.140231639971013,13.298288814991777,109.18178815489748,176.41576019252548,2.1869317762292435,2.1869317762292435,15.408460872546156,60.34648465946787,126.50675091992292,204.4094075594564,0.0080281997542723,0.0056684278032114,0.3993542922913213,0.2446428475443585,8.264385830185821,2.583000299954558,5.958664021164021,1.1390507079149257,0.0016065828164644,0.2001174442139983,0.0,0.0548145836084466,0.7085192242570186,0.3811109164184335,0.0464191246793679,0.5107956963994774,0.0114847317094643,60.76729109416335,0.0148611198436882,0.0368992598295602,-41.840432864626415,881337000.0,-713826000.0,-1444833000.0,6757888000.0,448714500.0,114697500.0,632387000.0,53.88984261515745,30.769995750874685,172.7426747791811,1.670073535799972,2.9249272807404143,0.5210061735760895,0.017557125148534,0.7380543360692244,2024-08-01,3.33,bmo,762977200.0,2025-04-25,2024-06-30,0.0270270270270269,209.55174603174603,469738.1587301588
2024-03-31,TFX,USD,96943,2024-05-03,2024-05-03 12:41:46,2024,Q1,737849000.0,321715000.0,416134000.0,0.5639826035,37299000,380969000.0,-138139000.0,242830000.0,0.0,280129000.0,601844000.0,1666000.0,22683000.0,66044000.0,62917000.0,0.0852708345,136005000.0,0.1843263324,-21017000.0,-25810000.0,-0.0349800569,-41551000.0,15289000.0,0.0207210418,0.32,0.32,47068000,47394000,https://www.sec.gov/Archives/edgar/data/96943/000009694324000072/0000096943-24-000072-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694324000072/tfx-20240331.htm,15.676234384295062,0.3248279085578312,2.3578864621398825,1.54136568369168,5.4452281805048015,95.67455596158749,-17.51918500892326,95.67455596158749,40.06076315118552,10490515840.0,12115989840.0,171.53698476028518,14.21770015274128,94.52533172344816,144.59904119974087,2.3295639865784628,2.3295639865784628,16.42069019541939,192.57100370329164,109.1717486777016,167.0042294173593,0.0014574116500261,0.0069156751780854,0.4136820179383151,0.2491196083617882,25.83521146907831,2.5106354660306054,5.995900013225763,7.050441522139636,0.0015252824783876,1.0465694290012426,0.5163238006692427,0.0505509934959592,0.7124710581362041,0.3462935096998585,0.0520865380314942,0.5819150869117558,0.0096618684852862,26.443330597563484,-0.0118537082507992,0.0071107692178898,-43.9382170476757,862594000.0,-824593000.0,-1541104000.0,6788492000.0,445999500.0,124096000.0,627041000.0,54.710218486438286,32.43569619072782,175.6459599334815,1.6450309008052937,2.774720772780197,0.5123943644025954,0.0033951336935208,0.8165207784482026,2024-05-02,3.07,bmo,726890000.0,2025-04-25,2024-03-31,0.0456026058631922,237.54032786885244,260148.47540983607
2023-12-31,TFX,USD,96943,2024-02-23,2024-02-23 12:23:11,2023,Q4,773909000.0,342492000.0,431417000.0,0.5574518451,35858000,0.0,0.0,260651000.0,0.0,296509000.0,639001000.0,3295000.0,25791000.0,64201000.0,156819000.0,0.2026323508,82468000.0,0.106560332,-22496000.0,59972000.0,0.077492315,28789000.0,31105000.0,0.0401920639,0.66,0.66,47002000,47301000,https://www.sec.gov/Archives/edgar/data/96943/000009694324000036/0000096943-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694324000036/tfx-20231231.htm,16.465448278796647,0.6617803497723501,2.95425726564827,2.365473809625122,5.10044253436024,94.4850857410323,-20.74437257989021,94.4850857410323,41.53361559082592,11719478680.0,13423002680.0,94.19288442372608,15.143225728089478,84.40023247104915,105.40805777913693,2.6389350027516403,2.6389350027516403,17.34441992534006,85.5955125335578,96.66851039926254,120.7299983810329,0.0026541282977955,0.0094869407621124,0.4337710437407172,0.2557398255516793,10.862994917707676,2.319600491145374,3.197549532782754,4.464105449284681,0.0013632858966044,0.5136473235814177,0.0,0.046333612866629,0.719015190879684,0.1992999942386357,0.0357587261551422,0.4310524758181336,0.0120556809650747,37.50851096117178,0.0061140973039005,0.0146962175370925,-46.93669950214885,800661000.0,-975027000.0,-1684152000.0,6820110000.0,434330500.0,131466500.0,625645500.0,51.57199360648345,34.75184821835255,164.5569531551102,1.7451332342654584,2.5897903166045357,0.5469231064041801,0.0070040720668463,0.588783456023148,2024-02-22,3.26,bmo,768690000.0,2025-04-25,2023-12-31,0.0368098159509202,213.73809523809524,290579.3015873016
2023-10-01,TFX,USD,96943,2023-11-03,2023-11-03 08:09:18,2023,Q3,746389000.0,330078000.0,416311000.0,0.5577667945,37576000,0.0,0.0,213194000.0,0.0,250770000.0,580848000.0,7487000.0,23192000.0,57594000.0,239061000.0,0.32029009,137670000.0,0.1844480559,-15705000.0,149605000.0,0.2004383773,11935000.0,137140000.0,0.1837379704,2.92,2.9,46992000,47299000,https://www.sec.gov/Archives/edgar/data/96943/000009694323000102/0000096943-23-000102-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694323000102/tfx-20231001.htm,15.883320565202588,2.918369084099421,4.290474974463739,3.7713653387810697,20.19490551583248,91.80388151174668,-8.401344909771876,91.80388151174668,46.23393343547838,9205732800.0,10473666800.0,16.78163336736182,12.333693020663487,45.65928042139095,51.944052724236,2.133896702122925,2.133896702122925,14.032450639009951,43.811691576626885,51.94807408068724,59.098467476188326,0.0148972388162298,0.019251482076473,0.4982403997359325,0.2868345318172731,5.3038094879549575,3.582494337418136,5.936098654708521,1.470161878372466,0.0017356575893664,0.1165086772641096,0.0,0.0503437215714593,0.6283792349613018,0.1209911813429356,0.0326826895894768,0.4235510643469806,0.010872346725367,77.64113739567883,0.0181092554205637,0.0492460831876012,-34.03034559073885,1511849000.0,-394796000.0,-1082315000.0,6808764000.0,427251500.0,136383500.0,628315000.0,51.27012857906534,35.63321396760765,170.43471543089814,1.7554081195877649,2.5257334373995683,0.5280614326280846,0.0317891687806904,0.5191096356826694,2023-11-02,3.27,bmo,733560000.0,2025-04-25,2023-10-01,0.1131498470948012,226.8326984126984,283308.4126984127
2023-07-02,TFX,USD,96943,2023-08-03,2023-08-03 12:02:11,2023,Q2,743259000.0,335436000.0,407823000.0,0.5486956767,39448000,0.0,0.0,223306000.0,0.0,262754000.0,598190000.0,1156000.0,17762000.0,60496000.0,210393000.0,0.2830682171,143561000.0,0.1931507052,-16606000.0,126955000.0,0.1708085607,15532000.0,111335000.0,0.1497930062,2.37,2.35,46981000,47329000,https://www.sec.gov/Archives/edgar/data/96943/000009694323000090/0000096943-23-000090-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694323000090/tfx-20230702.htm,15.820416764223836,2.3697877865520103,1.832655754453928,1.459334624635491,6.230646431536153,89.71907792511867,-11.898107745684426,89.71907792511867,35.93293033353909,11215774130.0,12635361130.0,25.18474453226748,15.089994376119224,130.2645078977933,163.5882517757909,2.660861051194137,2.660861051194137,16.99994366701244,60.05599582685736,146.75216178861788,184.29371114773704,0.0099266442698949,0.0061129084096489,0.3962909943602654,0.2422374732171019,6.747310984681049,2.602937443401645,8.082479450512329,0.7733417164413706,0.0014240657679863,0.1434589302555351,0.0,0.0530743657325373,0.6923241573583633,0.203704994192799,0.0235974270072747,0.2899199947103941,0.0094247092870722,69.16531962965415,0.0196020177756703,0.0524757169898116,-37.25233072944382,890350000.0,-558985000.0,-1234834000.0,6252251000.0,419664500.0,139160000.0,622830500.0,51.9843150234306,38.12140020749115,169.45095338604085,1.731291447418992,2.360878653725692,0.5311271385706708,0.0264134211068228,0.3733211298184372,2023-08-03,3.21,bmo,729910000.0,2025-04-25,2023-07-02,0.0623052959501558,250.44516129032257,292190.3870967742
2023-04-02,TFX,USD,96943,2023-05-04,2023-05-04 12:32:42,2023,Q1,710932000.0,319552000.0,391380000.0,0.5505167864,41469000,232716000.0,0.0,232716000.0,0.0,274185000.0,593737000.0,843000.0,18337000.0,59827000.0,180752000.0,0.2542465383,114974000.0,0.1617229215,-17494000.0,97480000.0,0.137115786,20184000.0,76748000.0,0.1079540659,1.63,1.62,46949000,47285000,https://www.sec.gov/Archives/edgar/data/96943/000009694323000049/0000096943-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694323000049/tfx-20230402.htm,15.142644145775202,1.6347100044729388,1.790538669620226,1.3254595412042856,6.744850816843809,87.5471895035038,-15.061492257556072,87.5471895035038,37.724956868090906,11823636160.0,13312310160.0,38.514476468442176,16.631177327789437,140.6504111153407,190.00202735059216,2.876620042610516,2.876620042610516,18.72515256030113,73.6495870585111,158.35922820708032,213.92453936267657,0.0064910657737966,0.0052631017360398,0.4264486881951062,0.2533726168060293,8.236002921129504,2.480500667000167,6.270055079893113,1.095324959608068,0.0013505997464658,0.2080705686141658,0.3273393235921297,0.0583304732379468,0.6963615663778805,0.2597425770841264,0.0307132046384183,0.3649689939325053,0.0098673290835129,56.74566941414545,0.014179135580261,0.0365371496091256,-39.96756052312083,852342000.0,-707122000.0,-1379615000.0,6255351000.0,409427000.0,131523000.0,596306500.0,51.90623013171443,38.370938063288605,172.95945573803323,1.7338959075167064,2.3455251433143225,0.5203531637860564,0.0186723299028064,0.4650791284159407,2023-05-04,2.97,bmo,686860000.0,2025-04-25,2023-04-02,0.0404040404040402,242.40290322580643,345846.0
2022-12-31,TFX,USD,96943,2023-02-23,2023-02-23 13:28:21,2022,Q4,757996000.0,335930000.0,422066000.0,0.5568182418,42755000,0.0,0.0,233375000.0,0.0,276130000.0,612060000.0,335000.0,19052000.0,59610000.0,193281000.0,0.2549894722,86661000.0,0.1143290994,-19171000.0,109416000.0,0.1443490467,31303000.0,78589000.0,0.1036799666,1.68,1.66,46908000,47226000,https://www.sec.gov/Archives/edgar/data/96943/000009694323000024/0000096943-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694323000024/tfx-20221231.htm,16.15920525283534,1.675385861686706,2.093630084420568,1.52779909610301,7.259678519655496,85.74162189818368,-17.5007887780336,85.74162189818368,39.46047582501919,11709644040.0,13249570040.0,37.2496279377521,15.448160729080364,119.23309750733138,163.391901878157,2.911421483214188,2.911421483214188,17.479736093594163,68.5508148240127,134.91334758879114,184.87944129712835,0.0067114764318659,0.0061202543608661,0.4554884573920031,0.2644260018998095,7.967291146051604,2.426487380737826,4.548656309048919,1.2496405349349144,0.0013620396952732,0.2029418875415134,0.0,0.0564053108459675,0.6990258316069008,0.2702631150211795,0.0350160159156512,0.4452608622714309,0.0097889698626377,56.85184055456644,0.0096156872792959,0.0376895290930994,-41.9902575253688,829491000.0,-820927000.0,-1495112000.0,6250802000.0,400042500.0,124157500.0,554297499.5,48.54255167573444,33.97323847230078,154.98952162652935,1.854043450397961,2.6491439747017123,0.580684416956061,0.0195399366678203,0.5658309883175577,2023-02-23,3.44,bmo,760351009.0,2025-04-25,2022-12-31,0.0232558139534883,220.6284126984127,416047.79365079367
