date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-01,TJX,USD,109198,2025-04-02,2025-04-02 11:43:31,2025,Q4,16350000000.0,11371000000.0,4979000000.0,0.3045259939,0,2515000000.0,617000000.0,3132000000.0,0.0,3132000000.0,14503000000.0,0.0,0.0,309000000.0,2215000000.0,0.1354740061,1847000000.0,0.1129663609,42000000.0,1889000000.0,0.1155351682,491000000.0,1398000000.0,0.0855045872,1.23,1.23,1138000000,1138000000,https://www.sec.gov/Archives/edgar/data/109198/000010919825000010/0000109198-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919825000010/tjx-20250201.htm,14.36731107205624,1.2284710017574691,2.3760984182776803,1.9244288224956063,4.68804920913884,7.375219683655536,7.292618629173989,7.375219683655536,11.22847100175747,142011020000.0,149454020000.0,25.395389842632333,8.685689296636086,52.51886834319527,64.84521461187215,16.920173954485882,16.920173954485882,9.14091865443425,67.47359819413093,55.27145710059172,68.24384474885845,0.0098443064488938,0.0154213384285247,1.5224591921839628,0.4024693691139878,3.3602708803611736,1.180141715116279,0.0,1.934191702432046,0.0029716003729851,0.3018597997138769,0.1538226299694189,0.0,0.0029607231723833,0.1900887573964497,0.0314373088685015,1.663430420711974,0.0031804281345565,14.27779671523722,0.0569240364486706,0.0441636392355078,-13.014499121265375,1983000000.0,8299000000.0,-10365000000.0,19064000000.0,358500000.0,4937000000.0,7396000000.0,0.0,33.69360654296016,50.821387740744,0.0,2.671129903688043,1.770907958261953,0.1665673775765518,0.4516695957820738,2025-02-26,1.16,bmo,16211831988.0,2025-05-11,2025-02-01,0.0603448275862069,,
2024-11-02,TJX,USD,109198,2024-12-04,2024-12-04 11:27:38,2025,Q3,14063000000.0,9622000000.0,4441000000.0,0.3157932162,0,0.0,0.0,2748000000.0,0.0,2748000000.0,12370000000.0,63000000.0,20000000.0,266000000.0,1959000000.0,0.1393017137,1693000000.0,0.1203868307,43000000.0,1736000000.0,0.1234444998,439000000.0,1297000000.0,0.0922278319,1.15,1.14,1127000000,1141000000,https://www.sec.gov/Archives/edgar/data/109198/000010919824000059/0000109198-24-000059-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919824000059/tjx-20241102.htm,12.478260869565217,1.1508429458740017,0.9281277728482696,0.5536823425022183,4.186335403726708,7.2519964507542145,7.167701863354037,7.2519964507542145,11.29902395740905,126663530000.0,134659530000.0,24.414712798766384,9.006864111498258,121.09324091778204,202.98642628205127,15.497801296953384,15.497801296953384,9.575448339614592,68.73891271056661,128.73760038240917,215.80052884615384,0.0102397272521932,0.0049264377836303,1.555609935152331,0.3919718830928598,4.081674323634507,1.1943080635766,84.65,0.8064764841942945,0.0033395563821725,0.3261372397841172,0.0,0.0,0.0029288444937723,0.4034416826003824,0.0300078219441086,1.586466165413534,0.0033421033918794,13.703391973311213,0.0573352906906426,0.0401038928913762,-13.15150842945874,2335000000.0,8078000000.0,-9911000000.0,19136000000.0,675500000.0,5060000000.0,7420500000.0,4.58863684846761,52.53897318644773,78.29869050093536,19.61366806136681,1.7130140644472138,1.1494445108111335,0.1586932582894898,0.3744454303460515,2024-11-20,1.1,bmo,13952348470.0,2025-04-25,2024-11-02,0.0363636363636361,,
2024-08-03,TJX,USD,109198,2024-08-30,2024-08-30 11:17:33,2025,Q2,13468000000.0,9380000000.0,4088000000.0,0.3035343035,0,0.0,0.0,2666000000.0,0.0,2666000000.0,12046000000.0,66000000.0,20000000.0,265000000.0,1687000000.0,0.1252598753,1422000000.0,0.1055836056,46000000.0,1468000000.0,0.108999109,369000000.0,1099000000.0,0.0816008316,0.97,0.96,1130149156,1144000000,https://www.sec.gov/Archives/edgar/data/109198/000010919824000048/0000109198-24-000048-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919824000048/tjx-20240803.htm,11.917011067519658,0.972438013305918,1.4414026603051324,0.9432383277380424,4.645404522162028,6.88581676027903,6.801757059401813,6.88581676027903,11.211794419107632,127865075509.84,135266075509.84,29.086686876669702,9.49399135059697,78.49298680775935,119.94847608803002,16.430875804399896,16.430875804399896,10.04351615012177,80.18143183748666,83.03626489247391,126.89125282348968,0.0085949974660236,0.0083369129197281,1.625674633770239,0.4140402552773686,4.387077652637819,1.2136333678561342,71.1,1.4822565969062784,0.0033081746388789,0.3848953594176524,0.0,0.0,0.0031091474390443,0.3456108041743401,0.0418027918027918,2.1245283018867926,0.0034155034155034,12.274390996419026,0.0493882008953712,0.0360801050558109,-12.221838088069148,2269000000.0,7687000000.0,-9883000000.0,18845000000.0,619000000.0,4287500000.0,6344000000.0,4.2367092367092365,43.20575692963752,62.078891257995735,21.242902208201897,2.083055740617366,1.4497681607418855,0.1412233359033667,0.4981643325670899,2024-08-21,0.92,bmo,13313094123.0,2025-04-25,2024-08-03,0.0434782608695651,126.43821428571428,6341708.0
2024-05-04,TJX,USD,109198,2024-05-31,2024-05-31 11:39:41,2025,Q1,12479000000.0,8739000000.0,3740000000.0,0.2997035019,0,0.0,0.0,2400000000.0,0.0,2400000000.0,11139000000.0,69000000.0,19000000.0,264000000.0,1604000000.0,0.1285359404,1340000000.0,0.1073803991,50000000.0,1390000000.0,0.1113871304,320000000.0,1070000000.0,0.08574405,0.94,0.93,1132502522,1146000000,https://www.sec.gov/Archives/edgar/data/109198/000010919824000035/0000109198-24-000035-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919824000035/tjx-20240504.htm,11.018960008991485,0.9448102580031164,0.6543031786731862,0.2843260776420593,4.46709821984838,6.624267808915308,6.540382786008489,6.624267808915308,11.179666052876128,107712314867.42,115295314867.42,25.16642870734112,8.63148608601811,145.36074880893386,334.5102946193168,14.357813232127432,14.357813232127432,9.23914695628015,71.87987211185785,155.59421709503374,358.05998406031057,0.0099338687625183,0.0029894446182531,1.6851506264996,0.4259577479025573,4.727556109725686,1.2286138613861386,70.52631578947368,0.6925233644859813,0.0035279160091186,0.3551401869158878,0.0,0.0,0.0032009164729269,0.5654520917678812,0.0335764083660549,1.5871212121212122,0.0030451157945348,11.866769315888709,0.0486699439165285,0.0361681990265008,-11.969951268682474,2309000000.0,7407000000.0,-9768000000.0,18525000000.0,596000000.0,3967000000.0,6091500000.0,4.35611827870823,41.93614830072091,64.03707518022657,20.660596026490065,2.1461198428290764,1.40543583145706,0.1426286323647027,0.3699771010311269,2024-05-22,0.87,bmo,12489908139.0,2025-04-25,2024-05-04,0.0689655172413793,121.3965,4828316.45
2024-02-03,TJX,USD,109198,2024-04-03,2024-04-03 11:58:03,2024,Q4,16411000000.0,11484000000.0,4927000000.0,0.3002254585,0,2512000000.0,573000000.0,3085000000.0,0.0,3085000000.0,14569000000.0,54000000.0,0.0,252000000.0,2094000000.0,0.1275973432,1842000000.0,0.112241789,5851000000.0,1843000000.0,0.1123027238,440000000.0,1403000000.0,0.0854914387,1.24,1.22,1133586545,1152000000,https://www.sec.gov/Archives/edgar/data/109198/000010919824000014/0000109198-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919824000014/tjx-20240203.htm,14.477059623180336,1.2376646548852606,2.4700363746819174,2.0801234898214145,4.940072749363835,6.4415020028312,6.3576971972616345,6.4415020028312,11.063998646878789,110536024002.95,117478024002.95,19.696369209363866,6.735483761071843,39.47715142962499,46.877024598367264,15.13777376101753,15.13777376101753,7.158492718478461,56.10220821535339,41.95643714391072,49.82104495460136,0.0126926946455262,0.0213324119559164,1.717611613256642,0.4216223484721148,3.315186246418338,1.2117500717634675,0.0,1.9957234497505345,0.0034287464509297,0.2701354240912331,0.1530680641033453,0.0,0.0031935993545567,0.1578571428571428,0.0269331545914325,1.753968253968254,0.0028029979891536,13.39326082209735,0.0670414391462446,0.0473155267772831,-11.83985471528334,2213000000.0,7207000000.0,-9781000000.0,18275000000.0,642000000.0,4643500000.0,7125000000.0,3.224666382304552,30.266457680250785,46.74764890282132,27.90986394557823,2.9735888140859656,1.92523051131601,0.1921391399616543,0.3899128848605026,2024-02-28,1.12,bmo,16202061461.0,2025-04-25,2024-02-03,0.0892857142857141,119.35828125,5066445.71875
2023-10-28,TJX,USD,109198,2023-11-29,2023-11-29 10:56:51,2024,Q3,13265000000.0,9139000000.0,4126000000.0,0.311044101,0,0.0,0.0,2578000000.0,0.0,2578000000.0,11717000000.0,60000000.0,19000000.0,245000000.0,1793000000.0,0.1351677346,1548000000.0,0.1166980776,41000000.0,1589000000.0,0.1197889182,398000000.0,1191000000.0,0.0897851489,1.04,1.03,1144000000,1158000000,https://www.sec.gov/Archives/edgar/data/109198/000010919823000060/0000109198-23-000060-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919823000060/tjx-20231028.htm,11.59527972027972,1.041083916083916,1.0236013986013983,0.6215034965034965,3.75,5.9729020979020975,5.890734265734266,5.9729020979020975,10.95979020979021,99745360000.0,107974360000.0,20.937313182199837,7.519439125518281,85.1796413321947,140.28883263009843,14.597594028977024,14.597594028977024,8.13979344138711,60.21994422755159,92.2069684030743,151.8626722925457,0.0119404050474127,0.0071281511240222,1.832138153080638,0.4124740535731936,4.5895147796988285,1.186082474226804,81.47368421052632,0.9832073887489504,0.0038097010226841,0.3190596137699412,0.0,0.0,0.003097097294982,0.3928266438941076,0.0346777233320768,1.8775510204081631,0.0033169996230682,11.828422417869994,0.0568954715732643,0.0393627920811713,-12.730332167832168,2166000000.0,6739000000.0,-9712000000.0,17811000000.0,696000000.0,4931500000.0,7435000000.0,4.722201281568036,53.42488237225079,81.58988948462633,19.058908045977013,1.6846082949308756,1.1030778515389257,0.1743011854236792,0.4020979020979021,2023-11-15,0.99,bmo,13046300000.0,2025-04-25,2023-10-28,0.0404040404040404,114.67,4807641.40625
2023-07-29,TJX,USD,109198,2023-08-25,2023-08-25 12:02:29,2024,Q2,12758000000.0,8910000000.0,3848000000.0,0.3016146731,0,0.0,0.0,2559000000.0,0.0,2559000000.0,11469000000.0,57000000.0,19000000.0,235000000.0,1524000000.0,0.1194544599,1289000000.0,0.1010346449,38000000.0,1327000000.0,0.1040131682,338000000.0,989000000.0,0.0775199875,0.86,0.85,1148000000,1161000000,https://www.sec.gov/Archives/edgar/data/109198/000010919823000051/0000109198-23-000051-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919823000051/tjx-20230729.htm,11.113240418118467,0.8614982578397212,1.1681184668989546,0.7682926829268293,3.963414634146341,5.7560975609756095,5.673344947735192,5.7560975609756095,10.964285714285714,99703800000.0,107721800000.0,25.20318503538928,7.815002351465747,74.3503355704698,113.04285714285714,15.08834745762712,15.08834745762712,8.443470763442546,70.68359580052494,80.32945563012677,122.13356009070294,0.0099193812071355,0.0088462024516618,1.9019370460048424,0.434548094875873,5.261154855643045,1.1958902781816418,67.84210526315789,1.3559150657229524,0.0038313484541211,0.3862487360970677,0.0,0.0,0.0032846967706244,0.3422818791946309,0.0359774259288289,1.9531914893617024,0.0028217588963787,10.5628845712977,0.0475042760783205,0.0343081139209768,-12.151132404181183,2021000000.0,6513000000.0,-9976000000.0,17688000000.0,664500000.0,4371000000.0,6513000000.0,4.909860479699012,44.82828282828283,66.51515151515152,18.330459770114945,2.007661108607481,1.3530751708428246,0.1496670702179176,0.3998257839721254,2023-08-16,0.77,bmo,12403000000.0,2025-04-25,2023-07-29,0.1038961038961038,100.7247619047619,6069906.158730159
2023-04-29,TJX,USD,109198,2023-05-26,2023-05-26 11:11:52,2024,Q1,11783000000.0,8374000000.0,3409000000.0,0.289315115,0,0.0,0.0,2238000000.0,1171000000.0,3409000000.0,11783000000.0,59000000.0,22000000.0,232000000.0,1462000000.0,0.1240770602,1171000000.0,0.0993804634,37000000.0,1208000000.0,0.1025205805,317000000.0,891000000.0,0.0756174149,0.77,0.76,1150179322,1165000000,https://www.sec.gov/Archives/edgar/data/109198/000010919823000031/0000109198-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919823000031/tjx-20230429.htm,10.244489511001658,0.7746618139949485,0.6477250857757987,0.3338609838092707,4.368883967816629,5.583477182351919,5.500881366044937,5.583477182351919,11.17912637973855,90657134160.04,98468134160.04,25.436906329977557,7.693892400919969,121.68742840273823,236.08628687510412,14.11665122392401,14.11665122392401,8.356796584913859,67.35166495214774,132.17199216112752,256.4274327084375,0.0098282392031838,0.0042357394545708,1.998754282155092,0.4475436700254523,5.342681258549932,1.1956521739130437,53.22727272727273,0.8361391694725028,0.0037834860232234,0.3849607182940516,0.0,0.0,0.0033122973397022,0.4845637583892617,0.0306373589068997,1.5560344827586208,0.0028855130272426,9.865059434985842,0.0426396839003797,0.0311691037570838,-11.77099061080147,2061000000.0,6327000000.0,-9664000000.0,17232000000.0,657500000.0,4049000000.0,6130000000.0,4.834931681235679,46.25746357774062,69.22498208741342,18.614533965244867,1.945631970260223,1.3001086787765874,0.1387418249766427,0.313864101966528,2023-05-17,0.71,bmo,11823500000.0,2025-04-25,2023-04-29,0.0704225352112676,96.94967213114757,5062376.459016394
2023-01-28,TJX,USD,109198,2023-03-29,2023-03-29 11:38:54,2023,Q4,14520232000.0,10731681000.0,3788551000.0,0.2609153215,0,0.0,0.0,2472611000.0,0.0,3788551000.0,14520232000.0,44000000.0,20000000.0,230919000.0,1589843000.0,0.1094915701,1315940000.0,0.0906280285,22984000.0,1338924000.0,0.0922109234,300543000.0,1038381000.0,0.0715127003,0.9,0.89,1155437908,1171000000,https://www.sec.gov/Archives/edgar/data/109198/000010919823000004/0000109198-23-000004-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919823000004/tjx-20230128.htm,12.566864821956315,0.8986904383268686,2.617836907597808,2.3086450440398743,4.740194139450027,5.50786845051305,5.42391759575193,5.50786845051305,11.046893919287958,94618810286.12,101885810286.12,22.780369220478804,6.516342871527121,31.28155148333679,35.47102236933814,14.867820598070397,14.867820598070397,7.016816968635212,64.08545390086945,33.68406567625468,38.195300118958,0.0109743611958342,0.0281920264261799,2.0025141420490256,0.4495396663021623,4.570891591182274,1.2087336244541484,65.797,2.9140154142581887,0.0036066507174214,0.3286433399686627,0.0,0.0,0.003421637447529,0.1181096739298612,0.0246037391138103,1.5470879399269877,0.0018895014900588,10.5532955052373,0.0506378946120002,0.0367542474869035,-11.326441610915191,2151000000.0,6267000000.0,-9529000000.0,17117000000.0,697523000.0,4393634500.0,7073840000.0,4.227205185151312,31.81794166263421,48.80036967181563,21.29066275659824,2.8285927780706377,1.8442483244543737,0.1631648334380892,0.3091918635579334,2023-02-22,0.89,bmo,14066552431.0,2025-04-25,2023-01-28,0.0,89.7104761904762,5234448.380952381
2022-10-29,TJX,USD,109198,2022-11-29,2022-11-29 11:30:57,2023,Q3,12167000000.0,8624000000.0,3543000000.0,0.2911975014,0,0.0,0.0,2185000000.0,0.0,2185000000.0,10809000000.0,21000000.0,20000000.0,218000000.0,1576000000.0,0.1295306978,1358000000.0,0.1116133805,1000000.0,1359000000.0,0.11169557,296000000.0,1063000000.0,0.0873674694,0.92,0.91,1156263970,1172267000,https://www.sec.gov/Archives/edgar/data/109198/000010919822000044/0000109198-22-000044-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919822000044/tjx-20221029.htm,10.52268367404028,0.9193402437334444,0.9106916995779086,0.5586959524476058,2.909956625215953,4.8991261052612405,4.817396498137013,4.8991261052612405,10.934676101686366,83829137825.0,93087831825.0,19.715225264581377,6.889877358839484,79.60981749762584,129.76646722136223,14.798557628908805,14.798557628908805,7.650845058354566,59.06588313769035,88.40249935897435,144.098810874613,0.0126805550859785,0.0077061510682428,2.228433965325156,0.4440401077090027,5.874805837563452,1.1562419410503944,67.9,0.9905926622765756,0.0040860494201319,0.3222295390404515,0.0,0.0,0.0033241699776104,0.3865147198480532,0.0334511383249774,1.86697247706422,0.0030410125749979,10.066736572646786,0.0551258246983107,0.0375168318401363,-12.71332920630572,1755164000.0,5570182000.0,-9774974000.0,16407978000.0,690429500.0,4539373500.0,7705970000.0,5.274442344045369,52.10971822820037,86.9180426716141,17.063415263531386,1.7271250557500508,1.035458199858801,0.187653925206406,0.3519957471303028,2022-11-16,0.8,bmo,12298468382.0,2025-04-25,2022-10-29,0.0749999999999999,88.05079365079365,4828987.904761905
