date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,TRV,USD,86312,2025-04-16,2025-04-16 06:59:46,2025,Q1,11810000000.0,0.0,11810000000.0,1.0,0,1459000000.0,0.0,1459000000.0,9883000000.0,11342000000.0,11342000000.0,0.0,99000000.0,188000000.0,755000000.0,0.0639288738,468000000.0,0.0396274344,0.0,468000000.0,0.0396274344,73000000.0,395000000.0,0.033446232,1.727633318642574,1.7013888888888888,226900000,230400000,https://www.sec.gov/Archives/edgar/data/86312/000008631225000029/0000086312-25-000029-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631225000029/trv-20250331.htm,52.04936095196122,1.740855002203614,5.993829881004848,5.993829881004848,399.6209784045835,124.24416042309387,103.96650506831205,124.24416042309387,35.83957690612605,60005973999.99999,67314973999.99999,37.97846455696202,5.080946147332768,44.12203970588235,44.12203970588235,2.128550743144975,2.128550743144975,5.699828450465707,89.15890596026489,49.4963044117647,49.4963044117647,0.0065826779180352,0.0226644100469063,0.2849490972296123,0.059076167292998,9.680794701986756,26.20422535211268,4.727272727272728,3.4430379746835444,0.0039996017729834,0.6075949367088608,0.1235393734123624,0.0,0.0338366047199158,0.0,0.0,0.0,0.0,69.76065534210852,0.0029998101385988,0.0030066374375837,0.1884089907448215,110949000000.0,23590000000.0,7565000000.0,115550000000.0,22577000000.0,4020500000.0,0.0,174.307366638442,0.0,0.0,0.5163292965505181,0.0,0.0,0.014011563974318,0.0,2025-04-16,0.785,bmo,10840641956.0,2025-05-11,2025-03-31,1.4331210191082802,249.1413333333333,1382718.1166666667
2024-12-31,TRV,USD,86312,2025-02-13,2025-02-13 06:48:49,2024,Q4,12013000000.0,0.0,12013000000.0,1.0,0,1475000000.0,0.0,1475000000.0,7944000000.0,9419000000.0,9419000000.0,0.0,98000000.0,163000000.0,2855000000.0,0.2376592025,2594000000.0,0.2159327395,0.0,2594000000.0,0.2159327395,512000000.0,2082000000.0,0.1733122451,9.09,8.96,227400000,230600000,https://www.sec.gov/Archives/edgar/data/86312/000008631225000012/0000086312-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631225000012/trv-20241231.htm,52.82761653474054,9.155672823218998,9.076517150395778,9.076517150395778,391.9569041336851,122.532981530343,102.33509234828496,122.532981530343,35.75637642919965,54778386000.0,62112386000.0,6.577615994236311,4.559925580620994,26.539915697674417,26.53991569767442,1.965919681309216,1.965919681309216,5.170430866561225,21.75565183887916,30.09321027131783,30.09321027131783,0.0380076915738262,0.0376790948167038,0.2882931380993396,0.0603127885936526,2.5688266199649736,29.334201615003906,26.46938775510204,0.9913544668587896,0.0043812900949655,0.1152737752161383,0.1227836510447015,0.0,0.0344848298282891,0.0,0.0,0.0,0.0,158.8776809412528,0.0160834298957126,0.0161902391987309,2.2724274406332454,108775000000.0,23271000000.0,7289000000.0,113368000000.0,22459500000.0,3985000000.0,0.0,166.92666278198618,0.0,0.0,0.5391589246443158,0.0,0.0,0.0747200689061154,0.0,2025-01-22,6.7,bmo,10749265000.0,2025-04-25,2024-12-31,0.3656716417910448,249.66171875,1235851.75
2024-09-30,TRV,USD,86312,2024-10-17,2024-10-17 07:01:01,2024,Q3,11904000000.0,0.0,11904000000.0,1.0,0,1460000000.0,0.0,1460000000.0,10444000000.0,11904000000.0,11904000000.0,0.0,98000000.0,174000000.0,1832000000.0,0.1538978495,0.0,0.0,1560000000.0,1560000000.0,0.1310483871,300000000.0,1260000000.0,0.1058467742,5.5,5.42,227400000,230600000,https://www.sec.gov/Archives/edgar/data/86312/000008631224000059/0000086312-24-000059-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631224000059/trv-20240930.htm,52.34828496042216,5.54089709762533,17.04045734388742,17.04045734388742,396.82937554969214,121.79419525065964,101.38522427440633,121.79419525065964,35.75637642919965,53238888000.0,60499888000.0,10.563271428571428,4.472352822580645,13.739067870967745,13.739067870967745,1.9222590987868284,1.9222590987868284,5.082315860215053,33.02395633187773,15.612874322580645,15.612874322580645,0.0236669105485448,0.0727851415679455,0.2900418833044483,0.059685856094154,3.9634279475982535,26.40937427845763,0.0,3.0753968253968256,0.0044704164369473,0.1888888888888888,0.1226478494623656,0.0,0.0344830148304455,0.0,0.0,0.0,0.0,123.22379971770808,0.0,0.0096962607832423,1.4313984168865437,110048000000.0,23055000000.0,7487000000.0,114689000000.0,22767500000.0,4196000000.0,0.0,171.15423387096774,0.0,0.0,0.5258415054333422,0.0,0.0,0.0454939341421143,0.0,2024-10-17,3.55,bmo,11436049673.0,2025-04-25,2024-09-30,0.4760563380281691,220.46546875,1201726.65625
2024-06-30,TRV,USD,86312,2024-07-19,2024-07-19 07:00:47,2024,Q2,11283000000.0,-105000000.0,11388000000.0,1.0093060356,0,1478000000.0,19000000.0,1478000000.0,-3156000000.0,3156000000.0,-10529000000.0,0.0,98000000.0,182000000.0,9063000000.0,0.8032438181,754000000.0,0.0668261987,-7471000000.0,656000000.0,0.0581405655,122000000.0,534000000.0,0.0473278383,2.31,2.29,228600000,231500000,https://www.sec.gov/Archives/edgar/data/86312/000008631224000051/0000086312-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631224000051/trv-20240630.htm,49.35695538057743,2.335958005249344,7.335958005249344,7.335958005249344,368.63517060367457,108.75765529308836,88.54330708661418,108.75765529308836,35.56430446194226,46398942000.0,53701942000.0,21.722351123595505,4.112287689444297,27.667824686940968,27.667824686940968,1.8662594320649988,1.8662594320649988,4.759544624656563,5.925404612159329,32.02262492546213,32.02262492546213,0.011508883112033,0.0361430655035194,0.3230633094682648,0.0621118973050303,0.8058038177204017,25.489791128842995,7.693877551020408,3.140449438202247,0.0052587405980076,0.4569288389513108,0.1309935300895152,0.0,0.0357344468932451,0.0,0.0,0.0,0.0,75.60555269995628,0.0049041532052024,0.0042824835196561,-13.16819772528434,104351000000.0,20241000000.0,4159000000.0,108972000000.0,22546000000.0,4166500000.0,0.0,182.64025525126297,-3566.5714285714284,0.0,0.4927719788618596,-0.0252343186733958,0.0,0.0214785616603652,0.0,2024-07-19,1.98,bmo,11345220150.0,2025-04-25,2024-06-30,0.2676767676767675,214.95206349206347,1289516.2857142857
2024-03-31,TRV,USD,86312,2024-04-17,2024-04-17 08:00:40,2024,Q1,11228000000.0,0.0,11228000000.0,1.0,0,1406000000.0,0.0,1406000000.0,-3104000000.0,3104000000.0,-9760000000.0,0.0,98000000.0,196000000.0,1664000000.0,0.1482009263,1468000000.0,0.1307445672,-8452000000.0,1370000000.0,0.1220163876,247000000.0,1123000000.0,0.1000178126,4.87,4.81,229000000,232000000,https://www.sec.gov/Archives/edgar/data/86312/000008631224000032/0000086312-24-000032-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631224000032/trv-20240331.htm,49.03056768558952,4.903930131004367,6.366812227074236,6.366812227074236,363.9301310043668,109.26637554585152,89.06113537117903,109.26637554585152,35.50218340611354,52248640000.0,59613640000.0,11.631487088156724,4.653423583897399,35.83582990397805,35.83582990397805,2.088108064902886,2.088108064902886,5.309372996081225,35.825504807692305,40.88727023319616,40.88727023319616,0.0214933824114847,0.0279050325520434,0.3209975221804811,0.0630405776626638,4.426081730769231,25.06320224719101,14.979591836734691,1.298308103294746,0.004382889200561,0.2039180765805877,0.1252226576416102,0.0,0.0363158307825131,0.0,0.0,0.0,0.0,109.80109337006236,0.0097642885056663,0.0091462173102139,-10.487991266375548,102798000000.0,20395000000.0,4682000000.0,107425000000.0,21934500000.0,3979500000.0,0.0,177.90790879943,0.0,0.0,0.5058797026357288,0.0,0.0,0.0448805051554631,0.0,2024-04-17,4.9,bmo,10566234767.0,2025-04-25,2024-03-31,-0.0428571428571428,213.64901639344265,1502702.9180327868
2023-12-31,TRV,USD,86312,2024-02-15,2024-02-15 06:57:30,2023,Q4,10927000000.0,0.0,10927000000.0,1.0,0,1289000000.0,0.0,1289000000.0,-2930000000.0,2930000000.0,-8810000000.0,0.0,98000000.0,170000000.0,2287000000.0,0.209298069,-12000000.0,-0.0010981971,-7619000000.0,2019000000.0,0.1847716665,393000000.0,1626000000.0,0.1488057106,7.07,6.98,228400000,231100000,https://www.sec.gov/Archives/edgar/data/86312/000008631224000012/0000086312-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631224000012/trv-20231231.htm,47.8415061295972,7.119089316987741,9.211908931698774,9.211908931698774,365.9982486865149,109.11120840630473,90.49036777583188,109.11120840630473,35.59106830122592,43507916000.0,50888916000.0,6.689408979089792,3.981689027180379,20.67866730038023,20.678667300380223,1.745833473777136,1.745833473777136,4.657171776333852,22.251384346305205,24.186747148288973,24.186747148288973,0.0373725094072536,0.0483590158627685,0.3222583363428434,0.063749226055343,3.2273721031919544,27.377926421404684,-0.1224489795918367,1.2939729397293973,0.0053323629658566,0.1426814268142681,0.1179646746591013,0.0,0.0337598628331931,0.0,0.0,0.0,0.0,132.2020418068545,-7.909085115241658e-05,0.0133579790511398,-5.286777583187391,102531000000.0,20668000000.0,5361000000.0,106784000000.0,21876500000.0,4040500000.0,0.0,178.51743387938137,0.0,0.0,0.5041524407123743,0.0,0.0,0.0652461779222342,0.0,2024-01-19,5.09,bmo,9987050000.0,2025-04-25,2023-12-31,0.3772102161100196,173.1514285714286,1393830.2857142857
2023-09-30,TRV,USD,86312,2023-10-18,2023-10-18 07:00:25,2023,Q3,10635000000.0,0.0,10635000000.0,1.0,0,1312000000.0,0.0,1312000000.0,-2916000000.0,1312000000.0,10163000000.0,98000000.0,98000000.0,169000000.0,739000000.0,0.0694875411,472000000.0,0.0443817583,472000000.0,472000000.0,0.0443817583,68000000.0,404000000.0,0.0379877762,1.75,1.74,228800000,231100000,https://www.sec.gov/Archives/edgar/data/86312/000008631223000063/0000086312-23-000063-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631223000063/trv-20230930.htm,46.48164335664335,1.7657342657342658,13.312937062937063,13.312937062937063,339.4449300699301,87.31643356643356,68.81555944055944,87.31643356643356,35.52884615384615,37365328000.0,44803328000.0,23.12210891089109,3.5134299952985426,12.267015101772817,12.267015101772817,1.8703237561317447,1.8703237561317447,4.212818805829807,60.62696617050068,14.708906106369009,14.708906106369009,0.0108121625481248,0.0815194235682876,0.4019921914105516,0.0661619323798853,10.064952638700948,23.016158397815204,4.816326530612245,7.53960396039604,0.006128676295843,0.5668316831683168,0.123366243535496,0.0,0.0348728003690766,0.0,0.0,0.0,0.0,58.89818690735845,0.0034503373473396,0.0034485407721658,-31.388767482517483,96739000000.0,15745000000.0,-273000000.0,100972000000.0,21988000000.0,4244500000.0,0.0,186.8462623413258,0.0,0.0,0.4816794238869514,0.0,0.0,0.0202222444689158,0.0,2023-10-18,3.01,bmo,10337800000.0,2025-04-25,2023-09-30,-0.3521594684385382,167.0052380952381,1228679.2222222222
2023-06-30,TRV,USD,86312,2023-07-20,2023-07-20 07:00:22,2023,Q2,10098000000.0,0.0,10098000000.0,1.0,0,1308000000.0,0.0,1308000000.0,-2827000000.0,1308000000.0,10146000000.0,92000000.0,92000000.0,179000000.0,223000000.0,0.0220835809,-135000000.0,-0.013368984,-48000000.0,-48000000.0,-0.0047534165,-34000000.0,-14000000.0,-0.0013864132,-0.0609,-0.0609,229700000,229700000,https://www.sec.gov/Archives/edgar/data/86312/000008631223000053/0000086312-23-000053-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631223000053/trv-20230630.htm,43.96168915977362,-0.0609490639965171,6.74357858075751,6.74357858075751,338.30648672181104,95.14584240313452,76.60861993905094,95.14584240313452,35.36351763169351,39889702000.0,47315702000.0,-712.3161071428572,3.9502576747870863,25.75190574564235,25.75190574564235,1.8251979867307253,1.8251979867307253,4.68565082194494,212.17803587443947,30.54596642995481,30.54596642995481,-0.0003509677760941,0.0388320775121358,0.3674673987645848,0.0666069518051305,33.30044843049328,23.49429569266589,-1.4673913043478262,-110.64285714285714,0.005816037432418,-16.571428571428573,0.1295306001188354,0.0,0.0353147056140263,0.0,0.0,0.0,0.0,,-0.0003383371427589,-0.0001203628078923,-19.96626033957336,96613000000.0,17597000000.0,2190000000.0,100871000000.0,21534500000.0,4286500000.0,0.0,195.16042780748663,0.0,0.0,0.4611590628853267,0.0,0.0,-0.0006405856783344,0.0,2023-07-20,2.27,bmo,10016300000.0,2025-04-25,2023-06-30,-0.973568281938326,176.37354838709678,1228511.338709677
2023-03-31,TRV,USD,86312,2023-04-19,2023-04-19 07:00:39,2023,Q1,9704000000.0,6000000.0,9698000000.0,0.9993816983,0,1267000000.0,0.0,1267000000.0,-2729000000.0,1267000000.0,8770000000.0,88000000.0,88000000.0,204000000.0,9657000000.0,0.9951566364,1016000000.0,0.1046990932,-7509000000.0,928000000.0,0.0956306678,-47000000.0,975000000.0,0.1004740313,4.18,4.13,231700000,234400000,https://www.sec.gov/Archives/edgar/data/86312/000008631223000037/0000086312-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631223000037/trv-20230331.htm,41.881743634009496,4.208027621924903,4.367716875269745,4.367716875269745,331.9982736296936,99.49072075960294,81.1739318083729,99.49072075960294,31.85153215364696,39715697000.0,46240697000.0,10.183512051282053,4.0927140354493,39.24475988142292,39.24475988142292,1.7228742408467812,1.7228742408467812,4.765117168178071,4.788308687998343,45.69238833992095,45.69238833992095,0.0245494873223551,0.0254811088925368,0.3163283012319972,0.0616128160064891,0.6756756756756757,22.20991514068781,11.545454545454543,1.037948717948718,0.0054134766915962,0.2205128205128205,0.1305647155812036,0.0,0.0358591320805732,0.0,0.0,0.0,0.0,97.05587707262552,0.0093657930453588,0.0085445367546534,-10.776866637893828,94978000000.0,18808000000.0,4156000000.0,99222000000.0,20868000000.0,4196500000.0,0.0,196.3602638087387,65670.0,0.0,0.4583412053655771,0.0013704888076747,0.0,0.0422956793336803,0.0,2023-04-19,3.55,bmo,9185660000.0,2025-04-25,2023-03-31,-0.0957746478873239,181.8440322580645,1541509.741935484
2022-12-31,TRV,USD,86312,2023-02-16,2023-02-16 06:49:14,2022,Q4,9636000000.0,0.0,9636000000.0,1.0,0,1203000000.0,0.0,1203000000.0,1191000000.0,2394000000.0,8649000000.0,88000000.0,88000000.0,187000000.0,1262000000.0,0.1309672063,1075000000.0,0.1115608136,-7446000000.0,987000000.0,0.1024283935,168000000.0,819000000.0,0.0849937733,3.49,3.44,233200000,236300000,https://www.sec.gov/Archives/edgar/data/86312/000008631223000011/0000086312-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631223000011/trv-20221231.htm,41.320754716981135,3.512006861063465,5.746140651801029,5.746140651801029,323.4519725557461,92.45283018867924,74.27530017152658,92.45283018867924,31.64665523156089,43722668000.0,50215668000.0,13.346357753357754,4.537429223744292,32.628856716417914,32.62885671641791,2.02795306122449,2.02795306122449,5.211256537982566,39.79054516640254,37.47437910447761,37.47437910447761,0.0187317022831269,0.0306477180212332,0.3382189239332096,0.0630158058020861,5.14500792393027,23.57642770352369,12.215909090909092,1.636141636141636,0.0050088434676493,0.2673992673992674,0.1248443337484433,0.0,0.0366324740530777,0.0,0.0,0.0,0.0,85.47301863053616,0.0079857234122553,0.0073467410610165,-14.172384219554033,92902000000.0,17321000000.0,2860000000.0,97141000000.0,20700500000.0,4205500000.0,0.0,192.0672478206725,0.0,0.0,0.4685858782338066,0.0,0.0,0.0379870129870129,0.0,2023-01-24,3.4,bmo,8760555020.0,2025-04-25,2022-12-31,0.0,179.89,1323230.8412698412
