date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,TSLA,USD,1318605,2025-04-23,2025-04-22 21:02:10,2025,Q1,19335000000.0,16182000000.0,3153000000.0,0.163072149,1409000000,0.0,0.0,1251000000.0,94000000.0,2754000000.0,18936000000.0,400000000.0,91000000.0,1447000000.0,2127000000.0,0.110007758,399000000.0,0.0206361521,190000000.0,589000000.0,0.0304628911,169000000.0,409000000.0,0.0211533488,0.13,0.12,3218000000,3521000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/tsla-20250331.htm,6.008390304536979,0.1270975761342448,0.6699813548788067,0.2063393412057178,11.49658172778123,23.436295835922937,23.314481044126783,23.19857054070852,2.367930391547545,833976880000.0001,825153880000.0001,509.7658190709046,43.13301680889579,386.8167346938776,1255.989277108434,11.171377975433003,11.171377975433003,42.67669407809672,387.94258580159857,382.7244341372913,1242.7016265060242,0.0004904212692323,0.0007961851412475,0.1008532811809304,0.0601785614374435,-4.148095909732017,1.996067623432931,4.384615384615385,5.133333333333334,0.0,0.0,0.0,0.0728730281872252,0.00313321770268,0.6920222634508348,0.0771657615722782,1.0310988251554942,0.0296353762606671,8.144989068367458,0.0029152736209053,0.0032793720283196,-0.9345866998135488,29636000000.0,75026000000.0,9696000000.0,67116000000.0,4100000000.0,12972500000.0,12861500000.0,17.60434445306439,74.92213570634038,76.22914349276975,5.112374405076679,1.201247123450375,1.180650809864293,0.0054786813657857,0.4636420136730889,2025-04-22,0.4097,amc,21269497845.0,2025-05-11,2025-03-31,-0.3409812057603124,333.25866666666667,96428867.36666666
2024-12-31,TSLA,USD,1318605,2025-01-30,2025-01-29 20:42:33,2024,Q4,25707000000.0,21528000000.0,4179000000.0,0.1625627261,1276000000,0.0,0.0,1313000000.0,7000000.0,2596000000.0,24124000000.0,442000000.0,96000000.0,1496000000.0,4358000000.0,0.1695258101,1583000000.0,0.0615785584,1183000000.0,2766000000.0,0.1075971525,434000000.0,2356000000.0,0.0916481892,0.72,0.66,3213000000,3517000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,8.00093370681606,0.7332710862122627,1.4982882041705572,0.6330532212885154,11.379707438530968,22.93183940242764,22.474323062558355,22.693121693121693,4.26984126984127,1297537920000.0,1295021920000.0,137.6844142614601,50.47410899754931,269.5342584129622,637.9242477876106,17.79570062951737,17.79570062951737,50.37623682265531,297.15968793024325,269.011616119651,636.6872763028515,0.0018157465486634,0.0015675842444743,0.1868391096237982,0.1115999016957483,-0.5773290500229463,2.024912390270983,16.489583333333332,2.0643224699828475,0.0,0.0,0.0,0.0496362858365425,0.0120422708282133,0.5774823431657665,0.108141751273972,1.858288770053476,0.0225230481969891,19.349540688422145,0.0138276688734115,0.0195356550580431,-0.7796451914098973,29539000000.0,72210000000.0,9970000000.0,82516000000.0,3865500000.0,13564000000.0,13273500000.0,15.467382425020425,52.14882943143812,50.23829431438127,5.81869624264373,1.725829725829726,1.7914620953648996,0.0323124819990948,0.8652349828820417,2025-01-29,0.774,amc,27258924570.0,2025-04-29,2024-12-31,-0.0568475452196382,321.74265625,92289470.3125
2024-09-30,TSLA,USD,1318605,2024-10-24,2024-10-23 20:42:47,2024,Q3,25182000000.0,20185000000.0,4997000000.0,0.1984353904,1039000000,0.0,0.0,1186000000.0,55000000.0,2280000000.0,22465000000.0,429000000.0,92000000.0,1348000000.0,4224000000.0,0.1677388611,2717000000.0,0.1078945278,67000000.0,2784000000.0,0.1105551584,601000000.0,2167000000.0,0.0860535303,0.68,0.62,3198000000,3497000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/0001628280-24-043486-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/tsla-20240930.htm,7.874296435272045,0.6776110068792995,1.9559099437148213,0.8574108818011257,10.52157598499062,22.110694183864915,21.98217636022514,21.86710444027517,4.025953721075672,836692740000.0,831364740000.0,96.52661975080755,33.225825589706936,133.7638273381295,305.1395842450766,11.96454705352419,11.96454705352419,33.01424588992137,196.8193039772727,132.91202877697842,303.19647702407,0.0025899591288434,0.0032771887084857,0.1827944688335645,0.106656543069786,-1.2613636363636365,1.8438368708506392,29.532608695652176,2.8798342541436464,0.0,0.0,0.0,0.0412596298943689,0.0034292293829055,0.5616306954436451,0.1395044079104122,2.6060830860534123,0.018147883408784,18.259005717438924,0.0230662031469784,0.0181428487705226,-1.7962007504690432,25802000000.0,70299000000.0,7237000000.0,77616000000.0,3525000000.0,13855000000.0,14362500000.0,11.840600428877767,65.33861778548426,64.78573197919246,7.600965891940839,1.3774396069332606,1.3891947694425326,0.0309876878637514,1.098499061913696,2024-10-23,0.58,amc,25468371161.0,2025-04-25,2024-09-30,0.2413793103448276,228.04859375,96507196.125
2024-06-30,TSLA,USD,1318605,2024-07-24,2024-07-23 19:41:09,2024,Q2,25500000000.0,20922000000.0,4578000000.0,0.1795294118,1074000000,0.0,0.0,1277000000.0,622000000.0,2973000000.0,23895000000.0,348000000.0,86000000.0,1278000000.0,3251000000.0,0.1274901961,1605000000.0,0.0629411765,282000000.0,1887000000.0,0.074,393000000.0,1478000000.0,0.0579607843,0.46,0.42,3191000000,3481000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/0001628280-24-032662-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/tsla-20240630.htm,7.99122532121592,0.4631776872453776,1.1319335631463492,0.4199310560952679,9.62707615167659,21.07897210905672,20.949545596991538,20.829833907865872,3.948918834221247,669663260000.0,667543260000.0,113.27186400541272,26.26130431372549,185.3995736434109,499.7487014925373,10.07497231750617,10.07497231750617,26.17816705882353,205.33474623192865,184.8126411960133,498.1666119402985,0.0022070794207823,0.0020010056994914,0.1882860925558163,0.1109171157118548,-0.6521070439864657,1.9105268852104296,18.662790697674417,2.4438430311231394,0.0,0.0,0.0,0.0421176470588235,0.003660309132161,0.6290143964562569,0.0890980392156862,1.7777777777777777,0.0172156862745098,14.733569548513689,0.0144212826369499,0.0131472437933089,-1.5508461297398934,25248000000.0,66850000000.0,7408000000.0,73769000000.0,3812000000.0,13890500000.0,15114000000.0,13.189411764705882,56.16289073702323,61.06251792371666,6.823655338506824,1.6024816176470589,1.4738992603029235,0.0222362640669194,0.7120025070510811,2024-07-23,0.62,amc,24539747788.0,2025-04-25,2024-06-30,-0.1612903225806451,174.76936507936506,88207242.22222222
2024-03-31,TSLA,USD,1318605,2024-04-24,2024-04-23 20:27:48,2024,Q1,21301000000.0,17605000000.0,3696000000.0,0.1735129806,1151000000,0.0,0.0,1374000000.0,0.0,2525000000.0,20130000000.0,350000000.0,76000000.0,1246000000.0,2875000000.0,0.1349701892,1171000000.0,0.0549739449,382000000.0,1553000000.0,0.0729073752,409000000.0,1129000000.0,0.0530022065,0.37,0.34,3186000000,3484000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/0001628280-24-017503-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/tsla-20240331.htm,6.685812931575644,0.3543628374136848,0.0759573132454488,-0.795668549905838,8.43157564344005,20.45825486503453,20.326114249843062,20.206528562460765,3.134651600753296,558250920000.0,556356920000.0,123.61623560673162,26.20773297028309,2306.8219834710744,-220.217325443787,8.671454844822765,8.671454844822765,26.11881695695038,193.51545043478265,2298.995537190083,-219.47018540433925,0.0020223880687917,-0.0045409687815651,0.1539501071794712,0.0907384688627249,-0.6587826086956522,1.7157844701728178,15.407894736842104,0.2143489813994685,0.0,0.0,0.0,0.054035021829961,0.0038543936425393,11.475206611570249,0.130369466222243,2.2287319422150884,0.0245997840476972,12.692909946212922,0.0104005882981627,0.0103763613804512,-1.9620998116760828,21082000000.0,64759000000.0,6489000000.0,68204000000.0,3697500000.0,14578000000.0,14829500000.0,16.423172621003708,75.27690996875887,81.96364669128089,5.480061744275791,1.195585738539898,1.098047776461049,0.0175370468172357,0.8716258631512869,2024-04-23,0.51,amc,22220029354.0,2025-04-25,2024-03-31,-0.1176470588235294,195.37475409836065,102688204.7704918
2023-12-31,TSLA,USD,1318605,2024-01-29,2024-01-26 21:00:20,2023,Q4,25167000000.0,20729000000.0,4438000000.0,0.1763420352,1094000000,0.0,0.0,1280000000.0,0.0,2374000000.0,23103000000.0,333000000.0,61000000.0,1232000000.0,3484000000.0,0.1384352525,2064000000.0,0.0820121588,127000000.0,2191000000.0,0.0870584496,-5752000000.0,7930000000.0,0.3150951643,2.49,2.27,3181000000,3492000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,7.9116629990569,2.492926752593524,1.373781829613329,0.648538195535995,9.146180446400503,19.99654196793461,19.80320653882427,19.690034580320653,3.028607356177303,790414880000.0,783589880000.0,24.91850189155107,31.40679779075774,180.87297025171625,383.1385748909355,12.619581696841973,12.619581696841973,31.135609329677752,224.9109873708381,179.31118535469108,379.8302859912748,0.0100327058620151,0.0026100217141661,0.1528403103745569,0.0897878407023204,-1.958955223880597,1.7258939752330598,33.83606557377049,0.5501699609719249,0.0,0.0,0.0,0.0434696229189017,0.00576825676715,0.5279176201372998,0.0916676600309929,1.8725649350649352,0.019231533357174,33.23297781131555,0.0924746804949652,0.0748092035131081,-1.4055328513046212,20868000000.0,62994000000.0,6607000000.0,66606000000.0,3014000000.0,14184000000.0,13673500000.0,12.544999403981404,62.65569974431955,59.16059626610063,7.174173318129989,1.4364215924052388,1.521282841626303,0.1266085512660855,0.7252436340773342,2024-01-24,0.75,amc,25547500000.0,2025-04-25,2023-12-31,-0.0533333333333333,237.6568253968254,119630910.984127
2023-09-30,TSLA,USD,1318605,2023-10-23,2023-10-20 18:41:03,2023,Q3,23350000000.0,19172000000.0,4178000000.0,0.1789293362,1161000000,0.0,0.0,1253000000.0,0.0,2414000000.0,21586000000.0,282000000.0,38000000.0,1235000000.0,3318000000.0,0.1420985011,1764000000.0,0.0755460385,281000000.0,2045000000.0,0.0875802998,167000000.0,1853000000.0,0.0793576017,0.58,0.53,3176000000,3493000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/0001628280-23-034847-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/tsla-20230930.htm,7.352015113350126,0.5834382871536524,1.0415617128463477,0.2673173803526448,8.210642317380353,17.158375314861463,16.961586901763223,16.834382871536523,2.589735516372796,794698720000.0,786953720000.0,107.21785213167836,34.034206423982866,240.23540507859727,936.0408951707892,14.863627726031496,14.863627726031496,33.7025147751606,237.17713080168772,237.89411124546552,926.91839811543,0.0023317012515132,0.001068329391546,0.1531253506901582,0.0871504454923835,-2.3342374924653404,1.6901651651651652,46.42105263157895,1.7871420853592652,0.0,0.0,0.0,0.0497216274089935,0.006653112059697,0.7433494558645707,0.1053104925053533,1.9910931174089068,0.0199143468950749,14.865767014412883,0.0231811795349883,0.0198572592052809,-1.4541876574307304,18386000000.0,53870000000.0,5580000000.0,61805000000.0,2983500000.0,14605000000.0,14038500000.0,9.713062098501071,65.42509910285834,64.41112038389318,9.265873015873016,1.3756188562818397,1.3972742511478755,0.034657539370815,0.7742443324937027,2023-10-18,0.72,amc,24096100000.0,2025-04-25,2023-09-30,-0.0833333333333332,256.87507936507933,116406895.09523807
2023-06-30,TSLA,USD,1318605,2023-07-24,2023-07-21 18:08:29,2023,Q2,24927000000.0,20394000000.0,4533000000.0,0.1818510049,943000000,0.0,0.0,1191000000.0,0.0,2134000000.0,22528000000.0,238000000.0,28000000.0,1154000000.0,4119000000.0,0.1652425081,2399000000.0,0.0962410238,538000000.0,2937000000.0,0.1178240462,323000000.0,2703000000.0,0.108436635,0.85,0.78,3171000000,3478000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/0000950170-23-033872-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/tsla-20230630.htm,7.860927152317881,0.8524124881740776,0.9665720592872912,0.3169347209082308,7.27688426363923,16.45600756859035,16.25134027120782,16.124251024913278,1.8413749605802583,830072670000.0,820587670000.0,76.7732769145394,33.300143218197135,270.823057096248,825.9429552238806,16.234552513201642,16.234552513201642,32.91963212580736,199.22011896091288,267.72844045677,816.505144278607,0.003256341399603,0.0012107373683318,0.1136514766282026,0.0641454449117462,-2.3027433843165817,1.5901348216874456,85.67857142857143,1.172532517214996,0.0,0.0,0.0,0.0378304649576764,0.0071640670706803,0.6721044045676998,0.082641312632888,1.7850953206239168,0.017852128214386,17.58554921127058,0.0328426625452515,0.0300527006292944,-1.756780195521917,16283000000.0,51533000000.0,5466000000.0,57978000000.0,3220000000.0,15588500000.0,14365500000.0,12.445540979660608,67.40070609002647,63.353927625772286,7.231505657093124,1.3352975839717147,1.42059069378657,0.0528652454527674,0.6496373383790602,2023-07-19,0.82,amc,24477100000.0,2025-04-25,2023-06-30,0.1097560975609757,199.9617741935484,139155629.03225806
2023-03-31,TSLA,USD,1318605,2023-04-24,2023-04-21 18:05:23,2023,Q1,23329000000.0,18818000000.0,4511000000.0,0.193364482,771000000,0.0,0.0,1076000000.0,0.0,1847000000.0,20665000000.0,213000000.0,29000000.0,1046000000.0,3875000000.0,0.1661022761,2664000000.0,0.1141926358,136000000.0,2800000000.0,0.1200222899,261000000.0,2513000000.0,0.1077200051,0.8,0.73,3166000000,3468000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/0000950170-23-013890-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/tsla-20230331.htm,7.368603916614024,0.793746051800379,0.793746051800379,0.1389766266582438,7.075805432722678,15.551168667087808,15.367024636765636,15.178142766898294,1.7697409981048642,656818360000.0,646344360000.0,65.34205730202945,28.15458699472759,261.3682292081178,1492.769,13.66833895201232,13.66833895201232,27.705617900467228,166.79854451612903,257.20030242737766,1468.9644545454546,0.0038260197233219,0.000669896012042,0.1159945061805468,0.0641921849987907,-2.702967741935484,1.567174515235457,91.86206896551724,1.0,0.0,0.0,0.0,0.0330489948133224,0.0067140372899704,0.8249104655789893,0.0888593595953534,1.9818355640535368,0.017917613271036,16.46422774183411,0.0394029579470067,0.0291362318840579,-1.8205148452305748,15561000000.0,48652000000.0,5399000000.0,54813000000.0,2972500000.0,15579500000.0,13607000000.0,11.546572934973636,76.0633436071846,68.75066425762567,7.794520547945205,1.1832243460764589,1.3090782608695652,0.0522953344154492,0.6547694251421352,2023-04-19,0.85,amc,23290300000.0,2025-04-25,2023-03-31,0.0,174.44629032258064,174741361.29032257
2022-12-31,TSLA,USD,1318605,2023-01-31,2023-01-30 21:29:15,2022,Q4,24318000000.0,18541000000.0,5777000000.0,0.2375606547,810000000,0.0,0.0,1032000000.0,34000000.0,1876000000.0,20417000000.0,157000000.0,33000000.0,989000000.0,5005000000.0,0.2058146229,3901000000.0,0.1604161526,82000000.0,3983000000.0,0.1637881405,276000000.0,3714000000.0,0.1527263755,1.18,1.07,3160000000,3475000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,7.695569620253164,1.1753164556962026,1.0373417721518987,0.4493670886075949,7.0205696202531644,14.524683544303798,14.337025316455696,14.146835443037975,1.8294303797468352,389248800000.0,378743800000.0,26.20145395799677,16.006612385886996,118.7458206223307,274.1188732394366,8.707247673586256,8.707247673586256,15.574627847684845,75.67308691308692,115.54112263575352,266.720985915493,0.0095414552337733,0.0036480523510926,0.128579098067287,0.0698098083509436,-2.098901098901099,1.53195552061103,118.21212121212122,0.8890697043666937,0.0,0.0,0.0,0.0333086602516654,0.0072020209380844,0.5668090298962782,0.0764043095649313,1.878665318503539,0.0172300353647503,19.34186369187696,0.0630151719857994,0.0454339714967276,-1.7789556962025317,14208000000.0,45305000000.0,4477000000.0,51436000000.0,2572000000.0,14576000000.0,11583000000.0,10.925240562546264,74.04940402351545,62.32188123617928,8.237804878048781,1.2154047853162897,1.44411558532596,0.0830798138869005,0.5879746835443038,2023-01-25,1.13,amc,24669077753.0,2025-04-25,2022-12-31,0.0530973451327434,189.3425396825397,104202953.96825396
