date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,TTWO,USD,946581,2025-02-07,2025-02-06 18:15:25,2025,Q3,1359800000.0,599900000.0,759900000.0,0.5588321812,240900000,189600000.0,388900000.0,578500000.0,0.0,892000000.0,1147100000.0,0.0,0.0,271100000.0,142800000.0,0.1050154434,-132100000.0,-0.0971466392,-20800000.0,-152900000.0,-0.1124430063,-27700000.0,-125200000.0,-0.0920723636,-0.71,-0.71,175400000,175400000,https://www.sec.gov/Archives/edgar/data/946581/000162828025004308/0001628280-25-004308-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828025004308/ttwo-20241231.htm,7.752565564424173,-0.7137970353477765,-0.0273660205245153,-0.2748004561003421,6.984036488027366,32.507981755986314,-19.70011402508552,32.507981755986314,23.39623717217788,32287632000.000004,35169632000.0,-64.4721086261981,23.744397705544937,-6726.59,-669.8678838174275,5.662609305670041,5.662609305670041,25.863827033387263,246.28593837535013,-7327.006666666667,-729.6604149377594,-0.0038776457808983,-0.0014928316824225,0.7197074659324085,0.3236381990394246,20.18207282913165,0.8294359434907257,0.0,0.0383386581469648,0.0,0.0,0.1394322694513899,0.1771584056478894,0.7221902380933604,-9.041666666666666,0.0319164583026915,0.2766093052899936,0.0609648477717311,,-0.0104526510880226,-0.0355419292567989,-29.63768529076397,-493800000.0,-3455400000.0,-4576700000.0,9414800000.0,838850000.0,160950000.0,0.0,48.93807912928372,21.723620603433904,0.0,1.8390586962401947,4.142955801104972,0.0,-0.0219575930830074,0.2474344355758266,2025-02-06,0.64,amc,1386339120.0,2025-05-06,2024-12-31,0.1249999999999999,,
2024-09-30,TTWO,USD,946581,2024-11-07,2024-11-06 18:07:40,2025,Q2,1353100000.0,672500000.0,680600000.0,0.5029931269,246700000,253000000.0,461300000.0,714300000.0,0.0,1025100000.0,1633500000.0,0.0,25900000.0,283900000.0,-14500000.0,-0.0107161333,-297200000.0,-0.2196437809,-27100000.0,-324300000.0,-0.2396718646,41200000.0,-365500000.0,-0.2701204641,-2.08,-2.08,175400000,175400000,https://www.sec.gov/Archives/edgar/data/946581/000162828024045867/0001628280-24-045867-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828024045867/ttwo-20240930.htm,7.714367160775371,-2.0838084378563284,-0.7320410490307868,-0.9418472063854048,7.0530216647662485,33.05872291904219,-19.828392246294182,33.05872291904219,23.59350057012543,26960734000.0,29839534000.0,-18.440994528043777,19.925160002956176,-209.9745638629283,-163.2005690072639,4.649604897818402,4.649604897818402,22.05271894168945,-2057.898896551724,-232.3951246105919,-180.62671912832928,-0.0135567525720924,-0.0061274296167159,0.70921790118134,0.3145166841296184,-198.5379310344828,0.8453991563818153,-11.474903474903474,0.3512995896032831,0.0,0.0,0.1869780504027788,0.1823220752346463,0.7094598211895712,-0.2866043613707165,0.0271968073313132,0.129623106727721,0.0637055649988914,,-0.0316235969082374,-0.0962120613861907,-30.42175028506271,-494800000.0,-3477900000.0,-4571100000.0,9551700000.0,806600000.0,173700000.0,0.0,62.410021432266646,23.701115241635687,0.0,1.442076095065544,3.797289666854884,0.0,-0.0630335431577132,0.209806157354618,2024-11-06,0.4151,amc,1447904143.0,2025-04-22,2024-09-30,0.5899783184774753,216.1107142857143,2351919.821428572
2024-06-30,TTWO,USD,946581,2024-08-09,2024-08-08 17:58:04,2025,Q1,1338200000.0,597400000.0,740800000.0,0.5535794351,212600000,210500000.0,431400000.0,640300000.0,1600000.0,852900000.0,1450300000.0,0.0,24200000.0,303800000.0,116300000.0,0.0869077866,-112100000.0,-0.0837692423,-100100000.0,-212200000.0,-0.1585712151,49800000.0,-262000000.0,-0.1957853834,-1.52,-1.52,172300000,172300000,https://www.sec.gov/Archives/edgar/data/946581/000162828024036273/0001628280-24-036273-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828024036273/ttwo-20240630.htm,7.766686012768427,-1.5206035983749275,-1.1085316308763784,-1.3122460824143936,8.140452698781196,34.7736506094022,-19.31050493325595,34.7736506094022,24.06558328496808,26584167000.0,29319267000.0,-25.366571564885493,19.865615752503363,-139.18412041884815,-117.57703228659884,4.43698022198114,4.43698022198114,21.9094806456434,252.1003181427343,-153.50401570680629,-129.67389208314904,-0.0098554902999217,-0.0085050624305813,0.688024701660686,0.3184571172535265,23.51762682717111,0.8990619400625374,-4.632231404958677,0.7290076335877863,0.0,0.0,0.1573008518905993,0.1588701240472276,0.719890919765771,-0.1837696335078534,0.0262292631893588,0.1155365371955233,0.0562696159019578,,-0.0127854957378749,-0.0722579221710471,-29.27640742890308,-287300000.0,-3327200000.0,-4394100000.0,9797400000.0,719800000.0,183100000.0,0.5,45.39007622179047,25.65617676598594,0.0,1.98281226848422,3.5079271873165,0.0,-0.0437286155386797,0.2037144515380151,2024-08-08,0.01205,amc,1257127396.0,2025-04-22,2024-06-30,3.149377593360996,199.82516666666663,1750935.816666667
2024-03-31,TTWO,USD,946581,2024-05-22,2024-05-21 21:04:08,2024,Q4,1399400000.0,727566666.0,671833334.0,0.4800867043,32666666,173400000.0,447100000.0,416666666.0,1692600000.0,449333333.0,1176900000.0,0.0,0.0,668500000.0,-2045600000.0,-1.4617693297,222500000.0,0.1589967129,-31500000.0,-2744600000.0,-1.9612691153,158400000.0,-2903000000.0,-2.0744604831,-17.02,-17.02,170600000,170600000,https://www.sec.gov/Archives/edgar/data/946581/000162828024024623/0001628280-24-024623-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828024024623/ttwo-20240331.htm,8.202813599062134,-17.01641266119578,-0.052168815943728,-0.3229777256740914,4.548651817116061,33.223329425556855,-19.14185228604924,33.223329425556855,20.71512309495897,25590000000.0,28370000000.0,-2.203754736479504,18.2864084607689,-2875.2808988764045,-464.4283121597096,4.514899698300958,4.514899698300958,20.27297413177076,-13.868791552600705,-3187.6404494382023,-514.8820326678766,-0.1134427510746385,-0.0021531848378272,0.6235113534113164,0.2892714190997716,-1.3590144700821274,0.9390375664893617,0.0,0.0030657940062004,0.0,0.0,0.1239102472488209,0.0233433371444904,0.7312411495551244,-5.191011235955056,0.0330141489209661,0.069109947643979,0.0575961126196941,,0.0236222324748978,-0.8841444843759517,-30.47757912954279,-146700000.0,-3265600000.0,-4289300000.0,9523600000.0,759850000.0,173850000.0,0.5,49.18036301271974,24.23283091971671,1.2370000469482752e-07,1.829998692297633,3.713969709035222,727566666.0,-0.5121826426013162,0.2708089097303634,2024-05-16,0.08541,amc,1305524683.0,2025-04-22,2024-03-31,2.629551574757054,173.43328125,1416940.515625
2023-12-31,TTWO,USD,946581,2024-02-09,2024-02-08 17:54:39,2024,Q3,1366300000.0,688200000.0,678100000.0,0.4963038864,232400000,165000000.0,367600000.0,532600000.0,0.0,807600000.0,1495800000.0,0.0,14500000.0,325800000.0,196300000.0,0.1436726927,-129500000.0,-0.0947815268,-22800000.0,-152300000.0,-0.1114689307,-60700000.0,-91600000.0,-0.0670423772,-0.54,-0.54,170300000,170300000,https://www.sec.gov/Archives/edgar/data/946581/000162828024003951/0001628280-24-003951-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828024003951/ttwo-20231231.htm,8.022900763358779,-0.537874339401057,-0.4521432765707575,-0.6611861421021726,5.415149735760423,49.96241926012918,-18.184380504991196,49.96241926012918,20.790369935408105,27409785000.0,30037185000.0,-74.80836517467247,20.061322549952425,-355.9712337662337,-243.42615452930724,3.2214212678936605,3.2214212678936605,21.9843262826612,153.01673458991337,-390.0933116883117,-266.760079928952,-0.003341872254744,-0.0041080220074692,0.4144160026326305,0.2367193216834388,13.384615384615383,0.8239860347645224,-8.931034482758621,0.8406113537117904,0.0,0.0,0.1207641074434604,0.1700944155749103,0.7791107500822385,-0.4623376623376623,0.0260557710605284,0.1092694904849601,0.0628705262387469,,-0.0061306674802851,-0.0278394067410266,-28.76482677627716,-473900000.0,-3096800000.0,-4168600000.0,11848500000.0,826000000.0,141800000.0,0.0,49.73285515626144,19.851787271142108,0.0,1.8096688741721856,4.533596837944664,0.0,-0.0107655783560162,0.2090428655314151,2024-02-08,0.72,amc,1337360000.0,2025-04-22,2023-12-31,-0.0138888888888889,151.71734375,1570086.328125
2023-09-30,TTWO,USD,946581,2023-11-09,2023-11-08 17:46:09,2024,Q2,1299200000.0,883800000.0,415400000.0,0.3197352217,234300000,179500000.0,170600000.0,350100000.0,0.0,584400000.0,1468200000.0,33000000.0,31100000.0,45300000.0,-43200000.0,-0.0332512315,-543700000.0,-0.4184883005,-33300000.0,-577000000.0,-0.4441194581,33400000.0,-543600000.0,-0.41841133,-3.2,-3.2,169900000,169900000,https://www.sec.gov/Archives/edgar/data/946581/000162828023037956/0001628280-23-037956-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828023037956/ttwo-20230930.htm,7.64685108887581,-3.1995291347851675,0.3814008240141259,0.2142436727486757,4.719835197174809,49.618010594467336,-18.935844614479105,49.618010594467336,20.86992348440259,23852261000.0,26610161000.0,-10.96958287343635,18.35919104064039,368.0904475308642,655.2818956043955,2.829416139784818,2.829416139784818,20.481958897783247,-615.975949074074,410.6506327160493,731.048379120879,-0.0227902922913681,0.0015260607788921,0.4169226936809765,0.2311177453082052,-63.84027777777778,0.8455718142728575,-17.482315112540192,-0.119205298013245,0.0,0.0,0.1381619458128078,0.1803417487684729,0.7658968659994476,0.4382716049382716,0.02185960591133,0.0564949273920827,0.0695812807881773,,-0.0452770446504189,-0.1526923401028061,-31.21041789287816,-463300000.0,-3217200000.0,-4240500000.0,11888800000.0,799550000.0,129650000.0,0.0,62.13823891625616,13.421588594704684,0.0,1.4483835005574135,6.705614567526555,0.0,-0.0644832208396104,0.1671571512654502,2023-11-08,1.02,amc,1408010000.0,2025-04-22,2023-09-30,0.2058823529411764,151.6907936507937,1659299.873015873
2023-06-30,TTWO,USD,946581,2023-08-09,2023-08-08 18:47:56,2024,Q1,1284700000.0,605500000.0,679200000.0,0.5286837394,244000000,198200000.0,400900000.0,599100000.0,0.0,883500000.0,1489000000.0,18600000.0,34500000.0,365100000.0,146600000.0,0.1141122441,-204300000.0,-0.1590254534,-24600000.0,-228900000.0,-0.1781738927,-22900000.0,-206000000.0,-0.1603487195,-1.22,-1.22,169400000,169400000,https://www.sec.gov/Archives/edgar/data/946581/000162828023028326/0001628280-23-028326-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828023028326/ttwo-20230630.htm,7.583825265643448,-1.2160566706021252,0.0295159386068477,-0.1564344746162927,5.224321133412042,52.77567886658796,-19.03659976387249,52.77567886658796,20.818181818181817,24928904000.0,27645204000.0,-30.253524271844658,19.404455514906203,4985.7808,-940.713358490566,2.788405628509429,2.788405628509429,21.518801276562623,188.57574351978167,5529.0408,-1043.215245283019,-0.0082635000720448,-0.0010630230675203,0.3906064741280955,0.2249296309894172,18.528649386084584,0.8235938641344047,-5.921739130434783,-0.0242718446601941,0.0,0.0,0.1542772631742819,0.1899276095586518,0.7835597379760778,6.3,0.0245193430372849,0.0899742930591259,0.0612594380010897,,-0.0138443349476011,-0.06130405023361,-30.540289256198346,-483000000.0,-3224800000.0,-4330100000.0,12379600000.0,772600000.0,133800000.0,0.5,49.18580213279365,18.95127993393889,0.0,1.8297963253097849,4.749019607843137,0.0,-0.023041990112078,0.1859504132231405,2023-08-08,0.37,amc,1214280000.0,2025-04-22,2023-06-30,-0.027027027027027,155.24901639344264,1706257.262295082
2023-03-31,TTWO,USD,946581,2023-05-26,2023-05-25 20:05:25,2023,Q4,1446200000.0,1223000000.0,223200000.0,0.1543354999,237300000,222500000.0,429500000.0,652000000.0,36300000.0,925600000.0,2148600000.0,13000000.0,22600000.0,914700000.0,217600000.0,0.1504632831,-708000000.0,-0.4895588439,8400000.0,-730600000.0,-0.5051860047,-120300000.0,-610300000.0,-0.4220024893,-3.62,-3.62,168700000,168700000,https://www.sec.gov/Archives/edgar/data/946581/000162828023019851/0001628280-23-019851-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828023019851/ttwo-20230331.htm,8.572614107883817,-3.617664493183165,-0.2056905749851807,-0.5998814463544754,6.013040901007706,53.60106698280972,-19.26496739774748,53.60106698280972,20.803793716656788,20125910000.0,22785510000.0,-8.244269211863019,13.916408518877056,-579.9974063400576,-198.872628458498,2.2257019629527237,2.2257019629527237,15.755434932927672,104.71282169117649,-656.6429394812681,-225.15326086956523,-0.030324094662055,-0.0050283440599704,0.3856234448437932,0.2198321785892158,12.222426470588236,0.651183923564233,-31.327433628318584,0.0568572833032934,0.0,0.0,0.1538514728253353,0.1640851887705711,0.7749604402947907,-1.9164265129683,0.0459825750242013,0.0727014321635508,0.0548333563822431,,-0.0438814706933413,-0.1709715374271627,-30.66315945168939,-1343500000.0,-3250000000.0,-4311500000.0,11634500000.0,819300000.0,145850000.0,1.0,52.46784677084774,10.309893704006544,7.358953393295176e-08,1.7153362590440042,8.729478943611706,1223000000.0,-0.0674923970141,0.3941908713692946,2023-05-17,0.68,amc,1339080000.0,2025-04-22,2023-03-31,0.2499999999999999,149.20206349206347,1989391.634920635
2022-12-31,TTWO,USD,946581,2023-02-07,2023-02-06 18:58:42,2023,Q3,1407800000.0,691900000.0,715900000.0,0.5085239381,238200000,168900000.0,446700000.0,615600000.0,35000000.0,888800000.0,1580700000.0,28400000.0,0.0,391800000.0,218900000.0,0.1554908368,-174000000.0,-0.1235971019,-27200000.0,-200100000.0,-0.1421366671,-46700000.0,-153400000.0,-0.1089643415,-0.91,-0.91,168000000,168000000,https://www.sec.gov/Archives/edgar/data/946581/000162828023002448/0001628280-23-002448-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828023002448/ttwo-20221231.htm,8.379761904761905,-0.913095238095238,-0.7119047619047619,-0.9398809523809524,6.723214285714286,56.84761904761905,-20.811309523809523,56.84761904761905,20.82261904761905,17493840000.0,20131140000.0,-28.510169491525424,12.42636738173036,-146.2695652173913,-110.7906269791007,1.831738984754565,1.831738984754565,14.299715868731354,91.96500685244403,-168.3205685618729,-127.49297023432553,-0.0087688009036323,-0.0090260343069331,0.3662883230021779,0.2072221498216972,12.047967108268615,0.8660708352714466,0.0,0.7796610169491526,0.0,0.0,0.1199744281858218,0.1692001704787611,0.7728446692809838,-0.3202341137123746,0.0272055689728654,0.097753956100051,0.0615854524790453,,-0.0093029517768698,-0.0400031293191123,-33.3623511875,-403100000.0,-3496300000.0,-4724300000.0,13324100000.0,857250000.0,157200000.0,1.0,50.85594544679642,19.71961266078913,1.3007660066483596e-07,1.7697045883092395,4.563984168865435,691900000.0,-0.0160621544647344,0.2279761904761904,2023-02-06,0.88,amc,1461444575.0,2025-04-22,2022-12-31,0.0568181818181818,143.94174603174602,1226456.3015873015
2022-09-30,TTWO,USD,946581,2022-11-08,2022-11-07 18:46:09,2023,Q2,1393500000.0,713900000.0,679600000.0,0.4876928597,243200000,214600000.0,444400000.0,659000000.0,29900000.0,932100000.0,1646000000.0,28900000.0,50500000.0,376200000.0,121000000.0,0.0868317187,-254400000.0,-0.1825618945,-48600000.0,-301100000.0,-0.2160746322,-44100000.0,-257000000.0,-0.1844277,-1.54,-1.54,166883116,166900000,https://www.sec.gov/Archives/edgar/data/946581/000162828022028716/0001628280-22-028716-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828022028716/ttwo-20220930.htm,8.350155686210941,-1.5400000081494165,0.3271750990076192,-0.0137821012402476,7.816249068599606,56.52758784777245,-22.223338639002883,56.52758784777245,22.300039028513822,18190259644.0,20904859644.0,-17.694805101167315,13.05364882956584,333.15493853479853,-7908.808540869565,1.928262007102348,1.928262007102348,15.001693321851452,172.76743507438016,382.87288725274726,-9089.069410434782,-0.0141284404417377,-0.000126441295782,0.3891450681083373,0.2098565703799827,22.43471074380165,0.937727141620998,-5.037623762376238,-0.2124513618677042,0.0,0.0,0.1540007176175098,0.1745245783997129,0.7512876652813427,1.0421245421245422,0.040832436311446,0.1512493354598617,0.0774309293146752,,-0.0149884946371315,-0.0590709540993403,-36.34729590919192,-215900000.0,-3708700000.0,-4808300000.0,13558400000.0,947700000.0,181350000.0,1.0,59.35414424111948,20.523882896764253,1.260680767614512e-07,1.5163220892274212,4.385135135135135,713900000.0,-0.0272433349234112,0.3409572002478669,2022-11-07,1.37,amc,1551253547.0,2025-04-22,2022-09-30,-0.0875912408759124,130.74967741935484,1742215.4032258063
