date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-01,ULTA,USD,1403568,2025-03-27,2025-03-27 16:05:28,2024,Q4,3487619000.0,2153967000.0,1333652000.0,0.3823961276,0,0.0,0.0,815599000.0,1732000.0,817331000.0,2969566000.0,1994000.0,0.0,-1732000.0,516321000.0,0.1480439807,516321000.0,0.1480439807,1994000.0,518315000.0,0.1486157175,125045000.0,393270000.0,0.1127617438,8.5,8.46,46270000,46476000,https://www.sec.gov/Archives/edgar/data/1403568/000155837025003810/0001558370-25-003810-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837025003810/ulta-20250201x10k.htm,75.37538361789497,8.499459693105685,22.402507023989624,20.80488437432461,15.197773935595418,53.77897125567322,53.53963691376702,53.77897125567322,41.56546358331532,19070180500.0,20290213500.0,12.122829417448571,5.46796553752001,18.397494510710384,19.81025189011076,7.663776200563183,7.663776200563183,5.817783851963188,39.29767237822982,19.57449178246592,21.077631663692213,0.0206222484365053,0.0504789139253296,0.7728943602455118,0.3204485800923173,2.362935073336161,1.7020766764185902,0.0,2.6357566048770567,0.0,0.0,0.0,0.0,0.0018451460279624,0.0713144581521256,0.0211955491697917,1.0565266482770448,0.0043284544556042,101.4128910286872,0.086857756561587,0.0656476400852733,-35.84464015560839,1249330000.0,2477279000.0,-484532000.0,4109569000.0,218477500.0,578490000.0,2166700000.0,5.763261411295213,23.5558344208616,82.23861368349654,15.616157862215337,3.820709485047742,1.094376424514814,0.1580442967697911,1.5976226496650097,2025-03-13,7.13,amc,3466092725.0,2025-05-11,2025-02-01,0.1865357643758767,387.42390625,1026515.890625
2024-11-02,ULTA,USD,1403568,2024-12-05,2024-12-05 16:09:36,2024,Q3,2530100000.0,1524456000.0,1005644000.0,0.3974720367,0,0.0,0.0,682259000.0,4883000.0,687142000.0,2211598000.0,1674000.0,0.0,67022000.0,390407000.0,0.1543049682,318502000.0,0.1258851429,1674000.0,320176000.0,0.1265467768,77997000.0,242179000.0,0.0957191415,5.16,5.14,46928000,47092000,https://www.sec.gov/Archives/edgar/data/1403568/000155837024016048/0001558370-24-016048-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837024016048/ulta-20241102x10q.htm,53.91450733037845,5.160650357995227,-1.2111745652915105,-3.645435560859189,3.788399249914763,49.62941101261507,49.39179168087283,49.62941101261507,45.6231247869076,17722359200.0,19685579200.0,18.2946902910657,7.004608197304455,-311.8047644181709,-103.59530259012234,7.609399190814633,7.609399190814633,7.780553812102289,50.423222944260736,-346.34538864843944,-115.07122222676868,0.0136651671070971,-0.0096529473344609,0.9192759667309144,0.3593198003653948,5.028649588762496,1.6267620637885671,0.0,-0.2346941724922474,0.0,0.0,0.0,0.0,0.0018714485525349,-2.0098349695626165,0.0451503893126753,1.7044403330249769,0.0033275364610094,75.91245516027159,0.0520693939690062,0.0407205916599619,-44.93876257245142,1138455000.0,2317858000.0,-674615000.0,4033080000.0,207242000.0,580061500.0,2181736000.0,7.598865657483893,35.02213904501016,139.63455816369904,11.843873027464529,2.5698030575554727,0.6445395837790348,0.1039837115270915,2.434260995567678,2024-12-05,4.53,amc,2497466618.0,2025-04-25,2024-11-02,0.1346578366445914,375.06921875,1226601.9375
2024-08-03,ULTA,USD,1403568,2024-08-29,2024-08-29 16:08:25,2024,Q2,2552087000.0,1573910000.0,978177000.0,0.383285131,0,0.0,0.0,644821000.0,0.0,644821000.0,2218731000.0,4526000.0,0.0,65314000.0,399041000.0,0.1563586978,329201000.0,0.1289928596,4526000.0,333727000.0,0.1307663101,81171000.0,252556000.0,0.0989605762,5.32,5.3,47505000,47667000,https://www.sec.gov/Archives/edgar/data/1403568/000155837024012542/0001558370-24-012542-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837024012542/ulta-20240803x10q.htm,53.72249236922429,5.316408799073781,4.200378907483423,2.194758446479318,8.714072202926008,49.42974423744869,49.19341121987159,49.42974423744869,40.60623092306073,16199680050.0,17714717050.0,16.035730738925228,6.347620614030792,81.18553290334219,155.3747295275364,6.898882550592805,6.898882550592805,6.941266912138967,44.3932253828554,88.77821904489849,169.90578590474,0.0155901844493527,0.0064360530379734,0.8214938505042246,0.3362143671846241,3.7966950764457774,1.7588494212667654,0.0,0.7900782400734887,0.0,0.0,0.0,0.0,0.0019568069762512,0.4774856043179529,0.0373329749338482,1.4587531227417263,0.0036009744181918,76.89438446335741,0.0529077704580255,0.0441054867109509,-38.42744447952847,1207507000.0,2336933000.0,-590507000.0,4044319000.0,202163000.0,515340500.0,1952163000.0,7.083485006584806,32.41694887255307,114.26685134474018,12.705610291591782,2.7763254448725005,0.787629998909065,0.1075548514581629,2.0056204610041046,2024-08-29,5.46,amc,2599643682.0,2025-04-25,2024-08-03,-0.0293040293040293,406.47603174603177,956052.1428571428
2024-05-04,ULTA,USD,1403568,2024-05-30,2024-05-30 16:09:32,2024,Q1,2725848000.0,1656068000.0,1069780000.0,0.3924576866,0,0.0,0.0,665913000.0,0.0,665913000.0,2321981000.0,6900000.0,0.0,64739000.0,465687000.0,0.1708411474,403867000.0,0.1481619665,6900000.0,407848000.0,0.1496224294,94735000.0,313113000.0,0.1148681071,6.51,6.47,48125000,48381000,https://www.sec.gov/Archives/edgar/data/1403568/000155837024008777/0001558370-24-008777-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837024008777/ulta-20240504x10q.htm,56.6409974025974,6.506244155844156,3.2288831168831167,1.3374753246753246,10.900696103896104,47.80764675324675,47.57275844155844,47.80764675324675,39.33024415584416,19124393750.0,20492565750.0,15.269562226736031,7.015942836871315,123.07351663556214,297.11950020197,8.312268580193441,8.312268580193441,7.517868109300299,44.00502000270568,131.87827884677264,318.3756292141814,0.0163724405642924,0.0033656491725391,0.822676848305091,0.3360775036803488,2.9379647703285685,1.7553162538372913,0.0,0.4962745079252538,0.0,0.0,0.0,0.0,0.002007124011819,0.5857777205740395,0.0333929111234375,1.4060149214538378,0.0036986655161989,83.65754599312547,0.071375360513093,0.0557077625570776,-35.345096103896104,1187904000.0,2289439000.0,-570568000.0,3956633000.0,205701000.0,503889000.0,1824088000.0,6.71778837264587,25.20423678254757,103.58487694949724,13.397266333436546,3.570828221321886,0.8688526998384084,0.1360921232836522,1.8914077922077923,2024-05-30,6.24,amc,2723449605.0,2025-04-25,2024-05-04,0.0368589743589742,516.5004918032787,668367.0983606557
2024-02-03,ULTA,USD,1403568,2024-03-26,2024-03-26 16:02:48,2023,Q4,3554298000.0,2213734000.0,1340564000.0,0.3771670243,889000,397581000.0,422779000.0,820360000.0,0.0,820360000.0,3034094000.0,3328000.0,0.0,62567000.0,582771000.0,0.1639623352,517090000.0,0.145483018,3328000.0,520418000.0,0.1464193492,126049000.0,394369000.0,0.1109555248,8.13,8.08,48500000,48795000,https://www.sec.gov/Archives/edgar/data/1403568/000155837024003941/0001558370-24-003941-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837024003941/ulta-20240203x10k.htm,73.28449484536083,8.131319587628866,23.05680412371134,20.49521649484536,15.806061855670103,46.99645360824742,46.76181443298969,46.99645360824742,39.40395876288659,24508505000.0,25653003000.0,15.536531142153668,6.895455867797241,21.916740814930403,24.65599717510145,10.75251346010754,10.75251346010754,7.217459819069758,44.01901089793418,22.940208628622276,25.80738276369241,0.0160911079643576,0.0405580838162099,0.8384453663535919,0.3348674113296785,1.963889761158328,1.7106099357673512,0.0,2.8355550258767805,0.0,0.0,0.1118592194576819,0.0002501197142164,0.0019940385606405,0.1110989890499036,0.0349540190496126,1.985663368868573,0.0041552509103063,92.7265961572582,0.0848803836460106,0.0692406161845807,-33.69209793814433,1178327000.0,2267948000.0,-591165000.0,3946572000.0,205403500.0,570687000.0,2031721000.0,5.265318214736075,22.11651896750016,70.82704606786542,17.09298400011542,4.069356490153511,1.2707010244894772,0.1730198549747996,2.56158762886598,2024-03-14,7.53,amc,3530422408.0,2025-04-25,2024-02-03,0.0730411686586985,421.81468253968256,777329.8888888889
2023-10-28,ULTA,USD,1403568,2023-11-30,2023-11-30 16:10:30,2023,Q3,2488933000.0,1496866000.0,992067000.0,0.3985912839,0,0.0,0.0,661380000.0,0.0,661380000.0,2158246000.0,2497000.0,0.0,61411000.0,388638000.0,0.156146429,327227000.0,0.1314728038,2497000.0,329724000.0,0.132476045,80241000.0,249483000.0,0.1002369288,5.09,5.07,49007000,49226000,https://www.sec.gov/Archives/edgar/data/1403568/000155837023019393/0001558370-23-019393-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837023019393/ulta-20231028x10q.htm,50.7872956924521,5.090762544126349,-1.4446303589283165,-3.6133409512926726,2.4855836921256147,41.39290305466566,41.15903850470341,41.39290305466566,42.849654131042506,18616289090.0,20594411090.0,18.65486735569157,7.479626446352715,-262.9530783790274,-105.1298521563822,9.177177051300886,9.177177051300886,8.274393521239825,52.99124401113632,-290.8938385807308,-116.30069680763953,0.0134013282020858,-0.0095120460981195,1.03519325702894,0.3753226090114616,5.089883130316644,1.519941598496194,0.0,-0.2837748463823186,0.0,0.0,0.0,0.0,0.0020484331747157,-1.5012218031837508,0.0427018324719869,1.7306671443226784,0.0047964328489356,68.85660760177824,0.0583774531663427,0.0446818124751166,-43.50094884404269,955101000.0,2017081000.0,-774426000.0,3662752000.0,188656000.0,559344000.0,2068422500.0,7.33572177314536,35.917423470103536,139.56996818686508,12.268731391841,2.505747665194108,0.6448378628237725,0.1229863616331335,2.168710592364356,2023-11-30,4.95,amc,3523920000.0,2025-04-25,2023-10-28,0.0242424242424242,437.1580952380952,757717.2380952381
2023-07-29,ULTA,USD,1403568,2023-08-24,2023-08-24 16:11:23,2023,Q2,2529809000.0,1536197000.0,993612000.0,0.392761667,0,0.0,0.0,600692000.0,0.0,600692000.0,2136889000.0,0.0,0.0,61913000.0,453555000.0,0.1792842859,391642000.0,0.1548108968,4449000.0,396091000.0,0.1565695276,95989000.0,300102000.0,0.1186263469,6.05,6.02,49617000,49849000,https://www.sec.gov/Archives/edgar/data/1403568/000155837023015253/0001558370-23-015253-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837023015253/ulta-20230729x10q.htm,50.986738416268615,6.048370518169176,2.4972690811616984,0.5829655158514219,8.64046596932503,41.35431404558921,41.12076506036237,41.35431404558921,37.89828083116674,22098915630.0,23590687630.0,18.409503793710137,8.735408732437904,178.35082465074612,764.0074547968885,10.770097637431483,10.770097637431483,9.325086451190584,52.01284878349925,190.39027359229092,815.5812490924806,0.0135799423385553,0.0013088877519733,0.9164287138069191,0.3582558547161615,3.289065273230369,1.689439327670681,0.0,0.4128829531292693,0.0,0.0,0.0,0.0,0.0022077595470168,0.7665587900602872,0.0375451269246018,1.5341204593542552,0.0046714989155307,75.01892969197944,0.0684926944436447,0.0573022997908031,-34.85834492210331,1028074000.0,2040289000.0,-677635000.0,3661952000.0,182363000.0,571293500.0,1783387000.0,6.20598630173266,30.541883625602704,106.36559633953198,14.502126757010846,2.946773064270163,0.8461382542594789,0.1462573048969309,1.914303565310277,2023-08-24,5.85,amc,2506890000.0,2025-04-25,2023-07-29,0.029059829059829,489.7447580645161,912542.4354838708
2023-04-29,ULTA,USD,1403568,2023-05-25,2023-05-25 16:13:31,2023,Q1,2634263000.0,1579406000.0,1054857000.0,0.400437238,0,0.0,0.0,612129000.0,658000.0,612787000.0,2192193000.0,7348000.0,0.0,57949000.0,500677000.0,0.1900634067,442070000.0,0.1678154383,7348000.0,449418000.0,0.1706048333,102367000.0,347051000.0,0.131745008,6.92,6.88,50153000,50469000,https://www.sec.gov/Archives/edgar/data/1403568/000155837023010464/0001558370-23-010464-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837023010464/ulta-20230429x10q.htm,52.52453492313521,6.919845273463203,6.079416984028872,3.8907941698402886,12.690148146671186,40.23823101309991,40.00125615616214,40.23823101309991,37.851953023747335,27655868790.0,28917808790.0,19.92204948984443,10.4985222773884,90.7044214023568,141.72684956568528,13.704131273079003,13.704131273079003,10.97757087656016,57.75741404138795,94.84327302960632,148.19385958439028,0.0125489096956335,0.0070558260701091,0.940696250076806,0.353141412339447,2.5204672872930054,1.643907215863884,0.0,0.8785481096438276,0.0,0.0,0.0,0.0,0.0022108670486682,0.3600053787950843,0.0416685805479559,1.8941828159243472,0.003690216200888,79.15145283247615,0.0847098685111127,0.0647020396231501,-33.95356209997408,1052080000.0,2006183000.0,-671671000.0,3643503000.0,194852000.0,590399500.0,1677343000.0,6.501013756029676,35.40222083492148,99.79140892208842,13.8439947025993,2.5422133944552465,0.9018812438079412,0.1719719058029759,2.188622814188583,2023-05-25,6.87,amc,2620050000.0,2025-04-25,2023-04-29,0.0014556040756913,513.251935483871,585896.0
2023-01-28,ULTA,USD,1403568,2023-03-24,2023-03-24 16:46:46,2022,Q4,3226773000.0,2014270000.0,1212503000.0,0.37576334,0,0.0,0.0,762706000.0,0.0,762706000.0,2776976000.0,4378000.0,0.0,59190000.0,508987000.0,0.1577387068,447618000.0,0.1387200153,4378000.0,451996000.0,0.1400767888,111245000.0,340751000.0,0.1056011687,6.73,6.68,50624000,50976000,https://www.sec.gov/Archives/edgar/data/1403568/000155837023004581/0001558370-23-004581-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837023004581/ulta-20230128x10k.htm,63.73998498735777,6.73101690897598,17.945816213653604,15.809181415929205,14.575636061946902,38.71308075221239,38.47244390012642,38.71308075221239,37.59434260429836,25599038080.0,26764337080.0,18.781337457556983,7.933324742707343,28.17759827581842,31.985843333449957,13.061993263636136,13.061993263636136,8.294459225982118,52.58353765420335,29.46027643702896,33.441877389657186,0.0133110861015602,0.0312638309884493,0.9711018052250956,0.3543818154699891,2.289447471153488,1.6109788764846664,0.0,2.666137443470452,0.0,0.0,0.0,0.0,0.0022683552525123,0.1190603298443899,0.0335211060709879,1.8274201723264063,0.003250925925065,76.57032078872413,0.0849588476745309,0.0635939598699495,-34.004246997471554,1027529000.0,1947629000.0,-701296000.0,3610247000.0,199863000.0,603322000.0,1859060000.0,5.562207195857905,25.000337591286176,71.6441142448629,16.180627012064868,3.599951387511237,1.2562092636444768,0.1738693169902607,2.1366347977244,2023-03-09,5.68,amc,3021340000.0,2025-04-25,2023-01-28,0.176056338028169,431.23285714285714,722736.0793650794
2022-10-29,ULTA,USD,1403568,2022-12-01,2022-12-01 16:09:56,2022,Q3,2338793000.0,1375976000.0,962817000.0,0.4116726021,0,0.0,0.0,597164000.0,0.0,597164000.0,1973140000.0,849000.0,0.0,58461000.0,420317000.0,0.1797153489,361856000.0,0.1547191222,849000.0,362705000.0,0.15508213,88120000.0,274585000.0,0.1174045758,5.37,5.34,51131000,51418000,https://www.sec.gov/Archives/edgar/data/1403568/000155837022018318/0001558370-22-018318-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837022018318/ulta-20221029x10q.htm,45.74119418747922,5.370225499207917,0.6406876454597016,-0.9916097866265084,4.901683909956778,37.59470771156441,37.36560990397215,37.59470771156441,5.392990553675852,21277654340.0,21302775340.0,19.37255707704354,9.09770738154253,649.5208748740804,-419.6610457181176,11.06911119492471,11.06911119492471,9.108448391969704,50.6826403405049,650.2877175737965,-420.1565094079129,0.0129048529322053,-0.0023828754424628,0.143450790868017,0.0517202411531808,0.0597667950618223,1.6173058675168794,0.0,0.119303676457199,0.0,0.0,0.0,0.0,0.002197110070638,2.54772734210446,0.0356855010255289,1.4276355176955575,0.0041384594532307,67.39860016890569,0.0654538115216287,0.0516153226556838,-38.1589153351196,1048044000.0,1910541000.0,-663479000.0,3583737000.0,190409000.0,616984000.0,1890399500.0,7.707975866183968,42.32670482624697,138.31651860206864,11.676217149932103,2.126317188390971,0.6506815014548376,0.1428452520607307,1.63229743208621,2022-12-01,4.15,amc,2214966578.0,2025-04-25,2022-10-29,0.2867469879518071,402.74515625,857471.921875
