date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,URI,USD,1067701,2025-04-23,2025-04-23 16:27:17,2025,Q1,3719000000.0,2363000000.0,1356000000.0,0.3646141436,0,0.0,0.0,437000000.0,115000000.0,552000000.0,2800000000.0,0.0,184000000.0,751000000.0,1623000000.0,0.4364076365,804000000.0,0.2161871471,-116000000.0,688000000.0,0.1849959667,170000000.0,518000000.0,0.139284754,7.92,7.91,65334999,65435000,https://www.sec.gov/Archives/edgar/data/1067701/000106770125000017/0001067701-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770125000017/uri-20250331.htm,56.92201816671031,7.928369295605254,21.8106684290299,10.40789791701076,8.29570686914681,134.52208057736405,19.69847738116595,134.52208057736405,216.98936583744344,40945443873.3,54396443873.3,19.761314610666027,11.009799374374833,28.733644823368422,60.2138880489706,4.65871474266697,4.65871474266697,14.626631856224792,33.51598513450401,38.172943068982455,79.99477040191177,0.0126509802068058,0.0166074643641467,1.5921037660712254,0.4988591800356506,8.287738755391251,0.8542435424354243,4.369565217391305,2.750965250965251,0.0028818835220136,0.2277992277992278,0.0,0.0,0.2674509803921568,0.5228070175438596,0.2003226673837053,0.9920106524633822,0.0096800215111589,154.91018848896434,0.0235759935076462,0.0252092661086237,-258.391371522023,-553000000.0,1287000000.0,-16020000000.0,24203000000.0,2327500000.0,888500000.0,213500000.0,55.611723581607954,39.19170545916208,8.645789250952179,1.6183637946040037,2.2964042759961125,10.409691629955947,0.0589373079986346,11.40277051201914,2025-04-23,8.78,amc,3598883413.0,2025-05-11,2025-03-31,0.0091116173120729,687.435,697037.6166666667
2024-12-31,URI,USD,1067701,2025-01-29,2025-01-29 16:20:35,2024,Q4,4095000000.0,2457000000.0,1638000000.0,0.4,0,0.0,0.0,436000000.0,115000000.0,551000000.0,3008000000.0,0.0,180000000.0,115000000.0,1204000000.0,0.294017094,1087000000.0,0.2654456654,-178000000.0,909000000.0,0.221978022,220000000.0,689000000.0,0.1682539683,10.44,10.41,66019000,66185000,https://www.sec.gov/Archives/edgar/data/1067701/000106770125000008/0001067701-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770125000008/uri-20241231.htm,62.02759811569397,10.436389524227874,15.874218028143414,5.528711431557582,6.922249655402233,130.598767021615,16.04083672882049,130.598767021615,222.2844938578288,46506424360.0,60544424360.0,16.87460970972424,11.356880185592184,44.37635912213741,127.41486126027397,5.393925349106936,5.393925349106936,14.784963213675214,50.28606674418605,57.77139729007634,165.87513523287672,0.0148151574644084,0.0078483780471829,1.6811644630016238,0.5146823846891311,11.659468438538203,0.9777309659945832,6.038888888888889,1.521044992743106,0.0023222598057418,0.1567489114658926,0.0,0.0,0.2685438341085822,0.6517175572519084,0.1667887667887667,0.8963254593175853,0.008058608058608,175.12007620625008,0.0316672954096854,0.0334466019417475,-260.77720050288553,-74000000.0,1059000000.0,-16292000000.0,9860000000.0,2376500000.0,982000000.0,205500000.0,51.8021978021978,27.3992673992674,7.326007326007326,1.7373780229104794,3.28475935828877,12.285,0.0799118533982834,10.345506596585832,2025-01-29,11.68,amc,3928109013.0,2025-04-29,2024-12-31,-0.0077054794520547,812.82609375,519553.5625
2024-09-30,URI,USD,1067701,2024-10-23,2024-10-23 16:20:57,2024,Q3,3992000000.0,2344000000.0,1648000000.0,0.4128256513,0,0.0,0.0,416000000.0,110000000.0,525000000.0,2869000000.0,0.0,178000000.0,738000000.0,1865000000.0,0.4671843687,1122000000.0,0.2810621242,-173000000.0,949000000.0,0.2377254509,241000000.0,708000000.0,0.1773547094,10.72,10.7,66019000,66185000,https://www.sec.gov/Archives/edgar/data/1067701/000106770124000037/0001067701-24-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770124000037/uri-20240930.htm,60.46744119117224,10.724185461761008,18.23717414683652,-3.165755312864478,7.255487056756388,129.9777336827277,15.662157863645314,129.9777336827277,221.04242718005423,53457564870.0,67393564870.0,18.87625878177966,13.39117356462926,44.39997082225914,-255.7778223444976,6.229759336907121,6.229759336907121,16.882155528557114,36.13595971581769,55.97472165282392,-322.45724818181816,0.0132441498545947,-0.0039096431067942,1.6798741405430602,0.5073560467408137,7.472386058981233,0.8248882265275708,6.303370786516854,1.7005649717514124,0.0020015876192678,0.1511299435028248,0.0,0.0,0.2656271997747431,1.1735880398671097,0.3539579158316633,1.9146341463414631,0.0060120240480961,177.0956513950623,0.032324157617745,0.0339324227174694,-264.31027431496994,-705000000.0,1034000000.0,-16510000000.0,24338000000.0,2328000000.0,1282500000.0,215000000.0,54.01803607214429,46.689419795221845,8.101535836177474,1.666110183639399,1.9276315789473684,11.109004739336491,0.0825078662160587,21.402929459701,2024-10-23,12.48,amc,4007478484.0,2025-04-24,2024-09-30,-0.0544871794871794,719.2640625,502429.4375
2024-06-30,URI,USD,1067701,2024-07-24,2024-07-24 16:22:32,2024,Q2,3773000000.0,2364000000.0,1409000000.0,0.3734428836,0,0.0,0.0,404000000.0,4000000.0,404000000.0,2768000000.0,0.0,173000000.0,717000000.0,1725000000.0,0.4571958654,1005000000.0,0.2663662868,-169000000.0,835000000.0,0.2213093029,199000000.0,636000000.0,0.1685661277,9.55,9.53,66563000,66712000,https://www.sec.gov/Archives/edgar/data/1067701/000106770124000028/0001067701-24-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770124000028/uri-20240630.htm,56.683142286255126,9.55485780388504,19.00455207848204,-2.9596021813920648,7.015909739645148,124.40845514775476,11.83840872556826,124.40845514775476,211.07822664242897,42656232920.0,56066232920.0,16.767387154088052,11.305654100185528,33.72034222924901,-216.5291011167513,5.151096838546069,5.151096838546069,14.859855001325206,32.5021640115942,44.321132743083005,-284.600167106599,0.0149098960799654,-0.0046183168675364,1.6757637966429175,0.5025531452576685,7.773913043478261,0.8110355253212396,5.809248554913295,1.988993710691824,0.0025553123784846,0.1713836477987421,0.0,0.0,0.271357693839858,1.155731225296443,0.3874900609594487,2.0390516039051603,0.0071561091969255,163.5416299206433,0.030603487384165,0.0316103379721669,-256.30605591695087,-750000000.0,788000000.0,-16113000000.0,23597000000.0,2240500000.0,1154000000.0,213500000.0,53.90935595017228,51.357868020304565,8.33756345177665,1.6694690265486725,1.7524091919940696,10.794520547945206,0.0768023185605603,21.964154259874103,2024-07-24,10.54,amc,3764860999.0,2025-04-24,2024-06-30,0.0151802656546489,664.6028571428571,556090.126984127
2024-03-31,URI,USD,1067701,2024-04-24,2024-04-24 16:26:26,2024,Q1,3485000000.0,2243000000.0,1242000000.0,0.356384505,0,0.0,0.0,389000000.0,3000000.0,389000000.0,2632000000.0,0.0,160000000.0,686000000.0,1541000000.0,0.4421807747,853000000.0,0.2447632712,-157000000.0,695000000.0,0.1994261119,153000000.0,542000000.0,0.1555236729,8.06,8.04,67213000,67417000,https://www.sec.gov/Archives/edgar/data/1067701/000106770124000016/0001067701-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770124000016/uri-20240331.htm,51.85008852454138,8.063916206686207,15.30953833335813,6.843914123755821,6.382693824111407,120.80996235847232,8.792941841608021,120.80996235847232,201.3152217576957,47731311950.0,60673311950.0,22.016287799815498,13.696215767575325,46.38611462585034,103.7637216304348,5.878240387931034,5.878240387931034,17.409845609756097,39.37268783257625,58.963374101069,131.89850423913043,0.0113552294679802,0.0096372796222711,1.6466748768472907,0.5015755120414135,8.398442569759895,0.8944708680142688,5.33125,1.8985239852398523,0.0023045668661952,0.2029520295202952,0.0,0.0,0.2824292895190937,0.5529640427599611,0.1632711621233859,0.8294460641399417,0.0080344332855093,148.05246300319288,0.0272842486439051,0.0283339432275602,-243.09657357951588,-355000000.0,591000000.0,-15529000000.0,23250000000.0,2225500000.0,932000000.0,206500000.0,57.35724533715925,38.479714667855546,8.345965225144894,1.569113012156686,2.3388946819603755,10.783653846153848,0.0667487684729064,8.465624209602309,2024-04-24,8.33,amc,3442207742.0,2025-04-24,2024-03-31,0.0984393757503001,641.6775409836066,594716.4918032787
2023-12-31,URI,USD,1067701,2024-01-24,2024-01-24 16:27:28,2023,Q4,3728000000.0,2166000000.0,1562000000.0,0.4189914163,0,0.0,0.0,393000000.0,-133000000.0,495000000.0,2661000000.0,161000000.0,161000000.0,697000000.0,1764000000.0,0.4731759657,1063000000.0,0.285139485,-161000000.0,902000000.0,0.2419527897,223000000.0,679000000.0,0.1821351931,10.04,10.01,67600000,67800000,https://www.sec.gov/Archives/edgar/data/1067701/000106770124000007/0001067701-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770124000007/uri-20231231.htm,55.14792899408284,10.044378698224852,20.91715976331361,10.192307692307692,5.3698224852071,120.26627218934912,22.485207100591715,120.26627218934912,189.68934911242604,38763192000.0,51062192000.0,14.272162002945509,10.397851931330472,27.413855728429983,56.26007547169811,4.767920295202952,4.767920295202952,13.69693991416309,28.94682086167801,36.11187553041018,74.11058345428157,0.0175166173105661,0.0177745940014434,1.5574415744157442,0.4948219938254719,6.972222222222222,0.8064338740720374,6.60248447204969,2.082474226804124,0.0026055645778603,0.1487481590574374,0.0,0.0,0.2583141193481574,0.5127298444130127,0.1944742489270386,1.0401721664275467,0.005901287553648,164.86357877380385,0.0338120607875716,0.0357763844248906,-226.64201183431956,-704000000.0,1520000000.0,-14526000000.0,21909000000.0,2253500000.0,1013000000.0,203000000.0,53.83583690987124,37.60387811634349,8.518005540166204,1.671748878923767,2.393370165745856,10.565853658536586,0.0835178351783517,10.724852071005918,2024-01-24,10.93,amc,3623780000.0,2025-04-24,2023-12-31,0.0301921317474839,471.6963492063492,751291.0952380953
2023-09-30,URI,USD,1067701,2023-10-25,2023-10-25 16:23:58,2023,Q3,3765000000.0,2180000000.0,1585000000.0,0.4209827357,0,0.0,0.0,374000000.0,7000000.0,481000000.0,2661000000.0,163000000.0,163000000.0,695000000.0,1801000000.0,0.4783532537,1099000000.0,0.2918990704,-156000000.0,943000000.0,0.2504648074,240000000.0,703000000.0,0.1867197875,10.32,10.3,68153000,68263000,https://www.sec.gov/Archives/edgar/data/1067701/000106770123000041/0001067701-23-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770123000041/uri-20230930.htm,55.24334952239813,10.31502648452746,15.582586239784016,-0.8216806303464265,4.167094625328305,113.80276730298006,18.135665341217557,113.80276730298006,191.93579152788573,30298779210.0,42932779210.0,10.774814797297298,8.047484517928288,28.52992392655367,-541.04962875,3.9064955144404334,3.9064955144404334,11.403128608233732,23.838300505274848,40.42634577212806,-766.6567716071429,0.0232022549531625,-0.0018482592850314,1.6655492521918516,0.5000774233508827,7.014991671293726,0.8107813776204738,6.742331288343558,1.5106685633001422,0.0033004630089847,0.1422475106685633,0.0,0.0,0.2524001238773614,1.0527306967984935,0.296945551128818,1.6086330935251798,0.0061088977423638,162.51851455053355,0.0347056773291132,0.0364022369511184,-234.5274602732088,-695000000.0,1236000000.0,-15098000000.0,22111000000.0,2207500000.0,1230000000.0,205500000.0,54.43027888446215,46.27981651376147,8.298165137614678,1.6534914361001318,1.944692239072257,10.845771144278608,0.0906395048994326,16.404266870130442,2023-10-25,11.2,amc,3697240000.0,2025-04-24,2023-09-30,0.0473214285714286,457.7290476190476,675662.8412698413
2023-06-30,URI,USD,1067701,2023-07-26,2023-07-26 16:23:39,2023,Q2,3554000000.0,2129000000.0,1425000000.0,0.4009566685,0,0.0,0.0,378000000.0,8000000.0,378000000.0,2507000000.0,161000000.0,161000000.0,696000000.0,1629000000.0,0.4583567811,933000000.0,0.262521103,-153000000.0,772000000.0,0.2172200338,181000000.0,591000000.0,0.1662915025,8.6,8.59,68718000,68841000,https://www.sec.gov/Archives/edgar/data/1067701/000106770123000032/0001067701-23-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770123000032/uri-20230630.htm,51.71861812043424,8.600366716144242,18.757821822521027,-0.9895515003347012,3.3033557437643704,107.89021799237464,11.860065776070316,107.89021799237464,189.09164993160456,30604935660.0,43210935660.0,12.946250279187815,8.611405644344401,23.74316187742436,-450.0725832352941,4.127992400863232,4.127992400863232,12.158394952166573,26.526050128913443,33.52283604344453,-635.4549361764706,0.0193106107644076,-0.0022218638442973,1.7309144861073644,0.5031365168979848,7.738489871086556,0.7448818897637796,5.795031055900621,2.1810490693739424,0.0033327957664459,0.1725888324873096,0.0,0.0,0.2587234376225202,1.0527540729247478,0.3818232976927406,1.9497126436781609,0.0070343275182892,144.49099416894887,0.0308665769521856,0.0312582641349764,-235.1130708111412,-972000000.0,815000000.0,-15254000000.0,21647000000.0,2086000000.0,1228000000.0,216000000.0,54.14181204276871,56.60403945514326,8.87740723344293,1.6623012160898036,1.5899925317401045,10.138095238095238,0.0797140544915025,19.74737332285573,2023-07-26,9.01,amc,3706170000.0,2025-04-24,2023-06-30,0.0965593784683686,370.5801612903226,980291.8870967742
2023-03-31,URI,USD,1067701,2023-04-26,2023-04-26 16:22:57,2023,Q1,3285000000.0,2044000000.0,1241000000.0,0.3777777778,0,0.0,0.0,382000000.0,118000000.0,500000000.0,2544000000.0,150000000.0,150000000.0,693000000.0,1437000000.0,0.4374429224,740000000.0,0.2252663623,-146000000.0,594000000.0,0.1808219178,143000000.0,451000000.0,0.1372907154,6.5,6.47,69414000,69745000,https://www.sec.gov/Archives/edgar/data/1067701/000106770123000020/0001067701-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770123000020/uri-20230331.htm,47.32474716915896,6.497248393695796,13.527530469357766,0.9940357852882704,1.4262252571527358,102.7170311464546,7.981098913763794,102.7170311464546,182.3119255481603,27471284640.0,39877284640.0,15.227984833702884,8.362643726027397,29.25589418530351,398.13456,3.8529150967741934,3.8529150967741934,12.139203847793,27.75037205288796,42.467821767838124,577.9316614492753,0.0164171426968258,0.002511713627674,1.7538569424964936,0.5077347841974907,8.633263743910925,1.15,4.933333333333334,2.082039911308204,0.003749369618122,0.2283813747228381,0.0,0.0,0.267002314344878,0.926517571884984,0.2648401826484018,1.255411255411255,0.0073059360730593,122.53981588236462,0.0249656454944168,0.024981997451947,-227.09395799118337,342000000.0,554000000.0,-14877000000.0,22304000000.0,2019000000.0,1128000000.0,227000000.0,55.72602739726028,49.18297455968688,9.77495107632094,1.6150442477876106,1.829901521933751,9.207207207207206,0.0632538569424965,12.533494684069495,2023-04-26,7.92,amc,3149600000.0,2025-04-24,2023-03-31,0.0037878787878788,420.0298387096774,867502.6129032258
2022-12-31,URI,USD,1067701,2023-01-25,2023-01-25 16:21:53,2022,Q4,3296000000.0,1808000000.0,1488000000.0,0.4514563107,0,0.0,0.0,378000000.0,86000000.0,464000000.0,2272000000.0,132000000.0,132000000.0,577000000.0,1604000000.0,0.4866504854,1024000000.0,0.3106796117,-129000000.0,895000000.0,0.2715412621,256000000.0,639000000.0,0.1938713592,9.21,9.15,69400000,69800000,https://www.sec.gov/Archives/edgar/data/1067701/000106770123000010/0001067701-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1047166/000106770123000010/uri-20221231.htm,47.49279538904899,9.207492795389047,18.02593659942363,2.867435158501441,1.5273775216138328,101.7579250720461,8.414985590778098,101.7579250720461,174.985590778098,24666148000.0,36572148000.0,9.650292644757434,7.4836614077669905,19.7171446842526,123.95049246231156,3.4927992070235065,3.4927992070235065,11.095918689320388,22.80059102244389,29.2343309352518,183.7796381909548,0.0259059501305189,0.0080677372080958,1.7009345794392523,0.4967125666790721,7.422693266832917,1.1137014314928426,7.757575757575758,1.9577464788732395,0.0,0.0,0.0,0.0,0.2678741264524666,0.8409272581934453,0.3191747572815534,1.8232235701906407,0.0097087378640776,145.1931322219773,0.0330665615548463,0.0360914995763908,-221.84438040345825,278000000.0,584000000.0,-14398000000.0,21691000000.0,1969000000.0,1137500000.0,212500000.0,54.720873786407765,56.698008849557525,11.548672566371682,1.6447105788423153,1.5873573309920983,7.793103448275862,0.0904842820730671,15.15850144092219,2023-01-25,10.38,amc,3302063069.0,2025-04-24,2022-12-31,-0.0616570327552987,328.59936507936504,681957.746031746
