date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,USB,USD,36104,2025-03-31,2025-03-30 20:00:00,2025,Q1,10350000000.0,10350000000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8191000000.0,0.0,0.0,0.0,2159000000.0,0.2085990338,2159000000.0,0.2085990338,0.0,2159000000.0,0.2085990338,443000000.0,1709000000.0,0.1651207729,1.03,1.03,1559000000,1560000000,,,6.638871071199487,1.096215522771007,,,0.0,38.84413085311097,27.339320076972417,38.54778704297627,49.40153944836434,65820980000.0,142837980000.0,9.628581041544765,6.359514975845411,0.0,0.0,1.0952639110756124,1.0952639110756124,13.800771014492751,66.15932376100046,0.0,0.0,0.0259643657690906,,1.2815661608093716,0.1138481187425072,35.672533580361275,0.0,0.0,0.0,0.0118427285646612,0.4561146869514336,0.0,0.0,0.0265133653318827,0.0,,0.0,,30.83464539786517,0.1000116563702063,0.0025950834632899,-395.08082103912767,0.0,42622000000.0,-615931000000.0,21518000000.0,4135000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284378328008519,,2025-04-16,0.979,bmo,6908523606.0,2025-05-11,2025-03-31,0.0520939734422881,46.137168333333335,10653026.0
2024-12-31,USB,USD,36104,2025-02-21,2025-02-21 16:55:07,2024,Q4,6979000000.0,0.0,6979000000.0,1.0,0,2607000000.0,160000000.0,2767000000.0,2104000000.0,3753000000.0,4871000000.0,7831000000.0,3685000000.0,238000000.0,2094000000.0,0.3000429861,2108000000.0,0.3020490042,0.0,2108000000.0,0.3020490042,438000000.0,1663000000.0,0.2382862874,0.96,1.01,1560000000,1560000000,https://www.sec.gov/Archives/edgar/data/36104/000003610425000016/0000036104-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610425000016/usb-20241231.htm,4.473717948717948,1.066025641025641,3.055128205128205,3.055128205128205,91.54679487179487,37.84615384615385,26.25448717948717,37.55,44.430128205128206,74614800000.0,83791800000.0,11.21689717378232,10.69133113626594,15.65564414603441,15.65564414603441,1.2737683089214382,1.2737683089214382,12.006275970769453,40.01518624641834,17.581158203944607,17.581158203944607,0.0222878034920686,0.0638747272659043,1.120318208201031,0.0967481328816277,4.382521489971347,0.2831179389577522,0.5720488466757123,2.865904990980156,0.011887722006894,0.5333734215273602,0.3735492190858289,0.0,0.0266585878599712,0.0,0.0,0.0,0.0,30.01097155144329,0.010436912923648,0.0025188001241982,-301.4503205128205,-382691000000.0,40957000000.0,-468142000000.0,-361043000000.0,8256000000.0,0.0,0.0,106.64851697950996,0.0,0.0,0.8438935912938331,0.0,0.0,0.0283894977636655,0.0,2025-01-16,1.04,bmo,7002377080.0,2025-04-25,2024-12-31,0.0288461538461538,49.19390625,7653898.6875
2024-09-30,USB,USD,36104,2024-11-05,2024-11-05 16:53:59,2024,Q3,6276000000.0,0.0,6276000000.0,1.0,0,2637000000.0,165000000.0,2802000000.0,0.0,3773000000.0,3773000000.0,8086000000.0,3951000000.0,0.0,0.0,0.0,2048000000.0,0.3263224984,24000000.0,2072000000.0,0.3301465902,350000000.0,1714000000.0,0.2731038878,1.03,1.03,1548000000,1561000000,https://www.sec.gov/Archives/edgar/data/36104/000003610424000072/0000036104-24-000072-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610424000072/usb-20240930.htm,4.054263565891473,1.107235142118863,0.627906976744186,0.627906976744186,100.55555555555556,38.32105943152455,26.65374677002584,38.02260981912145,53.29328165374677,70790040000.0,75775040000.0,10.32526837806301,11.279483747609945,72.82925925925926,72.82925925925926,1.2027054486144853,1.2027054486144853,12.073779477374124,0.0,77.95786008230452,77.95786008230452,0.0242124457056388,0.0137307451726259,1.334494299937138,0.1144217728695687,0.0,0.3008264826857108,0.5183497848645913,0.5670945157526255,0.011922581199276,0.4924154025670945,0.4201720841300191,0.0,0.0263100008886053,0.0,0.0,0.0,0.0,30.777415749265124,-0.0050719316951515,0.0025643020430635,-300.5855943152455,-380937000000.0,41260000000.0,-463246000000.0,-359291000000.0,8312500000.0,0.0,0.0,118.19311663479924,0.0,0.0,0.7614656636738656,0.0,0.0,0.0291204403744542,0.0,2024-10-16,0.99,bmo,6900117355.0,2025-04-25,2024-09-30,0.0404040404040404,43.86015625,8248577.875
2024-06-30,USB,USD,36104,2024-08-06,2024-08-06 16:59:37,2024,Q2,6838000000.0,-3962000000.0,10800000000.0,1.579409184,0,2619000000.0,158000000.0,2777000000.0,0.0,1279000000.0,3718000000.0,7985000000.0,3962000000.0,0.0,0.0,0.0,2552000000.0,0.3732085405,-496000000.0,2056000000.0,0.3006727113,445000000.0,1603000000.0,0.2344252705,0.97,0.97,1560000000,1561000000,https://www.sec.gov/Archives/edgar/data/36104/000003610424000052/0000036104-24-000052-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610424000052/usb-20240630.htm,4.383333333333334,1.0275641025641025,1.842307692307692,1.842307692307692,93.61217948717947,36.46474358974359,24.77692307692308,36.16666666666666,46.948076923076925,61214400000.0,64659400000.0,9.546849656893327,8.952091254752851,21.299373695198337,21.29937369519833,1.0849769585253457,1.0849769585253457,9.455893536121671,0.0,22.498051496172582,22.498051496172582,0.0261866488930709,0.0469497373167097,1.2278801843317972,0.1018692523284778,0.0,0.285778266357233,0.6441191317516406,1.7928883343730506,0.0142286782195039,0.5433562071116657,0.383006727113191,0.0,0.0268109484779239,0.0,0.0,0.0,0.0,28.91678212494499,-0.0057533171283472,0.0024220904317606,-301.82740384615386,-385924000000.0,38652000000.0,-468755000000.0,-364121000000.0,8358000000.0,0.0,0.0,110.33489324363848,0.0,0.0,0.8156984373136109,0.0,0.0,0.0284119106699751,0.0,2024-07-17,0.94,bmo,6810022802.0,2025-04-25,2024-06-30,0.0425531914893617,40.77968253968254,7744581.317460317
2024-03-31,USB,USD,36104,2024-05-01,2024-05-01 16:35:41,2024,Q1,6685000000.0,0.0,6685000000.0,1.0,0,2691000000.0,136000000.0,2827000000.0,0.0,3740000000.0,3740000000.0,7764000000.0,3779000000.0,0.0,0.0,0.0,2392000000.0,0.357816006,-719000000.0,1673000000.0,0.2502617801,347000000.0,1319000000.0,0.1973074046,0.78,0.78,1559000000,1559000000,https://www.sec.gov/Archives/edgar/data/36104/000003610424000037/0000036104-24-000037-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610424000037/usb-20240331.htm,4.288005131494548,0.8460551635663887,1.706863373957665,1.706863373957665,95.66581141757536,35.941629249518925,24.06863373957665,35.6433611289288,47.193072482360485,68518050000.00001,61328050000.00001,12.98674184988628,10.249521316379957,25.748985343855697,25.748985343855697,1.2330486970918515,1.2330486970918515,9.173979057591623,0.0,23.04699361142428,23.04699361142428,0.0192504019013967,0.0388364817737807,1.2560286495824935,0.1020982846844527,0.0,0.2888593361642805,0.6329716856311194,2.017437452615618,0.0123471114545729,0.6413949962092494,0.4025430067314884,0.0,0.0270770004944368,0.0,0.0,0.0,0.0,26.048332363604658,-0.0054394643100237,0.0019831723540661,-302.8737973059653,-387689000000.0,37523000000.0,-470097000000.0,-365642000000.0,8336500000.0,0.0,0.0,112.18698578908004,0.0,0.0,0.8022320892835714,0.0,0.0,0.0237366829830118,0.0,2024-04-17,0.88,bmo,6712249438.0,2025-04-25,2024-03-31,0.0227272727272727,42.19655737704918,9094239.93442623
2023-12-31,USB,USD,36104,2024-02-20,2024-02-20 17:10:20,2023,Q4,6731000000.0,0.0,6731000000.0,1.0,0,2509000000.0,306000000.0,2815000000.0,-8560000000.0,-5745000000.0,3802000000.0,7763000000.0,3652000000.0,250000000.0,1238000000.0,0.1839251226,2417000000.0,0.3590848314,-1417000000.0,1000000000.0,0.1485663349,139000000.0,847000000.0,0.1258356856,0.49,0.49,1557000000,1558000000,https://www.sec.gov/Archives/edgar/data/36104/000003610424000018/0000036104-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610424000018/usb-20231231.htm,4.32305716120745,0.5439948619139371,0.2671804752729608,0.2671804752729608,83.81952472703918,35.81952472703918,23.890815671162493,35.5208734746307,45.22222222222222,67386960000.0,73006960000.0,19.889893742621016,10.01143366513148,161.98788461538462,161.98788461538462,1.2184385057679097,1.2184385057679097,10.846376467092556,58.97169628432956,175.4975,175.4975,0.0125691973640003,0.0061733011846802,1.2070842223266915,0.1006177928562708,4.539579967689822,0.2651942562246189,0.661829134720701,0.4911452184179457,0.0126730750281656,1.008264462809917,0.3727529341851136,0.0,0.0279928439119746,0.7932692307692307,0.0490268905066112,1.32,0.0,20.851172266088987,0.0137653840811223,0.0013133452624984,-302.47784200385354,-384867000000.0,37198000000.0,-468820000000.0,-362671000000.0,8445000000.0,0.0,0.0,111.5138909523102,0.0,0.0,0.807074340527578,0.0,0.0,0.0153147940548945,0.2119460500963391,2024-01-17,0.99,bmo,6850780000.0,2025-04-25,2023-12-31,0.0,36.55492063492064,11111686.873015871
2023-09-30,USB,USD,36104,2023-11-01,2023-11-01 17:19:18,2023,Q3,7000000000.0,515000000.0,6485000000.0,0.9264285714,0,2615000000.0,176000000.0,2791000000.0,0.0,4530000000.0,5045000000.0,7754000000.0,3518000000.0,256000000.0,2253000000.0,0.3218571429,1955000000.0,0.2792857143,0.0,1955000000.0,0.2792857143,431000000.0,1523000000.0,0.2175714286,0.91,0.91,1548000000,1549000000,https://www.sec.gov/Archives/edgar/data/36104/000119312523268341/0001193125-23-268341-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312523268341/d542369d10q.htm,4.521963824289406,0.9838501291989664,2.501937984496124,2.501937984496124,84.84431524547804,34.611111111111114,22.397286821705425,34.31072351421189,44.24547803617571,51176880000.0,51796880000.0,8.400669730794485,7.310982857142857,13.213756777691712,13.213756777691712,0.9635471541807092,0.9635471541807092,7.399554285714285,22.99018197958278,13.37383940098115,13.37383940098115,0.0297595320386862,0.0756787049151882,1.223316325570011,0.0972607886665299,0.2751886373723923,0.258929992707188,0.5557134735645253,2.5430072225869997,0.0158860798079132,0.5338148391332895,0.3735714285714285,0.0,0.0283022398392908,0.0,0.0,0.0,0.0,27.55945789839245,0.0101816529820084,0.0023462100158365,-307.9518733850129,-400369000000.0,34671000000.0,-474572000000.0,-377846000000.0,8794000000.0,0.0,0.0,109.92857142857144,0.0,0.0,0.8187134502923976,0.0,0.0,0.0286747124056257,0.0,2023-10-18,1.02,bmo,7021910000.0,2025-04-25,2023-09-30,0.0294117647058823,36.430952380952384,12269542.634920634
2023-06-30,USB,USD,36104,2023-08-07,2023-08-04 18:15:21,2023,Q2,7141000000.0,821000000.0,6320000000.0,0.8850301078,0,2646000000.0,122000000.0,2768000000.0,0.0,3747000000.0,5390000000.0,7526000000.0,3111000000.0,0.0,0.0,0.0,2573000000.0,0.3603136816,-822000000.0,1751000000.0,0.245203753,382000000.0,1361000000.0,0.1905895533,0.84,0.84,1533000000,1533000000,https://www.sec.gov/Archives/edgar/data/36104/000119312523204050/0001193125-23-204050-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312523204050/d425808d10q.htm,4.658186562296152,0.8878016960208741,2.163078930202218,2.163078930202218,91.06849315068492,34.888454011741686,22.41617742987606,34.585127201565555,52.66014350945858,50650320000.0,57625320000.0,9.303879500367376,7.092888951127293,15.274523522316043,15.274523522316043,0.9553239404741696,0.9553239404741696,8.06964290715586,0.0,17.377961399276238,17.377961399276238,0.026870511380777,0.0654684906235538,1.4639468869650505,0.1140043329783718,0.0,0.2683460484462048,0.8270652523304404,2.4364437913299044,0.0165250683509995,0.6149889786921381,0.3705363394482565,0.0,0.0280835750743583,0.0,0.0,0.0,0.0,26.284149752266487,0.0126341442375211,0.0020568077919919,-313.7341813437704,-405288000000.0,34364000000.0,-478695000000.0,-382473000000.0,9243500000.0,0.0,0.0,113.90841618820892,0.0,0.0,0.7901084310688206,0.0,0.0,0.0256700428148399,0.0,2023-07-19,1.13,bmo,7151460000.0,2025-04-25,2023-06-30,-0.0088495575221237,32.31887096774194,17058765.69354839
2023-03-31,USB,USD,36104,2023-05-08,2023-05-08 12:08:11,2023,Q1,7141000000.0,427000000.0,6714000000.0,0.9402044532,0,2646000000.0,122000000.0,2768000000.0,0.0,3726000000.0,4982000000.0,6964000000.0,2330000000.0,257000000.0,2396000000.0,0.3355272371,2396000000.0,0.3355272371,-237000000.0,2159000000.0,0.302338608,455000000.0,1698000000.0,0.2377818233,1.04,1.04,1532000000,1532000000,https://www.sec.gov/Archives/edgar/data/36104/000119312523137980/0001193125-23-137980-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312523137980/d796135d10q.htm,4.661227154046998,1.108355091383812,0.5496083550913838,0.5496083550913838,86.25391644908616,34.891644908616186,22.200391644908617,34.588120104438644,66.09007832898172,55228599999.99999,86920600000.0,8.131419316843344,7.734014843859402,65.59216152019002,65.59216152019002,1.0422653758327198,1.0422653758327198,12.172048732670495,36.27737896494157,103.23111638954867,103.23111638954867,0.0307449401216036,0.0152457241356833,1.8668025439242104,0.1449638542916892,13.22704507512521,0.251843604036897,1.0283261802575108,0.4958775029446408,0.0146119945100907,0.4752650176678445,0.3705363394482565,0.0,0.0284930470985979,0.0,0.0,0.0,0.0,29.369340781346462,0.0106816235237669,0.0025613409479676,-319.6444190600522,-420624000000.0,34011000000.0,-487333000000.0,-397446000000.0,9765000000.0,0.0,0.0,119.08836297437333,0.0,0.0,0.7557413482908244,0.0,0.0,0.0320443865707977,0.0,2023-04-19,1.12,bmo,7124460000.0,2025-04-25,2023-03-31,0.0357142857142855,44.54274193548388,12965318.741935484
2022-12-31,USB,USD,36104,2023-02-27,2023-02-27 15:41:21,2022,Q4,6336000000.0,0.0,6336000000.0,1.0,0,2402000000.0,144000000.0,2546000000.0,2689000000.0,5235000000.0,3468000000.0,5974000000.0,1681000000.0,175000000.0,1276000000.0,0.2013888889,1101000000.0,0.1737689394,0.0,1101000000.0,0.1737689394,171000000.0,925000000.0,0.1459911616,0.57,0.57,1501000000,1501000000,https://www.sec.gov/Archives/edgar/data/36104/000119312523050691/0001193125-23-050691-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312523050691/d410791d10k.htm,4.221185876082612,0.6162558294470353,4.58894070619587,4.58894070619587,83.6435709526982,34.131912058627584,21.121918720852765,33.82145236508994,48.45169886742172,65458610000.0,83006610000.0,17.69151621621622,10.331220012626265,9.503282520325202,9.503282520325204,1.2894183114683055,1.2894183114683055,13.10079071969697,65.05220219435736,12.050901567944251,12.050901567944251,0.0141310669444401,0.1052267990414095,1.3994602686837647,0.1052822667289068,13.752351097178684,0.2439355474368563,0.6549672813801308,7.446486486486487,0.0122520169615578,0.867027027027027,0.3791035353535353,0.0,0.0289387304480553,1.7794715447154472,1.9345012626262623,70.04,0.0,21.655484560681565,0.006207076066716,0.0014116167666498,-326.7576615589607,-420517000000.0,31704000000.0,-487898000000.0,-397131000000.0,10437500000.0,0.0,0.0,143.19602272727272,0.0,0.0,0.6285090764805079,0.0,0.0,0.0182208564787456,8.16588940706196,2023-01-25,1.11,bmo,6623747741.0,2025-04-25,2022-12-31,0.0810810810810809,42.79904761904762,10357268.412698412
