date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,VICI,USD,1705696,2025-04-30,2025-04-30 16:08:52,2025,Q1,984204000.0,6352000.0,977852000.0,0.9935460535,0,14860000.0,0.0,14860000.0,207466000.0,222326000.0,228678000.0,3697000.0,209251000.0,996000.0,760056000.0,0.7722545326,755526000.0,0.7676518283,-205717000.0,549809000.0,0.5586331695,-2456000.0,543607000.0,0.5523316304,0.5147733045494293,0.5145684658273434,1056012414,1056432790,https://www.sec.gov/Archives/edgar/data/1705696/000170569625000087/0001705696-25-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569625000087/vici-20250331.htm,0.9320004073361206,0.5147733045494293,0.560465949219419,0.5561610755837194,0.3165843465169719,25.58934406617686,25.58934406617686,25.19778048745552,0.1981520266484291,34447124944.68,34112807944.68,15.841924839396842,34.99998470304937,58.20157325423792,58.6520729911989,1.2945584638392875,1.2945584638392875,34.66030207627687,0.0,57.63671405635464,58.08284159329012,0.0157809106238329,0.017049695756705,0.0,0.0,0.0,0.5114696163025518,3.610620737774252,1.071693842629897,0.0132587369711833,0.8401756582512735,0.0150984958402932,0.0,0.0,0.0,0.0,0.0,0.0029506078008217,17.083640021929423,-2.3765934149284336,0.0119405666169603,-17.20536781492798,-319323000.0,27022665000.0,-18169082000.0,-319323000.0,9225866000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204293114151742,0.0,2025-04-30,0.58,amc,977033370.0,2025-05-11,2025-03-31,-0.1206896551724137,30.808,7149901.05
2024-12-31,VICI,USD,1705696,2025-02-20,2025-02-20 16:18:13,2024,Q4,976052000.0,6747000.0,969305000.0,0.9930874585,0,20691000.0,0.0,20691000.0,114892000.0,135583000.0,142330000.0,4079000.0,208121000.0,992000.0,831875000.0,0.852285534,833722000.0,0.8541778512,-207070000.0,626652000.0,0.642027269,2447000.0,614594000.0,0.629673419,0.58,0.58,1054993118,1055807977,https://www.sec.gov/Archives/edgar/data/1705696/000170569625000033/0001705696-25-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569625000033/vici-20241231.htm,0.9251738076266768,0.582557354653758,0.6105224659863611,0.6094949711321245,0.4972686466377499,25.546897453789835,25.546897453789835,25.15462380485405,16.92731989935123,30816348976.780003,47941818976.78,12.53524642966739,31.572445911467835,47.84426720941101,47.924923721262246,1.1612179226613355,1.1612179226613355,49.11809921682451,57.63103708703832,74.43260716441777,74.55808665887004,0.0199437642811967,0.0208659695697406,0.6650883611792996,0.3890345465421938,20.586590533433508,27.91675515877101,4.005948462673157,1.048004048200926,0.0146894104924982,0.7365415217200298,0.0211986656448631,0.0,0.0,0.0,0.0,0.0,0.0047159372656374,18.158062941128662,0.0185832276239416,0.013546580546074,-3.8424184298802224,18300971000.0,26951801000.0,563742000.0,18300971000.0,18444231000.0,0.0,0.0,1701.4010319122342,0.0,0.0,0.0528975816470779,0.0,0.0,0.0231590565286586,0.0,2025-02-20,0.67,amc,969288560.0,2025-05-11,2024-12-31,-0.1343283582089553,31.60296875,4663379.96875
2024-09-30,VICI,USD,1705696,2024-10-31,2024-10-31 16:20:32,2024,Q3,964669000.0,6824000.0,957845000.0,0.992926071,0,16458000.0,0.0,16458000.0,0.0,16458000.0,13143000.0,2797000.0,207317000.0,1008000.0,952534000.0,0.9874205557,951526000.0,0.9863756377,-204584000.0,746942000.0,0.7742987491,2461000.0,732898000.0,0.7597403876,0.7,0.7,1046626838,1048338348,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000119/0001705696-24-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000119/vici-20240930.htm,0.9216933533286674,0.7002476655390333,0.5532554478600137,0.5581053139399813,0.339822166876252,25.34147896559098,25.34147896559098,24.94804552298324,17.059519545781033,34863139973.78,52155106973.78,11.892221009533388,36.140002398522185,60.20726976813828,59.68407604802372,1.335174732197493,1.335174732197493,54.06528765180595,54.75406334448954,90.06981579163875,89.28712024381642,0.0210221454679985,0.0167548878396872,0.6758621001318433,0.3928846421084629,18.15364805875696,0.5453526491233989,4.589715266958329,0.766010699375076,0.0124112171286184,0.5903877483633466,0.0170607742137458,0.0,0.0,0.0087660520989479,0.0052619084888184,5.035714285714286,0.0047695116148647,19.82601168509913,0.0367252313983775,0.0163163157413627,-4.024184501181308,-296511000.0,26523072000.0,-18039367000.0,658794000.0,18401588000.0,0.0,0.5,1720.0777676073349,0.0,0.0,0.0523232156678543,0.0,0.0,0.0280682374454517,0.0048498660799676,2024-10-31,0.67,amc,971780000.0,2025-04-25,2024-09-30,0.0447761194029849,31.64453125,5299778.984375
2024-06-30,VICI,USD,1705696,2024-07-31,2024-07-31 16:18:47,2024,Q2,957003000.0,7805000.0,949198000.0,0.9918443307,0,15768000.0,8066000.0,15768000.0,990000.0,-6917000.0,155000.0,3926000.0,205777000.0,992000.0,957840000.0,1.0008746054,956848000.0,0.999838036,-200861000.0,755987000.0,0.7899525916,3234000.0,741302000.0,0.7746078121,0.71,0.71,1042650713,1042959627,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000099/0001705696-24-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000099/vici-20240630.htm,0.9178557958747592,0.7109782698628433,0.5894687380317363,0.5869117935375161,0.3329590587447284,25.057588964598924,24.85223352069966,24.66683778117745,17.110443389683848,29089954892.7,46377233892.7,9.810426416190705,30.39693176792549,47.33075428759701,47.53695582063064,1.1310732347414911,1.1310732347414911,48.46090753393667,48.4185603991272,75.45798781780316,75.78672867566313,0.0254830921097793,0.0210362650013446,0.6856608075245532,0.3961793703838917,18.04819072078844,28.647664635471344,4.649926862574534,0.8290952944953609,0.0148784005199201,0.5838538139651586,0.0164764373779392,0.0,0.0048103344660057,0.004337710092579,0.0027857801908666,2.6875,0.00478472899249,19.86443246344082,0.0217237359801886,0.0167347613624501,-4.088562398077025,18067030000.0,25912199000.0,335567000.0,18351058000.0,18330336000.0,0.0,273434500.5,1727.2465603556102,0.0,1.1531069827033953e-05,0.0521060525264387,0.0,7805000.0,0.0288232434238234,0.00255694449422,2024-07-31,0.68,amc,952440000.0,2025-04-25,2024-06-30,0.0441176470588234,28.715238095238096,6281533.698412699
2024-03-31,VICI,USD,1705696,2024-05-01,2024-05-01 16:22:47,2024,Q1,951481000.0,6511000.0,944970000.0,0.9931569837,0,16192000.0,0.0,16192000.0,-156000.0,143555000.0,150066000.0,5293000.0,204882000.0,1133000.0,802243000.0,0.8431518864,801110000.0,0.8419611112,-199745000.0,601365000.0,0.6320304872,1562000.0,590016000.0,0.6201027661,0.57,0.57,1042404634,1043311636,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000080/0001705696-24-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000080/vici-20240331.htm,0.9127751057177284,0.5660143678908472,0.5216198990918914,0.5193079369982924,0.4939511809576242,24.76826863377125,2.5796671583100426,24.38095838319153,17.09429660881573,30855177166.4,47984151166.4,13.07387306717106,32.42857941083427,56.74630138062563,56.99893625946513,1.2140622011153808,1.2140622011153808,50.43101351093716,59.812489690031576,88.24850004579403,88.64138290466612,0.0191221070233394,0.0175441870607531,0.6930715711428889,0.3988935789547653,21.35135364222561,30.134419418184848,3.910104352749387,0.9065293104569334,0.0140919949237397,0.7369478115847706,0.0170176808575263,0.0,0.5237911028912103,0.0044322735724308,0.0025328934576728,2.1270962047661075,0.0039864169647108,17.620992787760063,0.0183543303762312,0.0280580921813633,-3.6744982467144327,18189259000.0,2689057000.0,474266000.0,42268544000.0,18265287500.0,0.0,549709000.0,1730.4395358393913,0.0,7559.239748118569,0.0520099073882655,0.0,0.0119059591968094,0.0232154273427193,0.002311962093599,2024-05-01,0.66,amc,936670000.0,2025-04-25,2024-03-31,-0.1363636363636364,30.013934426229508,6294406.213114754
2023-12-31,VICI,USD,1705696,2024-02-22,2024-02-22 16:20:50,2023,Q4,931865000.0,8215000.0,923650000.0,0.9911843454,0,15256000.0,0.0,15256000.0,161000.0,-28170000.0,-19955000.0,7776000.0,205175000.0,1586000.0,961343000.0,1.0316333374,959757000.0,1.0299313742,-197238000.0,749950000.0,0.8047839548,-9771000.0,747769000.0,0.802443487,0.72,0.72,1036702399,1037834051,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000033/0001705696-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569624000033/vici-20231231.htm,0.8988741618606017,0.7212957168048378,0.5560824403957032,0.5540172382682024,0.5055809656711328,24.749411233879087,24.75091889895395,24.36179469089856,17.202330212800057,33050072480.12,50156020480.12,11.0495595832804,35.46658848665847,57.32962899766172,57.54333583491628,1.3086063816107194,1.3086063816107194,53.82326890710563,52.1728669997285,87.0021101422396,87.32642666265053,0.022625336160754,0.0173782069720264,0.6979953342444593,0.4001040766352289,17.793803044282843,28.222806991155768,4.677748263677349,0.7588206723257617,0.0127708040656759,0.5644470418003421,0.0163714701163795,0.0,-3.547448117209501e-05,0.0037138416491469,0.002297543099054,1.349936948297604,0.0043128564759916,19.88394600412703,0.0224049205076069,0.0169710661058372,-3.785458347338116,18098811000.0,25659337000.0,361584000.0,19049869000.0,17800790500.0,0.0,276274499.9999962,1761.2759466231696,0.0,6053.488740109556,0.0510993181804099,0.0,0.0148674597185046,0.0296076592860504,0.0020652021275008,2024-02-22,0.65,amc,921180000.0,2025-04-25,2023-12-31,0.1076923076923076,29.36555555555556,6608311.682539683
2023-09-30,VICI,USD,1705696,2023-10-25,2023-10-25 16:19:17,2023,Q3,904318000.0,6332000.0,897986000.0,0.9929980383,0,14422000.0,0.0,14422000.0,-1122000.0,129609000.0,135941000.0,7341000.0,198890000.0,1011000.0,765822000.0,0.8468503336,555685000.0,0.614479641,-198708000.0,566103000.0,0.6259999248,644000.0,556329000.0,0.6151917799,0.55,0.55,1012986784,1013589640,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000113/0001705696-23-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000113/vici-20230930.htm,0.8927243812886704,0.5491967010696953,0.5450278411529602,0.5444582384600982,0.5243632082765652,24.22112744957589,24.22112744957589,23.855149328384524,17.51044365056593,29477915414.4,46505989414.4,13.24661999212696,32.59684692154751,53.39176791123444,53.4476254456248,1.2198624120694472,1.2198624120694472,51.4265882293618,60.7268913852044,84.23380549097456,84.32192942601387,0.0188727388683744,0.0187099051017215,0.7258015131087996,0.4094811586502466,22.235028505318468,27.53742312768851,2.793931318819448,0.976385555805107,0.0129878586941386,0.6881809145307902,0.0159479298211469,0.0,0.0,0.0010450891676598,0.00063804988953,0.5707220573689417,0.0044442331126882,17.169050922522164,0.0131582561698257,0.0129885848127769,-4.6805842631802825,17230510000.0,24535682000.0,-416666000.0,18123848000.0,17266118500.0,0.0,-655000.0000038147,1728.2315291744717,0.0,-1.0844054134752052e-10,0.0520763557895454,0.0,-829947904000.0,0.023022144758332,0.0005696026928619,2023-10-25,0.63,amc,898800000.0,2025-04-25,2023-09-30,-0.1269841269841269,31.024126984126983,4711437.968253968
2023-06-30,VICI,USD,1705696,2023-07-26,2023-07-26 16:25:13,2023,Q2,898158000.0,6590000.0,891568000.0,0.9926627609,0,14920000.0,0.0,14920000.0,3454000.0,-7023000.0,-433000.0,5806000.0,197557000.0,887000.0,898701000.0,1.0006045707,688803000.0,0.7669062682,-194334000.0,703480000.0,0.783247491,1899000.0,690702000.0,0.7690205955,0.69,0.69,1006893810,1007968422,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000094/0001705696-23-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000094/vici-20230630.htm,0.8920086617674211,0.6859730322505408,0.5267467082750266,0.5264199608099687,0.7350358028320781,23.91967728950484,23.91967728950484,23.55433687689469,17.527207759872912,31646672448.3,48358359448.3,11.45453192849449,35.23508385863067,59.668146959904064,59.70518281951291,1.3343614878341503,1.3343614878341503,53.8417065241305,53.80917507413479,91.17715940008824,91.23375281964498,0.0218254225978536,0.016748964709194,0.7357882094637386,0.4130231492515729,18.595380443551303,29.458153924087277,3.48660386622595,0.7559754326300171,0.0125225487971102,0.5737597400905166,0.0166117765471108,0.0,0.0,0.0006203123055632,0.0003663052603216,0.370913190529876,0.0044880744813273,19.06690581943277,0.016496176646578,0.0163477403048145,-4.520172042769833,17302956000.0,24084575000.0,-255065000.0,18179798000.0,17119349500.0,0.0,-654999.5,1720.221219429098,0.0,-17.8907435508346,0.0523188523565991,0.0,-5.030534351145038,0.0291230033702811,0.0003267474650579,2023-07-26,0.62,amc,888640000.0,2025-04-25,2023-06-30,0.1129032258064515,32.082419354838706,4868397.0322580645
2023-03-31,VICI,USD,1705696,2023-05-01,2023-05-01 16:26:52,2023,Q1,877647000.0,5952000.0,871695000.0,0.9932182301,0,15005000.0,0.0,15005000.0,1963000.0,145635000.0,151587000.0,3047000.0,198323000.0,814000.0,733164000.0,0.8353745868,732350000.0,0.8344471069,-199350000.0,528948000.0,0.6026887803,1087000.0,518740000.0,0.5910576804,0.52,0.52,1001526645,1003831325,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000072/0001705696-23-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000072/vici-20230331.htm,0.8763091869612715,0.517949275328566,0.521237255749696,0.5202507617757888,0.2472954676108492,23.63844748234332,23.63844748234332,23.275712250271685,16.778947503688233,32669799159.9,49028366159.9,15.744785036771791,37.22430448676973,62.58186582055156,62.70053289044132,1.4014608725719764,1.4014608725719764,55.86342363148281,66.87230436832687,93.91813574984722,94.09622232225622,0.0158782733086623,0.0159488277674981,0.7123703297541453,0.3967771533062784,22.312288928534407,29.450253038486142,3.69271340187472,0.9889592146417332,0.0117114891991632,0.7375795196051972,0.0170968510118532,0.0,0.0,0.0018926006593452,0.0011257373408671,1.2137592137592137,0.0039503353854112,16.469725607539733,0.0177237630210429,0.0123943879232203,-5.11901957386266,17567889000.0,23674535000.0,7106000.0,18446085000.0,16915673500.0,0.0,-3673999.5,1750.6497031266556,0.0,1.5120967741935486e-05,0.0514094851981297,0.0,5952000.0,0.0222527787660942,0.0009864939739072,2023-05-01,0.56,amc,856020000.0,2025-04-25,2023-03-31,-0.0714285714285714,33.08032258064516,6484568.806451613
2022-12-31,VICI,USD,1705696,2023-02-23,2023-02-23 16:20:46,2022,Q4,769906000.0,24090000.0,745816000.0,0.968710466,0,15029000.0,0.0,15029000.0,-30154000.0,-15125000.0,8965000.0,5633000.0,163292000.0,811000.0,789301000.0,1.025191387,788490000.0,1.0241380117,-145067000.0,615874000.0,0.7999340179,1032000.0,604053000.0,0.7845801955,0.63,0.63,962580619,965299406,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000035/0001705696-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569623000035/vici-20221231.htm,0.79983534345397,0.6275349701384336,0.5068863743661143,0.5061404628176915,0.4428460241001382,23.15661936260115,23.15661936260115,22.78628570642352,14.44343125715894,31187612055.6,44718354055.6,12.907647199666254,40.50833745366317,63.91965071169599,64.01385066040504,1.4219079150256748,1.4219079150256748,58.08287512449572,56.65564094762328,91.65118401947863,91.78625260539285,0.0193683632758775,0.0156216192227682,0.6264202785885442,0.3656519752885804,17.14268954429299,30.077258468308496,4.828711755627955,0.7935681036754157,0.0120371832037262,0.6214868562857895,0.0195205648481762,0.0,0.0,0.001471555729537,0.0009325813800645,0.8853267570900123,0.004710964715173,17.936883793117236,0.0212850364740197,0.0160755747591549,-2.3825248553025355,17259272000.0,22290113000.0,2567125000.0,18135998000.0,16609182500.0,0.0,-3673999.0,1959.159650658652,0.0,-27.452054794520546,0.045938063276131,0.0,-3.2784431137724552,0.0275400290430629,0.0007459115484227,2023-02-23,0.58,amc,747708255.0,2025-04-25,2022-12-31,0.0862068965517242,32.126666666666665,5918787.73015873
