date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,VLO,USD,1035002,2025-04-24,2025-04-24 11:55:24,2025,Q1,30258000000.0,29762000000.0,496000000.0,0.016392359,0,261000000.0,0.0,261000000.0,1135000000.0,1396000000.0,31158000000.0,0.0,137000000.0,691000000.0,-89000000.0,-0.0029413709,-900000000.0,-0.0297441999,-17000000.0,-917000000.0,-0.0303060348,-265000000.0,-595000000.0,-0.019664221,-1.8980891719745223,-1.8980891719745223,314000000,314000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500225000017/0001035002-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500225000017/vlo-20250331.htm,96.36305732484075,-1.894904458598726,3.031847133757962,2.238853503184713,14.757961783439493,83.80573248407643,83.80573248407643,74.80891719745223,35.003184713375795,41469980000.0,47689980000.0,-17.424361344537814,1.3705459713133716,43.56090336134453,58.99001422475106,1.7654312473392932,1.7654312473392932,1.5761114416022208,-535.8424719101124,50.09451680672269,67.8378093883357,-0.0143477281638428,0.0169520216792966,0.4620689655172413,0.1834158541325177,-69.88764044943821,1.5578154923066765,-6.569343065693431,-1.460122699386503,0.0085845230694589,-0.5983193277310924,0.0086258179654967,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0143555446652173,-0.0100545820166618,-51.71974522292994,8447000000.0,26315000000.0,-9272000000.0,36996000000.0,10973000000.0,12037000000.0,7440000000.0,33.426531826293875,36.23345205295343,21.52778711108125,2.6924719701014417,2.483892505424804,4.180643348784942,-0.0253299276287782,0.0,2025-04-24,0.4103,bmo,28758332229.0,2025-05-11,2025-03-31,1.1691445283938582,132.70483333333334,3300728.5
2024-12-31,VLO,USD,1035002,2025-02-26,2025-02-26 14:47:52,2024,Q4,30756000000.0,30138000000.0,618000000.0,0.0200936403,0,266000000.0,0.0,266000000.0,4000000.0,270000000.0,30408000000.0,0.0,135000000.0,698000000.0,1156000000.0,0.037586162,348000000.0,0.0113148654,-25000000.0,323000000.0,0.0105020159,-34000000.0,281000000.0,0.0091364287,0.89,0.88,315000000,316000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500225000005/0001035002-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500225000005/vlo-20241231.htm,97.63809523809525,0.8920634920634921,3.3968253968253967,2.4349206349206347,14.784126984126983,87.36825396825397,86.06349206349206,77.81587301587301,37.06349206349206,38615850000.0,45498850000.0,34.3557384341637,1.255555013655872,36.08957943925234,50.34661016949153,1.5753855254569191,1.5753855254569191,1.4793487449603329,39.35886678200692,42.522289719626166,59.32053455019557,0.0072768047317358,0.0198623104243464,0.470789817232376,0.1918760287980313,5.954152249134948,1.5319135204904808,2.577777777777778,2.9971988795518207,0.0087787786621296,1.206405693950178,0.0086487189491481,0.0,0.0068337129840546,0.2831775700934579,0.009851736246586,0.4340974212034384,0.0,39.52057359099753,0.0084037575421654,0.0047043460791535,-50.96349206349206,8242000000.0,27110000000.0,-8885000000.0,39065000000.0,10890500000.0,11804000000.0,7404500000.0,31.334373780725716,36.109894485367306,23.17638861238304,2.8722450504295853,2.492391663910023,3.883262466177039,0.011463772845953,0.961904761904762,2025-01-30,0.06888,bmo,30022863496.0,2025-04-30,2024-12-31,8.29152148664344,133.78515625,2663385.875
2024-09-30,VLO,USD,1035002,2024-10-30,2024-10-29 19:20:29,2024,Q3,32876000000.0,32132000000.0,744000000.0,0.0226304903,0,234000000.0,0.0,234000000.0,3000000.0,237000000.0,32369000000.0,0.0,141000000.0,685000000.0,1315000000.0,0.0399987833,507000000.0,0.0154215841,-18000000.0,489000000.0,0.0148740723,96000000.0,364000000.0,0.0110719066,1.14,1.14,318000000,318000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000056/0001035002-24-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000056/vlo-20240930.htm,103.38364779874212,1.1446540880503144,4.072327044025157,3.411949685534591,16.30188679245283,88.0503144654088,88.0503144654088,79.4119496855346,34.424528301886795,42939540000.0,48561540000.0,29.49144230769231,1.3061059739627692,33.15794594594595,39.5756129032258,1.7003738169722409,1.7003738169722409,1.4771121790972137,36.92892775665399,37.49925868725869,44.757179723502304,0.0084770353851019,0.0252680862440538,0.4279095553003603,0.1789606174025372,4.275285171102662,1.567263694600601,3.595744680851064,3.5674931129476586,0.0079646870925957,0.9395604395604396,0.0071176542158413,0.0,0.0,0.1621621621621621,0.0063876383988319,0.3065693430656934,0.0,45.22424448314028,0.0088387474548527,0.0060282865754695,-48.3309748427673,8678000000.0,28000000000.0,-8406000000.0,38359000000.0,12109000000.0,13040500000.0,7538000000.0,30.312994281542768,32.25569525706461,19.74106809411179,2.969023751467533,2.7902049322681486,4.559023836549375,0.0144141290143745,0.660377358490566,2024-10-24,0.98,bmo,31037596120.0,2025-04-25,2024-09-30,0.1632653061224489,145.20125,2761039.578125
2024-06-30,VLO,USD,1035002,2024-07-25,2024-07-25 17:02:48,2024,Q2,34490000000.0,33063000000.0,1427000000.0,0.0413743114,0,203000000.0,0.0,203000000.0,3000000.0,206000000.0,33269000000.0,0.0,140000000.0,696000000.0,2039000000.0,0.0591185851,1221000000.0,0.0354015657,-18000000.0,1203000000.0,0.0348796753,277000000.0,880000000.0,0.0255146419,2.71,2.71,324000000,324000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000051/0001035002-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000051/vlo-20240630.htm,106.45061728395062,2.716049382716049,7.62962962962963,6.333333333333333,16.191358024691358,87.19135802469135,87.19135802469135,78.52777777777777,33.583333333333336,51185520000.0,56680520000.0,14.541340909090907,1.4840684256306176,20.706116504854368,24.94421052631579,2.0117721966749205,2.0117721966749205,1.6433899681066977,27.798195193722417,22.929012944983818,27.622085769980508,0.0171923622149389,0.0400894628011984,0.4221593365562237,0.1688438261416332,2.69494850416871,1.4802380172507916,8.721428571428572,2.8187001140250856,0.0067792610097543,0.3943181818181818,0.0058857639895621,0.0,0.0,0.1699029126213592,0.0121774427370252,0.603448275862069,0.0,69.27423585350054,0.0203027599065931,0.0138332154366108,-50.14274691358025,8797000000.0,28250000000.0,-8250000000.0,38566000000.0,12647500000.0,13511500000.0,7970000000.0,34.30124673818498,39.64703747391344,21.85282642228473,2.6238113351084063,2.2700308959835223,4.118460388639761,0.0345871162991785,1.2962962962962965,2024-07-25,2.6,bmo,32968359516.0,2025-04-25,2024-06-30,0.0423076923076922,161.36095238095237,2827103.619047619
2024-03-31,VLO,USD,1035002,2024-04-25,2024-04-25 16:39:26,2024,Q1,31759000000.0,29788000000.0,1971000000.0,0.062061148,0,258000000.0,0.0,258000000.0,34000000.0,292000000.0,30080000000.0,0.0,140000000.0,695000000.0,2518000000.0,0.0792846122,1679000000.0,0.0528669039,4000000.0,1683000000.0,0.0529928524,353000000.0,1245000000.0,0.0392014862,3.75,3.75,331000000,331000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000022/0001035002-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000022/vlo-20240331.htm,95.94864048338368,3.761329305135951,5.577039274924472,3.580060422960725,15.148036253776436,87.08157099697885,87.08157099697885,78.72205438066466,33.34441087613293,57143839999.99999,63123839999.99999,11.474666666666666,1.799295947605403,30.955492957746475,48.22264978902953,2.1930321986414394,2.1930321986414394,1.9875890298812933,25.0690389197776,34.194929577464784,53.26906329113923,0.0217871252614455,0.0207371433211348,0.4181985646851134,0.1741458113593505,2.374900714853058,1.5898198030837822,11.992857142857142,1.4863123993558776,0.006229892845843,0.2859437751004016,0.008123681476117,0.0,0.0,0.3580715059588299,0.0208129978903617,0.9510791366906476,0.0,81.62254790991427,0.0280646173276248,0.0198964426119474,-47.333836858006045,9525000000.0,28824000000.0,-8076000000.0,39597000000.0,12337500000.0,12512500000.0,7747500000.0,34.43118486098429,37.639989257419096,23.904928158990195,2.6139094650205763,2.391074008669128,3.764914054600607,0.0477798672141842,1.996978851963746,2024-04-25,3.24,bmo,32237205846.0,2025-04-25,2024-03-31,0.1790123456790122,143.27590163934426,3479037.8360655736
2023-12-31,VLO,USD,1035002,2024-02-22,2024-02-22 14:17:34,2023,Q4,35414000000.0,33551000000.0,1863000000.0,0.0526063139,0,295000000.0,0.0,295000000.0,-15000000.0,310000000.0,33861000000.0,96000000.0,149000000.0,690000000.0,2265000000.0,0.0639577568,1553000000.0,0.0438527136,-4000000.0,1549000000.0,0.0437397639,331000000.0,1202000000.0,0.0339413791,3.56,3.55,337000000,338000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000007/0001035002-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500224000007/vlo-20231231.htm,105.0860534124629,3.5667655786350148,3.676557863501483,2.074183976261128,16.42433234421365,84.64094955489614,83.32640949554896,78.17804154302671,37.9406528189911,43810000000.0,51023000000.0,9.11189683860233,1.2370813802451008,35.359160613397904,62.67525035765379,1.662871024064374,1.662871024064374,1.440757892358954,22.52671081677704,41.18079096045198,72.99427753934192,0.0274366582971924,0.0159552613558548,0.4796553556517118,0.1959741327171502,3.1845474613686533,1.560588025235091,10.422818791946307,1.0333611342785656,0.0078977402419538,0.2878535773710483,0.0083300389676399,0.0,0.0068700277592543,0.4358353510895884,0.0152482069238154,0.782608695652174,0.0030214039645338,79.20834438723759,0.0246960433393983,0.0187695190505933,-51.153560830860535,9419000000.0,28081000000.0,-9738000000.0,41207000000.0,12545500000.0,12954500000.0,7548000000.0,31.83063195346473,33.71076868051623,20.34127149712378,2.8274650698602795,2.669770032625129,4.42450217591982,0.0456236240795566,1.602373887240356,2024-01-25,2.96,bmo,35874800000.0,2025-04-25,2023-12-31,0.1993243243243243,127.22984126984126,3242266.6825396824
2023-09-30,VLO,USD,1035002,2023-10-26,2023-10-26 16:23:47,2023,Q3,38404000000.0,34645000000.0,3759000000.0,0.0978804291,0,250000000.0,0.0,250000000.0,122000000.0,256000000.0,34901000000.0,74000000.0,149000000.0,682000000.0,4211000000.0,0.1096500365,3503000000.0,0.0912144568,-27000000.0,3476000000.0,0.0905114051,813000000.0,2622000000.0,0.0682741381,7.49,7.49,349000000,349000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000110/0001035002-23-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000110/vlo-20230930.htm,110.04011461318052,7.512893982808023,9.478510028653297,8.848137535816619,17.140401146131804,80.39255014326648,80.39255014326648,74.42693409742121,6.991404011461318,49456790000.0,45916790000.0,4.715559687261633,1.287803093427768,14.950662031438938,16.01579987046632,1.9040150144369583,1.9040150144369583,1.195625195292157,10.904010923771075,13.880529020556228,14.869426813471502,0.0530159761682875,0.0624383426421326,0.0882001924927815,0.0362643450732093,-0.8406554262645453,1.510743519781719,23.51006711409396,1.2422080360495682,0.0072790813961035,0.137299771167048,0.006509738568899,0.0,0.0,0.0665054413542926,0.0057285699406311,0.3225806451612903,0.0,112.1656697485274,0.0572006944761766,0.0415037593984962,-45.7163323782235,8985000000.0,28057000000.0,-8541000000.0,39238000000.0,11727000000.0,12083500000.0,7237000000.0,29.44849494844287,34.65954683215472,19.51710203492567,3.0561833519019577,2.5966871533503224,4.611340343404765,0.1009432146294514,0.6303724928366762,2023-10-26,7.47,bmo,38563300000.0,2025-04-25,2023-09-30,0.0026773761713521,131.00063492063492,3750313.111111111
2023-06-30,VLO,USD,1035002,2023-07-27,2023-07-27 16:14:04,2023,Q2,34509000000.0,31539000000.0,2970000000.0,0.0860645049,0,209000000.0,0.0,209000000.0,106000000.0,211000000.0,31750000000.0,62000000.0,148000000.0,669000000.0,3454000000.0,0.1000898316,2759000000.0,0.0799501579,-42000000.0,2717000000.0,0.0787330841,595000000.0,1944000000.0,0.0563331305,5.41,5.41,358000000,358000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000103/0001035002-23-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000103/vlo-20230630.htm,96.39385474860336,5.430167597765363,4.223463687150838,3.7486033519553073,14.740223463687151,78.19553072625699,78.19553072625699,72.20949720670392,6.941340782122905,41993400000.0,39255400000.0,5.400385802469136,1.2168825523776403,27.77341269841269,31.291654247391957,1.6244400603458278,1.6244400603458278,1.1375409313512417,11.365199768384482,25.96256613756614,29.251415797317435,0.0462929888982554,0.0319574028299685,0.0904026923523268,0.038521766363921,-0.7927041111754487,1.5851618945678352,18.64189189189189,0.7125353440150801,0.0087394685831583,0.1887860082304526,0.0060563910863832,0.0,0.0,0.1124338624338624,0.0049262511228954,0.2541106128550074,0.0,93.92799167241029,0.0459328605802182,0.0320437799792308,-43.99301675977654,8747000000.0,27994000000.0,-8978000000.0,39317000000.0,10288000000.0,10661500000.0,7208000000.0,28.3960705902808,30.890326262722347,19.863977932084087,3.169452608376194,2.9135334872979213,4.530814538141072,0.0752001856794708,0.4748603351955307,2023-07-27,5.08,bmo,34367400000.0,2025-04-25,2023-06-30,0.062992125984252,116.22290322580643,4491765.403225807
2023-03-31,VLO,USD,1035002,2023-04-27,2023-04-27 16:16:32,2023,Q1,36439000000.0,32142000000.0,4297000000.0,0.1179231044,0,244000000.0,0.0,244000000.0,10000000.0,254000000.0,32396000000.0,61000000.0,146000000.0,660000000.0,4727000000.0,0.1297236477,4043000000.0,0.1109525508,-17000000.0,4026000000.0,0.1104860177,880000000.0,3067000000.0,0.0841680617,8.28,8.28,369000000,369000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000054/0001035002-23-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000054/vlo-20230331.htm,98.75067750677506,8.311653116531165,8.590785907859079,7.872628726287263,15.56910569105691,73.35230352303523,73.35230352303523,67.68834688346884,6.883468834688347,51512400000.0,48385400000.0,4.198924029996739,1.4136611871895497,16.249968454258674,17.732323580034425,2.0623934019297754,2.0623934019297754,1.3278465380498916,10.235963613285382,15.263533123028392,16.65590361445783,0.0595390624393349,0.0563941885837196,0.0958481803258998,0.0397826412084351,-0.6615189337846414,1.5187113569801496,27.69178082191781,1.007628734901462,0.0073574517980136,0.1235735246168894,0.0066961222865611,0.0,0.0,0.083596214511041,0.0072724278931913,0.4015151515151515,0.0,112.51020546978656,0.068575735902007,0.0509663160343652,-44.36720867208672,7970000000.0,27067000000.0,-9775000000.0,38750000000.0,10803500000.0,11613000000.0,7103500000.0,23.928208787288344,29.39518387156991,20.87455665484413,3.7612510322047896,3.06172604305582,4.311468812877264,0.1227929695319694,0.7181571815718157,2023-04-27,7.23,bmo,35414100000.0,2025-04-25,2023-03-31,0.143845089903181,134.3409677419355,4191478.8870967743
2022-12-31,VLO,USD,1035002,2023-02-23,2023-02-23 14:28:38,2022,Q4,41746000000.0,37082000000.0,4664000000.0,0.1117232789,0,282000000.0,0.0,282000000.0,26000000.0,308000000.0,37390000000.0,137000000.0,137000000.0,633000000.0,5020000000.0,0.120251042,4295000000.0,0.1028841087,-45000000.0,4250000000.0,0.1018061611,1018000000.0,3113000000.0,0.0745700187,8.16,8.14,380000000,381000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000027/0001035002-23-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500223000027/vlo-20221231.htm,109.8578947368421,8.192105263157895,10.778947368421052,9.68157894736842,12.794736842105262,67.02105263157895,65.80526315789474,62.002631578947366,9.744736842105263,48206800000.0,46910800000.0,3.8714102152264696,1.1547645283380443,11.76923828125,13.103234574612667,2.046042188362124,2.046042188362124,1.1237196378096106,9.344780876494024,11.45283203125,12.750964936123946,0.0645759519403901,0.0763170341113701,0.1513518101948134,0.0584762716867272,-0.2581673306772908,1.3821086993872058,31.35036496350365,1.2673267326732671,0.0077997294987429,0.1207838098297462,0.0067551382168351,0.0,0.0075760060345675,0.101806640625,0.0099889809802136,0.6587677725118484,0.0024673022565036,106.90403126622274,0.0726779817198235,0.0514375413086583,-48.25460526315789,6672000000.0,25006000000.0,-11381000000.0,39226000000.0,11750000000.0,12865500000.0,6690000000.0,25.69611459780577,30.89153767326465,16.387465616741277,3.5024750398523365,2.913419233186675,5.492002369668247,0.1321251220236832,1.0973684210526315,2023-01-26,7.37,bmo,39518190015.0,2025-04-25,2022-12-31,0.1465400271370419,125.5263492063492,3956748.158730159
